Siena,2083,Bucknell,2561
0:09,2083,Zach Thomas Defensive Rebound.,36,55
0:08,2561,Foul on Sammy Friday.,36,55
0:08,2083,Zach Thomas made Free Throw.,36,56
0:08,2083,Zach Thomas missed Free Throw.,36,56
0:08,2561,Kadeem Smithen Defensive Rebound.,36,56
0:01,2561,Roman Penn missed Jumper.,36,56
0:01,2561,Sammy Friday Offensive Rebound.,36,56
0:00,2083,End of 1st half,36,56
19:52,2561,Evan Fisher made Layup.,38,56
19:42,2561,Foul on Prince Oduro.,38,56
19:36,2083,Nana Foulland missed Jumper.,38,56
19:36,2561,Khalil Richard Defensive Rebound.,38,56
19:19,2561,Nico Clareth Turnover.,38,56
19:18,2083,Stephen Brown Steal.,38,56
19:11,2561,Foul on Ahsante Shivers.,38,56
19:11,2083,Zach Thomas made Free Throw.,38,57
19:11,2083,Zach Thomas made Free Throw.,38,58
19:02,2561,Khalil Richard missed Jumper.,38,58
19:02,2561,Kadeem Smithen Offensive Rebound.,38,58
18:43,2561,Kadeem Smithen made Jumper.,40,58
18:27,2083,Zach Thomas made Layup.,40,60
18:27,2561,Foul on Ahsante Shivers.,40,60
18:27,2083,Zach Thomas made Free Throw.,40,61
18:17,2561,Evan Fisher made Jumper. Assisted by Kadeem Smithen.,42,61
18:15,2561,Foul on Sammy Friday.,42,61
17:53,2083,Kimbal Mackenzie made Three Point Jumper. Assisted by Zach Thomas.,42,64
17:39,2561,Evan Fisher made Three Point Jumper. Assisted by Nico Clareth.,45,64
17:26,2083,Nana Foulland missed Layup.,45,64
17:26,2561,Evan Fisher Block.,45,64
17:26,2561,Kevin Degnan Defensive Rebound.,45,64
17:20,2561,Nico Clareth missed Layup.,45,64
17:20,2083,Zach Thomas Defensive Rebound.,45,64
16:56,2561,Foul on Evan Fisher.,45,64
16:56,2083,Zach Thomas made Free Throw.,45,65
16:56,2083,Zach Thomas made Free Throw.,45,66
16:45,2561,Evan Fisher missed Three Point Jumper.,45,66
16:45,2083,Stephen Brown Defensive Rebound.,45,66
16:33,2083,Zach Thomas missed Three Point Jumper.,45,66
16:33,2561,Khalil Richard Defensive Rebound.,45,66
16:20,2561,Kevin Degnan missed Layup.,45,66
16:20,2561,Kevin Degnan Offensive Rebound.,45,66
16:17,2561,Kevin Degnan made Two Point Tip Shot.,47,66
16:12,2083,Nate Jones missed Three Point Jumper.,47,66
16:12,2083,Nana Foulland Offensive Rebound.,47,66
16:07,2083,Nana Foulland made Layup.,47,68
15:54,2561,Kevin Degnan missed Jumper.,47,68
15:54,2561,Christian Bentley Offensive Rebound.,47,68
15:51,2083,Foul on Stephen Brown.,47,68
15:51,2083,Official TV Timeout,47,68
15:51,2561,Christian Bentley missed Free Throw.,47,68
15:51,2561,Siena Deadball Team Rebound.,47,68
15:51,2561,Christian Bentley made Free Throw.,48,68
15:40,2561,Foul on Sammy Friday.,48,68
15:22,2083,Stephen Brown made Three Point Jumper. Assisted by Jimmy Sotos.,48,71
15:08,2083,Foul on Nate Jones.,48,71
15:08,2561,Nico Clareth made Free Throw.,49,71
15:08,2561,Nico Clareth made Free Throw.,50,71
15:08,2561,Nico Clareth made Free Throw.,51,71
14:47,2083,John Meeks Turnover.,51,71
14:32,2561,Christian Bentley made Three Point Jumper. Assisted by Nico Clareth.,54,71
14:15,2083,Nana Foulland made Jumper. Assisted by John Meeks.,54,73
14:05,2561,Prince Oduro made Layup. Assisted by Nico Clareth.,56,73
14:05,2083,Foul on Nate Jones.,56,73
14:05,2561,Prince Oduro missed Free Throw.,56,73
14:05,2561,Khalil Richard Offensive Rebound.,56,73
13:55,2083,Foul on Nate Sestina.,56,73
13:49,2561,Christian Bentley missed Three Point Jumper.,56,73
13:49,2083,Nate Sestina Defensive Rebound.,56,73
13:40,2561,Foul on Christian Bentley.,56,73
13:40,2083,Zach Thomas made Free Throw.,56,74
13:40,2083,Zach Thomas made Free Throw.,56,75
13:23,2561,Nico Clareth missed Jumper.,56,75
13:23,2083,Jimmy Sotos Defensive Rebound.,56,75
13:16,2083,Bruce Moore made Dunk. Assisted by Kimbal Mackenzie.,56,77
13:09,2561,Foul on Nico Clareth.,56,77
13:09,2561,Nico Clareth Turnover.,56,77
12:54,2561,Foul on Christian Bentley.,56,77
12:54,2083,Zach Thomas made Free Throw.,56,78
12:54,2083,Zach Thomas made Free Throw.,56,79
12:40,2083,Foul on Nate Sestina.,56,79
12:40,2561,Prince Oduro made Free Throw.,57,79
12:40,2561,Prince Oduro missed Free Throw.,57,79
12:40,2083,Zach Thomas Defensive Rebound.,57,79
12:32,2083,Bruce Moore missed Layup.,57,79
12:32,2561,Prince Oduro Block.,57,79
12:31,2561,Prince Oduro Defensive Rebound.,57,79
12:10,2561,Prince Oduro Turnover.,57,79
12:08,2083,Nana Foulland Steal.,57,79
12:00,2561,Foul on Prince Oduro.,57,79
12:00,2083,Official TV Timeout,57,79
12:00,2083,Nana Foulland made Free Throw.,57,80
12:00,2083,Nana Foulland made Free Throw.,57,81
11:43,2561,Evan Fisher Turnover.,57,81
11:43,2083,Bruce Moore Steal.,57,81
11:43,2561,Foul on Evan Fisher.,57,81
11:43,2083,Bruce Moore made Free Throw.,57,82
11:43,2083,Bruce Moore made Free Throw.,57,83
11:30,2561,Roman Penn Turnover.,57,83
11:25,2083,Foul on Bruce Moore.,57,83
11:25,2083,Bruce Moore Turnover.,57,83
10:58,2561,Ahsante Shivers missed Layup.,57,83
10:58,2083,Nana Foulland Defensive Rebound.,57,83
10:49,2083,Jimmy Sotos Turnover.,57,83
10:49,2561,Khalil Richard Steal.,57,83
10:49,2083,Foul on Stephen Brown.,57,83
10:49,2561,Khalil Richard missed Free Throw.,57,83
10:49,2083,Bucknell Deadball Team Rebound.,57,83
10:48,2561,Foul on Kevin Degnan.,57,83
10:48,2083,Zach Thomas made Free Throw.,57,84
10:48,2083,Zach Thomas made Free Throw.,57,85
10:27,2561,Thomas Huerter Jr. made Layup.,59,85
10:12,2083,Nana Foulland made Layup.,59,87
10:00,2561,Ahsante Shivers missed Layup.,59,87
10:00,2083,Zach Thomas Defensive Rebound.,59,87
9:51,2083,Ben Robertson made Layup. Assisted by Stephen Brown.,59,89
9:23,2561,Kadeem Smithen made Layup.,61,89
9:05,2083,Matt O'Reilly made Three Point Jumper. Assisted by Ben Robertson.,61,92
8:47,2561,Thomas Huerter Jr. made Jumper.,63,92
8:32,2561,Foul on Khalil Richard.,63,92
8:32,2083,Zach Thomas made Free Throw.,63,93
8:32,2083,Zach Thomas made Free Throw.,63,94
8:20,2561,Foul on Nico Clareth.,63,94
8:20,2561,Nico Clareth Turnover.,63,94
8:14,2083,Ben Robertson made Layup.,63,96
8:05,2083,Foul on Ben Robertson.,63,96
8:05,2561,Kadeem Smithen made Free Throw.,64,96
8:05,2561,Kadeem Smithen made Free Throw.,65,96
7:56,2083,Nate Sestina made Jumper.,65,98
7:37,2561,Khalil Richard made Three Point Jumper. Assisted by Christian Bentley.,68,98
7:15,2083,Nate Sestina made Jumper. Assisted by Jimmy Sotos.,68,100
7:06,2083,Foul on John Meeks.,68,100
7:06,2083,Official TV Timeout,68,100
7:06,2561,Nico Clareth made Free Throw.,69,100
7:06,2561,Nico Clareth made Free Throw.,70,100
7:02,2561,Foul on Christian Bentley.,70,100
7:02,2083,Matt O'Reilly made Free Throw.,70,101
7:02,2083,Matt O'Reilly made Free Throw.,70,102
6:53,2561,Nico Clareth missed Three Point Jumper.,70,102
6:53,2561,Kadeem Smithen Offensive Rebound.,70,102
6:39,2561,Kadeem Smithen Turnover.,70,102
6:37,2083,Nate Sestina Steal.,70,102
6:21,2083,Jimmy Sotos missed Three Point Jumper.,70,102
6:21,2561,Roman Penn Defensive Rebound.,70,102
6:10,2561,Nico Clareth made Layup. Assisted by Khalil Richard.,72,102
5:56,2083,Matt O'Reilly missed Three Point Jumper.,72,102
5:56,2561,Sammy Friday Defensive Rebound.,72,102
5:45,2561,Nico Clareth missed Three Point Jumper.,72,102
5:45,2083,Paul Newman Defensive Rebound.,72,102
5:31,2083,John Meeks made Layup. Assisted by Jimmy Sotos.,72,104
5:12,2561,Sammy Friday missed Layup.,72,104
5:12,2083,Paul Newman Block.,72,104
5:11,2561,Roman Penn Offensive Rebound.,72,104
5:08,2561,Roman Penn made Layup.,74,104
4:54,2083,Nate Sestina missed Layup.,74,104
4:54,2561,Nico Clareth Defensive Rebound.,74,104
4:45,2561,Ahsante Shivers missed Three Point Jumper.,74,104
4:45,2561,Siena Deadball Team Rebound.,74,104
4:43,2083,Foul on Matt O'Reilly.,74,104
4:43,2561,Roman Penn made Free Throw.,75,104
4:43,2561,Roman Penn made Free Throw.,76,104
4:33,2083,Matt O'Reilly missed Three Point Jumper.,76,104
4:33,2561,Thomas Huerter Jr. Defensive Rebound.,76,104
4:27,2083,Foul on Jimmy Sotos.,76,104
4:27,2561,Thomas Huerter Jr. missed Free Throw.,76,104
4:27,2561,Siena Deadball Team Rebound.,76,104
4:27,2561,Thomas Huerter Jr. missed Free Throw.,76,104
4:27,2083,John Meeks Defensive Rebound.,76,104
4:19,2083,John Meeks missed Layup.,76,104
4:19,2083,John Meeks Offensive Rebound.,76,104
4:15,2083,Ben Robertson Turnover.,76,104
4:14,2561,Khalil Richard Steal.,76,104
4:11,2561,Nico Clareth made Dunk. Assisted by Khalil Richard.,78,104
3:55,2561,Foul on Khalil Richard.,78,104
3:55,2083,Official TV Timeout,78,104
3:55,2083,Jimmy Sotos made Free Throw.,78,105
3:55,2083,Jimmy Sotos made Free Throw.,78,106
3:41,2561,Ahsante Shivers Turnover.,78,106
3:40,2083,Jimmy Sotos Steal.,78,106
3:36,2083,John Meeks made Layup. Assisted by Jimmy Sotos.,78,108
3:29,2561,Khalil Richard missed Three Point Jumper.,78,108
3:29,2561,Ahsante Shivers Offensive Rebound.,78,108
3:24,2561,Roman Penn missed Three Point Jumper.,78,108
3:24,2561,Christian Bentley Offensive Rebound.,78,108
3:15,2561,Nico Clareth made Three Point Jumper. Assisted by Roman Penn.,81,108
3:06,2083,Jimmy Sotos Turnover.,81,108
3:05,2561,Roman Penn Steal.,81,108
3:01,2561,Roman Penn missed Layup.,81,108
3:01,2083,John Meeks Defensive Rebound.,81,108
2:46,2083,John Meeks made Layup.,81,110
2:22,2561,Jordan Horn missed Three Point Jumper.,81,110
2:22,2561,Christian Bentley Offensive Rebound.,81,110
2:16,2561,Nico Clareth missed Three Point Jumper.,81,110
2:16,2083,Paul Newman Defensive Rebound.,81,110
2:05,2083,John Meeks made Layup. Assisted by Ben Robertson.,81,112
1:51,2561,Jordan Horn made Three Point Jumper. Assisted by Roman Penn.,84,112
1:39,2083,Matt O'Reilly made Three Point Jumper. Assisted by Jordan Sechan.,84,115
1:16,2083,Foul on Matt O'Reilly.,84,115
1:16,2561,Nico Clareth made Free Throw.,85,115
1:16,2561,Nico Clareth made Free Throw.,86,115
1:02,2561,Foul on Jordan Horn.,86,115
1:02,2083,Ben Robertson missed Free Throw.,86,115
1:02,2083,Bucknell Deadball Team Rebound.,86,115
1:02,2083,Ben Robertson missed Free Throw.,86,115
1:02,2561,Sammy Friday Defensive Rebound.,86,115
0:45,2561,Roman Penn made Three Point Jumper. Assisted by Christian Bentley.,89,115
0:37,2083,Foul on Jordan Sechan.,89,115
0:37,2083,Jordan Sechan Turnover.,89,115
0:24,2561,Roman Penn made Three Point Jumper. Assisted by Nico Clareth.,92,115
0:00,2083,End of Game,92,115
