Johnson &amp; Wales (NC),Error,Campbell,2097
6:54,2097,Ja'Cor Nelson Block.,15,28
6:52,-1,Christian Creswell Offensive Rebound.,15,28
6:51,-1,Christian Creswell missed Layup.,15,28
6:51,-1,Caleb Coleman Offensive Rebound.,15,28
6:47,-1,Messiah Baptiste made Three Point Jumper. Assisted by Caleb Coleman.,18,28
6:28,2097,Mogga Lado made Dunk.,18,30
6:14,-1,Caleb Coleman Turnover.,18,30
6:14,-1,Foul on Caleb Coleman.,18,30
6:07,2097,Cory Gensler made Three Point Jumper. Assisted by Mogga Lado.,18,33
5:51,-1,Robert Hobson missed Three Point Jumper.,18,33
5:51,-1,Messiah Baptiste Offensive Rebound.,18,33
5:47,-1,Messiah Baptiste missed Jumper.,18,33
5:47,2097,Nick Parker Defensive Rebound.,18,33
5:40,2097,Nick Parker missed Three Point Jumper.,18,33
5:40,2097,Mogga Lado Offensive Rebound.,18,33
5:28,2097,Ja'Cor Nelson Turnover.,18,33
5:10,-1,Robert Hobson made Layup. Assisted by Messiah Baptiste.,20,33
5:06,-1,Foul on Robert Hobson.,20,33
5:06,2097,Shane Whitfield made Free Throw.,20,34
5:06,2097,Shane Whitfield made Free Throw.,20,35
4:39,-1,Caleb Coleman Turnover.,20,35
4:26,2097,Marcus Burk missed Three Point Jumper.,20,35
4:26,-1,Majerle Poole Defensive Rebound.,20,35
4:17,-1,Majerle Poole missed Layup.,20,35
4:17,2097,Cory Gensler Block.,20,35
4:16,-1,Majerle Poole Offensive Rebound.,20,35
4:12,-1,Caleb Coleman made Layup.,22,35
3:49,2097,Marcus Burk Turnover.,22,35
3:48,-1,Majerle Poole Steal.,22,35
3:41,-1,Christian Creswell missed Layup.,22,35
3:41,2097,Mogga Lado Block.,22,35
3:40,2097,Cory Gensler Defensive Rebound.,22,35
3:34,2097,Cory Gensler made Layup.,22,37
3:15,-1,Messiah Baptiste missed Jumper.,22,37
3:15,2097,Shane Whitfield Defensive Rebound.,22,37
3:09,-1,Foul on Caleb Coleman.,22,37
3:09,2097,Official TV Timeout,22,37
3:09,2097,Shane Whitfield made Free Throw.,22,38
3:09,2097,Shane Whitfield made Free Throw.,22,39
2:54,-1,James Veal Turnover.,22,39
2:54,-1,Foul on James Veal.,22,39
2:38,2097,Brooks Cluxton Turnover.,22,39
2:37,-1,Messiah Baptiste Steal.,22,39
2:32,2097,Foul on Cory Gensler.,22,39
2:19,-1,Messiah Baptiste missed Jumper.,22,39
2:19,2097,Andrew Eudy Block.,22,39
2:16,2097,Cory Gensler Defensive Rebound.,22,39
2:07,2097,Andrew Eudy made Layup. Assisted by Marcus Burk.,22,41
2:07,-1,Foul on James Veal.,22,41
2:07,2097,Andrew Eudy made Free Throw.,22,42
1:51,-1,Majerle Poole Turnover.,22,42
1:36,2097,Cory Gensler made Three Point Jumper. Assisted by Shane Whitfield.,22,45
1:19,-1,Robert Hobson missed Three Point Jumper.,22,45
1:19,2097,Marcus Burk Defensive Rebound.,22,45
1:10,2097,Marcus Burk made Layup.,22,47
0:55,-1,Christian Creswell missed Jumper.,22,47
0:55,2097,Shane Whitfield Defensive Rebound.,22,47
0:48,2097,Shane Whitfield made Layup.,22,49
0:34,2097,Foul on Andrew Eudy.,22,49
0:34,-1,Majerle Poole made Free Throw.,23,49
0:34,-1,Majerle Poole made Free Throw.,24,49
0:15,2097,Marcus Burk made Dunk. Assisted by Andrew Eudy.,24,51
0:02,-1,Majerle Poole missed Three Point Jumper.,24,51
0:02,2097,Shane Whitfield Defensive Rebound.,24,51
0:00,2097,End of 1st half,24,51
19:41,-1,Kajuan Madden-McAfee missed Jumper.,24,51
19:41,2097,Marcus Burk Defensive Rebound.,24,51
19:32,2097,Marcus Burk made Layup.,24,53
19:06,-1,Kajuan Madden-McAfee Turnover.,24,53
18:40,2097,Marcus Burk missed Three Point Jumper.,24,53
18:40,-1,Majerle Poole Defensive Rebound.,24,53
18:32,-1,Robert Hobson missed Three Point Jumper.,24,53
18:32,2097,Marcus Burk Defensive Rebound.,24,53
18:25,2097,Andrew Eudy made Layup. Assisted by Marcus Burk.,24,55
18:01,-1,Majerle Poole missed Layup.,24,55
18:01,2097,Andrew Eudy Defensive Rebound.,24,55
17:51,2097,Marcus Burk made Layup. Assisted by Cory Gensler.,24,57
17:29,-1,Alcyone Moore missed Jumper.,24,57
17:29,2097,Damontez Oliver Defensive Rebound.,24,57
17:25,-1,Foul on Alcyone Moore.,24,57
17:14,2097,Andrew Eudy missed Jumper.,24,57
17:14,-1,Johnson & Wales (NC) Defensive Rebound.,24,57
16:57,2097,Foul on Damontez Oliver.,24,57
16:57,-1,Malik Bullock missed Free Throw.,24,57
16:57,-1,Johnson & Wales (NC) Deadball Team Rebound.,24,57
16:57,-1,Malik Bullock made Free Throw.,25,57
16:48,2097,Cory Gensler missed Three Point Jumper.,25,57
16:48,-1,Majerle Poole Defensive Rebound.,25,57
16:34,-1,Malik Bullock made Jumper.,27,57
16:16,-1,Foul on Messiah Baptiste.,27,57
16:04,2097,Marcus Burk Turnover.,27,57
16:03,-1,Messiah Baptiste Steal.,27,57
15:57,2097,Foul on Marcus Burk.,27,57
15:57,2097,Official TV Timeout,27,57
15:57,-1,Messiah Baptiste made Free Throw.,28,57
15:57,-1,Messiah Baptiste missed Free Throw.,28,57
15:57,2097,Mogga Lado Defensive Rebound.,28,57
15:46,2097,Damontez Oliver missed Three Point Jumper.,28,57
15:46,-1,Caleb Coleman Defensive Rebound.,28,57
15:26,-1,Majerle Poole Turnover.,28,57
15:26,-1,Foul on Majerle Poole.,28,57
15:16,2097,Mogga Lado Turnover.,28,57
15:01,-1,Majerle Poole missed Three Point Jumper.,28,57
15:01,-1,Caleb Coleman Offensive Rebound.,28,57
14:54,-1,Malik Bullock missed Three Point Jumper.,28,57
14:54,-1,Majerle Poole Offensive Rebound.,28,57
14:52,2097,Foul on Cory Gensler.,28,57
14:40,-1,Messiah Baptiste Turnover.,28,57
14:39,2097,Cory Gensler Steal.,28,57
14:38,2097,Cory Gensler Turnover.,28,57
14:37,-1,Christian Creswell Steal.,28,57
14:37,2097,Foul on Ja'Cor Nelson.,28,57
14:37,-1,Christian Creswell missed Free Throw.,28,57
14:37,-1,Johnson & Wales (NC) Deadball Team Rebound.,28,57
14:37,-1,Christian Creswell made Free Throw.,29,57
14:20,2097,Cory Gensler Turnover.,29,57
13:58,-1,Robert Hobson made Jumper.,31,57
13:48,-1,Foul on Messiah Baptiste.,31,57
13:40,-1,Foul on Messiah Baptiste.,31,57
13:36,2097,Marcus Burk made Three Point Jumper. Assisted by Cory Gensler.,31,60
13:17,-1,Malik Bullock made Jumper. Assisted by Christian Creswell.,33,60
12:44,2097,Shane Whitfield Turnover.,33,60
12:43,-1,Caleb Coleman Steal.,33,60
12:39,2097,Foul on Cory Gensler.,33,60
12:39,-1,Malik Bullock missed Free Throw.,33,60
12:39,-1,Johnson & Wales (NC) Deadball Team Rebound.,33,60
12:39,-1,Malik Bullock missed Free Throw.,33,60
12:39,2097,Ja'Cor Nelson Defensive Rebound.,33,60
12:27,2097,Marcus Burk made Three Point Jumper. Assisted by Jon Ander Cuadra.,33,63
12:10,2097,Foul on Mogga Lado.,33,63
12:10,-1,Caleb Coleman missed Free Throw.,33,63
12:10,-1,Johnson & Wales (NC) Deadball Team Rebound.,33,63
12:10,-1,Caleb Coleman missed Free Throw.,33,63
12:10,2097,Jon Ander Cuadra Defensive Rebound.,33,63
11:52,-1,Foul on Christian Creswell.,33,63
11:52,2097,Official TV Timeout,33,63
11:44,2097,Jon Ander Cuadra made Layup. Assisted by Marcus Burk.,33,65
11:34,-1,Malik Bullock Turnover.,33,65
11:26,2097,Mogga Lado missed Layup.,33,65
11:26,-1,Malik Bullock Defensive Rebound.,33,65
11:20,-1,Majerle Poole missed Three Point Jumper.,33,65
11:20,-1,Caleb Coleman Offensive Rebound.,33,65
11:15,-1,Malik Bullock missed Layup.,33,65
11:15,2097,Mogga Lado Defensive Rebound.,33,65
11:05,2097,Shane Whitfield Turnover.,33,65
11:04,-1,Malik Bullock Steal.,33,65
10:58,-1,Caleb Coleman missed Three Point Jumper.,33,65
10:58,2097,Shane Whitfield Defensive Rebound.,33,65
10:51,2097,Marcus Burk Turnover.,33,65
10:51,2097,Foul on Marcus Burk.,33,65
10:25,-1,Caleb Coleman Turnover.,33,65
10:06,2097,Mogga Lado made Layup.,33,67
9:56,-1,Malik Bullock missed Jumper.,33,67
9:56,2097,Mogga Lado Defensive Rebound.,33,67
9:46,-1,Foul on Malik Bullock.,33,67
9:46,2097,Ja'Cor Nelson missed Free Throw.,33,67
9:46,2097,Campbell Deadball Team Rebound.,33,67
9:46,2097,Ja'Cor Nelson missed Free Throw.,33,67
9:46,-1,Johnson & Wales (NC) Defensive Rebound.,33,67
9:46,2097,Foul on Jon Ander Cuadra.,33,67
9:46,-1,Robert Hobson made Free Throw.,34,67
9:46,-1,Robert Hobson made Free Throw.,35,67
9:35,2097,Marcus Burk made Three Point Jumper. Assisted by Mogga Lado.,35,70
9:10,-1,Robert Hobson made Jumper.,37,70
9:02,2097,Jon Ander Cuadra missed Jumper.,37,70
9:02,2097,Mogga Lado Offensive Rebound.,37,70
9:00,-1,Foul on Messiah Baptiste.,37,70
9:00,2097,Mogga Lado made Free Throw.,37,71
9:00,2097,Mogga Lado made Free Throw.,37,72
8:45,-1,James Veal Turnover.,37,72
8:33,-1,Foul on James Veal.,37,72
8:33,2097,Mogga Lado made Free Throw.,37,73
8:33,2097,Mogga Lado made Free Throw.,37,74
8:07,-1,Malik Bullock missed Jumper.,37,74
8:07,2097,Mogga Lado Defensive Rebound.,37,74
7:50,-1,Foul on James Veal.,37,74
7:50,2097,Official TV Timeout,37,74
7:50,2097,Mogga Lado missed Free Throw.,37,74
7:50,2097,Campbell Deadball Team Rebound.,37,74
7:50,2097,Mogga Lado made Free Throw.,37,75
7:38,-1,Malik Bullock missed Three Point Jumper.,37,75
7:38,2097,Brooks Cluxton Defensive Rebound.,37,75
7:30,-1,Foul on Robert Hobson.,37,75
7:30,2097,Ja'Cor Nelson made Free Throw.,37,76
7:30,2097,Ja'Cor Nelson made Free Throw.,37,77
7:18,2097,Foul on Jon Ander Cuadra.,37,77
7:18,-1,Alcyone Moore made Free Throw.,38,77
7:18,-1,Alcyone Moore made Free Throw.,39,77
6:58,2097,Jon Ander Cuadra made Jumper.,39,79
6:46,-1,Robert Hobson made Three Point Jumper.,42,79
6:30,-1,Foul on Majerle Poole.,42,79
6:30,2097,Ja'Cor Nelson made Free Throw.,42,80
6:30,2097,Ja'Cor Nelson missed Free Throw.,42,80
6:30,2097,Brooks Cluxton Offensive Rebound.,42,80
6:18,-1,Foul on Christian Creswell.,42,80
6:18,2097,Brooks Cluxton missed Free Throw.,42,80
6:18,2097,Campbell Deadball Team Rebound.,42,80
6:18,2097,Brooks Cluxton missed Free Throw.,42,80
6:18,-1,Robert Hobson Defensive Rebound.,42,80
6:09,-1,Robert Hobson missed Three Point Jumper.,42,80
6:09,2097,Ja'Cor Nelson Defensive Rebound.,42,80
5:52,2097,Brooks Cluxton made Layup.,42,82
5:28,2097,Foul on Nick Parker.,42,82
5:28,-1,Caleb Coleman made Free Throw.,43,82
5:28,-1,Caleb Coleman missed Free Throw.,43,82
5:28,2097,Nick Parker Defensive Rebound.,43,82
5:08,2097,Ja'Cor Nelson missed Layup.,43,82
5:08,2097,Ja'Cor Nelson Offensive Rebound.,43,82
5:04,2097,Nick Greely missed Jumper.,43,82
5:04,2097,Brooks Cluxton Offensive Rebound.,43,82
5:01,2097,Brooks Cluxton missed Layup.,43,82
5:01,-1,James Veal Defensive Rebound.,43,82
4:55,-1,Majerle Poole missed Jumper.,43,82
4:55,-1,Messiah Baptiste Offensive Rebound.,43,82
4:47,-1,Messiah Baptiste missed Three Point Jumper.,43,82
4:47,2097,Brooks Cluxton Defensive Rebound.,43,82
4:36,2097,Brooks Cluxton made Dunk. Assisted by Nick Parker.,43,84
4:22,2097,Foul on Nick Parker.,43,84
4:22,-1,Caleb Coleman made Free Throw.,44,84
4:22,-1,Caleb Coleman missed Free Throw.,44,84
4:22,2097,Jon Ander Cuadra Defensive Rebound.,44,84
4:15,-1,Foul on Alcyone Moore.,44,84
4:15,2097,Nick Greely made Free Throw.,44,85
4:15,2097,Nick Greely made Free Throw.,44,86
3:59,-1,Majerle Poole missed Layup.,44,86
3:59,2097,Ja'Cor Nelson Defensive Rebound.,44,86
3:53,2097,Official TV Timeout,44,86
3:39,2097,Jon Ander Cuadra made Layup. Assisted by Nick Parker.,44,88
3:26,-1,Caleb Coleman missed Jumper.,44,88
3:26,2097,Jon Ander Cuadra Block.,44,88
3:25,-1,Johnson & Wales (NC) Offensive Rebound.,44,88
3:19,-1,Malik Bullock made Layup.,46,88
3:01,2097,Nick Parker missed Three Point Jumper.,46,88
3:01,2097,Nick Greely Offensive Rebound.,46,88
2:57,2097,Nick Greely made Jumper.,46,90
2:45,-1,Majerle Poole made Three Point Jumper. Assisted by Robert Hobson.,49,90
2:20,2097,Jon Ander Cuadra Turnover.,49,90
2:20,2097,Foul on Jon Ander Cuadra.,49,90
2:15,-1,Robert Hobson missed Three Point Jumper.,49,90
2:15,2097,Nick Parker Defensive Rebound.,49,90
2:05,2097,Nick Greely made Layup. Assisted by Wyatt Self.,49,92
1:58,-1,Messiah Baptiste made Layup.,51,92
1:38,2097,Jon Ander Cuadra made Layup. Assisted by Wyatt Self.,51,94
1:30,-1,Majerle Poole missed Layup.,51,94
1:30,-1,Majerle Poole Offensive Rebound.,51,94
1:26,-1,Majerle Poole missed Jumper.,51,94
1:26,-1,Johnson & Wales (NC) Offensive Rebound.,51,94
1:13,-1,Malik Bullock missed Layup.,51,94
1:13,-1,Majerle Poole Offensive Rebound.,51,94
1:07,-1,Majerle Poole missed Layup.,51,94
1:07,2097,Nick Parker Defensive Rebound.,51,94
1:03,2097,Jon Ander Cuadra made Layup. Assisted by Nick Greely.,51,96
0:54,-1,Robert Hobson missed Three Point Jumper.,51,96
0:54,2097,Jon Ander Cuadra Defensive Rebound.,51,96
0:29,2097,Nick Parker missed Jumper.,51,96
0:29,2097,Nick Greely Offensive Rebound.,51,96
0:21,2097,Nick Greely missed Jumper.,51,96
0:21,2097,Jon Ander Cuadra Offensive Rebound.,51,96
0:19,2097,Jon Ander Cuadra made Jumper.,51,98
0:15,-1,Malik Bullock made Layup.,53,98
0:00,2097,End of Game,53,98
