Utah,145,Ole Miss,254
10:43,145,Deandre Burnett made Three Point Jumper. Assisted by Markel Crawford.,18,15
10:19,254,Donnie Tillman missed Layup.,18,15
10:19,145,Ole Miss Defensive Rebound.,18,15
10:03,145,Deandre Burnett made Layup.,18,17
9:36,254,David Collette Turnover.,18,17
9:34,145,Markel Crawford Steal.,18,17
9:31,145,Breein Tyree made Jumper.,18,19
9:21,145,Foul on Deandre Burnett.,18,19
9:11,254,Sedrick Barefield made Three Point Jumper. Assisted by Justin Bibbins.,21,19
8:55,145,Foul on Dominik Olejniczak.,21,19
8:55,145,Dominik Olejniczak Turnover.,21,19
8:34,254,David Collette missed Layup.,21,19
8:34,145,Bruce Stevens Block.,21,19
8:31,145,Bruce Stevens Defensive Rebound.,21,19
8:23,145,Deandre Burnett Turnover.,21,19
8:20,254,David Collette Steal.,21,19
8:17,254,Kolbe Caldwell missed Layup.,21,19
8:17,145,Bruce Stevens Block.,21,19
8:15,254,Tyler Rawson Offensive Rebound.,21,19
8:03,254,Sedrick Barefield made Layup.,23,19
7:49,145,Breein Tyree made Three Point Jumper.,23,22
7:26,254,Sedrick Barefield made Three Point Jumper. Assisted by Jayce Johnson.,26,22
7:09,145,Terence Davis missed Jumper.,26,22
7:09,254,Kolbe Caldwell Defensive Rebound.,26,22
6:57,254,Jayce Johnson missed Layup.,26,22
6:57,145,Bruce Stevens Defensive Rebound.,26,22
6:49,145,Bruce Stevens made Three Point Jumper. Assisted by Markel Crawford.,26,25
6:26,254,Tyler Rawson missed Three Point Jumper.,26,25
6:26,145,Markel Crawford Defensive Rebound.,26,25
6:16,145,Bruce Stevens missed Jumper.,26,25
6:16,254,Tyler Rawson Defensive Rebound.,26,25
6:09,254,Kolbe Caldwell missed Three Point Jumper.,26,25
6:09,145,Terence Davis Defensive Rebound.,26,25
6:02,254,Foul on Kolbe Caldwell.,26,25
6:02,145,Official TV Timeout,26,25
6:02,145,Terence Davis made Free Throw.,26,26
6:02,145,Terence Davis missed Free Throw.,26,26
6:02,254,Tyler Rawson Defensive Rebound.,26,26
5:53,254,Sedrick Barefield Turnover.,26,26
5:52,145,Terence Davis Steal.,26,26
5:49,145,Markel Crawford made Dunk. Assisted by Terence Davis.,26,28
5:34,254,Sedrick Barefield missed Layup.,26,28
5:34,145,Bruce Stevens Defensive Rebound.,26,28
5:24,145,Markel Crawford missed Jumper.,26,28
5:24,254,Donnie Tillman Defensive Rebound.,26,28
4:52,145,Foul on Breein Tyree.,26,28
4:52,254,Tyler Rawson made Free Throw.,27,28
4:52,254,Tyler Rawson made Free Throw.,28,28
4:38,145,Terence Davis made Jumper.,28,30
4:22,254,Parker Van Dyke made Three Point Jumper. Assisted by Tyler Rawson.,31,30
3:56,145,Marcanvis Hymon made Layup. Assisted by Bruce Stevens.,31,32
3:48,254,Tyler Rawson missed Three Point Jumper.,31,32
3:48,254,Justin Bibbins Offensive Rebound.,31,32
3:42,254,Parker Van Dyke made Three Point Jumper. Assisted by Justin Bibbins.,34,32
3:21,145,Bruce Stevens missed Jumper.,34,32
3:21,145,Marcanvis Hymon Offensive Rebound.,34,32
3:06,145,Terence Davis missed Three Point Jumper.,34,32
3:06,254,Donnie Tillman Defensive Rebound.,34,32
2:56,145,Foul on Terence Davis.,34,32
2:56,145,Official TV Timeout,34,32
2:56,254,Donnie Tillman made Free Throw.,35,32
2:56,254,Donnie Tillman made Free Throw.,36,32
2:48,145,Deandre Burnett missed Three Point Jumper.,36,32
2:48,254,Sedrick Barefield Defensive Rebound.,36,32
2:43,254,Sedrick Barefield Turnover.,36,32
2:41,145,Devontae Shuler Steal.,36,32
2:40,145,Devontae Shuler made Layup.,36,34
2:22,254,Sedrick Barefield Turnover.,36,34
2:08,254,Foul on Justin Bibbins.,36,34
2:06,145,Terence Davis missed Jumper.,36,34
2:06,145,Devontae Shuler Offensive Rebound.,36,34
1:47,145,Terence Davis Turnover.,36,34
1:46,254,Parker Van Dyke Steal.,36,34
1:42,254,Donnie Tillman made Layup. Assisted by Parker Van Dyke.,38,34
1:20,145,Markel Crawford missed Three Point Jumper.,38,34
1:20,254,Kolbe Caldwell Defensive Rebound.,38,34
1:01,254,Sedrick Barefield missed Three Point Jumper.,38,34
1:01,145,Deandre Burnett Defensive Rebound.,38,34
0:59,254,Foul on Donnie Tillman.,38,34
0:47,145,Markel Crawford missed Layup.,38,34
0:47,145,Ole Miss Offensive Rebound.,38,34
0:39,145,Terence Davis made Three Point Jumper. Assisted by Deandre Burnett.,38,37
0:25,145,Foul on Terence Davis.,38,37
0:25,254,Parker Van Dyke missed Free Throw.,38,37
0:25,254,Utah Deadball Team Rebound.,38,37
0:25,254,Parker Van Dyke made Free Throw.,39,37
0:25,254,Parker Van Dyke made Free Throw.,40,37
0:05,145,Deandre Burnett missed Jumper.,40,37
0:05,254,David Collette Defensive Rebound.,40,37
0:02,254,Kolbe Caldwell missed Three Point Jumper.,40,37
0:01,145,Ole Miss Defensive Rebound.,40,37
0:00,145,End of 1st half,40,37
19:46,145,Foul on Markel Crawford.,40,37
19:46,254,Donnie Tillman made Free Throw.,41,37
19:46,254,Donnie Tillman made Free Throw.,42,37
19:36,254,Foul on Tyler Rawson.,42,37
19:36,145,Markel Crawford made Free Throw.,42,38
19:36,145,Markel Crawford made Free Throw.,42,39
19:15,145,Foul on Marcanvis Hymon.,42,39
19:11,254,Justin Bibbins missed Jumper.,42,39
19:11,145,Marcanvis Hymon Defensive Rebound.,42,39
19:02,254,Foul on Sedrick Barefield.,42,39
19:00,145,Terence Davis Turnover.,42,39
18:55,254,Tyler Rawson Turnover.,42,39
18:54,145,Breein Tyree Steal.,42,39
18:46,145,Breein Tyree missed Three Point Jumper.,42,39
18:46,254,Tyler Rawson Defensive Rebound.,42,39
18:39,145,Foul on Marcanvis Hymon.,42,39
18:23,254,David Collette missed Layup.,42,39
18:23,145,Justas Furmanavicius Block.,42,39
18:20,145,Justas Furmanavicius Defensive Rebound.,42,39
18:16,145,Justas Furmanavicius Turnover.,42,39
18:15,254,Tyler Rawson Steal.,42,39
18:09,254,Tyler Rawson Turnover.,42,39
18:08,145,Terence Davis Steal.,42,39
18:07,145,Terence Davis missed Dunk.,42,39
18:07,145,Justas Furmanavicius Offensive Rebound.,42,39
18:05,145,Justas Furmanavicius made Layup.,42,41
17:51,254,David Collette missed Dunk.,42,41
17:51,254,David Collette Offensive Rebound.,42,41
17:49,254,David Collette made Layup.,44,41
17:36,145,Bruce Stevens missed Three Point Jumper.,44,41
17:36,254,Donnie Tillman Defensive Rebound.,44,41
17:24,145,Foul on Bruce Stevens.,44,41
17:10,254,David Collette made Layup. Assisted by Justin Bibbins.,46,41
16:58,145,Breein Tyree missed Three Point Jumper.,46,41
16:58,254,Donnie Tillman Defensive Rebound.,46,41
16:37,145,Foul on Dominik Olejniczak.,46,41
16:26,254,Sedrick Barefield Turnover.,46,41
16:25,145,Markel Crawford Steal.,46,41
16:14,145,Devontae Shuler missed Three Point Jumper.,46,41
16:14,254,Jayce Johnson Defensive Rebound.,46,41
16:13,145,Foul on Dominik Olejniczak.,46,41
15:59,254,Justin Bibbins made Three Point Jumper. Assisted by Tyler Rawson.,49,41
15:37,145,Devontae Shuler missed Layup.,49,41
15:37,254,Parker Van Dyke Defensive Rebound.,49,41
15:19,254,Donnie Tillman made Layup. Assisted by Tyler Rawson.,51,41
14:57,254,Foul on Jayce Johnson.,51,41
14:57,145,Official TV Timeout,51,41
14:50,145,Justas Furmanavicius made Layup.,51,43
14:31,254,Justin Bibbins made Three Point Jumper. Assisted by Parker Van Dyke.,54,43
14:14,145,Deandre Burnett made Three Point Jumper.,54,46
13:49,254,Tyler Rawson Turnover.,54,46
13:41,145,Devontae Shuler Steal.,54,46
13:41,254,Foul on Jayce Johnson.,54,46
13:40,145,Devontae Shuler made Jumper.,54,48
13:18,254,David Collette Turnover.,54,48
13:04,145,Devontae Shuler missed Jumper.,54,48
13:04,145,Deandre Burnett Offensive Rebound.,54,48
12:58,145,Justas Furmanavicius missed Three Point Jumper.,54,48
12:58,254,David Collette Defensive Rebound.,54,48
12:37,145,Foul on Marcanvis Hymon.,54,48
12:37,254,David Collette missed Free Throw.,54,48
12:37,254,Utah Deadball Team Rebound.,54,48
12:37,254,David Collette made Free Throw.,55,48
12:16,145,Foul on Breein Tyree.,55,48
12:16,145,Breein Tyree Turnover.,55,48
11:55,254,Justin Bibbins made Three Point Jumper. Assisted by Parker Van Dyke.,58,48
11:34,145,Deandre Burnett made Three Point Jumper.,58,51
11:10,254,David Collette made Layup.,60,51
10:58,145,Foul on Terence Davis.,60,51
10:58,145,Terence Davis Turnover.,60,51
10:58,145,Official TV Timeout,60,51
10:39,145,Foul on Marcanvis Hymon.,60,51
10:39,254,David Collette missed Free Throw.,60,51
10:39,254,Utah Deadball Team Rebound.,60,51
10:39,254,David Collette missed Free Throw.,60,51
10:39,145,Terence Davis Defensive Rebound.,60,51
10:26,254,Foul on David Collette.,60,51
10:26,145,Bruce Stevens made Free Throw.,60,52
10:26,145,Bruce Stevens made Free Throw.,60,53
9:58,254,Parker Van Dyke missed Three Point Jumper.,60,53
9:58,145,Ole Miss Defensive Rebound.,60,53
9:46,254,Foul on Tyler Rawson.,60,53
9:37,145,Terence Davis missed Three Point Jumper.,60,53
9:37,254,Kolbe Caldwell Defensive Rebound.,60,53
9:22,254,David Collette missed Layup.,60,53
9:22,145,Breein Tyree Block.,60,53
9:20,145,Breein Tyree Defensive Rebound.,60,53
9:17,145,Deandre Burnett made Three Point Jumper. Assisted by Breein Tyree.,60,56
9:00,254,Justin Bibbins made Jumper.,62,56
8:42,145,Deandre Burnett made Three Point Jumper. Assisted by Terence Davis.,62,59
8:29,254,Utah  Timeout,62,59
8:29,145,Official TV Timeout,62,59
8:25,254,Justin Bibbins missed Three Point Jumper.,62,59
8:25,254,Tyler Rawson Offensive Rebound.,62,59
8:10,145,Foul on Terence Davis.,62,59
8:09,254,Justin Bibbins made Free Throw.,63,59
8:09,254,Justin Bibbins made Free Throw.,64,59
7:53,145,Bruce Stevens missed Layup.,64,59
7:53,145,Dominik Olejniczak Offensive Rebound.,64,59
7:43,145,Bruce Stevens missed Three Point Jumper.,64,59
7:43,254,Donnie Tillman Defensive Rebound.,64,59
7:35,254,Tyler Rawson missed Three Point Jumper.,64,59
7:35,145,Deandre Burnett Defensive Rebound.,64,59
7:27,145,Markel Crawford missed Three Point Jumper.,64,59
7:27,254,Tyler Rawson Defensive Rebound.,64,59
7:03,254,Justin Bibbins Turnover.,64,59
7:02,145,Breein Tyree Steal.,64,59
6:58,145,Breein Tyree missed Layup.,64,59
6:58,145,Deandre Burnett Offensive Rebound.,64,59
6:56,145,Deandre Burnett missed Layup.,64,59
6:56,254,Tyler Rawson Block.,64,59
6:53,254,Tyler Rawson Defensive Rebound.,64,59
6:53,145,Official TV Timeout,64,59
6:30,254,Donnie Tillman missed Layup.,64,59
6:30,254,Jayce Johnson Offensive Rebound.,64,59
6:26,254,Jayce Johnson made Two Point Tip Shot.,66,59
6:13,145,Devontae Shuler missed Three Point Jumper.,66,59
6:13,145,Dominik Olejniczak Offensive Rebound.,66,59
6:13,254,Foul on Donnie Tillman.,66,59
6:13,145,Dominik Olejniczak made Free Throw.,66,60
6:13,145,Dominik Olejniczak made Free Throw.,66,61
5:57,254,Donnie Tillman made Layup. Assisted by Tyler Rawson.,68,61
5:57,145,Foul on Markel Crawford.,68,61
5:57,254,Donnie Tillman made Free Throw.,69,61
5:38,145,Breein Tyree made Jumper.,69,63
5:37,254,Foul on Sedrick Barefield.,69,63
5:37,145,Breein Tyree made Free Throw.,69,64
5:22,254,Sedrick Barefield missed Three Point Jumper.,69,64
5:22,254,Tyler Rawson Offensive Rebound.,69,64
5:09,254,Tyler Rawson made Layup.,71,64
4:48,145,Justas Furmanavicius made Layup.,71,66
4:23,254,Justin Bibbins Turnover.,71,66
4:22,145,Markel Crawford Steal.,71,66
4:20,145,Devontae Shuler made Layup. Assisted by Markel Crawford.,71,68
4:20,254,Foul on Justin Bibbins.,71,68
4:20,145,Devontae Shuler made Free Throw.,71,69
4:02,254,Donnie Tillman missed Layup.,71,69
4:02,254,David Collette Offensive Rebound.,71,69
3:58,254,Justin Bibbins made Three Point Jumper. Assisted by Tyler Rawson.,74,69
3:40,145,Deandre Burnett Turnover.,74,69
3:38,254,Tyler Rawson Steal.,74,69
3:18,254,Tyler Rawson made Jumper. Assisted by David Collette.,76,69
3:08,145,Ole Miss  Timeout,76,69
3:08,145,Official TV Timeout,76,69
2:57,145,Deandre Burnett made Jumper.,76,71
2:32,254,Parker Van Dyke missed Three Point Jumper.,76,71
2:32,145,Markel Crawford Defensive Rebound.,76,71
2:30,254,Foul on Donnie Tillman.,76,71
2:30,145,Markel Crawford missed Free Throw.,76,71
2:30,145,Ole Miss Deadball Team Rebound.,76,71
2:30,145,Markel Crawford missed Free Throw.,76,71
2:30,145,Terence Davis Offensive Rebound.,76,71
2:25,254,Foul on Justin Bibbins.,76,71
2:23,145,Deandre Burnett made Free Throw.,76,72
2:23,145,Deandre Burnett made Free Throw.,76,73
2:01,254,Justin Bibbins made Three Point Jumper. Assisted by Tyler Rawson.,79,73
1:43,254,Foul on David Collette.,79,73
1:43,145,Bruce Stevens made Free Throw.,79,74
1:43,145,Bruce Stevens missed Free Throw.,79,74
1:43,254,Tyler Rawson Defensive Rebound.,79,74
1:27,145,Foul on Marcanvis Hymon.,79,74
1:27,254,David Collette made Free Throw.,80,74
1:27,254,David Collette made Free Throw.,81,74
1:16,145,Deandre Burnett Turnover.,81,74
1:15,254,David Collette Steal.,81,74
0:50,145,Foul on Bruce Stevens.,81,74
0:50,254,Justin Bibbins made Free Throw.,82,74
0:50,254,Justin Bibbins made Free Throw.,83,74
0:42,145,Bruce Stevens missed Three Point Jumper.,83,74
0:42,254,Donnie Tillman Defensive Rebound.,83,74
0:15,254,Justin Bibbins missed Three Point Jumper.,83,74
0:15,254,Donnie Tillman Offensive Rebound.,83,74
0:00,145,End of Game,83,74
