Furman,150,Duke,231
19:47,231,Daniel Fowler Turnover.,31,49
19:47,150,Gary Trent Jr Steal.,31,49
19:43,150,Grayson Allen made Dunk. Assisted by Wendell Carter Jr.,31,51
19:19,231,John Davis III missed Three Point Jumper.,31,51
19:19,150,Gary Trent Jr Defensive Rebound.,31,51
19:10,150,Trevon Duval made Jumper.,31,53
18:48,231,Devin Sibley made Three Point Jumper.,34,53
18:27,150,Trevon Duval missed Three Point Jumper.,34,53
18:27,231,Matt Rafferty Defensive Rebound.,34,53
18:19,231,Jump Ball won by Furman,34,53
18:06,150,Foul on Grayson Allen.,34,53
17:55,231,John Davis III Turnover.,34,53
17:55,150,Grayson Allen Steal.,34,53
17:51,150,Gary Trent Jr made Layup. Assisted by Grayson Allen.,34,55
17:25,231,Andrew Brown missed Three Point Jumper.,34,55
17:25,231,Daniel Fowler Offensive Rebound.,34,55
17:17,150,Foul on Grayson Allen.,34,55
17:17,231,John Davis III missed Free Throw.,34,55
17:17,231,Furman Deadball Team Rebound.,34,55
17:17,231,John Davis III made Free Throw.,35,55
17:06,231,Foul on Daniel Fowler.,35,55
17:06,150,Marvin Bagley III made Free Throw.,35,56
17:06,150,Marvin Bagley III made Free Throw.,35,57
17:03,231,Clay Mounce made Layup.,37,57
16:39,150,Javin DeLaurier made Dunk. Assisted by Wendell Carter Jr.,37,59
16:25,231,John Davis III made Layup.,39,59
15:57,150,Marvin Bagley III missed Jumper.,39,59
15:57,150,Marvin Bagley III Offensive Rebound.,39,59
15:53,150,Marvin Bagley III made Dunk.,39,61
15:34,231,John Davis III missed Three Point Jumper.,39,61
15:34,231,Andrew Brown Offensive Rebound.,39,61
15:25,150,Foul on Gary Trent Jr.,39,61
15:25,150,Official TV Timeout,39,61
15:07,231,John Davis III missed Jumper.,39,61
15:07,231,Clay Mounce Offensive Rebound.,39,61
15:03,231,Clay Mounce missed Layup.,39,61
15:03,150,Marvin Bagley III Defensive Rebound.,39,61
14:45,150,Wendell Carter Jr Turnover.,39,61
14:45,231,Clay Mounce Steal.,39,61
14:39,231,Devin Sibley missed Three Point Jumper.,39,61
14:39,150,Marvin Bagley III Defensive Rebound.,39,61
14:07,231,Foul on Matt Rafferty.,39,61
13:59,150,Gary Trent Jr missed Jumper.,39,61
13:59,150,Javin DeLaurier Offensive Rebound.,39,61
13:54,150,Gary Trent Jr missed Jumper.,39,61
13:54,231,Jalen Williams Defensive Rebound.,39,61
13:46,231,Daniel Fowler missed Three Point Jumper.,39,61
13:46,150,Javin DeLaurier Defensive Rebound.,39,61
13:31,150,Wendell Carter Jr Turnover.,39,61
13:15,231,Clay Mounce made Layup. Assisted by Daniel Fowler.,41,61
13:02,150,Trevon Duval made Layup.,41,63
12:53,231,Daniel Fowler missed Jumper.,41,63
12:53,231,Jalen Williams Offensive Rebound.,41,63
12:50,231,Jalen Williams missed Layup.,41,63
12:50,150,Javin DeLaurier Block.,41,63
12:50,231,Clay Mounce Offensive Rebound.,41,63
12:50,231,Clay Mounce Turnover.,41,63
12:50,150,Javin DeLaurier Steal.,41,63
12:37,150,Marvin Bagley III made Dunk. Assisted by Trevon Duval.,41,65
11:58,231,John Davis III missed Layup.,41,65
11:58,150,Javin DeLaurier Block.,41,65
11:58,150,Wendell Carter Jr Defensive Rebound.,41,65
11:58,231,Foul on Clay Mounce.,41,65
11:58,150,Official TV Timeout,41,65
11:43,150,Marvin Bagley III made Dunk. Assisted by Grayson Allen.,41,67
11:18,150,Foul on Alex O'Connell.,41,67
11:15,231,Daniel Fowler made Layup.,43,67
10:54,150,Grayson Allen missed Jumper.,43,67
10:54,231,Matt Rafferty Defensive Rebound.,43,67
10:35,231,Devin Sibley Turnover.,43,67
10:35,150,Grayson Allen Steal.,43,67
10:30,150,Alex O'Connell made Layup. Assisted by Grayson Allen.,43,69
10:13,231,Daniel Fowler Turnover.,43,69
10:13,150,Jordan Goldwire Steal.,43,69
10:08,150,Jordan Goldwire Turnover.,43,69
10:08,231,Geoff Beans Steal.,43,69
9:59,231,Jordan Lyons made Three Point Jumper. Assisted by Devin Sibley.,46,69
9:30,231,Foul on Daniel Fowler.,46,69
9:30,150,Marvin Bagley III missed Free Throw.,46,69
9:30,150,Duke Deadball Team Rebound.,46,69
9:30,150,Marvin Bagley III made Free Throw.,46,70
9:06,231,Matt Rafferty Turnover.,46,70
8:46,150,Alex O'Connell made Three Point Jumper. Assisted by Jordan Goldwire.,46,73
8:22,231,Daniel Fowler made Three Point Jumper. Assisted by Devin Sibley.,49,73
7:58,231,Foul on Daniel Fowler.,49,73
7:58,150,Official TV Timeout,49,73
7:52,150,Wendell Carter Jr made Jumper.,49,75
7:52,231,Foul on Andrew Brown.,49,75
7:52,150,Wendell Carter Jr missed Free Throw.,49,75
7:52,231,Andrew Brown Defensive Rebound.,49,75
7:32,231,Matt Rafferty made Layup. Assisted by Andrew Brown.,51,75
6:53,150,Gary Trent Jr missed Three Point Jumper.,51,75
6:53,150,Wendell Carter Jr Offensive Rebound.,51,75
6:49,150,Wendell Carter Jr missed Layup.,51,75
6:49,150,Alex O'Connell Offensive Rebound.,51,75
6:44,150,Marques Bolden made Layup. Assisted by Alex O'Connell.,51,77
6:25,231,Matt Rafferty made Three Point Jumper. Assisted by John Davis III.,54,77
6:06,150,Jordan Goldwire missed Three Point Jumper.,54,77
6:06,150,Alex O'Connell Offensive Rebound.,54,77
6:02,150,Alex O'Connell made Layup.,54,79
5:40,231,John Davis III missed Three Point Jumper.,54,79
5:40,150,Wendell Carter Jr Defensive Rebound.,54,79
5:30,150,Alex O'Connell missed Three Point Jumper.,54,79
5:30,150,Marques Bolden Offensive Rebound.,54,79
5:25,150,Gary Trent Jr missed Three Point Jumper.,54,79
5:25,231,Alex Hunter Defensive Rebound.,54,79
5:10,231,Matt Rafferty missed Layup.,54,79
5:10,150,Marques Bolden Defensive Rebound.,54,79
4:52,150,Duke  Timeout,54,79
4:45,231,Foul on Clay Mounce.,54,79
4:45,150,Marvin Bagley III made Free Throw.,54,80
4:45,150,Marvin Bagley III made Free Throw.,54,81
4:30,231,John Davis III missed Jumper.,54,81
4:30,231,Jalen Williams Offensive Rebound.,54,81
4:26,231,Jalen Williams missed Layup.,54,81
4:26,150,Javin DeLaurier Block.,54,81
4:26,150,Javin DeLaurier Defensive Rebound.,54,81
4:21,150,Javin DeLaurier Turnover.,54,81
4:21,231,Jalen Williams Steal.,54,81
4:21,231,Furman  Timeout,54,81
4:12,231,Daniel Fowler made Three Point Jumper. Assisted by John Davis III.,57,81
3:57,150,Marvin Bagley III made Jumper. Assisted by Trevon Duval.,57,83
3:27,231,Devin Sibley made Three Point Jumper. Assisted by Daniel Fowler.,60,83
3:12,150,Trevon Duval made Layup.,60,85
3:03,231,Daniel Fowler missed Three Point Jumper.,60,85
3:03,150,Javin DeLaurier Defensive Rebound.,60,85
2:52,150,Duke  Timeout,60,85
2:48,150,Trevon Duval made Layup.,60,87
2:35,231,Alex Hunter made Three Point Jumper. Assisted by Andrew Brown.,63,87
2:15,150,Alex O'Connell made Three Point Jumper. Assisted by Antonio Vrankovic.,63,90
1:54,231,Alex Hunter missed Three Point Jumper.,63,90
1:54,150,Wendell Carter Jr Defensive Rebound.,63,90
1:33,150,Wendell Carter Jr made Jumper.,63,92
1:14,231,Jordan Lyons missed Three Point Jumper.,63,92
1:14,150,Duke Defensive Rebound.,63,92
0:57,150,Jack White Turnover.,63,92
0:51,231,Jordan Lyons missed Three Point Jumper.,63,92
0:51,231,Jonathan Jean Offensive Rebound.,63,92
0:23,231,Jonathan Jean missed Three Point Jumper.,63,92
0:23,150,Alex O'Connell Block.,63,92
0:23,150,Wendell Carter Jr Defensive Rebound.,63,92
0:00,150,End of Game,63,92
