Oakland,183,Syracuse,2473
19:33,183,Matthew Moyer Defensive Rebound.,25,39
19:33,2473,Foul on James Beck.,25,39
19:16,183,Paschal Chukwu Turnover.,25,39
19:09,2473,Martez Walker missed Jumper.,25,39
19:09,183,Paschal Chukwu Defensive Rebound.,25,39
18:53,183,Tyus Battle Turnover.,25,39
18:52,2473,Stan Scott Steal.,25,39
18:50,2473,Martez Walker made Layup. Assisted by Stan Scott.,27,39
18:27,2473,Foul on Stan Scott.,27,39
18:25,183,Matthew Moyer missed Jumper.,27,39
18:25,2473,Kendrick Nunn Defensive Rebound.,27,39
17:40,2473,Martez Walker missed Jumper.,27,39
17:40,183,Paschal Chukwu Block.,27,39
17:37,2473,Isaiah Brock Offensive Rebound.,27,39
17:37,2473,Oakland  Turnover.,27,39
17:19,183,Frank Howard Turnover.,27,39
16:48,2473,Chris Palombizio missed Jumper.,27,39
16:48,183,Paschal Chukwu Block.,27,39
16:46,183,Paschal Chukwu Defensive Rebound.,27,39
16:39,2473,Foul on Kendrick Nunn.,27,39
16:39,183,Paschal Chukwu missed Free Throw.,27,39
16:39,183,Syracuse Deadball Team Rebound.,27,39
16:39,183,Paschal Chukwu missed Free Throw.,27,39
16:39,183,Oshae Brissett Offensive Rebound.,27,39
16:39,183,Oshae Brissett missed Jumper.,27,39
16:39,183,Marek Dolezaj Offensive Rebound.,27,39
16:37,183,Marek Dolezaj missed Jumper.,27,39
16:37,2473,Chris Palombizio Defensive Rebound.,27,39
16:20,2473,Isaiah Brock missed Layup.,27,39
16:20,183,Marek Dolezaj Block.,27,39
16:17,183,Marek Dolezaj Defensive Rebound.,27,39
16:07,183,Frank Howard missed Layup.,27,39
16:06,183,Paschal Chukwu Offensive Rebound.,27,39
16:05,183,Paschal Chukwu made Dunk.,27,41
16:04,2473,Kendrick Nunn made Jumper. Assisted by Stan Scott.,29,41
15:45,183,Frank Howard missed Jumper.,29,41
15:45,2473,Chris Palombizio Defensive Rebound.,29,41
15:44,183,Foul on Marek Dolezaj.,29,41
15:44,183,Official TV Timeout,29,41
15:19,2473,Martez Walker missed Three Point Jumper.,29,41
15:19,183,Marek Dolezaj Defensive Rebound.,29,41
15:03,183,Oshae Brissett missed Layup.,29,41
15:03,2473,Isaiah Brock Defensive Rebound.,29,41
14:59,2473,Stan Scott missed Layup.,29,41
14:59,183,Marek Dolezaj Block.,29,41
14:57,183,Frank Howard Defensive Rebound.,29,41
14:52,183,Frank Howard missed Layup.,29,41
14:52,2473,Stan Scott Defensive Rebound.,29,41
14:51,183,Foul on Oshae Brissett.,29,41
14:25,2473,Martez Walker missed Three Point Jumper.,29,41
14:25,2473,Martez Walker Offensive Rebound.,29,41
14:00,2473,Kendrick Nunn missed Jumper.,29,41
14:00,183,Marek Dolezaj Defensive Rebound.,29,41
13:44,183,Paschal Chukwu made Dunk. Assisted by Oshae Brissett.,29,43
13:25,2473,Kendrick Nunn made Three Point Jumper. Assisted by Stan Scott.,32,43
13:23,2473,Oakland  Timeout,32,43
13:09,183,Tyus Battle missed Jumper.,32,43
13:09,183,Syracuse Offensive Rebound.,32,43
13:07,2473,Foul on Jaevin Cumberland.,32,43
13:06,183,Tyus Battle made Layup. Assisted by Frank Howard.,32,45
12:53,2473,Foul on Jaevin Cumberland.,32,45
12:53,2473,Jaevin Cumberland Turnover.,32,45
12:35,183,Paschal Chukwu made Dunk. Assisted by Frank Howard.,32,47
12:10,2473,Nick Daniels made Three Point Jumper.,35,47
11:46,183,Oshae Brissett missed Layup.,35,47
11:46,183,Paschal Chukwu Offensive Rebound.,35,47
11:43,183,Paschal Chukwu made Dunk.,35,49
11:31,2473,Nick Daniels made Three Point Jumper. Assisted by Kendrick Nunn.,38,49
11:30,2473,Oakland  Timeout,38,49
11:30,183,Official TV Timeout,38,49
11:12,183,Tyus Battle missed Jumper.,38,49
11:12,183,Oshae Brissett Offensive Rebound.,38,49
11:09,183,Oshae Brissett missed Layup.,38,49
11:09,2473,Isaiah Brock Block.,38,49
11:07,2473,Kendrick Nunn Defensive Rebound.,38,49
11:05,183,Foul on Tyus Battle.,38,49
10:47,2473,Kendrick Nunn missed Jumper.,38,49
10:47,183,Oshae Brissett Defensive Rebound.,38,49
10:30,183,Oshae Brissett missed Layup.,38,49
10:30,2473,Martez Walker Defensive Rebound.,38,49
10:30,183,Foul on Oshae Brissett.,38,49
10:15,2473,Jaevin Cumberland missed Three Point Jumper.,38,49
10:15,183,Paschal Chukwu Defensive Rebound.,38,49
10:07,2473,Foul on Nick Daniels.,38,49
10:07,183,Frank Howard made Free Throw.,38,50
10:07,183,Frank Howard made Free Throw.,38,51
9:53,2473,Nick Daniels missed Three Point Jumper.,38,51
9:53,183,Syracuse Defensive Rebound.,38,51
9:31,183,Oshae Brissett Turnover.,38,51
9:22,2473,Kendrick Nunn made Three Point Jumper.,41,51
9:05,183,Tyus Battle made Jumper.,41,53
8:46,2473,Isaiah Brock missed Layup.,41,53
8:46,183,Marek Dolezaj Defensive Rebound.,41,53
8:23,183,Frank Howard made Jumper.,41,55
8:05,2473,Martez Walker Turnover.,41,55
8:04,183,Marek Dolezaj Steal.,41,55
8:00,2473,Foul on Jaevin Cumberland.,41,55
8:00,183,Official TV Timeout,41,55
8:00,183,Tyus Battle made Free Throw.,41,56
8:00,183,Tyus Battle made Free Throw.,41,57
7:41,183,Paschal Chukwu Steal.,41,57
7:40,2473,James Beck Turnover.,41,57
7:19,183,Frank Howard made Jumper.,41,59
7:17,183,Foul on Marek Dolezaj.,41,59
7:07,2473,Kendrick Nunn missed Jumper.,41,59
7:07,2473,James Beck Offensive Rebound.,41,59
7:04,2473,James Beck made Jumper.,43,59
6:56,183,Tyus Battle made Three Point Jumper. Assisted by Frank Howard.,43,62
6:43,183,Foul on Frank Howard.,43,62
6:21,2473,James Beck made Layup. Assisted by Nick Daniels.,45,62
6:06,183,Frank Howard made Three Point Jumper. Assisted by Geno Thorpe.,45,65
5:59,2473,Nick Daniels missed Three Point Jumper.,45,65
5:59,183,Tyus Battle Block.,45,65
5:59,2473,Oakland Offensive Rebound.,45,65
5:47,183,Geno Thorpe Steal.,45,65
5:45,2473,Stan Scott Turnover.,45,65
5:42,183,Geno Thorpe missed Layup.,45,65
5:42,183,Oshae Brissett Offensive Rebound.,45,65
5:40,2473,Foul on Stan Scott.,45,65
5:40,183,Oshae Brissett missed Free Throw.,45,65
5:40,183,Syracuse Deadball Team Rebound.,45,65
5:40,183,Oshae Brissett made Free Throw.,45,66
5:13,2473,Kendrick Nunn missed Jumper.,45,66
5:13,183,Paschal Chukwu Block.,45,66
5:11,183,Frank Howard Defensive Rebound.,45,66
5:09,183,Geno Thorpe made Layup. Assisted by Frank Howard.,45,68
5:04,2473,Kendrick Nunn Turnover.,45,68
4:58,183,Frank Howard made Layup.,45,70
4:42,2473,Isaiah Brock missed Layup.,45,70
4:42,183,Paschal Chukwu Block.,45,70
4:39,183,Paschal Chukwu Defensive Rebound.,45,70
4:23,183,Geno Thorpe missed Jumper.,45,70
4:23,2473,Isaiah Brock Defensive Rebound.,45,70
4:14,183,Foul on Frank Howard.,45,70
4:14,2473,Martez Walker made Free Throw.,46,70
4:14,2473,Martez Walker made Free Throw.,47,70
4:00,183,Foul on Geno Thorpe.,47,70
4:00,183,Geno Thorpe Turnover.,47,70
4:00,183,Official TV Timeout,47,70
3:46,2473,Brailen Neely missed Jumper.,47,70
3:46,183,Howard Washington Defensive Rebound.,47,70
3:40,183,Geno Thorpe made Dunk. Assisted by Howard Washington.,47,72
3:18,2473,James Beck missed Layup.,47,72
3:18,183,Paschal Chukwu Block.,47,72
3:15,183,Paschal Chukwu Defensive Rebound.,47,72
3:10,183,Tyus Battle missed Three Point Jumper.,47,72
3:10,183,Paschal Chukwu Offensive Rebound.,47,72
2:59,183,Matthew Moyer made Layup. Assisted by Howard Washington.,47,74
2:39,2473,James Beck missed Jumper.,47,74
2:39,183,Paschal Chukwu Defensive Rebound.,47,74
2:24,183,Syracuse  Timeout,47,74
2:11,183,Marek Dolezaj Turnover.,47,74
2:09,2473,Brailen Neely Steal.,47,74
2:05,2473,Martez Walker missed Three Point Jumper.,47,74
2:05,183,Howard Washington Defensive Rebound.,47,74
1:55,183,Howard Washington missed Three Point Jumper.,47,74
1:55,2473,Oakland Defensive Rebound.,47,74
1:55,183,Foul on Marek Dolezaj.,47,74
1:55,2473,Kendrick Nunn made Free Throw.,48,74
1:55,2473,Kendrick Nunn missed Free Throw.,48,74
1:55,183,Howard Washington Defensive Rebound.,48,74
1:37,183,Matthew Moyer Turnover.,48,74
1:24,183,Foul on Patrick Herlihy.,48,74
1:24,2473,James Beck made Free Throw.,49,74
1:24,2473,James Beck made Free Throw.,50,74
0:59,183,Patrick Herlihy missed Jumper.,50,74
0:59,2473,Isaiah Brock Defensive Rebound.,50,74
0:53,2473,Kendrick Nunn missed Three Point Jumper.,50,74
0:53,183,Matthew Moyer Block.,50,74
0:50,183,Braedon Bayer Defensive Rebound.,50,74
0:35,183,Matthew Moyer missed Jumper.,50,74
0:35,2473,James Beck Defensive Rebound.,50,74
0:18,2473,James Beck missed Layup.,50,74
0:18,183,Matthew Moyer Defensive Rebound.,50,74
0:00,183,End of Game,50,74
