Texas A&amp;M,197,Oklahoma State,245
7:00,245,Tonny Trocha-Morelos Defensive Rebound.,18,16
6:45,245,Tonny Trocha-Morelos missed Three Point Jumper.,18,16
6:45,197,Brandon Averette Defensive Rebound.,18,16
6:34,197,Lindy Waters III missed Three Point Jumper.,18,16
6:34,197,Oklahoma State Offensive Rebound.,18,16
6:34,245,Foul on Duane Wilson.,18,16
6:33,197,Jeffrey Carroll Turnover.,18,16
6:33,245,Admon Gilder Steal.,18,16
6:29,245,Admon Gilder Turnover.,18,16
6:14,197,Brandon Averette missed Jumper.,18,16
6:14,245,Robert Williams Defensive Rebound.,18,16
6:04,245,DJ Hogg made Three Point Jumper.,21,16
5:45,197,Brandon Averette Turnover.,21,16
5:37,245,TJ Starks Turnover.,21,16
5:12,197,Brandon Averette made Jumper.,21,18
4:56,245,DJ Hogg made Three Point Jumper. Assisted by TJ Starks.,24,18
4:36,197,Foul on Cameron McGriff.,24,18
4:36,197,Cameron McGriff Turnover.,24,18
4:28,245,TJ Starks made Jumper.,26,18
4:08,197,Lindy Waters III Turnover.,26,18
4:08,245,Robert Williams Steal.,26,18
4:02,245,DJ Hogg made Three Point Jumper. Assisted by Admon Gilder.,29,18
3:59,197,Oklahoma State  Timeout,29,18
3:59,197,Official TV Timeout,29,18
3:41,245,Foul on Chris Collins.,29,18
3:27,197,Tavarius Shine missed Three Point Jumper.,29,18
3:27,245,Texas A&M Defensive Rebound.,29,18
3:27,197,Foul on Mitchell Solomon.,29,18
3:27,245,Robert Williams missed Free Throw.,29,18
3:27,197,Lindy Waters III Defensive Rebound.,29,18
3:01,197,Jeffrey Carroll missed Three Point Jumper.,29,18
3:01,197,Lucas N'Guessan Offensive Rebound.,29,18
2:49,197,Lucas N'Guessan missed Layup.,29,18
2:49,197,Tavarius Shine Offensive Rebound.,29,18
2:43,245,Foul on Robert Williams.,29,18
2:43,197,Tavarius Shine made Free Throw.,29,19
2:43,197,Tavarius Shine missed Free Throw.,29,19
2:43,245,Robert Williams Defensive Rebound.,29,19
2:37,197,Foul on Lucas N'Guessan.,29,19
2:37,245,Admon Gilder made Free Throw.,30,19
2:37,245,Admon Gilder made Free Throw.,31,19
2:31,197,Tavarius Shine missed Three Point Jumper.,31,19
2:31,245,Admon Gilder Defensive Rebound.,31,19
2:25,245,Foul on Admon Gilder.,31,19
2:25,245,Admon Gilder Turnover.,31,19
2:13,197,Jeffrey Carroll missed Layup.,31,19
2:13,245,Robert Williams Defensive Rebound.,31,19
2:07,245,TJ Starks made Layup.,33,19
1:56,245,Foul on Robert Williams.,33,19
1:56,197,Tavarius Shine made Free Throw.,33,20
1:56,197,Tavarius Shine missed Free Throw.,33,20
1:56,245,DJ Hogg Defensive Rebound.,33,20
1:55,197,Foul on Lindy Waters III.,33,20
1:55,245,DJ Hogg made Free Throw.,34,20
1:55,245,DJ Hogg made Free Throw.,35,20
1:31,197,Brandon Averette made Jumper.,35,22
1:17,245,TJ Starks made Jumper.,37,22
0:57,197,Jeffrey Carroll missed Three Point Jumper.,37,22
0:57,245,TJ Starks Defensive Rebound.,37,22
0:48,245,Tonny Trocha-Morelos made Dunk.,39,22
0:25,197,Jeffrey Carroll missed Jumper.,39,22
0:25,245,Texas A&M Defensive Rebound.,39,22
0:01,245,TJ Starks missed Three Point Jumper.,39,22
0:01,197,Oklahoma State Defensive Rebound.,39,22
0:00,197,End of 1st half,39,22
20:00,245,Jump Ball won by Texas A&M,39,22
19:56,245,Duane Wilson Turnover.,39,22
19:56,197,Tavarius Shine Steal.,39,22
19:50,197,Tavarius Shine missed Layup.,39,22
19:50,245,Tyler Davis Defensive Rebound.,39,22
19:22,245,Tonny Trocha-Morelos made Three Point Jumper. Assisted by Duane Wilson.,42,22
18:56,197,Kendall Smith missed Jumper.,42,22
18:56,245,Tyler Davis Defensive Rebound.,42,22
18:56,197,Foul on Tavarius Shine.,42,22
18:38,245,Admon Gilder made Jumper.,44,22
18:22,197,Tavarius Shine made Layup. Assisted by Mitchell Solomon.,44,24
18:09,245,Tyler Davis Turnover.,44,24
18:09,197,Mitchell Solomon Steal.,44,24
18:01,245,Foul on DJ Hogg.,44,24
18:01,197,Tavarius Shine missed Free Throw.,44,24
18:01,197,Oklahoma State Deadball Team Rebound.,44,24
18:01,197,Tavarius Shine made Free Throw.,44,25
17:43,245,TJ Starks Turnover.,44,25
17:25,197,Kendall Smith missed Three Point Jumper.,44,25
17:25,197,Tavarius Shine Offensive Rebound.,44,25
17:25,245,Foul on Admon Gilder.,44,25
17:16,197,Lindy Waters III missed Three Point Jumper.,44,25
17:16,245,Tonny Trocha-Morelos Defensive Rebound.,44,25
17:16,197,Foul on Mitchell Solomon.,44,25
17:07,245,TJ Starks Turnover.,44,25
17:07,197,Lindy Waters III Steal.,44,25
16:59,197,Kendall Smith missed Layup.,44,25
16:59,245,Tyler Davis Block.,44,25
16:59,197,Tavarius Shine Offensive Rebound.,44,25
16:54,197,Tavarius Shine missed Jumper.,44,25
16:54,197,Tavarius Shine Offensive Rebound.,44,25
16:54,245,Foul on TJ Starks.,44,25
16:54,197,Lindy Waters III made Free Throw.,44,26
16:54,197,Lindy Waters III made Free Throw.,44,27
16:38,245,Admon Gilder Turnover.,44,27
16:38,197,Lucas N'Guessan Steal.,44,27
16:32,197,Tavarius Shine made Layup. Assisted by Kendall Smith.,44,29
16:27,245,DJ Hogg made Layup. Assisted by Duane Wilson.,46,29
15:56,197,Kendall Smith missed Layup.,46,29
15:56,197,Cameron McGriff Offensive Rebound.,46,29
15:50,197,Cameron McGriff made Layup.,46,31
15:38,245,Robert Williams Turnover.,46,31
15:38,197,Cameron McGriff Steal.,46,31
15:38,197,Official TV Timeout,46,31
15:31,197,Lindy Waters III Turnover.,46,31
15:31,245,Robert Williams Steal.,46,31
15:21,245,Robert Williams made Dunk.,48,31
15:02,197,Lindy Waters III made Three Point Jumper. Assisted by Tavarius Shine.,48,34
14:49,245,Admon Gilder missed Three Point Jumper.,48,34
14:49,245,DJ Hogg Offensive Rebound.,48,34
14:40,245,DJ Hogg missed Jumper.,48,34
14:40,197,Lucas N'Guessan Defensive Rebound.,48,34
14:19,197,Kendall Smith missed Jumper.,48,34
14:19,245,Robert Williams Defensive Rebound.,48,34
14:06,245,Admon Gilder Turnover.,48,34
14:06,197,Lucas N'Guessan Steal.,48,34
13:59,197,Kendall Smith made Jumper.,48,36
13:44,245,Tonny Trocha-Morelos missed Three Point Jumper.,48,36
13:44,245,DJ Hogg Offensive Rebound.,48,36
13:31,245,Robert Williams missed Three Point Jumper.,48,36
13:31,197,Lindy Waters III Defensive Rebound.,48,36
13:11,197,Cameron McGriff made Layup.,48,38
12:56,245,Duane Wilson made Layup.,50,38
12:28,245,Foul on Tyler Davis.,50,38
12:28,197,Jeffrey Carroll missed Free Throw.,50,38
12:28,197,Oklahoma State Deadball Team Rebound.,50,38
12:28,197,Jeffrey Carroll missed Free Throw.,50,38
12:28,245,TJ Starks Defensive Rebound.,50,38
12:16,245,TJ Starks missed Layup.,50,38
12:16,197,Cameron McGriff Block.,50,38
12:16,197,Mitchell Solomon Defensive Rebound.,50,38
12:03,197,Cameron McGriff made Jumper.,50,40
11:38,245,DJ Hogg made Jumper.,52,40
11:10,245,Foul on Tonny Trocha-Morelos.,52,40
11:10,197,Official TV Timeout,52,40
10:57,197,Jeffrey Carroll missed Three Point Jumper.,52,40
10:57,245,TJ Starks Defensive Rebound.,52,40
10:47,245,TJ Starks missed Three Point Jumper.,52,40
10:47,197,Brandon Averette Defensive Rebound.,52,40
10:41,197,Jeffrey Carroll made Jumper. Assisted by Brandon Averette.,52,42
10:11,245,Duane Wilson made Jumper.,54,42
9:52,197,Tavarius Shine missed Jumper.,54,42
9:52,245,Admon Gilder Defensive Rebound.,54,42
9:52,197,Foul on Mitchell Solomon.,54,42
9:44,245,Robert Williams Turnover.,54,42
9:26,197,Brandon Averette missed Three Point Jumper.,54,42
9:26,245,Tyler Davis Defensive Rebound.,54,42
9:06,245,Robert Williams missed Jumper.,54,42
9:06,197,Jeffrey Carroll Defensive Rebound.,54,42
8:52,245,Foul on Tyler Davis.,54,42
8:52,197,Tavarius Shine missed Free Throw.,54,42
8:52,197,Oklahoma State Deadball Team Rebound.,54,42
8:52,197,Tavarius Shine made Free Throw.,54,43
8:33,245,Tonny Trocha-Morelos missed Jumper.,54,43
8:33,245,Robert Williams Offensive Rebound.,54,43
8:30,245,Robert Williams missed Jumper.,54,43
8:30,245,Robert Williams Offensive Rebound.,54,43
8:24,245,Tonny Trocha-Morelos missed Jumper.,54,43
8:24,245,Tonny Trocha-Morelos Offensive Rebound.,54,43
8:18,197,Foul on Lucas N'Guessan.,54,43
8:18,245,Duane Wilson made Free Throw.,55,43
8:18,245,Duane Wilson made Free Throw.,56,43
8:07,197,Brandon Averette missed Jumper.,56,43
8:07,245,Robert Williams Defensive Rebound.,56,43
8:02,245,Duane Wilson Turnover.,56,43
7:54,245,Foul on Duane Wilson.,56,43
7:54,197,Official TV Timeout,56,43
7:54,197,Brandon Averette made Free Throw.,56,44
7:54,197,Brandon Averette made Free Throw.,56,45
7:32,245,Tonny Trocha-Morelos made Jumper.,58,45
7:17,197,Lucas N'Guessan missed Three Point Jumper.,58,45
7:17,197,Jeffrey Carroll Offensive Rebound.,58,45
7:08,197,Jeffrey Carroll missed Layup.,58,45
7:08,245,Robert Williams Block.,58,45
7:08,245,Robert Williams Defensive Rebound.,58,45
7:08,245,TJ Starks missed Layup.,58,45
7:08,197,Lucas N'Guessan Block.,58,45
7:08,245,Texas A&M Offensive Rebound.,58,45
7:06,245,Admon Gilder made Three Point Jumper. Assisted by TJ Starks.,61,45
6:52,197,Tavarius Shine missed Three Point Jumper.,61,45
6:52,245,TJ Starks Defensive Rebound.,61,45
6:45,245,Admon Gilder made Three Point Jumper. Assisted by TJ Starks.,64,45
6:45,197,Oklahoma State  Timeout,64,45
6:21,197,Brandon Averette Turnover.,64,45
6:07,245,Tonny Trocha-Morelos made Three Point Jumper. Assisted by Admon Gilder.,67,45
5:48,197,Jump Ball won by Oklahoma State,67,45
5:40,197,Lindy Waters III missed Jumper.,67,45
5:40,245,DJ Hogg Defensive Rebound.,67,45
5:22,245,DJ Hogg missed Three Point Jumper.,67,45
5:22,245,TJ Starks Offensive Rebound.,67,45
5:17,245,TJ Starks Turnover.,67,45
5:17,197,Lindy Waters III Steal.,67,45
5:12,197,Jeffrey Carroll made Layup. Assisted by Lindy Waters III.,67,47
4:49,245,TJ Starks made Three Point Jumper. Assisted by Robert Williams.,70,47
4:19,197,Lindy Waters III missed Three Point Jumper.,70,47
4:19,245,Robert Williams Defensive Rebound.,70,47
4:15,245,Robert Williams Turnover.,70,47
4:15,197,Kendall Smith Steal.,70,47
4:11,197,Kendall Smith missed Jumper.,70,47
4:11,245,Robert Williams Defensive Rebound.,70,47
3:43,245,DJ Hogg missed Three Point Jumper.,70,47
3:43,197,Lucas N'Guessan Defensive Rebound.,70,47
3:43,245,Foul on Robert Williams.,70,47
3:43,197,Official TV Timeout,70,47
3:43,197,Lindy Waters III missed Free Throw.,70,47
3:43,245,Tyler Davis Defensive Rebound.,70,47
3:31,245,Tonny Trocha-Morelos missed Three Point Jumper.,70,47
3:31,197,Kendall Smith Defensive Rebound.,70,47
2:52,197,Cameron McGriff missed Jumper.,70,47
2:52,197,Mitchell Solomon Offensive Rebound.,70,47
2:51,245,Foul on Tonny Trocha-Morelos.,70,47
2:51,197,Mitchell Solomon made Free Throw.,70,48
2:51,197,Mitchell Solomon missed Free Throw.,70,48
2:51,245,Tyler Davis Defensive Rebound.,70,48
2:26,245,DJ Hogg missed Jumper.,70,48
2:26,197,Lindy Waters III Defensive Rebound.,70,48
2:17,197,Cameron McGriff missed Three Point Jumper.,70,48
2:17,197,Mitchell Solomon Offensive Rebound.,70,48
2:06,197,Thomas Dziagwa missed Three Point Jumper.,70,48
2:06,245,Tyler Davis Defensive Rebound.,70,48
1:59,245,Tonny Trocha-Morelos made Dunk. Assisted by DJ Hogg.,72,48
1:37,197,Lindy Waters III made Three Point Jumper. Assisted by Kendall Smith.,72,51
1:37,197,Oklahoma State  Timeout,72,51
1:12,245,Duane Wilson Turnover.,72,51
0:51,197,Kendall Smith made Layup.,72,53
0:14,245,Robert Williams missed Three Point Jumper.,72,53
0:14,197,Mitchell Solomon Defensive Rebound.,72,53
0:10,245,Foul on Jay Jay Chandler.,72,53
0:10,197,Kendall Smith made Free Throw.,72,54
0:10,197,Kendall Smith made Free Throw.,72,55
0:00,197,End of Game,72,55
