Alabama State,236,Chattanooga,2011
12:13,236,Foul on David Jean-Baptiste.,4,11
12:09,2011,Foul on Branden Johnson.,4,11
12:05,2011,Branden Johnson Turnover.,4,11
12:02,236,David Jean-Baptiste made Three Point Jumper. Assisted by Makinde London.,4,14
11:44,236,Foul on James Lewis Jr..,4,14
11:44,236,Official TV Timeout,4,14
11:30,2011,Foul on Ed Jones.,4,14
11:30,2011,Ed Jones Turnover.,4,14
11:23,236,James Lewis Jr. made Layup. Assisted by Nat Dixon.,4,16
11:07,2011,Foul on Tobi Ewuosho.,4,16
11:07,2011,Tobi Ewuosho Turnover.,4,16
10:48,2011,Foul on Marice Wright.,4,16
10:48,2011,Alabama State  Timeout,4,16
10:48,236,Nat Dixon made Free Throw.,4,17
10:48,236,Nat Dixon made Free Throw.,4,18
10:28,2011,Reginald Gee missed Jumper.,4,18
10:28,236,James Lewis Jr. Defensive Rebound.,4,18
9:57,236,Duane Moss missed Jumper.,4,18
9:57,2011,Marice Wright Defensive Rebound.,4,18
9:32,2011,Marice Wright missed Jumper.,4,18
9:32,236,Nat Dixon Defensive Rebound.,4,18
9:02,236,James Lewis Jr. made Layup.,4,20
8:33,2011,Terrance LeFlore missed Jumper.,4,20
8:33,236,James Lewis Jr. Defensive Rebound.,4,20
8:13,236,James Lewis Jr. missed Layup.,4,20
8:13,2011,Marice Wright Block.,4,20
8:13,236,Chattanooga Offensive Rebound.,4,20
8:10,236,Jonathan Bryant II missed Layup.,4,20
8:10,2011,Reginald Gee Defensive Rebound.,4,20
8:06,236,Foul on Jonathan Bryant II.,4,20
7:38,2011,Alabama State  Turnover.,4,20
7:35,236,Official TV Timeout,4,20
7:24,236,Foul on Rodney Chatman.,4,20
7:24,236,Rodney Chatman Turnover.,4,20
7:04,2011,Fredens Deneus made Layup.,6,20
6:47,236,Rodney Chatman made Three Point Jumper. Assisted by Makinde London.,6,23
6:27,2011,Fredens Deneus Turnover.,6,23
6:10,2011,Foul on Terrance LeFlore.,6,23
6:10,236,Rodney Chatman made Free Throw.,6,24
6:10,236,Rodney Chatman made Free Throw.,6,25
5:53,2011,Reginald Gee made Layup.,8,25
5:36,236,Nat Dixon made Jumper.,8,27
5:13,2011,Fredens Deneus missed Jumper.,8,27
5:13,236,Nat Dixon Defensive Rebound.,8,27
5:00,236,Makinde London made Three Point Jumper. Assisted by Rodney Chatman.,8,30
4:36,236,Foul on Makinde London.,8,30
4:36,2011,Fredens Deneus made Free Throw.,9,30
4:36,2011,Fredens Deneus missed Free Throw.,8,30
4:36,2011,Alabama State Deadball Team Rebound.,8,30
4:12,236,Duane Moss made Three Point Jumper. Assisted by Rodney Chatman.,9,33
3:55,2011,Terrance LeFlore Turnover.,9,33
3:55,236,Official TV Timeout,9,33
3:34,236,Makinde London Turnover.,9,33
3:32,2011,Terrance LeFlore Steal.,9,33
3:27,2011,Jacoby Ross missed Three Point Jumper.,9,33
3:27,2011,Jacoby Ross Offensive Rebound.,9,33
3:22,2011,Jacoby Ross missed Layup.,9,33
3:22,236,Makinde London Block.,9,33
3:20,236,Makinde London Defensive Rebound.,9,33
3:03,2011,Foul on Fredens Deneus.,9,33
3:03,236,Makinde London missed Free Throw.,9,33
3:03,236,Chattanooga Deadball Team Rebound.,9,33
3:03,236,Makinde London made Free Throw.,9,34
2:53,2011,Jacoby Ross missed Jumper.,9,34
2:53,236,David Jean-Baptiste Defensive Rebound.,9,34
2:41,236,Duane Moss made Layup.,9,36
2:16,2011,Reginald Gee made Layup.,11,36
1:52,236,Makale Foreman made Three Point Jumper. Assisted by Duane Moss.,11,39
1:41,2011,Foul on Terrance LeFlore.,11,39
1:41,2011,Terrance LeFlore Turnover.,11,39
1:18,2011,Foul on Steve Rogers.,11,39
1:18,236,James Lewis Jr. missed Free Throw.,11,39
1:18,236,Chattanooga Deadball Team Rebound.,11,39
1:18,236,James Lewis Jr. made Free Throw.,11,40
1:03,236,Foul on James Lewis Jr..,11,40
1:03,2011,Reginald Gee missed Free Throw.,11,40
1:03,2011,Alabama State Deadball Team Rebound.,11,40
1:03,2011,Reginald Gee made Free Throw.,12,40
0:43,236,Jonathan Bryant II missed Jumper.,12,40
0:43,2011,Alabama State Defensive Rebound.,12,40
0:31,2011,Reginald Gee made Jumper.,14,40
0:03,236,Nat Dixon missed Layup.,14,40
0:03,236,Chattanooga Offensive Rebound.,14,40
0:00,236,End of 1st half,14,40
19:53,2011,Reginald Gee made Jumper.,16,40
19:26,236,Makinde London Turnover.,16,40
19:12,2011,Reginald Gee made Three Point Jumper. Assisted by Gene Davis.,19,40
18:50,236,Chattanooga  Timeout,19,40
18:50,236,Official TV Timeout,19,40
18:43,236,Makinde London made Layup.,19,42
18:27,2011,Reginald Gee made Three Point Jumper.,22,42
18:03,236,Nat Dixon Turnover.,22,42
17:47,2011,Reginald Gee missed Jumper.,22,42
17:47,236,Makinde London Defensive Rebound.,22,42
17:26,236,James Lewis Jr. missed Layup.,22,42
17:26,2011,Ed Jones Defensive Rebound.,22,42
17:18,2011,Gene Davis missed Jumper.,22,42
17:18,236,Chattanooga Defensive Rebound.,22,42
17:07,236,Makinde London Turnover.,22,42
17:06,2011,Reginald Gee Steal.,22,42
17:03,2011,Gene Davis Turnover.,22,42
17:02,236,Makinde London Steal.,22,42
16:42,236,Makinde London made Three Point Jumper. Assisted by Nat Dixon.,22,45
16:22,236,Foul on Rodney Chatman.,22,45
16:22,2011,Gene Davis made Free Throw.,23,45
16:22,2011,Gene Davis made Free Throw.,24,45
16:12,236,Makale Foreman Turnover.,24,45
16:11,2011,Steve Rogers Steal.,24,45
16:08,2011,Branden Johnson missed Layup.,24,45
16:08,2011,Alabama State Offensive Rebound.,24,45
15:38,2011,Gene Davis Turnover.,24,45
15:38,236,Makinde London Steal.,24,45
15:38,236,Official TV Timeout,24,45
15:25,2011,Foul on Steve Rogers.,24,45
15:15,2011,Foul on Tobi Ewuosho.,24,45
15:15,236,Makinde London made Free Throw.,24,46
15:15,236,Makinde London made Free Throw.,24,47
15:06,2011,Ed Jones missed Jumper.,24,47
15:06,236,Makinde London Defensive Rebound.,24,47
14:36,236,Makale Foreman missed Three Point Jumper.,24,47
14:36,2011,Reginald Gee Defensive Rebound.,24,47
14:13,236,Foul on Nat Dixon.,24,47
14:13,2011,Ed Jones made Free Throw.,25,47
14:13,2011,Ed Jones missed Free Throw.,25,47
14:13,236,Duane Moss Defensive Rebound.,25,47
14:03,236,Nat Dixon made Dunk.,25,49
13:40,2011,Reginald Gee missed Jumper.,25,49
13:40,236,Makinde London Defensive Rebound.,25,49
13:12,236,Duane Moss made Three Point Jumper. Assisted by Makale Foreman.,25,52
12:39,2011,Tobi Ewuosho made Layup. Assisted by Reginald Gee.,27,52
12:19,236,Makinde London Turnover.,27,52
12:05,2011,Steve Rogers missed Jumper.,27,52
12:05,2011,Tobi Ewuosho Offensive Rebound.,27,52
11:52,2011,Jacoby Ross made Three Point Jumper. Assisted by Terrance LeFlore.,30,52
11:24,2011,Foul on Terrance LeFlore.,30,52
11:24,236,Official TV Timeout,30,52
11:18,236,Rodney Chatman made Layup.,30,54
10:56,2011,Jacoby Ross missed Jumper.,30,54
10:56,236,Rodney Chatman Defensive Rebound.,30,54
10:45,236,Chattanooga  Turnover.,30,54
10:33,236,Foul on Duane Moss.,30,54
10:33,2011,Reginald Gee made Free Throw.,31,54
10:33,2011,Reginald Gee made Free Throw.,32,54
10:29,236,Duane Moss Turnover.,32,54
10:23,2011,Tobi Ewuosho Steal.,32,54
10:20,236,Foul on Duane Moss.,32,54
10:20,2011,Tobi Ewuosho missed Free Throw.,32,54
10:20,2011,Alabama State Deadball Team Rebound.,32,54
10:20,2011,Tobi Ewuosho made Free Throw.,33,54
10:05,2011,Foul on Fausto Pichardo.,33,54
10:05,236,Rodney Chatman made Free Throw.,33,55
10:05,236,Rodney Chatman made Free Throw.,33,56
9:37,2011,Gene Davis missed Jumper.,33,56
9:37,236,Rodney Chatman Defensive Rebound.,33,56
9:18,2011,Foul on Branden Johnson.,33,56
9:10,236,Rodney Chatman missed Three Point Jumper.,33,56
9:10,2011,Reginald Gee Defensive Rebound.,33,56
9:00,2011,Ed Jones missed Jumper.,33,56
9:00,236,Makinde London Defensive Rebound.,33,56
8:43,236,James Lewis Jr. missed Jumper.,33,56
8:43,236,Nat Dixon Offensive Rebound.,33,56
8:35,236,Dylan Brewster missed Three Point Jumper.,33,56
8:35,236,James Lewis Jr. Offensive Rebound.,33,56
8:32,236,James Lewis Jr. Turnover.,33,56
8:31,2011,Terrance LeFlore Steal.,33,56
8:28,236,Foul on Dylan Brewster.,33,56
8:17,2011,Reginald Gee made Three Point Jumper.,36,56
7:54,236,Makinde London made Three Point Jumper. Assisted by Duane Moss.,36,59
7:21,2011,Ed Jones missed Jumper.,36,59
7:21,236,Nat Dixon Defensive Rebound.,36,59
6:57,236,Rodney Chatman missed Layup.,36,59
6:57,2011,Fausto Pichardo Defensive Rebound.,36,59
6:47,2011,Reginald Gee missed Three Point Jumper.,36,59
6:47,236,Nat Dixon Defensive Rebound.,36,59
6:27,236,Nat Dixon made Layup.,36,61
6:27,2011,Foul on Fausto Pichardo.,36,61
6:27,236,Official TV Timeout,36,61
6:27,236,Nat Dixon made Free Throw.,36,62
6:11,2011,Foul on Ed Jones.,36,62
6:11,2011,Ed Jones Turnover.,36,62
5:43,236,David Jean-Baptiste made Jumper.,36,64
5:29,2011,Gene Davis made Jumper.,38,64
5:11,236,Dylan Brewster Turnover.,38,64
5:09,2011,Ed Jones Steal.,38,64
5:06,2011,Gene Davis missed Three Point Jumper.,38,64
5:06,236,David Jean-Baptiste Defensive Rebound.,38,64
4:41,236,David Jean-Baptiste made Three Point Jumper. Assisted by Dylan Brewster.,38,67
4:25,236,Foul on James Lewis Jr..,38,67
4:12,236,Foul on James Lewis Jr..,38,67
4:12,2011,Reginald Gee made Free Throw.,39,67
4:12,2011,Reginald Gee made Free Throw.,40,67
4:12,236,Duane Moss Turnover.,40,67
4:11,2011,Jacoby Ross Steal.,40,67
4:09,2011,Jacoby Ross made Layup.,42,67
3:54,2011,Foul on Branden Johnson.,42,67
3:54,236,Official TV Timeout,42,67
3:54,236,Jonathan Bryant II missed Free Throw.,42,67
3:54,2011,Steve Rogers Defensive Rebound.,42,67
3:42,2011,Steve Rogers missed Layup.,42,67
3:42,2011,Reginald Gee Offensive Rebound.,42,67
3:36,236,Foul on David Jean-Baptiste.,42,67
3:36,2011,Reginald Gee made Free Throw.,43,67
3:36,2011,Reginald Gee made Free Throw.,44,67
3:25,236,Dylan Brewster Turnover.,44,67
3:15,2011,Steve Rogers missed Jumper.,44,67
3:15,236,James Lewis Jr. Defensive Rebound.,44,67
3:03,236,Dylan Brewster Turnover.,44,67
3:02,2011,Reginald Gee Steal.,44,67
2:55,2011,Jacoby Ross missed Three Point Jumper.,44,67
2:55,2011,Steve Rogers Offensive Rebound.,44,67
2:51,236,Foul on Dylan Brewster.,44,67
2:51,2011,Steve Rogers missed Free Throw.,44,67
2:51,236,Duane Moss Defensive Rebound.,44,67
2:39,236,Jonathan Bryant II Turnover.,44,67
2:37,2011,Steve Rogers Steal.,44,67
2:32,236,Foul on A.J. Bowers.,44,67
2:32,2011,Tobi Ewuosho made Free Throw.,45,67
2:32,2011,Tobi Ewuosho made Free Throw.,46,67
2:15,2011,Foul on Ed Jones.,46,67
2:15,236,Rodney Chatman missed Free Throw.,46,67
2:15,236,Chattanooga Deadball Team Rebound.,46,67
2:15,236,Rodney Chatman missed Free Throw.,46,67
2:15,2011,Tobi Ewuosho Defensive Rebound.,46,67
2:13,236,Foul on James Lewis Jr..,46,67
2:13,2011,Tobi Ewuosho made Free Throw.,47,67
2:13,2011,Tobi Ewuosho made Free Throw.,48,67
1:46,236,Makale Foreman missed Three Point Jumper.,48,67
1:46,2011,Tobi Ewuosho Defensive Rebound.,48,67
1:31,2011,Reginald Gee missed Three Point Jumper.,48,67
1:31,236,A.J. Bowers Defensive Rebound.,48,67
1:03,236,Nat Dixon missed Three Point Jumper.,48,67
1:03,236,Makinde London Offensive Rebound.,48,67
0:48,236,Makinde London missed Three Point Jumper.,48,67
0:48,2011,Austin Rogers Defensive Rebound.,48,67
0:23,2011,Jacoby Ross made Layup.,50,67
0:00,236,End of Game,50,67
