Presbyterian,2429,Charlotte,2506
13:11,2506,Reggie Dillard made Layup.,13,12
12:59,2506,Foul on Montenia Nelson.,13,12
12:47,2429,Austin Ajukwa made Three Point Jumper. Assisted by Hudson Price.,13,15
12:30,2506,Francois Lewis missed Jumper.,13,15
12:30,2429,Hudson Price Defensive Rebound.,13,15
12:20,2429,Ryan Murphy made Three Point Jumper. Assisted by Hudson Price.,13,18
11:47,2506,Jaron Withers made Layup.,15,18
11:30,2429,Najee Garvin made Layup. Assisted by Austin Ajukwa.,15,20
11:05,2506,Francois Lewis made Jumper. Assisted by JC Younger.,17,20
10:52,2429,Jon Davis made Three Point Jumper. Assisted by Ryan Murphy.,17,23
10:30,2429,Foul on Ryan Murphy.,17,23
10:30,2429,Official TV Timeout,17,23
10:11,2506,Davon Bell made Three Point Jumper.,20,23
9:57,2429,Ryan Murphy missed Three Point Jumper.,20,23
9:57,2429,Jailan Haslem Offensive Rebound.,20,23
9:54,2506,Foul on Armel TeTe.,20,23
9:52,2506,Foul on Armel TeTe.,20,23
9:43,2506,Foul on Romeo Crouch.,20,23
9:43,2429,Jon Davis made Dunk. Assisted by Ryan Murphy.,20,25
9:21,2429,Foul on Austin Ajukwa.,20,25
9:21,2506,Reggie Dillard missed Free Throw.,20,25
9:21,2506,Presbyterian Deadball Team Rebound.,20,25
9:21,2506,Reggie Dillard made Free Throw.,21,25
9:08,2429,Ryan Murphy missed Layup.,21,25
9:08,2506,Montenia Nelson Defensive Rebound.,21,25
9:04,2506,Montenia Nelson Turnover.,21,25
9:03,2429,Jon Davis Steal.,21,25
9:00,2429,Jon Davis made Dunk.,21,27
8:27,2506,Davon Bell missed Jumper.,21,27
8:27,2429,Hudson Price Defensive Rebound.,21,27
8:19,2429,Ryan Murphy Turnover.,21,27
8:06,2506,Reggie Dillard missed Three Point Jumper.,21,27
8:06,2429,Jailan Haslem Defensive Rebound.,21,27
7:56,2429,Jon Davis Turnover.,21,27
7:56,2429,Official TV Timeout,21,27
7:43,2506,Francois Lewis made Three Point Jumper. Assisted by Davon Bell.,24,27
7:20,2429,Jailan Haslem made Jumper. Assisted by Jon Davis.,24,29
6:59,2506,Francois Lewis missed Three Point Jumper.,24,29
6:59,2429,Jon Davis Defensive Rebound.,24,29
6:52,2506,Foul on JC Younger.,24,29
6:52,2429,Jon Davis missed Free Throw.,24,29
6:52,2429,Charlotte Deadball Team Rebound.,24,29
6:52,2429,Jon Davis missed Free Throw.,24,29
6:52,2506,Reggie Dillard Defensive Rebound.,24,29
6:42,2429,Foul on Andrien White.,24,29
6:31,2506,Davon Bell made Layup.,26,29
6:31,2429,Foul on Milos Supica.,26,29
6:31,2506,Davon Bell made Free Throw.,27,29
6:15,2506,Foul on Jaron Withers.,27,29
6:15,2429,Milos Supica made Free Throw.,27,30
6:15,2429,Milos Supica made Free Throw.,27,31
5:57,2506,Reggie Dillard missed Layup.,27,31
5:57,2429,Milos Supica Defensive Rebound.,27,31
5:51,2429,Jon Davis missed Jumper.,27,31
5:51,2429,Austin Ajukwa Offensive Rebound.,27,31
5:49,2429,Austin Ajukwa made Two Point Tip Shot.,27,33
5:30,2506,Davon Bell missed Three Point Jumper.,27,33
5:30,2429,Luka Vasic Defensive Rebound.,27,33
5:03,2429,Austin Ajukwa missed Jumper.,27,33
5:03,2506,Francois Lewis Defensive Rebound.,27,33
4:38,2506,Reggie Dillard Turnover.,27,33
4:30,2506,Foul on Montenia Nelson.,27,33
4:30,2429,Jon Davis missed Free Throw.,27,33
4:30,2506,Ruben Arroyo Defensive Rebound.,27,33
4:19,2506,JC Younger made Layup.,29,33
4:05,2429,Hudson Price missed Jumper.,29,33
4:05,2506,Ruben Arroyo Defensive Rebound.,29,33
3:59,2429,Foul on Luka Vasic.,29,33
3:59,2429,Official TV Timeout,29,33
3:59,2506,Davon Bell made Free Throw.,30,33
3:59,2506,Davon Bell made Free Throw.,31,33
3:45,2429,Milos Supica Turnover.,31,33
3:30,2506,Reggie Dillard missed Three Point Jumper.,31,33
3:30,2429,Austin Ajukwa Defensive Rebound.,31,33
3:15,2429,Luka Vasic missed Jumper.,31,33
3:15,2506,Reggie Dillard Defensive Rebound.,31,33
3:08,2429,Foul on Hudson Price.,31,33
3:08,2506,Reggie Dillard made Free Throw.,32,33
3:08,2506,Reggie Dillard missed Free Throw.,32,33
3:08,2429,Najee Garvin Defensive Rebound.,32,33
2:47,2429,Luka Vasic missed Jumper.,32,33
2:47,2506,JC Younger Defensive Rebound.,32,33
2:47,2429,Foul on Luka Vasic.,32,33
2:47,2506,JC Younger made Free Throw.,33,33
2:47,2506,JC Younger made Free Throw.,34,33
2:47,2506,Presbyterian  Timeout,34,33
2:37,2429,Jon Davis missed Jumper.,34,33
2:37,2506,Montenia Nelson Defensive Rebound.,34,33
2:31,2506,Reggie Dillard missed Three Point Jumper.,34,33
2:31,2429,Najee Garvin Defensive Rebound.,34,33
2:24,2429,Jaylan McGill missed Three Point Jumper.,34,33
2:24,2506,Davon Bell Defensive Rebound.,34,33
2:01,2506,Reggie Dillard Turnover.,34,33
1:50,2429,Austin Ajukwa missed Three Point Jumper.,34,33
1:50,2506,Davon Bell Defensive Rebound.,34,33
1:34,2506,Davon Bell made Jumper.,36,33
1:14,2429,Najee Garvin missed Jumper.,36,33
1:14,2506,JC Younger Defensive Rebound.,36,33
0:53,2429,Foul on Austin Ajukwa.,36,33
0:53,2506,Francois Lewis made Free Throw.,37,33
0:53,2506,Francois Lewis made Free Throw.,38,33
0:33,2429,Jailan Haslem missed Jumper.,38,33
0:33,2506,Francois Lewis Defensive Rebound.,38,33
0:04,2506,Davon Bell missed Layup.,38,33
0:04,2429,Ryan Murphy Defensive Rebound.,38,33
0:00,2429,End of 1st half,38,33
19:42,2506,Reggie Dillard made Three Point Jumper. Assisted by Davon Bell.,41,33
19:23,2429,Andrien White missed Three Point Jumper.,41,33
19:23,2506,Davon Bell Defensive Rebound.,41,33
18:55,2506,Armel TeTe made Jumper.,43,33
18:55,2429,Foul on Jailan Haslem.,43,33
18:55,2506,Armel TeTe missed Free Throw.,43,33
18:55,2429,Hudson Price Defensive Rebound.,43,33
18:42,2506,Foul on Davon Bell.,43,33
18:40,2429,Ryan Murphy made Jumper. Assisted by Jon Davis.,43,35
18:14,2506,Davon Bell missed Jumper.,43,35
18:14,2429,Hudson Price Defensive Rebound.,43,35
18:04,2429,Jon Davis made Jumper.,43,37
17:44,2429,Technical Foul on Andrien White.,43,37
17:44,2429,Foul on Andrien White.,43,37
17:44,2506,Reggie Dillard missed Free Throw.,43,37
17:44,2506,Presbyterian Deadball Team Rebound.,43,37
17:44,2506,Reggie Dillard made Free Throw.,44,37
17:24,2506,Reggie Dillard Turnover.,44,37
17:23,2429,Ryan Murphy Steal.,44,37
17:21,2429,Andrien White made Dunk. Assisted by Ryan Murphy.,44,39
17:07,2506,Presbyterian  Timeout,44,39
17:07,2429,Official TV Timeout,44,39
16:48,2506,Jaron Withers made Layup.,46,39
16:37,2429,Foul on Andrien White.,46,39
16:37,2429,Andrien White Turnover.,46,39
16:22,2506,Jaron Withers Turnover.,46,39
16:20,2429,Jon Davis Steal.,46,39
16:16,2429,Jon Davis missed Layup.,46,39
16:16,2429,Milos Supica Offensive Rebound.,46,39
16:13,2429,Milos Supica made Layup.,46,41
15:40,2506,Francois Lewis missed Three Point Jumper.,46,41
15:40,2429,Hudson Price Defensive Rebound.,46,41
15:30,2429,Austin Ajukwa made Three Point Jumper. Assisted by Jon Davis.,46,44
15:00,2506,Davon Bell made Layup.,48,44
14:50,2429,Ryan Murphy made Three Point Jumper. Assisted by Jon Davis.,48,47
14:16,2506,Davon Bell missed Layup.,48,47
14:16,2429,Austin Ajukwa Defensive Rebound.,48,47
14:10,2506,Foul on Jaron Withers.,48,47
14:10,2429,Official TV Timeout,48,47
14:10,2429,Milos Supica missed Free Throw.,48,47
14:10,2429,Charlotte Deadball Team Rebound.,48,47
14:10,2429,Milos Supica missed Free Throw.,48,47
14:10,2506,Francois Lewis Defensive Rebound.,48,47
13:45,2506,Ruben Arroyo Turnover.,48,47
13:42,2429,Hudson Price Steal.,48,47
13:36,2429,Jon Davis missed Three Point Jumper.,48,47
13:36,2506,Reggie Dillard Defensive Rebound.,48,47
13:28,2506,Ruben Arroyo missed Jumper.,48,47
13:28,2506,Romeo Crouch Offensive Rebound.,48,47
13:22,2506,Romeo Crouch missed Layup.,48,47
13:22,2506,Romeo Crouch Offensive Rebound.,48,47
13:20,2506,Romeo Crouch made Layup.,50,47
13:00,2429,Milos Supica made Layup.,50,49
12:41,2506,Foul on Reggie Dillard.,50,49
12:41,2506,Reggie Dillard Turnover.,50,49
12:30,2429,Austin Ajukwa made Three Point Jumper. Assisted by Ryan Murphy.,50,52
12:16,2506,Romeo Crouch Turnover.,50,52
12:14,2429,Jon Davis Steal.,50,52
12:13,2429,Jon Davis made Layup.,50,54
11:54,2506,Reggie Dillard made Layup.,52,54
11:47,2429,Jon Davis made Layup.,52,56
11:44,2429,Official TV Timeout,52,56
11:16,2506,Foul on Jaron Withers.,52,56
11:16,2506,Jaron Withers Turnover.,52,56
11:07,2429,Jon Davis missed Layup.,52,56
11:07,2429,Jon Davis Offensive Rebound.,52,56
11:02,2506,Foul on Francois Lewis.,52,56
11:02,2429,Jon Davis made Free Throw.,52,57
11:02,2429,Jon Davis made Free Throw.,52,58
10:41,2429,Foul on Jon Davis.,52,58
10:41,2506,Reggie Dillard made Free Throw.,53,58
10:41,2506,Reggie Dillard made Free Throw.,54,58
10:33,2429,Jon Davis made Layup.,54,60
10:16,2506,Reggie Dillard made Three Point Jumper. Assisted by Davon Bell.,57,60
10:01,2429,Ryan Murphy missed Three Point Jumper.,57,60
10:01,2506,Montenia Nelson Defensive Rebound.,57,60
9:46,2506,Armel TeTe missed Jumper.,57,60
9:46,2429,Austin Ajukwa Defensive Rebound.,57,60
9:25,2429,Jon Davis Turnover.,57,60
9:24,2506,Davon Bell Steal.,57,60
9:21,2506,Davon Bell made Layup.,59,60
9:16,2506,Foul on Davon Bell.,59,60
9:13,2506,Foul on Montenia Nelson.,59,60
9:13,2429,Najee Garvin made Free Throw.,59,61
9:13,2429,Najee Garvin missed Free Throw.,59,61
9:13,2506,Reggie Dillard Defensive Rebound.,59,61
8:54,2506,Montenia Nelson Turnover.,59,61
8:53,2429,Austin Ajukwa Steal.,59,61
8:50,2429,Jaylan McGill missed Layup.,59,61
8:50,2506,Reggie Dillard Block.,59,61
8:48,2429,Charlotte Offensive Rebound.,59,61
8:45,2506,Foul on Ruben Arroyo.,59,61
8:45,2429,Najee Garvin made Free Throw.,59,62
8:45,2429,Najee Garvin made Free Throw.,59,63
8:21,2506,Reggie Dillard missed Jumper.,59,63
8:21,2429,Jailan Haslem Defensive Rebound.,59,63
8:02,2506,Foul on Francois Lewis.,59,63
8:00,2429,Official TV Timeout,59,63
8:00,2429,Jailan Haslem missed Free Throw.,59,63
8:00,2506,Reggie Dillard Defensive Rebound.,59,63
7:47,2429,Foul on Jailan Haslem.,59,63
7:43,2506,JC Younger missed Three Point Jumper.,59,63
7:43,2429,Najee Garvin Defensive Rebound.,59,63
7:23,2429,Jailan Haslem Turnover.,59,63
7:04,2506,Francois Lewis made Layup. Assisted by Davon Bell.,61,63
6:54,2429,Jaylan McGill made Three Point Jumper. Assisted by Jon Davis.,61,66
6:33,2429,Foul on Milos Supica.,61,66
6:30,2506,Reggie Dillard made Three Point Jumper. Assisted by Francois Lewis.,64,66
5:58,2429,Jon Davis missed Layup.,64,66
5:58,2429,Milos Supica Offensive Rebound.,64,66
5:55,2429,Milos Supica made Two Point Tip Shot.,64,68
5:41,2429,Foul on Jaylan McGill.,64,68
5:41,2506,Davon Bell made Free Throw.,65,68
5:41,2506,Davon Bell made Free Throw.,66,68
5:21,2429,Najee Garvin made Jumper.,66,70
5:03,2506,Davon Bell missed Layup.,66,70
5:03,2429,Najee Garvin Defensive Rebound.,66,70
4:52,2429,Najee Garvin missed Jumper.,66,70
4:52,2506,Reggie Dillard Defensive Rebound.,66,70
4:19,2506,Jaron Withers missed Layup.,66,70
4:19,2429,Najee Garvin Defensive Rebound.,66,70
4:13,2506,Foul on Jaron Withers.,66,70
4:13,2429,Jon Davis made Free Throw.,66,71
4:13,2429,Jon Davis made Free Throw.,66,72
3:52,2506,JC Younger missed Three Point Jumper.,66,72
3:52,2429,Milos Supica Defensive Rebound.,66,72
3:50,2506,Foul on Armel TeTe.,66,72
3:50,2429,Official TV Timeout,66,72
3:50,2429,Milos Supica made Free Throw.,66,73
3:50,2429,Milos Supica missed Free Throw.,66,73
3:50,2506,Francois Lewis Defensive Rebound.,66,73
3:36,2506,Francois Lewis missed Three Point Jumper.,66,73
3:36,2429,Hudson Price Defensive Rebound.,66,73
3:21,2506,Foul on Francois Lewis.,66,73
3:21,2429,Jon Davis missed Free Throw.,66,73
3:21,2429,Charlotte Deadball Team Rebound.,66,73
3:21,2429,Jon Davis made Free Throw.,66,74
3:10,2506,Davon Bell made Layup.,68,74
2:55,2429,Andrien White made Three Point Jumper. Assisted by Jon Davis.,68,77
2:31,2506,Reggie Dillard missed Three Point Jumper.,68,77
2:31,2429,Jon Davis Defensive Rebound.,68,77
2:05,2429,Jaylan McGill missed Three Point Jumper.,68,77
2:05,2506,Presbyterian Defensive Rebound.,68,77
1:49,2506,JC Younger missed Three Point Jumper.,68,77
1:49,2429,Andrien White Defensive Rebound.,68,77
1:31,2429,Milos Supica made Layup. Assisted by Hudson Price.,68,79
1:12,2506,Davon Bell made Three Point Jumper.,71,79
1:10,2506,Presbyterian  Timeout,71,79
0:41,2429,Jon Davis made Layup.,71,81
0:31,2506,Romeo Crouch missed Jumper.,71,81
0:31,2429,Milos Supica Block.,71,81
0:30,2429,Milos Supica Defensive Rebound.,71,81
0:25,2506,Foul on Romeo Crouch.,71,81
0:25,2429,Jon Davis made Free Throw.,71,82
0:25,2429,Jon Davis made Free Throw.,71,83
0:15,2506,Davon Bell made Three Point Jumper.,74,83
0:00,2429,End of Game,74,83
