Blue Mountain College,Error,Southern Miss,2572
2:08,2572,Josh Conley Defensive Rebound.,43,88
2:01,2572,Rodney Gill missed Three Point Jumper.,43,88
2:01,-1,Viktor Lorenzen Defensive Rebound.,43,88
1:52,2572,Foul on Josh Conley.,43,88
1:49,-1,Viktor Lorenzen missed Three Point Jumper.,43,88
1:49,2572,Josh Conley Defensive Rebound.,43,88
1:36,2572,Rodney Gill missed Three Point Jumper.,43,88
1:36,-1,Viktor Lorenzen Defensive Rebound.,43,88
1:14,-1,Tavares McGlaun missed Three Point Jumper.,43,88
1:14,-1,Cole Hatcher Offensive Rebound.,43,88
1:06,-1,Dominic Hudson made Three Point Jumper. Assisted by Tavares McGlaun.,46,88
0:54,2572,D'Angelo Richardson made Layup.,46,90
0:36,-1,Dominic Hudson missed Three Point Jumper.,46,90
0:36,2572,Rodney Gill Defensive Rebound.,46,90
0:19,2572,Rodney Gill missed Layup.,46,90
0:19,-1,Kyler Mahar Defensive Rebound.,46,90
0:10,-1,Tavares McGlaun missed Three Point Jumper.,46,90
0:10,2572,Josh Conley Defensive Rebound.,46,90
0:00,2572,End of Game,46,90
