Richmond,5,UAB,257
15:56,5,Zack Bryant missed Three Point Jumper.,42,26
15:56,257,Jacob Gilyard Defensive Rebound.,42,26
15:44,5,Foul on William Lee.,42,26
15:44,5,Official TV Timeout,42,26
15:44,257,Nathan Cayo missed Free Throw.,42,26
15:44,257,Richmond Deadball Team Rebound.,42,26
15:44,257,Nathan Cayo missed Free Throw.,42,26
15:44,5,Chris Cokley Defensive Rebound.,42,26
15:23,5,Nate Darling Turnover.,42,26
15:22,257,De'Monte Buckingham Steal.,42,26
14:57,257,Grant Golden missed Jumper.,42,26
14:57,5,William Lee Defensive Rebound.,42,26
14:50,5,Jalen Perry missed Layup.,42,26
14:50,257,Nathan Cayo Defensive Rebound.,42,26
14:33,257,Julius Johnson missed Three Point Jumper.,42,26
14:33,5,Chris Cokley Defensive Rebound.,42,26
14:15,257,Foul on Julius Johnson.,42,26
14:15,5,Nate Darling made Free Throw.,42,27
14:15,5,Nate Darling made Free Throw.,42,28
13:48,257,Grant Golden made Layup. Assisted by Nathan Cayo.,44,28
13:39,5,Nick Norton made Jumper. Assisted by Jalen Perry.,44,30
13:17,257,Grant Golden missed Three Point Jumper.,44,30
13:17,5,Deion Lavender Defensive Rebound.,44,30
13:10,5,Lewis Sullivan Turnover.,44,30
12:55,257,De'Monte Buckingham Turnover.,44,30
12:43,257,Foul on Nathan Cayo.,44,30
12:43,5,William Lee missed Free Throw.,44,30
12:43,5,UAB Deadball Team Rebound.,44,30
12:43,5,William Lee made Free Throw.,44,31
12:24,5,Foul on Lewis Sullivan.,44,31
12:05,257,Nick Sherod Turnover.,44,31
11:49,257,Foul on Jacob Gilyard.,44,31
11:49,5,Official TV Timeout,44,31
11:43,5,Nick Norton made Three Point Jumper. Assisted by Deion Lavender.,44,34
11:11,257,De'Monte Buckingham missed Three Point Jumper.,44,34
11:11,5,Deion Lavender Defensive Rebound.,44,34
11:01,5,Jalen Perry missed Three Point Jumper.,44,34
11:01,257,De'Monte Buckingham Defensive Rebound.,44,34
10:38,257,De'Monte Buckingham missed Jumper.,44,34
10:38,5,Deion Lavender Defensive Rebound.,44,34
10:10,5,Deion Lavender missed Three Point Jumper.,44,34
10:10,257,Jacob Gilyard Block.,44,34
10:10,5,Deion Lavender Offensive Rebound.,44,34
10:10,5,Deion Lavender Turnover.,44,34
9:50,257,Solly Stansbury missed Three Point Jumper.,44,34
9:50,5,Chris Cokley Defensive Rebound.,44,34
9:39,5,Nick Norton missed Layup.,44,34
9:39,257,Grant Golden Defensive Rebound.,44,34
9:22,5,Foul on Chris Cokley.,44,34
9:16,257,Solly Stansbury missed Jumper.,44,34
9:16,5,Chris Cokley Defensive Rebound.,44,34
8:55,257,Foul on Solly Stansbury.,44,34
8:55,257,Technical Foul on De'Monte Buckingham.,44,34
8:55,5,Nate Darling made Free Throw.,44,35
8:51,5,Chris Cokley made Jumper.,44,37
8:30,257,Nick Sherod made Jumper.,46,37
8:04,5,Zack Bryant made Three Point Jumper. Assisted by Nate Darling.,46,40
7:43,5,Foul on Chris Cokley.,46,40
7:43,5,Official TV Timeout,46,40
7:43,257,Grant Golden made Free Throw.,47,40
7:43,257,Grant Golden made Free Throw.,48,40
7:24,5,Chris Cokley missed Jumper.,48,40
7:24,257,Grant Golden Defensive Rebound.,48,40
7:05,257,Grant Golden made Three Point Jumper. Assisted by Solly Stansbury.,51,40
6:46,5,Nate Darling missed Jumper.,51,40
6:46,5,Chris Cokley Offensive Rebound.,51,40
6:40,5,Nick Norton made Three Point Jumper. Assisted by Jalen Perry.,51,43
6:24,257,Grant Golden missed Three Point Jumper.,51,43
6:24,257,De'Monte Buckingham Offensive Rebound.,51,43
6:19,257,De'Monte Buckingham made Jumper.,53,43
5:57,5,William Lee missed Three Point Jumper.,53,43
5:57,257,Solly Stansbury Defensive Rebound.,53,43
5:32,257,Solly Stansbury Turnover.,53,43
5:14,5,Nick Norton missed Layup.,53,43
5:14,257,Grant Golden Block.,53,43
5:12,257,Grant Golden Defensive Rebound.,53,43
4:52,257,Grant Golden missed Three Point Jumper.,53,43
4:52,5,Nick Norton Defensive Rebound.,53,43
4:43,5,Zack Bryant made Three Point Jumper. Assisted by Nick Norton.,53,46
4:17,257,De'Monte Buckingham missed Three Point Jumper.,53,46
4:17,5,William Lee Defensive Rebound.,53,46
4:03,5,Chris Cokley missed Jumper.,53,46
4:03,257,Richmond Defensive Rebound.,53,46
3:45,257,Solly Stansbury made Layup. Assisted by Nick Sherod.,55,46
3:44,257,Richmond  Timeout,55,46
3:44,5,Official TV Timeout,55,46
3:44,5,Official TV Timeout,55,46
3:27,5,Nick Norton missed Three Point Jumper.,55,46
3:27,257,De'Monte Buckingham Defensive Rebound.,55,46
2:59,257,Grant Golden Turnover.,55,46
2:57,5,Deion Lavender Steal.,55,46
2:55,257,Foul on De'Monte Buckingham.,55,46
2:55,5,Official TV Timeout,55,46
2:55,5,Deion Lavender missed Free Throw.,55,46
2:55,5,UAB Deadball Team Rebound.,55,46
2:55,5,Deion Lavender made Free Throw.,55,47
2:31,257,Nick Sherod made Three Point Jumper. Assisted by De'Monte Buckingham.,58,47
2:18,5,Nate Darling missed Three Point Jumper.,58,47
2:18,257,Richmond Defensive Rebound.,58,47
2:00,5,Foul on Nick Norton.,58,47
2:00,257,Jacob Gilyard missed Free Throw.,58,47
2:00,257,Solly Stansbury Offensive Rebound.,58,47
1:48,257,Grant Golden made Three Point Jumper. Assisted by Solly Stansbury.,61,47
1:30,257,Foul on Grant Golden.,61,47
1:25,5,Chris Cokley made Free Throw.,61,48
1:25,5,Chris Cokley made Free Throw.,61,49
1:11,5,Foul on Nate Darling.,61,49
1:11,257,Joe Kirby missed Free Throw.,61,49
1:11,5,Jalen Perry Defensive Rebound.,61,49
1:04,5,Nate Darling missed Three Point Jumper.,61,49
1:04,257,Grant Golden Block.,61,49
1:02,5,UAB Offensive Rebound.,61,49
1:02,257,Technical Foul on Grant Golden.,61,49
1:02,5,Nate Darling missed Free Throw.,61,49
1:02,5,UAB Deadball Team Rebound.,61,49
1:02,5,Nate Darling made Free Throw.,61,50
0:57,5,Nate Darling missed Three Point Jumper.,61,50
0:57,5,Lewis Sullivan Offensive Rebound.,61,50
0:53,5,Lewis Sullivan Turnover.,61,50
0:51,257,Grant Golden Steal.,61,50
0:43,5,Foul on Jalen Perry.,61,50
0:43,257,Nick Sherod made Free Throw.,62,50
0:43,257,Nick Sherod made Free Throw.,63,50
0:33,5,Zack Bryant missed Layup.,63,50
0:33,257,Nick Sherod Defensive Rebound.,63,50
0:11,257,Solly Stansbury missed Three Point Jumper.,63,50
0:11,5,Makhtar Gueye Defensive Rebound.,63,50
0:02,5,Makhtar Gueye Turnover.,63,50
0:01,257,Nick Sherod Steal.,63,50
0:00,5,End of Game,63,50
