UT Rio Grande Valley,249,North Texas,292
11:50,249,Official TV Timeout,9,14
11:50,249,Ryan Woolridge made Free Throw.,9,15
11:50,249,Ryan Woolridge made Free Throw.,9,16
11:41,292,Javon Levi missed Layup.,9,16
11:41,249,A.J. Lawson Defensive Rebound.,9,16
11:39,292,Foul on Dan Kimasa.,9,16
11:21,249,A.J. Lawson Turnover.,9,16
11:19,292,Lesley Varner Jr. Steal.,9,16
11:13,292,Lew Stallworth made Layup.,11,16
10:56,292,Foul on Javon Levi.,11,16
10:56,249,Ryan Woolridge made Free Throw.,11,17
10:56,249,Ryan Woolridge missed Free Throw.,11,17
10:56,292,Dan Kimasa Defensive Rebound.,11,17
10:46,249,Foul on Michael Miller.,11,17
10:46,292,Lesley Varner Jr. made Free Throw.,12,17
10:46,292,Lesley Varner Jr. made Free Throw.,13,17
10:46,292,Lesley Varner Jr. made Free Throw.,14,17
10:29,249,A.J. Lawson made Jumper.,14,19
10:18,292,Dan Kimasa missed Jumper.,14,19
10:18,249,A.J. Lawson Defensive Rebound.,14,19
10:09,249,Jorden Duffy missed Three Point Jumper.,14,19
9:59,292,Lew Stallworth Defensive Rebound.,14,19
9:50,292,Lew Stallworth made Layup.,16,19
9:38,292,Foul on Lesley Varner Jr..,16,19
9:38,249,A.J. Lawson missed Free Throw.,16,19
9:38,249,Allante Holston Offensive Rebound.,16,19
9:28,249,A.J. Lawson missed Three Point Jumper.,16,19
9:28,292,Dan Kimasa Defensive Rebound.,16,19
9:14,249,Foul on Jorden Duffy.,16,19
9:14,292,Lesley Varner Jr. missed Free Throw.,16,19
9:14,292,UT Rio Grande Valley Deadball Team Rebound.,16,19
9:14,292,Lesley Varner Jr. made Free Throw.,17,19
8:57,249,Allante Holston missed Layup.,17,19
8:57,292,Mike Hoffman Defensive Rebound.,17,19
8:40,292,John Crnogorac made Dunk.,19,19
8:27,292,Foul on Lesley Varner Jr..,19,19
8:27,249,Ryan Woolridge made Free Throw.,19,20
8:27,249,Ryan Woolridge missed Free Throw.,19,20
8:27,292,Xavier McDaniel Jr. Defensive Rebound.,19,20
8:07,292,Moe McDonald made Three Point Jumper. Assisted by Javon Levi.,22,20
7:44,249,Jorden Duffy missed Jumper.,22,20
7:44,292,Moe McDonald Defensive Rebound.,22,20
7:40,292,Moe McDonald Turnover.,22,20
7:39,249,Jorden Duffy Steal.,22,20
7:37,249,Jorden Duffy made Layup.,22,22
7:03,292,Nick Dixon made Layup.,24,22
7:03,249,Foul on Zachary Simmons.,24,22
7:03,249,Official TV Timeout,24,22
7:03,292,Nick Dixon made Free Throw.,25,22
6:52,292,Foul on Lew Stallworth.,25,22
6:52,249,A.J. Lawson made Free Throw.,25,23
6:52,249,A.J. Lawson made Free Throw.,25,24
6:39,292,John Crnogorac Turnover.,25,24
6:37,249,Ryan Woolridge Steal.,25,24
6:35,249,Ryan Woolridge made Layup.,25,26
6:14,292,Xavier McDaniel Jr. missed Three Point Jumper.,25,26
6:14,249,Ryan Woolridge Defensive Rebound.,25,26
6:07,249,A.J. Lawson missed Jumper.,25,26
6:07,249,A.J. Lawson Offensive Rebound.,25,26
6:04,249,A.J. Lawson missed Jumper.,25,26
6:04,292,Xavier McDaniel Jr. Block.,25,26
6:00,292,Moe McDonald Defensive Rebound.,25,26
5:54,292,Nick Dixon missed Jumper.,25,26
5:54,249,Ryan Woolridge Defensive Rebound.,25,26
5:37,249,Roosevelt Smart missed Three Point Jumper.,25,26
5:37,292,Xavier McDaniel Jr. Defensive Rebound.,25,26
5:21,292,Nick Dixon made Jumper. Assisted by Lew Stallworth.,27,26
5:18,249,North Texas  Timeout,27,26
5:04,249,A.J. Lawson missed Jumper.,27,26
5:04,292,Adonis Rwabigwi Block.,27,26
5:02,292,Adonis Rwabigwi Defensive Rebound.,27,26
4:44,292,Lew Stallworth missed Jumper.,27,26
4:44,292,UT Rio Grande Valley Offensive Rebound.,27,26
4:37,292,Adonis Rwabigwi missed Jumper.,27,26
4:37,292,Adonis Rwabigwi Offensive Rebound.,27,26
4:29,292,Nick Dixon missed Three Point Jumper.,27,26
4:29,292,Xavier McDaniel Jr. Offensive Rebound.,27,26
4:27,249,Foul on Shane Temara.,27,26
4:27,292,Xavier McDaniel Jr. missed Free Throw.,27,26
4:27,292,UT Rio Grande Valley Deadball Team Rebound.,27,26
4:27,292,Xavier McDaniel Jr. made Free Throw.,28,26
4:11,249,Shane Temara made Layup. Assisted by A.J. Lawson.,28,28
3:57,292,Nick Dixon missed Three Point Jumper.,28,28
3:57,292,Xavier McDaniel Jr. Offensive Rebound.,28,28
3:48,292,Moe McDonald Turnover.,28,28
3:48,249,Official TV Timeout,28,28
3:31,249,Ryan Woolridge missed Three Point Jumper.,28,28
3:31,292,Nick Dixon Defensive Rebound.,28,28
3:13,292,Nick Dixon Turnover.,28,28
2:58,292,Foul on Xavier McDaniel Jr..,28,28
2:58,249,Roosevelt Smart missed Free Throw.,28,28
2:58,249,North Texas Deadball Team Rebound.,28,28
2:58,249,Roosevelt Smart made Free Throw.,28,29
2:52,292,Javon Levi Turnover.,28,29
2:50,249,A.J. Lawson Steal.,28,29
2:45,249,Jorden Duffy made Three Point Jumper. Assisted by Roosevelt Smart.,28,32
2:42,292,Nick Dixon missed Jumper.,28,32
2:42,249,Jorden Duffy Block.,28,32
2:38,249,Jorden Duffy Defensive Rebound.,28,32
2:37,292,Foul on Javon Levi.,28,32
2:37,249,Jorden Duffy missed Free Throw.,28,32
2:37,249,North Texas Deadball Team Rebound.,28,32
2:37,249,Jorden Duffy missed Free Throw.,28,32
2:37,292,Xavier McDaniel Jr. Defensive Rebound.,28,32
2:32,292,Xavier McDaniel Jr. missed Jumper.,28,32
2:32,249,A.J. Lawson Defensive Rebound.,28,32
2:10,292,Foul on Mike Hoffman.,28,32
2:10,249,A.J. Lawson made Free Throw.,28,33
2:10,249,A.J. Lawson made Free Throw.,28,34
2:10,292,Mike Hoffman Turnover.,28,34
1:56,249,Ryan Woolridge Turnover.,28,34
1:55,292,Mike Hoffman Steal.,28,34
1:47,292,Mike Hoffman missed Jumper.,28,34
1:47,249,Ryan Woolridge Defensive Rebound.,28,34
1:35,249,A.J. Lawson missed Jumper.,28,34
1:35,249,Tope Arikawe Offensive Rebound.,28,34
1:34,292,Foul on John Crnogorac.,28,34
1:34,249,Tope Arikawe made Free Throw.,28,35
1:34,249,Tope Arikawe missed Free Throw.,28,35
1:34,292,John Crnogorac Defensive Rebound.,28,35
1:24,292,Moe McDonald made Jumper.,30,35
0:57,249,Ryan Woolridge Turnover.,30,35
0:55,292,Moe McDonald Steal.,30,35
0:49,292,Moe McDonald missed Three Point Jumper.,30,35
0:49,249,Jorden Duffy Defensive Rebound.,30,35
0:21,249,A.J. Lawson missed Jumper.,30,35
0:21,292,Lew Stallworth Defensive Rebound.,30,35
0:03,292,Nick Dixon missed Three Point Jumper.,30,35
0:03,249,Jorden Duffy Defensive Rebound.,30,35
0:00,249,End of 1st half,30,35
19:35,292,Nick Dixon missed Jumper.,30,35
19:35,249,Shane Temara Block.,30,35
19:29,249,Allante Holston Defensive Rebound.,30,35
19:27,292,Foul on Xavier McDaniel Jr..,30,35
19:27,249,A.J. Lawson made Free Throw.,30,36
19:27,249,A.J. Lawson made Free Throw.,30,37
19:14,292,Moe McDonald missed Jumper.,30,37
19:14,249,Shane Temara Defensive Rebound.,30,37
19:08,249,A.J. Lawson Turnover.,30,37
19:06,292,Moe McDonald Steal.,30,37
18:41,292,Javon Levi made Jumper.,32,37
18:26,249,Roosevelt Smart missed Jumper.,32,37
18:26,292,Javon Levi Defensive Rebound.,32,37
18:22,292,Technical Foul on UT Rio Grande Valley.,32,37
18:22,249,Roosevelt Smart made Free Throw.,32,38
18:22,249,Roosevelt Smart made Free Throw.,32,39
18:17,292,Moe McDonald Turnover.,32,39
18:14,249,Shane Temara Steal.,32,39
18:14,249,Jorden Duffy missed Jumper.,32,39
18:14,292,Javon Levi Block.,32,39
18:14,249,North Texas Offensive Rebound.,32,39
17:55,292,Foul on Adonis Rwabigwi.,32,39
17:55,249,Shane Temara missed Free Throw.,32,39
17:55,249,North Texas Deadball Team Rebound.,32,39
17:55,249,Shane Temara missed Free Throw.,32,39
17:55,249,North Texas Offensive Rebound.,32,39
17:42,249,Jorden Duffy missed Three Point Jumper.,32,39
17:42,249,Allante Holston Offensive Rebound.,32,39
17:38,249,Allante Holston made Layup.,32,41
17:22,249,Foul on Allante Holston.,32,41
17:07,292,Nick Dixon made Layup.,34,41
16:52,292,Foul on Javon Levi.,34,41
16:44,249,Ryan Woolridge made Three Point Jumper.,34,44
16:20,292,Moe McDonald made Jumper.,36,44
16:20,249,Foul on Ryan Woolridge.,36,44
16:20,292,Moe McDonald made Free Throw.,37,44
16:16,292,Foul on Adonis Rwabigwi.,37,44
16:01,292,Foul on Adonis Rwabigwi.,37,44
16:01,249,Ryan Woolridge made Free Throw.,37,45
16:01,249,Ryan Woolridge made Free Throw.,37,46
15:52,292,Nick Dixon missed Jumper.,37,46
15:52,249,A.J. Lawson Defensive Rebound.,37,46
15:46,249,North Texas  Timeout,37,46
15:33,249,Ryan Woolridge Turnover.,37,46
15:31,292,Lew Stallworth Steal.,37,46
15:28,292,Moe McDonald made Layup.,39,46
14:58,249,Ryan Woolridge Turnover.,39,46
14:57,292,Mike Hoffman Steal.,39,46
14:52,292,Nick Dixon made Jumper.,41,46
14:44,249,North Texas  Timeout,41,46
14:33,249,Michael Miller made Jumper.,41,48
14:11,292,Lew Stallworth missed Three Point Jumper.,41,48
14:11,292,UT Rio Grande Valley Offensive Rebound.,41,48
14:10,249,Foul on Roosevelt Smart.,41,48
14:08,292,Mike Hoffman missed Jumper.,41,48
14:08,292,UT Rio Grande Valley Offensive Rebound.,41,48
13:57,292,Mike Hoffman missed Three Point Jumper.,41,48
13:57,249,Roosevelt Smart Defensive Rebound.,41,48
13:34,249,Roosevelt Smart made Layup.,41,50
13:20,292,Mike Hoffman made Layup. Assisted by Moe McDonald.,43,50
13:02,249,Michael Miller Turnover.,43,50
13:00,292,Lew Stallworth Steal.,43,50
12:58,249,Foul on A.J. Lawson.,43,50
12:58,292,Nick Dixon made Free Throw.,44,50
12:58,292,Nick Dixon missed Free Throw.,44,50
12:58,249,Roosevelt Smart Defensive Rebound.,44,50
12:49,249,Jorden Duffy Turnover.,44,50
12:47,292,Lesley Varner Jr. Steal.,44,50
12:43,292,Lesley Varner Jr. made Three Point Jumper. Assisted by Lew Stallworth.,47,50
12:43,249,Foul on Roosevelt Smart.,47,50
12:43,292,Lesley Varner Jr. made Free Throw.,48,50
11:55,249,A.J. Lawson missed Jumper.,48,50
11:55,292,Dan Kimasa Defensive Rebound.,48,50
11:55,249,Ryan Woolridge Turnover.,48,50
11:55,292,UT Rio Grande Valley  Timeout,48,50
11:33,292,Lesley Varner Jr. missed Three Point Jumper.,48,50
11:33,249,Michael Miller Defensive Rebound.,48,50
11:01,249,Michael Miller missed Jumper.,48,50
11:01,292,Lesley Varner Jr. Defensive Rebound.,48,50
10:53,292,Lew Stallworth Turnover.,48,50
10:00,249,Ryan Woolridge missed Jumper.,48,50
10:00,292,Xavier McDaniel Jr. Block.,48,50
10:00,249,A.J. Lawson Offensive Rebound.,48,50
10:00,249,A.J. Lawson missed Jumper.,48,50
10:00,292,Lew Stallworth Defensive Rebound.,48,50
10:00,292,Lew Stallworth made Layup.,50,50
10:00,249,DJ Draper missed Three Point Jumper.,50,50
10:00,292,Javon Levi Defensive Rebound.,50,50
9:55,249,Foul on A.J. Lawson.,50,50
9:27,292,Xavier McDaniel Jr. made Jumper.,52,50
9:16,249,Ryan Woolridge missed Three Point Jumper.,52,50
9:16,292,Lew Stallworth Defensive Rebound.,52,50
9:10,292,Lew Stallworth Turnover.,52,50
8:46,249,Jorden Duffy missed Three Point Jumper.,52,50
8:46,292,Lesley Varner Jr. Defensive Rebound.,52,50
8:40,292,Foul on Javon Levi.,52,50
8:40,292,Javon Levi Turnover.,52,50
8:21,249,Ryan Woolridge missed Three Point Jumper.,52,50
8:21,292,Nick Dixon Defensive Rebound.,52,50
7:52,292,Nick Dixon made Jumper.,54,50
7:52,249,Foul on Tope Arikawe.,54,50
7:52,249,Official TV Timeout,54,50
7:52,292,Nick Dixon made Free Throw.,55,50
7:30,249,Tope Arikawe made Jumper. Assisted by Ryan Woolridge.,55,52
7:03,292,Xavier McDaniel Jr. missed Three Point Jumper.,55,52
7:03,292,Dan Kimasa Offensive Rebound.,55,52
6:37,292,Xavier McDaniel Jr. missed Jumper.,55,52
6:37,249,Jorden Duffy Defensive Rebound.,55,52
6:29,249,Jorden Duffy missed Three Point Jumper.,55,52
6:29,292,Nick Dixon Defensive Rebound.,55,52
6:11,292,Xavier McDaniel Jr. made Jumper.,57,52
5:54,249,Roosevelt Smart missed Three Point Jumper.,57,52
5:54,292,Nick Dixon Defensive Rebound.,57,52
5:47,249,Foul on Ryan Woolridge.,57,52
5:47,292,Nick Dixon made Free Throw.,58,52
5:47,292,Nick Dixon made Free Throw.,59,52
5:35,249,A.J. Lawson missed Jumper.,59,52
5:35,249,Shane Temara Offensive Rebound.,59,52
5:27,249,Michael Miller made Jumper.,59,54
5:19,292,Xavier McDaniel Jr. Turnover.,59,54
5:07,249,A.J. Lawson Turnover.,59,54
5:05,292,Lesley Varner Jr. Steal.,59,54
5:03,292,Nick Dixon made Layup. Assisted by Lesley Varner Jr..,61,54
4:57,249,Roosevelt Smart missed Three Point Jumper.,61,54
4:57,249,Shane Temara Offensive Rebound.,61,54
4:51,249,Roosevelt Smart missed Three Point Jumper.,61,54
4:51,292,Moe McDonald Defensive Rebound.,61,54
4:41,292,Nick Dixon made Layup.,63,54
4:41,249,Foul on Shane Temara.,63,54
4:41,292,Nick Dixon made Free Throw.,64,54
4:27,249,Jorden Duffy missed Three Point Jumper.,64,54
4:27,292,UT Rio Grande Valley Defensive Rebound.,64,54
4:27,249,Foul on Michael Miller.,64,54
4:27,292,Lesley Varner Jr. missed Free Throw.,64,54
4:27,292,UT Rio Grande Valley Deadball Team Rebound.,64,54
4:27,292,Lesley Varner Jr. made Free Throw.,65,54
4:19,249,Shane Temara Turnover.,65,54
3:53,292,Nick Dixon made Three Point Jumper.,68,54
3:46,249,Ryan Woolridge made Layup.,68,56
3:21,292,Foul on Lew Stallworth.,68,56
3:21,292,Lew Stallworth Turnover.,68,56
3:21,249,Official TV Timeout,68,56
2:55,249,A.J. Lawson missed Three Point Jumper.,68,56
2:55,292,Lew Stallworth Defensive Rebound.,68,56
2:29,249,North Texas  Timeout,68,56
2:18,249,Ryan Woolridge missed Jumper.,68,56
2:18,292,Dan Kimasa Defensive Rebound.,68,56
1:53,292,UT Rio Grande Valley  Timeout,68,56
1:43,292,Moe McDonald missed Jumper.,68,56
1:43,249,Jorden Duffy Defensive Rebound.,68,56
1:35,249,Roosevelt Smart made Layup.,68,58
1:19,292,Lesley Varner Jr. Turnover.,68,58
1:17,249,Jorden Duffy missed Jumper.,68,58
1:17,292,Lesley Varner Jr. Defensive Rebound.,68,58
1:02,249,Foul on A.J. Lawson.,68,58
1:02,292,Nick Dixon made Free Throw.,69,58
1:02,292,Nick Dixon made Free Throw.,70,58
0:56,249,Jorden Duffy missed Three Point Jumper.,70,58
0:56,292,Lesley Varner Jr. Defensive Rebound.,70,58
0:53,249,Foul on A.J. Lawson.,70,58
0:53,292,Lesley Varner Jr. missed Free Throw.,70,58
0:53,292,UT Rio Grande Valley Deadball Team Rebound.,70,58
0:53,292,Lesley Varner Jr. made Free Throw.,71,58
0:49,292,Foul on Dan Kimasa.,71,58
0:49,249,Ryan Woolridge made Free Throw.,71,59
0:49,249,Ryan Woolridge made Free Throw.,71,60
0:43,249,Foul on Ryan Woolridge.,71,60
0:43,292,Nick Dixon made Free Throw.,72,60
0:43,292,Nick Dixon made Free Throw.,73,60
0:39,249,Jorden Duffy missed Three Point Jumper.,73,60
0:39,249,Ryan Woolridge Offensive Rebound.,73,60
0:36,249,Ryan Woolridge made Jumper.,73,62
0:28,249,Foul on A.J. Lawson.,73,62
0:28,292,Moe McDonald missed Free Throw.,73,62
0:28,292,UT Rio Grande Valley Deadball Team Rebound.,73,62
0:28,292,Moe McDonald missed Free Throw.,73,62
0:28,249,Shane Temara Defensive Rebound.,73,62
0:23,292,Foul on Lew Stallworth.,73,62
0:23,249,Ryan Woolridge missed Free Throw.,73,62
0:23,249,North Texas Deadball Team Rebound.,73,62
0:23,249,Ryan Woolridge made Free Throw.,73,63
0:19,249,Foul on Michael Miller.,73,63
0:19,292,Lesley Varner Jr. made Free Throw.,74,63
0:19,292,Lesley Varner Jr. made Free Throw.,75,63
0:18,249,Ryan Woolridge missed Layup.,75,63
0:18,292,Lew Stallworth Defensive Rebound.,75,63
0:00,249,End of Game,75,63
