North Carolina,24,Stanford,153
13:40,153,Jalek Felton Defensive Rebound.,14,13
13:30,24,Foul on Oscar da Silva.,14,13
13:30,153,Brandon Huffman made Free Throw.,15,13
13:30,153,Brandon Huffman made Free Throw.,16,13
13:06,24,Oscar da Silva Turnover.,16,13
12:58,153,Brandon Huffman made Dunk. Assisted by Luke Maye.,18,13
12:43,24,Reid Travis made Jumper.,18,15
12:26,153,Andrew Platek missed Three Point Jumper.,18,15
12:26,153,Brandon Huffman Offensive Rebound.,18,15
12:20,24,Foul on Michael Humphrey.,18,15
12:20,153,Brandon Huffman made Free Throw.,19,15
12:20,153,Brandon Huffman made Free Throw.,20,15
12:08,153,Foul on Theo Pinson.,20,15
12:08,24,Robert Cartwright missed Free Throw.,20,15
12:08,24,Stanford Deadball Team Rebound.,20,15
12:08,24,Robert Cartwright missed Free Throw.,20,15
12:08,153,Brandon Huffman Defensive Rebound.,20,15
12:01,153,Joel Berry II missed Three Point Jumper.,20,15
12:01,24,Robert Cartwright Defensive Rebound.,20,15
11:52,24,Josh Sharma missed Jumper.,20,15
11:52,153,Brandon Huffman Defensive Rebound.,20,15
11:36,153,Kenny Williams made Three Point Jumper. Assisted by Joel Berry II.,23,15
11:12,24,Oscar da Silva missed Three Point Jumper.,23,15
11:12,153,Brandon Huffman Defensive Rebound.,23,15
10:58,153,Kenny Williams made Three Point Jumper.,26,15
10:47,24,Daejon Davis missed Layup.,26,15
10:47,153,Kenny Williams Defensive Rebound.,26,15
10:41,153,Joel Berry II made Layup. Assisted by Kenny Williams.,28,15
10:11,24,Foul on Daejon Davis.,28,15
10:11,24,Daejon Davis Turnover.,28,15
10:11,24,Official TV Timeout,28,15
10:05,153,Joel Berry II made Jumper.,30,15
9:36,24,Reid Travis made Jumper.,30,17
9:36,153,Foul on Garrison Brooks.,30,17
9:36,24,Reid Travis missed Free Throw.,30,17
9:36,24,Michael Humphrey Offensive Rebound.,30,17
9:20,24,Kodye Pugh missed Layup.,30,17
9:20,24,Stanford Offensive Rebound.,30,17
9:18,24,Isaac White made Three Point Jumper. Assisted by Daejon Davis.,30,20
8:57,153,Theo Pinson missed Three Point Jumper.,30,20
8:57,24,Isaac White Defensive Rebound.,30,20
8:42,24,Reid Travis missed Jumper.,30,20
8:42,153,Seventh Woods Defensive Rebound.,30,20
8:32,153,Theo Pinson missed Layup.,30,20
8:32,24,Michael Humphrey Defensive Rebound.,30,20
8:22,24,Isaac White missed Three Point Jumper.,30,20
8:22,153,Kenny Williams Defensive Rebound.,30,20
8:15,153,Luke Maye made Layup. Assisted by Seventh Woods.,32,20
7:56,24,Michael Humphrey made Three Point Jumper. Assisted by Kodye Pugh.,32,23
7:41,153,Luke Maye missed Jumper.,32,23
7:41,153,North Carolina Deadball Team Rebound.,32,23
7:41,24,Foul on Daejon Davis.,32,23
7:41,24,Official TV Timeout,32,23
7:39,153,Joel Berry II Turnover.,32,23
7:39,24,Reid Travis Steal.,32,23
7:28,24,Isaac White made Jumper.,32,25
7:04,153,Kenny Williams missed Three Point Jumper.,32,25
7:04,153,North Carolina Deadball Team Rebound.,32,25
7:04,24,Foul on Michael Humphrey.,32,25
7:01,153,Joel Berry II made Jumper.,34,25
6:36,153,Foul on Joel Berry II.,34,25
6:29,24,Robert Cartwright missed Layup.,34,25
6:29,153,Luke Maye Defensive Rebound.,34,25
6:19,153,Jalek Felton missed Three Point Jumper.,34,25
6:19,24,Reid Travis Defensive Rebound.,34,25
6:09,153,Foul on Brandon Huffman.,34,25
6:09,24,Reid Travis missed Free Throw.,34,25
6:09,24,Stanford Deadball Team Rebound.,34,25
6:09,24,Reid Travis made Free Throw.,34,26
6:02,24,Foul on Oscar da Silva.,34,26
6:02,153,Luke Maye missed Free Throw.,34,26
6:02,24,Reid Travis Defensive Rebound.,34,26
5:46,24,Reid Travis missed Jumper.,34,26
5:46,153,Jalek Felton Defensive Rebound.,34,26
5:41,153,Joel Berry II made Three Point Jumper. Assisted by Jalek Felton.,37,26
5:17,24,Kodye Pugh Turnover.,37,26
5:11,24,Foul on Isaac White.,37,26
5:11,153,Joel Berry II made Free Throw.,38,26
5:11,153,Joel Berry II made Free Throw.,39,26
4:59,24,Isaac White made Three Point Jumper. Assisted by Kodye Pugh.,39,29
4:35,153,Joel Berry II missed Three Point Jumper.,39,29
4:35,24,Robert Cartwright Defensive Rebound.,39,29
4:30,24,Isaac White made Layup. Assisted by Robert Cartwright.,39,31
4:13,153,Luke Maye made Layup.,41,31
4:13,24,Foul on Oscar da Silva.,41,31
4:13,153,Luke Maye missed Free Throw.,41,31
4:13,24,Reid Travis Defensive Rebound.,41,31
4:02,24,Isaac White Turnover.,41,31
4:02,153,Kenny Williams Steal.,41,31
3:49,153,Jump Ball won by North Carolina,41,31
3:49,24,Official TV Timeout,41,31
3:47,153,Joel Berry II made Jumper.,43,31
3:31,153,Foul on Kenny Williams.,43,31
3:31,24,Isaac White made Free Throw.,43,32
3:31,24,Isaac White missed Free Throw.,43,32
3:31,153,North Carolina Defensive Rebound.,43,32
3:18,153,Luke Maye missed Jumper.,43,32
3:18,24,Robert Cartwright Defensive Rebound.,43,32
3:05,153,Foul on Luke Maye.,43,32
3:05,24,Reid Travis made Free Throw.,43,33
3:05,24,Reid Travis made Free Throw.,43,34
2:43,153,Joel Berry II missed Jumper.,43,34
2:43,153,Joel Berry II Offensive Rebound.,43,34
2:39,153,Joel Berry II made Layup.,45,34
2:15,24,Isaac White made Layup.,45,36
1:55,153,Luke Maye missed Three Point Jumper.,45,36
1:55,24,Reid Travis Defensive Rebound.,45,36
1:33,24,Kodye Pugh missed Three Point Jumper.,45,36
1:33,24,Stanford Offensive Rebound.,45,36
1:33,24,Stanford  Timeout,45,36
1:28,24,Isaac White missed Three Point Jumper.,45,36
1:28,153,Sterling Manley Defensive Rebound.,45,36
1:03,153,Joel Berry II made Three Point Jumper.,48,36
0:42,24,Josh Sharma missed Three Point Jumper.,48,36
0:42,153,Kenny Williams Defensive Rebound.,48,36
0:13,153,Theo Pinson made Jumper.,50,36
0:01,24,Robert Cartwright missed Jumper.,50,36
0:01,24,Stanford Offensive Rebound.,50,36
0:00,24,End of 1st half,50,36
20:00,24,Jump Ball won by Stanford,50,36
19:54,24,Isaac White made Three Point Jumper. Assisted by Reid Travis.,50,39
19:37,24,Foul on Reid Travis.,50,39
19:34,153,Joel Berry II Turnover.,50,39
19:34,24,Michael Humphrey Steal.,50,39
19:31,24,Daejon Davis Turnover.,50,39
19:09,153,Foul on Garrison Brooks.,50,39
19:09,153,Garrison Brooks Turnover.,50,39
18:54,153,Foul on Garrison Brooks.,50,39
18:54,24,Daejon Davis missed Free Throw.,50,39
18:54,24,Stanford Deadball Team Rebound.,50,39
18:54,24,Daejon Davis made Free Throw.,50,40
18:35,153,Joel Berry II made Three Point Jumper. Assisted by Luke Maye.,53,40
18:09,24,Michael Humphrey missed Dunk.,53,40
18:09,153,Theo Pinson Defensive Rebound.,53,40
18:03,153,Theo Pinson made Layup.,55,40
17:45,24,Kodye Pugh missed Three Point Jumper.,55,40
17:45,153,Sterling Manley Defensive Rebound.,55,40
17:38,153,Kenny Williams Turnover.,55,40
17:27,24,Michael Humphrey missed Layup.,55,40
17:27,153,Sterling Manley Defensive Rebound.,55,40
17:16,153,Joel Berry II missed Three Point Jumper.,55,40
17:16,24,Oscar da Silva Defensive Rebound.,55,40
16:59,24,Reid Travis made Jumper.,55,42
16:50,153,Luke Maye missed Jumper.,55,42
16:50,24,Daejon Davis Defensive Rebound.,55,42
16:36,24,Oscar da Silva made Layup. Assisted by Michael Humphrey.,55,44
16:36,153,Foul on Joel Berry II.,55,44
16:36,24,Oscar da Silva missed Free Throw.,55,44
16:36,153,Theo Pinson Defensive Rebound.,55,44
16:21,153,Foul on Sterling Manley.,55,44
16:21,153,Sterling Manley Turnover.,55,44
16:09,153,Foul on Luke Maye.,55,44
16:09,24,Reid Travis missed Free Throw.,55,44
16:09,24,Stanford Deadball Team Rebound.,55,44
16:09,24,Reid Travis missed Free Throw.,55,44
16:09,153,Luke Maye Defensive Rebound.,55,44
15:53,153,Theo Pinson made Jumper.,57,44
15:26,24,Reid Travis Turnover.,57,44
15:26,24,Official TV Timeout,57,44
15:13,153,Sterling Manley made Layup. Assisted by Joel Berry II.,59,44
15:01,24,Reid Travis made Layup.,59,46
14:53,153,Luke Maye made Layup. Assisted by Joel Berry II.,61,46
14:38,24,Isaac White Turnover.,61,46
14:31,24,Foul on Oscar da Silva.,61,46
14:24,153,Luke Maye missed Jumper.,61,46
14:24,153,Kenny Williams Offensive Rebound.,61,46
14:19,153,Joel Berry II made Three Point Jumper. Assisted by Luke Maye.,64,46
14:05,24,Daejon Davis Turnover.,64,46
14:05,153,Andrew Platek Steal.,64,46
14:00,153,Andrew Platek Turnover.,64,46
14:00,24,Robert Cartwright Steal.,64,46
13:53,24,Foul on Kodye Pugh.,64,46
13:53,24,Kodye Pugh Turnover.,64,46
13:43,24,Foul on Kodye Pugh.,64,46
13:43,153,North Carolina  Timeout,64,46
13:29,153,Joel Berry II missed Layup.,64,46
13:29,153,Andrew Platek Offensive Rebound.,64,46
13:29,153,Sterling Manley made Layup.,66,46
13:29,24,Foul on Robert Cartwright.,66,46
13:29,153,Sterling Manley made Free Throw.,67,46
13:16,24,Michael Humphrey made Three Point Jumper. Assisted by Robert Cartwright.,67,49
13:06,153,Sterling Manley Turnover.,67,49
13:06,24,Daejon Davis Steal.,67,49
12:59,24,Isaac White missed Three Point Jumper.,67,49
12:59,153,Theo Pinson Defensive Rebound.,67,49
12:47,153,Theo Pinson missed Layup.,67,49
12:47,153,Sterling Manley Offensive Rebound.,67,49
12:44,153,Sterling Manley made Layup.,69,49
12:35,24,Reid Travis missed Jumper.,69,49
12:35,153,Theo Pinson Defensive Rebound.,69,49
12:25,153,Theo Pinson made Jumper.,71,49
12:01,24,Michael Humphrey missed Layup.,71,49
12:01,24,Reid Travis Offensive Rebound.,71,49
11:58,24,Reid Travis made Dunk.,71,51
11:58,24,Official TV Timeout,71,51
11:58,24,Foul on Reid Travis.,71,51
11:58,153,Joel Berry II made Free Throw.,72,51
11:58,24,Technical Foul on Reid Travis.,71,51
11:58,153,Joel Berry II made Free Throw.,73,51
11:40,153,Andrew Platek missed Layup.,73,51
11:40,153,Foul on Brandon Huffman.,73,51
11:40,24,Stanford Deadball Team Rebound.,73,51
11:29,153,Foul on Brandon Huffman.,73,51
11:29,24,Josh Sharma made Free Throw.,73,52
11:29,24,Josh Sharma made Free Throw.,73,53
11:25,153,Brandon Huffman made Dunk. Assisted by Kenny Williams.,75,53
11:07,24,Robert Cartwright missed Layup.,75,53
11:07,153,Brandon Huffman Defensive Rebound.,75,53
10:59,153,Theo Pinson Turnover.,75,53
10:59,24,Reid Travis Steal.,75,53
10:43,153,Foul on Brandon Huffman.,75,53
10:43,24,Daejon Davis made Free Throw.,75,54
10:43,24,Daejon Davis made Free Throw.,75,55
10:37,153,Foul on Sterling Manley.,75,55
10:37,153,Sterling Manley Turnover.,75,55
10:26,24,Reid Travis Turnover.,75,55
10:15,153,Andrew Platek made Jumper.,77,55
9:51,24,Oscar da Silva made Three Point Jumper. Assisted by Reid Travis.,77,58
9:40,153,Luke Maye missed Jumper.,77,58
9:40,24,Daejon Davis Defensive Rebound.,77,58
9:32,153,Foul on Jalek Felton.,77,58
9:32,24,Michael Humphrey made Free Throw.,77,59
9:32,24,Michael Humphrey made Free Throw.,77,60
9:12,153,Seventh Woods missed Three Point Jumper.,77,60
9:12,24,Daejon Davis Defensive Rebound.,77,60
8:42,24,Michael Humphrey missed Jumper.,77,60
8:42,153,Luke Maye Defensive Rebound.,77,60
8:20,153,Luke Maye made Layup. Assisted by Kenny Williams.,79,60
7:58,24,Isaac White made Jumper.,79,62
7:41,153,Kenny Williams missed Jumper.,79,62
7:41,24,Oscar da Silva Block.,79,62
7:41,153,Luke Maye Offensive Rebound.,79,62
7:33,153,Joel Berry II made Three Point Jumper. Assisted by Luke Maye.,82,62
7:22,24,Foul on Oscar da Silva.,82,62
7:22,24,Oscar da Silva Turnover.,82,62
7:22,24,Official TV Timeout,82,62
7:15,153,Luke Maye missed Layup.,82,62
7:15,153,Theo Pinson Offensive Rebound.,82,62
7:13,24,Foul on Michael Humphrey.,82,62
7:13,153,Theo Pinson made Free Throw.,83,62
7:13,153,Theo Pinson missed Free Throw.,83,62
7:13,24,Michael Humphrey Defensive Rebound.,83,62
6:56,24,Reid Travis missed Three Point Jumper.,83,62
6:56,153,Luke Maye Defensive Rebound.,83,62
6:45,153,Joel Berry II missed Three Point Jumper.,83,62
6:45,24,Daejon Davis Defensive Rebound.,83,62
6:36,24,Reid Travis made Layup. Assisted by Michael Humphrey.,83,64
6:26,153,Luke Maye made Layup.,85,64
6:02,24,Michael Humphrey missed Jumper.,85,64
6:02,153,Seventh Woods Defensive Rebound.,85,64
5:52,153,Foul on Luke Maye.,85,64
5:52,153,Luke Maye Turnover.,85,64
5:41,24,Daejon Davis Turnover.,85,64
5:41,153,Seventh Woods Steal.,85,64
5:33,153,Seventh Woods missed Layup.,85,64
5:33,24,Josh Sharma Block.,85,64
5:33,153,North Carolina Offensive Rebound.,85,64
5:31,153,Joel Berry II missed Three Point Jumper.,85,64
5:31,24,Robert Cartwright Defensive Rebound.,85,64
5:24,24,Josh Sharma made Dunk. Assisted by Robert Cartwright.,85,66
5:06,153,Jalek Felton missed Layup.,85,66
5:06,24,Josh Sharma Block.,85,66
5:06,153,Luke Maye Offensive Rebound.,85,66
5:00,153,Luke Maye made Layup.,87,66
4:37,24,Kodye Pugh missed Three Point Jumper.,87,66
4:37,153,Luke Maye Defensive Rebound.,87,66
4:21,153,Seventh Woods made Jumper.,89,66
3:59,24,Kodye Pugh Turnover.,89,66
3:59,24,Official TV Timeout,89,66
3:49,153,Seventh Woods missed Jumper.,89,66
3:49,24,Trevor Stanback Defensive Rebound.,89,66
3:31,24,Stanford  Timeout,89,66
3:21,24,Josh Sharma missed Jumper.,89,66
3:21,24,Trevor Stanback Offensive Rebound.,89,66
3:16,24,Trevor Stanback missed Layup.,89,66
3:16,24,Josh Sharma Offensive Rebound.,89,66
3:11,24,Robert Cartwright missed Three Point Jumper.,89,66
3:11,153,Garrison Brooks Defensive Rebound.,89,66
3:06,153,Seventh Woods Turnover.,89,66
3:06,24,Robert Cartwright Steal.,89,66
3:02,24,Daejon Davis made Dunk. Assisted by Robert Cartwright.,89,68
2:39,153,Garrison Brooks missed Jumper.,89,68
2:39,24,Daejon Davis Defensive Rebound.,89,68
2:09,24,Isaac White missed Jumper.,89,68
2:09,153,Garrison Brooks Defensive Rebound.,89,68
2:01,24,Foul on Daejon Davis.,89,68
2:01,153,Jalek Felton made Free Throw.,90,68
2:01,153,Jalek Felton missed Free Throw.,90,68
2:01,24,Josh Sharma Defensive Rebound.,90,68
1:49,153,Foul on Jalek Felton.,90,68
1:49,24,Robert Cartwright made Free Throw.,90,69
1:49,24,Robert Cartwright made Free Throw.,90,70
1:32,153,Jalek Felton made Jumper.,92,70
1:22,24,Robert Cartwright Turnover.,92,70
1:22,153,Jalek Felton Steal.,92,70
1:07,153,Jalek Felton Turnover.,92,70
1:07,24,Trevor Stanback Steal.,92,70
1:00,24,Robert Cartwright missed Layup.,92,70
1:00,153,Andrew Platek Block.,92,70
1:00,153,Walker Miller Defensive Rebound.,92,70
0:53,153,Jalek Felton missed Three Point Jumper.,92,70
0:53,24,Stanford Deadball Team Rebound.,92,70
0:49,153,Foul on Andrew Platek.,92,70
0:49,24,Isaac White made Free Throw.,92,71
0:49,24,Isaac White made Free Throw.,92,72
0:41,153,Aaron Rohlman made Layup.,94,72
0:26,24,Isaac White missed Three Point Jumper.,94,72
0:26,153,Shea Rush Defensive Rebound.,94,72
0:14,153,Jalek Felton made Dunk.,96,72
0:00,24,End of Game,96,72
