Notre Dame,Error,Chaminade,87
7:44,87,Martinas Geben Defensive Rebound.,24,14
7:31,87,Martinas Geben made Jumper. Assisted by Matt Farrell.,26,14
7:14,-1,Braden Koelliker missed Three Point Jumper.,26,14
7:14,-1,Brett Reed Offensive Rebound.,26,14
7:08,-1,Brett Reed made Layup.,26,16
6:52,87,Temple Gibbs missed Jumper.,26,16
6:52,-1,Braden Koelliker Defensive Rebound.,26,16
6:38,-1,Braden Koelliker missed Three Point Jumper.,26,16
6:38,87,Temple Gibbs Defensive Rebound.,26,16
6:29,-1,Foul on Nicholas Anderson.,26,16
6:29,87,Rex Pflueger made Free Throw.,27,16
6:29,87,Rex Pflueger missed Free Throw.,27,16
6:29,-1,Erik Scheive Defensive Rebound.,27,16
6:14,-1,Braden Koelliker made Jumper.,27,18
5:52,87,Matt Farrell Turnover.,27,18
5:30,-1,Brett Reed Turnover.,27,18
5:22,87,D.J. Harvey made Three Point Jumper. Assisted by Matt Farrell.,30,18
5:10,-1,Nicholas Anderson made Layup.,30,20
4:49,87,Matt Farrell made Jumper.,32,20
4:22,87,Foul on D.J. Harvey.,32,20
4:15,-1,Erik Scheive missed Three Point Jumper.,32,20
4:15,-1,Grant Dressler Offensive Rebound.,32,20
4:10,87,Foul on Temple Gibbs.,32,20
4:03,-1,Nicholas Anderson missed Three Point Jumper.,32,20
4:03,87,Bonzie Colson Defensive Rebound.,32,20
3:34,87,John Mooney Turnover.,32,20
3:34,-1,Official TV Timeout,32,20
3:14,-1,Erik Scheive made Jumper. Assisted by Braden Koelliker.,32,22
2:40,-1,Foul on Erik Scheive.,32,22
2:40,87,Bonzie Colson made Free Throw.,33,22
2:40,87,Bonzie Colson made Free Throw.,34,22
2:22,-1,Austin Pope missed Layup.,34,22
2:22,87,Martinas Geben Defensive Rebound.,34,22
2:17,87,Temple Gibbs missed Three Point Jumper.,34,22
2:17,87,Martinas Geben Offensive Rebound.,34,22
2:02,87,Matt Farrell missed Three Point Jumper.,34,22
2:02,87,Bonzie Colson Offensive Rebound.,34,22
1:46,87,Bonzie Colson made Jumper.,36,22
1:15,-1,Erik Scheive made Jumper.,36,24
0:56,87,Martinas Geben made Dunk. Assisted by Matt Farrell.,38,24
0:53,-1,Chaminade  Timeout,38,24
0:45,-1,Braden Koelliker made Jumper.,38,26
0:06,87,Matt Farrell Turnover.,38,26
0:03,87,Foul on Matt Farrell.,38,26
0:01,-1,Brett Reed made Three Point Jumper. Assisted by Austin Pope.,38,29
0:00,-1,End of 1st half,38,29
20:00,-1,Jump Ball won by Chaminade,38,29
19:32,-1,Austin Pope made Three Point Jumper.,38,32
19:14,87,Rex Pflueger missed Three Point Jumper.,38,32
19:14,-1,Austin Pope Defensive Rebound.,38,32
19:05,-1,Dantley Walker missed Jumper.,38,32
19:05,87,Martinas Geben Defensive Rebound.,38,32
18:52,-1,Foul on Dantley Walker.,38,32
18:51,87,Temple Gibbs missed Layup.,38,32
18:51,-1,Austin Pope Block.,38,32
18:51,-1,Erik Scheive Defensive Rebound.,38,32
18:39,-1,Austin Pope missed Jumper.,38,32
18:39,87,Rex Pflueger Defensive Rebound.,38,32
18:22,87,Bonzie Colson made Layup.,40,32
18:05,-1,Dantley Walker missed Three Point Jumper.,40,32
18:05,87,Temple Gibbs Defensive Rebound.,40,32
17:57,87,Matt Farrell made Jumper.,42,32
17:37,-1,Erik Scheive made Layup. Assisted by Braden Koelliker.,42,34
17:17,87,Matt Farrell made Three Point Jumper.,45,34
17:00,-1,Erik Scheive missed Three Point Jumper.,45,34
17:00,87,Bonzie Colson Defensive Rebound.,45,34
16:45,-1,Foul on Braden Koelliker.,45,34
16:45,87,Bonzie Colson made Free Throw.,46,34
16:45,87,Bonzie Colson made Free Throw.,47,34
16:23,87,Foul on Bonzie Colson.,47,34
16:21,-1,Grant Dressler missed Jumper.,47,34
16:21,87,John Mooney Defensive Rebound.,47,34
16:10,-1,Foul on Braden Koelliker.,47,34
16:10,87,John Mooney missed Free Throw.,47,34
16:10,87,Notre Dame Deadball Team Rebound.,47,34
16:10,87,John Mooney missed Free Throw.,47,34
16:10,87,Notre Dame Offensive Rebound.,47,34
15:59,87,Matt Farrell Turnover.,47,34
15:59,-1,Brett Reed Steal.,47,34
15:47,-1,Nicholas Anderson missed Layup.,47,34
15:47,87,John Mooney Block.,47,34
15:47,-1,Brett Reed Offensive Rebound.,47,34
15:40,-1,Grant Dressler made Layup.,47,36
15:14,87,Rex Pflueger missed Layup.,47,36
15:14,-1,Official TV Timeout,47,36
15:14,87,D.J. Harvey Offensive Rebound.,47,36
15:00,87,Bonzie Colson made Jumper.,49,36
14:26,-1,Austin Pope missed Three Point Jumper.,49,36
14:26,87,Bonzie Colson Defensive Rebound.,49,36
14:13,87,D.J. Harvey made Layup.,51,36
13:50,-1,Erik Scheive made Layup.,51,38
13:30,87,Bonzie Colson made Jumper.,53,38
13:13,-1,Austin Pope made Layup.,53,40
13:02,-1,Foul on Justin Bridges.,53,40
13:02,87,D.J. Harvey made Free Throw.,54,40
13:02,87,D.J. Harvey made Free Throw.,55,40
12:41,-1,Justin Bridges missed Three Point Jumper.,55,40
12:41,87,D.J. Harvey Defensive Rebound.,55,40
12:35,87,Temple Gibbs made Layup. Assisted by D.J. Harvey.,57,40
12:32,-1,Chaminade  Timeout,57,40
12:01,-1,Braden Koelliker Turnover.,57,40
11:41,87,Matt Farrell missed Three Point Jumper.,57,40
11:41,-1,Austin Pope Defensive Rebound.,57,40
11:27,87,Foul on Matt Farrell.,57,40
11:27,-1,Official TV Timeout,57,40
11:17,-1,Braden Koelliker missed Three Point Jumper.,57,40
11:17,87,Bonzie Colson Defensive Rebound.,57,40
10:52,87,D.J. Harvey made Layup.,59,40
10:52,-1,Foul on Braden Koelliker.,59,40
10:52,87,D.J. Harvey made Free Throw.,60,40
10:45,87,Foul on Bonzie Colson.,60,40
10:35,-1,Austin Pope missed Layup.,60,40
10:35,-1,Grant Dressler Offensive Rebound.,60,40
10:31,-1,Grant Dressler missed Three Point Jumper.,60,40
10:31,87,Elijah Burns Defensive Rebound.,60,40
10:14,87,Bonzie Colson made Jumper.,62,40
9:48,-1,Austin Pope missed Layup.,62,40
9:48,87,Elijah Burns Defensive Rebound.,62,40
9:30,87,Temple Gibbs made Three Point Jumper. Assisted by Elijah Burns.,65,40
9:11,-1,Dantley Walker missed Three Point Jumper.,65,40
9:11,87,Bonzie Colson Defensive Rebound.,65,40
8:47,87,Temple Gibbs Turnover.,65,40
8:23,87,Foul on Rex Pflueger.,65,40
8:20,-1,Justin Bridges missed Three Point Jumper.,65,40
8:20,-1,Erik Scheive Offensive Rebound.,65,40
8:16,-1,Erik Scheive missed Jumper.,65,40
8:16,-1,Grant Dressler Offensive Rebound.,65,40
8:16,-1,Grant Dressler made Two Point Tip Shot.,65,42
7:50,87,Rex Pflueger missed Three Point Jumper.,65,42
7:50,-1,Braden Koelliker Defensive Rebound.,65,42
7:45,87,Foul on John Mooney.,65,42
7:45,-1,Official TV Timeout,65,42
7:23,87,Foul on Martinas Geben.,65,42
7:23,-1,Erik Scheive made Free Throw.,65,43
7:23,-1,Erik Scheive missed Free Throw.,65,43
7:23,-1,Brett Reed Offensive Rebound.,65,43
7:06,-1,Justin Bridges missed Layup.,65,43
7:06,87,Bonzie Colson Block.,65,43
7:06,87,Bonzie Colson Defensive Rebound.,65,43
6:57,-1,Foul on Grant Dressler.,65,43
6:54,87,Matt Farrell made Three Point Jumper. Assisted by Rex Pflueger.,68,43
6:54,-1,Foul on Justin Bridges.,68,43
6:54,87,Matt Farrell made Free Throw.,69,43
6:45,-1,Nicholas Anderson missed Three Point Jumper.,69,43
6:45,-1,Austin Pope Offensive Rebound.,69,43
6:42,-1,Austin Pope made Dunk.,69,45
6:31,87,Temple Gibbs Turnover.,69,45
6:31,-1,Austin Pope Steal.,69,45
6:27,-1,Dantley Walker missed Three Point Jumper.,69,45
6:27,87,Temple Gibbs Defensive Rebound.,69,45
6:19,-1,Foul on Brett Reed.,69,45
6:19,87,Temple Gibbs made Free Throw.,70,45
6:19,87,Temple Gibbs missed Free Throw.,70,45
6:19,-1,Austin Pope Defensive Rebound.,70,45
5:59,-1,Dantley Walker missed Three Point Jumper.,70,45
5:59,87,Martinas Geben Defensive Rebound.,70,45
5:40,87,Bonzie Colson missed Jumper.,70,45
5:40,-1,Austin Pope Defensive Rebound.,70,45
5:23,-1,Erik Scheive made Jumper. Assisted by Austin Pope.,70,47
4:58,-1,Foul on Brett Reed.,70,47
4:58,87,Bonzie Colson made Free Throw.,71,47
4:58,87,Bonzie Colson made Free Throw.,72,47
4:50,-1,Brett Reed Turnover.,72,47
4:50,87,Rex Pflueger Steal.,72,47
4:37,87,Rex Pflueger made Three Point Jumper. Assisted by Matt Farrell.,75,47
4:23,-1,Grant Dressler missed Three Point Jumper.,75,47
4:23,87,Martinas Geben Defensive Rebound.,75,47
4:07,-1,Foul on Erik Scheive.,75,47
4:07,87,Matt Farrell made Free Throw.,76,47
4:07,87,Matt Farrell made Free Throw.,77,47
3:57,-1,Erik Scheive made Three Point Jumper. Assisted by Austin Pope.,77,50
3:39,87,Rex Pflueger missed Jumper.,77,50
3:39,-1,Grant Dressler Block.,77,50
3:39,-1,Grant Dressler Defensive Rebound.,77,50
3:34,-1,Grant Dressler Turnover.,77,50
3:34,-1,Official TV Timeout,77,50
3:25,87,D.J. Harvey made Jumper. Assisted by Temple Gibbs.,79,50
3:10,-1,Grant Dressler Turnover.,79,50
3:10,87,Elijah Burns Steal.,79,50
3:04,-1,Foul on Grant Dressler.,79,50
3:04,87,Temple Gibbs made Free Throw.,80,50
3:04,87,Temple Gibbs missed Free Throw.,80,50
3:04,-1,Nate Pollard Defensive Rebound.,80,50
2:50,-1,Austin Pope made Jumper.,80,52
2:26,87,Austin Torres made Layup. Assisted by Temple Gibbs.,82,52
2:04,-1,Nicholas Anderson made Jumper.,82,54
1:40,87,Matt Gregory missed Three Point Jumper.,82,54
1:40,87,Notre Dame Offensive Rebound.,82,54
1:30,87,Nikola Djogo missed Three Point Jumper.,82,54
1:30,87,Liam Nelligan Offensive Rebound.,82,54
1:21,87,Elijah Burns missed Jumper.,82,54
1:21,-1,Nicholas Anderson Defensive Rebound.,82,54
1:21,-1,Braden Koelliker missed Layup.,82,54
1:21,87,Austin Torres Block.,82,54
1:21,87,Matt Gregory Defensive Rebound.,82,54
1:05,87,Nikola Djogo missed Dunk.,82,54
1:05,-1,Braden Koelliker Defensive Rebound.,82,54
0:54,-1,Nate Pollard missed Jumper.,82,54
0:54,87,Notre Dame Defensive Rebound.,82,54
0:54,-1,Foul on Eliet Donley.,82,54
0:54,87,Elijah Burns made Free Throw.,83,54
0:54,87,Elijah Burns missed Free Throw.,83,54
0:54,-1,Nate Pollard Defensive Rebound.,83,54
0:50,-1,Nicholas Anderson missed Layup.,83,54
0:50,-1,Nate Pollard Offensive Rebound.,83,54
0:44,87,Foul on Nikola Djogo.,83,54
0:44,-1,Nate Pollard missed Free Throw.,83,54
0:44,-1,Chaminade Deadball Team Rebound.,83,54
0:44,-1,Nate Pollard missed Free Throw.,83,54
0:44,87,Austin Torres Defensive Rebound.,83,54
0:27,87,Liam Nelligan missed Three Point Jumper.,83,54
0:27,-1,Nicholas Anderson Defensive Rebound.,83,54
0:19,-1,Masa Swain missed Layup.,83,54
0:19,87,Liam Nelligan Block.,83,54
0:19,-1,Chaminade Offensive Rebound.,83,54
0:14,-1,Masa Swain made Layup. Assisted by Nicholas Anderson.,83,56
0:00,-1,End of Game,83,56
