UMKC,2305,Kansas,140
13:45,2305,Frank Mason III Steal.,11,18
13:42,2305,Josh Jackson made Layup.,11,20
13:32,140,Xavier Bishop Turnover.,11,20
13:09,140,Foul on Duane Clark.,11,20
13:09,2305,Landen Lucas made Free Throw.,11,21
13:09,2305,Landen Lucas made Free Throw.,11,22
12:44,140,Darnell Tillman missed Layup.,11,22
12:44,140,Xavier Bishop Offensive Rebound.,11,22
12:44,140,Xavier Bishop made Three Point Jumper. Assisted by Darnell Tillman.,14,22
12:25,2305,Carlton Bragg Jr. missed Layup.,14,22
12:25,140,Jordan Giles Block.,14,22
12:25,140,Jordan Giles Defensive Rebound.,14,22
12:17,2305,Foul on Landen Lucas.,14,22
12:08,140,Jordan Giles made Three Point Jumper. Assisted by Broderick Robinson.,17,22
11:54,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,17,22
11:54,140,Darnell Tillman Defensive Rebound.,17,22
11:36,140,Xavier Bishop missed Three Point Jumper.,17,22
11:36,2305,Carlton Bragg Jr. Block.,17,22
11:36,2305,Sviatoslav Mykhailiuk Defensive Rebound.,17,22
11:31,2305,Carlton Bragg Jr. made Dunk. Assisted by Sviatoslav Mykhailiuk.,17,24
11:11,140,Jordan Giles made Jumper. Assisted by Broderick Newbill.,19,24
10:49,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,19,27
10:23,140,Broderick Robinson missed Jumper.,19,27
10:23,140,Darnell Tillman Offensive Rebound.,19,27
10:23,140,Broderick Newbill made Three Point Jumper. Assisted by Darnell Tillman.,22,27
10:15,2305,Kansas  Timeout,22,27
10:15,2305,Official TV Timeout,22,27
10:05,2305,Sviatoslav Mykhailiuk made Three Point Jumper.,22,30
9:48,140,Jordan Giles missed Jumper.,22,30
9:48,2305,Devonte' Graham Defensive Rebound.,22,30
9:38,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,22,30
9:38,140,LaVell Boyd Defensive Rebound.,22,30
9:22,140,LaVell Boyd made Layup.,24,30
9:07,140,Foul on Jordan Giles.,24,30
9:07,2305,Udoka Azubuike made Free Throw.,24,31
9:07,2305,Udoka Azubuike missed Free Throw.,24,31
9:07,2305,Sviatoslav Mykhailiuk Offensive Rebound.,24,31
9:05,2305,Frank Mason III missed Three Point Jumper.,24,31
9:05,140,Dashawn King Defensive Rebound.,24,31
8:48,2305,Foul on Udoka Azubuike.,24,31
8:32,140,Kyle Steward missed Jumper.,24,31
8:32,2305,Frank Mason III Defensive Rebound.,24,31
8:20,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,24,31
8:20,2305,Devonte' Graham Offensive Rebound.,24,31
8:11,140,Foul on Dashawn King.,24,31
8:11,2305,Frank Mason III made Free Throw.,24,32
8:11,2305,Frank Mason III made Free Throw.,24,33
7:54,140,Dashawn King missed Three Point Jumper.,24,33
7:54,140,Aleer Leek Offensive Rebound.,24,33
7:52,2305,Foul on Devonte' Graham.,24,33
7:52,2305,Official TV Timeout,24,33
7:43,140,LaVell Boyd missed Three Point Jumper.,24,33
7:43,2305,Landen Lucas Defensive Rebound.,24,33
7:17,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,24,36
7:17,140,Foul on Kyle Steward.,24,36
7:17,140,Kyle Steward Turnover.,24,36
7:03,2305,Josh Jackson made Jumper.,24,38
6:37,140,Dashawn King Turnover.,24,38
6:37,2305,Lagerald Vick Steal.,24,38
6:30,2305,Lagerald Vick missed Dunk.,24,38
6:30,140,LaVell Boyd Defensive Rebound.,24,38
6:17,140,LaVell Boyd made Layup.,26,38
6:17,2305,Foul on Lagerald Vick.,26,38
6:17,140,LaVell Boyd made Free Throw.,27,38
5:54,2305,Lagerald Vick Turnover.,27,38
5:32,140,LaVell Boyd missed Layup.,27,38
5:32,2305,Josh Jackson Defensive Rebound.,27,38
5:21,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,27,41
4:49,140,Darnell Tillman made Dunk. Assisted by Broderick Robinson.,29,41
4:33,2305,Josh Jackson missed Jumper.,29,41
4:33,2305,Landen Lucas Offensive Rebound.,29,41
4:28,2305,Frank Mason III made Three Point Jumper. Assisted by Landen Lucas.,29,44
4:10,2305,Foul on Devonte' Graham.,29,44
3:57,140,Broderick Robinson missed Three Point Jumper.,29,44
3:57,2305,Josh Jackson Defensive Rebound.,29,44
3:37,2305,Carlton Bragg Jr. missed Layup.,29,44
3:37,140,Jordan Giles Block.,29,44
3:37,2305,Josh Jackson Offensive Rebound.,29,44
3:29,2305,Carlton Bragg Jr. missed Layup.,29,44
3:29,2305,Carlton Bragg Jr. Offensive Rebound.,29,44
3:29,2305,Carlton Bragg Jr. missed Layup.,29,44
3:29,140,Jordan Giles Defensive Rebound.,29,44
3:29,140,LaVell Boyd missed Layup.,29,44
3:29,140,Darnell Tillman Offensive Rebound.,29,44
3:29,140,Darnell Tillman missed Two Point Tip Shot.,29,44
3:29,140,UMKC Offensive Rebound.,29,44
3:21,2305,Official TV Timeout,29,44
3:18,140,Jordan Giles missed Jumper.,29,44
3:18,2305,Frank Mason III Defensive Rebound.,29,44
3:00,2305,Josh Jackson missed Jumper.,29,44
3:00,2305,Josh Jackson Offensive Rebound.,29,44
2:55,2305,Josh Jackson made Layup.,29,46
2:46,140,Jordan Giles missed Layup.,29,46
2:46,2305,Josh Jackson Block.,29,46
2:46,2305,Mitch Lightfoot Defensive Rebound.,29,46
2:31,2305,Frank Mason III made Jumper.,29,48
2:21,140,Jordan Giles missed Three Point Jumper.,29,48
2:21,2305,Lagerald Vick Defensive Rebound.,29,48
2:11,2305,Sviatoslav Mykhailiuk Turnover.,29,48
1:57,140,Isaiah Ross made Three Point Jumper. Assisted by Xavier Bishop.,32,48
1:30,2305,Frank Mason III made Three Point Jumper. Assisted by Josh Jackson.,32,51
1:03,140,Kyle Steward missed Three Point Jumper.,32,51
1:03,2305,Frank Mason III Defensive Rebound.,32,51
0:49,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,32,51
0:49,2305,Josh Jackson Offensive Rebound.,32,51
0:47,140,Foul on Kyle Steward.,32,51
0:47,2305,Josh Jackson missed Free Throw.,32,51
0:47,140,Kyle Steward Defensive Rebound.,32,51
0:37,140,LaVell Boyd made Three Point Jumper.,35,51
0:17,2305,Josh Jackson Turnover.,35,51
0:03,140,LaVell Boyd missed Three Point Jumper.,35,51
0:03,2305,Frank Mason III Defensive Rebound.,35,51
0:00,2305,End of 1st half,35,51
20:00,2305,Jump Ball won by Kansas,35,51
19:49,2305,Devonte' Graham made Three Point Jumper. Assisted by Josh Jackson.,35,54
19:30,2305,Foul on Landen Lucas.,35,54
19:26,140,LaVell Boyd missed Three Point Jumper.,35,54
19:26,2305,Landen Lucas Defensive Rebound.,35,54
19:26,140,Foul on Darnell Tillman.,35,54
19:10,2305,Landen Lucas made Dunk. Assisted by Josh Jackson.,35,56
18:50,140,LaVell Boyd Turnover.,35,56
18:34,2305,Frank Mason III made Three Point Jumper.,35,59
18:20,140,Isaiah Ross missed Three Point Jumper.,35,59
18:20,2305,Landen Lucas Defensive Rebound.,35,59
18:12,2305,Josh Jackson made Dunk. Assisted by Frank Mason III.,35,61
18:11,140,UMKC  Timeout,35,61
17:59,2305,Foul on Josh Jackson.,35,61
17:44,140,Kyle Steward missed Jumper.,35,61
17:44,2305,Landen Lucas Defensive Rebound.,35,61
17:42,140,Foul on Kyle Steward.,35,61
17:42,2305,Sviatoslav Mykhailiuk missed Free Throw.,35,61
17:42,2305,Kansas Deadball Team Rebound.,35,61
17:42,2305,Sviatoslav Mykhailiuk missed Free Throw.,35,61
17:42,140,Broderick Robinson Defensive Rebound.,35,61
17:25,140,Broderick Newbill missed Jumper.,35,61
17:25,140,Darnell Tillman Offensive Rebound.,35,61
17:23,2305,Foul on Sviatoslav Mykhailiuk.,35,61
17:19,140,LaVell Boyd made Jumper.,37,61
17:03,2305,Frank Mason III made Jumper.,37,63
16:42,140,Broderick Newbill made Jumper.,39,63
16:26,2305,Josh Jackson Turnover.,39,63
16:26,140,Duane Clark Steal.,39,63
16:20,140,Broderick Newbill made Layup.,41,63
16:03,2305,Josh Jackson made Layup.,41,65
15:38,140,Duane Clark missed Jumper.,41,65
15:38,2305,Josh Jackson Defensive Rebound.,41,65
15:32,140,Foul on Broderick Robinson.,41,65
15:32,2305,Official TV Timeout,41,65
15:14,2305,Lagerald Vick made Layup.,41,67
14:56,140,Broderick Newbill missed Jumper.,41,67
14:56,2305,Mitch Lightfoot Block.,41,67
14:56,2305,Mitch Lightfoot Defensive Rebound.,41,67
14:45,2305,Josh Jackson missed Three Point Jumper.,41,67
14:45,140,Broderick Robinson Defensive Rebound.,41,67
14:37,140,Xavier Bishop missed Layup.,41,67
14:37,2305,Josh Jackson Defensive Rebound.,41,67
14:27,2305,Josh Jackson Turnover.,41,67
14:27,140,Broderick Robinson Steal.,41,67
14:24,140,Xavier Bishop missed Three Point Jumper.,41,67
14:24,2305,Frank Mason III Defensive Rebound.,41,67
14:14,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,41,70
14:03,140,Duane Clark missed Jumper.,41,70
14:03,2305,Josh Jackson Defensive Rebound.,41,70
13:53,2305,Frank Mason III made Three Point Jumper.,41,73
13:39,140,Xavier Bishop Turnover.,41,73
13:39,2305,Frank Mason III Steal.,41,73
13:33,2305,Frank Mason III made Layup. Assisted by Devonte' Graham.,41,75
13:33,140,UMKC  Timeout,41,75
13:09,140,Kyle Steward missed Jumper.,41,75
13:09,2305,Lagerald Vick Block.,41,75
13:09,2305,Sviatoslav Mykhailiuk Defensive Rebound.,41,75
13:03,140,Foul on Aleer Leek.,41,75
13:03,2305,Carlton Bragg Jr. made Free Throw.,41,76
13:03,2305,Carlton Bragg Jr. missed Free Throw.,41,76
13:03,2305,Kansas Offensive Rebound.,41,76
12:55,2305,Devonte' Graham made Three Point Jumper. Assisted by Sviatoslav Mykhailiuk.,41,79
12:42,140,LaVell Boyd missed Three Point Jumper.,41,79
12:42,2305,Lagerald Vick Defensive Rebound.,41,79
12:29,2305,Sviatoslav Mykhailiuk made Layup. Assisted by Lagerald Vick.,41,81
12:22,140,Aleer Leek missed Three Point Jumper.,41,81
12:22,140,Jordan Giles Offensive Rebound.,41,81
12:21,2305,Foul on Carlton Bragg Jr..,41,81
12:17,2305,Foul on Mitch Lightfoot.,41,81
12:17,140,Jordan Giles missed Free Throw.,41,81
12:17,140,UMKC Deadball Team Rebound.,41,81
12:17,140,Jordan Giles made Free Throw.,42,81
12:00,2305,Carlton Bragg Jr. made Jumper. Assisted by Devonte' Graham.,42,83
11:43,2305,Foul on Sviatoslav Mykhailiuk.,42,83
11:43,2305,Official TV Timeout,42,83
11:42,2305,Foul on Lagerald Vick.,42,83
11:42,140,Broderick Robinson made Free Throw.,43,83
11:42,140,Broderick Robinson made Free Throw.,44,83
11:24,2305,Carlton Bragg Jr. made Layup. Assisted by Lagerald Vick.,44,85
11:07,140,Foul on Aleer Leek.,44,85
11:07,140,Aleer Leek Turnover.,44,85
10:58,2305,Foul on Carlton Bragg Jr..,44,85
10:58,2305,Carlton Bragg Jr. Turnover.,44,85
10:44,140,Aleer Leek made Jumper.,46,85
10:18,140,Foul on Aleer Leek.,46,85
10:18,2305,Udoka Azubuike made Free Throw.,46,86
10:18,2305,Udoka Azubuike missed Free Throw.,46,86
10:18,140,Jordan Giles Defensive Rebound.,46,86
10:11,140,LaVell Boyd made Layup.,48,86
9:58,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,48,86
9:58,2305,Carlton Bragg Jr. Offensive Rebound.,48,86
9:52,2305,Carlton Bragg Jr. made Layup.,48,88
9:44,140,LaVell Boyd missed Three Point Jumper.,48,88
9:44,2305,Carlton Bragg Jr. Defensive Rebound.,48,88
9:31,2305,Udoka Azubuike Turnover.,48,88
9:26,2305,Foul on Josh Jackson.,48,88
9:26,140,Kyle Steward made Free Throw.,49,88
9:26,140,Kyle Steward missed Free Throw.,49,88
9:26,2305,Udoka Azubuike Defensive Rebound.,49,88
9:07,2305,Frank Mason III made Three Point Jumper.,49,91
8:45,140,Kyle Steward made Three Point Jumper. Assisted by LaVell Boyd.,52,91
8:24,2305,Udoka Azubuike missed Jumper.,52,91
8:24,2305,Carlton Bragg Jr. Offensive Rebound.,52,91
8:19,2305,Carlton Bragg Jr. missed Layup.,52,91
8:19,2305,Udoka Azubuike Offensive Rebound.,52,91
8:19,140,Foul on Kyle Steward.,52,91
8:19,2305,Udoka Azubuike made Free Throw.,52,92
8:19,2305,Udoka Azubuike missed Free Throw.,52,92
8:19,140,Broderick Newbill Defensive Rebound.,52,92
8:09,140,LaVell Boyd missed Jumper.,52,92
8:09,2305,Josh Jackson Defensive Rebound.,52,92
7:56,2305,Josh Jackson made Layup. Assisted by Devonte' Graham.,52,94
7:29,2305,Foul on Devonte' Graham.,52,94
7:29,2305,Official TV Timeout,52,94
7:29,140,LaVell Boyd made Free Throw.,53,94
7:29,140,LaVell Boyd made Free Throw.,54,94
7:09,2305,Josh Jackson missed Jumper.,54,94
7:09,2305,Sviatoslav Mykhailiuk Offensive Rebound.,54,94
7:04,2305,Sviatoslav Mykhailiuk missed Layup.,54,94
7:04,2305,Udoka Azubuike Offensive Rebound.,54,94
7:03,140,Foul on Broderick Newbill.,54,94
7:03,2305,Udoka Azubuike missed Free Throw.,54,94
7:03,2305,Kansas Deadball Team Rebound.,54,94
7:03,2305,Udoka Azubuike made Free Throw.,54,95
6:51,140,Duane Clark made Jumper.,56,95
6:23,2305,Devonte' Graham missed Three Point Jumper.,56,95
6:23,2305,Josh Jackson Offensive Rebound.,56,95
6:21,140,Foul on Broderick Newbill.,56,95
6:21,2305,Josh Jackson made Free Throw.,56,96
6:21,2305,Josh Jackson made Free Throw.,56,97
6:07,140,Duane Clark missed Jumper.,56,97
6:07,2305,Udoka Azubuike Block.,56,97
6:07,140,Darnell Tillman Offensive Rebound.,56,97
5:55,140,Foul on Xavier Bishop.,56,97
5:55,140,Xavier Bishop Turnover.,56,97
5:29,2305,Devonte' Graham Turnover.,56,97
5:29,140,Xavier Bishop Steal.,56,97
5:22,140,Broderick Ross missed Layup.,56,97
5:22,2305,Lagerald Vick Block.,56,97
5:22,140,UMKC Offensive Rebound.,56,97
5:22,140,Isaiah Ross missed Layup.,56,97
5:22,2305,Dwight Coleby Defensive Rebound.,56,97
5:04,2305,Sviatoslav Mykhailiuk made Dunk. Assisted by Devonte' Graham.,56,99
4:58,140,Duane Clark Turnover.,56,99
4:58,2305,Dwight Coleby Steal.,56,99
4:49,2305,Sviatoslav Mykhailiuk missed Layup.,56,99
4:49,2305,Sviatoslav Mykhailiuk Offensive Rebound.,56,99
4:42,2305,Sviatoslav Mykhailiuk missed Layup.,56,99
4:42,2305,Sviatoslav Mykhailiuk Offensive Rebound.,56,99
4:32,2305,Carlton Bragg Jr. missed Three Point Jumper.,56,99
4:32,140,Xavier Bishop Defensive Rebound.,56,99
4:20,140,Duane Clark missed Jumper.,56,99
4:20,2305,Dwight Coleby Defensive Rebound.,56,99
4:09,2305,Dwight Coleby missed Jumper.,56,99
4:09,2305,Carlton Bragg Jr. Offensive Rebound.,56,99
4:03,2305,Dwight Coleby made Layup. Assisted by Carlton Bragg Jr..,56,101
3:36,140,Broderick Ross missed Three Point Jumper.,56,101
3:36,2305,Mitch Lightfoot Defensive Rebound.,56,101
3:25,2305,Dwight Coleby missed Layup.,56,101
3:25,140,Darnell Tillman Block.,56,101
3:25,140,Isaiah Ross Defensive Rebound.,56,101
3:14,140,Isaiah Ross made Three Point Jumper.,59,101
2:52,2305,Carlton Bragg Jr. missed Three Point Jumper.,59,101
2:52,2305,Sviatoslav Mykhailiuk Offensive Rebound.,59,101
2:46,2305,Sviatoslav Mykhailiuk Turnover.,59,101
2:46,140,Xavier Bishop Steal.,59,101
2:41,140,Xavier Bishop made Layup.,61,101
2:35,2305,Kansas  Timeout,61,101
2:35,2305,Official TV Timeout,61,101
2:09,2305,Dwight Coleby made Jumper. Assisted by Tyler Self.,61,103
1:42,140,Xavier Bishop missed Three Point Jumper.,61,103
1:42,2305,Tucker Vang Defensive Rebound.,61,103
1:34,2305,Tyler Self Turnover.,61,103
1:34,140,Aleer Leek Steal.,61,103
1:28,2305,Foul on Tyler Self.,61,103
1:28,140,Xavier Bishop made Free Throw.,62,103
1:28,140,Xavier Bishop missed Free Throw.,62,103
1:28,2305,Mitch Lightfoot Defensive Rebound.,62,103
1:06,140,Foul on Jordan Giles.,62,103
1:06,2305,Mitch Lightfoot missed Free Throw.,62,103
1:06,2305,Kansas Deadball Team Rebound.,62,103
1:06,2305,Mitch Lightfoot missed Free Throw.,62,103
1:06,140,Grant Leach Defensive Rebound.,62,103
0:53,140,Jordan Giles missed Jumper.,62,103
0:53,2305,Clay Young Defensive Rebound.,62,103
0:43,2305,Dwight Coleby made Layup.,62,105
0:35,140,Grant Leach missed Three Point Jumper.,62,105
0:35,2305,Mitch Lightfoot Defensive Rebound.,62,105
0:20,2305,Tyler Self missed Three Point Jumper.,62,105
0:20,2305,Clay Young Offensive Rebound.,62,105
0:00,2305,End of Game,62,105
