St. Josephs (IND),Error,Dayton,2168
2:11,2168,Kyle Davis made Jumper.,28,35
1:51,-1,Nick Jeffirs Turnover.,28,35
1:49,2168,Charles Cooke Steal.,28,35
1:23,2168,Kyle Davis Turnover.,28,35
1:22,-1,Davone Daniels Steal.,28,35
1:20,-1,Eric Gillespie made Jumper.,30,35
0:58,2168,Xeyrius Williams made Jumper.,30,37
0:19,-1,Eric Gillespie Turnover.,30,37
0:08,2168,Scoochie Smith missed Three Point Jumper.,30,37
0:08,2168,Ryan Mikesell Offensive Rebound.,30,37
0:05,2168,Ryan Mikesell made Layup.,30,39
0:00,2168,End of 1st half,30,39
19:46,2168,Charles Cooke missed Jumper.,30,39
19:46,2168,Ryan Mikesell Offensive Rebound.,30,39
19:42,2168,Ryan Mikesell missed Two Point Tip Shot.,30,39
19:42,-1,Cj Hardaway Defensive Rebound.,30,39
19:26,-1,Davious Webster missed Three Point Jumper.,30,39
19:26,2168,Kyle Davis Defensive Rebound.,30,39
19:14,2168,Ryan Mikesell missed Three Point Jumper.,30,39
19:14,-1,Davious Webster Defensive Rebound.,30,39
18:59,-1,Nick Jeffirs missed Jumper.,30,39
18:59,2168,Ryan Mikesell Defensive Rebound.,30,39
18:43,2168,Xeyrius Williams made Jumper. Assisted by Charles Cooke.,30,41
18:19,-1,Nic Williams made Layup. Assisted by Davious Webster.,32,41
18:02,2168,Ryan Mikesell made Layup. Assisted by Xeyrius Williams.,32,43
17:37,-1,Nic Williams missed Jumper.,32,43
17:37,2168,Xeyrius Williams Block.,32,43
17:35,2168,Scoochie Smith Defensive Rebound.,32,43
17:32,2168,Kyle Davis made Layup. Assisted by Scoochie Smith.,32,45
17:09,-1,Nick Jeffirs made Jumper. Assisted by Cj Hardaway.,34,45
16:50,2168,Kyle Davis Turnover.,34,45
16:50,-1,Eric Gillespie Steal.,34,45
16:49,-1,Cj Hardaway Turnover.,34,45
16:48,2168,Scoochie Smith Steal.,34,45
16:44,2168,Ryan Mikesell missed Three Point Jumper.,34,45
16:44,-1,Nic Williams Defensive Rebound.,34,45
16:34,-1,Davious Webster Turnover.,34,45
16:33,2168,Xeyrius Williams Steal.,34,45
16:16,2168,Scoochie Smith made Three Point Jumper. Assisted by Ryan Mikesell.,34,48
16:01,-1,Nic Williams made Three Point Jumper. Assisted by Davious Webster.,37,48
15:32,-1,Foul on Nic Williams.,37,48
15:32,2168,Official TV Timeout,37,48
15:31,2168,Charles Cooke made Dunk. Assisted by Scoochie Smith.,37,50
15:15,-1,Kindred Williams Turnover.,37,50
15:13,2168,Kendall Pollard Steal.,37,50
15:10,2168,Kyle Davis made Layup. Assisted by Kendall Pollard.,37,52
14:52,-1,Isaiah Carpenter Turnover.,37,52
14:29,2168,Charles Cooke missed Three Point Jumper.,37,52
14:29,-1,St. Josephs (IN) Defensive Rebound.,37,52
14:17,-1,Isaiah Carpenter Turnover.,37,52
14:01,2168,Kendall Pollard made Layup. Assisted by Xeyrius Williams.,37,54
14:01,-1,Foul on Isaiah Carpenter.,37,54
14:01,2168,Kendall Pollard missed Free Throw.,37,54
14:01,-1,Kindred Williams Defensive Rebound.,37,54
13:30,-1,Davone Daniels Turnover.,37,54
13:29,2168,Kendall Pollard Steal.,37,54
13:28,-1,Foul on Isaiah Carpenter.,37,54
13:28,2168,Kendall Pollard missed Free Throw.,37,54
13:28,2168,Dayton Deadball Team Rebound.,37,54
13:28,2168,Kendall Pollard made Free Throw.,37,55
13:09,-1,Isaiah Carpenter made Jumper.,39,55
12:52,-1,Foul on Chris Nunn.,39,55
12:52,2168,Trey Landers missed Free Throw.,39,55
12:52,2168,Dayton Deadball Team Rebound.,39,55
12:52,2168,Trey Landers made Free Throw.,39,56
12:43,-1,Davone Daniels missed Jumper.,39,56
12:43,2168,Charles Cooke Block.,39,56
12:41,-1,Davone Daniels Offensive Rebound.,39,56
12:40,-1,Davone Daniels missed Jumper.,39,56
12:40,-1,St. Josephs (IN) Offensive Rebound.,39,56
12:38,2168,Foul on John Crosby.,39,56
12:32,2168,Foul on Kendall Pollard.,39,56
12:32,-1,Kindred Williams made Free Throw.,40,56
12:32,-1,Kindred Williams made Free Throw.,41,56
12:04,2168,Kyle Davis made Three Point Jumper. Assisted by Charles Cooke.,41,59
11:48,-1,Eric Gillespie missed Jumper.,41,59
11:48,2168,Kendall Pollard Defensive Rebound.,41,59
11:40,2168,Official TV Timeout,41,59
11:40,2168,Charles Cooke Turnover.,41,59
11:35,-1,Davone Daniels made Three Point Jumper. Assisted by Chris Nunn.,44,59
11:06,2168,Scoochie Smith missed Jumper.,44,59
11:06,-1,Kindred Williams Block.,44,59
11:05,2168,Dayton Offensive Rebound.,44,59
11:01,2168,Trey Landers missed Jumper.,44,59
11:01,-1,Davone Daniels Defensive Rebound.,44,59
10:52,-1,Davone Daniels Turnover.,44,59
10:51,2168,Kyle Davis Steal.,44,59
10:49,2168,Kyle Davis made Layup.,44,61
10:21,-1,Eric Gillespie Turnover.,44,61
10:17,2168,Xeyrius Williams Steal.,44,61
10:16,2168,Kyle Davis made Layup. Assisted by Scoochie Smith.,44,63
10:15,-1,St. Josephs (IN)  Timeout,44,63
9:48,-1,Chris Nunn Turnover.,44,63
9:48,2168,Xeyrius Williams Steal.,44,63
9:32,2168,Scoochie Smith Turnover.,44,63
9:19,-1,Eric Gillespie missed Three Point Jumper.,44,63
9:19,2168,John Crosby Defensive Rebound.,44,63
9:14,-1,Foul on Nic Williams.,44,63
9:14,2168,John Crosby missed Free Throw.,44,63
9:14,2168,Dayton Deadball Team Rebound.,44,63
9:14,2168,John Crosby missed Free Throw.,44,63
9:14,-1,St. Josephs (IN) Defensive Rebound.,44,63
9:08,-1,Davious Webster missed Three Point Jumper.,44,63
9:08,-1,Nick Jeffirs Offensive Rebound.,44,63
9:03,2168,Foul on Trey Landers.,44,63
9:03,-1,Nick Jeffirs missed Free Throw.,44,63
9:03,-1,St. Josephs (IN) Deadball Team Rebound.,44,63
9:03,-1,Nick Jeffirs made Free Throw.,45,63
8:39,2168,Charles Cooke made Layup.,45,65
8:26,2168,Foul on Charles Cooke.,45,65
8:05,-1,Cj Hardaway missed Jumper.,45,65
8:05,2168,Kyle Davis Block.,45,65
8:02,-1,Cj Hardaway Offensive Rebound.,45,65
7:59,-1,Cj Hardaway made Layup.,47,65
7:58,2168,Kyle Davis made Layup.,47,67
7:58,-1,Foul on Davone Daniels.,47,67
7:58,2168,Official TV Timeout,47,67
7:58,2168,Kyle Davis made Free Throw.,47,68
7:51,-1,Nic Williams made Three Point Jumper. Assisted by Cj Hardaway.,50,68
7:25,-1,Foul on Davious Webster.,50,68
7:25,2168,Charles Cooke made Free Throw.,50,69
7:25,2168,Charles Cooke made Free Throw.,50,70
7:13,-1,Cj Hardaway Turnover.,50,70
7:11,2168,Kyle Davis Steal.,50,70
6:57,2168,Charles Cooke made Jumper.,50,72
6:43,-1,Nick Jeffirs missed Jumper.,50,72
6:43,2168,Ryan Mikesell Block.,50,72
6:42,2168,Ryan Mikesell Defensive Rebound.,50,72
6:22,-1,Foul on Nick Jeffirs.,50,72
6:22,2168,Scoochie Smith missed Free Throw.,50,72
6:22,2168,Dayton Deadball Team Rebound.,50,72
6:22,2168,Scoochie Smith made Free Throw.,50,73
6:16,-1,Davone Daniels made Jumper. Assisted by Cj Hardaway.,52,73
6:10,2168,Scoochie Smith Turnover.,52,73
6:01,-1,Davious Webster missed Three Point Jumper.,52,73
6:01,2168,Xeyrius Williams Defensive Rebound.,52,73
5:48,2168,Kendall Pollard made Three Point Jumper. Assisted by Kyle Davis.,52,76
5:29,-1,Kindred Williams Turnover.,52,76
5:27,2168,Xeyrius Williams Steal.,52,76
5:24,2168,Kendall Pollard made Dunk. Assisted by Kyle Davis.,52,78
5:17,-1,St. Josephs (IN)  Timeout,52,78
5:10,-1,Davone Daniels missed Layup.,52,78
5:10,-1,Chris Nunn Offensive Rebound.,52,78
5:05,-1,Kindred Williams missed Jumper.,52,78
5:05,2168,Xeyrius Williams Block.,52,78
5:04,2168,Dayton Defensive Rebound.,52,78
4:53,2168,Charles Cooke made Three Point Jumper. Assisted by Kendall Pollard.,52,81
4:43,2168,Foul on Kyle Davis.,52,81
4:35,-1,Davious Webster made Three Point Jumper. Assisted by Chris Nunn.,55,81
4:17,2168,Kendall Pollard made Jumper.,55,83
3:57,-1,Isaiah Carpenter Turnover.,55,83
3:56,2168,Kendall Pollard Steal.,55,83
3:52,2168,John Crosby missed Layup.,55,83
3:52,-1,Chris Nunn Defensive Rebound.,55,83
3:48,-1,Davone Daniels missed Jumper.,55,83
3:48,2168,Kendall Pollard Block.,55,83
3:46,-1,Kindred Williams Offensive Rebound.,55,83
3:38,-1,Davious Webster missed Jumper.,55,83
3:38,-1,Chris Nunn Offensive Rebound.,55,83
3:33,-1,Chris Nunn missed Three Point Jumper.,55,83
3:33,2168,Kendall Pollard Defensive Rebound.,55,83
3:26,2168,Charles Cooke missed Three Point Jumper.,55,83
3:26,-1,Kindred Williams Defensive Rebound.,55,83
3:16,2168,Foul on John Crosby.,55,83
3:16,2168,Official TV Timeout,55,83
3:16,-1,Chris Nunn made Layup.,57,83
3:16,-1,Chris Nunn made Free Throw.,58,83
3:01,2168,Charles Cooke made Layup.,58,85
2:46,-1,Chris Nunn missed Jumper.,58,85
2:46,2168,Xeyrius Williams Defensive Rebound.,58,85
2:37,2168,Xeyrius Williams missed Three Point Jumper.,58,85
2:37,2168,Trey Landers Offensive Rebound.,58,85
2:35,-1,Foul on Joe Johnson III.,58,85
2:35,2168,Trey Landers made Jumper.,58,87
2:35,2168,Trey Landers missed Free Throw.,58,87
2:35,2168,Xeyrius Williams Offensive Rebound.,58,87
2:31,2168,Xeyrius Williams Turnover.,58,87
2:30,-1,Nigel Robinson Steal.,58,87
2:25,-1,Chris Nunn Turnover.,58,87
2:25,2168,Trey Landers Steal.,58,87
2:24,2168,Trey Landers made Layup.,58,89
1:58,-1,Michael Moss missed Three Point Jumper.,58,89
1:58,2168,John Crosby Defensive Rebound.,58,89
1:49,2168,Darrell Davis missed Layup.,58,89
1:49,2168,Darrell Davis Offensive Rebound.,58,89
1:47,-1,Foul on Chris Nunn.,58,89
1:47,2168,Darrell Davis made Free Throw.,58,90
1:47,2168,Darrell Davis missed Free Throw.,58,90
1:47,-1,Michael Moss Defensive Rebound.,58,90
1:44,2168,Foul on Xeyrius Williams.,58,90
1:44,-1,Michael Moss made Free Throw.,59,90
1:44,-1,Michael Moss missed Free Throw.,59,90
1:44,2168,Trey Landers Defensive Rebound.,59,90
1:40,2168,Joey Gruden missed Jumper.,59,90
1:40,2168,Joey Gruden Offensive Rebound.,59,90
1:19,2168,Xeyrius Williams Turnover.,59,90
1:18,-1,Chris Nunn Steal.,59,90
1:15,-1,Chris Nunn Turnover.,59,90
1:14,2168,Trey Landers Steal.,59,90
1:00,-1,Foul on Nigel Robinson.,59,90
1:00,2168,Joey Gruden missed Free Throw.,59,90
1:00,2168,Dayton Deadball Team Rebound.,59,90
1:00,2168,Joey Gruden made Free Throw.,59,91
0:40,2168,Foul on Trey Landers.,59,91
0:40,-1,Isaiah Carpenter missed Free Throw.,59,91
0:40,-1,St. Josephs (IN) Deadball Team Rebound.,59,91
0:40,-1,Isaiah Carpenter missed Free Throw.,59,91
0:40,2168,Darrell Davis Defensive Rebound.,59,91
0:33,2168,Trey Landers missed Three Point Jumper.,59,91
0:33,-1,St. Josephs (IN) Defensive Rebound.,59,91
0:11,-1,Joe Johnson III missed Three Point Jumper.,59,91
0:11,2168,Dayton Defensive Rebound.,59,91
0:00,2168,End of Game,59,91
