Virginia-Wise,Error,Wofford,2747
11:33,-1,Dimitri Sousa Steal.,8,24
11:32,-1,Dimitri Sousa Turnover.,8,24
11:32,2747,Official TV Timeout,8,24
11:23,2747,Ryan Sawvell made Three Point Jumper. Assisted by Donovan Theme-Love.,8,27
11:00,-1,Taiwo Badmus made Three Point Jumper. Assisted by Leandro Amador.,11,27
10:31,2747,Nathan Hoover missed Three Point Jumper.,11,27
10:31,2747,Ryan Sawvell Offensive Rebound.,11,27
10:27,2747,Ryan Sawvell made Layup.,11,29
10:06,-1,Chance Sheffey missed Three Point Jumper.,11,29
10:06,2747,Nathan Hoover Defensive Rebound.,11,29
9:55,2747,Donovan Theme-Love missed Three Point Jumper.,11,29
9:55,2747,Nathan Hoover Offensive Rebound.,11,29
9:52,2747,Nathan Hoover made Layup.,11,31
9:22,-1,Ricardo Hill Jr. missed Three Point Jumper.,11,31
9:22,2747,Matthew Pegram Defensive Rebound.,11,31
9:08,-1,Foul on Leandro Amador.,11,31
9:04,2747,Jaylen Allen missed Three Point Jumper.,11,31
9:04,-1,Taiwo Badmus Defensive Rebound.,11,31
8:49,-1,Taiwo Badmus Turnover.,11,31
8:48,2747,Fletcher Magee Steal.,11,31
8:44,2747,Jaylen Allen Turnover.,11,31
8:43,-1,Chance Sheffey Steal.,11,31
8:41,-1,Dimitri Sousa made Layup. Assisted by Chance Sheffey.,13,31
8:21,2747,Matthew Pegram made Dunk. Assisted by Fletcher Magee.,13,33
8:07,-1,Chance Sheffey made Layup.,15,33
7:53,2747,Jaylen Allen Turnover.,15,33
7:53,2747,Foul on Jaylen Allen.,15,33
7:45,2747,Official TV Timeout,15,33
7:28,-1,Chance Sheffey made Layup.,17,33
7:28,2747,Foul on Fletcher Magee.,17,33
7:28,-1,Chance Sheffey made Free Throw.,18,33
7:07,-1,Foul on Ricardo Hill Jr..,18,33
7:07,2747,Eric Garcia made Free Throw.,18,34
7:07,2747,Eric Garcia made Free Throw.,18,35
6:52,-1,Dimitri Sousa missed Three Point Jumper.,18,35
6:52,2747,Fletcher Magee Defensive Rebound.,18,35
6:38,2747,Eric Garcia made Layup.,18,37
6:38,-1,Foul on Chance Sheffey.,18,37
6:38,2747,Eric Garcia made Free Throw.,18,38
6:18,-1,Dimitri Sousa missed Layup.,18,38
6:18,2747,Matthew Pegram Defensive Rebound.,18,38
6:06,2747,Eric Garcia missed Three Point Jumper.,18,38
6:06,2747,Justin Tucker Offensive Rebound.,18,38
6:02,-1,Foul on Taiwo Badmus.,18,38
6:02,2747,Justin Tucker missed Free Throw.,18,38
6:02,-1,Virginia Coll At Wise Defensive Rebound.,18,38
5:50,-1,DeMarcus Edwards missed Three Point Jumper.,18,38
5:50,2747,Justin Tucker Defensive Rebound.,18,38
5:37,2747,Nathan Hoover made Jumper. Assisted by Donovan Theme-Love.,18,40
5:28,-1,Tajh Eason made Three Point Jumper. Assisted by Chance Sheffey.,21,40
5:08,2747,Nathan Hoover missed Jumper.,21,40
5:08,2747,Justin Tucker Offensive Rebound.,21,40
5:02,2747,Justin Tucker made Layup.,21,42
4:52,-1,Michal Seals missed Layup.,21,42
4:52,2747,Derrick Brooks Defensive Rebound.,21,42
4:45,2747,Donovan Theme-Love Turnover.,21,42
4:44,-1,DeMarcus Edwards Steal.,21,42
4:40,-1,Dimitri Sousa missed Layup.,21,42
4:40,-1,Chance Sheffey Offensive Rebound.,21,42
4:37,-1,Chance Sheffey made Layup.,23,42
4:25,2747,Nathan Hoover missed Layup.,23,42
4:25,-1,Dimitri Sousa Block.,23,42
4:23,2747,Nathan Hoover Offensive Rebound.,23,42
4:22,2747,Nathan Hoover made Jumper.,23,44
4:01,-1,Dimitri Sousa made Three Point Jumper. Assisted by DeMarcus Edwards.,26,44
3:56,-1,Virginia Coll At Wise  Timeout,26,44
3:56,2747,Official TV Timeout,26,44
3:40,2747,Ryan Sawvell made Jumper. Assisted by Fletcher Magee.,26,46
3:31,-1,DeMarcus Edwards missed Three Point Jumper.,26,46
3:31,2747,Fletcher Magee Defensive Rebound.,26,46
3:23,2747,Cameron Jackson Turnover.,26,46
3:22,-1,Michal Seals Steal.,26,46
3:20,-1,Michal Seals Turnover.,26,46
3:14,2747,Cameron Jackson made Layup. Assisted by Eric Garcia.,26,48
3:14,-1,Foul on Tajh Eason.,26,48
3:14,2747,Cameron Jackson made Free Throw.,26,49
3:04,-1,Chance Sheffey missed Jumper.,26,49
3:04,2747,Ryan Sawvell Defensive Rebound.,26,49
2:44,2747,Ryan Sawvell made Layup. Assisted by Cameron Jackson.,26,51
2:32,-1,Taiwo Badmus made Three Point Jumper. Assisted by Corey Dick.,29,51
2:08,2747,Derrick Brooks made Three Point Jumper. Assisted by Cameron Jackson.,29,54
1:38,-1,Corey Dick missed Jumper.,29,54
1:38,2747,Fletcher Magee Defensive Rebound.,29,54
1:32,2747,Fletcher Magee Turnover.,29,54
1:32,-1,Michal Seals Steal.,29,54
1:31,-1,Michal Seals Turnover.,29,54
1:29,2747,Derrick Brooks Steal.,29,54
1:26,2747,Cameron Jackson made Dunk. Assisted by Derrick Brooks.,29,56
1:09,-1,Michal Seals made Three Point Jumper. Assisted by Chance Sheffey.,32,56
0:54,2747,Fletcher Magee made Layup.,32,58
0:22,2747,Foul on Eric Garcia.,32,58
0:22,2747,Wofford  Timeout,32,58
0:22,-1,Michal Seals missed Free Throw.,32,58
0:22,-1,Virginia Coll At Wise Deadball Team Rebound.,32,58
0:22,-1,Michal Seals missed Free Throw.,32,58
0:22,2747,Fletcher Magee Defensive Rebound.,32,58
0:14,-1,Foul on Michal Seals.,32,58
0:14,2747,Eric Garcia made Free Throw.,32,59
0:14,2747,Eric Garcia made Free Throw.,32,60
0:06,-1,Chance Sheffey missed Layup.,32,60
0:06,-1,Tajh Eason Offensive Rebound.,32,60
0:03,-1,Tajh Eason missed Layup.,32,60
0:03,2747,Fletcher Magee Defensive Rebound.,32,60
0:00,2747,End of 1st half,32,60
19:52,2747,Nathan Hoover missed Jumper.,32,60
19:52,-1,Leandro Amador Defensive Rebound.,32,60
19:24,-1,Michal Seals made Layup.,34,60
19:00,2747,Eric Garcia made Jumper. Assisted by Cameron Jackson.,34,62
18:37,-1,Michal Seals made Three Point Jumper. Assisted by Leandro Amador.,37,62
18:16,2747,Ryan Sawvell made Layup. Assisted by Eric Garcia.,37,64
17:56,-1,Michal Seals Turnover.,37,64
17:55,2747,Cameron Jackson Steal.,37,64
17:51,2747,Fletcher Magee made Layup. Assisted by Ryan Sawvell.,37,66
17:28,-1,Leandro Amador missed Layup.,37,66
17:28,2747,Cameron Jackson Block.,37,66
17:26,2747,Ryan Sawvell Defensive Rebound.,37,66
17:18,2747,Nathan Hoover made Three Point Jumper. Assisted by Eric Garcia.,37,69
17:04,2747,Foul on Eric Garcia.,37,69
17:04,-1,Michal Seals missed Free Throw.,37,69
17:04,-1,Virginia Coll At Wise Deadball Team Rebound.,37,69
17:04,-1,Michal Seals made Free Throw.,38,69
16:56,2747,Fletcher Magee made Three Point Jumper. Assisted by Ryan Sawvell.,38,72
16:38,-1,Taiwo Badmus Turnover.,38,72
16:29,2747,Fletcher Magee made Three Point Jumper. Assisted by Donovan Theme-Love.,38,75
16:18,-1,Virginia Coll At Wise  Timeout,38,75
16:18,2747,Official TV Timeout,38,75
16:11,-1,Dimitri Sousa made Three Point Jumper. Assisted by Michal Seals.,41,75
15:51,2747,Official TV Timeout,41,75
15:42,2747,Fletcher Magee made Jumper. Assisted by Donovan Theme-Love.,41,77
15:24,-1,Chance Sheffey missed Three Point Jumper.,41,77
15:24,2747,Dishon Lowery Defensive Rebound.,41,77
15:14,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Fletcher Magee.,41,80
14:52,-1,Taiwo Badmus missed Three Point Jumper.,41,80
14:52,2747,Dishon Lowery Defensive Rebound.,41,80
14:39,2747,Ryan Sawvell missed Jumper.,41,80
14:39,2747,Wofford Offensive Rebound.,41,80
14:32,2747,Derrick Brooks missed Jumper.,41,80
14:32,-1,Dimitri Sousa Defensive Rebound.,41,80
14:17,2747,Foul on Justin Tucker.,41,80
14:12,2747,Foul on Dishon Lowery.,41,80
14:12,-1,Taiwo Badmus made Free Throw.,42,80
14:12,-1,Taiwo Badmus missed Free Throw.,42,80
14:12,2747,Derrick Brooks Defensive Rebound.,42,80
13:57,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Dishon Lowery.,42,83
13:37,-1,Dimitri Sousa missed Three Point Jumper.,42,83
13:37,2747,Wofford Defensive Rebound.,42,83
13:09,2747,Dishon Lowery Turnover.,42,83
13:09,2747,Foul on Dishon Lowery.,42,83
12:50,-1,Taiwo Badmus missed Three Point Jumper.,42,83
12:50,2747,Donovan Theme-Love Defensive Rebound.,42,83
12:35,2747,Derrick Brooks made Layup.,42,85
12:25,-1,Tajh Eason missed Three Point Jumper.,42,85
12:25,2747,Dishon Lowery Block.,42,85
12:24,-1,Tajh Eason Offensive Rebound.,42,85
12:20,-1,Tajh Eason made Layup.,44,85
12:03,2747,Justin Tucker made Jumper.,44,87
11:52,2747,Official TV Timeout,44,87
11:43,2747,Foul on Cameron Jackson.,44,87
11:43,-1,Taiwo Badmus missed Free Throw.,44,87
11:43,-1,Virginia Coll At Wise Deadball Team Rebound.,44,87
11:43,-1,Taiwo Badmus made Free Throw.,45,87
11:26,2747,Ryan Sawvell made Three Point Jumper. Assisted by Eric Garcia.,45,90
11:03,-1,Taiwo Badmus missed Layup.,45,90
11:03,2747,Jaylen Allen Defensive Rebound.,45,90
10:51,2747,Ryan Sawvell made Layup. Assisted by Cameron Jackson.,45,92
10:30,-1,Michal Seals made Jumper.,47,92
10:01,2747,Ryan Sawvell made Three Point Jumper. Assisted by Eric Garcia.,47,95
9:35,-1,DeMarcus Edwards missed Layup.,47,95
9:35,2747,Jaylen Allen Defensive Rebound.,47,95
9:29,2747,Fletcher Magee made Three Point Jumper. Assisted by Jaylen Allen.,47,98
9:16,-1,Michal Seals made Layup.,49,98
9:03,2747,Fletcher Magee missed Layup.,49,98
9:03,-1,DeMarcus Edwards Defensive Rebound.,49,98
8:34,-1,Tajh Eason missed Layup.,49,98
8:34,2747,Cameron Jackson Block.,49,98
8:33,-1,Virginia Coll At Wise Offensive Rebound.,49,98
8:31,-1,Virginia Coll At Wise  Turnover.,49,98
8:24,-1,Foul on Michal Seals.,49,98
8:17,2747,Eric Garcia made Free Throw.,49,99
8:17,2747,Eric Garcia made Free Throw.,49,100
7:57,2747,Foul on Matthew Pegram.,49,100
7:57,2747,Official TV Timeout,49,100
7:57,-1,Dimitri Sousa made Free Throw.,50,100
7:57,-1,Dimitri Sousa made Free Throw.,51,100
7:46,2747,Matthew Pegram Turnover.,51,100
7:46,2747,Foul on Matthew Pegram.,51,100
7:38,-1,Dimitri Sousa Turnover.,51,100
7:38,2747,Kevon Tucker Steal.,51,100
7:35,2747,Kevon Tucker made Layup.,51,102
7:15,-1,Dimitri Sousa missed Three Point Jumper.,51,102
7:15,2747,Justin Tucker Defensive Rebound.,51,102
7:09,-1,Foul on Leandro Amador.,51,102
6:46,2747,Justin Tucker made Jumper. Assisted by Eric Wagenlander.,51,104
6:36,-1,Ricardo Hill Jr. Turnover.,51,104
6:36,2747,Kevon Tucker Steal.,51,104
6:17,2747,Kevon Tucker missed Three Point Jumper.,51,104
6:17,2747,Matthew Pegram Offensive Rebound.,51,104
6:13,2747,Matthew Pegram made Layup.,51,106
5:42,-1,Leandro Amador missed Layup.,51,106
5:42,2747,Matthew Pegram Defensive Rebound.,51,106
5:28,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Kevon Tucker.,51,109
5:10,-1,Chance Sheffey missed Layup.,51,109
5:03,-1,Ricardo Hill Jr. Offensive Rebound.,51,109
5:00,-1,DeMarcus Edwards missed Three Point Jumper.,51,109
5:00,2747,Dishon Lowery Defensive Rebound.,51,109
4:44,2747,Eric Wagenlander Turnover.,51,109
4:32,-1,DeMarcus Edwards missed Three Point Jumper.,51,109
4:32,-1,Ethan Driskill Offensive Rebound.,51,109
4:26,-1,DeMarcus Edwards made Three Point Jumper. Assisted by Ethan Driskill.,54,109
4:12,-1,Foul on Ricardo Hill Jr..,54,109
4:07,2747,Kevon Tucker missed Jumper.,54,109
4:07,-1,Virginia Coll At Wise Defensive Rebound.,54,109
3:45,-1,Tajh Eason missed Layup.,54,109
3:45,2747,Dishon Lowery Block.,54,109
3:44,2747,Dishon Lowery Defensive Rebound.,54,109
3:37,2747,Justin Tucker made Dunk. Assisted by Donovan Theme-Love.,54,111
3:23,2747,Official TV Timeout,54,111
3:23,-1,Ethan Driskill missed Layup.,54,111
3:23,2747,Eric Wagenlander Block.,54,111
3:21,-1,Virginia Coll At Wise Offensive Rebound.,54,111
3:08,-1,DeMarcus Edwards Turnover.,54,111
3:04,-1,Foul on DeMarcus Edwards.,54,111
2:51,2747,Kevon Tucker missed Free Throw.,54,111
2:51,2747,Wofford Deadball Team Rebound.,54,111
2:46,2747,Kevon Tucker made Free Throw.,54,112
2:30,-1,Ricardo Hill Jr. missed Jumper.,54,112
2:30,2747,Kevon Tucker Defensive Rebound.,54,112
2:18,2747,Justin Tucker made Layup. Assisted by Donovan Theme-Love.,54,114
2:05,-1,Tajh Eason made Layup.,56,114
1:41,2747,Dishon Lowery missed Jumper.,56,114
1:41,2747,Justin Tucker Offensive Rebound.,56,114
1:38,-1,Foul on Tajh Eason.,56,114
1:38,2747,Justin Tucker missed Free Throw.,56,114
1:38,2747,Wofford Deadball Team Rebound.,56,114
1:38,2747,Justin Tucker missed Free Throw.,56,114
1:38,-1,Virginia Coll At Wise Defensive Rebound.,56,114
1:34,-1,Darren Belardo missed Three Point Jumper.,56,114
1:34,-1,DeMarcus Edwards Offensive Rebound.,56,114
1:28,-1,Ricardo Hill Jr. missed Three Point Jumper.,56,114
1:28,2747,Donovan Theme-Love Defensive Rebound.,56,114
1:12,2747,Justin Tucker made Jumper. Assisted by Eric Wagenlander.,56,116
0:51,-1,Darren Belardo missed Three Point Jumper.,56,116
0:51,2747,Eric Wagenlander Defensive Rebound.,56,116
0:44,2747,Eric Wagenlander Turnover.,56,116
0:42,-1,Tajh Eason Steal.,56,116
0:36,-1,DeMarcus Edwards missed Three Point Jumper.,56,116
0:36,2747,Donovan Theme-Love Defensive Rebound.,56,116
0:16,-1,Foul on DeMarcus Edwards.,56,116
