IUPUI,356,Illinois,85
6:54,356,Michael Finke made Free Throw.,27,26
6:54,356,Michael Finke missed Free Throw.,27,26
6:52,356,Illinois Offensive Rebound.,27,26
6:52,85,Foul on Darell Combs.,27,26
6:51,356,Jalen Coleman-Lands missed Free Throw.,27,26
6:51,85,Matt O'Leary Defensive Rebound.,27,26
6:51,356,Foul on Mike Thorne Jr..,27,26
6:51,85,Matt O'Leary made Free Throw.,28,26
6:51,85,Matt O'Leary made Free Throw.,29,26
6:33,356,Mike Thorne Jr. missed Jumper.,29,26
6:33,85,IUPUI Deadball Team Rebound.,29,26
6:32,356,Foul on Leron Black.,29,26
6:32,85,Matt O'Leary made Free Throw.,30,26
6:32,85,Matt O'Leary made Free Throw.,31,26
6:17,356,Mike Thorne Jr. made Jumper.,31,28
5:54,85,Evan Hall made Layup.,33,28
5:46,356,Jalen Coleman-Lands missed Three Point Jumper.,33,28
5:46,85,Kellon Thomas Defensive Rebound.,33,28
5:21,85,Kellon Thomas Turnover.,33,28
5:15,356,Jalen Coleman-Lands made Three Point Jumper. Assisted by Tracy Abrams.,33,31
5:00,85,Darell Combs made Jumper.,35,31
4:57,85,Foul on Kellon Thomas.,35,31
4:57,356,Tracy Abrams missed Free Throw.,35,31
4:57,356,Illinois Deadball Team Rebound.,35,31
4:57,356,Tracy Abrams made Free Throw.,35,32
4:41,85,Darell Combs missed Jumper.,35,32
4:41,356,Tracy Abrams Defensive Rebound.,35,32
4:28,356,Maverick Morgan missed Jumper.,35,32
4:28,356,Illinois Offensive Rebound.,35,32
4:21,356,Malcolm Hill made Jumper.,35,34
3:54,85,Evan Hall made Jumper.,37,34
3:42,356,D.J. Williams made Jumper. Assisted by Maverick Morgan.,37,36
3:19,85,Evan Hall missed Jumper.,37,36
3:19,356,Malcolm Hill Defensive Rebound.,37,36
3:11,356,Malcolm Hill missed Jumper.,37,36
3:11,85,Matt O'Leary Defensive Rebound.,37,36
2:53,85,Matt O'Leary made Three Point Jumper. Assisted by Darell Combs.,40,36
2:21,85,Foul on D.J. McCall.,40,36
2:21,356,Official TV Timeout,40,36
2:21,356,Malcolm Hill made Free Throw.,40,37
2:21,356,Malcolm Hill made Free Throw.,40,38
2:03,85,Aaron Brennan made Jumper. Assisted by Darell Combs.,42,38
1:41,356,D.J. Williams made Three Point Jumper. Assisted by Te'Jon Lucas.,42,41
1:20,85,Matt O'Leary missed Jumper.,42,41
1:20,356,Mike Thorne Jr. Defensive Rebound.,42,41
1:06,356,Mike Thorne Jr. missed Jumper.,42,41
1:06,85,Aaron Brennan Defensive Rebound.,42,41
0:46,85,Darell Combs missed Three Point Jumper.,42,41
0:46,85,IUPUI Offensive Rebound.,42,41
0:32,85,Aaron Brennan Turnover.,42,41
0:32,356,Illinois  Timeout,42,41
0:05,356,Malcolm Hill missed Three Point Jumper.,42,41
0:05,356,Maverick Morgan Offensive Rebound.,42,41
0:00,356,Maverick Morgan missed Jumper.,42,41
0:00,85,Aaron Brennan Block.,42,41
0:00,85,Aaron Brennan Defensive Rebound.,42,41
0:00,356,End of 1st half,42,41
19:45,356,Mike Thorne Jr. made Jumper.,42,43
19:28,85,Ron Patterson Turnover.,42,43
19:26,356,Leron Black Steal.,42,43
19:24,356,Malcolm Hill made Dunk. Assisted by Leron Black.,42,45
19:15,85,IUPUI  Timeout,42,45
18:58,85,Kellon Thomas missed Jumper.,42,45
18:58,85,Evan Hall Offensive Rebound.,42,45
18:52,85,Evan Hall made Jumper.,44,45
18:43,356,Mike Thorne Jr. missed Jumper.,44,45
18:43,85,Evan Hall Defensive Rebound.,44,45
18:36,85,Kellon Thomas missed Jumper.,44,45
18:36,356,Tracy Abrams Defensive Rebound.,44,45
18:30,356,Malcolm Hill made Dunk. Assisted by Tracy Abrams.,44,47
18:10,85,Darell Combs made Jumper.,46,47
18:10,356,Foul on Leron Black.,46,47
18:10,85,Darell Combs made Free Throw.,47,47
17:45,356,D.J. Williams missed Three Point Jumper.,47,47
17:45,85,Ron Patterson Defensive Rebound.,47,47
17:37,85,Ron Patterson made Three Point Jumper. Assisted by Darell Combs.,50,47
17:34,356,Illinois  Timeout,50,47
17:14,356,Maverick Morgan made Jumper.,50,49
17:03,356,Foul on Jalen Coleman-Lands.,50,49
17:03,85,Darell Combs made Free Throw.,51,49
17:03,85,Darell Combs made Free Throw.,52,49
16:33,356,Malcolm Hill made Layup.,52,51
16:16,85,Matt O'Leary missed Jumper.,52,51
16:16,85,Evan Hall Offensive Rebound.,52,51
16:13,356,Foul on Maverick Morgan.,52,51
16:13,85,Evan Hall missed Free Throw.,52,51
16:13,85,IUPUI Deadball Team Rebound.,52,51
16:13,85,Evan Hall missed Free Throw.,52,51
16:13,356,Malcolm Hill Defensive Rebound.,52,51
16:04,356,Malcolm Hill missed Jumper.,52,51
16:04,85,Evan Hall Defensive Rebound.,52,51
15:47,85,Ron Patterson missed Three Point Jumper.,52,51
15:47,356,Te'Jon Lucas Defensive Rebound.,52,51
15:39,356,Malcolm Hill missed Three Point Jumper.,52,51
15:39,85,Matt O'Leary Defensive Rebound.,52,51
15:17,85,Matt O'Leary missed Three Point Jumper.,52,51
15:17,356,Michael Finke Defensive Rebound.,52,51
15:00,356,Maverick Morgan made Jumper. Assisted by Malcolm Hill.,52,53
14:35,85,Ron Patterson Turnover.,52,53
14:35,356,Official TV Timeout,52,53
14:07,85,Foul on D.J. McCall.,52,53
14:07,356,Malcolm Hill made Free Throw.,52,54
14:07,356,Malcolm Hill made Free Throw.,52,55
13:46,85,Darell Combs Turnover.,52,55
13:44,356,Tracy Abrams Steal.,52,55
13:41,356,Tracy Abrams made Layup.,52,57
13:23,85,Matt O'Leary made Three Point Jumper. Assisted by Kellon Thomas.,55,57
12:51,356,Tracy Abrams made Jumper.,55,59
12:32,85,Kellon Thomas missed Three Point Jumper.,55,59
12:32,85,Matt O'Leary Offensive Rebound.,55,59
12:28,85,Matt O'Leary made Layup.,57,59
12:18,356,Michael Finke missed Three Point Jumper.,57,59
12:18,85,Josh James Defensive Rebound.,57,59
12:03,85,Matt O'Leary missed Jumper.,57,59
12:03,356,Maverick Morgan Block.,57,59
12:01,356,Jaylon Tate Defensive Rebound.,57,59
11:57,356,Tracy Abrams missed Three Point Jumper.,57,59
11:57,85,Josh James Defensive Rebound.,57,59
11:30,85,Josh James missed Jumper.,57,59
11:30,356,Michael Finke Defensive Rebound.,57,59
11:06,356,Malcolm Hill made Jumper.,57,61
10:51,85,Matt O'Leary made Three Point Jumper.,60,61
10:22,356,Michael Finke Turnover.,60,61
10:22,356,Official TV Timeout,60,61
10:08,85,Darell Combs Turnover.,60,61
9:48,356,Leron Black missed Jumper.,60,61
9:48,85,Darell Combs Defensive Rebound.,60,61
9:22,85,T.J. Henderson missed Three Point Jumper.,60,61
9:22,356,Leron Black Defensive Rebound.,60,61
9:10,85,Foul on Ron Patterson.,60,61
9:10,356,Leron Black made Free Throw.,60,62
9:10,356,Leron Black made Free Throw.,60,63
8:49,85,Aaron Brennan made Three Point Jumper. Assisted by Ron Patterson.,63,63
8:34,356,Illinois  Timeout,63,63
8:25,356,Malcolm Hill missed Jumper.,63,63
8:25,85,Evan Hall Block.,63,63
8:23,85,Evan Hall Defensive Rebound.,63,63
8:02,85,Kellon Thomas made Jumper.,65,63
8:01,356,Foul on Jaylon Tate.,65,63
8:01,85,Kellon Thomas made Free Throw.,66,63
7:46,85,Foul on Aaron Brennan.,66,63
7:46,356,Official TV Timeout,66,63
7:46,356,Jaylon Tate made Free Throw.,66,64
7:46,356,Jaylon Tate made Free Throw.,66,65
7:24,85,Matt O'Leary made Jumper.,68,65
6:55,356,Leron Black Turnover.,68,65
6:54,85,Ron Patterson Steal.,68,65
6:51,85,Ron Patterson missed Layup.,68,65
6:51,356,Leron Black Defensive Rebound.,68,65
6:46,356,Malcolm Hill made Three Point Jumper. Assisted by Leron Black.,68,68
6:45,85,Foul on Matt O'Leary.,68,68
6:45,356,Malcolm Hill missed Free Throw.,68,68
6:45,85,Kellon Thomas Defensive Rebound.,68,68
6:20,85,Evan Hall Turnover.,68,68
6:18,356,Leron Black Steal.,68,68
6:05,356,D.J. Williams Turnover.,68,68
5:43,85,Darell Combs Turnover.,68,68
5:15,356,Tracy Abrams missed Three Point Jumper.,68,68
5:15,356,Mike Thorne Jr. Offensive Rebound.,68,68
5:12,356,Mike Thorne Jr. made Layup.,68,70
5:12,85,Foul on Darell Combs.,68,70
5:12,356,Mike Thorne Jr. made Free Throw.,68,71
4:56,85,D.J. McCall missed Three Point Jumper.,68,71
4:56,85,IUPUI Offensive Rebound.,68,71
4:53,85,Matt O'Leary Turnover.,68,71
4:50,356,Tracy Abrams Steal.,68,71
4:49,356,Malcolm Hill made Layup. Assisted by Tracy Abrams.,68,73
4:39,85,Matt O'Leary missed Three Point Jumper.,68,73
4:39,85,D.J. McCall Offensive Rebound.,68,73
4:34,85,Kellon Thomas missed Three Point Jumper.,68,73
4:34,356,Malcolm Hill Defensive Rebound.,68,73
4:28,356,Malcolm Hill Turnover.,68,73
4:26,85,D.J. McCall Steal.,68,73
4:23,85,D.J. McCall made Dunk.,70,73
4:07,356,Tracy Abrams Turnover.,70,73
4:06,85,Aaron Brennan Steal.,70,73
3:59,85,Matt O'Leary missed Three Point Jumper.,70,73
3:59,85,Darell Combs Offensive Rebound.,70,73
3:55,85,Darell Combs made Layup.,72,73
3:25,356,Malcolm Hill made Jumper.,72,75
3:09,356,Foul on Mike Thorne Jr..,72,75
3:09,356,Official TV Timeout,72,75
2:59,85,Aaron Brennan missed Layup.,72,75
2:59,356,Leron Black Defensive Rebound.,72,75
2:36,356,Malcolm Hill made Three Point Jumper. Assisted by Mike Thorne Jr..,72,78
2:24,85,Darell Combs made Three Point Jumper.,75,78
1:59,356,Malcolm Hill made Jumper.,75,80
1:58,85,Foul on D.J. McCall.,75,80
1:58,356,Malcolm Hill made Free Throw.,75,81
1:53,85,Darell Combs made Layup.,77,81
1:30,356,Malcolm Hill Turnover.,77,81
1:28,85,Darell Combs Steal.,77,81
1:24,85,Kellon Thomas missed Jumper.,77,81
1:24,356,Maverick Morgan Block.,77,81
1:21,356,Leron Black Defensive Rebound.,77,81
0:56,356,Malcolm Hill missed Jumper.,77,81
0:56,85,Matt O'Leary Defensive Rebound.,77,81
0:50,85,Kellon Thomas Turnover.,77,81
0:48,356,Jaylon Tate Steal.,77,81
0:47,85,Foul on Darell Combs.,77,81
0:47,356,Jaylon Tate missed Free Throw.,77,81
0:47,356,Leron Black Offensive Rebound.,77,81
0:45,356,Leron Black Turnover.,77,81
0:45,85,IUPUI  Timeout,77,81
0:35,85,Darell Combs missed Jumper.,77,81
0:35,85,Matt O'Leary Offensive Rebound.,77,81
0:30,85,Matt O'Leary missed Three Point Jumper.,77,81
0:30,85,Ron Patterson Offensive Rebound.,77,81
0:26,85,Darell Combs missed Three Point Jumper.,77,81
0:26,356,Leron Black Defensive Rebound.,77,81
0:23,85,Foul on Aaron Brennan.,77,81
0:23,356,Leron Black made Free Throw.,77,82
0:23,356,Leron Black made Free Throw.,77,83
0:22,356,Foul on Jaylon Tate.,77,83
0:17,85,Kellon Thomas missed Three Point Jumper.,77,83
0:17,356,Tracy Abrams Defensive Rebound.,77,83
0:13,85,Foul on Ron Patterson.,77,83
0:13,356,Tracy Abrams made Free Throw.,77,84
0:13,356,Tracy Abrams made Free Throw.,77,85
0:09,85,Darell Combs Turnover.,77,85
0:00,356,End of Game,77,85
