Houston,8,Arkansas,248
18:43,248,Kyle Meyer made Layup.,37,34
18:25,8,Dustin Thomas made Layup. Assisted by Moses Kingsley.,37,36
18:24,248,Foul on Danrad Knowles.,37,36
18:24,8,Dustin Thomas missed Free Throw.,37,36
18:24,248,Damyean Dotson Defensive Rebound.,37,36
17:58,248,Rob Gray Jr. missed Jumper.,37,36
17:58,8,Moses Kingsley Defensive Rebound.,37,36
17:58,248,Foul on Kyle Meyer.,37,36
17:37,8,Daryl Macon missed Jumper.,37,36
17:37,248,Damyean Dotson Defensive Rebound.,37,36
17:36,8,Foul on Moses Kingsley.,37,36
17:32,248,Galen Robinson Jr. missed Jumper.,37,36
17:32,8,Moses Kingsley Block.,37,36
17:32,248,Houston Offensive Rebound.,37,36
17:15,248,Damyean Dotson Turnover.,37,36
17:13,8,Manuale Watkins Steal.,37,36
17:10,8,Daryl Macon made Three Point Jumper. Assisted by Manuale Watkins.,37,39
17:09,248,Foul on Bertrand Nkali.,37,39
17:09,8,Daryl Macon made Free Throw.,37,40
16:39,248,Rob Gray Jr. missed Jumper.,37,40
16:39,248,Bertrand Nkali Offensive Rebound.,37,40
16:34,248,Bertrand Nkali made Two Point Tip Shot.,39,40
16:21,8,Moses Kingsley Turnover.,39,40
16:17,248,Rob Gray Jr. made Layup. Assisted by Galen Robinson Jr..,41,40
16:05,8,Moses Kingsley made Layup. Assisted by Dustin Thomas.,41,42
16:04,248,Foul on Bertrand Nkali.,41,42
16:04,8,Moses Kingsley made Free Throw.,41,43
15:58,248,Rob Gray Jr. made Layup.,43,43
15:49,8,Moses Kingsley made Jumper. Assisted by Daryl Macon.,43,45
15:25,248,Foul on Galen Robinson Jr..,43,45
15:25,248,Galen Robinson Jr. Turnover.,43,45
15:25,8,Official TV Timeout,43,45
15:10,8,Jaylen Barford missed Jumper.,43,45
15:10,8,Moses Kingsley Offensive Rebound.,43,45
15:06,8,Moses Kingsley missed Jumper.,43,45
15:06,248,Rob Gray Jr. Defensive Rebound.,43,45
14:54,8,Foul on Dustin Thomas.,43,45
14:44,8,Foul on Dustin Thomas.,43,45
14:44,248,Danrad Knowles made Free Throw.,44,45
14:44,248,Danrad Knowles missed Free Throw.,44,45
14:44,248,Houston Offensive Rebound.,44,45
14:27,248,Foul on Danrad Knowles.,44,45
14:27,248,Danrad Knowles Turnover.,44,45
14:25,248,Foul on Houston.,44,45
14:25,248,Technical Foul on Houston.,44,45
14:25,8,Dusty Hannahs made Free Throw.,44,46
14:25,8,Dusty Hannahs made Free Throw.,44,47
14:11,8,Daryl Macon made Three Point Jumper. Assisted by Dusty Hannahs.,44,50
13:44,248,Damyean Dotson missed Three Point Jumper.,44,50
13:44,8,Anton Beard Defensive Rebound.,44,50
13:32,8,Dusty Hannahs missed Three Point Jumper.,44,50
13:32,248,Damyean Dotson Defensive Rebound.,44,50
13:22,248,Kyle Meyer made Layup. Assisted by Damyean Dotson.,46,50
13:09,8,Foul on Dusty Hannahs.,46,50
13:09,8,Dusty Hannahs Turnover.,46,50
12:56,248,Rob Gray Jr. made Jumper.,48,50
12:37,8,Dusty Hannahs made Layup.,48,52
12:12,248,Rob Gray Jr. made Three Point Jumper.,51,52
11:54,8,Dusty Hannahs made Three Point Jumper. Assisted by Trey Thompson.,51,55
11:34,248,Damyean Dotson missed Three Point Jumper.,51,55
11:34,248,Wes VanBeck Offensive Rebound.,51,55
11:18,248,Rob Gray Jr. made Jumper.,53,55
11:05,8,Arlando Cook missed Jumper.,53,55
11:05,8,Arkansas Offensive Rebound.,53,55
11:03,8,Official TV Timeout,53,55
11:01,8,Dusty Hannahs missed Jumper.,53,55
11:01,8,Dusty Hannahs Offensive Rebound.,53,55
10:57,8,Anton Beard missed Three Point Jumper.,53,55
10:57,8,Arkansas Offensive Rebound.,53,55
10:40,8,Anton Beard Turnover.,53,55
10:39,248,Damyean Dotson Steal.,53,55
10:33,248,Galen Robinson Jr. missed Three Point Jumper.,53,55
10:33,8,Trey Thompson Defensive Rebound.,53,55
10:25,8,Anton Beard made Layup.,53,57
9:57,8,Foul on Trey Thompson.,53,57
9:55,248,Damyean Dotson missed Jumper.,53,57
9:55,248,Damyean Dotson Offensive Rebound.,53,57
9:50,248,Rob Gray Jr. missed Three Point Jumper.,53,57
9:50,8,Adrio Bailey Defensive Rebound.,53,57
9:42,8,Trey Thompson made Jumper. Assisted by Daryl Macon.,53,59
9:34,248,Houston  Timeout,53,59
9:19,248,Rob Gray Jr. Turnover.,53,59
9:18,8,Anton Beard Steal.,53,59
9:15,248,Foul on Rob Gray Jr..,53,59
9:15,8,Anton Beard made Free Throw.,53,60
9:15,8,Anton Beard missed Free Throw.,53,60
9:15,248,Damyean Dotson Defensive Rebound.,53,60
8:57,8,Foul on Adrio Bailey.,53,60
8:57,248,Galen Robinson Jr. made Free Throw.,54,60
8:57,248,Galen Robinson Jr. made Free Throw.,55,60
8:40,8,Anton Beard missed Jumper.,55,60
8:40,248,Damyean Dotson Defensive Rebound.,55,60
8:25,248,Damyean Dotson missed Three Point Jumper.,55,60
8:25,8,Daryl Macon Defensive Rebound.,55,60
8:12,248,Foul on Galen Robinson Jr..,55,60
8:12,8,Adrio Bailey missed Free Throw.,55,60
8:12,8,Arkansas Deadball Team Rebound.,55,60
8:12,8,Adrio Bailey made Free Throw.,55,61
8:07,248,Damyean Dotson made Three Point Jumper. Assisted by Galen Robinson Jr..,58,61
7:44,8,Trey Thompson made Layup. Assisted by Adrio Bailey.,58,63
7:17,248,Damyean Dotson made Three Point Jumper. Assisted by Galen Robinson Jr..,61,63
6:49,8,Foul on Daryl Macon.,61,63
6:49,8,Daryl Macon Turnover.,61,63
6:49,8,Official TV Timeout,61,63
6:25,248,Morris Dunnigan missed Three Point Jumper.,61,63
6:25,8,Arkansas Defensive Rebound.,61,63
5:59,248,Foul on Wes VanBeck.,61,63
5:59,8,Daryl Macon made Free Throw.,61,64
5:59,8,Daryl Macon made Free Throw.,61,65
5:39,248,Wes VanBeck missed Jumper.,61,65
5:39,8,Dustin Thomas Block.,61,65
5:38,248,Danrad Knowles Offensive Rebound.,61,65
5:37,8,Foul on Moses Kingsley.,61,65
5:37,248,Danrad Knowles made Free Throw.,62,65
5:37,248,Danrad Knowles missed Free Throw.,62,65
5:37,8,Moses Kingsley Defensive Rebound.,62,65
5:24,8,Manuale Watkins made Jumper. Assisted by Dustin Thomas.,62,67
4:58,248,Damyean Dotson missed Jumper.,62,67
4:58,248,Danrad Knowles Offensive Rebound.,62,67
4:57,248,Danrad Knowles missed Jumper.,62,67
4:57,8,Manuale Watkins Defensive Rebound.,62,67
4:57,248,Foul on Danrad Knowles.,62,67
4:57,8,Manuale Watkins made Free Throw.,62,68
4:57,8,Manuale Watkins made Free Throw.,62,69
4:46,248,Galen Robinson Jr. missed Jumper.,62,69
4:46,8,Manuale Watkins Defensive Rebound.,62,69
4:40,8,Dustin Thomas made Layup. Assisted by Manuale Watkins.,62,71
4:24,248,Rob Gray Jr. made Jumper.,64,71
4:02,8,Moses Kingsley made Layup. Assisted by Manuale Watkins.,64,73
3:54,248,Galen Robinson Jr. Turnover.,64,73
3:54,8,Official TV Timeout,64,73
3:40,8,Moses Kingsley missed Jumper.,64,73
3:40,248,Kyle Meyer Block.,64,73
3:39,248,Kyle Meyer Defensive Rebound.,64,73
3:33,8,Foul on Dustin Thomas.,64,73
3:33,248,Kyle Meyer missed Free Throw.,64,73
3:33,248,Houston Deadball Team Rebound.,64,73
3:33,248,Kyle Meyer missed Free Throw.,64,73
3:33,248,Damyean Dotson Offensive Rebound.,64,73
3:26,248,Rob Gray Jr. missed Jumper.,64,73
3:26,8,Moses Kingsley Defensive Rebound.,64,73
3:09,8,Dustin Thomas missed Jumper.,64,73
3:09,8,Daryl Macon Offensive Rebound.,64,73
3:06,8,Daryl Macon Turnover.,64,73
3:06,248,Damyean Dotson Steal.,64,73
2:53,248,Damyean Dotson missed Three Point Jumper.,64,73
2:53,8,Manuale Watkins Defensive Rebound.,64,73
2:32,8,Anton Beard made Layup.,64,75
2:01,248,Damyean Dotson missed Jumper.,64,75
2:01,8,Dustin Thomas Defensive Rebound.,64,75
1:42,248,Foul on Damyean Dotson.,64,75
1:42,8,Dustin Thomas made Free Throw.,64,76
1:42,8,Dustin Thomas made Free Throw.,64,77
1:25,248,Galen Robinson Jr. made Layup.,66,77
1:24,8,Foul on Anton Beard.,66,77
1:24,248,Galen Robinson Jr. made Free Throw.,67,77
1:14,248,Foul on Wes VanBeck.,67,77
1:14,8,Daryl Macon made Free Throw.,67,78
1:14,8,Daryl Macon missed Free Throw.,67,78
1:14,8,Dustin Thomas Offensive Rebound.,67,78
1:12,8,Dustin Thomas made Layup.,67,80
1:01,248,Wes VanBeck made Three Point Jumper. Assisted by Damyean Dotson.,70,80
0:59,248,Houston  Timeout,70,80
0:59,248,Foul on Wes VanBeck.,70,80
0:59,8,Anton Beard made Free Throw.,70,81
0:59,8,Anton Beard missed Free Throw.,70,81
0:59,8,Moses Kingsley Offensive Rebound.,70,81
0:58,248,Foul on Armoni Brooks.,70,81
0:58,8,Moses Kingsley missed Free Throw.,70,81
0:58,8,Arkansas Deadball Team Rebound.,70,81
0:58,8,Moses Kingsley made Free Throw.,70,82
0:47,248,Armoni Brooks missed Three Point Jumper.,70,82
0:47,248,Rob Gray Jr. Offensive Rebound.,70,82
0:40,248,Rob Gray Jr. made Layup.,72,82
0:12,8,Daryl Macon missed Jumper.,72,82
0:12,8,Moses Kingsley Offensive Rebound.,72,82
0:08,8,Moses Kingsley made Two Point Tip Shot.,72,84
0:01,248,Armoni Brooks missed Three Point Jumper.,72,84
0:01,8,Manuale Watkins Defensive Rebound.,72,84
0:00,8,End of Game,72,84
