Greensboro,Error,Winthrop,2737
7:22,2737,Winthrop Offensive Rebound.,20,36
7:21,2737,Keon Johnson made Three Point Jumper. Assisted by Anders Broman.,20,39
7:05,-1,Joseph Gatling missed Three Point Jumper.,20,39
7:05,2737,Winthrop Defensive Rebound.,20,39
6:40,2737,Joshua Davenport missed Three Point Jumper.,20,39
6:40,-1,Torrence Outing Defensive Rebound.,20,39
6:36,2737,Foul on Duby Okeke.,20,39
6:24,-1,Donavan Griffith made Layup.,22,39
6:10,2737,Keon Johnson Turnover.,22,39
6:09,-1,Joseph Gatling Steal.,22,39
6:04,-1,Joseph Gatling missed Jumper.,22,39
6:04,2737,Josh Ferguson Defensive Rebound.,22,39
5:58,2737,Josh Ferguson made Jumper.,22,41
5:42,-1,Foul on Torrence Outing.,22,41
5:42,-1,Torrence Outing Turnover.,22,41
5:25,-1,Foul on Donavan Griffith.,22,41
5:25,2737,Xavier Cooks made Free Throw.,22,42
5:25,2737,Xavier Cooks made Free Throw.,22,43
5:17,-1,Joseph Gatling missed Three Point Jumper.,22,43
5:17,2737,Josh Ferguson Defensive Rebound.,22,43
5:11,2737,Josh Ferguson Turnover.,22,43
5:00,-1,Christopher Corbin made Jumper.,24,43
4:45,2737,Roderick Perkins Turnover.,24,43
4:44,-1,Joseph Gatling Steal.,24,43
4:41,-1,Joseph Gatling made Layup.,26,43
4:27,2737,Xavier Cooks missed Jumper.,26,43
4:27,-1,Torrence Outing Defensive Rebound.,26,43
4:20,-1,Dominic Fumbanks missed Jumper.,26,43
4:20,2737,Josh Ferguson Defensive Rebound.,26,43
4:09,2737,Keon Johnson made Three Point Jumper.,26,46
3:56,-1,Christopher Corbin missed Layup.,26,46
3:56,2737,Xavier Cooks Defensive Rebound.,26,46
3:49,2737,Josh Ferguson made Dunk. Assisted by Adam Pickett.,26,48
3:26,-1,Joseph Gatling Turnover.,26,48
3:26,2737,Xavier Cooks Steal.,26,48
3:21,2737,Adam Pickett missed Layup.,26,48
3:21,-1,Joseph Gatling Defensive Rebound.,26,48
3:14,-1,Joseph Gatling Turnover.,26,48
3:13,2737,Xavier Cooks Steal.,26,48
3:10,2737,Keon Johnson missed Layup.,26,48
3:10,2737,Roderick Perkins Offensive Rebound.,26,48
3:07,2737,Roderick Perkins missed Layup.,26,48
3:07,-1,Torrence Outing Defensive Rebound.,26,48
2:59,-1,Lorenzo Marry missed Jumper.,26,48
2:59,2737,Xavier Cooks Block.,26,48
2:55,-1,Lorenzo Marry Offensive Rebound.,26,48
2:54,-1,Dominic Fumbanks missed Three Point Jumper.,26,48
2:54,2737,Adam Pickett Defensive Rebound.,26,48
2:44,2737,Winthrop  Timeout,26,48
2:44,2737,Official TV Timeout,26,48
2:29,2737,Joshua Davenport missed Jumper.,26,48
2:29,-1,Torrence Outing Defensive Rebound.,26,48
2:21,-1,Torrence Outing missed Three Point Jumper.,26,48
2:21,2737,Adam Pickett Defensive Rebound.,26,48
2:12,2737,Anders Broman missed Three Point Jumper.,26,48
2:12,2737,Tevin Prescott Offensive Rebound.,26,48
1:46,2737,Adam Pickett Turnover.,26,48
1:44,-1,Demetrius Tilley Steal.,26,48
1:37,-1,Torrence Outing Turnover.,26,48
1:36,2737,Joshua Davenport Steal.,26,48
1:32,2737,Foul on Anders Broman.,26,48
1:32,2737,Anders Broman Turnover.,26,48
1:14,-1,Torrence Outing Turnover.,26,48
1:13,2737,Joshua Davenport Steal.,26,48
1:12,2737,Joshua Davenport made Dunk.,26,50
0:52,-1,Demetrius Tilley Turnover.,26,50
0:50,2737,Adam Pickett Steal.,26,50
0:44,2737,Tevin Prescott missed Jumper.,26,50
0:44,2737,Tevin Prescott Offensive Rebound.,26,50
0:40,2737,Tevin Prescott made Two Point Tip Shot.,26,52
0:28,-1,Zedric Barnett Turnover.,26,52
0:28,2737,Adam Pickett Steal.,26,52
0:25,2737,Joshua Davenport made Dunk. Assisted by Adam Pickett.,26,54
0:06,2737,Foul on Anders Broman.,26,54
0:06,-1,Hamilton Hawkins missed Free Throw.,26,54
0:06,-1,Hamilton Hawkins Offensive Rebound.,26,54
0:02,-1,Hamilton Hawkins Turnover.,26,54
0:02,2737,Anders Broman Steal.,26,54
0:00,2737,End of 1st half,26,54
19:46,-1,Donavan Griffith missed Three Point Jumper.,26,54
19:46,2737,Tevin Prescott Defensive Rebound.,26,54
19:39,2737,Tevin Prescott made Layup.,26,56
19:19,-1,Joseph Gatling Turnover.,26,56
19:10,-1,Foul on Alvin Cunningham Jr..,26,56
19:01,2737,Xavier Cooks Turnover.,26,56
18:42,-1,Donavan Griffith missed Jumper.,26,56
18:42,-1,Joseph Gatling Offensive Rebound.,26,56
18:32,-1,Lorenzo Marry missed Jumper.,26,56
18:32,2737,Tevin Prescott Defensive Rebound.,26,56
18:23,2737,Keon Johnson made Jumper.,26,58
18:13,-1,Alvin Cunningham Jr. missed Jumper.,26,58
18:13,2737,Xavier Cooks Defensive Rebound.,26,58
18:04,2737,Xavier Cooks Turnover.,26,58
17:42,-1,Joseph Gatling missed Three Point Jumper.,26,58
17:42,-1,Hamilton Hawkins Offensive Rebound.,26,58
17:38,-1,Hamilton Hawkins missed Layup.,26,58
17:38,-1,Hamilton Hawkins Offensive Rebound.,26,58
17:36,-1,Hamilton Hawkins missed Jumper.,26,58
17:36,2737,Xavier Cooks Defensive Rebound.,26,58
17:26,2737,Xavier Cooks made Jumper.,26,60
17:05,-1,Donavan Griffith missed Jumper.,26,60
17:05,2737,Roderick Perkins Defensive Rebound.,26,60
16:51,2737,Xavier Cooks made Three Point Jumper. Assisted by Keon Johnson.,26,63
16:35,-1,Alvin Cunningham Jr. Turnover.,26,63
16:34,2737,Roderick Perkins Steal.,26,63
16:28,2737,Roderick Perkins made Jumper.,26,65
16:22,-1,Greensboro College  Timeout,26,65
16:22,2737,Official TV Timeout,26,65
16:13,-1,Joseph Gatling missed Jumper.,26,65
16:13,2737,Josh Ferguson Defensive Rebound.,26,65
16:06,2737,Anders Broman Turnover.,26,65
15:36,-1,Zedric Barnett made Jumper.,28,65
15:24,2737,Adam Pickett missed Three Point Jumper.,28,65
15:24,-1,Joseph Gatling Defensive Rebound.,28,65
15:17,-1,Donavan Griffith made Layup. Assisted by Joseph Gatling.,30,65
14:59,2737,Xavier Cooks missed Layup.,30,65
14:59,-1,Donavan Griffith Defensive Rebound.,30,65
14:53,-1,Joseph Gatling missed Three Point Jumper.,30,65
14:53,-1,Lorenzo Marry Offensive Rebound.,30,65
14:50,-1,Lorenzo Marry made Two Point Tip Shot.,32,65
14:44,2737,Official TV Timeout,32,65
14:40,2737,Keon Johnson Turnover.,32,65
14:39,-1,Joseph Gatling Steal.,32,65
14:35,-1,Joseph Gatling made Layup.,34,65
14:28,-1,Foul on Donavan Griffith.,34,65
14:19,2737,Keon Johnson made Three Point Jumper.,34,68
14:02,-1,Dominic Fumbanks missed Layup.,34,68
14:02,2737,Adam Pickett Defensive Rebound.,34,68
13:56,-1,Foul on Christopher Corbin.,34,68
13:42,2737,Adam Pickett made Layup.,34,70
13:35,2737,Foul on Bjorn Broman.,34,70
13:26,-1,Donavan Griffith made Layup.,36,70
13:07,2737,Joshua Davenport made Jumper.,36,72
13:07,-1,Foul on Matteo Baggio.,36,72
13:07,2737,Joshua Davenport made Free Throw.,36,73
12:51,-1,Donavan Griffith made Three Point Jumper.,39,73
12:26,2737,Bjorn Broman missed Three Point Jumper.,39,73
12:26,-1,Dominic Fumbanks Defensive Rebound.,39,73
12:16,-1,Donavan Griffith made Jumper.,41,73
11:55,2737,Joshua Davenport made Jumper.,41,75
11:55,-1,Foul on Matteo Baggio.,41,75
11:55,2737,Official TV Timeout,41,75
11:55,2737,Duby Okeke Turnover.,41,75
11:52,2737,Foul on Duby Okeke.,41,75
11:45,-1,Zedric Barnett missed Three Point Jumper.,41,75
11:45,2737,Duby Okeke Defensive Rebound.,41,75
11:33,2737,Xavier Cooks missed Layup.,41,75
11:33,-1,Demetrius Tilley Defensive Rebound.,41,75
11:26,-1,Dominic Fumbanks missed Jumper.,41,75
11:26,-1,Demetrius Tilley Offensive Rebound.,41,75
11:23,-1,Matteo Baggio missed Three Point Jumper.,41,75
11:23,2737,Duby Okeke Defensive Rebound.,41,75
11:13,2737,Xavier Cooks missed Three Point Jumper.,41,75
11:13,-1,Matteo Baggio Defensive Rebound.,41,75
10:56,-1,Dominic Fumbanks missed Three Point Jumper.,41,75
10:56,2737,Bjorn Broman Defensive Rebound.,41,75
10:46,2737,Bjorn Broman made Three Point Jumper.,41,78
10:38,-1,Demetrius Tilley Turnover.,41,78
10:30,2737,Duby Okeke missed Dunk.,41,78
10:30,-1,Demetrius Tilley Defensive Rebound.,41,78
10:25,-1,Matteo Baggio missed Layup.,41,78
10:25,-1,Donavan Griffith Offensive Rebound.,41,78
10:21,-1,Donavan Griffith made Dunk.,43,78
10:06,-1,Foul on Demetrius Tilley.,43,78
10:06,2737,Xavier Cooks missed Free Throw.,43,78
10:06,2737,Winthrop Deadball Team Rebound.,43,78
10:06,2737,Xavier Cooks made Free Throw.,43,79
9:50,-1,Demetrius Tilley Turnover.,43,79
9:38,2737,Keon Johnson missed Three Point Jumper.,43,79
9:38,-1,Demetrius Tilley Defensive Rebound.,43,79
9:27,-1,Matteo Baggio missed Three Point Jumper.,43,79
9:27,-1,Demetrius Tilley Offensive Rebound.,43,79
9:25,-1,Demetrius Tilley made Jumper.,45,79
9:12,2737,Roderick Perkins missed Three Point Jumper.,45,79
9:12,-1,Matteo Baggio Defensive Rebound.,45,79
9:04,-1,Matteo Baggio Turnover.,45,79
9:03,2737,Roderick Perkins Steal.,45,79
8:46,2737,Keon Johnson made Three Point Jumper. Assisted by Roderick Perkins.,45,82
8:21,-1,Donavan Griffith missed Three Point Jumper.,45,82
8:21,2737,Tevin Prescott Defensive Rebound.,45,82
8:11,2737,Roderick Perkins made Three Point Jumper. Assisted by Keon Johnson.,45,85
8:05,-1,Darus Maddox Turnover.,45,85
8:04,2737,Adam Pickett Steal.,45,85
7:58,2737,Xavier Cooks made Three Point Jumper. Assisted by Keon Johnson.,45,88
7:50,-1,Greensboro College  Timeout,45,88
7:50,2737,Official TV Timeout,45,88
7:43,-1,Donavan Griffith Turnover.,45,88
7:20,2737,Roderick Perkins missed Layup.,45,88
7:20,-1,Greensboro College Defensive Rebound.,45,88
6:55,2737,Foul on Bjorn Broman.,45,88
6:55,-1,Christopher Corbin made Free Throw.,46,88
6:55,-1,Christopher Corbin missed Free Throw.,46,88
6:55,2737,Roderick Perkins Defensive Rebound.,46,88
6:47,2737,Josh Ferguson missed Jumper.,46,88
6:47,2737,Josh Ferguson Offensive Rebound.,46,88
6:43,2737,Joshua Davenport made Jumper. Assisted by Josh Ferguson.,46,90
6:27,-1,Joseph Gatling missed Jumper.,46,90
6:27,2737,Joshua Davenport Defensive Rebound.,46,90
6:20,2737,Josh Ferguson made Layup. Assisted by Bjorn Broman.,46,92
6:07,-1,Donavan Griffith made Jumper.,48,92
5:55,2737,Bjorn Broman Turnover.,48,92
5:54,-1,Donavan Griffith Steal.,48,92
5:50,-1,Joseph Gatling made Layup. Assisted by Donavan Griffith.,50,92
5:39,2737,Bjorn Broman missed Three Point Jumper.,50,92
5:39,-1,Donavan Griffith Defensive Rebound.,50,92
5:31,-1,Darus Maddox made Jumper.,52,92
5:22,2737,Winthrop  Timeout,52,92
5:09,2737,Adam Pickett missed Layup.,52,92
5:09,-1,Lorenzo Marry Defensive Rebound.,52,92
5:03,-1,Foul on Dominic Fumbanks.,52,92
5:03,-1,Dominic Fumbanks Turnover.,52,92
4:46,-1,Foul on Matteo Baggio.,52,92
4:46,2737,Josh Ferguson made Free Throw.,52,93
4:46,2737,Josh Ferguson missed Free Throw.,52,93
4:46,-1,Dominic Fumbanks Defensive Rebound.,52,93
4:31,-1,Lorenzo Marry missed Jumper.,52,93
4:31,2737,Adam Pickett Defensive Rebound.,52,93
4:19,2737,Josh Ferguson made Three Point Jumper. Assisted by Kellen Blake.,52,96
4:09,-1,Christopher Corbin Turnover.,52,96
4:08,2737,Mitch Hill Steal.,52,96
4:04,2737,Kellen Blake Turnover.,52,96
4:03,-1,Lorenzo Marry Steal.,52,96
4:01,-1,Lorenzo Marry made Layup.,54,96
3:41,2737,Josh Ferguson missed Three Point Jumper.,54,96
3:41,2737,Freddy Poole Offensive Rebound.,54,96
3:37,2737,Freddy Poole missed Jumper.,54,96
3:37,-1,Lorenzo Marry Block.,54,96
3:36,2737,Mitch Hill Offensive Rebound.,54,96
3:33,-1,Foul on Lorenzo Marry.,54,96
3:33,2737,Official TV Timeout,54,96
3:33,2737,Kellen Blake made Free Throw.,54,97
3:33,2737,Kellen Blake missed Free Throw.,54,97
3:33,2737,Josh Ferguson Offensive Rebound.,54,97
3:30,2737,Josh Ferguson missed Jumper.,54,97
3:30,2737,Josh Ferguson Offensive Rebound.,54,97
3:28,2737,Josh Ferguson missed Jumper.,54,97
3:28,2737,Hunter Sadlon Offensive Rebound.,54,97
3:22,2737,Mitch Hill made Layup. Assisted by Josh Ferguson.,54,99
3:06,-1,Alvin Cunningham Jr. missed Jumper.,54,99
3:06,-1,Darus Maddox Offensive Rebound.,54,99
3:01,-1,Darus Maddox missed Layup.,54,99
3:01,2737,Josh Ferguson Defensive Rebound.,54,99
2:51,2737,Josh Ferguson made Three Point Jumper. Assisted by Kellen Blake.,54,102
2:41,-1,Torrence Outing made Layup.,56,102
2:31,2737,Freddy Poole made Jumper.,56,104
2:14,-1,Alvin Cunningham Jr. made Layup.,58,104
1:56,2737,Freddy Poole made Layup. Assisted by Kellen Blake.,58,106
1:44,-1,Darus Maddox missed Layup.,58,106
1:44,2737,Hunter Sadlon Defensive Rebound.,58,106
1:34,-1,Foul on Matteo Baggio.,58,106
1:34,2737,Mitch Hill missed Free Throw.,58,106
1:34,2737,Winthrop Deadball Team Rebound.,58,106
1:34,2737,Mitch Hill missed Free Throw.,58,106
1:34,-1,Alvin Cunningham Jr. Defensive Rebound.,58,106
1:16,2737,Foul on Freddy Poole.,58,106
1:16,-1,Alvin Cunningham Jr. missed Free Throw.,58,106
1:16,-1,Greensboro College Deadball Team Rebound.,58,106
1:16,-1,Alvin Cunningham Jr. made Free Throw.,59,106
1:00,2737,Freddy Poole Turnover.,59,106
0:43,-1,Alvin Cunningham Jr. made Layup.,61,106
0:36,-1,Matteo Baggio Defensive Rebound.,61,106
0:36,2737,Kellen Blake missed Layup.,61,106
0:30,-1,Alvin Cunningham Jr. made Layup.,63,106
0:14,2737,Hunter Sadlon missed Three Point Jumper.,63,106
0:14,2737,Mitch Hill Offensive Rebound.,63,106
