Florida,150,Duke,57
19:22,150,Foul on Jayson Tatum.,31,43
19:22,57,Devin Robinson made Free Throw.,32,43
19:22,57,Devin Robinson made Free Throw.,33,43
19:13,150,Luke Kennard missed Three Point Jumper.,33,43
19:13,57,Kasey Hill Defensive Rebound.,33,43
19:00,57,Kasey Hill missed Jumper.,33,43
19:00,150,Amile Jefferson Defensive Rebound.,33,43
18:45,150,Grayson Allen Turnover.,33,43
18:45,57,Devin Robinson Steal.,33,43
18:39,57,Kasey Hill made Layup. Assisted by Devin Robinson.,35,43
18:17,150,Amile Jefferson missed Layup.,35,43
18:17,57,Devin Robinson Defensive Rebound.,35,43
18:10,57,John Egbunu made Dunk. Assisted by Kasey Hill.,37,43
17:48,150,Grayson Allen made Three Point Jumper. Assisted by Jayson Tatum.,37,46
17:30,57,Devin Robinson missed Jumper.,37,46
17:30,57,Kasey Hill Offensive Rebound.,37,46
17:22,57,Devin Robinson missed Jumper.,37,46
17:22,57,Devin Robinson Offensive Rebound.,37,46
17:10,150,Flagrant foul on Matt Jones.,37,46
17:10,57,John Egbunu missed Free Throw.,37,46
17:10,57,Florida Deadball Team Rebound.,37,46
17:10,57,John Egbunu missed Free Throw.,37,46
17:10,57,Florida Deadball Team Rebound.,37,46
16:52,57,Justin Leon missed Three Point Jumper.,37,46
16:52,150,Grayson Allen Defensive Rebound.,37,46
16:46,150,Jayson Tatum made Layup. Assisted by Grayson Allen.,37,48
16:31,150,Foul on Matt Jones.,37,48
16:25,57,Kasey Hill Turnover.,37,48
16:12,57,Foul on Kasey Hill.,37,48
16:06,150,Grayson Allen missed Jumper.,37,48
16:06,150,Amile Jefferson Offensive Rebound.,37,48
16:03,150,Amile Jefferson made Layup.,37,50
16:02,150,Official TV Timeout,37,50
15:54,57,KeVaughn Allen made Layup.,39,50
15:39,150,Matt Jones Turnover.,39,50
15:39,57,KeVaughn Allen Steal.,39,50
15:33,150,Foul on Grayson Allen.,39,50
15:32,57,Keith Stone missed Jumper.,39,50
15:32,150,Jayson Tatum Defensive Rebound.,39,50
15:12,150,Jayson Tatum Turnover.,39,50
14:57,57,Foul on KeVaughn Allen.,39,50
14:57,57,KeVaughn Allen Turnover.,39,50
14:42,150,Frank Jackson missed Three Point Jumper.,39,50
14:42,150,Amile Jefferson Offensive Rebound.,39,50
14:33,150,Luke Kennard made Three Point Jumper. Assisted by Grayson Allen.,39,53
14:09,57,Keith Stone missed Jumper.,39,53
14:09,150,Amile Jefferson Defensive Rebound.,39,53
14:06,57,Foul on Devin Robinson.,39,53
13:49,150,Jayson Tatum Turnover.,39,53
13:49,57,Keith Stone Steal.,39,53
13:42,57,Kasey Hill made Layup.,41,53
13:09,150,Grayson Allen missed Three Point Jumper.,41,53
13:09,57,Kasey Hill Defensive Rebound.,41,53
13:02,57,KeVaughn Allen missed Three Point Jumper.,41,53
13:02,57,Kevarrius Hayes Offensive Rebound.,41,53
12:56,57,Keith Stone made Three Point Jumper. Assisted by Kasey Hill.,44,53
12:34,150,Luke Kennard made Three Point Jumper. Assisted by Grayson Allen.,44,56
12:32,150,Duke  Timeout,44,56
12:16,57,Kasey Hill missed Jumper.,44,56
12:16,150,Matt Jones Defensive Rebound.,44,56
12:12,150,Matt Jones Turnover.,44,56
12:12,57,Devin Robinson Steal.,44,56
12:10,57,Devin Robinson made Layup.,46,56
11:50,150,Amile Jefferson made Jumper.,46,58
11:32,57,KeVaughn Allen made Jumper.,48,58
11:23,150,Official TV Timeout,48,58
11:23,57,Foul on KeVaughn Allen.,48,58
10:58,150,Matt Jones missed Jumper.,48,58
10:58,150,Amile Jefferson Offensive Rebound.,48,58
10:52,150,Luke Kennard made Three Point Jumper. Assisted by Amile Jefferson.,48,61
10:29,57,Keith Stone missed Three Point Jumper.,48,61
10:29,150,Amile Jefferson Defensive Rebound.,48,61
10:04,150,Luke Kennard missed Jumper.,48,61
10:04,57,Florida Defensive Rebound.,48,61
9:49,57,Canyon Barry made Layup. Assisted by Kasey Hill.,50,61
9:26,150,Foul on Amile Jefferson.,50,61
9:26,150,Amile Jefferson Turnover.,50,61
9:19,57,Canyon Barry made Jumper.,52,61
8:46,57,Foul on Devin Robinson.,52,61
8:44,150,Grayson Allen Turnover.,52,61
8:44,57,Canyon Barry Steal.,52,61
8:38,57,Justin Leon made Layup. Assisted by Canyon Barry.,54,61
8:10,150,Luke Kennard made Three Point Jumper. Assisted by Grayson Allen.,54,64
7:43,57,Kasey Hill missed Jumper.,54,64
7:43,150,Grayson Allen Defensive Rebound.,54,64
7:39,150,Jayson Tatum made Layup. Assisted by Grayson Allen.,54,66
7:27,150,Foul on Grayson Allen.,54,66
7:22,57,Canyon Barry made Jumper.,56,66
7:01,57,Foul on KeVaughn Allen.,56,66
7:01,150,Jayson Tatum made Free Throw.,56,67
7:01,150,Jayson Tatum made Free Throw.,56,68
6:53,57,Kasey Hill missed Jumper.,56,68
6:53,150,Jayson Tatum Defensive Rebound.,56,68
6:35,150,Jayson Tatum made Jumper.,56,70
6:22,57,KeVaughn Allen made Three Point Jumper.,59,70
5:59,150,Jayson Tatum made Jumper.,59,72
5:45,57,KeVaughn Allen made Three Point Jumper.,62,72
5:20,150,Amile Jefferson made Layup. Assisted by Luke Kennard.,62,74
4:56,57,Canyon Barry missed Layup.,62,74
4:56,57,John Egbunu Offensive Rebound.,62,74
4:52,57,John Egbunu missed Layup.,62,74
4:52,57,Kasey Hill Offensive Rebound.,62,74
4:46,57,Canyon Barry missed Jumper.,62,74
4:46,150,Frank Jackson Defensive Rebound.,62,74
4:30,57,Foul on Justin Leon.,62,74
4:30,150,Jayson Tatum made Free Throw.,62,75
4:30,150,Jayson Tatum made Free Throw.,62,76
4:18,57,Devin Robinson made Three Point Jumper. Assisted by Kasey Hill.,65,76
3:48,150,Luke Kennard Turnover.,65,76
3:48,57,Canyon Barry Steal.,65,76
3:38,57,Canyon Barry missed Jumper.,65,76
3:38,57,John Egbunu Offensive Rebound.,65,76
3:34,150,Foul on Jayson Tatum.,65,76
3:34,150,Official TV Timeout,65,76
3:34,57,John Egbunu made Free Throw.,66,76
3:34,57,John Egbunu missed Free Throw.,66,76
3:34,150,Jayson Tatum Defensive Rebound.,66,76
3:16,57,Foul on Devin Robinson.,66,76
3:16,150,Jayson Tatum made Free Throw.,66,77
3:16,150,Jayson Tatum made Free Throw.,66,78
3:08,57,Canyon Barry missed Jumper.,66,78
3:08,57,John Egbunu Offensive Rebound.,66,78
3:03,57,John Egbunu missed Dunk.,66,78
3:03,57,John Egbunu Offensive Rebound.,66,78
3:01,150,Foul on Matt Jones.,66,78
3:01,57,John Egbunu made Free Throw.,67,78
3:01,57,John Egbunu made Free Throw.,68,78
2:44,150,Luke Kennard missed Jumper.,68,78
2:44,57,Devin Robinson Defensive Rebound.,68,78
2:31,57,Justin Leon made Three Point Jumper. Assisted by Kasey Hill.,71,78
2:28,57,Florida  Timeout,71,78
2:01,150,Matt Jones missed Three Point Jumper.,71,78
2:01,57,Justin Leon Defensive Rebound.,71,78
1:53,57,KeVaughn Allen Turnover.,71,78
1:53,150,Jayson Tatum Steal.,71,78
1:48,150,Luke Kennard made Layup.,71,80
1:38,57,Kasey Hill missed Layup.,71,80
1:38,150,Amile Jefferson Defensive Rebound.,71,80
1:12,57,Foul on Kasey Hill.,71,80
1:12,150,Luke Kennard made Free Throw.,71,81
1:12,150,Luke Kennard made Free Throw.,71,82
1:06,150,Foul on Amile Jefferson.,71,82
1:06,57,Kasey Hill missed Free Throw.,71,82
1:06,57,Florida Deadball Team Rebound.,71,82
1:06,57,Kasey Hill made Free Throw.,72,82
0:42,150,Grayson Allen made Jumper.,72,84
0:30,150,Foul on Luke Kennard.,72,84
0:30,57,KeVaughn Allen made Free Throw.,73,84
0:30,57,KeVaughn Allen made Free Throw.,74,84
0:30,57,Florida  Timeout,74,84
0:00,150,End of Game,74,84
