Old Dominion,227,Rhode Island,295
11:12,295,Randy Haynes Defensive Rebound.,8,11
10:59,295,Jordan Baker missed Three Point Jumper.,8,11
10:59,295,Randy Haynes Offensive Rebound.,8,11
10:56,227,Foul on Stanford Robinson.,8,11
10:56,295,Randy Haynes missed Free Throw.,8,11
10:56,295,Old Dominion Deadball Team Rebound.,8,11
10:56,295,Randy Haynes made Free Throw.,9,11
10:26,227,Jared Terrell missed Three Point Jumper.,9,11
10:26,295,Randy Haynes Defensive Rebound.,9,11
10:14,295,Trey Porter missed Jumper.,9,11
10:14,227,Nicola Akele Defensive Rebound.,9,11
10:05,227,Stanford Robinson made Layup.,9,13
9:49,295,Travis Fields Turnover.,9,13
9:49,227,Jeff Dowtin Steal.,9,13
9:49,295,Foul on Travis Fields.,9,13
9:49,227,Jeff Dowtin missed Free Throw.,9,13
9:49,227,Rhode Island Deadball Team Rebound.,9,13
9:49,227,Jeff Dowtin missed Free Throw.,9,13
9:49,295,Denzell Taylor Defensive Rebound.,9,13
9:25,295,Ahmad Caver missed Layup.,9,13
9:25,227,Kuran Iverson Defensive Rebound.,9,13
9:16,227,Kuran Iverson missed Three Point Jumper.,9,13
9:16,227,Andre Berry Offensive Rebound.,9,13
9:11,227,Andre Berry made Layup.,9,15
8:37,295,Brandan Stith missed Layup.,9,15
8:37,295,Brandan Stith Offensive Rebound.,9,15
8:35,227,Foul on Jared Terrell.,9,15
8:34,295,Brandan Stith missed Free Throw.,9,15
8:34,295,Old Dominion Deadball Team Rebound.,9,15
8:34,295,Brandan Stith missed Free Throw.,9,15
8:34,295,Old Dominion Offensive Rebound.,9,15
8:21,295,Randy Haynes made Jumper.,11,15
7:54,295,Foul on Randy Haynes.,11,15
7:54,227,Rhode Island  Timeout,11,15
7:54,227,Jared Terrell made Free Throw.,11,16
7:54,227,Jared Terrell made Free Throw.,11,17
7:41,295,Ahmad Caver made Layup. Assisted by Jordan Baker.,13,17
7:20,227,Kuran Iverson Turnover.,13,17
7:19,295,Brandan Stith Steal.,13,17
7:06,295,Jordan Baker Turnover.,13,17
6:52,227,Kuran Iverson missed Layup.,13,17
6:52,227,Kuran Iverson Offensive Rebound.,13,17
6:50,227,Kuran Iverson missed Layup.,13,17
6:50,295,Ahmad Caver Defensive Rebound.,13,17
6:46,295,Ahmad Caver Turnover.,13,17
6:27,227,E.C. Matthews missed Three Point Jumper.,13,17
6:27,295,Brandan Stith Defensive Rebound.,13,17
6:20,295,Jordan Baker made Layup. Assisted by Brandan Stith.,15,17
6:03,227,Christion Thompson made Three Point Jumper. Assisted by Jared Terrell.,15,20
5:38,295,Brandan Stith missed Layup.,15,20
5:38,227,E.C. Matthews Defensive Rebound.,15,20
5:32,227,Nicola Akele Turnover.,15,20
5:21,295,Ahmad Caver Turnover.,15,20
5:21,227,Stanford Robinson Steal.,15,20
5:01,227,Jared Terrell missed Three Point Jumper.,15,20
5:01,227,Andre Berry Offensive Rebound.,15,20
4:57,227,Andre Berry missed Layup.,15,20
4:57,295,Jordan Baker Defensive Rebound.,15,20
4:45,295,B.J. Stith missed Jumper.,15,20
4:45,227,Andre Berry Defensive Rebound.,15,20
4:31,227,E.C. Matthews missed Layup.,15,20
4:31,227,Andre Berry Offensive Rebound.,15,20
4:26,227,Jared Terrell missed Jumper.,15,20
4:26,295,Trey Porter Defensive Rebound.,15,20
4:15,295,Ahmad Caver Turnover.,15,20
4:14,227,Stanford Robinson Steal.,15,20
4:10,227,Stanford Robinson made Layup.,15,22
3:36,295,Ahmad Caver missed Jumper.,15,22
3:36,227,Nicola Akele Block.,15,22
3:33,295,Ahmad Caver Offensive Rebound.,15,22
3:26,295,Ahmad Caver missed Jumper.,15,22
3:26,227,Nicola Akele Defensive Rebound.,15,22
3:25,227,E.C. Matthews made Layup.,15,24
3:24,295,Old Dominion  Timeout,15,24
2:47,295,Denzell Taylor Turnover.,15,24
2:47,295,Foul on Denzell Taylor.,15,24
2:30,227,Jeff Dowtin made Three Point Jumper. Assisted by Nicola Akele.,15,27
2:06,295,Randy Haynes missed Three Point Jumper.,15,27
2:06,227,Christion Thompson Defensive Rebound.,15,27
1:42,227,Stanford Robinson missed Layup.,15,27
1:42,295,Brandan Stith Defensive Rebound.,15,27
1:23,295,Brandan Stith missed Layup.,15,27
1:23,227,Christion Thompson Defensive Rebound.,15,27
1:11,227,Rhode Island  Timeout,15,27
1:02,227,Jared Terrell missed Jumper.,15,27
1:02,295,Old Dominion Defensive Rebound.,15,27
0:47,295,Brandan Stith missed Layup.,15,27
0:47,227,Nicola Akele Block.,15,27
0:46,295,Brandan Stith Offensive Rebound.,15,27
0:46,227,Foul on E.C. Matthews.,15,27
0:46,295,Brandan Stith made Free Throw.,16,27
0:46,295,Brandan Stith made Free Throw.,17,27
0:34,295,Foul on Trey Porter.,17,27
0:34,227,Cyril Langevine missed Free Throw.,17,27
0:34,227,Rhode Island Deadball Team Rebound.,17,27
0:34,227,Cyril Langevine made Free Throw.,17,28
0:21,295,Jordan Baker missed Layup.,17,28
0:21,227,Cyril Langevine Block.,17,28
0:20,227,Rhode Island Defensive Rebound.,17,28
0:00,227,E.C. Matthews made Three Point Jumper.,17,31
0:00,227,End of 1st half,17,31
19:42,227,Jarvis Garrett missed Layup.,17,31
19:42,295,Brandan Stith Block.,17,31
19:40,295,Denzell Taylor Defensive Rebound.,17,31
19:38,295,Denzell Taylor Turnover.,17,31
19:37,227,Jarvis Garrett Steal.,17,31
19:33,227,Kuran Iverson missed Layup.,17,31
19:33,227,Cyril Langevine Offensive Rebound.,17,31
19:30,227,Cyril Langevine missed Layup.,17,31
19:30,295,Brandan Stith Block.,17,31
19:29,227,Rhode Island Offensive Rebound.,17,31
19:13,227,E.C. Matthews missed Three Point Jumper.,17,31
19:13,295,Brandan Stith Defensive Rebound.,17,31
18:45,227,Foul on Kuran Iverson.,17,31
18:45,295,Denzell Taylor missed Free Throw.,17,31
18:45,295,Old Dominion Deadball Team Rebound.,17,31
18:45,295,Denzell Taylor made Free Throw.,18,31
18:30,295,Foul on Ahmad Caver.,18,31
18:30,227,E.C. Matthews missed Free Throw.,18,31
18:30,227,Rhode Island Deadball Team Rebound.,18,31
18:30,227,E.C. Matthews made Free Throw.,18,32
18:04,295,Brandan Stith missed Jumper.,18,32
18:04,227,E.C. Matthews Defensive Rebound.,18,32
17:53,227,Cyril Langevine missed Layup.,18,32
17:53,295,Brandan Stith Defensive Rebound.,18,32
17:41,295,Ahmad Caver missed Layup.,18,32
17:41,227,Jared Terrell Defensive Rebound.,18,32
17:31,227,Kuran Iverson Turnover.,18,32
17:31,227,Foul on Kuran Iverson.,18,32
17:05,295,Ahmad Caver missed Jumper.,18,32
17:05,295,Randy Haynes Offensive Rebound.,18,32
17:02,295,Randy Haynes made Layup.,20,32
16:32,227,Jarvis Garrett made Three Point Jumper. Assisted by Jared Terrell.,20,35
16:09,295,Brandan Stith Turnover.,20,35
16:08,227,Cyril Langevine Steal.,20,35
16:06,227,Cyril Langevine Turnover.,20,35
16:06,295,Randy Haynes Steal.,20,35
16:06,227,Foul on Jared Terrell.,20,35
15:46,295,Travis Fields missed Jumper.,20,35
15:46,295,Randy Haynes Offensive Rebound.,20,35
15:42,295,Randy Haynes made Dunk.,22,35
15:24,227,E.C. Matthews missed Jumper.,22,35
15:24,295,Denzell Taylor Defensive Rebound.,22,35
15:19,295,Brandan Stith made Dunk. Assisted by Travis Fields.,24,35
14:47,227,Jarvis Garrett missed Jumper.,24,35
14:47,227,Cyril Langevine Offensive Rebound.,24,35
14:42,227,Rhode Island  Timeout,24,35
14:42,227,Rhode Island  Turnover.,24,35
14:42,295,Brandan Stith Steal.,24,35
14:17,295,Randy Haynes Turnover.,24,35
13:58,227,Jarvis Garrett missed Jumper.,24,35
13:58,295,Randy Haynes Defensive Rebound.,24,35
13:42,295,Travis Fields made Jumper.,26,35
13:13,295,Foul on Randy Haynes.,26,35
13:00,227,Nicola Akele missed Three Point Jumper.,26,35
13:00,227,Stanford Robinson Offensive Rebound.,26,35
12:56,295,Foul on Jordan Baker.,26,35
12:56,227,Stanford Robinson missed Free Throw.,26,35
12:56,227,Rhode Island Deadball Team Rebound.,26,35
12:56,227,Stanford Robinson missed Free Throw.,26,35
12:56,295,Denzell Taylor Defensive Rebound.,26,35
12:48,227,Foul on Jeff Dowtin.,26,35
12:36,227,Foul on Andre Berry.,26,35
12:17,295,Randy Haynes missed Jumper.,26,35
12:17,227,Jared Terrell Defensive Rebound.,26,35
12:07,227,Jared Terrell Turnover.,26,35
12:06,295,Travis Fields Steal.,26,35
12:06,295,Jordan Baker Turnover.,26,35
12:06,295,Foul on Jordan Baker.,26,35
12:06,295,Foul on Jordan Baker.,26,35
12:02,227,Nicola Akele missed Jumper.,26,35
12:02,227,Jeff Dowtin Offensive Rebound.,26,35
11:47,295,Foul on Randy Haynes.,26,35
11:47,227,Rhode Island  Timeout,26,35
11:22,227,Jeff Dowtin missed Jumper.,26,35
11:22,227,Andre Berry Offensive Rebound.,26,35
11:18,227,Andre Berry missed Jumper.,26,35
11:18,295,Brandan Stith Defensive Rebound.,26,35
11:02,295,Ahmad Caver missed Jumper.,26,35
11:02,227,Stanford Robinson Block.,26,35
10:59,295,Ahmad Caver Offensive Rebound.,26,35
10:53,295,Ahmad Caver missed Three Point Jumper.,26,35
10:53,295,Brandan Stith Offensive Rebound.,26,35
10:49,227,Foul on Jared Terrell.,26,35
10:49,295,Brandan Stith missed Free Throw.,26,35
10:49,295,Old Dominion Deadball Team Rebound.,26,35
10:49,295,Brandan Stith made Free Throw.,27,35
10:23,227,Nicola Akele made Three Point Jumper. Assisted by Jarvis Garrett.,27,38
10:12,227,Foul on Jared Terrell.,27,38
10:12,295,Ahmad Caver missed Free Throw.,27,38
10:12,227,E.C. Matthews Defensive Rebound.,27,38
9:48,295,Foul on Brandan Stith.,27,38
9:48,227,Cyril Langevine made Free Throw.,27,39
9:48,227,Cyril Langevine missed Free Throw.,27,39
9:48,227,Rhode Island Offensive Rebound.,27,39
9:27,227,E.C. Matthews missed Jumper.,27,39
9:27,295,Brandan Stith Defensive Rebound.,27,39
9:06,295,Jordan Baker Turnover.,27,39
9:06,227,Stanford Robinson Steal.,27,39
8:45,227,Jarvis Garrett Turnover.,27,39
8:38,295,Ahmad Caver missed Layup.,27,39
8:38,227,Cyril Langevine Block.,27,39
8:36,227,E.C. Matthews Defensive Rebound.,27,39
8:31,227,E.C. Matthews missed Layup.,27,39
8:31,295,Denzell Taylor Block.,27,39
8:29,295,Randy Haynes Defensive Rebound.,27,39
8:21,295,Randy Haynes missed Dunk.,27,39
8:21,295,Brandan Stith Offensive Rebound.,27,39
8:16,295,Brandan Stith made Layup.,29,39
7:52,295,Foul on Brandan Stith.,29,39
7:52,227,Rhode Island  Timeout,29,39
7:52,227,Jarvis Garrett missed Free Throw.,29,39
7:52,295,Jordan Baker Defensive Rebound.,29,39
7:33,295,Randy Haynes missed Jumper.,29,39
7:33,295,Denzell Taylor Offensive Rebound.,29,39
7:31,227,Foul on Kuran Iverson.,29,39
7:30,295,Denzell Taylor missed Free Throw.,29,39
7:30,227,Stanford Robinson Defensive Rebound.,29,39
7:13,227,E.C. Matthews Turnover.,29,39
7:09,295,Jordan Baker Steal.,29,39
7:08,295,Brandan Stith Turnover.,29,39
7:06,227,Stanford Robinson Steal.,29,39
6:39,227,E.C. Matthews missed Three Point Jumper.,29,39
6:39,227,Kuran Iverson Offensive Rebound.,29,39
6:09,227,E.C. Matthews Turnover.,29,39
6:09,295,Denzell Taylor Steal.,29,39
5:46,227,Foul on Kuran Iverson.,29,39
5:46,295,Trey Porter made Free Throw.,30,39
5:46,295,Trey Porter missed Free Throw.,30,39
5:46,227,Stanford Robinson Defensive Rebound.,30,39
5:25,227,Cyril Langevine Turnover.,30,39
5:25,227,Foul on Cyril Langevine.,30,39
5:08,295,Travis Fields Turnover.,30,39
5:07,227,Stanford Robinson Steal.,30,39
5:06,295,Foul on Randy Haynes.,30,39
5:06,227,Stanford Robinson made Free Throw.,30,40
5:06,227,Stanford Robinson missed Free Throw.,30,40
5:06,227,Nicola Akele Offensive Rebound.,30,40
4:45,227,Stanford Robinson missed Layup.,30,40
4:45,227,Nicola Akele Offensive Rebound.,30,40
4:41,227,Nicola Akele made Layup.,30,42
4:20,295,Brandan Stith made Layup.,32,42
3:54,227,Andre Berry made Layup. Assisted by Stanford Robinson.,32,44
3:42,227,Foul on Stanford Robinson.,32,44
3:42,295,Old Dominion  Timeout,32,44
3:42,295,Ahmad Caver made Free Throw.,33,44
3:42,295,Ahmad Caver made Free Throw.,34,44
3:15,227,E.C. Matthews missed Three Point Jumper.,34,44
3:15,295,Old Dominion Defensive Rebound.,34,44
2:55,295,Brandan Stith missed Layup.,34,44
2:55,295,Old Dominion Offensive Rebound.,34,44
2:43,295,Brandan Stith missed Jumper.,34,44
2:43,227,Cyril Langevine Defensive Rebound.,34,44
2:15,227,Jarvis Garrett Turnover.,34,44
2:13,295,Jordan Baker Steal.,34,44
2:13,227,Foul on Nicola Akele.,34,44
2:13,295,Ahmad Caver made Free Throw.,35,44
2:13,295,Ahmad Caver missed Free Throw.,35,44
2:13,295,Denzell Taylor Offensive Rebound.,35,44
2:09,295,Jordan Baker missed Three Point Jumper.,35,44
2:09,227,Cyril Langevine Defensive Rebound.,35,44
2:07,295,Foul on Brandan Stith.,35,44
2:07,227,Cyril Langevine missed Free Throw.,35,44
2:07,227,Rhode Island Deadball Team Rebound.,35,44
2:07,227,Cyril Langevine made Free Throw.,35,45
1:58,295,B.J. Stith missed Three Point Jumper.,35,45
1:58,227,Jarvis Garrett Defensive Rebound.,35,45
1:58,295,Foul on Brandan Stith.,35,45
1:58,227,Jarvis Garrett missed Free Throw.,35,45
1:58,227,Rhode Island Deadball Team Rebound.,35,45
1:58,227,Jarvis Garrett missed Free Throw.,35,45
1:58,295,B.J. Stith Defensive Rebound.,35,45
1:45,227,Foul on Cyril Langevine.,35,45
1:45,295,Brandan Stith made Free Throw.,36,45
1:45,295,Brandan Stith missed Free Throw.,36,45
1:45,295,Old Dominion Offensive Rebound.,36,45
1:41,295,Brandan Stith missed Jumper.,36,45
1:41,227,Stanford Robinson Defensive Rebound.,36,45
1:29,295,Foul on Ahmad Caver.,36,45
1:29,227,Jarvis Garrett made Free Throw.,36,46
1:29,227,Jarvis Garrett missed Free Throw.,36,46
1:29,295,Jordan Baker Defensive Rebound.,36,46
1:03,295,Randy Haynes missed Layup.,36,46
1:03,227,Cyril Langevine Block.,36,46
1:02,295,Brandan Stith Offensive Rebound.,36,46
1:01,295,Brandan Stith Turnover.,36,46
0:53,295,Foul on Denzell Taylor.,36,46
0:53,227,Jared Terrell made Free Throw.,36,47
0:53,227,Jared Terrell missed Free Throw.,36,47
0:53,295,Brandan Stith Defensive Rebound.,36,47
0:44,295,Ahmad Caver made Layup.,38,47
0:44,295,Old Dominion  Timeout,38,47
0:43,295,Foul on Ahmad Caver.,38,47
0:43,227,Jared Terrell made Free Throw.,38,48
0:43,227,Jared Terrell made Free Throw.,38,49
0:38,227,Foul on Jarvis Garrett.,38,49
0:38,295,Ahmad Caver made Free Throw.,39,49
0:38,295,Ahmad Caver missed Free Throw.,39,49
0:38,227,E.C. Matthews Defensive Rebound.,39,49
0:33,295,Foul on Ahmad Caver.,39,49
0:33,227,E.C. Matthews made Free Throw.,39,50
0:33,227,E.C. Matthews made Free Throw.,39,51
0:23,295,Randy Haynes missed Three Point Jumper.,39,51
0:23,227,E.C. Matthews Defensive Rebound.,39,51
0:00,227,End of Game,39,51
