The Citadel,259,Virginia Tech,2643
3:53,259,Tyrie Jackson missed Free Throw.,36,55
3:53,2643,Matt Frierson Defensive Rebound.,36,55
3:35,2643,Hayden Brown made Three Point Jumper. Assisted by Frankie Johnson.,39,55
3:18,259,Nickeil Alexander-Walker missed Three Point Jumper.,39,55
3:18,2643,Matt Frierson Defensive Rebound.,39,55
3:04,259,Foul on Justin Robinson.,39,55
3:04,2643,Frankie Johnson made Free Throw.,40,55
3:04,2643,Frankie Johnson made Free Throw.,41,55
2:55,259,Tyrie Jackson made Dunk. Assisted by Devin Wilson.,41,57
2:38,2643,Hayden Brown made Layup.,43,57
2:09,2643,Foul on Alex Reed.,43,57
2:09,259,Devin Wilson missed Free Throw.,43,57
2:09,259,Virginia Tech Deadball Team Rebound.,43,57
2:09,259,Devin Wilson made Free Throw.,43,58
2:02,2643,Hayden Brown made Layup. Assisted by Frankie Johnson.,45,58
1:50,259,made Dunk. Assisted by Wabissa Bede.,45,60
1:42,2643,Alex Reed Turnover.,45,60
1:42,2643,Foul on Alex Reed.,45,60
1:33,259,Nickeil Alexander-Walker missed Three Point Jumper.,45,60
1:33,2643,Tariq Simmons Defensive Rebound.,45,60
1:26,2643,Hayden Brown Turnover.,45,60
1:26,2643,Foul on Hayden Brown.,45,60
1:19,259,Tyrie Jackson made Layup.,45,62
1:11,2643,Frankie Johnson Turnover.,45,62
1:10,259,Steal.,45,62
1:07,259,Nickeil Alexander-Walker made Layup. Assisted by Tyrie Jackson.,45,64
0:58,2643,Leandro Allende Turnover.,45,64
0:43,259,Devin Wilson missed Jumper.,45,64
0:43,2643,Tariq Simmons Defensive Rebound.,45,64
0:32,2643,Tariq Simmons made Layup.,47,64
0:19,259,Virginia Tech  Timeout,47,64
0:01,259,made Layup.,47,66
0:00,259,End of 1st half,47,66
19:52,2643,Frankie Johnson Turnover.,47,66
19:43,259,Justin Robinson Turnover.,47,66
19:39,2643,Kaelon Harris missed Layup.,47,66
19:39,259,Devin Wilson Defensive Rebound.,47,66
19:30,259,Justin Robinson made Three Point Jumper. Assisted by Nickeil Alexander-Walker.,47,69
19:09,2643,Leandro Allende made Layup.,49,69
19:09,259,Foul on Nickeil Alexander-Walker.,49,69
19:09,2643,Leandro Allende missed Free Throw.,49,69
19:09,259,Defensive Rebound.,49,69
19:01,259,Nickeil Alexander-Walker missed Three Point Jumper.,49,69
19:01,2643,Leandro Allende Defensive Rebound.,49,69
18:51,2643,Frankie Johnson made Jumper.,51,69
