Eureka,Error,Loyola-Chicago,2350
8:42,-1,Jordan Dehm Defensive Rebound.,22,32
8:18,-1,Brady Sanders made Layup.,24,32
7:56,2350,Aundre Jackson made Jumper. Assisted by Cameron Krutwig.,24,34
7:35,-1,Alex Wiegand made Layup. Assisted by Brady Sanders.,26,34
7:18,2350,Lucas Williamson made Three Point Jumper. Assisted by Cameron Satterwhite.,26,37
7:04,-1,Shea Feehan missed Jumper.,26,37
7:04,2350,Ben Richardson Block.,26,37
7:02,2350,Cameron Krutwig Defensive Rebound.,26,37
6:59,2350,Cameron Krutwig Turnover.,26,37
6:57,-1,Jordan Dehm Steal.,26,37
6:46,-1,Ryan McElmurry missed Three Point Jumper.,26,37
6:46,2350,Cameron Krutwig Defensive Rebound.,26,37
6:35,2350,Aundre Jackson made Layup. Assisted by Ben Richardson.,26,39
6:30,-1,Ryan McElmurry Turnover.,26,39
6:28,2350,Cameron Krutwig Steal.,26,39
6:16,2350,Aundre Jackson missed Jumper.,26,39
6:16,-1,Alex Wiegand Defensive Rebound.,26,39
6:08,-1,Shea Feehan missed Jumper.,26,39
6:08,2350,Lucas Williamson Block.,26,39
6:04,2350,Aundre Jackson Defensive Rebound.,26,39
6:00,2350,Cameron Satterwhite missed Three Point Jumper.,26,39
6:00,-1,Shea Feehan Defensive Rebound.,26,39
5:43,-1,Jordan Dehm made Three Point Jumper. Assisted by Ryan McElmurry.,29,39
5:40,2350,Loyola-Chicago  Timeout,29,39
5:28,2350,Aundre Jackson made Layup. Assisted by Ben Richardson.,29,41
5:11,-1,Hank Thomas made Three Point Jumper.,32,41
4:52,2350,Donte Ingram Turnover.,32,41
4:50,-1,Hank Thomas Steal.,32,41
4:44,-1,Hank Thomas missed Three Point Jumper.,32,41
4:44,2350,Clayton Custer Defensive Rebound.,32,41
4:41,-1,Foul on Brady Sanders.,32,41
4:29,2350,Marques Townes missed Three Point Jumper.,32,41
4:29,2350,Aundre Jackson Offensive Rebound.,32,41
4:22,-1,Foul on Alex Wiegand.,32,41
4:22,2350,Donte Ingram missed Free Throw.,32,41
4:22,2350,Loyola-Chicago Deadball Team Rebound.,32,41
4:22,2350,Donte Ingram made Free Throw.,32,42
3:52,-1,Brady Sanders missed Jumper.,32,42
3:52,2350,Marques Townes Defensive Rebound.,32,42
3:40,2350,Clayton Custer missed Three Point Jumper.,32,42
3:40,2350,Marques Townes Offensive Rebound.,32,42
3:35,2350,Marques Townes missed Layup.,32,42
3:35,2350,Aundre Jackson Offensive Rebound.,32,42
3:29,2350,Aundre Jackson made Layup.,32,44
3:11,-1,Will LeGrande made Layup. Assisted by Austin Juergens.,34,44
2:53,2350,Ben Richardson made Three Point Jumper. Assisted by Marques Townes.,34,47
2:36,2350,Official TV Timeout,34,47
2:30,-1,Ryan McElmurry Turnover.,34,47
2:28,2350,Clayton Custer Steal.,34,47
2:27,-1,Foul on Ryan McElmurry.,34,47
2:27,2350,Clayton Custer made Free Throw.,34,48
2:27,2350,Clayton Custer made Free Throw.,34,49
2:17,-1,Shea Feehan made Jumper. Assisted by Austin Juergens.,36,49
2:02,2350,Marques Townes Turnover.,36,49
1:45,-1,Hank Thomas made Jumper.,38,49
1:32,2350,Bruno Skokna made Three Point Jumper. Assisted by Marques Townes.,38,52
1:16,-1,Foul on Hank Thomas.,38,52
1:16,-1,Hank Thomas Turnover.,38,52
1:06,2350,Clayton Custer missed Three Point Jumper.,38,52
1:06,2350,Cameron Krutwig Offensive Rebound.,38,52
1:01,-1,Foul on Will LeGrande.,38,52
1:01,2350,Cameron Krutwig missed Free Throw.,38,52
1:01,2350,Loyola-Chicago Deadball Team Rebound.,38,52
1:01,2350,Cameron Krutwig missed Free Throw.,38,52
1:01,-1,Jordan Dehm Defensive Rebound.,38,52
1:01,2350,Foul on Donte Ingram.,38,52
0:49,-1,Shea Feehan Turnover.,38,52
0:34,2350,Marques Townes made Three Point Jumper. Assisted by Clayton Custer.,38,55
0:03,-1,Shea Feehan made Layup.,40,55
0:00,2350,End of 1st half,40,55
19:57,-1,Ryan McElmurry missed Layup.,40,55
19:57,2350,Ben Richardson Defensive Rebound.,40,55
19:41,2350,Marques Townes made Layup. Assisted by Aundre Jackson.,40,57
19:14,-1,Ryan McElmurry Turnover.,40,57
19:12,2350,Ben Richardson Steal.,40,57
19:09,2350,Donte Ingram made Layup. Assisted by Marques Townes.,40,59
18:48,-1,Hank Thomas missed Jumper.,40,59
18:48,2350,Aundre Jackson Defensive Rebound.,40,59
18:41,2350,Aundre Jackson missed Layup.,40,59
18:41,-1,Shea Feehan Block.,40,59
18:37,-1,Jordan Dehm Defensive Rebound.,40,59
18:34,-1,Alex Wiegand made Layup. Assisted by Shea Feehan.,42,59
18:13,2350,Donte Ingram made Jumper. Assisted by Aundre Jackson.,42,61
18:01,-1,Hank Thomas missed Three Point Jumper.,42,61
18:01,2350,Ben Richardson Defensive Rebound.,42,61
17:54,2350,Donte Ingram made Three Point Jumper. Assisted by Ben Richardson.,42,64
17:19,-1,Jordan Dehm missed Three Point Jumper.,42,64
17:19,2350,Donte Ingram Defensive Rebound.,42,64
17:13,2350,Donte Ingram made Layup.,42,66
17:09,-1,Eureka  Timeout,42,66
17:06,2350,Foul on Clayton Custer.,42,66
16:54,-1,Shea Feehan missed Jumper.,42,66
16:54,2350,Clayton Custer Defensive Rebound.,42,66
16:46,2350,Donte Ingram missed Three Point Jumper.,42,66
16:46,-1,Alex Wiegand Defensive Rebound.,42,66
16:28,-1,Hank Thomas missed Jumper.,42,66
16:28,2350,Loyola-Chicago Defensive Rebound.,42,66
16:09,2350,Marques Townes made Layup.,42,68
15:50,-1,Ryan McElmurry missed Layup.,42,68
15:50,2350,Aundre Jackson Block.,42,68
15:47,2350,Aundre Jackson Defensive Rebound.,42,68
15:44,2350,Ben Richardson made Layup. Assisted by Clayton Custer.,42,70
15:27,-1,Jordan Dehm missed Jumper.,42,70
15:27,2350,Marques Townes Defensive Rebound.,42,70
15:14,2350,Clayton Custer missed Layup.,42,70
15:14,-1,Jordan Dehm Defensive Rebound.,42,70
15:08,-1,Hank Thomas made Three Point Jumper. Assisted by Ryan McElmurry.,45,70
14:48,-1,Foul on Ryan McElmurry.,45,70
14:48,2350,Official TV Timeout,45,70
14:40,2350,Cameron Krutwig missed Layup.,45,70
14:40,-1,Will LeGrande Block.,45,70
14:37,-1,Brady Sanders Defensive Rebound.,45,70
14:24,-1,Will LeGrande missed Layup.,45,70
14:24,2350,Bruno Skokna Defensive Rebound.,45,70
14:18,2350,Clayton Custer missed Three Point Jumper.,45,70
14:18,-1,Alex Wiegand Defensive Rebound.,45,70
14:02,-1,Will LeGrande missed Layup.,45,70
14:02,2350,Loyola-Chicago Defensive Rebound.,45,70
13:39,2350,Bruno Skokna missed Three Point Jumper.,45,70
13:39,-1,Shea Feehan Defensive Rebound.,45,70
13:29,-1,Shea Feehan made Three Point Jumper. Assisted by Brady Sanders.,48,70
13:09,-1,Foul on Brady Sanders.,48,70
13:04,2350,Lucas Williamson missed Three Point Jumper.,48,70
13:04,-1,Austin Juergens Defensive Rebound.,48,70
12:43,-1,Austin Juergens made Jumper.,50,70
12:28,2350,Clayton Custer made Jumper.,50,72
12:08,2350,Foul on Cameron Satterwhite.,50,72
11:57,-1,Jordan Dehm missed Layup.,50,72
11:57,2350,Cameron Krutwig Block.,50,72
11:54,-1,Brady Sanders Offensive Rebound.,50,72
11:51,-1,Brady Sanders missed Jumper.,50,72
11:51,2350,Lucas Williamson Defensive Rebound.,50,72
11:40,2350,Ben Richardson made Three Point Jumper. Assisted by Cameron Krutwig.,50,75
11:21,-1,Austin Juergens missed Jumper.,50,75
11:21,2350,Loyola-Chicago Defensive Rebound.,50,75
11:19,2350,Official TV Timeout,50,75
11:04,2350,Lucas Williamson missed Three Point Jumper.,50,75
11:04,-1,Brady Sanders Defensive Rebound.,50,75
10:43,-1,Austin Ahnafield missed Jumper.,50,75
10:43,2350,Cameron Satterwhite Defensive Rebound.,50,75
10:24,2350,Cameron Satterwhite made Jumper.,50,77
10:05,2350,Foul on Lucas Williamson.,50,77
10:01,-1,Brady Sanders Turnover.,50,77
9:59,2350,Lucas Williamson Steal.,50,77
9:40,2350,Ben Richardson missed Three Point Jumper.,50,77
9:40,2350,Cameron Satterwhite Offensive Rebound.,50,77
9:32,2350,Cameron Satterwhite made Dunk.,50,79
9:24,-1,Shea Feehan missed Three Point Jumper.,50,79
9:24,2350,Cameron Satterwhite Defensive Rebound.,50,79
9:06,2350,Carson Shanks missed Jumper.,50,79
9:06,-1,Jordan Dehm Defensive Rebound.,50,79
8:59,-1,Shea Feehan missed Three Point Jumper.,50,79
8:59,2350,Bruno Skokna Defensive Rebound.,50,79
8:53,-1,Foul on Ryan McElmurry.,50,79
8:53,2350,Cameron Satterwhite made Free Throw.,50,80
8:53,2350,Cameron Satterwhite missed Free Throw.,50,80
8:53,-1,Eureka Defensive Rebound.,50,80
8:53,-1,Ryan McElmurry Turnover.,50,80
8:49,2350,Carson Shanks made Dunk. Assisted by Lucas Williamson.,50,82
8:33,-1,Jordan Dehm made Three Point Jumper. Assisted by Hank Thomas.,53,82
8:08,2350,Cameron Satterwhite Turnover.,53,82
7:48,-1,Ryan McElmurry Turnover.,53,82
7:46,2350,Bruno Skokna Steal.,53,82
7:43,2350,Marques Townes made Jumper. Assisted by Bruno Skokna.,53,84
7:32,-1,Hank Thomas made Jumper.,55,84
7:17,2350,Lucas Williamson missed Three Point Jumper.,55,84
7:17,-1,Shea Feehan Defensive Rebound.,55,84
7:05,-1,Ryan McElmurry missed Three Point Jumper.,55,84
7:05,2350,Marques Townes Defensive Rebound.,55,84
6:37,2350,Carson Shanks made Jumper. Assisted by Lucas Williamson.,55,86
6:28,-1,Shea Feehan made Three Point Jumper.,58,86
6:07,2350,Bruno Skokna missed Three Point Jumper.,58,86
6:07,-1,Ryan McElmurry Defensive Rebound.,58,86
5:57,-1,Jordan Dehm missed Three Point Jumper.,58,86
5:57,2350,Bruno Skokna Defensive Rebound.,58,86
5:46,-1,Foul on Alex Wiegand.,58,86
5:46,2350,Official TV Timeout,58,86
5:46,2350,Carson Shanks made Free Throw.,58,87
5:46,2350,Carson Shanks made Free Throw.,58,88
5:35,-1,Austin Juergens missed Jumper.,58,88
5:35,-1,Brady Sanders Offensive Rebound.,58,88
5:28,-1,Will LeGrande missed Layup.,58,88
5:28,-1,Austin Ahnafield Offensive Rebound.,58,88
5:15,-1,Austin Juergens missed Three Point Jumper.,58,88
5:15,-1,Austin Ahnafield Offensive Rebound.,58,88
4:59,2350,Foul on Bruno Skokna.,58,88
4:59,-1,Brady Sanders made Free Throw.,59,88
4:59,-1,Brady Sanders missed Free Throw.,59,88
4:59,2350,Cameron Satterwhite Defensive Rebound.,59,88
4:36,2350,Cameron Satterwhite missed Jumper.,59,88
4:36,-1,Will LeGrande Defensive Rebound.,59,88
4:13,-1,Will LeGrande missed Layup.,59,88
4:13,2350,Carson Shanks Block.,59,88
4:11,-1,Brady Sanders Offensive Rebound.,59,88
4:04,-1,Brady Sanders made Layup.,61,88
3:40,2350,Lucas Williamson made Layup.,61,90
3:31,-1,Eureka  Timeout,61,90
3:26,-1,Austin Ahnafield made Three Point Jumper. Assisted by Koby White.,64,90
2:55,2350,Lucas Williamson missed Three Point Jumper.,64,90
2:55,-1,Donald Hardaway Jr. Defensive Rebound.,64,90
2:46,-1,Cade Fawcett missed Three Point Jumper.,64,90
2:46,2350,Cameron Satterwhite Defensive Rebound.,64,90
2:41,-1,Foul on Koby White.,64,90
2:35,2350,Lucas Williamson made Three Point Jumper. Assisted by Cameron Satterwhite.,64,93
2:13,-1,Donald Hardaway Jr. missed Three Point Jumper.,64,93
2:13,2350,Lucas Williamson Defensive Rebound.,64,93
1:56,2350,Jake Baughman made Three Point Jumper. Assisted by Dylan Boehm.,64,96
1:44,-1,Koby White made Three Point Jumper. Assisted by Donald Hardaway Jr..,67,96
1:27,2350,Nick Dinardi Turnover.,67,96
1:17,-1,Austin Ahnafield missed Three Point Jumper.,67,96
1:17,2350,Cameron Satterwhite Defensive Rebound.,67,96
0:58,2350,Dylan Boehm missed Jumper.,67,96
0:58,2350,Nick Dinardi Offensive Rebound.,67,96
0:53,2350,Nick Dinardi missed Layup.,67,96
0:53,-1,Austin Ahnafield Defensive Rebound.,67,96
0:47,2350,Foul on Dylan Boehm.,67,96
0:47,-1,Donald Hardaway Jr. made Free Throw.,68,96
0:47,-1,Donald Hardaway Jr. made Free Throw.,69,96
0:21,2350,Nick Dinardi missed Layup.,69,96
0:20,-1,Austin Ahnafield Block.,69,96
0:20,2350,Loyola-Chicago Offensive Rebound.,69,96
0:17,2350,Cameron Satterwhite missed Three Point Jumper.,69,96
0:17,-1,Donald Hardaway Jr. Defensive Rebound.,69,96
0:08,-1,Donald Hardaway Jr. missed Jumper.,69,96
0:08,2350,Cameron Satterwhite Block.,69,96
0:07,-1,Donald Hardaway Jr. Offensive Rebound.,69,96
0:00,2350,End of Game,69,96
