Wilmington OH,Error,Northern Kentucky,94
11:14,-1,Will Patrick missed Three Point Jumper.,13,20
11:14,-1,G Shea Mercer Offensive Rebound.,13,20
11:05,-1,G Shea Mercer Turnover.,13,20
11:04,94,Dantez Walton Steal.,13,20
11:04,94,Tre Cobbs Turnover.,13,20
11:04,94,Official TV Timeout,13,20
11:01,-1,D.J. Iles missed Jumper.,13,20
11:01,94,Jeff Garrett Defensive Rebound.,13,20
10:49,94,Tre Cobbs made Three Point Jumper. Assisted by Dantez Walton.,13,23
10:37,-1,D.J. Iles Turnover.,13,23
10:35,94,Dantez Walton Steal.,13,23
10:34,-1,Foul on Jordan Jones.,13,23
10:34,94,Tyler Sharpe made Free Throw.,13,24
10:34,94,Tyler Sharpe missed Free Throw.,13,24
10:34,-1,G Shea Mercer Defensive Rebound.,13,24
10:11,-1,Nathan Scott missed Three Point Jumper.,13,24
10:11,94,Tyler Sharpe Defensive Rebound.,13,24
10:02,94,Dantez Walton made Three Point Jumper. Assisted by Tre Cobbs.,13,27
9:39,-1,Nathan Scott made Layup.,15,27
9:31,94,Dantez Walton missed Three Point Jumper.,15,27
9:31,94,Jeff Garrett Offensive Rebound.,15,27
9:01,94,Tyler Sharpe missed Three Point Jumper.,15,27
9:01,94,Jeff Garrett Offensive Rebound.,15,27
8:58,94,Northern Kentucky  Turnover.,15,27
8:36,-1,Christian Jones made Layup.,17,27
8:18,94,Tre Cobbs Turnover.,17,27
8:01,94,Foul on Mason Faulkner.,17,27
8:01,-1,D.J. Iles made Free Throw.,18,27
8:01,-1,D.J. Iles made Free Throw.,19,27
7:48,94,Drew McDonald missed Three Point Jumper.,19,27
7:48,94,Jordan Garnett Offensive Rebound.,19,27
7:42,94,Official TV Timeout,19,27
7:31,94,Lavone Holland II made Three Point Jumper. Assisted by Drew McDonald.,19,30
7:04,-1,Will Patrick missed Three Point Jumper.,19,30
7:04,94,Drew McDonald Defensive Rebound.,19,30
6:55,94,Lavone Holland II made Three Point Jumper. Assisted by Mason Faulkner.,19,33
6:38,-1,Payton Smith made Layup.,21,33
6:32,-1,Foul on Will Patrick.,21,33
6:32,94,Carson Williams made Free Throw.,21,34
6:32,94,Carson Williams made Free Throw.,21,35
6:22,-1,Nathan Scott made Three Point Jumper. Assisted by Will Patrick.,24,35
6:10,94,Mason Faulkner missed Three Point Jumper.,24,35
6:10,-1,Brandon Cox Defensive Rebound.,24,35
5:55,-1,Payton Smith Turnover.,24,35
5:54,94,Drew McDonald Steal.,24,35
5:48,94,Drew McDonald missed Three Point Jumper.,24,35
5:48,94,Jordan Garnett Offensive Rebound.,24,35
5:41,94,Jordan Garnett made Three Point Jumper. Assisted by Lavone Holland II.,24,38
5:37,94,Northern Kentucky  Timeout,24,38
5:24,-1,Christian Jones missed Layup.,24,38
5:24,94,Drew McDonald Defensive Rebound.,24,38
5:17,94,Lavone Holland II missed Jumper.,24,38
5:17,-1,Nathan Scott Block.,24,38
5:15,-1,Payton Smith Defensive Rebound.,24,38
5:11,94,Foul on Drew McDonald.,24,38
5:11,-1,Will Patrick made Free Throw.,25,38
5:11,-1,Will Patrick missed Free Throw.,25,38
5:11,94,Carson Williams Defensive Rebound.,25,38
5:02,94,Drew McDonald made Layup. Assisted by Carson Williams.,25,40
4:39,-1,Payton Smith missed Jumper.,25,40
4:39,94,Drew McDonald Defensive Rebound.,25,40
4:30,94,Lavone Holland II made Layup.,25,42
4:30,-1,Foul on Nathan Scott.,25,42
4:30,94,Lavone Holland II made Free Throw.,25,43
4:18,-1,Jordan Jones made Layup.,27,43
3:58,94,Jordan Garnett made Three Point Jumper. Assisted by Lavone Holland II.,27,46
3:41,-1,Christian Jones Turnover.,27,46
3:41,94,Official TV Timeout,27,46
3:30,94,Mason Faulkner Turnover.,27,46
3:16,-1,Nathan Scott missed Three Point Jumper.,27,46
3:16,94,Mason Faulkner Defensive Rebound.,27,46
2:53,94,Lavone Holland II missed Layup.,27,46
2:53,-1,Nathan Scott Defensive Rebound.,27,46
2:33,-1,Christian Jones Turnover.,27,46
2:33,-1,Foul on Christian Jones.,27,46
2:25,-1,Foul on Nathan Scott.,27,46
2:25,94,Drew McDonald made Free Throw.,27,47
2:25,94,Drew McDonald missed Free Throw.,27,47
2:25,-1,Christian Jones Defensive Rebound.,27,47
2:23,94,Foul on Drew McDonald.,27,47
2:23,-1,Christian Jones made Free Throw.,28,47
2:23,-1,Christian Jones missed Free Throw.,28,47
2:23,94,Jeff Garrett Defensive Rebound.,28,47
2:07,94,Dantez Walton missed Three Point Jumper.,28,47
2:07,-1,Christian Jones Defensive Rebound.,28,47
1:52,-1,Andrew Russell missed Jumper.,28,47
1:52,94,Drew McDonald Block.,28,47
1:48,94,Drew McDonald Defensive Rebound.,28,47
1:44,-1,Foul on Payton Smith.,28,47
1:44,94,Tre Cobbs made Free Throw.,28,48
1:44,94,Tre Cobbs made Free Throw.,28,49
1:22,-1,Will Patrick missed Three Point Jumper.,28,49
1:22,94,Jeff Garrett Defensive Rebound.,28,49
1:06,94,Jeff Garrett made Layup. Assisted by Dantez Walton.,28,51
0:51,-1,Andrew Russell missed Three Point Jumper.,28,51
0:51,94,Dantez Walton Defensive Rebound.,28,51
0:45,94,Dantez Walton Turnover.,28,51
0:44,-1,Will Patrick Steal.,28,51
0:42,-1,Will Patrick made Layup.,30,51
0:32,94,Tre Cobbs Turnover.,30,51
0:30,-1,Kevin Lewis Steal.,30,51
0:28,94,Foul on Tre Cobbs.,30,51
0:28,-1,Kevin Lewis made Free Throw.,31,51
0:28,-1,Kevin Lewis made Free Throw.,32,51
0:12,94,Jeff Garrett missed Layup.,32,51
0:12,94,Jeff Garrett Offensive Rebound.,32,51
0:09,-1,Foul on Will Patrick.,32,51
0:09,94,Jeff Garrett made Free Throw.,32,52
0:09,94,Jeff Garrett missed Free Throw.,32,52
0:09,94,Northern Kentucky Deadball Team Rebound.,32,52
0:01,-1,Christian Jones missed Three Point Jumper.,32,52
0:01,94,Jeff Garrett Defensive Rebound.,32,52
0:00,94,End of 1st half,32,52
19:50,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,32,54
19:27,-1,Nathan Scott missed Three Point Jumper.,32,54
19:27,94,Lavone Holland II Defensive Rebound.,32,54
19:18,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,32,57
19:05,94,Foul on Jordan Garnett.,32,57
18:38,-1,D.J. Iles missed Layup.,32,57
18:38,94,Drew McDonald Defensive Rebound.,32,57
18:28,-1,Foul on Christian Jones.,32,57
18:27,94,Carson Williams Turnover.,32,57
18:25,-1,Jordan Jones made Layup.,34,57
18:18,94,Drew McDonald made Three Point Jumper. Assisted by Jordan Garnett.,34,60
17:57,94,Foul on Jordan Garnett.,34,60
17:44,-1,Nathan Scott Turnover.,34,60
17:40,94,Jordan Garnett Steal.,34,60
17:38,-1,Foul on D.J. Iles.,34,60
17:38,-1,Wilmington (OH)  Timeout,34,60
17:38,94,Official TV Timeout,34,60
17:29,94,Drew McDonald Turnover.,34,60
17:27,-1,Nathan Scott Steal.,34,60
17:18,-1,Christian Jones missed Three Point Jumper.,34,60
17:18,94,Drew McDonald Defensive Rebound.,34,60
17:03,94,Jordan Garnett missed Three Point Jumper.,34,60
17:03,-1,Jordan Jones Defensive Rebound.,34,60
17:01,94,Foul on Drew McDonald.,34,60
16:48,94,Foul on Jordan Garnett.,34,60
16:33,-1,Brandon Cox missed Jumper.,34,60
16:33,94,Drew McDonald Defensive Rebound.,34,60
16:27,94,Drew McDonald missed Three Point Jumper.,34,60
16:27,-1,Christian Jones Defensive Rebound.,34,60
16:07,-1,Jordan Jones missed Three Point Jumper.,34,60
16:07,94,Carson Williams Defensive Rebound.,34,60
15:57,94,Drew McDonald made Layup. Assisted by Carson Williams.,34,62
15:43,-1,Nathan Scott missed Three Point Jumper.,34,62
15:43,94,Carson Williams Block.,34,62
15:39,94,Drew McDonald Defensive Rebound.,34,62
15:36,94,Carson Williams missed Jumper.,34,62
15:36,94,Drew McDonald Offensive Rebound.,34,62
15:31,94,Drew McDonald made Three Point Jumper.,34,65
15:11,-1,Nathan Scott made Jumper.,36,65
14:57,94,Drew McDonald made Layup.,36,67
14:54,94,Official TV Timeout,36,67
14:54,94,Northern Kentucky  Timeout,36,67
14:54,-1,Kevin Lewis missed Layup.,36,67
14:54,94,Jeff Garrett Block.,36,67
14:52,94,Lavone Holland II Defensive Rebound.,36,67
14:48,94,Jalen Tate missed Three Point Jumper.,36,67
14:48,-1,G Shea Mercer Defensive Rebound.,36,67
14:39,-1,Payton Smith missed Three Point Jumper.,36,67
14:39,94,Lavone Holland II Defensive Rebound.,36,67
14:30,94,Tre Cobbs Turnover.,36,67
14:28,-1,G Shea Mercer missed Layup.,36,67
14:28,94,Jeff Garrett Block.,36,67
14:26,-1,Kevin Lewis Offensive Rebound.,36,67
14:10,-1,Will Patrick made Layup.,38,67
14:10,94,Foul on Jalen Tate.,38,67
14:10,-1,Will Patrick missed Free Throw.,38,67
14:10,94,Carson Williams Defensive Rebound.,38,67
13:53,-1,Foul on Will Patrick.,38,67
13:39,94,Jeff Garrett Turnover.,38,67
13:20,-1,Andrew Russell missed Three Point Jumper.,38,67
13:20,94,Jeff Garrett Defensive Rebound.,38,67
13:09,94,Jalen Tate made Layup. Assisted by Tre Cobbs.,38,69
12:57,94,Foul on Tre Cobbs.,38,69
12:41,-1,Nathan Scott missed Three Point Jumper.,38,69
12:41,94,Jeff Garrett Defensive Rebound.,38,69
12:33,-1,Foul on Payton Smith.,38,69
12:29,94,Dantez Walton missed Three Point Jumper.,38,69
12:29,94,Jeff Garrett Offensive Rebound.,38,69
12:24,94,Jeff Garrett made Layup.,38,71
12:17,-1,Kevin Lewis made Layup. Assisted by Payton Smith.,40,71
11:49,94,Jeff Garrett made Layup. Assisted by Tre Cobbs.,40,73
11:30,94,Official TV Timeout,40,73
11:28,-1,Kevin Lewis made Jumper. Assisted by Jalen Horton.,42,73
11:03,94,Mason Faulkner made Three Point Jumper. Assisted by Chris Vogt.,42,76
10:40,-1,Christian Jones made Three Point Jumper.,45,76
10:22,94,Jordan Garnett Turnover.,45,76
10:10,-1,Christian Jones missed Jumper.,45,76
10:10,94,Jordan Garnett Defensive Rebound.,45,76
10:02,94,Mason Faulkner missed Three Point Jumper.,45,76
10:02,-1,Brandon Cox Defensive Rebound.,45,76
9:42,-1,Jalen Horton missed Jumper.,45,76
9:42,94,Mason Faulkner Defensive Rebound.,45,76
9:36,-1,Foul on Brandon Cox.,45,76
9:36,94,Tyler Sharpe made Free Throw.,45,77
9:36,94,Tyler Sharpe made Free Throw.,45,78
9:28,-1,Andrew Russell made Three Point Jumper. Assisted by Jordan Jones.,48,78
8:58,94,Chris Vogt made Layup. Assisted by Dantez Walton.,48,80
8:39,-1,Andrew Russell made Layup.,50,80
8:39,94,Foul on Chris Vogt.,50,80
8:39,-1,Andrew Russell made Free Throw.,51,80
8:31,94,Dantez Walton missed Three Point Jumper.,51,80
8:31,-1,Jordan Jones Defensive Rebound.,51,80
8:23,-1,Jordan Jones Turnover.,51,80
8:21,94,Dantez Walton Steal.,51,80
8:16,94,Chris Vogt made Layup. Assisted by Mason Faulkner.,51,82
8:16,-1,Foul on Kevin Lewis.,51,82
8:16,94,Chris Vogt made Free Throw.,51,83
8:01,-1,Andrew Russell missed Three Point Jumper.,51,83
8:01,94,Carson Williams Defensive Rebound.,51,83
7:53,94,Carson Williams Turnover.,51,83
7:50,-1,Andrew Russell made Layup.,53,83
7:31,94,Carson Williams missed Jumper.,53,83
7:30,94,Official TV Timeout,53,83
7:30,-1,Andrew Russell Defensive Rebound.,53,83
7:30,94,Foul on Chris Vogt.,53,83
7:30,94,Official TV Timeout,53,83
7:30,-1,Andrew Russell made Free Throw.,54,83
7:30,-1,Andrew Russell made Free Throw.,55,83
7:17,-1,Foul on Andrew Russell.,55,83
7:17,94,Chris Vogt made Free Throw.,55,84
7:17,94,Chris Vogt missed Free Throw.,55,84
7:17,94,Jeff Garrett Offensive Rebound.,55,84
7:07,94,Chris Vogt missed Jumper.,55,84
7:07,94,Dantez Walton Offensive Rebound.,55,84
7:06,94,Dantez Walton missed Layup.,55,84
7:04,94,Dantez Walton Offensive Rebound.,55,84
7:03,94,Dantez Walton made Layup.,55,86
6:45,-1,Andrew Russell made Jumper. Assisted by Will Patrick.,57,86
6:30,-1,Foul on D.J. Iles.,57,86
6:30,94,Tyler Sharpe made Free Throw.,57,87
6:30,94,Tyler Sharpe made Free Throw.,57,88
6:10,-1,Payton Smith Turnover.,57,88
6:09,94,Chris Vogt Steal.,57,88
6:02,94,Dantez Walton missed Three Point Jumper.,57,88
6:02,-1,Wilmington (OH) Defensive Rebound.,57,88
5:47,-1,Andrew Russell made Layup. Assisted by Payton Smith.,59,88
5:39,94,Tyler Sharpe missed Three Point Jumper.,59,88
5:39,94,Jeff Garrett Offensive Rebound.,59,88
5:15,94,Chris Vogt made Dunk. Assisted by Mason Faulkner.,59,90
5:00,-1,Nathan Scott missed Three Point Jumper.,59,90
5:00,-1,Payton Smith Offensive Rebound.,59,90
4:58,94,Foul on Mason Faulkner.,59,90
4:58,-1,Payton Smith missed Free Throw.,59,90
4:58,94,Jeff Garrett Defensive Rebound.,59,90
4:40,94,Tyler Sharpe missed Three Point Jumper.,59,90
4:40,-1,G Shea Mercer Defensive Rebound.,59,90
4:21,-1,Christian Jones missed Three Point Jumper.,59,90
4:21,94,Dantez Walton Block.,59,90
4:21,-1,Wilmington (OH) Offensive Rebound.,59,90
4:09,94,Official TV Timeout,59,90
3:59,-1,G Shea Mercer missed Layup.,59,90
3:57,-1,Christian Jones Offensive Rebound.,59,90
3:55,-1,Wilmington (OH)  Turnover.,59,90
3:55,94,Official TV Timeout,59,90
3:24,94,Tyler Sharpe made Three Point Jumper. Assisted by Tre Cobbs.,59,93
3:03,94,Foul on Chris Vogt.,59,93
3:03,-1,D.J. Iles made Free Throw.,60,93
3:03,-1,D.J. Iles made Free Throw.,61,93
2:44,94,Jeff Garrett missed Three Point Jumper.,61,93
2:44,-1,Kevin Lewis Defensive Rebound.,61,93
2:32,-1,Jalen Horton made Free Throw.,62,93
2:32,94,Foul on Dantez Walton.,62,93
2:32,-1,Jalen Horton made Free Throw.,63,93
2:10,94,Tyler Sharpe missed Three Point Jumper.,63,93
2:10,-1,Aaron Mullins Defensive Rebound.,63,93
1:51,-1,Kevin Lewis missed Jumper.,63,93
1:51,94,Nick Ayers Defensive Rebound.,63,93
1:31,94,Chris Vogt missed Layup.,63,93
1:31,-1,Colin Meyers Defensive Rebound.,63,93
1:18,-1,Colin Meyers made Jumper.,65,93
1:11,94,Northern Kentucky  Timeout,65,93
0:59,94,Nick Ayers missed Layup.,65,93
0:59,-1,Jalen Horton Defensive Rebound.,65,93
0:42,-1,Aaron Mullins missed Jumper.,65,93
0:42,94,Nick Ayers Defensive Rebound.,65,93
0:08,94,Northern Kentucky  Turnover.,65,93
0:00,-1,Jalen Horton missed Three Point Jumper.,65,93
0:00,94,Nick Ayers Defensive Rebound.,65,93
0:00,94,End of Game,65,93
