Bluefield College,Error,Hampton,2261
11:07,-1,Ty'quon Reid missed Free Throw.,13,18
11:07,-1,Bluefield Deadball Team Rebound.,13,18
11:07,-1,Ty'quon Reid missed Free Throw.,13,18
11:07,2261,A.J. Astroth Defensive Rebound.,13,18
10:53,-1,Foul on Ty'quon Reid.,13,18
10:47,2261,Jermaine Marrow Turnover.,13,18
10:42,-1,Shawn Robinson Turnover.,13,18
10:27,2261,Foul on Trevond Barnes.,13,18
10:27,2261,Trevond Barnes Turnover.,13,18
10:09,-1,Ty'quon Reid missed Three Point Jumper.,13,18
10:09,2261,Lysander Bracey Defensive Rebound.,13,18
10:03,2261,A.J. Astroth made Layup. Assisted by Lysander Bracey.,13,20
9:57,2261,Foul on Jermaine Marrow.,13,20
9:35,-1,David Tripp missed Three Point Jumper.,13,20
9:35,-1,Dawan Perry Offensive Rebound.,13,20
9:32,2261,Foul on Lysander Bracey.,13,20
9:25,2261,Foul on Kalin Fisher.,13,20
9:15,-1,Dawan Perry made Dunk. Assisted by Jeremiah Jenkins.,15,20
8:56,2261,Austin Colbert missed Jumper.,15,20
8:56,2261,A.J. Astroth Offensive Rebound.,15,20
8:55,2261,A.J. Astroth made Free Throw.,15,21
8:53,2261,A.J. Astroth made Layup.,15,23
8:51,-1,Foul on David Tripp.,15,23
8:40,-1,Dawan Perry made Jumper.,17,23
8:26,2261,Kalin Fisher missed Three Point Jumper.,17,23
8:26,-1,Bluefield Defensive Rebound.,17,23
8:14,2261,Foul on Austin Colbert.,17,23
8:12,-1,Foul on Donal Gooch.,17,23
8:12,-1,Donal Gooch Turnover.,17,23
8:02,2261,Foul on Akim Mitchell.,17,23
8:02,2261,Akim Mitchell Turnover.,17,23
7:46,-1,Jeremiah Jenkins made Jumper.,19,23
7:35,2261,A.J. Astroth missed Jumper.,19,23
7:35,2261,Austin Colbert Offensive Rebound.,19,23
7:26,2261,Austin Colbert missed Jumper.,19,23
7:26,-1,Stanthony Nelms Block.,19,23
7:24,-1,Stanthony Nelms Defensive Rebound.,19,23
7:22,-1,Dawan Perry missed Layup.,19,23
7:22,2261,Greg Heckstall Defensive Rebound.,19,23
7:17,-1,Foul on Donal Gooch.,19,23
7:17,2261,Official TV Timeout,19,23
7:17,2261,A.J. Astroth made Free Throw.,19,24
7:17,2261,A.J. Astroth made Free Throw.,19,25
6:49,-1,Dawan Perry Turnover.,19,25
6:35,2261,Akim Mitchell missed Three Point Jumper.,19,25
6:35,2261,Greg Heckstall Offensive Rebound.,19,25
6:17,2261,Greg Heckstall missed Jumper.,19,25
6:17,-1,Jorge Concepcion III Defensive Rebound.,19,25
6:09,-1,Jorge Concepcion III made Jumper.,21,25
5:49,2261,A.J. Astroth Turnover.,21,25
5:49,-1,Stanthony Nelms Steal.,21,25
5:49,2261,Foul on A.J. Astroth.,21,25
5:49,-1,Stanthony Nelms made Free Throw.,22,25
5:49,-1,Stanthony Nelms made Free Throw.,23,25
5:29,2261,Austin Colbert missed Three Point Jumper.,23,25
5:29,-1,Jeremiah Jenkins Defensive Rebound.,23,25
5:03,-1,Jorge Concepcion III missed Jumper.,23,25
5:03,2261,Greg Heckstall Block.,23,25
5:01,2261,Greg Heckstall Defensive Rebound.,23,25
4:56,-1,Foul on Stanthony Nelms.,23,25
4:56,2261,Austin Colbert made Free Throw.,23,26
4:56,2261,Austin Colbert missed Free Throw.,23,26
4:56,-1,Donal Gooch Defensive Rebound.,23,26
4:32,2261,Foul on Jermaine Marrow.,23,26
4:32,-1,Jorge Concepcion III made Free Throw.,24,26
4:32,-1,Jorge Concepcion III made Free Throw.,25,26
4:01,2261,Jermaine Marrow missed Three Point Jumper.,25,26
4:01,2261,Hampton Offensive Rebound.,25,26
3:58,2261,Hampton  Turnover.,25,26
3:46,-1,Dawan Perry made Free Throw.,26,26
3:46,-1,Dawan Perry missed Free Throw.,26,26
3:46,2261,Trey Carver Defensive Rebound.,26,26
3:43,2261,Foul on Austin Colbert.,26,26
3:38,2261,Jermaine Marrow made Layup. Assisted by Lysander Bracey.,26,28
3:27,2261,Official TV Timeout,26,28
3:17,-1,Ty'quon Reid missed Jumper.,26,28
3:17,2261,Greg Heckstall Defensive Rebound.,26,28
3:14,2261,Greg Heckstall Turnover.,26,28
3:13,-1,Shawn Robinson Steal.,26,28
3:11,-1,Ty'quon Reid Turnover.,26,28
2:58,-1,Foul on Stanthony Nelms.,26,28
2:58,2261,Jermaine Marrow missed Free Throw.,26,28
2:58,2261,Hampton Deadball Team Rebound.,26,28
2:58,2261,Jermaine Marrow made Free Throw.,26,29
2:29,-1,Olatunji Ebifemi missed Three Point Jumper.,26,29
2:29,-1,Jeremiah Jenkins Offensive Rebound.,26,29
2:23,-1,Jeremiah Jenkins made Layup.,28,29
2:06,-1,Foul on Jeremiah Jenkins.,28,29
2:06,2261,Jermaine Marrow made Free Throw.,28,30
2:06,2261,Jermaine Marrow made Free Throw.,28,31
1:57,-1,Bluefield  Timeout,28,31
1:36,-1,Jeremiah Jenkins missed Three Point Jumper.,28,31
1:36,2261,Charles Wilson-Fisher Defensive Rebound.,28,31
1:19,2261,Jermaine Marrow missed Jumper.,28,31
1:19,2261,Charles Wilson-Fisher Offensive Rebound.,28,31
1:17,2261,Charles Wilson-Fisher made Layup.,28,33
1:02,-1,Jorge Concepcion III made Jumper.,30,33
0:45,2261,Greg Heckstall missed Jumper.,30,33
0:45,-1,Bluefield Defensive Rebound.,30,33
0:38,2261,Foul on Charles Wilson-Fisher.,30,33
0:34,2261,Jermaine Marrow Turnover.,32,33
0:25,-1,Jorge Concepcion III made Free Throw.,31,33
0:11,-1,Bluefield  Timeout,32,33
0:09,-1,Jorge Concepcion III made Free Throw.,32,33
0:00,-1,Jorge Concepcion III missed Layup.,32,33
0:00,2261,Charles Wilson-Fisher Defensive Rebound.,32,33
0:00,2261,Charles Wilson-Fisher Turnover.,32,33
0:00,-1,Ty'quon Reid Steal.,32,33
0:00,-1,Ty'quon Reid made Three Point Jumper.,35,33
0:00,2261,End of 1st half,35,33
19:47,-1,Niquan Cousins Turnover.,35,33
19:46,2261,Akim Mitchell Steal.,35,33
19:44,-1,Foul on Niquan Cousins.,35,33
19:44,2261,Trevond Barnes made Free Throw.,35,34
19:44,2261,Trevond Barnes missed Free Throw.,35,34
19:44,2261,Akim Mitchell Offensive Rebound.,35,34
19:39,2261,Akim Mitchell made Layup.,35,36
19:30,-1,Jorge Concepcion III made Jumper.,37,36
19:07,-1,Foul on Jorge Concepcion III.,37,36
19:02,2261,Akim Mitchell made Free Throw.,37,37
19:02,2261,Akim Mitchell made Free Throw.,37,38
18:30,-1,Dawan Perry missed Jumper.,37,38
18:30,-1,Bluefield Offensive Rebound.,37,38
18:30,-1,Bluefield  Turnover.,37,38
18:12,-1,Foul on Stanthony Nelms.,37,38
17:50,2261,Jermaine Marrow missed Layup.,37,38
17:50,2261,Greg Heckstall Offensive Rebound.,37,38
17:47,2261,Greg Heckstall made Two Point Tip Shot.,37,40
17:36,-1,Stanthony Nelms missed Jumper.,37,40
17:36,2261,Akim Mitchell Block.,37,40
17:34,2261,Austin Colbert Defensive Rebound.,37,40
17:33,2261,Foul on Jermaine Marrow.,37,40
17:33,2261,Jermaine Marrow Turnover.,37,40
17:09,-1,Jeremiah Jenkins missed Layup.,37,40
17:09,2261,Austin Colbert Defensive Rebound.,37,40
17:01,2261,Austin Colbert missed Three Point Jumper.,37,40
17:01,-1,Stanthony Nelms Defensive Rebound.,37,40
16:39,-1,Jeremiah Jenkins missed Three Point Jumper.,37,40
16:39,-1,Bluefield Offensive Rebound.,37,40
16:34,-1,Jeremiah Jenkins made Jumper.,39,40
16:14,2261,A.J. Astroth missed Jumper.,39,40
16:14,-1,Stanthony Nelms Block.,39,40
16:12,2261,A.J. Astroth Offensive Rebound.,39,40
16:10,2261,A.J. Astroth made Layup.,39,42
15:59,-1,Jorge Concepcion III Turnover.,39,42
15:58,2261,Akim Mitchell Steal.,39,42
15:57,2261,A.J. Astroth made Layup. Assisted by Akim Mitchell.,39,44
15:53,-1,Jeremiah Jenkins missed Layup.,39,44
15:53,2261,Jermaine Marrow Defensive Rebound.,39,44
15:49,2261,Akim Mitchell made Dunk. Assisted by Jermaine Marrow.,39,46
15:45,-1,Bluefield  Timeout,39,46
15:15,2261,Foul on Trevond Barnes.,39,46
15:15,-1,Dawan Perry made Free Throw.,40,46
15:15,-1,Dawan Perry made Free Throw.,41,46
14:48,2261,Kalin Fisher missed Jumper.,41,46
14:48,-1,David Tripp Defensive Rebound.,41,46
14:39,-1,Shawn Robinson missed Three Point Jumper.,41,46
14:39,2261,A.J. Astroth Defensive Rebound.,41,46
14:15,2261,Akim Mitchell made Jumper.,41,48
13:51,2261,Foul on A.J. Astroth.,41,48
13:51,-1,Ty'quon Reid made Free Throw.,42,48
13:51,-1,Ty'quon Reid made Free Throw.,43,48
13:38,2261,Kalin Fisher made Jumper.,43,50
13:16,-1,Ty'quon Reid Turnover.,43,50
13:03,2261,Kalin Fisher Turnover.,43,50
13:02,-1,Shawn Robinson Steal.,43,50
12:52,-1,Ty'quon Reid missed Three Point Jumper.,43,50
12:52,2261,Kalin Fisher Block.,43,50
12:50,2261,Charles Wilson-Fisher Defensive Rebound.,43,50
12:50,-1,Foul on Dawan Perry.,43,50
12:32,2261,A.J. Astroth missed Three Point Jumper.,43,50
12:32,-1,Jeremiah Jenkins Defensive Rebound.,43,50
12:27,-1,David Tripp made Dunk. Assisted by Jeremiah Jenkins.,45,50
12:14,-1,Foul on Jeremiah Jenkins.,45,50
11:55,2261,Charles Wilson-Fisher made Jumper. Assisted by A.J. Astroth.,45,52
11:30,-1,David Tripp made Three Point Jumper. Assisted by Jorge Concepcion III.,48,52
11:14,2261,Jermaine Marrow made Layup.,48,54
10:53,-1,Jeremiah Jenkins made Layup.,50,54
10:47,2261,A.J. Astroth made Layup. Assisted by Jermaine Marrow.,50,56
10:47,-1,Foul on Donal Gooch.,50,56
10:47,2261,Official TV Timeout,50,56
10:47,2261,A.J. Astroth made Free Throw.,50,57
10:21,-1,Dawan Perry missed Jumper.,50,57
10:21,2261,A.J. Astroth Block.,50,57
10:20,2261,Charles Wilson-Fisher Defensive Rebound.,50,57
10:13,-1,Foul on Dawan Perry.,50,57
10:13,2261,Kalin Fisher made Free Throw.,50,58
10:13,2261,Kalin Fisher made Free Throw.,50,59
9:46,-1,Jeremiah Jenkins made Jumper.,52,59
9:25,2261,Trey Carver Turnover.,52,59
9:24,-1,Gage Yesbeck Steal.,52,59
9:15,2261,Foul on Trey Carver.,52,59
9:15,-1,Jorge Concepcion III made Free Throw.,53,59
9:15,-1,Jorge Concepcion III missed Free Throw.,53,59
9:15,2261,A.J. Astroth Defensive Rebound.,53,59
8:49,2261,A.J. Astroth made Layup. Assisted by Greg Heckstall.,53,61
8:24,-1,Jorge Concepcion III Turnover.,53,61
8:23,2261,A.J. Astroth Steal.,53,61
8:20,2261,Charles Wilson-Fisher missed Layup.,53,61
8:20,-1,Jorge Concepcion III Defensive Rebound.,53,61
8:12,-1,Jorge Concepcion III missed Layup.,53,61
8:12,2261,Charles Wilson-Fisher Block.,53,61
8:11,-1,Gage Yesbeck Offensive Rebound.,53,61
8:11,-1,Gage Yesbeck missed Free Throw.,53,61
8:11,-1,Bluefield Deadball Team Rebound.,53,61
8:11,-1,Gage Yesbeck made Free Throw.,54,61
7:46,2261,A.J. Astroth missed Jumper.,54,61
7:46,-1,Stanthony Nelms Defensive Rebound.,54,61
7:40,-1,Jeremiah Jenkins missed Three Point Jumper.,54,61
7:40,-1,Jeremiah Jenkins Offensive Rebound.,54,61
7:35,-1,Jeremiah Jenkins missed Jumper.,54,61
7:35,2261,Greg Heckstall Defensive Rebound.,54,61
7:30,2261,Jermaine Marrow made Layup. Assisted by Kalin Fisher.,54,63
7:29,-1,Foul on Dawan Perry.,54,63
7:29,2261,Official TV Timeout,54,63
7:29,2261,Jermaine Marrow made Free Throw.,54,64
7:23,-1,Ty'quon Reid missed Layup.,54,64
7:23,2261,Hampton Defensive Rebound.,54,64
6:52,2261,Hampton  Turnover.,54,64
6:27,-1,Ty'quon Reid missed Three Point Jumper.,54,64
6:27,2261,Jermaine Marrow Defensive Rebound.,54,64
6:17,2261,Akim Mitchell missed Jumper.,54,64
6:17,-1,Niquan Cousins Defensive Rebound.,54,64
5:47,-1,Ty'quon Reid made Layup.,56,64
5:31,2261,Greg Heckstall missed Jumper.,56,64
5:31,-1,Ty'quon Reid Defensive Rebound.,56,64
5:24,-1,Niquan Cousins missed Layup.,56,64
5:24,2261,Charles Wilson-Fisher Block.,56,64
5:23,2261,Charles Wilson-Fisher Defensive Rebound.,56,64
5:15,-1,Foul on Gage Yesbeck.,56,64
5:15,2261,Kalin Fisher made Free Throw.,56,65
5:15,2261,Kalin Fisher made Free Throw.,56,66
4:57,-1,Gage Yesbeck made Jumper.,58,66
4:57,-1,Gage Yesbeck made Free Throw.,59,66
4:47,2261,Kalin Fisher made Three Point Jumper. Assisted by Greg Heckstall.,59,69
4:39,-1,Niquan Cousins missed Jumper.,59,69
4:39,2261,Charles Wilson-Fisher Defensive Rebound.,59,69
4:29,2261,Akim Mitchell made Layup. Assisted by Jermaine Marrow.,59,71
4:13,-1,Jorge Concepcion III missed Layup.,59,71
4:13,2261,Charles Wilson-Fisher Block.,59,71
4:13,-1,Niquan Cousins Offensive Rebound.,59,71
4:13,-1,Niquan Cousins made Layup.,61,71
4:13,2261,Jermaine Marrow missed Three Point Jumper.,61,71
4:13,-1,Gage Yesbeck Defensive Rebound.,61,71
4:13,-1,Jorge Concepcion III missed Jumper.,61,71
4:13,2261,Jermaine Marrow Defensive Rebound.,61,71
4:13,2261,Kalin Fisher made Layup. Assisted by Jermaine Marrow.,61,73
4:13,-1,Gage Yesbeck made Three Point Jumper.,64,73
2:49,2261,Charles Wilson-Fisher missed Jumper.,64,73
2:49,-1,Gage Yesbeck Defensive Rebound.,64,73
2:36,-1,Niquan Cousins missed Jumper.,64,73
2:36,2261,Charles Wilson-Fisher Block.,64,73
2:35,2261,Charles Wilson-Fisher Defensive Rebound.,64,73
2:30,2261,Greg Heckstall made Layup. Assisted by Jermaine Marrow.,64,75
2:14,-1,Shawn Robinson missed Jumper.,64,75
2:14,2261,Charles Wilson-Fisher Block.,64,75
2:13,2261,Kalin Fisher Defensive Rebound.,64,75
2:09,2261,Akim Mitchell made Layup. Assisted by Kalin Fisher.,64,77
1:55,2261,Official TV Timeout,64,77
1:34,-1,Gage Yesbeck missed Jumper.,64,77
1:34,2261,A.J. Astroth Defensive Rebound.,64,77
1:31,-1,Foul on Shawn Robinson.,64,77
1:31,2261,Jermaine Marrow made Free Throw.,64,78
1:31,2261,Jermaine Marrow made Free Throw.,64,79
1:03,-1,Dawan Perry made Dunk.,66,79
0:58,-1,Foul on Dawan Perry.,66,79
0:58,2261,Jermaine Marrow made Free Throw.,66,80
0:58,2261,Jermaine Marrow made Free Throw.,66,81
0:47,-1,Stanthony Nelms made Layup.,68,81
0:26,2261,Greg Heckstall made Jumper.,68,83
0:18,2261,Greg Heckstall made Free Throw.,68,85
0:16,-1,Jeremiah Jenkins missed Three Point Jumper.,68,83
0:16,2261,Greg Heckstall Defensive Rebound.,68,83
0:11,-1,Foul on Jorge Concepcion III.,68,83
0:11,2261,Greg Heckstall made Free Throw.,68,84
0:11,-1,Jeremiah Jenkins missed Three Point Jumper.,68,85
0:11,2261,Greg Heckstall Defensive Rebound.,68,85
