Alabama State,2294,Iowa,2011
12:18,2294,Isaiah Moss made Free Throw.,11,21
11:52,2011,Reginald Gee missed Three Point Jumper.,11,21
11:52,2011,Terrance LeFlore Offensive Rebound.,11,21
11:48,2011,Terrance LeFlore missed Two Point Tip Shot.,11,21
11:48,2294,Isaiah Moss Defensive Rebound.,11,21
11:39,2294,Isaiah Moss Turnover.,11,21
11:38,2011,Branden Johnsen Steal.,11,21
11:35,2011,Reginald Gee missed Jumper.,11,21
11:35,2294,Ryan Kriener Defensive Rebound.,11,21
11:20,2294,Cordell Pemsl missed Layup.,11,21
11:20,2294,Ryan Kriener Offensive Rebound.,11,21
11:15,2294,Ryan Kriener made Layup.,11,23
10:52,2011,Jacoby Ross missed Three Point Jumper.,11,23
10:52,2294,Isaiah Moss Defensive Rebound.,11,23
10:47,2294,Jack Nunge missed Three Point Jumper.,11,23
10:47,2294,Cordell Pemsl Offensive Rebound.,11,23
10:42,2294,Cordell Pemsl made Layup.,11,25
10:38,2011,Alabama State  Timeout,11,25
10:15,2011,Ed Jones missed Three Point Jumper.,11,25
10:15,2294,Jack Nunge Defensive Rebound.,11,25
9:59,2294,Brady Ellingson missed Jumper.,11,25
9:59,2011,Reginald Gee Defensive Rebound.,11,25
9:46,2011,Terrance LeFlore Turnover.,11,25
9:45,2294,Cordell Pemsl Steal.,11,25
9:36,2294,Jack Nunge made Three Point Jumper. Assisted by Maishe Dailey.,11,28
9:10,2011,Terrance LeFlore missed Three Point Jumper.,11,28
9:10,2011,Reginald Gee Offensive Rebound.,11,28
8:59,2011,Terrance LeFlore Turnover.,11,28
8:58,2294,Jack Nunge Steal.,11,28
8:43,2011,Foul on Branden Johnsen.,11,28
8:43,2294,Cordell Pemsl made Free Throw.,11,29
8:43,2294,Cordell Pemsl missed Free Throw.,11,29
8:43,2294,Cordell Pemsl Offensive Rebound.,11,29
8:34,2294,Cordell Pemsl made Layup. Assisted by Ryan Kriener.,11,31
8:18,2011,Reginald Gee made Jumper.,13,31
7:57,2294,Jack Nunge Turnover.,13,31
7:57,2294,Official TV Timeout,13,31
7:36,2011,Steve Rogers Turnover.,13,31
7:22,2294,Ryan Kriener made Jumper. Assisted by Cordell Pemsl.,13,33
7:11,2011,Reginald Gee Turnover.,13,33
7:10,2294,Maishe Dailey Steal.,13,33
7:05,2294,Brady Ellingson made Three Point Jumper. Assisted by Maishe Dailey.,13,36
6:47,2011,Ed Jones missed Jumper.,13,36
6:47,2294,Ryan Kriener Defensive Rebound.,13,36
6:34,2011,Foul on Ed Jones.,13,36
6:34,2294,Cordell Pemsl missed Free Throw.,13,36
6:34,2294,Iowa Deadball Team Rebound.,13,36
6:34,2294,Cordell Pemsl missed Free Throw.,13,36
6:34,2011,Branden Johnsen Defensive Rebound.,13,36
6:18,2011,Steve Rogers missed Jumper.,13,36
6:18,2294,Dom Uhl Defensive Rebound.,13,36
6:08,2294,Maishe Dailey missed Three Point Jumper.,13,36
6:08,2294,Dom Uhl Offensive Rebound.,13,36
6:04,2294,Dom Uhl made Dunk.,13,38
5:45,2294,Foul on Ryan Kriener.,13,38
5:45,2011,Tobi Ewuosho made Free Throw.,14,38
5:45,2011,Tobi Ewuosho missed Free Throw.,14,38
5:45,2294,Tyler Cook Defensive Rebound.,14,38
5:27,2294,Maishe Dailey missed Jumper.,14,38
5:27,2011,Branden Johnsen Block.,14,38
5:25,2011,Tobi Ewuosho Defensive Rebound.,14,38
5:10,2294,Foul on Tyler Cook.,14,38
4:55,2011,Gene Davis missed Jumper.,14,38
4:55,2011,Tobi Ewuosho Offensive Rebound.,14,38
4:51,2011,Tobi Ewuosho made Layup.,16,38
4:36,2011,Foul on Tobi Ewuosho.,16,38
4:36,2294,Luka Garza made Free Throw.,16,39
4:35,2294,Luka Garza missed Free Throw.,16,39
4:34,2294,Tyler Cook Offensive Rebound.,16,39
4:33,2294,Tyler Cook made Dunk.,16,41
4:20,2011,Branden Johnsen missed Jumper.,16,41
4:20,2294,Luka Garza Block.,16,41
4:17,2294,Luka Garza Defensive Rebound.,16,41
4:14,2011,Foul on Gene Davis.,16,41
4:14,2294,Luka Garza made Free Throw.,16,42
4:14,2294,Luka Garza missed Free Throw.,16,42
4:14,2011,Branden Johnsen Defensive Rebound.,16,42
3:59,2011,Jacoby Ross missed Three Point Jumper.,16,42
3:59,2011,Tobi Ewuosho Offensive Rebound.,16,42
3:55,2011,Tobi Ewuosho made Layup.,18,42
3:51,2294,Official TV Timeout,18,42
3:29,2011,Foul on Fausto Pichardo.,18,42
3:29,2294,Tyler Cook missed Free Throw.,18,42
3:29,2294,Iowa Deadball Team Rebound.,18,42
3:29,2294,Tyler Cook made Free Throw.,18,43
3:01,2294,Foul on Tyler Cook.,18,43
2:57,2011,Jacoby Ross Turnover.,18,43
2:36,2294,Isaiah Moss missed Three Point Jumper.,18,43
2:36,2294,Luka Garza Offensive Rebound.,18,43
2:26,2294,Luka Garza missed Layup.,18,43
2:26,2294,Dom Uhl Offensive Rebound.,18,43
2:24,2294,Dom Uhl missed Two Point Tip Shot.,18,43
2:24,2011,Ed Jones Defensive Rebound.,18,43
2:24,2294,Foul on Isaiah Moss.,18,43
2:24,2011,Gene Davis missed Free Throw.,18,43
2:24,2011,Ed Jones Offensive Rebound.,18,43
2:20,2011,Ed Jones missed Jumper.,18,43
2:20,2294,Ahmad Wagner Defensive Rebound.,18,43
2:07,2294,Jordan Bohannon missed Three Point Jumper.,18,43
2:07,2011,Tobi Ewuosho Defensive Rebound.,18,43
2:00,2011,Tobi Ewuosho made Layup.,20,43
1:31,2294,Isaiah Moss Turnover.,20,43
1:31,2294,Foul on Isaiah Moss.,20,43
1:15,2011,Ed Jones missed Layup.,20,43
1:15,2294,Luka Garza Defensive Rebound.,20,43
1:06,2294,Cordell Pemsl missed Jumper.,20,43
1:06,2294,Cordell Pemsl Offensive Rebound.,20,43
1:06,2294,Cordell Pemsl made Layup.,20,45
1:05,2011,Foul on Tobi Ewuosho.,20,45
1:05,2294,Cordell Pemsl missed Free Throw.,20,45
1:05,2294,Ahmad Wagner Offensive Rebound.,20,45
0:57,2011,Foul on Ed Jones.,20,45
0:57,2294,Luka Garza made Free Throw.,20,46
0:57,2294,Luka Garza made Free Throw.,20,47
0:34,2011,Branden Johnsen Turnover.,20,47
0:22,2294,Luka Garza Turnover.,20,47
0:04,2011,Gene Davis made Jumper.,22,47
0:00,2294,End of 1st half,22,47
19:39,2011,Fausto Pichardo missed Jumper.,22,47
19:39,2011,Gene Davis Offensive Rebound.,22,47
19:30,2011,Alabama State  Turnover.,22,47
19:14,2294,Luka Garza made Jumper.,22,49
18:53,2011,Fausto Pichardo Turnover.,22,49
18:40,2011,Foul on Fausto Pichardo.,22,49
18:25,2294,Tyler Cook made Jumper. Assisted by Jordan Bohannon.,22,51
18:00,2011,Gene Davis made Three Point Jumper. Assisted by Tobi Ewuosho.,25,51
17:50,2294,Jordan Bohannon missed Three Point Jumper.,25,51
17:50,2011,Reginald Gee Defensive Rebound.,25,51
17:39,2011,Gene Davis missed Jumper.,25,51
17:39,2294,Luka Garza Defensive Rebound.,25,51
17:32,2294,Isaiah Moss made Dunk. Assisted by Jordan Bohannon.,25,53
17:11,2294,Foul on Isaiah Moss.,25,53
17:11,2011,Reginald Gee made Free Throw.,26,53
17:11,2011,Reginald Gee made Free Throw.,27,53
17:11,2011,Reginald Gee made Free Throw.,28,53
16:58,2294,Luka Garza missed Jumper.,28,53
16:58,2011,Branden Johnsen Block.,28,53
16:56,2294,Iowa Defensive Rebound.,28,53
16:53,2294,Tyler Cook missed Jumper.,28,53
16:53,2294,Ahmad Wagner Offensive Rebound.,28,53
16:47,2294,Isaiah Moss made Three Point Jumper. Assisted by Jordan Bohannon.,28,56
16:30,2011,Reginald Gee missed Three Point Jumper.,28,56
16:30,2294,Ahmad Wagner Defensive Rebound.,28,56
16:22,2294,Luka Garza made Layup. Assisted by Ahmad Wagner.,28,58
16:22,2011,Foul on Branden Johnsen.,28,58
16:22,2294,Luka Garza missed Free Throw.,28,58
16:22,2294,Tyler Cook Offensive Rebound.,28,58
16:18,2294,Isaiah Moss missed Three Point Jumper.,28,58
16:18,2294,Ahmad Wagner Offensive Rebound.,28,58
16:10,2294,Ahmad Wagner Turnover.,28,58
16:08,2011,Marice Wright Steal.,28,58
16:07,2011,Reginald Gee made Layup.,30,58
15:50,2294,Luka Garza missed Three Point Jumper.,30,58
15:50,2011,Tobi Ewuosho Defensive Rebound.,30,58
15:42,2011,Terrance LeFlore missed Three Point Jumper.,30,58
15:42,2294,Luka Garza Defensive Rebound.,30,58
15:34,2011,Foul on Ed Jones.,30,58
15:34,2294,Official TV Timeout,30,58
15:34,2294,Ahmad Wagner missed Free Throw.,30,58
15:34,2294,Iowa Deadball Team Rebound.,30,58
15:34,2294,Ahmad Wagner missed Free Throw.,30,58
15:34,2011,Reginald Gee Defensive Rebound.,30,58
15:26,2294,Foul on Ahmad Wagner.,30,58
15:04,2011,Tobi Ewuosho missed Layup.,30,58
15:04,2011,Reginald Gee Offensive Rebound.,30,58
15:02,2011,Reginald Gee made Jumper.,32,58
14:49,2294,Tyler Cook missed Jumper.,32,58
14:49,2011,Marice Wright Defensive Rebound.,32,58
14:38,2011,Terrance LeFlore missed Jumper.,32,58
14:38,2294,Tyler Cook Defensive Rebound.,32,58
14:17,2294,Tyler Cook made Dunk. Assisted by Luka Garza.,32,60
14:07,2011,Tobi Ewuosho missed Layup.,32,60
14:07,2011,Alabama State Offensive Rebound.,32,60
14:07,2011,Gene Davis Turnover.,32,60
13:57,2294,Tyler Cook missed Three Point Jumper.,32,60
13:57,2294,Jack Nunge Offensive Rebound.,32,60
13:54,2294,Jack Nunge missed Jumper.,32,60
13:54,2294,Luka Garza Offensive Rebound.,32,60
13:51,2294,Luka Garza missed Jumper.,32,60
13:51,2011,Marice Wright Block.,32,60
13:50,2294,Luka Garza Offensive Rebound.,32,60
13:45,2294,Tyler Cook made Dunk. Assisted by Jordan Bohannon.,32,62
13:32,2294,Foul on Jack Nunge.,32,62
13:26,2011,Reginald Gee missed Jumper.,32,62
13:26,2294,Cordell Pemsl Defensive Rebound.,32,62
13:09,2294,Brady Ellingson made Three Point Jumper. Assisted by Maishe Dailey.,32,65
12:35,2011,Gene Davis Turnover.,32,65
12:34,2294,Maishe Dailey Steal.,32,65
12:31,2294,Maishe Dailey missed Layup.,32,65
12:31,2011,Branden Johnsen Block.,32,65
12:31,2294,Iowa Offensive Rebound.,32,65
12:30,2294,Maishe Dailey made Three Point Jumper. Assisted by Brady Ellingson.,32,68
12:02,2011,Reginald Gee missed Jumper.,32,68
12:02,2294,Cordell Pemsl Block.,32,68
12:01,2294,Maishe Dailey Defensive Rebound.,32,68
11:47,2294,Cordell Pemsl made Layup. Assisted by Ryan Kriener.,32,70
11:47,2011,Foul on Branden Johnsen.,32,70
11:47,2294,Official TV Timeout,32,70
11:47,2294,Cordell Pemsl made Free Throw.,32,71
11:23,2011,Micah Johnson Turnover.,32,71
11:12,2294,Maishe Dailey made Three Point Jumper. Assisted by Brady Ellingson.,32,74
10:52,2011,Branden Johnsen made Jumper.,34,74
10:35,2294,Brady Ellingson missed Three Point Jumper.,34,74
10:35,2011,Marice Wright Defensive Rebound.,34,74
10:07,2011,Tobi Ewuosho missed Jumper.,34,74
10:07,2294,Brady Ellingson Defensive Rebound.,34,74
10:02,2294,Maishe Dailey made Dunk. Assisted by Brady Ellingson.,34,76
9:45,2011,Micah Johnson made Jumper. Assisted by Marice Wright.,36,76
9:31,2294,Jack Nunge missed Three Point Jumper.,36,76
9:31,2011,Tobi Ewuosho Defensive Rebound.,36,76
9:10,2011,Branden Johnsen made Layup. Assisted by Micah Johnson.,38,76
9:10,2294,Foul on Ryan Kriener.,38,76
9:10,2011,Branden Johnsen missed Free Throw.,38,76
9:10,2011,Marice Wright Offensive Rebound.,38,76
9:06,2011,Marice Wright made Jumper.,40,76
8:52,2294,Cordell Pemsl Turnover.,40,76
8:34,2294,Foul on Ryan Kriener.,40,76
8:34,2011,Branden Johnsen made Free Throw.,41,76
8:34,2011,Branden Johnsen missed Free Throw.,41,76
8:34,2294,Maishe Dailey Defensive Rebound.,41,76
8:25,2294,Cordell Pemsl missed Layup.,41,76
8:25,2011,Micah Johnson Defensive Rebound.,41,76
8:18,2011,Branden Johnsen made Dunk. Assisted by Micah Johnson.,43,76
8:03,2294,Brady Ellingson made Three Point Jumper. Assisted by Jack Nunge.,43,79
7:46,2011,Micah Johnson Turnover.,43,79
7:46,2294,Jack Nunge Steal.,43,79
7:46,2011,Foul on Micah Johnson.,43,79
7:46,2294,Official TV Timeout,43,79
7:40,2294,Cordell Pemsl made Layup. Assisted by Ryan Kriener.,43,81
7:27,2011,Ed Jones missed Jumper.,43,81
7:27,2011,Marice Wright Offensive Rebound.,43,81
7:20,2011,Marice Wright missed Jumper.,43,81
7:20,2294,Ryan Kriener Defensive Rebound.,43,81
6:57,2294,Maishe Dailey missed Three Point Jumper.,43,81
6:57,2294,Jack Nunge Offensive Rebound.,43,81
6:49,2294,Cordell Pemsl Turnover.,43,81
6:48,2011,Tobi Ewuosho Steal.,43,81
6:29,2011,Tobi Ewuosho missed Jumper.,43,81
6:29,2294,Jack Nunge Defensive Rebound.,43,81
6:08,2294,Jack Nunge made Three Point Jumper. Assisted by Brady Ellingson.,43,84
5:47,2011,Tobi Ewuosho made Dunk.,45,84
5:27,2294,Cordell Pemsl made Layup. Assisted by Ryan Kriener.,45,86
5:09,2011,Micah Johnson Turnover.,45,86
5:08,2294,Ryan Kriener Steal.,45,86
5:03,2011,Foul on Marice Wright.,45,86
5:03,2294,Maishe Dailey made Free Throw.,45,87
5:03,2294,Maishe Dailey missed Free Throw.,45,87
5:03,2011,Tobi Ewuosho Defensive Rebound.,45,87
4:44,2011,Reginald Gee made Three Point Jumper. Assisted by Tobi Ewuosho.,48,87
4:27,2294,Maishe Dailey missed Three Point Jumper.,48,87
4:27,2011,Reginald Gee Defensive Rebound.,48,87
4:07,2011,Branden Johnsen missed Jumper.,48,87
4:07,2294,Jack Nunge Defensive Rebound.,48,87
3:58,2294,Brady Ellingson missed Three Point Jumper.,48,87
3:58,2294,Cordell Pemsl Offensive Rebound.,48,87
3:55,2011,Foul on Tobi Ewuosho.,48,87
3:55,2294,Official TV Timeout,48,87
3:55,2294,Cordell Pemsl made Free Throw.,48,88
3:55,2294,Cordell Pemsl missed Free Throw.,48,88
3:55,2011,Branden Johnsen Defensive Rebound.,48,88
3:42,2011,Ed Jones made Jumper.,50,88
3:42,2294,Foul on Cordell Pemsl.,50,88
3:42,2011,Ed Jones made Free Throw.,51,88
3:18,2294,Charlie Rose Turnover.,51,88
3:18,2011,Branden Johnsen Steal.,51,88
3:12,2011,Jacoby Ross missed Three Point Jumper.,51,88
3:12,2011,Tobi Ewuosho Offensive Rebound.,51,88
2:56,2011,Branden Johnsen made Jumper.,53,88
2:35,2294,Charlie Rose missed Three Point Jumper.,53,88
2:35,2011,Branden Johnsen Defensive Rebound.,53,88
2:15,2011,Tobi Ewuosho Turnover.,53,88
1:58,2294,Riley Till missed Three Point Jumper.,53,88
1:58,2011,Branden Johnsen Defensive Rebound.,53,88
1:48,2011,Tobi Ewuosho missed Dunk.,53,88
1:48,2294,Dom Uhl Defensive Rebound.,53,88
1:44,2294,Maishe Dailey made Dunk. Assisted by Dom Uhl.,53,90
1:26,2011,Reginald Gee made Three Point Jumper. Assisted by Jacoby Ross.,56,90
1:09,2011,Foul on Ed Jones.,56,90
1:09,2294,Dom Uhl missed Free Throw.,56,90
1:09,2294,Iowa Deadball Team Rebound.,56,90
1:09,2294,Dom Uhl missed Free Throw.,56,90
1:09,2011,Branden Johnsen Defensive Rebound.,56,90
0:42,2011,Tobi Ewuosho made Jumper.,58,90
0:23,2294,Maishe Dailey missed Three Point Jumper.,58,90
0:23,2294,Charlie Rose Offensive Rebound.,58,90
0:18,2294,Charlie Rose made Layup.,58,92
0:00,2294,End of Game,58,92
