Haskell,Error,UMKC,140
17:47,-1,Foul on Bryon Elledge.,25,58
17:47,140,Xavier Bishop made Free Throw.,25,59
17:47,140,Xavier Bishop made Free Throw.,25,60
17:38,-1,Keith Moore missed Three Point Jumper.,25,60
17:38,140,Broderick Robinson Defensive Rebound.,25,60
17:30,140,Isaiah Ross Turnover.,25,60
17:20,-1,Nakia Hendricks missed Layup.,25,60
17:20,140,Aleer Leek Defensive Rebound.,25,60
17:10,-1,Foul on Nakia Hendricks.,25,60
17:10,140,Jordan Giles made Free Throw.,25,61
17:10,140,Jordan Giles missed Free Throw.,25,61
17:10,-1,Zack Bruns Defensive Rebound.,25,61
17:01,-1,Zack Bruns missed Layup.,25,61
17:01,-1,Nakia Hendricks Offensive Rebound.,25,61
16:57,-1,Nakia Hendricks missed Dunk.,25,61
16:57,140,Brandon McKissic Defensive Rebound.,25,61
16:51,140,Jordan Giles missed Three Point Jumper.,25,61
16:51,-1,Nakia Hendricks Defensive Rebound.,25,61
16:37,-1,Nakia Hendricks missed Layup.,25,61
16:37,140,UMKC Defensive Rebound.,25,61
16:16,140,Jordan Giles Turnover.,25,61
16:14,-1,Macauley Brown Steal.,25,61
16:11,-1,Bryon Elledge Turnover.,25,61
15:54,140,Broderick Robinson missed Three Point Jumper.,25,61
15:54,-1,Nakia Hendricks Defensive Rebound.,25,61
15:51,140,Official TV Timeout,25,61
15:51,140,Foul on Aleer Leek.,25,61
15:51,140,Official TV Timeout,25,61
15:35,-1,Macauley Brown Turnover.,25,61
15:34,140,Broderick Robinson Steal.,25,61
15:31,-1,Foul on Macauley Brown.,25,61
15:31,140,Broderick Robinson made Free Throw.,25,62
15:31,140,Broderick Robinson made Free Throw.,25,63
15:16,-1,Macauley Brown missed Layup.,25,63
15:16,140,Broderick Robinson Defensive Rebound.,25,63
15:08,140,Tony Jackson made Three Point Jumper. Assisted by Broderick Robinson.,25,66
15:04,-1,Zack Bruns Turnover.,25,66
15:03,140,Tony Jackson Steal.,25,66
14:54,-1,Foul on Macauley Brown.,25,66
14:49,140,Marco Smith missed Three Point Jumper.,25,66
14:49,-1,Zack Bruns Defensive Rebound.,25,66
14:39,-1,Zack Bruns made Layup.,27,66
14:39,140,Foul on Brandon McKissic.,27,66
14:39,-1,Zack Bruns missed Free Throw.,27,66
14:39,140,Marco Smith Defensive Rebound.,27,66
14:30,140,Brandon McKissic made Layup.,27,68
14:21,-1,A'Ram Johnson missed Layup.,27,68
14:21,-1,Nakia Hendricks Offensive Rebound.,27,68
14:16,-1,Nakia Hendricks missed Layup.,27,68
14:16,140,Isaiah Ross Defensive Rebound.,27,68
14:07,140,Isaiah Ross missed Layup.,27,68
14:07,-1,Nakia Hendricks Block.,27,68
14:06,140,Marco Smith Offensive Rebound.,27,68
14:02,140,Marco Smith missed Three Point Jumper.,27,68
14:02,140,Tony Jackson Offensive Rebound.,27,68
13:59,140,Tony Jackson missed Layup.,27,68
13:59,-1,Nakia Hendricks Defensive Rebound.,27,68
13:55,-1,Nakia Hendricks Turnover.,27,68
13:54,140,Tony Jackson Steal.,27,68
13:53,140,Tony Jackson missed Layup.,27,68
13:53,-1,Nakia Hendricks Block.,27,68
13:51,-1,Nakia Hendricks Defensive Rebound.,27,68
13:28,-1,Nakia Hendricks missed Jumper.,27,68
13:28,-1,A'Ram Johnson Offensive Rebound.,27,68
13:20,-1,A'Ram Johnson made Layup.,29,68
13:07,140,Isaiah Ross missed Layup.,29,68
13:07,-1,Nakia Hendricks Defensive Rebound.,29,68
13:02,-1,Zack Bruns missed Three Point Jumper.,29,68
13:02,140,Isaiah Ross Defensive Rebound.,29,68
12:47,140,Tony Jackson made Free Throw.,29,69
12:47,-1,Foul on Keith Moore.,29,69
12:47,140,Tony Jackson missed Free Throw.,29,69
12:47,-1,Macauley Brown Defensive Rebound.,29,69
12:31,-1,Jimell Tate missed Jumper.,29,69
12:31,-1,Macauley Brown Offensive Rebound.,29,69
12:18,-1,Tristan Keah-Tigh made Three Point Jumper. Assisted by Macauley Brown.,32,69
12:05,140,Mo Ahmed made Jumper. Assisted by Marvin Nesbitt Jr..,32,71
11:47,-1,A'Ram Johnson made Jumper.,34,71
11:22,140,Tony Jackson missed Three Point Jumper.,34,71
11:22,-1,Tristan Keah-Tigh Defensive Rebound.,34,71
11:09,-1,Macauley Brown missed Layup.,34,71
11:09,140,Mo Ahmed Defensive Rebound.,34,71
11:02,140,Marvin Nesbitt Jr. made Dunk. Assisted by Robert Knar.,34,73
10:43,-1,Jimell Tate made Three Point Jumper. Assisted by Tristan Keah-Tigh.,37,73
10:34,140,Marco Smith made Layup.,37,75
10:34,-1,Foul on Jimell Tate.,37,75
10:34,140,Official TV Timeout,37,75
10:34,140,Marco Smith missed Free Throw.,37,75
10:34,-1,Shanahan Wilson Defensive Rebound.,37,75
10:21,-1,A'Ram Johnson missed Three Point Jumper.,37,75
10:21,140,Marvin Nesbitt Jr. Defensive Rebound.,37,75
10:14,140,Mo Ahmed made Jumper. Assisted by Marco Smith.,37,77
10:14,-1,Foul on Keith Moore.,37,77
10:14,140,Mo Ahmed made Free Throw.,37,78
10:00,-1,A'Ram Johnson made Layup. Assisted by Jimell Tate.,39,78
9:51,140,Foul on Marvin Nesbitt Jr..,39,78
9:50,-1,A'Ram Johnson missed Free Throw.,39,78
9:49,140,Mo Ahmed Defensive Rebound.,39,78
9:31,140,Jordan Giles missed Layup.,39,78
9:30,140,Jordan Giles Offensive Rebound.,39,78
9:19,140,Jordan Giles made Layup.,39,80
9:14,-1,Tristan Keah-Tigh made Three Point Jumper.,42,80
9:07,140,Robert Knar made Jumper.,42,82
9:00,-1,Jimell Tate made Jumper.,44,82
8:52,140,Mo Ahmed made Jumper.,44,84
8:39,-1,Tristan Keah-Tigh missed Three Point Jumper.,44,84
8:38,140,Mo Ahmed Defensive Rebound.,44,84
8:30,140,Marco Smith missed Jumper.,44,84
8:29,-1,Haskell Indian Nations University Deadball Team Rebound.,44,84
8:12,140,Foul on Mo Ahmed.,44,84
7:59,-1,Jimell Tate missed Three Point Jumper.,44,84
7:59,140,Marvin Nesbitt Jr. Defensive Rebound.,44,84
7:47,140,Jordan Giles made Layup.,44,86
7:28,-1,Drake Carter made Three Point Jumper. Assisted by Antwon Winn.,47,86
7:25,-1,Haskell Indian Nations University  Timeout,47,86
7:25,140,Official TV Timeout,47,86
7:11,140,Mo Ahmed made Jumper.,47,88
6:55,140,Foul on Jordan Giles.,47,88
6:55,140,Official TV Timeout,47,88
6:55,-1,Jimell Tate made Free Throw.,48,88
6:55,-1,Jimell Tate missed Free Throw.,48,88
6:55,140,Jordan Giles Defensive Rebound.,48,88
6:48,140,Marco Smith missed Three Point Jumper.,48,88
6:48,-1,Shanahan Wilson Defensive Rebound.,48,88
6:32,-1,Kalin Parsons missed Layup.,48,88
6:32,140,Marvin Nesbitt Jr. Defensive Rebound.,48,88
6:17,-1,Foul on Shanahan Wilson.,48,88
6:17,140,Mo Ahmed made Free Throw.,48,89
6:17,140,Mo Ahmed made Free Throw.,48,90
6:04,-1,Kalin Parsons Turnover.,48,90
6:02,140,Marvin Nesbitt Jr. Steal.,48,90
6:00,140,Marco Smith made Layup. Assisted by Marvin Nesbitt Jr..,48,92
5:42,-1,Drake Carter Turnover.,48,92
5:41,140,Jordan Giles Steal.,48,92
5:37,140,Jordan Giles made Dunk.,48,94
5:19,-1,Antwon Winn made Jumper.,50,94
5:06,140,Steve Dulley missed Three Point Jumper.,50,94
5:06,-1,Antwon Winn Defensive Rebound.,50,94
4:55,-1,Antwon Winn made Three Point Jumper.,53,94
4:55,-1,Haskell Indian Nations University  Timeout,53,94
4:41,140,Marvin Nesbitt Jr. made Layup.,53,96
4:28,-1,Kalin Parsons Turnover.,53,96
4:17,140,Brandon McKissic missed Layup.,53,96
4:17,-1,Antwon Winn Defensive Rebound.,53,96
4:10,-1,Jimell Tate missed Three Point Jumper.,53,96
4:10,-1,Kalin Parsons Offensive Rebound.,53,96
4:06,-1,Kalin Parsons Turnover.,53,96
4:06,140,Marvin Nesbitt Jr. Steal.,53,96
4:03,140,Marvin Nesbitt Jr. made Dunk. Assisted by Tony Jackson.,53,98
3:52,-1,Antwon Winn missed Jumper.,53,98
3:52,140,Brandon McKissic Defensive Rebound.,53,98
3:42,-1,Foul on Antwon Winn.,53,98
3:42,140,Official TV Timeout,53,98
3:42,140,Brandon McKissic made Free Throw.,53,99
3:42,140,Brandon McKissic missed Free Throw.,53,99
3:42,-1,Jimell Tate Defensive Rebound.,53,99
3:36,-1,Jimell Tate Turnover.,53,99
3:35,140,Marvin Nesbitt Jr. Steal.,53,99
3:33,140,Marvin Nesbitt Jr. made Dunk.,53,101
3:16,-1,Jimell Tate Turnover.,53,101
2:57,-1,Foul on Kalin Parsons.,53,101
2:57,140,Mo Ahmed made Free Throw.,53,102
2:57,140,Mo Ahmed made Free Throw.,53,103
2:42,-1,Drake Carter Turnover.,53,103
2:41,140,Marvin Nesbitt Jr. Steal.,53,103
2:38,140,Marvin Nesbitt Jr. missed Dunk.,53,103
2:38,140,UMKC Offensive Rebound.,53,103
2:30,140,Mo Ahmed Turnover.,53,103
2:22,-1,Antwon Winn Turnover.,53,103
2:21,140,Marco Smith Steal.,53,103
2:20,140,Marco Smith made Layup.,53,105
2:05,-1,Antwon Winn missed Jumper.,53,105
2:05,140,Tony Jackson Defensive Rebound.,53,105
1:51,-1,Foul on Kalin Parsons.,53,105
1:51,140,Steve Dulley made Free Throw.,53,106
1:51,140,Steve Dulley made Free Throw.,53,107
1:40,-1,Jimell Tate missed Three Point Jumper.,53,107
1:40,-1,Antwon Winn Offensive Rebound.,53,107
1:34,-1,Antwon Winn made Three Point Jumper.,56,107
1:24,-1,Foul on Kalin Parsons.,56,107
1:24,140,Mo Ahmed missed Free Throw.,56,107
1:24,140,UMKC Deadball Team Rebound.,56,107
1:24,140,Mo Ahmed missed Free Throw.,56,107
1:24,-1,Kalin Parsons Defensive Rebound.,56,107
1:19,-1,Antwon Winn Turnover.,56,107
1:09,140,Robert Knar missed Three Point Jumper.,56,107
1:09,-1,Kalin Parsons Defensive Rebound.,56,107
0:59,-1,Gino Torres missed Three Point Jumper.,56,107
0:59,-1,Drake Carter Offensive Rebound.,56,107
0:52,-1,Antwon Winn made Three Point Jumper. Assisted by Kalin Parsons.,59,107
0:38,140,Steve Dulley made Three Point Jumper. Assisted by Marco Smith.,59,110
0:24,-1,Jimell Tate missed Jumper.,59,110
0:24,140,Steve Dulley Defensive Rebound.,59,110
0:00,140,End of Game,59,110
