Allen,Error,South Carolina Upstate,2908
5:05,2908,Deion Holmes Turnover.,26,30
4:48,-1,Brandon Moore Turnover.,26,30
4:46,2908,Malik Moore Steal.,26,30
4:36,2908,Ramel Thompkins Turnover.,26,30
4:25,-1,Rashad Green missed Three Point Jumper.,26,30
4:25,2908,Malik Moore Defensive Rebound.,26,30
4:10,2908,Malik Moore Turnover.,26,30
4:09,-1,Brandon Moore Steal.,26,30
4:06,2908,Foul on Mike Cunningham.,26,30
4:06,-1,Quincy Washington missed Free Throw.,26,30
4:06,-1,Allen Deadball Team Rebound.,26,30
4:06,-1,Quincy Washington made Free Throw.,27,30
3:51,2908,Pat Welch missed Three Point Jumper.,27,30
3:51,-1,Quincy Washington Defensive Rebound.,27,30
3:42,-1,Zaunce Simmons Turnover.,27,30
3:41,2908,Malik Moore Steal.,27,30
3:38,2908,Malik Moore made Layup.,27,32
3:17,-1,Quincy Washington Turnover.,27,32
3:16,2908,Thomas Booker Steal.,27,32
3:14,2908,Thomas Booker missed Layup.,27,32
3:14,-1,Brandon Moore Defensive Rebound.,27,32
2:56,-1,Zaunce Simmons Turnover.,27,32
2:56,-1,Foul on Zaunce Simmons.,27,32
2:56,2908,Official TV Timeout,27,32
2:39,2908,Malik Moore missed Three Point Jumper.,27,32
2:39,2908,South Carolina Upstate Offensive Rebound.,27,32
2:13,2908,Malik Moore made Jumper.,27,34
1:57,2908,Foul on Carson Smith.,27,34
1:57,-1,Brandon Moore made Free Throw.,28,34
1:57,-1,Allen  Timeout,28,34
1:57,-1,Brandon Moore made Free Throw.,29,34
1:25,2908,Malik Moore made Three Point Jumper. Assisted by Isaiah Anderson.,29,37
1:01,-1,Rashad Green missed Three Point Jumper.,29,37
1:01,2908,Mike Cunningham Defensive Rebound.,29,37
0:39,-1,Foul on Dhonte Ford.,29,37
0:39,2908,Malik Moore made Free Throw.,29,38
0:39,2908,Malik Moore missed Free Throw.,29,38
0:39,2908,South Carolina Upstate Deadball Team Rebound.,29,38
0:39,2908,Malik Moore made Free Throw.,29,39
0:39,2908,South Carolina Upstate  Timeout,29,39
0:32,-1,Quincy Washington missed Jumper.,29,39
0:32,2908,Malik Moore Defensive Rebound.,29,39
0:02,2908,Ramel Thompkins missed Three Point Jumper.,29,39
0:02,-1,Allen Defensive Rebound.,29,39
0:00,2908,End of 1st half,29,39
19:50,-1,Brandon Moore made Layup. Assisted by Dhonte Ford.,31,39
19:35,2908,Ramel Thompkins missed Three Point Jumper.,31,39
19:35,-1,Quincy Washington Defensive Rebound.,31,39
19:07,-1,Quincy Washington missed Jumper.,31,39
19:07,2908,Malik Moore Defensive Rebound.,31,39
18:55,2908,Malik Moore made Three Point Jumper. Assisted by Jure Span.,31,42
18:39,2908,Foul on Malik Moore.,31,42
18:21,-1,Quincy Washington missed Three Point Jumper.,31,42
18:21,2908,Malik Moore Defensive Rebound.,31,42
18:17,-1,Foul on Leroy Williams Ii.,31,42
17:58,2908,Ramel Thompkins Turnover.,31,42
17:45,-1,Quincy Washington made Jumper.,33,42
17:27,2908,Jure Span made Three Point Jumper. Assisted by Malik Moore.,33,45
17:09,2908,Foul on Malik Moore.,33,45
17:09,-1,Brandon Moore made Free Throw.,34,45
17:09,-1,Brandon Moore missed Free Throw.,34,45
17:09,2908,Ramel Thompkins Defensive Rebound.,34,45
16:57,2908,Jure Span missed Three Point Jumper.,34,45
16:57,2908,Mike Cunningham Offensive Rebound.,34,45
16:52,2908,Carson Smith made Jumper. Assisted by Mike Cunningham.,34,47
16:37,2908,Foul on Jure Span.,34,47
16:37,-1,Quincy Washington missed Free Throw.,34,47
16:37,-1,Allen Deadball Team Rebound.,34,47
16:37,-1,Quincy Washington made Free Throw.,35,47
16:37,-1,Quincy Washington made Free Throw.,36,47
16:12,2908,Ramel Thompkins missed Three Point Jumper.,36,47
16:12,-1,Brandon Moore Defensive Rebound.,36,47
16:02,2908,Foul on Ramel Thompkins.,36,47
15:59,-1,Dhonte Ford Turnover.,36,47
15:58,2908,Mike Cunningham Steal.,36,47
15:56,2908,Ramel Thompkins Turnover.,36,47
15:55,-1,Quincy Washington Steal.,36,47
15:54,-1,Quincy Washington made Layup.,38,47
15:44,2908,Pat Welch missed Three Point Jumper.,38,47
15:44,2908,Isaiah Anderson Offensive Rebound.,38,47
15:39,2908,Isaiah Anderson missed Layup.,38,47
15:39,2908,Ramel Thompkins Offensive Rebound.,38,47
15:33,2908,Mike Cunningham missed Jumper.,38,47
15:33,-1,Dhonte Ford Defensive Rebound.,38,47
15:27,-1,Quincy Washington missed Layup.,38,47
15:27,2908,Isaiah Anderson Defensive Rebound.,38,47
15:19,2908,Pat Welch Turnover.,38,47
15:19,2908,Official TV Timeout,38,47
15:08,-1,Quincy Washington missed Three Point Jumper.,38,47
15:08,2908,Isaiah Anderson Defensive Rebound.,38,47
14:41,2908,Deion Holmes Turnover.,38,47
14:21,-1,Brandon Moore made Layup. Assisted by Leroy Williams Ii.,40,47
13:58,2908,Mike Cunningham made Three Point Jumper. Assisted by Deion Holmes.,40,50
13:41,-1,Dhonte Ford made Three Point Jumper. Assisted by Derrick Trawick.,43,50
13:25,2908,Deion Holmes made Three Point Jumper. Assisted by Pat Welch.,43,53
13:04,-1,Quincy Washington made Jumper. Assisted by Leroy Williams Ii.,45,53
12:55,2908,Deion Holmes made Three Point Jumper. Assisted by Mike Cunningham.,45,56
12:52,-1,Allen  Timeout,45,56
12:52,2908,Official TV Timeout,45,56
12:29,-1,Brandon Moore made Layup. Assisted by Quincy Washington.,47,56
12:09,2908,Pat Welch missed Three Point Jumper.,47,56
12:09,2908,Deion Holmes Offensive Rebound.,47,56
12:03,2908,Deion Holmes missed Layup.,47,56
12:03,-1,Demetrius Richardson Block.,47,56
12:02,-1,Demetrius Richardson Defensive Rebound.,47,56
11:59,-1,Demetrius Richardson missed Layup.,47,56
11:59,2908,Ramel Thompkins Defensive Rebound.,47,56
11:34,2908,Pat Welch made Three Point Jumper. Assisted by Deion Holmes.,47,59
11:16,-1,Derrick Trawick missed Three Point Jumper.,47,59
11:16,2908,Carson Smith Defensive Rebound.,47,59
11:13,-1,Foul on Quincy Washington.,47,59
11:13,2908,Official TV Timeout,47,59
10:57,2908,Pat Welch missed Three Point Jumper.,47,59
10:57,2908,Carson Smith Offensive Rebound.,47,59
10:52,2908,Carson Smith made Jumper.,47,61
10:35,2908,Foul on Mike Cunningham.,47,61
10:35,-1,Derrick Trawick made Free Throw.,48,61
10:35,-1,Derrick Trawick made Free Throw.,49,61
10:29,2908,Deion Holmes made Layup.,49,63
10:10,-1,Kenneth Role made Three Point Jumper.,52,63
9:59,2908,Pat Welch made Jumper.,52,65
9:30,-1,Derrick Trawick missed Three Point Jumper.,52,65
9:30,2908,Ramel Thompkins Defensive Rebound.,52,65
9:22,2908,Deion Holmes missed Dunk.,52,65
9:22,-1,Dhonte Ford Defensive Rebound.,52,65
9:15,-1,Quincy Washington missed Three Point Jumper.,52,65
9:15,-1,Brandon Moore Offensive Rebound.,52,65
9:10,-1,Brandon Moore made Layup.,54,65
8:57,2908,Deion Holmes missed Three Point Jumper.,54,65
8:57,-1,Kenneth Role Defensive Rebound.,54,65
8:40,-1,Dhonte Ford made Three Point Jumper. Assisted by Quincy Washington.,57,65
8:37,2908,South Carolina Upstate  Timeout,57,65
8:28,-1,Foul on Kenneth Role.,57,65
8:25,2908,Carson Smith missed Jumper.,57,65
8:25,-1,Allen Defensive Rebound.,57,65
8:13,-1,Quincy Washington missed Jumper.,57,65
8:13,2908,Jure Span Defensive Rebound.,57,65
8:06,2908,Avery Diggs made Dunk. Assisted by Mike Cunningham.,57,67
7:50,2908,Foul on Jure Span.,57,67
7:50,2908,Official TV Timeout,57,67
7:49,-1,Kenneth Role missed Three Point Jumper.,57,67
7:49,-1,Brandon Moore Offensive Rebound.,57,67
7:44,2908,Foul on Avery Diggs.,57,67
7:44,-1,Brandon Moore made Free Throw.,58,67
7:44,-1,Brandon Moore made Free Throw.,59,67
7:24,2908,Malik Moore made Layup.,59,69
7:24,-1,Foul on Leroy Williams Ii.,59,69
7:24,2908,Malik Moore missed Free Throw.,59,69
7:24,-1,Brandon Moore Defensive Rebound.,59,69
7:10,-1,Brandon Moore missed Layup.,59,69
7:10,2908,Ramel Thompkins Defensive Rebound.,59,69
7:00,2908,Ramel Thompkins missed Three Point Jumper.,59,69
7:00,-1,Quincy Washington Defensive Rebound.,59,69
7:00,2908,Foul on Avery Diggs.,59,69
7:00,-1,Quincy Washington made Free Throw.,60,69
7:00,-1,Quincy Washington made Free Throw.,61,69
6:41,2908,Deion Holmes missed Three Point Jumper.,61,69
6:41,2908,Ramel Thompkins Offensive Rebound.,61,69
6:36,2908,Ramel Thompkins made Jumper.,61,71
6:20,-1,Quincy Washington missed Jumper.,61,71
6:20,2908,Avery Diggs Defensive Rebound.,61,71
6:00,2908,Mike Cunningham made Three Point Jumper.,61,74
5:34,-1,Kenneth Role made Layup.,63,74
5:18,2908,Mike Cunningham missed Layup.,63,74
5:18,-1,Quincy Washington Defensive Rebound.,63,74
5:08,-1,Dhonte Ford missed Jumper.,63,74
5:08,2908,Pat Welch Defensive Rebound.,63,74
5:01,2908,Mike Cunningham Turnover.,63,74
5:01,2908,Foul on Mike Cunningham.,63,74
5:00,-1,Allen  Timeout,63,74
4:48,-1,Kenneth Role Turnover.,63,74
4:29,2908,Jure Span made Layup.,63,76
4:10,-1,Kenneth Role missed Three Point Jumper.,63,76
4:10,2908,Jure Span Defensive Rebound.,63,76
4:08,-1,Foul on Dhonte Ford.,63,76
3:47,-1,Foul on Dhonte Ford.,63,76
3:47,2908,Official TV Timeout,63,76
3:45,2908,Ramel Thompkins missed Three Point Jumper.,63,76
3:45,-1,Dhonte Ford Defensive Rebound.,63,76
3:37,-1,Quincy Washington missed Layup.,63,76
3:37,2908,Jure Span Defensive Rebound.,63,76
3:36,-1,Foul on Derrick Trawick.,63,76
3:36,2908,Jure Span missed Free Throw.,63,76
3:36,2908,Ramel Thompkins Offensive Rebound.,63,76
3:27,2908,Malik Moore missed Jumper.,63,76
3:27,2908,Avery Diggs Offensive Rebound.,63,76
3:25,2908,Avery Diggs made Layup.,63,78
3:04,-1,Quincy Washington missed Jumper.,63,78
3:04,2908,Malik Moore Defensive Rebound.,63,78
2:51,2908,Jure Span made Layup.,63,80
2:24,-1,Rashad Green Turnover.,63,80
2:06,2908,Pat Welch made Jumper.,63,82
1:52,-1,Davion Clark made Three Point Jumper. Assisted by Jarrett Kershaw.,66,82
1:33,2908,Pat Welch missed Three Point Jumper.,66,82
1:33,-1,Logan Parvis Defensive Rebound.,66,82
1:23,-1,Davion Clark Turnover.,66,82
1:23,2908,Pat Welch Steal.,66,82
1:01,2908,Malik Moore missed Three Point Jumper.,66,82
1:01,2908,Pat Welch Offensive Rebound.,66,82
0:31,2908,Jure Span made Three Point Jumper.,66,85
0:06,-1,Logan Parvis missed Jumper.,66,85
0:06,2908,Malik Moore Defensive Rebound.,66,85
