Wash &amp; Lee,Error,Wofford,2747
14:24,2747,Cameron Jackson Steal.,5,17
14:22,2747,Donovan Theme-Love Turnover.,5,17
14:12,-1,Curtis Mitchell missed Layup.,5,17
14:12,2747,Cameron Jackson Block.,5,17
14:11,2747,Nathan Hoover Defensive Rebound.,5,17
14:01,2747,Cameron Jackson missed Layup.,5,17
14:01,-1,Joe Wiencek Defensive Rebound.,5,17
13:52,2747,Foul on Nathan Hoover.,5,17
13:33,-1,Alex Starr missed Three Point Jumper.,5,17
13:33,2747,Matthew Pegram Defensive Rebound.,5,17
13:25,2747,Donovan Theme-Love made Three Point Jumper.,5,20
13:25,-1,Foul on Curtis Mitchell.,5,20
13:25,2747,Donovan Theme-Love made Free Throw.,5,21
13:14,-1,Clayton Murtha missed Layup.,5,21
13:14,2747,Derrick Brooks Defensive Rebound.,5,21
13:05,2747,Derrick Brooks made Jumper.,5,23
12:54,-1,Clayton Murtha made Three Point Jumper. Assisted by Michael Hegar.,8,23
12:30,2747,Matthew Pegram made Layup. Assisted by Fletcher Magee.,8,25
11:53,-1,Alex Starr missed Jumper.,8,25
11:53,-1,Washington & Lee Offensive Rebound.,8,25
11:52,-1,Foul on Kevin Dennin.,8,25
11:52,2747,Official TV Timeout,8,25
11:52,2747,Donovan Theme-Love made Free Throw.,8,26
11:52,2747,Donovan Theme-Love made Free Throw.,8,27
11:43,-1,Clayton Murtha Turnover.,8,27
11:15,2747,Donovan Theme-Love missed Three Point Jumper.,8,27
11:15,2747,Fletcher Magee Offensive Rebound.,8,27
11:11,2747,Fletcher Magee made Layup.,8,29
10:54,-1,Nicholas George missed Jumper.,8,29
10:54,2747,Wofford Defensive Rebound.,8,29
10:36,2747,Cameron Jackson made Layup.,8,31
10:22,2747,Foul on Donovan Theme-Love.,8,31
10:06,-1,Clayton Murtha missed Jumper.,8,31
10:06,2747,Donovan Theme-Love Defensive Rebound.,8,31
9:55,-1,Nicholas George made Three Point Jumper. Assisted by Alex Starr.,11,31
9:55,2747,Cameron Jackson missed Jumper.,11,31
9:55,-1,Clayton Murtha Defensive Rebound.,11,31
9:40,2747,Foul on Donovan Theme-Love.,11,31
9:31,2747,Storm Murphy made Three Point Jumper. Assisted by Cameron Jackson.,11,34
9:23,-1,Alex Starr missed Three Point Jumper.,11,34
9:23,2747,Cameron Jackson Defensive Rebound.,11,34
9:09,2747,Matthew Pegram missed Jumper.,11,34
9:09,-1,Washington & Lee Defensive Rebound.,11,34
8:41,-1,Mark Croughan Turnover.,11,34
8:39,2747,Cameron Jackson Steal.,11,34
8:09,-1,Clayton Murtha missed Jumper.,11,34
8:09,2747,Cameron Jackson Defensive Rebound.,11,34
8:00,2747,Fletcher Magee made Three Point Jumper. Assisted by Storm Murphy.,11,37
7:56,-1,Mark Croughan Turnover.,11,37
7:54,2747,Cameron Jackson Steal.,11,37
7:42,-1,Nicholas George made Three Point Jumper. Assisted by William Brueggeman.,14,37
7:37,2747,Cameron Jackson made Layup. Assisted by Matthew Pegram.,14,39
7:28,-1,Joe Wiencek Turnover.,14,39
7:27,2747,Cameron Jackson Steal.,14,39
7:27,2747,Cameron Jackson made Layup.,14,41
7:27,-1,William Brueggeman made Three Point Jumper.,17,41
7:27,2747,Official TV Timeout,17,41
7:17,-1,Foul on Clayton Murtha.,17,41
7:17,2747,Keve Aluma made Free Throw.,17,42
7:17,2747,Keve Aluma missed Free Throw.,17,42
7:17,-1,Conner Macisaac Defensive Rebound.,17,42
7:08,-1,William Brueggeman missed Three Point Jumper.,17,42
7:08,2747,Storm Murphy Defensive Rebound.,17,42
6:57,2747,Matthew Pegram missed Jumper.,17,42
6:57,-1,Clayton Murtha Defensive Rebound.,17,42
6:50,-1,Conner Macisaac made Layup.,19,42
6:43,2747,Tray Hollowell Turnover.,19,42
6:24,-1,Conner Macisaac made Layup. Assisted by Clayton Murtha.,21,42
6:05,2747,Tray Hollowell missed Three Point Jumper.,21,42
6:05,-1,Conner Macisaac Defensive Rebound.,21,42
5:52,-1,Clayton Murtha made Layup.,23,42
5:52,2747,Foul on Keve Aluma.,23,42
5:52,-1,Clayton Murtha made Free Throw.,24,42
5:34,2747,Nathan Hoover made Three Point Jumper. Assisted by Storm Murphy.,24,45
5:13,-1,Clayton Murtha missed Layup.,24,45
5:13,2747,Keve Aluma Defensive Rebound.,24,45
5:05,-1,Foul on Conner Macisaac.,24,45
5:05,2747,Fletcher Magee made Free Throw.,24,46
5:05,2747,Fletcher Magee made Free Throw.,24,47
4:56,-1,Alex Starr made Layup.,26,47
4:42,2747,Keve Aluma made Dunk. Assisted by Storm Murphy.,26,49
4:34,-1,Alex Starr Turnover.,26,49
4:33,2747,Cameron Jackson Steal.,26,49
4:26,2747,Storm Murphy Turnover.,26,49
4:25,-1,Alex Starr Steal.,26,49
4:23,-1,Michael Hegar missed Three Point Jumper.,26,49
4:23,2747,Storm Murphy Defensive Rebound.,26,49
3:44,2747,Cameron Jackson made Layup.,26,51
3:39,2747,Foul on Storm Murphy.,26,51
3:39,2747,Official TV Timeout,26,51
3:39,2747,Wofford  Timeout,26,51
3:36,-1,William Brueggeman missed Three Point Jumper.,26,51
3:36,2747,Donovan Theme-Love Defensive Rebound.,26,51
3:19,2747,Dishon Lowery made Layup. Assisted by Tray Hollowell.,26,53
3:01,-1,Conner Macisaac Turnover.,26,53
2:38,2747,Tray Hollowell made Layup. Assisted by Donovan Theme-Love.,26,55
2:10,-1,Clayton Murtha missed Three Point Jumper.,26,55
2:10,2747,Tray Hollowell Defensive Rebound.,26,55
2:08,2747,Tray Hollowell Turnover.,26,55
2:08,-1,Washington & Lee  Timeout,26,55
1:56,-1,Conner Macisaac made Three Point Jumper. Assisted by Michael Hegar.,29,55
1:43,2747,Wofford  Turnover.,29,55
1:29,-1,Danny Mitchell missed Three Point Jumper.,29,55
1:29,2747,Matthew Pegram Defensive Rebound.,29,55
1:11,2747,Cameron Jackson missed Jumper.,29,55
1:11,-1,Clayton Murtha Defensive Rebound.,29,55
1:02,-1,Nicholas George missed Three Point Jumper.,29,55
1:02,2747,Tray Hollowell Defensive Rebound.,29,55
0:42,2747,Tray Hollowell made Jumper.,29,57
0:26,-1,Danny Mitchell missed Layup.,29,57
0:26,2747,Matthew Pegram Block.,29,57
0:26,-1,Washington & Lee Offensive Rebound.,29,57
0:19,-1,Clayton Murtha made Jumper. Assisted by Danny Mitchell.,31,57
0:02,2747,Matthew Pegram missed Three Point Jumper.,31,57
0:02,2747,Derrick Brooks Offensive Rebound.,31,57
0:01,2747,Derrick Brooks missed Jumper.,31,57
0:01,-1,Clayton Murtha Defensive Rebound.,31,57
0:00,2747,End of 1st half,31,57
19:39,2747,Foul on Cameron Jackson.,31,57
19:39,-1,Alex Starr made Free Throw.,32,57
19:39,-1,Alex Starr missed Free Throw.,32,57
19:39,2747,Matthew Pegram Defensive Rebound.,32,57
19:24,-1,Foul on Michael Hegar.,32,57
19:24,2747,Cameron Jackson made Free Throw.,32,58
19:24,2747,Cameron Jackson missed Free Throw.,32,58
19:24,-1,Curtis Mitchell Defensive Rebound.,32,58
19:14,-1,Curtis Mitchell Turnover.,32,58
18:54,2747,Nathan Hoover missed Three Point Jumper.,32,58
18:54,-1,Curtis Mitchell Defensive Rebound.,32,58
18:42,-1,Nicholas George Turnover.,32,58
18:29,2747,Nathan Hoover missed Layup.,32,58
18:29,-1,Curtis Mitchell Block.,32,58
18:28,-1,Alex Starr Defensive Rebound.,32,58
18:23,-1,Alex Starr Turnover.,32,58
18:23,2747,Fletcher Magee Steal.,32,58
18:23,-1,Foul on Curtis Mitchell.,32,58
18:23,2747,Cameron Jackson made Free Throw.,32,59
18:23,2747,Cameron Jackson made Free Throw.,32,60
18:07,-1,Clayton Murtha made Layup. Assisted by Curtis Mitchell.,34,60
17:49,2747,Matthew Pegram missed Jumper.,34,60
17:49,-1,Nicholas George Defensive Rebound.,34,60
17:42,2747,Foul on Fletcher Magee.,34,60
17:42,-1,Alex Starr missed Free Throw.,34,60
17:42,-1,Washington & Lee Deadball Team Rebound.,34,60
17:42,-1,Alex Starr made Free Throw.,35,60
17:18,2747,Dishon Lowery made Dunk. Assisted by Matthew Pegram.,35,62
17:04,-1,Curtis Mitchell missed Three Point Jumper.,35,62
17:04,2747,Donovan Theme-Love Defensive Rebound.,35,62
16:51,2747,Dishon Lowery made Layup. Assisted by Donovan Theme-Love.,35,64
16:33,-1,Alex Starr missed Three Point Jumper.,35,64
16:33,2747,Dishon Lowery Defensive Rebound.,35,64
16:26,-1,Foul on Nicholas George.,35,64
16:21,2747,Fletcher Magee made Jumper. Assisted by Cameron Jackson.,35,66
16:00,-1,Nicholas George missed Three Point Jumper.,35,66
16:00,2747,Nathan Hoover Defensive Rebound.,35,66
15:58,-1,Foul on William Brueggeman.,35,66
15:58,2747,Official TV Timeout,35,66
15:58,2747,Donovan Theme-Love made Free Throw.,35,67
15:58,2747,Donovan Theme-Love missed Free Throw.,35,67
15:58,-1,Conner Macisaac Defensive Rebound.,35,67
15:43,-1,William Brueggeman Turnover.,35,67
15:42,2747,Donovan Theme-Love Steal.,35,67
15:41,2747,Donovan Theme-Love made Layup.,35,69
15:23,-1,William Brueggeman missed Layup.,35,69
15:23,2747,Dishon Lowery Defensive Rebound.,35,69
14:54,2747,Tray Hollowell missed Three Point Jumper.,35,69
14:54,-1,Washington & Lee Defensive Rebound.,35,69
14:39,2747,Foul on Dishon Lowery.,35,69
14:36,-1,William Brueggeman made Layup. Assisted by Trey Lewis.,37,69
14:15,2747,Storm Murphy made Three Point Jumper. Assisted by Derrick Brooks.,37,72
13:55,-1,Clayton Murtha Turnover.,37,72
13:40,2747,Tray Hollowell made Three Point Jumper. Assisted by Derrick Brooks.,37,75
13:27,-1,William Brueggeman missed Three Point Jumper.,37,75
13:27,2747,Wofford Defensive Rebound.,37,75
13:04,2747,Tray Hollowell made Three Point Jumper. Assisted by Derrick Brooks.,37,78
12:37,-1,Clayton Murtha missed Jumper.,37,78
12:37,2747,Derrick Brooks Defensive Rebound.,37,78
12:17,2747,Storm Murphy missed Three Point Jumper.,37,78
12:17,-1,Curtis Mitchell Defensive Rebound.,37,78
12:09,-1,Clayton Murtha made Layup.,39,78
12:09,2747,Foul on Dishon Lowery.,39,78
12:09,-1,Clayton Murtha made Free Throw.,40,78
12:04,2747,Bobby Perez Turnover.,40,78
12:03,-1,Clayton Murtha Steal.,40,78
12:00,2747,Foul on  .,40,78
12:00,2747,Official TV Timeout,40,78
12:00,-1,Curtis Mitchell missed Free Throw.,40,78
12:00,-1,Washington & Lee Deadball Team Rebound.,40,78
12:00,-1,Curtis Mitchell missed Free Throw.,40,78
12:00,-1,Clayton Murtha Offensive Rebound.,40,78
11:58,-1,Clayton Murtha missed Layup.,40,78
11:58,-1,Curtis Mitchell Offensive Rebound.,40,78
11:51,-1,Nicholas George made Three Point Jumper. Assisted by Curtis Mitchell.,43,78
11:25,2747,Tray Hollowell missed Three Point Jumper.,43,78
11:25,2747,Offensive Rebound.,43,78
11:22,2747,Tray Hollowell made Layup.,43,80
11:00,-1,Curtis Mitchell made Three Point Jumper. Assisted by Nicholas George.,46,80
10:37,2747,missed Jumper.,46,80
10:37,-1,Curtis Mitchell Defensive Rebound.,46,80
10:22,-1,Kevin Dennin made Three Point Jumper. Assisted by Nicholas George.,49,80
10:19,-1,Washington & Lee  Timeout,49,80
10:19,2747,Official TV Timeout,49,80
10:00,2747,Nathan Hoover missed Three Point Jumper.,49,80
10:00,-1,Mark Croughan Defensive Rebound.,49,80
9:42,-1,Curtis Mitchell Turnover.,49,80
9:27,2747,Fletcher Magee missed Three Point Jumper.,49,80
9:27,2747,Wofford Offensive Rebound.,49,80
8:59,2747,Cameron Jackson made Jumper.,49,82
8:41,-1,Kevin Dennin made Three Point Jumper. Assisted by Alex Starr.,52,82
8:20,-1,Foul on Alex Starr.,52,82
8:20,2747,Cameron Jackson missed Free Throw.,52,82
8:20,2747,Wofford Deadball Team Rebound.,52,82
8:20,2747,Cameron Jackson made Free Throw.,52,83
8:14,2747,Foul on Cameron Jackson.,52,83
8:07,2747,Foul on Nathan Hoover.,52,83
8:07,-1,Nicholas George made Free Throw.,53,83
8:07,-1,Nicholas George made Free Throw.,54,83
7:57,2747,Matthew Pegram made Dunk. Assisted by Fletcher Magee.,54,85
7:48,-1,Clayton Murtha made Layup. Assisted by Alex Starr.,56,85
7:25,2747,Fletcher Magee made Three Point Jumper. Assisted by Donovan Theme-Love.,56,88
7:14,-1,Alex Starr missed Layup.,56,88
7:14,2747,Cameron Jackson Defensive Rebound.,56,88
6:43,2747,Matthew Pegram made Jumper.,56,90
6:21,-1,Alex Starr made Three Point Jumper. Assisted by Clayton Murtha.,59,90
5:56,2747,Fletcher Magee made Layup. Assisted by Cameron Jackson.,59,92
5:49,-1,Mark Croughan missed Three Point Jumper.,59,92
5:49,2747,Cameron Jackson Defensive Rebound.,59,92
5:38,-1,Foul on Alex Starr.,59,92
5:38,2747,Official TV Timeout,59,92
5:36,2747,Tray Hollowell Turnover.,59,92
5:35,-1,Clayton Murtha Steal.,59,92
5:33,-1,Nicholas George made Layup. Assisted by Clayton Murtha.,61,92
5:13,2747,Tray Hollowell Turnover.,61,92
5:12,-1,William Brueggeman Steal.,61,92
5:07,-1,William Brueggeman missed Three Point Jumper.,61,92
5:07,2747,Matthew Pegram Defensive Rebound.,61,92
4:46,2747,Tray Hollowell missed Three Point Jumper.,61,92
4:46,-1,Clayton Murtha Defensive Rebound.,61,92
4:25,-1,Clayton Murtha missed Jumper.,61,92
4:25,2747,Derrick Brooks Defensive Rebound.,61,92
4:12,2747,Matthew Pegram Turnover.,61,92
4:12,2747,Foul on Matthew Pegram.,61,92
4:06,-1,Clayton Murtha missed Three Point Jumper.,61,92
4:06,2747,Storm Murphy Defensive Rebound.,61,92
4:01,-1,Foul on Trey Lewis.,61,92
3:44,2747,Storm Murphy made Free Throw.,61,93
3:44,2747,Storm Murphy made Free Throw.,61,94
3:33,-1,Michael Hegar Turnover.,61,94
3:32,2747,Dishon Lowery Steal.,61,94
3:08,2747,Keve Aluma made Layup. Assisted by Dishon Lowery.,61,96
2:57,-1,Danny Mitchell made Layup.,63,96
2:42,-1,Kevin Dennin made Three Point Jumper. Assisted by Clayton Murtha.,66,96
2:26,2747,Derrick Brooks Turnover.,66,96
2:25,-1,Clayton Murtha Steal.,66,96
2:10,2747,Dishon Lowery made Jumper. Assisted by Storm Murphy.,66,98
2:09,2747,Wofford  Timeout,66,98
2:09,-1,Kevin Dennin missed Three Point Jumper.,66,98
2:09,2747,Keve Aluma Defensive Rebound.,66,98
2:03,2747,Bobby Perez made Three Point Jumper.,66,101
1:14,2747,Foul on Keve Aluma.,66,101
1:14,-1,Conner Macisaac missed Free Throw.,66,101
1:14,-1,Washington & Lee Deadball Team Rebound.,66,101
1:14,-1,Conner Macisaac missed Free Throw.,66,101
1:14,-1,Karlens Joas Offensive Rebound.,66,101
1:06,-1,Parker Julian missed Three Point Jumper.,66,101
1:06,2747,Defensive Rebound.,66,101
0:48,2747,Bobby Perez missed Jumper.,66,101
0:48,-1,Conner Macisaac Defensive Rebound.,66,101
0:37,-1,Parker Julian Turnover.,66,101
0:22,-1,Foul on Conner Macisaac.,66,101
0:22,2747,Keve Aluma made Free Throw.,66,102
0:22,2747,Keve Aluma made Free Throw.,66,103
0:08,-1,Conner Macisaac missed Layup.,66,103
0:08,-1,Parker Julian Offensive Rebound.,66,103
0:04,-1,Parker Julian missed Jumper.,66,103
0:04,2747,Tray Hollowell Defensive Rebound.,66,103
0:00,2747,End of Game,66,103
