Maryland-Eastern Shore,120,Maryland,2379
16:33,120,Justin Jackson missed Three Point Jumper.,20,50
16:33,2379,Ahmad Frost Defensive Rebound.,20,50
16:11,2379,Cameron Bacote missed Three Point Jumper.,20,50
16:11,120,Bruno Fernando Defensive Rebound.,20,50
16:00,120,Anthony Cowan made Layup.,20,52
15:34,2379,LeAndre Thomas made Layup. Assisted by Cameron Bacote.,22,52
15:22,120,Bruno Fernando missed Jumper.,22,52
15:22,120,Dion Wiley Offensive Rebound.,22,52
15:20,120,Dion Wiley made Layup.,22,54
15:08,120,Foul on Bruno Fernando.,22,54
15:08,120,Official TV Timeout,22,54
15:08,2379,LeAndre Thomas missed Free Throw.,22,54
15:08,2379,Maryland-Eastern Shore Deadball Team Rebound.,22,54
15:08,2379,LeAndre Thomas made Free Throw.,23,54
14:44,120,Michal Cekovsky made Dunk. Assisted by Ivan Bender.,23,56
14:23,2379,LeAndre Thomas Turnover.,23,56
14:07,120,Jared Nickens made Three Point Jumper. Assisted by Dion Wiley.,23,59
13:31,2379,Cameron Bacote made Three Point Jumper. Assisted by Sean Hoggs.,26,59
13:21,120,Dion Wiley made Three Point Jumper. Assisted by Darryl Morsell.,26,62
13:03,2379,Sean Hoggs missed Three Point Jumper.,26,62
13:03,120,Ivan Bender Defensive Rebound.,26,62
13:00,2379,Foul on Tyler Jones.,26,62
12:44,120,Ivan Bender Turnover.,26,62
12:43,2379,LeAndre Thomas Steal.,26,62
12:41,2379,Ahmad Frost made Layup.,28,62
12:28,120,Jared Nickens made Three Point Jumper. Assisted by Ivan Bender.,28,65
12:05,2379,LeAndre Thomas missed Jumper.,28,65
12:05,120,Ivan Bender Defensive Rebound.,28,65
11:58,2379,Foul on Cameron Bacote.,28,65
11:58,120,Official TV Timeout,28,65
11:47,120,Jared Nickens Turnover.,28,65
11:46,2379,Ahmad Frost Steal.,28,65
11:43,120,Foul on Ivan Bender.,28,65
11:43,2379,Ahmad Frost made Free Throw.,29,65
11:43,2379,Ahmad Frost missed Free Throw.,29,65
11:43,120,Sean Obi Defensive Rebound.,29,65
11:28,120,Ivan Bender missed Jumper.,29,65
11:28,2379,Colen Gaynor Defensive Rebound.,29,65
11:10,2379,Ahmad Frost Turnover.,29,65
10:59,120,Ivan Bender missed Jumper.,29,65
10:59,120,Sean Obi Offensive Rebound.,29,65
10:48,120,Darryl Morsell missed Layup.,29,65
10:48,2379,LeAndre Thomas Defensive Rebound.,29,65
10:37,2379,Cameron Bacote missed Three Point Jumper.,29,65
10:37,120,Maryland Defensive Rebound.,29,65
10:13,120,Anthony Cowan missed Three Point Jumper.,29,65
10:13,120,Sean Obi Offensive Rebound.,29,65
10:08,120,Sean Obi made Layup.,29,67
9:40,2379,Colen Gaynor missed Jumper.,29,67
9:40,120,Darryl Morsell Defensive Rebound.,29,67
9:37,120,Darryl Morsell Turnover.,29,67
9:23,2379,LeAndre Thomas missed Jumper.,29,67
9:23,120,Justin Jackson Defensive Rebound.,29,67
9:15,120,Justin Jackson missed Jumper.,29,67
9:15,120,Darryl Morsell Offensive Rebound.,29,67
9:13,120,Darryl Morsell missed Dunk.,29,67
9:13,120,Darryl Morsell Offensive Rebound.,29,67
9:10,120,Darryl Morsell made Layup.,29,69
8:38,2379,Cameron Bacote missed Three Point Jumper.,29,69
8:38,2379,Colen Gaynor Offensive Rebound.,29,69
8:37,2379,Maryland-Eastern Shore  Turnover.,29,69
8:25,120,Kevin Huerter made Three Point Jumper.,29,72
8:01,2379,Sean Hoggs missed Three Point Jumper.,29,72
8:01,120,Justin Jackson Defensive Rebound.,29,72
8:00,2379,Foul on Tyler Jones.,29,72
8:00,120,Official TV Timeout,29,72
7:45,120,Kevin Huerter missed Three Point Jumper.,29,72
7:45,120,Sean Obi Offensive Rebound.,29,72
7:40,120,Sean Obi made Layup.,29,74
7:17,2379,LeAndre Thomas missed Jumper.,29,74
7:17,120,Dion Wiley Defensive Rebound.,29,74
7:11,2379,Foul on LeAndre Thomas.,29,74
7:11,120,Darryl Morsell missed Free Throw.,29,74
7:11,120,Maryland Deadball Team Rebound.,29,74
7:11,120,Darryl Morsell made Free Throw.,29,75
6:53,2379,Ahmad Frost Turnover.,29,75
6:53,120,Anthony Cowan Steal.,29,75
6:44,2379,Foul on Ahmad Frost.,29,75
6:44,120,Bruno Fernando made Free Throw.,29,76
6:44,120,Bruno Fernando missed Free Throw.,29,76
6:44,120,Sean Obi Offensive Rebound.,29,76
6:38,120,Jared Nickens made Three Point Jumper. Assisted by Darryl Morsell.,29,79
6:27,2379,Sean Hoggs missed Three Point Jumper.,29,79
6:27,2379,LeAndre Thomas Offensive Rebound.,29,79
6:23,2379,LeAndre Thomas made Layup.,31,79
6:17,2379,Foul on Colen Gaynor.,31,79
6:17,120,Darryl Morsell made Free Throw.,31,80
6:17,120,Darryl Morsell made Free Throw.,31,81
5:50,2379,Colen Gaynor made Jumper. Assisted by Cameron Bacote.,33,81
5:39,120,Dion Wiley missed Three Point Jumper.,33,81
5:39,120,Sean Obi Offensive Rebound.,33,81
5:35,120,Jared Nickens made Three Point Jumper. Assisted by Dion Wiley.,33,84
5:14,2379,Cameron Bacote made Layup.,35,84
4:55,120,Bruno Fernando made Jumper. Assisted by Sean Obi.,35,86
4:55,2379,Foul on LeAndre Thomas.,35,86
4:55,120,Darryl Morsell made Free Throw.,35,87
4:32,2379,Colen Gaynor missed Three Point Jumper.,35,87
4:32,120,Jared Nickens Defensive Rebound.,35,87
4:16,2379,Foul on Montraz Oliver.,35,87
4:16,120,Bruno Fernando made Free Throw.,35,88
4:16,120,Bruno Fernando missed Free Throw.,35,88
4:16,2379,Colen Gaynor Defensive Rebound.,35,88
3:51,2379,Ahmad Frost missed Three Point Jumper.,35,88
3:51,120,Darryl Morsell Defensive Rebound.,35,88
3:45,120,Darryl Morsell Turnover.,35,88
3:44,2379,Colen Gaynor made Dunk.,37,88
3:41,120,Maryland  Timeout,37,88
3:25,120,Reese Mona missed Three Point Jumper.,37,88
3:25,120,Travis Valmon Offensive Rebound.,37,88
3:23,120,Official TV Timeout,37,88
3:16,120,Alex Tostado made Layup.,37,90
3:01,2379,Cameron Bacote made Jumper.,39,90
3:00,120,Foul on Travis Valmon.,39,90
2:55,2379,Cameron Bacote missed Free Throw.,39,90
2:55,120,Travis Valmon Defensive Rebound.,39,90
2:46,2379,Foul on Montraz Oliver.,39,90
2:46,120,Joshua Tomaic made Free Throw.,39,91
2:46,120,Joshua Tomaic made Free Throw.,39,92
2:37,2379,Sean Hoggs missed Jumper.,39,92
2:37,120,Andrew Terrell Defensive Rebound.,39,92
2:28,120,Reese Mona missed Layup.,39,92
2:28,2379,Sean Hoggs Defensive Rebound.,39,92
2:19,2379,Cameron Bacote missed Three Point Jumper.,39,92
2:19,2379,Colen Gaynor Offensive Rebound.,39,92
2:16,2379,Colen Gaynor made Layup.,41,92
2:01,120,Alex Tostado missed Three Point Jumper.,41,92
2:01,120,Joshua Tomaic Offensive Rebound.,41,92
1:56,120,Joshua Tomaic Turnover.,41,92
1:55,2379,Ahmad Frost Steal.,41,92
1:51,2379,Cameron Bacote made Jumper.,43,92
1:51,120,Foul on Alex Tostado.,43,92
1:51,2379,Cameron Bacote missed Free Throw.,43,92
1:51,120,Travis Valmon Defensive Rebound.,43,92
1:42,120,Travis Valmon made Jumper.,43,94
1:42,2379,Foul on Colen Gaynor.,43,94
1:42,120,Travis Valmon missed Free Throw.,43,94
1:42,2379,Maryland-Eastern Shore Defensive Rebound.,43,94
1:34,120,Foul on Joshua Tomaic.,43,94
1:21,2379,Montraz Oliver missed Three Point Jumper.,43,94
1:21,120,Joshua Tomaic Defensive Rebound.,43,94
1:09,120,Andrew Terrell missed Jumper.,43,94
1:09,2379,Montraz Oliver Defensive Rebound.,43,94
1:01,2379,Montraz Oliver Turnover.,43,94
0:44,120,Travis Valmon made Layup.,43,96
0:21,120,Foul on Andrew Terrell.,43,96
0:04,2379,Cameron Bacote missed Three Point Jumper.,43,96
0:04,120,Maryland Deadball Team Rebound.,43,96
0:00,120,End of Game,43,96
