Morehead State,288,Lipscomb,2413
12:21,2413,James Baker Steal.,10,16
12:16,2413,De'Von Cooper missed Three Point Jumper.,10,16
12:16,288,Michael Buckland Defensive Rebound.,10,16
12:11,288,Asa Duvall missed Three Point Jumper.,10,16
12:11,288,Garrison Mathews Offensive Rebound.,10,16
11:59,2413,Foul on James Baker.,10,16
11:55,288,Official TV Timeout,10,16
11:55,288,Garrison Mathews made Free Throw.,10,17
11:55,288,Garrison Mathews made Free Throw.,10,18
11:40,2413,Alonzo Chatman made Jumper.,12,18
11:32,288,Michael Buckland Turnover.,12,18
11:05,2413,Alonzo Chatman Turnover.,12,18
10:37,288,Matt Rose missed Three Point Jumper.,12,18
10:37,2413,Alonzo Chatman Defensive Rebound.,12,18
10:07,2413,De'Von Cooper missed Three Point Jumper.,12,18
10:07,2413,Morehead State Deadball Team Rebound.,12,18
9:58,2413,Lamontray Harris missed Jumper.,12,18
9:58,288,Rob Marberry Defensive Rebound.,12,18
9:44,288,Garrison Mathews made Three Point Jumper. Assisted by Asa Duvall.,12,21
9:21,2413,De'Von Cooper missed Layup.,12,21
9:21,288,Matt Rose Block.,12,21
9:19,288,Michael Buckland Defensive Rebound.,12,21
9:16,288,Foul on Michael Buckland.,12,21
9:16,288,Michael Buckland Turnover.,12,21
9:04,2413,Malek Green missed Three Point Jumper.,12,21
9:04,288,Eli Pepper Defensive Rebound.,12,21
9:02,2413,Foul on De'Von Cooper.,12,21
9:02,288,Eli Pepper missed Free Throw.,12,21
9:02,2413,Jordan Walker Defensive Rebound.,12,21
8:51,2413,Jordan Walker Turnover.,12,21
8:49,288,Garrison Mathews Steal.,12,21
8:47,288,Garrison Mathews missed Layup.,12,21
8:47,2413,Jordan Walker Block.,12,21
8:45,2413,Malek Green Defensive Rebound.,12,21
8:40,2413,Jordan Walker made Layup.,14,21
8:19,288,Michael Buckland missed Three Point Jumper.,14,21
8:19,2413,Lamontray Harris Defensive Rebound.,14,21
7:48,2413,Trell Thompson missed Jumper.,14,21
7:48,288,Eli Pepper Defensive Rebound.,14,21
7:41,288,Garrison Mathews missed Jumper.,14,21
7:41,288,Rob Marberry Offensive Rebound.,14,21
7:40,2413,Foul on Trell Thompson.,14,21
7:40,288,Official TV Timeout,14,21
7:40,288,Rob Marberry missed Free Throw.,14,21
7:40,288,Lipscomb Deadball Team Rebound.,14,21
7:40,288,Rob Marberry made Free Throw.,14,22
7:26,2413,Malek Green made Layup. Assisted by Jordan Walker.,16,22
7:14,288,Garrison Mathews missed Three Point Jumper.,16,22
7:14,288,Eli Pepper Offensive Rebound.,16,22
7:07,288,Eli Pepper made Two Point Tip Shot.,16,24
6:56,2413,Jordan Walker missed Jumper.,16,24
6:56,288,Eli Pepper Defensive Rebound.,16,24
6:46,288,Eli Pepper missed Three Point Jumper.,16,24
6:46,2413,Djimon Henson Defensive Rebound.,16,24
6:39,2413,Djimon Henson Turnover.,16,24
6:27,2413,Foul on De'Von Cooper.,16,24
6:27,288,Eli Pepper missed Free Throw.,16,24
6:27,288,Lipscomb Deadball Team Rebound.,16,24
6:27,288,Eli Pepper made Free Throw.,16,25
6:10,2413,Djimon Henson missed Three Point Jumper.,16,25
6:10,288,Greg Jones Defensive Rebound.,16,25
6:03,288,Greg Jones missed Layup.,16,25
6:03,2413,De'Von Cooper Block.,16,25
6:01,288,Rob Marberry Offensive Rebound.,16,25
5:59,288,Rob Marberry missed Layup.,16,25
5:59,288,Rob Marberry Offensive Rebound.,16,25
5:55,288,Greg Jones missed Three Point Jumper.,16,25
5:55,2413,Malek Green Defensive Rebound.,16,25
5:42,2413,De'Von Cooper missed Three Point Jumper.,16,25
5:42,288,Garrison Mathews Defensive Rebound.,16,25
5:41,2413,Foul on Djimon Henson.,16,25
5:41,288,Garrison Mathews made Free Throw.,16,26
5:41,288,Garrison Mathews made Free Throw.,16,27
5:41,2413,Morehead State  Timeout,16,27
5:30,2413,Trell Thompson made Three Point Jumper. Assisted by Adrian Hicks.,19,27
5:21,288,Eli Pepper Turnover.,19,27
5:01,2413,Malek Green Turnover.,19,27
4:59,288,Aaron Korn Steal.,19,27
4:36,288,Greg Jones missed Layup.,19,27
4:36,288,Andrew Fleming Offensive Rebound.,19,27
4:31,288,Andrew Fleming missed Three Point Jumper.,19,27
4:31,2413,Adrian Hicks Defensive Rebound.,19,27
4:13,2413,Trell Thompson missed Three Point Jumper.,19,27
4:13,2413,Lamontray Harris Offensive Rebound.,19,27
4:08,288,Foul on George Brammeier.,19,27
4:08,2413,Lamontray Harris made Free Throw.,20,27
4:08,2413,Lamontray Harris missed Free Throw.,20,27
4:08,288,Rob Marberry Defensive Rebound.,20,27
3:51,288,Rob Marberry Turnover.,20,27
3:34,2413,De'Von Cooper missed Three Point Jumper.,20,27
3:34,2413,Lamontray Harris Offensive Rebound.,20,27
3:32,288,Foul on Rob Marberry.,20,27
3:32,288,Official TV Timeout,20,27
3:32,2413,Alonzo Chatman made Free Throw.,21,27
3:32,2413,Alonzo Chatman made Free Throw.,22,27
3:11,288,Garrison Mathews made Three Point Jumper. Assisted by Michael Buckland.,22,30
2:49,2413,De'Von Cooper made Layup. Assisted by Jordan Walker.,24,30
2:26,288,Michael Buckland missed Three Point Jumper.,24,30
2:26,2413,Trell Thompson Defensive Rebound.,24,30
2:03,2413,Foul on Lamontray Harris.,24,30
2:03,2413,Lamontray Harris Turnover.,24,30
1:51,288,Matt Rose missed Three Point Jumper.,24,30
1:51,288,Rob Marberry Offensive Rebound.,24,30
1:49,2413,Foul on Alonzo Chatman.,24,30
1:49,288,Rob Marberry made Free Throw.,24,31
1:49,288,Rob Marberry made Free Throw.,24,32
1:22,2413,De'Von Cooper made Layup.,26,32
1:03,288,Garrison Mathews made Layup.,26,34
0:48,2413,James Baker Turnover.,26,34
0:47,288,Michael Buckland Steal.,26,34
0:43,288,Michael Buckland missed Dunk.,26,34
0:43,288,Michael Buckland Offensive Rebound.,26,34
0:40,288,Michael Buckland missed Layup.,26,34
0:40,288,Lipscomb Offensive Rebound.,26,34
0:38,288,Michael Buckland Turnover.,26,34
0:13,2413,Jordan Walker missed Jumper.,26,34
0:13,288,Michael Buckland Block.,26,34
0:12,2413,Malek Green Offensive Rebound.,26,34
0:08,2413,Malek Green made Layup.,28,34
0:02,288,Garrison Mathews Turnover.,28,34
0:00,288,End of 1st half,28,34
19:50,288,Foul on Eli Pepper.,28,34
19:50,288,Eli Pepper Turnover.,28,34
19:37,288,Foul on Garrison Mathews.,28,34
19:19,2413,Adrian Hicks made Layup.,30,34
18:59,288,Rob Marberry made Layup. Assisted by Michael Buckland.,30,36
18:43,2413,Djimon Henson missed Three Point Jumper.,30,36
18:43,2413,Lamontray Harris Offensive Rebound.,30,36
18:37,288,Foul on Matt Rose.,30,36
18:37,2413,Lamontray Harris made Free Throw.,31,36
18:37,2413,Lamontray Harris made Free Throw.,32,36
18:22,288,Matt Rose missed Jumper.,32,36
18:22,2413,Djimon Henson Defensive Rebound.,32,36
18:09,288,Foul on Michael Buckland.,32,36
17:53,2413,Djimon Henson missed Jumper.,32,36
17:53,288,Rob Marberry Block.,32,36
17:51,288,Eli Pepper Defensive Rebound.,32,36
17:45,288,Garrison Mathews missed Three Point Jumper.,32,36
17:45,288,Rob Marberry Offensive Rebound.,32,36
17:38,288,Michael Buckland Turnover.,32,36
17:38,288,Lipscomb  Timeout,32,36
17:38,288,Official TV Timeout,32,36
17:23,2413,Jordan Walker made Jumper. Assisted by Adrian Hicks.,34,36
17:10,288,Eli Pepper missed Jumper.,34,36
17:10,288,Eli Pepper Offensive Rebound.,34,36
17:01,288,Eli Pepper made Layup.,34,38
16:46,2413,Adrian Hicks missed Layup.,34,38
16:46,288,Rob Marberry Block.,34,38
16:44,2413,Adrian Hicks Offensive Rebound.,34,38
16:43,2413,Foul on James Baker.,34,38
16:43,2413,James Baker Turnover.,34,38
16:30,288,Rob Marberry made Layup. Assisted by Eli Pepper.,34,40
16:10,2413,Jordan Walker Turnover.,34,40
15:54,288,Eli Pepper Turnover.,34,40
15:53,2413,Malek Green Steal.,34,40
15:37,2413,Jordan Walker made Layup. Assisted by Lamontray Harris.,36,40
15:27,288,Foul on Garrison Mathews.,36,40
15:27,288,Garrison Mathews Turnover.,36,40
15:27,288,Official TV Timeout,36,40
15:07,2413,Lamontray Harris missed Layup.,36,40
15:07,288,Eli Pepper Defensive Rebound.,36,40
15:04,2413,Foul on Lamontray Harris.,36,40
14:58,288,Foul on Michael Buckland.,36,40
14:58,288,Michael Buckland Turnover.,36,40
14:48,2413,James Baker made Three Point Jumper.,39,40
14:28,288,Andrew Fleming made Layup.,39,42
14:28,288,Andrew Fleming made Free Throw.,39,43
14:27,2413,Foul on Malek Green.,39,43
14:16,2413,Adrian Hicks Turnover.,39,43
14:13,2413,Foul on Adrian Hicks.,39,43
14:13,288,Garrison Mathews made Free Throw.,39,44
14:13,288,Garrison Mathews missed Free Throw.,39,44
14:13,288,Lipscomb Deadball Team Rebound.,39,44
14:03,2413,Alonzo Chatman made Layup.,41,44
13:54,2413,Foul on Alonzo Chatman.,41,44
13:54,288,Andrew Fleming made Free Throw.,41,45
13:54,288,Andrew Fleming missed Free Throw.,41,45
13:54,2413,James Baker Defensive Rebound.,41,45
13:14,2413,Djimon Henson made Three Point Jumper.,44,45
13:02,288,Greg Jones missed Jumper.,44,45
13:02,2413,Djimon Henson Defensive Rebound.,44,45
12:53,2413,Djimon Henson missed Jumper.,44,45
12:53,288,Rob Marberry Defensive Rebound.,44,45
12:40,2413,Foul on Jordan Walker.,44,45
12:40,288,Garrison Mathews missed Free Throw.,44,45
12:40,288,Lipscomb Deadball Team Rebound.,44,45
12:40,288,Garrison Mathews made Free Throw.,44,46
12:40,288,Garrison Mathews missed Free Throw.,44,46
12:40,2413,Alonzo Chatman Defensive Rebound.,44,46
12:21,2413,James Baker Turnover.,44,46
11:59,288,Andrew Fleming made Layup.,44,48
11:40,2413,Alonzo Chatman made Layup. Assisted by De'Von Cooper.,46,48
11:20,288,Garrison Mathews Turnover.,46,48
11:18,2413,Djimon Henson Steal.,46,48
11:15,2413,De'Von Cooper made Layup. Assisted by Djimon Henson.,48,48
10:57,288,Eli Pepper made Layup. Assisted by Greg Jones.,48,50
10:57,2413,Foul on James Baker.,48,50
10:57,288,Official TV Timeout,48,50
10:57,288,Eli Pepper missed Free Throw.,48,50
10:57,2413,Alonzo Chatman Defensive Rebound.,48,50
10:41,2413,Jordan Walker missed Jumper.,48,50
10:41,288,Greg Jones Defensive Rebound.,48,50
10:28,288,Foul on Eli Pepper.,48,50
10:28,288,Eli Pepper Turnover.,48,50
10:09,288,Foul on Matt Rose.,48,50
10:09,2413,Alonzo Chatman missed Free Throw.,48,50
10:09,2413,Malek Green Offensive Rebound.,48,50
10:02,2413,Malek Green missed Jumper.,48,50
10:02,288,Michael Buckland Defensive Rebound.,48,50
9:53,288,Matt Rose made Three Point Jumper. Assisted by Michael Buckland.,48,53
9:22,2413,De'Von Cooper missed Layup.,48,53
9:22,288,Lipscomb Defensive Rebound.,48,53
9:09,288,Matt Rose missed Three Point Jumper.,48,53
9:09,288,Rob Marberry Offensive Rebound.,48,53
9:05,2413,Foul on Alonzo Chatman.,48,53
9:05,288,Rob Marberry made Free Throw.,48,54
9:05,288,Rob Marberry made Free Throw.,48,55
8:39,288,Foul on Garrison Mathews.,48,55
8:39,2413,De'Von Cooper made Free Throw.,49,55
8:39,2413,De'Von Cooper made Free Throw.,50,55
8:26,288,Garrison Mathews missed Three Point Jumper.,50,55
8:26,2413,Malek Green Defensive Rebound.,50,55
7:52,288,Foul on Matt Rose.,50,55
7:52,288,Official TV Timeout,50,55
7:52,2413,Jordan Walker made Free Throw.,51,55
7:52,2413,Jordan Walker made Free Throw.,52,55
7:52,2413,Jordan Walker made Free Throw.,53,55
7:43,288,Rob Marberry made Jumper. Assisted by Matt Rose.,53,57
7:43,2413,Foul on Malek Green.,53,57
7:43,288,Rob Marberry made Free Throw.,53,58
7:37,2413,Lamontray Harris Turnover.,53,58
7:21,288,Matt Rose made Layup. Assisted by Michael Buckland.,53,60
7:03,288,Foul on Eli Pepper.,53,60
7:03,2413,Lamontray Harris made Free Throw.,54,60
7:03,2413,Lamontray Harris made Free Throw.,55,60
6:50,288,Garrison Mathews Turnover.,55,60
6:49,2413,Lamontray Harris Steal.,55,60
6:29,2413,Adrian Hicks missed Layup.,55,60
6:29,288,Rob Marberry Defensive Rebound.,55,60
6:21,288,Aaron Korn missed Three Point Jumper.,55,60
6:21,2413,Adrian Hicks Defensive Rebound.,55,60
6:01,2413,Adrian Hicks missed Layup.,55,60
6:01,288,Rob Marberry Block.,55,60
6:01,2413,Morehead State Offensive Rebound.,55,60
5:56,2413,Foul on Lamontray Harris.,55,60
5:56,2413,Lamontray Harris Turnover.,55,60
5:46,2413,Foul on Alonzo Chatman.,55,60
5:43,288,Rob Marberry made Free Throw.,55,61
5:43,288,Rob Marberry made Free Throw.,55,62
5:21,2413,Jordan Walker missed Layup.,55,62
5:21,288,Michael Buckland Block.,55,62
5:19,2413,Malek Green Offensive Rebound.,55,62
5:17,2413,Malek Green made Layup.,57,62
5:13,288,Eli Pepper made Three Point Jumper. Assisted by Andrew Fleming.,57,65
4:50,2413,James Baker Turnover.,57,65
4:49,288,Andrew Fleming Steal.,57,65
4:36,288,Foul on Andrew Fleming.,57,65
4:36,288,Andrew Fleming Turnover.,57,65
4:07,2413,Jordan Walker Turnover.,57,65
3:52,288,Rob Marberry made Layup. Assisted by Eli Pepper.,57,67
3:30,288,Foul on Eli Pepper.,57,67
3:30,288,Official TV Timeout,57,67
3:30,2413,Jordan Walker made Free Throw.,58,67
3:30,2413,Jordan Walker made Free Throw.,59,67
3:18,288,Rob Marberry missed Jumper.,59,67
3:18,288,Rob Marberry Offensive Rebound.,59,67
3:16,288,Rob Marberry missed Jumper.,59,67
3:16,288,Lipscomb Offensive Rebound.,59,67
3:08,288,Matt Rose missed Layup.,59,67
3:08,2413,Lamontray Harris Defensive Rebound.,59,67
2:57,2413,Adrian Hicks missed Jumper.,59,67
2:57,2413,Adrian Hicks Offensive Rebound.,59,67
2:51,2413,Lamontray Harris missed Jumper.,59,67
2:51,2413,Adrian Hicks Offensive Rebound.,59,67
2:50,288,Foul on Rob Marberry.,59,67
2:50,2413,Adrian Hicks made Free Throw.,60,67
2:50,2413,Adrian Hicks missed Free Throw.,60,67
2:50,288,Rob Marberry Defensive Rebound.,60,67
2:37,288,Matt Rose Turnover.,60,67
2:21,2413,Lamontray Harris made Layup.,62,67
2:10,288,Michael Buckland Turnover.,62,67
2:09,2413,Adrian Hicks Steal.,62,67
2:07,288,Foul on Garrison Mathews.,62,67
2:07,2413,Adrian Hicks made Free Throw.,63,67
2:07,2413,Adrian Hicks made Free Throw.,64,67
1:46,288,Rob Marberry made Dunk. Assisted by Andrew Fleming.,64,69
1:17,2413,Malek Green made Dunk. Assisted by Jordan Walker.,66,69
0:59,2413,Foul on Jordan Walker.,66,69
0:59,288,Garrison Mathews made Free Throw.,66,70
0:59,288,Garrison Mathews made Free Throw.,66,71
0:55,2413,Morehead State  Timeout,66,71
0:45,288,Foul on Andrew Fleming.,66,71
0:45,2413,Jordan Walker made Free Throw.,67,71
0:45,2413,Jordan Walker made Free Throw.,68,71
0:31,2413,Foul on Djimon Henson.,68,71
0:31,288,Andrew Fleming made Free Throw.,68,72
0:31,288,Andrew Fleming made Free Throw.,68,73
0:19,2413,Jordan Walker missed Three Point Jumper.,68,73
0:19,288,Michael Buckland Defensive Rebound.,68,73
0:15,2413,Foul on Malek Green.,68,73
0:15,2413,Morehead State  Timeout,68,73
0:15,288,Michael Buckland made Free Throw.,68,74
0:15,288,Michael Buckland made Free Throw.,68,75
0:08,2413,Jordan Walker made Layup.,70,75
0:06,2413,Morehead State  Timeout,70,75
0:06,2413,Foul on Adrian Hicks.,70,75
0:06,288,Michael Buckland made Free Throw.,70,76
0:06,288,Michael Buckland made Free Throw.,70,77
0:00,2413,Adrian Hicks missed Three Point Jumper.,70,77
0:00,2413,Adrian Hicks Offensive Rebound.,70,77
0:00,288,End of Game,70,77
