North Carolina A&amp;T,228,Clemson,2448
14:52,228,Marcquise Reed made Three Point Jumper. Assisted by Elijah Thomas.,36,56
14:33,2448,Milik Gantz made Layup.,38,56
14:25,228,Gabe DeVoe missed Three Point Jumper.,38,56
14:25,2448,Kameron Langley Defensive Rebound.,38,56
14:18,228,Foul on Gabe DeVoe.,38,56
14:18,2448,Milik Gantz missed Free Throw.,38,56
14:18,2448,North Carolina A&T Deadball Team Rebound.,38,56
14:18,2448,Milik Gantz made Free Throw.,39,56
14:03,228,Clemson  Timeout,39,56
13:56,228,Marcquise Reed made Jumper.,39,58
13:35,228,Foul on Elijah Thomas.,39,58
13:35,2448,Femi Olujobi missed Free Throw.,39,58
13:35,2448,North Carolina A&T Deadball Team Rebound.,39,58
13:35,2448,Femi Olujobi made Free Throw.,40,58
13:20,228,Marcquise Reed missed Jumper.,40,58
13:20,2448,Japhet Kadji Defensive Rebound.,40,58
12:59,2448,Femi Olujobi made Jumper.,42,58
12:51,2448,Foul on Femi Olujobi.,42,58
12:51,228,Shelton Mitchell made Free Throw.,42,59
12:51,228,Shelton Mitchell made Free Throw.,42,60
12:36,2448,Femi Olujobi missed Layup.,42,60
12:36,228,Gabe DeVoe Block.,42,60
12:33,228,Donte Grantham Defensive Rebound.,42,60
12:25,228,Mark Donnal made Layup. Assisted by Shelton Mitchell.,42,62
12:02,2448,Japhet Kadji missed Layup.,42,62
12:02,228,Donte Grantham Defensive Rebound.,42,62
12:01,2448,Foul on Kameron Langley.,42,62
11:41,228,Shelton Mitchell missed Three Point Jumper.,42,62
11:41,2448,Femi Olujobi Defensive Rebound.,42,62
11:19,2448,Femi Olujobi missed Layup.,42,62
11:19,228,Donte Grantham Block.,42,62
11:18,2448,Femi Olujobi Offensive Rebound.,42,62
11:15,228,Foul on Mark Donnal.,42,62
11:15,228,Official TV Timeout,42,62
11:15,2448,Femi Olujobi made Free Throw.,43,62
11:15,2448,Femi Olujobi made Free Throw.,44,62
10:51,228,Shelton Mitchell Turnover.,44,62
10:50,2448,Devonte Boykins Steal.,44,62
10:46,2448,Kwei Lartey missed Three Point Jumper.,44,62
10:46,228,Gabe DeVoe Defensive Rebound.,44,62
10:29,228,Mark Donnal missed Three Point Jumper.,44,62
10:29,228,Gabe DeVoe Offensive Rebound.,44,62
10:26,228,Gabe DeVoe missed Two Point Tip Shot.,44,62
10:26,228,Gabe DeVoe Offensive Rebound.,44,62
10:25,228,Gabe DeVoe made Two Point Tip Shot.,44,64
10:04,2448,Kwei Lartey made Three Point Jumper. Assisted by Devonte Boykins.,47,64
9:50,228,Mark Donnal made Layup. Assisted by Shelton Mitchell.,47,66
9:21,2448,Milik Gantz missed Layup.,47,66
9:21,2448,Denzel Keyes Offensive Rebound.,47,66
9:07,228,Aamir Simms made Layup. Assisted by Gabe DeVoe.,47,68
8:51,2448,Denzel Keyes missed Jumper.,47,68
8:51,228,Gabe DeVoe Defensive Rebound.,47,68
8:40,228,Aamir Simms Turnover.,47,68
8:40,228,Foul on Aamir Simms.,47,68
8:11,2448,Devonte Boykins made Three Point Jumper.,50,68
7:51,2448,Foul on Denzel Keyes.,50,68
7:51,228,Official TV Timeout,50,68
7:51,228,Marcquise Reed made Free Throw.,50,69
7:51,228,Marcquise Reed made Free Throw.,50,70
7:40,2448,Devonte Boykins Turnover.,50,70
7:24,228,Shelton Mitchell made Three Point Jumper. Assisted by Marcquise Reed.,50,73
6:57,2448,Donte Watson missed Three Point Jumper.,50,73
6:57,228,Marcquise Reed Defensive Rebound.,50,73
6:51,228,Marcquise Reed made Layup.,50,75
6:47,228,Foul on Gabe DeVoe.,50,75
6:30,2448,Devonte Boykins missed Three Point Jumper.,50,75
6:30,228,Gabe DeVoe Defensive Rebound.,50,75
6:25,228,Donte Grantham made Layup. Assisted by Gabe DeVoe.,50,77
6:10,2448,Japhet Kadji missed Jumper.,50,77
6:10,228,Marcquise Reed Defensive Rebound.,50,77
5:43,2448,Foul on Milik Gantz.,50,77
5:43,228,Shelton Mitchell missed Free Throw.,50,77
5:43,228,Clemson Deadball Team Rebound.,50,77
5:43,228,Shelton Mitchell missed Free Throw.,50,77
5:43,2448,Femi Olujobi Defensive Rebound.,50,77
5:25,2448,Donte Watson missed Jumper.,50,77
5:25,228,Marcquise Reed Defensive Rebound.,50,77
5:12,228,Donte Grantham made Dunk. Assisted by Gabe DeVoe.,50,79
4:50,2448,Donte Watson made Layup.,52,79
4:30,228,Elijah Thomas missed Jumper.,52,79
4:30,228,Gabe DeVoe Offensive Rebound.,52,79
4:21,228,Donte Grantham Turnover.,52,79
4:20,2448,Kwei Lartey Steal.,52,79
4:15,228,Foul on Donte Grantham.,52,79
4:15,2448,Donte Watson missed Free Throw.,52,79
4:15,2448,North Carolina A&T Deadball Team Rebound.,52,79
4:15,2448,Donte Watson missed Free Throw.,52,79
4:15,228,Elijah Thomas Defensive Rebound.,52,79
4:04,228,Gabe DeVoe missed Three Point Jumper.,52,79
4:04,2448,Kwei Lartey Defensive Rebound.,52,79
3:54,228,Foul on Clyde Trapp.,52,79
3:54,228,Official TV Timeout,52,79
3:54,2448,Kameron Langley missed Free Throw.,52,79
3:54,2448,North Carolina A&T Deadball Team Rebound.,52,79
3:54,2448,Kameron Langley missed Free Throw.,52,79
3:54,228,Donte Grantham Defensive Rebound.,52,79
3:28,228,Clyde Trapp Turnover.,52,79
3:28,228,Foul on Clyde Trapp.,52,79
3:12,2448,Denzel Keyes missed Three Point Jumper.,52,79
3:12,228,Elijah Thomas Defensive Rebound.,52,79
2:50,228,Elijah Thomas made Layup. Assisted by Anthony Oliver II.,52,81
2:36,2448,Devonte Boykins made Three Point Jumper. Assisted by Kwei Lartey.,55,81
2:19,228,Clyde Trapp made Layup.,55,83
2:04,2448,Denzel Keyes made Layup. Assisted by Kwei Lartey.,57,83
1:58,228,Clemson  Timeout,57,83
1:54,228,Mark Donnal Turnover.,57,83
1:52,2448,Kameron Langley Steal.,57,83
1:49,2448,Kameron Langley made Layup.,59,83
1:30,228,Malik William made Layup. Assisted by Clyde Trapp.,59,85
1:14,228,Foul on Mark Donnal.,59,85
1:13,2448,Femi Olujobi made Free Throw.,60,85
1:13,2448,Femi Olujobi made Free Throw.,61,85
1:04,228,Mark Donnal missed Jumper.,61,85
1:04,228,Malik William Offensive Rebound.,61,85
1:00,2448,Foul on Kameron Langley.,61,85
1:00,228,Malik William missed Free Throw.,61,85
1:00,228,Clemson Deadball Team Rebound.,61,85
1:00,228,Malik William made Free Throw.,61,86
0:47,2448,D'Andre Johnson made Jumper.,63,86
0:32,228,Anthony Oliver II missed Jumper.,63,86
0:32,2448,North Carolina A&T Defensive Rebound.,63,86
0:20,2448,D'Andre Johnson missed Three Point Jumper.,63,86
0:20,228,Clyde Trapp Defensive Rebound.,63,86
0:15,2448,Foul on D'Andre Johnson.,63,86
0:15,228,Clyde Trapp made Free Throw.,63,87
0:15,228,Clyde Trapp missed Free Throw.,63,87
0:15,2448,D'Andre Johnson Defensive Rebound.,63,87
0:09,2448,Milik Gantz missed Jumper.,63,87
0:09,228,Malik William Block.,63,87
0:08,228,Malik William Defensive Rebound.,63,87
0:00,228,End of Game,63,87
