Texas State,2005,Air Force,326
14:17,2005,CJ Siples made Layup. Assisted by Trevor Lyons.,8,13
14:01,326,Nedeljko Prijovic made Layup.,10,13
13:43,2005,Lavelle Scottie missed Jumper.,10,13
13:43,326,Nedeljko Prijovic Defensive Rebound.,10,13
13:28,326,Tre'Larenz Nottingham missed Three Point Jumper.,10,13
13:28,2005,CJ Siples Defensive Rebound.,10,13
13:07,2005,Lavelle Scottie missed Jumper.,10,13
13:07,2005,Ryan Manning Offensive Rebound.,10,13
13:03,2005,Ryan Manning made Dunk.,10,15
12:35,326,Nedeljko Prijovic made Jumper. Assisted by Marlin Davis.,12,15
12:10,2005,Lavelle Scottie missed Three Point Jumper.,12,15
12:10,326,Nedeljko Prijovic Defensive Rebound.,12,15
12:02,326,Texas State  Timeout,12,15
12:02,2005,Official TV Timeout,12,15
11:50,326,Reggie Miller missed Layup.,12,15
11:50,2005,Ryan Manning Defensive Rebound.,12,15
11:29,2005,Dane Norman missed Three Point Jumper.,12,15
11:29,326,Tre'Larenz Nottingham Defensive Rebound.,12,15
10:55,326,Texas State  Turnover.,12,15
10:42,2005,Jonathan DeWane missed Layup.,12,15
10:42,326,Nijal Pearson Defensive Rebound.,12,15
10:28,326,Tre'Larenz Nottingham Turnover.,12,15
10:26,2005,CJ Siples Steal.,12,15
10:25,2005,Foul on CJ Siples.,12,15
10:25,2005,CJ Siples Turnover.,12,15
10:08,326,Alex Peacock Turnover.,12,15
10:07,2005,Jacob Van Steal.,12,15
9:42,2005,Ryan Manning missed Three Point Jumper.,12,15
9:42,326,Nijal Pearson Defensive Rebound.,12,15
9:30,326,Nijal Pearson made Jumper.,14,15
9:07,2005,Dane Norman Turnover.,14,15
9:05,326,Alex Peacock Steal.,14,15
9:03,326,Alex Peacock Turnover.,14,15
8:54,2005,Trevor Lyons made Layup. Assisted by Jacob Van.,14,17
8:40,326,Shelby Adams missed Jumper.,14,17
8:40,2005,Dane Norman Defensive Rebound.,14,17
8:26,2005,Jacob Van missed Jumper.,14,17
8:26,326,Alex Peacock Defensive Rebound.,14,17
8:02,326,Marlin Davis made Three Point Jumper. Assisted by Eric Terry.,17,17
7:25,2005,Jacob Van missed Three Point Jumper.,17,17
7:25,2005,Ryan Swan Offensive Rebound.,17,17
7:20,2005,Ryan Swan missed Jumper.,17,17
7:20,326,Deris Duncan Defensive Rebound.,17,17
7:20,2005,Foul on Ryan Swan.,17,17
7:20,2005,Official TV Timeout,17,17
7:08,326,Deris Duncan Turnover.,17,17
7:06,2005,Lavelle Scottie Steal.,17,17
7:04,2005,Trevor Lyons missed Jumper.,17,17
7:04,2005,Lavelle Scottie Offensive Rebound.,17,17
7:01,2005,Lavelle Scottie made Layup.,17,19
6:49,326,Eric Terry Turnover.,17,19
6:36,2005,Ryan Swan Turnover.,17,19
6:09,326,Marlin Davis missed Jumper.,17,19
6:09,326,Immanuel King Offensive Rebound.,17,19
6:07,2005,Foul on Lavelle Scottie.,17,19
6:07,326,Immanuel King made Free Throw.,18,19
6:07,326,Immanuel King made Free Throw.,19,19
5:53,2005,Dane Norman missed Jumper.,19,19
5:53,326,Nijal Pearson Block.,19,19
5:51,326,Immanuel King Defensive Rebound.,19,19
5:36,326,Tre'Larenz Nottingham Turnover.,19,19
5:35,2005,Ryan Manning Steal.,19,19
5:31,2005,Ryan Swan made Layup. Assisted by Ryan Manning.,19,21
5:16,326,Nijal Pearson missed Jumper.,19,21
5:16,326,Nijal Pearson Offensive Rebound.,19,21
5:13,326,Nijal Pearson missed Jumper.,19,21
5:13,2005,Ryan Manning Defensive Rebound.,19,21
5:09,2005,Air Force  Timeout,19,21
4:56,2005,Ryan Manning missed Three Point Jumper.,19,21
4:56,326,Nedeljko Prijovic Defensive Rebound.,19,21
4:52,2005,Foul on Dane Norman.,19,21
4:29,2005,Foul on Trevor Lyons.,19,21
4:12,326,Nijal Pearson made Jumper.,21,21
4:12,2005,Foul on CJ Siples.,21,21
4:12,326,Nijal Pearson made Free Throw.,22,21
3:59,2005,Foul on Ryan Manning.,22,21
3:59,2005,Ryan Manning Turnover.,22,21
3:59,2005,Official TV Timeout,22,21
3:49,2005,Foul on Ryan Manning.,22,21
3:49,326,Nedeljko Prijovic missed Free Throw.,22,21
3:49,2005,Ryan Swan Defensive Rebound.,22,21
3:39,2005,Sid Tomes missed Layup.,22,21
3:39,2005,Sid Tomes Offensive Rebound.,22,21
3:25,2005,Ryan Swan missed Jumper.,22,21
3:25,326,Immanuel King Block.,22,21
3:23,2005,Ryan Swan Offensive Rebound.,22,21
3:20,2005,Ryan Swan missed Jumper.,22,21
3:20,2005,Dane Norman Offensive Rebound.,22,21
3:18,2005,Dane Norman made Layup.,22,23
3:00,326,Marlin Davis missed Layup.,22,23
3:00,2005,Pervis Louder Defensive Rebound.,22,23
2:53,2005,Trevor Lyons made Three Point Jumper. Assisted by Pervis Louder.,22,26
2:29,326,Nedeljko Prijovic made Jumper.,24,26
2:19,2005,Pervis Louder missed Layup.,24,26
2:19,326,Tre'Larenz Nottingham Defensive Rebound.,24,26
2:12,326,Foul on Marlin Davis.,24,26
2:12,326,Marlin Davis Turnover.,24,26
1:58,2005,Ryan Swan made Jumper. Assisted by Pervis Louder.,24,28
1:30,326,Foul on Tre'Larenz Nottingham.,24,28
1:30,326,Tre'Larenz Nottingham Turnover.,24,28
1:20,2005,Ryan Swan made Three Point Jumper. Assisted by Pervis Louder.,24,31
0:53,326,Nijal Pearson missed Jumper.,24,31
0:53,2005,Ryan Swan Block.,24,31
0:52,2005,Trevor Lyons Defensive Rebound.,24,31
0:44,2005,Sid Tomes missed Three Point Jumper.,24,31
0:44,2005,Dane Norman Offensive Rebound.,24,31
0:41,2005,Dane Norman made Dunk.,24,33
0:31,326,Tre'Larenz Nottingham Turnover.,24,33
0:29,2005,Pervis Louder Steal.,24,33
0:06,2005,Sid Tomes missed Three Point Jumper.,24,33
0:06,326,Nijal Pearson Defensive Rebound.,24,33
0:00,326,Nijal Pearson Turnover.,24,33
0:00,2005,Trevor Lyons Steal.,24,33
0:00,2005,End of 1st half,24,33
19:32,326,Tyler Blount made Three Point Jumper. Assisted by Marlin Davis.,27,33
19:04,2005,Lavelle Scottie missed Three Point Jumper.,27,33
19:04,2005,Ryan Swan Offensive Rebound.,27,33
18:50,2005,Pervis Louder made Layup. Assisted by Trevor Lyons.,27,35
18:25,326,Nijal Pearson missed Three Point Jumper.,27,35
18:25,2005,Trevor Lyons Defensive Rebound.,27,35
18:03,2005,Lavelle Scottie made Three Point Jumper. Assisted by Trevor Lyons.,27,38
17:38,326,Nijal Pearson missed Jumper.,27,38
17:38,2005,Jacob Van Defensive Rebound.,27,38
17:19,2005,Ryan Swan missed Jumper.,27,38
17:19,326,Nijal Pearson Defensive Rebound.,27,38
17:01,326,Tyler Blount made Jumper.,29,38
16:47,2005,Pervis Louder missed Jumper.,29,38
16:47,326,Alex Peacock Defensive Rebound.,29,38
16:24,326,Tyler Blount missed Three Point Jumper.,29,38
16:24,2005,Trevor Lyons Defensive Rebound.,29,38
16:17,326,Foul on Tyler Blount.,29,38
16:17,2005,Trevor Lyons made Free Throw.,29,39
16:17,2005,Lavelle Scottie Turnover.,29,39
15:55,2005,Foul on Frank Toohey.,29,39
15:55,2005,Official TV Timeout,29,39
15:36,326,Alex Peacock missed Three Point Jumper.,29,39
15:36,2005,Pervis Louder Defensive Rebound.,29,39
15:25,326,Foul on Alex Peacock.,29,39
15:25,2005,Pervis Louder made Free Throw.,29,40
15:25,2005,Pervis Louder made Free Throw.,29,41
15:01,326,Marlin Davis made Jumper.,31,41
14:34,2005,CJ Siples made Jumper.,31,43
14:19,326,Nijal Pearson missed Three Point Jumper.,31,43
14:19,2005,Air Force Defensive Rebound.,31,43
14:06,2005,Pervis Louder Turnover.,31,43
13:37,326,Nijal Pearson made Jumper.,33,43
13:16,2005,Frank Toohey missed Jumper.,33,43
13:16,326,Alex Peacock Defensive Rebound.,33,43
13:09,326,Nijal Pearson missed Jumper.,33,43
13:09,2005,Ryan Manning Block.,33,43
13:07,2005,Lavelle Scottie Defensive Rebound.,33,43
12:59,2005,Ryan Manning missed Three Point Jumper.,33,43
12:59,326,Alex Peacock Defensive Rebound.,33,43
12:38,2005,Foul on Pervis Louder.,33,43
12:35,326,Foul on Eric Terry.,33,43
12:35,326,Eric Terry Turnover.,33,43
12:21,2005,Ryan Manning Turnover.,33,43
12:20,326,Eric Terry Steal.,33,43
12:02,2005,Foul on Frank Toohey.,33,43
12:00,2005,Official TV Timeout,33,43
11:44,326,Marlin Davis missed Jumper.,33,43
11:44,326,Eric Terry Offensive Rebound.,33,43
11:41,326,Eric Terry made Layup.,35,43
11:19,2005,Ryan Manning made Three Point Jumper. Assisted by Sid Tomes.,35,46
11:03,326,Eric Terry Turnover.,35,46
11:02,2005,CJ Siples Steal.,35,46
10:58,2005,Sid Tomes made Three Point Jumper. Assisted by CJ Siples.,35,49
10:45,2005,Foul on Ryan Swan.,35,49
10:28,2005,Foul on Dane Norman.,35,49
10:28,326,Alex Peacock made Free Throw.,36,49
10:28,326,Alex Peacock made Free Throw.,37,49
10:28,326,Alex Peacock missed Free Throw.,37,49
10:28,2005,Ryan Swan Defensive Rebound.,37,49
9:59,2005,Ryan Swan missed Layup.,37,49
9:59,326,Tre'Larenz Nottingham Defensive Rebound.,37,49
9:54,326,Tre'Larenz Nottingham made Layup.,39,49
9:54,2005,Foul on CJ Siples.,39,49
9:54,326,Tre'Larenz Nottingham missed Free Throw.,39,49
9:54,2005,Trevor Lyons Defensive Rebound.,39,49
9:31,2005,CJ Siples missed Layup.,39,49
9:31,326,Immanuel King Block.,39,49
9:29,326,Immanuel King Defensive Rebound.,39,49
9:01,326,Nijal Pearson Turnover.,39,49
8:58,2005,Pervis Louder Steal.,39,49
8:56,2005,Trevor Lyons made Layup. Assisted by Lavelle Scottie.,39,51
8:55,2005,Official TV Timeout,39,51
8:36,326,Alex Peacock made Jumper.,41,51
8:23,2005,Frank Toohey made Jumper.,41,53
8:23,326,Foul on Immanuel King.,41,53
8:23,2005,Frank Toohey made Free Throw.,41,54
8:02,2005,Foul on Lavelle Scottie.,41,54
8:02,326,Immanuel King missed Free Throw.,41,54
8:02,326,Texas State Deadball Team Rebound.,41,54
8:02,326,Immanuel King made Free Throw.,42,54
7:33,2005,Trevor Lyons made Layup.,42,56
7:19,326,Nijal Pearson missed Three Point Jumper.,42,56
7:19,326,Immanuel King Offensive Rebound.,42,56
7:17,2005,Foul on Frank Toohey.,42,56
7:17,2005,Official TV Timeout,42,56
7:17,326,Immanuel King made Free Throw.,43,56
7:17,326,Immanuel King made Free Throw.,44,56
6:54,2005,Lavelle Scottie missed Jumper.,44,56
6:54,2005,Pervis Louder Offensive Rebound.,44,56
6:49,2005,Pervis Louder missed Layup.,44,56
6:49,326,Nijal Pearson Defensive Rebound.,44,56
6:34,326,Nijal Pearson missed Three Point Jumper.,44,56
6:34,2005,Trevor Lyons Defensive Rebound.,44,56
6:14,326,Foul on Nijal Pearson.,44,56
6:14,2005,Frank Toohey made Free Throw.,44,57
6:14,2005,Frank Toohey made Free Throw.,44,58
5:55,326,Tre'Larenz Nottingham Turnover.,44,58
5:54,2005,Frank Toohey Steal.,44,58
5:48,2005,Pervis Louder made Layup.,44,60
5:40,326,Texas State  Timeout,44,60
5:24,2005,Foul on Frank Toohey.,44,60
5:24,326,Immanuel King made Free Throw.,45,60
5:24,326,Immanuel King made Free Throw.,46,60
4:55,2005,Trevor Lyons Turnover.,46,60
4:54,326,Reggie Miller Steal.,46,60
4:51,326,Tyler Blount made Layup. Assisted by Nijal Pearson.,48,60
4:18,2005,Pervis Louder made Three Point Jumper. Assisted by Lavelle Scottie.,48,63
3:54,326,Nijal Pearson missed Jumper.,48,63
3:54,326,Texas State Offensive Rebound.,48,63
3:52,2005,Official TV Timeout,48,63
3:52,326,Tyler Blount missed Jumper.,48,63
3:52,2005,Lavelle Scottie Defensive Rebound.,48,63
3:40,2005,Pervis Louder made Layup.,48,65
3:40,326,Foul on Immanuel King.,48,65
3:40,2005,Pervis Louder missed Free Throw.,48,65
3:40,326,Alex Peacock Defensive Rebound.,48,65
3:16,326,Shelby Adams made Layup. Assisted by Reggie Miller.,50,65
3:16,2005,Foul on Ryan Swan.,50,65
3:16,326,Shelby Adams made Free Throw.,51,65
3:11,2005,CJ Siples Turnover.,51,65
3:09,326,Shelby Adams Steal.,51,65
2:54,326,Quentin Scott missed Jumper.,51,65
2:54,326,Eric Terry Offensive Rebound.,51,65
2:51,326,Eric Terry made Layup.,53,65
2:34,2005,Foul on Pervis Louder.,53,65
2:34,2005,Pervis Louder Turnover.,53,65
2:34,2005,Air Force  Timeout,53,65
2:16,326,Reggie Miller missed Jumper.,53,65
2:16,2005,CJ Siples Defensive Rebound.,53,65
2:03,2005,Pervis Louder missed Three Point Jumper.,53,65
2:03,326,Eric Terry Defensive Rebound.,53,65
1:47,326,Deris Duncan made Three Point Jumper. Assisted by Eric Terry.,56,65
1:20,2005,Trevor Lyons missed Jumper.,56,65
1:20,326,Shelby Adams Defensive Rebound.,56,65
1:08,326,Shelby Adams Turnover.,56,65
1:08,2005,Ryan Swan Steal.,56,65
0:57,2005,Air Force  Turnover.,56,65
0:49,326,Foul on Eric Terry.,56,65
0:49,326,Eric Terry Turnover.,56,65
0:23,2005,Trevor Lyons missed Jumper.,56,65
0:23,326,Texas State Defensive Rebound.,56,65
0:05,326,Quentin Scott missed Jumper.,56,65
0:05,326,Quentin Scott Offensive Rebound.,56,65
0:02,2005,Foul on Pervis Louder.,56,65
0:02,326,Quentin Scott missed Free Throw.,56,65
0:02,326,Texas State Deadball Team Rebound.,56,65
0:02,326,Quentin Scott made Free Throw.,57,65
0:00,2005,End of Game,57,65
