Fairleigh Dickinson,213,Penn State,161
19:31,213,Lamar Stevens Defensive Rebound.,29,45
19:28,213,Mike Watkins made Dunk. Assisted by Tony Carr.,29,47
19:06,161,Kaleb Bishop missed Jumper.,29,47
19:06,213,Lamar Stevens Defensive Rebound.,29,47
18:57,213,Tony Carr made Three Point Jumper.,29,50
18:35,213,Foul on Josh Reaves.,29,50
18:29,161,Kaleb Bishop Turnover.,29,50
18:18,213,Josh Reaves made Dunk. Assisted by Mike Watkins.,29,52
17:59,161,Mike Holloway Jr. made Layup.,31,52
17:46,213,Mike Watkins made Dunk. Assisted by Josh Reaves.,31,54
17:46,161,Foul on Kaleb Bishop.,31,54
17:46,213,Mike Watkins missed Free Throw.,31,54
17:46,161,Elyjah Williams Defensive Rebound.,31,54
17:31,161,Jahlil Jenkins missed Three Point Jumper.,31,54
17:31,213,Josh Reaves Defensive Rebound.,31,54
17:29,161,Foul on Elyjah Williams.,31,54
17:17,213,Mike Watkins missed Jumper.,31,54
17:17,161,Mike Holloway Jr. Block.,31,54
17:16,161,Darnell Edge Defensive Rebound.,31,54
16:45,161,Darnell Edge missed Jumper.,31,54
16:45,213,Tony Carr Defensive Rebound.,31,54
16:36,213,Lamar Stevens Turnover.,31,54
16:35,161,Elyjah Williams Steal.,31,54
16:25,161,Elyjah Williams made Jumper.,33,54
15:58,213,Lamar Stevens missed Jumper.,33,54
15:58,161,Noah Morgan Defensive Rebound.,33,54
15:54,213,Foul on Shep Garner.,33,54
15:54,213,Official TV Timeout,33,54
15:32,161,Noah Morgan Turnover.,33,54
15:15,213,Tony Carr missed Layup.,33,54
15:15,161,Jahlil Jenkins Defensive Rebound.,33,54
15:11,161,Jahlil Jenkins Turnover.,33,54
15:10,213,Josh Reaves Steal.,33,54
15:02,213,Josh Reaves missed Three Point Jumper.,33,54
15:02,161,Jahlil Jenkins Defensive Rebound.,33,54
14:57,213,Foul on Josh Reaves.,33,54
14:43,161,Mike Holloway Jr. missed Jumper.,33,54
14:43,213,Tony Carr Defensive Rebound.,33,54
14:43,161,Foul on Kaleb Bishop.,33,54
14:28,213,Satchel Pierce missed Jumper.,33,54
14:28,213,Jamari Wheeler Offensive Rebound.,33,54
14:25,213,Jamari Wheeler missed Two Point Tip Shot.,33,54
14:25,161,Noah Morgan Defensive Rebound.,33,54
14:21,213,Nazeer Bostick Turnover.,33,54
14:12,213,Deividas Zemgulis missed Three Point Jumper.,33,54
14:12,161,Noah Morgan Defensive Rebound.,33,54
14:08,161,Noah Morgan Turnover.,33,54
14:06,213,Tony Carr Steal.,33,54
14:05,213,Satchel Pierce missed Dunk.,33,54
14:05,213,Satchel Pierce Offensive Rebound.,33,54
14:05,213,Satchel Pierce Turnover.,33,54
13:42,161,Jahlil Jenkins made Layup.,35,54
13:32,213,Nazeer Bostick made Layup.,35,56
13:13,161,Darnell Edge missed Jumper.,35,56
13:13,213,Jamari Wheeler Defensive Rebound.,35,56
12:58,213,Tony Carr missed Jumper.,35,56
12:58,213,Penn State Deadball Team Rebound.,35,56
12:57,161,Fairleigh Dickinson  Turnover.,35,56
12:31,161,Darnell Edge missed Jumper.,35,56
12:31,161,Mike Holloway Jr. Offensive Rebound.,35,56
12:28,161,Mike Holloway Jr. Turnover.,35,56
12:27,213,Deividas Zemgulis Steal.,35,56
12:25,213,Jamari Wheeler missed Layup.,35,56
12:25,161,Kaleb Bishop Block.,35,56
12:23,213,Deividas Zemgulis Offensive Rebound.,35,56
12:22,213,Deividas Zemgulis missed Jumper.,35,56
12:22,161,Kaleb Bishop Defensive Rebound.,35,56
12:16,161,Mike Holloway Jr. made Dunk. Assisted by Darnell Edge.,37,56
12:01,213,Official TV Timeout,37,56
12:01,213,Official TV Timeout,37,56
12:00,161,Foul on Pat McNamara.,37,56
11:48,213,Shep Garner missed Three Point Jumper.,37,56
11:48,161,Kaleb Bishop Defensive Rebound.,37,56
11:38,213,Technical Foul on Satchel Pierce.,37,56
11:38,213,Foul on Satchel Pierce.,37,56
11:38,161,Technical Foul on Kaleb Bishop.,37,56
11:38,161,Foul on Kaleb Bishop.,37,56
