Michigan-Dearborn,Error,Eastern Michigan,2199
9:48,-1,Cody Kegley missed Three Point Jumper.,56,74
9:48,2199,Isaiah Green Defensive Rebound.,56,74
9:37,2199,Kevin McAdoo missed Three Point Jumper.,56,74
9:37,-1,Jason Penn Defensive Rebound.,56,74
9:27,-1,Xavier Crofford missed Jumper.,56,74
9:27,2199,Paul Jackson Defensive Rebound.,56,74
9:17,2199,Paul Jackson missed Layup.,56,74
9:17,-1,Donovan Farrell Block.,56,74
9:15,-1,Xavier Crofford Defensive Rebound.,56,74
9:11,-1,Xavier Crofford Turnover.,56,74
9:10,2199,Paul Jackson Steal.,56,74
9:06,2199,Isaiah Green made Layup. Assisted by Kevin McAdoo.,56,76
8:41,-1,Gage Throgmorton missed Three Point Jumper.,56,76
8:41,2199,Eastern Michigan Defensive Rebound.,56,76
8:40,2199,Official TV Timeout,56,76
8:40,-1,Michigan-Dearborn  Timeout,56,76
8:28,2199,Malik Ellison Turnover.,56,76
8:27,-1,Gage Throgmorton Steal.,56,76
8:22,-1,Jason Penn made Layup. Assisted by Xavier Crofford.,58,76
8:01,2199,Malik Ellison missed Three Point Jumper.,58,76
7:59,-1,Xavier Crofford Defensive Rebound.,58,76
7:59,2199,Foul on Isaiah Green.,58,76
7:59,-1,Official TV Timeout,58,76
7:45,-1,Jason Penn made Layup.,60,76
7:30,2199,Kevin McAdoo made Three Point Jumper. Assisted by Malik Ellison.,60,79
7:09,-1,Donovan Farrell missed Three Point Jumper.,60,79
7:09,2199,Kevin McAdoo Block.,60,79
7:06,-1,Jason Penn Offensive Rebound.,60,79
7:04,-1,Jason Penn made Dunk.,62,79
6:53,2199,Tim Bond Turnover.,62,79
6:52,-1,Ashton Curd Steal.,62,79
6:48,-1,Jason Penn Turnover.,62,79
6:46,2199,Tim Bond Steal.,62,79
6:43,-1,Foul on Gage Throgmorton.,62,79
6:43,2199,Tim Bond missed Free Throw.,62,79
6:43,2199,Eastern Michigan Deadball Team Rebound.,62,79
6:43,2199,Tim Bond made Free Throw.,62,80
6:31,-1,Gage Throgmorton made Jumper. Assisted by Ashton Curd.,64,80
6:15,2199,Tim Bond made Three Point Jumper. Assisted by Malik Ellison.,64,83
5:56,-1,Jason Penn made Layup. Assisted by Gage Throgmorton.,66,83
5:41,2199,James Thompson IV Turnover.,66,83
5:25,-1,Gage Throgmorton Turnover.,66,83
5:24,2199,Kevin McAdoo Steal.,66,83
5:21,2199,Elijah Minnie made Dunk.,66,85
5:07,-1,Gage Throgmorton made Three Point Jumper.,69,85
4:34,2199,Tim Bond missed Three Point Jumper.,69,85
4:34,-1,Gage Throgmorton Defensive Rebound.,69,85
4:16,-1,Jason Penn made Jumper.,71,85
3:55,2199,James Thompson IV made Dunk. Assisted by Tim Bond.,71,87
3:37,-1,Xavier Crofford missed Jumper.,71,87
3:37,2199,Tim Bond Defensive Rebound.,71,87
3:32,2199,Malik Ellison made Layup. Assisted by Tim Bond.,71,89
3:16,-1,Gage Throgmorton missed Jumper.,71,89
3:16,-1,Jason Penn Offensive Rebound.,71,89
3:12,-1,Donovan Farrell missed Layup.,71,89
3:12,2199,Tim Bond Block.,71,89
3:10,2199,James Thompson IV Defensive Rebound.,71,89
3:05,2199,Kevin McAdoo made Layup. Assisted by Tim Bond.,71,91
2:46,-1,Ashton Curd Turnover.,71,91
2:45,2199,Tim Bond Steal.,71,91
2:31,-1,Foul on Gage Throgmorton.,71,91
2:31,2199,Official TV Timeout,71,91
2:31,2199,Tim Bond made Free Throw.,71,92
2:31,2199,Tim Bond made Free Throw.,71,93
2:02,-1,Ashton Curd missed Layup.,71,93
2:02,2199,Bud Jones Block.,71,93
2:01,2199,Kevin McAdoo Defensive Rebound.,71,93
1:40,-1,Foul on Cody Kegley.,71,93
1:40,2199,Malik Ellison made Free Throw.,71,94
1:40,2199,Malik Ellison made Free Throw.,71,95
1:28,-1,Donovan Farrell made Dunk. Assisted by Cody Kegley.,73,95
1:04,2199,Isaiah Green missed Layup.,73,95
1:04,-1,Jason Penn Block.,73,95
1:03,-1,Jason Penn Defensive Rebound.,73,95
0:57,-1,Cody Kegley missed Three Point Jumper.,73,95
0:57,2199,Jordan Nobles Defensive Rebound.,73,95
0:51,2199,Kevin McAdoo missed Three Point Jumper.,73,95
0:51,2199,Bud Jones Offensive Rebound.,73,95
0:44,-1,Foul on Jason Penn.,73,95
0:44,2199,Bud Jones missed Free Throw.,73,95
0:44,-1,Chase VanderKlay Defensive Rebound.,73,95
0:29,-1,Juwan Harper missed Three Point Jumper.,73,95
0:29,2199,Jordan Nobles Defensive Rebound.,73,95
0:24,2199,Malik Ellison made Layup. Assisted by Jordan Nobles.,73,97
0:02,-1,Jared Jackson missed Three Point Jumper.,73,97
0:02,2199,Isaiah Green Defensive Rebound.,73,97
0:00,2199,End of Game,73,97
