UL Monroe,2567,SMU,2433
8:35,2433,Sam McDaniel missed Three Point Jumper.,19,19
8:35,2567,Ethan Chargois Defensive Rebound.,19,19
8:11,2567,Jimmy Whitt Turnover.,19,19
8:11,2567,Foul on Jimmy Whitt.,19,19
8:00,2433,Donovan Walker missed Jumper.,19,19
8:00,2567,SMU Defensive Rebound.,19,19
7:57,2567,Official TV Timeout,19,19
7:42,2567,Ben Emelogu II made Three Point Jumper. Assisted by Shake Milton.,19,22
7:11,2433,Donovan Walker missed Jumper.,19,22
7:11,2567,Ethan Chargois Block.,19,22
7:10,2433,UL Monroe Offensive Rebound.,19,22
7:08,2433,Michael Ertel missed Jumper.,19,22
7:08,2433,UL Monroe Offensive Rebound.,19,22
7:07,2433,UL Monroe  Turnover.,19,22
6:52,2567,Ben Emelogu II missed Layup.,19,22
6:52,2433,Travis Munnings Defensive Rebound.,19,22
6:46,2433,Donovan Walker missed Layup.,19,22
6:46,2433,Marvin Jean-Pierre Offensive Rebound.,19,22
6:32,2433,Marvin Jean-Pierre Turnover.,19,22
6:30,2567,Shake Milton Steal.,19,22
6:12,2567,Shake Milton missed Three Point Jumper.,19,22
6:12,2433,Marvin Jean-Pierre Defensive Rebound.,19,22
5:54,2433,Marvin Jean-Pierre missed Three Point Jumper.,19,22
5:54,2433,Sam Alabakis Offensive Rebound.,19,22
5:50,2433,Sam Alabakis missed Layup.,19,22
5:50,2433,Travis Munnings Offensive Rebound.,19,22
5:46,2433,Travis Munnings made Layup.,21,22
5:27,2433,Foul on Sam Alabakis.,21,22
5:27,2567,William Douglas made Free Throw.,21,23
5:27,2567,William Douglas made Free Throw.,21,24
5:11,2433,Jordon Harris made Three Point Jumper.,24,24
4:43,2433,Foul on Marvin Jean-Pierre.,24,24
4:30,2567,Elijah Landrum missed Three Point Jumper.,24,24
4:30,2433,UL Monroe Defensive Rebound.,24,24
4:15,2433,Michael Ertel missed Three Point Jumper.,24,24
4:15,2567,Ethan Chargois Defensive Rebound.,24,24
4:11,2433,Foul on Sam Alabakis.,24,24
4:11,2567,Ethan Chargois made Free Throw.,24,25
4:11,2567,Ethan Chargois made Free Throw.,24,26
4:02,2433,Michael Ertel made Three Point Jumper. Assisted by Jordon Harris.,27,26
3:42,2567,Ethan Chargois made Three Point Jumper. Assisted by Jarrey Foster.,27,29
3:35,2433,Sam McDaniel Turnover.,27,29
3:35,2567,Official TV Timeout,27,29
3:22,2567,Shake Milton made Jumper.,27,31
3:22,2433,Foul on Roderick Taylor.,27,31
3:22,2567,Shake Milton missed Free Throw.,27,31
3:22,2433,Travis Munnings Defensive Rebound.,27,31
2:57,2433,Michael Ertel missed Three Point Jumper.,27,31
2:57,2567,Ethan Chargois Defensive Rebound.,27,31
2:41,2567,Ethan Chargois missed Three Point Jumper.,27,31
2:41,2433,Sam McDaniel Defensive Rebound.,27,31
2:33,2433,Travis Munnings Turnover.,27,31
2:33,2433,Foul on Travis Munnings.,27,31
2:23,2567,Jarrey Foster missed Three Point Jumper.,27,31
2:23,2433,Jordon Harris Defensive Rebound.,27,31
2:16,2433,Jordon Harris missed Three Point Jumper.,27,31
2:16,2433,Sam McDaniel Offensive Rebound.,27,31
2:13,2567,Foul on Ethan Chargois.,27,31
2:13,2433,Sam McDaniel made Free Throw.,28,31
2:13,2433,Sam McDaniel made Free Throw.,29,31
1:58,2567,Everett Ray Turnover.,29,31
1:33,2433,Roderick Taylor Turnover.,29,31
1:33,2433,Foul on Roderick Taylor.,29,31
1:17,2567,Shake Milton Turnover.,29,31
1:03,2433,Sam McDaniel made Jumper.,31,31
0:44,2433,Foul on Roderick Taylor.,31,31
0:44,2567,Everett Ray made Free Throw.,31,32
0:44,2567,Everett Ray made Free Throw.,31,33
0:28,2433,Jordon Harris missed Jumper.,31,33
0:28,2567,SMU Defensive Rebound.,31,33
0:04,2567,Jarrey Foster missed Jumper.,31,33
0:04,2567,Shake Milton Offensive Rebound.,31,33
0:02,2433,Foul on Marvin Jean-Pierre.,31,33
0:02,2567,Shake Milton made Free Throw.,31,34
0:02,2567,Shake Milton made Free Throw.,31,35
0:01,2433,Jordon Harris missed Three Point Jumper.,31,35
0:00,2433,UL Monroe Offensive Rebound.,31,35
0:00,2567,End of 1st half,31,35
19:35,2433,Jordon Harris missed Jumper.,31,35
19:35,2433,Marvin Jean-Pierre Offensive Rebound.,31,35
19:29,2433,Marvin Jean-Pierre made Layup.,33,35
19:14,2567,Ethan Chargois missed Layup.,33,35
19:14,2433,Michael Ertel Defensive Rebound.,33,35
19:08,2433,Jordon Harris missed Three Point Jumper.,33,35
19:08,2567,Jarrey Foster Defensive Rebound.,33,35
18:43,2567,Ethan Chargois made Layup. Assisted by Ben Emelogu II.,33,37
18:23,2433,Sam Alabakis missed Jumper.,33,37
18:23,2567,Jarrey Foster Defensive Rebound.,33,37
18:10,2433,Foul on Sam Alabakis.,33,37
17:55,2567,Ethan Chargois made Dunk. Assisted by Jarrey Foster.,33,39
17:35,2567,Foul on Jarrey Foster.,33,39
17:26,2433,Marvin Jean-Pierre made Three Point Jumper.,36,39
17:08,2567,Ben Emelogu II missed Jumper.,36,39
17:08,2433,Marvin Jean-Pierre Defensive Rebound.,36,39
16:37,2433,Roderick Taylor missed Jumper.,36,39
16:37,2567,Ethan Chargois Defensive Rebound.,36,39
16:04,2567,Ben Emelogu II missed Three Point Jumper.,36,39
16:04,2567,Jimmy Whitt Offensive Rebound.,36,39
16:00,2567,Jimmy Whitt made Jumper.,36,41
15:34,2433,Marvin Jean-Pierre made Layup.,38,41
15:15,2567,Shake Milton missed Layup.,38,41
15:15,2433,Roderick Taylor Defensive Rebound.,38,41
15:09,2433,Travis Munnings missed Layup.,38,41
15:09,2433,Travis Munnings Offensive Rebound.,38,41
15:08,2567,Foul on Ben Emelogu II.,38,41
15:08,2567,Official TV Timeout,38,41
15:08,2433,Travis Munnings made Free Throw.,39,41
15:08,2433,Travis Munnings made Free Throw.,40,41
14:55,2567,Shake Milton missed Three Point Jumper.,40,41
14:55,2567,Jarrey Foster Offensive Rebound.,40,41
14:33,2433,Foul on Marvin Jean-Pierre.,40,41
14:33,2567,Shake Milton made Free Throw.,40,42
14:33,2567,Shake Milton made Free Throw.,40,43
14:12,2433,Roderick Taylor made Jumper. Assisted by Travis Munnings.,42,43
13:47,2567,Shake Milton made Jumper.,42,45
13:36,2433,Travis Munnings missed Three Point Jumper.,42,45
13:36,2567,Jimmy Whitt Defensive Rebound.,42,45
13:27,2567,Jimmy Whitt made Layup.,42,47
13:21,2433,Travis Munnings made Layup. Assisted by Jordon Harris.,44,47
12:58,2567,Everett Ray Turnover.,44,47
12:57,2433,Jordon Harris Steal.,44,47
12:44,2567,Foul on Everett Ray.,44,47
12:38,2433,Jordon Harris missed Jumper.,44,47
12:38,2567,Jimmy Whitt Defensive Rebound.,44,47
12:28,2567,Shake Milton made Three Point Jumper. Assisted by Jimmy Whitt.,44,50
12:26,2433,UL Monroe  Timeout,44,50
12:14,2433,Sam McDaniel missed Jumper.,44,50
12:14,2567,Ben Emelogu II Defensive Rebound.,44,50
11:58,2567,Ethan Chargois made Three Point Jumper. Assisted by Jimmy Whitt.,44,53
11:34,2433,Sam McDaniel missed Three Point Jumper.,44,53
11:34,2567,Ben Emelogu II Defensive Rebound.,44,53
11:10,2433,Foul on Roderick Taylor.,44,53
11:10,2567,Official TV Timeout,44,53
10:49,2567,SMU  Turnover.,44,53
10:38,2433,Roderick Taylor missed Jumper.,44,53
10:38,2567,Ben Emelogu II Defensive Rebound.,44,53
10:27,2567,Ethan Chargois made Three Point Jumper. Assisted by Shake Milton.,44,56
10:19,2433,Travis Munnings missed Three Point Jumper.,44,56
10:19,2567,Jimmy Whitt Defensive Rebound.,44,56
10:13,2433,Foul on Sam McDaniel.,44,56
10:00,2567,Jimmy Whitt missed Jumper.,44,56
10:00,2567,Ethan Chargois Offensive Rebound.,44,56
9:58,2567,Ethan Chargois made Jumper.,44,58
9:52,2433,Jordon Harris made Three Point Jumper. Assisted by Brandon Newman.,47,58
9:51,2433,UL Monroe  Timeout,47,58
9:43,2567,Jimmy Whitt missed Layup.,47,58
9:43,2567,Ben Emelogu II Offensive Rebound.,47,58
9:38,2567,Ben Emelogu II missed Jumper.,47,58
9:38,2433,Brandon Newman Defensive Rebound.,47,58
9:32,2433,Jordon Harris missed Jumper.,47,58
9:32,2433,Kiir Deng Offensive Rebound.,47,58
9:29,2567,Foul on Ethan Chargois.,47,58
9:29,2433,Kiir Deng missed Free Throw.,47,58
9:29,2433,UL Monroe Deadball Team Rebound.,47,58
9:29,2433,Kiir Deng made Free Throw.,48,58
9:14,2433,Foul on Sam McDaniel.,48,58
8:56,2567,Jarrey Foster made Layup.,48,60
8:41,2433,Jordon Harris Turnover.,48,60
8:39,2567,Jimmy Whitt Steal.,48,60
8:37,2567,Jimmy Whitt missed Layup.,48,60
8:37,2567,Shake Milton Offensive Rebound.,48,60
8:35,2433,Foul on Kiir Deng.,48,60
8:35,2567,Shake Milton made Free Throw.,48,61
8:35,2567,Shake Milton made Free Throw.,48,62
8:20,2433,Donovan Walker Turnover.,48,62
8:04,2567,William Douglas Turnover.,48,62
7:46,2433,Donovan Walker Turnover.,48,62
7:46,2433,Foul on Donovan Walker.,48,62
7:46,2567,Official TV Timeout,48,62
7:23,2567,Jarrey Foster made Three Point Jumper. Assisted by Jimmy Whitt.,48,65
7:12,2433,Sam McDaniel made Three Point Jumper. Assisted by Donovan Walker.,51,65
6:53,2567,Jarrey Foster missed Three Point Jumper.,51,65
6:53,2433,Sam McDaniel Defensive Rebound.,51,65
6:51,2567,Foul on Ben Emelogu II.,51,65
6:30,2433,Sam McDaniel made Three Point Jumper.,54,65
6:07,2567,Shake Milton made Three Point Jumper. Assisted by Jarrey Foster.,54,68
5:43,2433,Sam McDaniel missed Three Point Jumper.,54,68
5:43,2567,Jimmy Whitt Defensive Rebound.,54,68
5:26,2567,Shake Milton Turnover.,54,68
5:20,2433,Marvin Jean-Pierre Turnover.,54,68
5:02,2567,Ethan Chargois made Layup. Assisted by Jimmy Whitt.,54,70
4:54,2433,Michael Ertel missed Jumper.,54,70
4:54,2567,Jarrey Foster Defensive Rebound.,54,70
4:51,2433,Foul on Sam McDaniel.,54,70
4:51,2567,Jarrey Foster missed Free Throw.,54,70
4:51,2433,Sam Alabakis Defensive Rebound.,54,70
4:33,2567,Foul on Jarrey Foster.,54,70
4:33,2433,Sam Alabakis made Free Throw.,55,70
4:33,2433,Sam Alabakis made Free Throw.,56,70
4:15,2433,Foul on Donovan Walker.,56,70
4:15,2567,Jimmy Whitt made Free Throw.,56,71
4:15,2567,Jimmy Whitt missed Free Throw.,56,71
4:15,2433,Marvin Jean-Pierre Defensive Rebound.,56,71
4:08,2433,Donovan Walker missed Layup.,56,71
4:08,2433,Marvin Jean-Pierre Offensive Rebound.,56,71
4:08,2433,Marvin Jean-Pierre made Layup.,58,71
3:50,2567,Shake Milton missed Three Point Jumper.,58,71
3:50,2567,Ethan Chargois Offensive Rebound.,58,71
3:46,2567,Ethan Chargois made Two Point Tip Shot.,58,73
3:23,2567,Foul on Jarrey Foster.,58,73
3:23,2567,Official TV Timeout,58,73
3:23,2433,Sam McDaniel made Free Throw.,59,73
3:23,2433,Sam McDaniel missed Free Throw.,59,73
3:23,2567,Ethan Chargois Defensive Rebound.,59,73
3:00,2567,Shake Milton made Layup.,59,75
2:46,2433,Michael Ertel made Three Point Jumper. Assisted by Sam McDaniel.,62,75
2:19,2567,Jarrey Foster made Three Point Jumper. Assisted by Jimmy Whitt.,62,78
2:04,2433,Sam McDaniel missed Jumper.,62,78
2:04,2567,Ethan Chargois Defensive Rebound.,62,78
1:40,2433,Foul on Donovan Walker.,62,78
1:40,2567,Ethan Chargois made Free Throw.,62,79
1:40,2567,Ethan Chargois made Free Throw.,62,80
1:23,2433,Sam Alabakis missed Layup.,62,80
1:23,2567,Jarrey Foster Block.,62,80
1:21,2433,Sam Alabakis Offensive Rebound.,62,80
1:20,2433,Sam Alabakis Turnover.,62,80
0:52,2567,Jarrey Foster missed Three Point Jumper.,62,80
0:52,2567,Jimmy Whitt Offensive Rebound.,62,80
0:41,2567,SMU  Timeout,62,80
0:31,2567,William Douglas made Three Point Jumper. Assisted by Elijah Landrum.,62,83
0:20,2433,Lance Richard made Three Point Jumper. Assisted by Michael Ertel.,65,83
0:00,2567,End of Game,65,83
