Stetson,2229,Florida Intl,56
10:46,2229,Isaiah Banks Block.,8,7
10:46,2229,Florida International Offensive Rebound.,8,7
10:43,56,B.J. Glasford missed Three Point Jumper.,8,7
10:43,2229,Eric Lockett Defensive Rebound.,8,7
10:27,56,Foul on Raine McKeython.,8,7
10:12,2229,Michael Douglas missed Jumper.,8,7
10:12,56,Christiaan Jones Defensive Rebound.,8,7
10:04,56,Raine McKeython Turnover.,8,7
9:49,2229,Eric Lockett missed Jumper.,8,7
9:49,56,Christiaan Jones Defensive Rebound.,8,7
9:43,2229,Foul on Isaiah Banks.,8,7
9:42,56,Divine Myles missed Free Throw.,8,7
9:42,56,Stetson Deadball Team Rebound.,8,7
9:42,56,Divine Myles made Free Throw.,9,7
9:20,2229,Foul on Trejon Jacob.,9,7
9:08,56,B.J. Glasford made Jumper. Assisted by Angel Rivera.,11,7
8:38,56,Foul on Divine Myles.,11,7
8:29,2229,Hassan Hussein made Free Throw.,11,8
8:29,2229,Hassan Hussein made Free Throw.,11,9
8:18,2229,Foul on Hassan Hussein.,11,9
8:18,56,Larry Dennis made Free Throw.,12,9
8:18,56,Larry Dennis missed Free Throw.,12,9
8:18,2229,Trejon Jacob Defensive Rebound.,12,9
7:53,56,Foul on B.J. Glasford.,12,9
7:53,2229,Official TV Timeout,12,9
7:53,2229,Elhadji Dieng made Free Throw.,12,10
7:53,2229,Elhadji Dieng missed Free Throw.,12,10
7:53,56,Christiaan Jones Defensive Rebound.,12,10
7:40,56,Christiaan Jones Turnover.,12,10
7:39,2229,Trejon Jacob Steal.,12,10
7:37,2229,Trejon Jacob made Layup.,12,12
7:20,56,Angel Rivera missed Three Point Jumper.,12,12
7:20,56,Abayomi Iyiola Offensive Rebound.,12,12
7:02,56,Abayomi Iyiola missed Jumper.,12,12
7:02,2229,Trejon Jacob Defensive Rebound.,12,12
6:53,56,Foul on Kenny Aninye.,12,12
6:53,2229,Eric Lockett made Free Throw.,12,13
6:53,2229,Eric Lockett made Free Throw.,12,14
6:43,56,Christiaan Jones made Jumper.,14,14
6:27,2229,Ronald Whitaker missed Three Point Jumper.,14,14
6:27,56,Abayomi Iyiola Defensive Rebound.,14,14
6:16,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,17,14
6:11,2229,Florida International  Timeout,17,14
5:56,2229,Michael Douglas Turnover.,17,14
5:55,56,Angel Rivera Steal.,17,14
5:53,56,Divine Myles made Layup. Assisted by Angel Rivera.,19,14
5:53,2229,Foul on Eric Lockett.,19,14
5:53,56,Divine Myles missed Free Throw.,19,14
5:53,2229,Florida International Defensive Rebound.,19,14
5:45,2229,Michael Douglas missed Jumper.,19,14
5:45,56,Divine Myles Defensive Rebound.,19,14
5:43,56,Foul on Luke Doyle.,19,14
5:34,2229,Elhadji Dieng missed Free Throw.,19,14
5:34,56,Divine Myles Defensive Rebound.,19,14
5:24,56,Abayomi Iyiola made Layup. Assisted by Christiaan Jones.,21,14
5:07,2229,Foul on Michael Douglas.,21,14
5:07,2229,Michael Douglas Turnover.,21,14
4:48,56,Christiaan Jones missed Three Point Jumper.,21,14
4:48,2229,Trejon Jacob Defensive Rebound.,21,14
4:36,2229,Brian Beard Jr. Turnover.,21,14
4:23,56,Keith Matthews missed Layup.,21,14
4:23,2229,Florida International Defensive Rebound.,21,14
4:22,56,Foul on Abayomi Iyiola.,21,14
4:22,2229,Hassan Hussein made Free Throw.,21,15
4:22,2229,Hassan Hussein made Free Throw.,21,16
3:56,56,Larry Dennis made Layup.,23,16
3:34,2229,Michael Douglas made Three Point Jumper. Assisted by Eric Lockett.,23,19
3:17,56,Angel Rivera missed Three Point Jumper.,23,19
3:17,2229,Brian Beard Jr. Defensive Rebound.,23,19
3:05,2229,Michael Douglas missed Three Point Jumper.,23,19
3:05,56,Divine Myles Defensive Rebound.,23,19
2:53,56,Divine Myles Turnover.,23,19
2:53,2229,Official TV Timeout,23,19
2:48,2229,Trejon Jacob missed Jumper.,23,19
2:48,2229,Eric Lockett Offensive Rebound.,23,19
2:43,2229,Eric Lockett made Layup.,23,21
2:32,56,Larry Dennis missed Layup.,23,21
2:32,2229,Isaiah Banks Defensive Rebound.,23,21
2:27,56,Keith Matthews missed Free Throw.,23,21
2:27,56,Stetson Offensive Rebound.,23,21
2:27,56,Keith Matthews missed Free Throw.,23,21
2:27,2229,Isaiah Banks Defensive Rebound.,23,21
2:27,2229,Trejon Jacob made Three Point Jumper. Assisted by Eric Lockett.,23,24
2:15,2229,Foul on Michael Douglas.,23,24
2:14,2229,Foul on Eric Lockett.,23,24
2:00,56,Divine Myles made Free Throw.,24,24
1:44,56,Divine Myles made Free Throw.,25,24
1:44,2229,Trejon Jacob missed Three Point Jumper.,25,24
1:44,2229,Ronald Whitaker Offensive Rebound.,25,24
1:44,2229,Ronald Whitaker missed Layup.,25,24
1:44,56,Larry Dennis Block.,25,24
1:44,56,Kenny Aninye Defensive Rebound.,25,24
1:44,56,Christiaan Jones made Jumper.,27,24
1:42,56,Foul on Angel Rivera.,27,24
1:42,2229,Brian Beard Jr. missed Free Throw.,27,24
1:42,2229,Florida International Offensive Rebound.,27,24
1:42,2229,Brian Beard Jr. made Free Throw.,27,25
1:20,2229,Hassan Hussein made Layup.,27,27
0:19,56,Angel Rivera missed Layup.,27,27
0:19,2229,Jay Harvey Defensive Rebound.,27,27
0:11,2229,Ronald Whitaker made Layup.,27,29
0:11,2229,Foul on Trejon Jacob.,27,29
0:00,2229,End of 1st half,27,29
19:46,2229,Elhadji Dieng made Layup. Assisted by Brian Beard Jr..,27,31
19:32,56,Luke Doyle made Three Point Jumper. Assisted by B.J. Glasford.,30,31
19:11,56,Foul on Luke Doyle.,30,31
19:04,2229,Trejon Jacob made Jumper.,30,33
18:48,56,Abayomi Iyiola missed Jumper.,30,33
18:48,2229,Eric Lockett Defensive Rebound.,30,33
18:39,2229,Eric Lockett made Layup.,30,35
18:23,56,Luke Doyle made Layup.,32,35
18:11,2229,Eric Lockett missed Layup.,32,35
18:11,2229,Elhadji Dieng Offensive Rebound.,32,35
18:05,56,Foul on Larry Dennis.,32,35
18:02,2229,Brian Beard Jr. missed Layup.,32,35
18:02,56,B.J. Glasford Defensive Rebound.,32,35
17:55,56,B.J. Glasford Turnover.,32,35
17:54,2229,Eric Lockett Steal.,32,35
17:53,56,Foul on B.J. Glasford.,32,35
17:40,2229,Hassan Hussein Turnover.,32,35
17:39,56,B.J. Glasford Steal.,32,35
17:35,56,B.J. Glasford made Layup.,34,35
17:09,2229,Eric Lockett missed Jumper.,34,35
17:09,2229,Elhadji Dieng Offensive Rebound.,34,35
16:38,2229,Hassan Hussein missed Three Point Jumper.,34,35
16:38,56,Larry Dennis Defensive Rebound.,34,35
16:25,56,Angel Rivera missed Three Point Jumper.,34,35
16:25,2229,Florida International Defensive Rebound.,34,35
16:21,2229,Brian Beard Jr. missed Three Point Jumper.,34,35
16:21,56,Angel Rivera Defensive Rebound.,34,35
16:21,56,Angel Rivera Turnover.,34,35
16:21,2229,Brian Beard Jr. Steal.,34,35
16:19,2229,Brian Beard Jr. Turnover.,34,35
16:09,56,Stetson  Timeout,34,35
15:19,56,Divine Myles Defensive Rebound.,34,35
15:19,2229,Trejon Jacob missed Free Throw.,34,35
15:19,56,Foul on Larry Dennis.,34,35
15:06,56,Kenny Aninye missed Three Point Jumper.,34,35
15:06,2229,Florida International Defensive Rebound.,34,35
15:03,2229,Trejon Jacob made Free Throw.,34,36
14:46,2229,Elhadji Dieng made Layup.,34,38
14:43,56,Larry Dennis missed Jumper.,34,38
14:43,2229,Trejon Jacob Defensive Rebound.,34,38
14:17,56,Divine Myles made Layup.,36,38
14:10,2229,Trejon Jacob missed Layup.,36,38
14:10,56,Christiaan Jones Block.,36,38
14:08,2229,Trejon Jacob Offensive Rebound.,36,38
13:54,2229,Elhadji Dieng missed Layup.,36,38
13:54,56,Abayomi Iyiola Defensive Rebound.,36,38
13:34,56,Kenny Aninye missed Layup.,36,38
13:34,56,Abayomi Iyiola Offensive Rebound.,36,38
13:30,56,Abayomi Iyiola missed Jumper.,36,38
13:30,2229,Michael Douglas Defensive Rebound.,36,38
13:21,2229,Eric Lockett made Layup.,36,40
13:01,56,Raine McKeython missed Three Point Jumper.,36,40
13:01,2229,Brian Beard Jr. Defensive Rebound.,36,40
12:33,56,Foul on Raine McKeython.,36,40
12:04,2229,Brian Beard Jr. missed Three Point Jumper.,36,40
12:04,56,Stetson Defensive Rebound.,36,40
12:01,2229,Florida International  Turnover.,36,40
11:48,2229,Foul on Michael Douglas.,36,40
11:44,56,Larry Dennis missed Layup.,36,40
11:44,2229,Hassan Hussein Defensive Rebound.,36,40
11:15,2229,Brian Beard Jr. missed Layup.,36,40
11:15,56,Luke Doyle Defensive Rebound.,36,40
11:10,56,Raine McKeython missed Three Point Jumper.,36,40
11:10,56,B.J. Glasford Offensive Rebound.,36,40
11:04,56,B.J. Glasford made Layup.,38,40
10:59,56,Foul on Raine McKeython.,38,40
10:59,2229,Hassan Hussein missed Jumper.,38,40
10:59,56,B.J. Glasford Defensive Rebound.,38,40
10:49,56,Angel Rivera missed Three Point Jumper.,38,40
10:49,56,Stetson Offensive Rebound.,38,40
10:32,2229,Foul on Elhadji Dieng.,38,40
10:32,56,B.J. Glasford missed Free Throw.,38,40
10:32,56,Stetson Deadball Team Rebound.,38,40
10:32,56,B.J. Glasford made Free Throw.,39,40
10:12,56,Angel Rivera missed Layup.,39,40
10:12,2229,Cordell Veira Defensive Rebound.,39,40
10:00,56,Larry Dennis made Layup. Assisted by Angel Rivera.,41,40
9:35,2229,Hassan Hussein missed Layup.,41,40
9:35,2229,Elhadji Dieng Offensive Rebound.,41,40
9:14,2229,Trejon Jacob made Three Point Jumper.,41,43
8:55,56,Angel Rivera made Three Point Jumper.,44,43
8:51,56,Stetson  Timeout,44,43
8:33,2229,Brian Beard Jr. missed Jumper.,44,43
8:33,2229,Hassan Hussein Offensive Rebound.,44,43
8:27,2229,Hassan Hussein made Jumper.,44,45
8:12,56,Luke Doyle missed Three Point Jumper.,44,45
8:12,2229,Hassan Hussein Defensive Rebound.,44,45
7:45,2229,Eric Lockett made Jumper.,44,47
7:32,56,Abayomi Iyiola made Layup. Assisted by Angel Rivera.,46,47
6:59,2229,Hassan Hussein missed Jumper.,46,47
6:59,56,Abayomi Iyiola Defensive Rebound.,46,47
6:49,56,B.J. Glasford made Jumper.,48,47
6:28,2229,Brian Beard Jr. made Jumper.,48,49
6:28,56,Foul on Angel Rivera.,48,49
6:27,2229,Official TV Timeout,48,49
6:27,2229,Brian Beard Jr. missed Free Throw.,48,49
6:27,56,Luke Doyle Defensive Rebound.,48,49
6:03,56,Angel Rivera missed Layup.,48,49
6:03,2229,Elhadji Dieng Defensive Rebound.,48,49
5:35,2229,Ronald Whitaker Turnover.,48,49
5:24,56,B.J. Glasford missed Three Point Jumper.,48,49
5:24,56,Angel Rivera Offensive Rebound.,48,49
5:06,56,B.J. Glasford made Three Point Jumper. Assisted by Angel Rivera.,51,49
4:44,2229,Trejon Jacob missed Three Point Jumper.,51,49
4:44,56,Angel Rivera Defensive Rebound.,51,49
4:35,56,B.J. Glasford missed Jumper.,51,49
4:35,56,B.J. Glasford Offensive Rebound.,51,49
4:11,56,Luke Doyle made Jumper.,53,49
4:07,2229,Florida International  Timeout,53,49
3:47,56,Foul on Abayomi Iyiola.,53,49
3:47,2229,Eric Lockett made Free Throw.,53,50
3:47,2229,Eric Lockett made Free Throw.,53,51
3:24,56,Luke Doyle missed Three Point Jumper.,53,51
3:24,2229,Florida International Defensive Rebound.,53,51
2:59,2229,Brian Beard Jr. missed Three Point Jumper.,53,51
2:59,2229,Florida International Offensive Rebound.,53,51
2:36,2229,Brian Beard Jr. Turnover.,53,51
2:36,56,Divine Myles Steal.,53,51
2:36,2229,Foul on Brian Beard Jr..,53,51
2:21,56,Abayomi Iyiola missed Jumper.,53,51
2:21,2229,Eric Lockett Defensive Rebound.,53,51
2:02,56,Foul on Divine Myles.,53,51
2:02,2229,Brian Beard Jr. missed Free Throw.,53,51
2:02,56,Divine Myles Defensive Rebound.,53,51
1:58,2229,Foul on Jay Harvey.,53,51
1:33,56,Angel Rivera missed Three Point Jumper.,53,51
1:33,2229,Eric Lockett Defensive Rebound.,53,51
1:15,56,Foul on Luke Doyle.,53,51
1:15,2229,Brian Beard Jr. made Free Throw.,53,52
1:15,2229,Brian Beard Jr. made Free Throw.,53,53
1:00,56,Divine Myles Turnover.,53,53
0:50,2229,Brian Beard Jr. Turnover.,53,53
0:49,56,Luke Doyle Steal.,53,53
0:46,56,Stetson  Timeout,53,53
0:25,56,B.J. Glasford made Three Point Jumper. Assisted by Angel Rivera.,56,53
0:21,2229,Florida International  Timeout,56,53
0:13,2229,Trejon Jacob missed Layup.,56,53
0:13,56,Abayomi Iyiola Block.,56,53
0:12,2229,Foul on Brian Beard Jr..,56,53
0:11,2229,Foul on Trejon Jacob.,56,53
0:11,56,B.J. Glasford Defensive Rebound.,56,53
0:09,2229,Trejon Jacob Defensive Rebound.,56,53
0:09,56,B.J. Glasford missed Free Throw.,56,53
0:09,2229,Foul on Hassan Hussein.,56,53
0:06,2229,Brian Beard Jr. made Three Point Jumper.,56,56
0:00,2229,End of 2nd half,56,56
4:44,56,B.J. Glasford missed Jumper.,56,56
4:44,2229,Eric Lockett Defensive Rebound.,56,56
4:28,2229,Brian Beard Jr. missed Three Point Jumper.,56,56
4:28,56,Angel Rivera Defensive Rebound.,56,56
4:20,2229,Foul on Jay Harvey.,56,56
4:20,56,Luke Doyle missed Free Throw.,56,56
4:20,56,Stetson Deadball Team Rebound.,56,56
4:20,56,Luke Doyle made Free Throw.,57,56
4:09,56,Abayomi Iyiola made Jumper.,59,56
3:53,2229,Trejon Jacob made Layup.,59,58
3:47,56,Divine Myles missed Layup.,59,58
3:47,2229,Ronald Whitaker Block.,59,58
3:45,2229,Brian Beard Jr. Defensive Rebound.,59,58
3:42,2229,Foul on Trejon Jacob.,59,58
3:42,56,Luke Doyle made Free Throw.,60,58
3:42,56,Luke Doyle made Free Throw.,61,58
3:18,56,Foul on Abayomi Iyiola.,61,58
3:18,2229,Eric Lockett made Free Throw.,61,59
3:18,2229,Eric Lockett made Free Throw.,61,60
3:07,2229,Eric Lockett Steal.,61,60
3:06,56,Angel Rivera Turnover.,61,60
3:06,2229,Florida International  Timeout,61,60
2:59,2229,Eric Lockett missed Jumper.,61,60
2:59,56,Stetson Offensive Rebound.,61,60
2:45,56,Abayomi Iyiola Turnover.,61,60
2:23,56,Foul on Divine Myles.,61,60
2:23,2229,Michael Douglas missed Free Throw.,61,60
2:23,2229,Florida International Deadball Team Rebound.,61,60
2:23,2229,Michael Douglas missed Free Throw.,61,60
2:23,2229,Michael Douglas Offensive Rebound.,61,60
2:13,2229,Foul on Brian Beard Jr..,61,60
2:13,2229,Brian Beard Jr. Turnover.,61,60
1:52,56,Divine Myles missed Layup.,61,60
1:52,56,Abayomi Iyiola Offensive Rebound.,61,60
1:48,56,Abayomi Iyiola made Layup.,63,60
1:20,2229,Brian Beard Jr. missed Three Point Jumper.,63,60
1:20,56,Stetson Defensive Rebound.,63,60
1:13,56,Foul on Angel Rivera.,63,60
1:13,2229,Brian Beard Jr. made Free Throw.,63,61
1:13,2229,Brian Beard Jr. made Free Throw.,63,62
1:10,2229,Foul on Hassan Hussein.,63,62
1:01,56,Angel Rivera Turnover.,63,62
1:00,2229,Eric Lockett Steal.,63,62
0:57,2229,Florida International  Timeout,63,62
0:57,2229,Trejon Jacob made Dunk. Assisted by Brian Beard Jr..,63,64
0:50,56,Abayomi Iyiola missed Free Throw.,63,64
0:50,56,Stetson Deadball Team Rebound.,63,64
0:50,56,Abayomi Iyiola made Free Throw.,64,64
0:46,56,Divine Myles made Jumper.,66,64
0:25,2229,Brian Beard Jr. missed Three Point Jumper.,66,64
0:25,56,B.J. Glasford Defensive Rebound.,66,64
0:15,2229,Foul on Brian Beard Jr..,66,64
0:15,56,Angel Rivera made Free Throw.,67,64
0:15,56,Angel Rivera made Free Throw.,68,64
0:15,56,Stetson  Timeout,68,64
0:07,2229,Trejon Jacob Turnover.,68,64
0:05,56,Luke Doyle Steal.,68,64
0:04,2229,Foul on Cordell Veira.,68,64
0:04,56,Angel Rivera made Free Throw.,69,64
0:04,56,Angel Rivera made Free Throw.,70,64
0:00,2229,Eric Lockett Turnover.,70,64
0:00,2229,End of Game,70,64
