Coppin State,151,East Carolina,2154
0:01,151,K.J. Davis missed Three Point Jumper.,18,40
0:01,2154,Coppin State Deadball Team Rebound.,18,40
0:00,151,End of 1st half,18,40
19:49,2154,Cedric Council Jr. missed Three Point Jumper.,18,40
19:49,151,B.J. Tyson Defensive Rebound.,18,40
19:35,151,Kentrell Barkley Turnover.,18,40
19:33,2154,Cedric Council Jr. Steal.,18,40
19:31,2154,Adam Traore Turnover.,18,40
19:15,151,Dimitri Spasojevic missed Layup.,18,40
19:15,151,Dimitri Spasojevic Offensive Rebound.,18,40
19:02,151,Jabari Craig made Layup. Assisted by Isaac Fleming.,18,42
18:45,2154,Taqwain Drummond made Three Point Jumper. Assisted by Dejuan Clayton.,21,42
18:30,151,Isaac Fleming Turnover.,21,42
18:29,2154,Joel Boyce Steal.,21,42
18:25,151,Foul on Kentrell Barkley.,21,42
18:10,2154,Adam Traore Turnover.,21,42
18:00,2154,Foul on Cedric Council Jr..,21,42
17:54,151,B.J. Tyson missed Three Point Jumper.,21,42
17:54,2154,Coppin State Deadball Team Rebound.,21,42
17:51,151,Foul on Dimitri Spasojevic.,21,42
17:38,2154,Joel Boyce made Layup.,23,42
17:11,151,Aaron Jackson made Layup. Assisted by B.J. Tyson.,23,44
16:43,151,Foul on Dimitri Spasojevic.,23,44
16:43,2154,Adam Traore made Free Throw.,24,44
16:43,2154,Adam Traore missed Free Throw.,24,44
16:43,151,Jabari Craig Defensive Rebound.,24,44
16:36,2154,Foul on Dejuan Clayton.,24,44
16:32,2154,Foul on Tre' Thomas.,24,44
16:24,151,Shawn Williams missed Three Point Jumper.,24,44
16:24,2154,Tre' Thomas Defensive Rebound.,24,44
16:10,2154,Taqwain Drummond missed Three Point Jumper.,24,44
16:10,2154,Chad Andrews-Fulton Offensive Rebound.,24,44
16:07,2154,Chad Andrews-Fulton made Layup.,26,44
16:07,151,Foul on Jabari Craig.,26,44
16:07,2154,Chad Andrews-Fulton made Free Throw.,27,44
15:53,151,Aaron Jackson missed Three Point Jumper.,27,44
15:53,2154,Adam Traore Defensive Rebound.,27,44
15:34,2154,Adam Traore missed Layup.,27,44
15:34,151,Aaron Jackson Defensive Rebound.,27,44
15:26,151,Shawn Williams Turnover.,27,44
15:26,151,Official TV Timeout,27,44
15:06,2154,Tre' Thomas made Layup.,29,44
14:41,2154,Foul on Lamar Morgan.,29,44
14:41,151,Aaron Jackson missed Free Throw.,29,44
14:41,151,East Carolina Deadball Team Rebound.,29,44
14:41,151,Aaron Jackson missed Free Throw.,29,44
14:41,2154,Chad Andrews-Fulton Defensive Rebound.,29,44
14:27,2154,Dejuan Clayton Turnover.,29,44
14:26,151,Usman Haruna Steal.,29,44
14:22,151,Shawn Williams Turnover.,29,44
14:15,2154,Tre' Thomas missed Three Point Jumper.,29,44
