Bridgewater,Error,Appalachian State,2026
9:45,2026,Tyrell Johnson made Layup.,12,23
9:25,2079,Zach Breathwaite Turnover.,12,23
9:21,2026,O'Showen Williams Steal.,12,23
9:17,2026,Bennett Holley missed Three Point Jumper.,12,23
9:17,2079,Tj Turner Defensive Rebound.,12,23
8:52,2026,Foul on Isaac Johnson.,12,23
8:52,2079,Sami El-Rafey missed Free Throw.,12,23
8:52,2079,Bridgewater (VA) Deadball Team Rebound.,12,23
8:52,2079,Sami El-Rafey made Free Throw.,13,23
8:32,2026,Tyrell Johnson missed Three Point Jumper.,13,23
8:26,2026,Tyrell Johnson made Free Throw.,13,24
8:26,2026,Appalachian State Defensive Rebound.,13,24
8:26,2026,Tyrell Johnson made Free Throw.,13,25
8:26,2026,Foul on Griffin Kinney.,13,25
8:26,2079,Drew Bethoney missed Free Throw.,13,25
8:26,2026,Appalachian State Defensive Rebound.,13,25
8:25,2079,Foul on Davrion Grier.,13,25
8:09,2079,Drew Bethoney missed Three Point Jumper.,13,25
8:09,2079,Aj Horde Offensive Rebound.,13,25
7:41,2079,Aj Horde missed Layup.,13,25
7:41,2026,Tyrell Johnson Block.,13,25
7:35,2026,Craig Hinton Defensive Rebound.,13,25
7:24,2079,Foul on Aj Horde.,13,25
7:24,2026,Official TV Timeout,13,25
7:24,2026,Ronshad Shabazz made Free Throw.,13,26
7:24,2026,Ronshad Shabazz made Free Throw.,13,27
7:15,2079,Chandler Murray Turnover.,13,27
7:13,2026,O'Showen Williams Steal.,13,27
7:11,2026,Isaac Johnson made Layup. Assisted by O'Showen Williams.,13,29
6:47,2026,Foul on Isaac Johnson.,13,29
6:47,2079,Davrion Grier missed Free Throw.,13,29
6:47,2079,Bridgewater (VA) Deadball Team Rebound.,13,29
6:47,2079,Davrion Grier made Free Throw.,14,29
6:44,2079,Foul on Miles Barrett.,14,29
6:44,2026,O'Showen Williams missed Free Throw.,14,29
6:44,2026,Appalachian State Deadball Team Rebound.,14,29
6:44,2026,O'Showen Williams missed Free Throw.,14,29
6:44,2079,Sami El-Rafey Defensive Rebound.,14,29
6:23,2079,Mark James made Layup. Assisted by Sami El-Rafey.,16,29
6:06,2026,O'Showen Williams missed Three Point Jumper.,16,29
6:06,2026,Jake Wilson Offensive Rebound.,16,29
6:01,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Jake Wilson.,16,32
5:48,2079,Mark James Turnover.,16,32
5:46,2026,Ronshad Shabazz Steal.,16,32
5:44,2026,O'Showen Williams missed Layup.,16,32
5:44,2079,Sami El-Rafey Defensive Rebound.,16,32
5:31,2079,Aj Horde Turnover.,16,32
5:29,2026,O'Showen Williams Steal.,16,32
5:28,2026,O'Showen Williams made Layup.,16,34
5:07,2079,Aj Horde Turnover.,16,34
4:53,2026,Tyrell Johnson missed Jumper.,16,34
4:53,2026,Appalachian State Offensive Rebound.,16,34
4:42,2026,Ronshad Shabazz made Three Point Jumper.,16,37
4:10,2079,Monte Simpkins missed Three Point Jumper.,16,37
4:10,2026,Zach Cottrell Defensive Rebound.,16,37
3:57,2026,Justin Forrest missed Jumper.,16,37
3:57,2026,Tyrell Johnson Offensive Rebound.,16,37
3:52,2026,Tyrell Johnson made Layup.,16,39
3:34,2079,Dimetri Chambers missed Jumper.,16,39
3:34,2026,Zach Cottrell Defensive Rebound.,16,39
3:22,2026,Jake Wilson Turnover.,16,39
3:22,2026,Foul on Jake Wilson.,16,39
3:22,2026,Official TV Timeout,16,39
3:07,2079,Dimetri Chambers Turnover.,16,39
3:06,2026,Jake Wilson Steal.,16,39
2:51,2026,Justin Forrest missed Three Point Jumper.,16,39
2:51,2026,Jake Wilson Offensive Rebound.,16,39
2:46,2026,Jake Wilson missed Layup.,16,39
2:46,2079,Bridgewater (VA) Defensive Rebound.,16,39
2:23,2079,Zach Breathwaite missed Layup.,16,39
2:23,2026,Jake Wilson Block.,16,39
2:21,2026,Jake Wilson Defensive Rebound.,16,39
2:09,2026,Ronshad Shabazz missed Jumper.,16,39
2:09,2026,Jake Wilson Offensive Rebound.,16,39
2:04,2026,Ronshad Shabazz missed Layup.,16,39
2:04,2079,Davrion Grier Block.,16,39
2:02,2079,Monte Simpkins Defensive Rebound.,16,39
1:59,2079,Monte Simpkins made Layup.,18,39
1:36,2026,Ronshad Shabazz missed Layup.,18,39
1:36,2079,Davrion Grier Defensive Rebound.,18,39
1:34,2026,Foul on Ronshad Shabazz.,18,39
1:32,2079,Monte Simpkins missed Free Throw.,18,39
1:32,2079,Bridgewater (VA) Deadball Team Rebound.,18,39
1:32,2079,Monte Simpkins made Free Throw.,19,39
1:32,2026,Justin Forrest Turnover.,19,39
1:32,2026,Foul on Justin Forrest.,19,39
1:29,2079,Monte Simpkins Turnover.,19,39
1:29,2079,Foul on Monte Simpkins.,19,39
1:19,2079,Foul on Aj Horde.,19,39
1:18,2026,O'Showen Williams made Free Throw.,19,40
1:18,2026,O'Showen Williams made Free Throw.,19,41
1:01,2079,Monte Simpkins missed Jumper.,19,41
1:01,2079,Bridgewater (VA) Offensive Rebound.,19,41
0:59,2026,Foul on Bennett Holley.,19,41
0:59,2079,Sami El-Rafey made Free Throw.,20,41
0:59,2079,Sami El-Rafey made Free Throw.,21,41
0:54,2026,Bennett Holley Turnover.,21,41
0:54,2026,Foul on Bennett Holley.,21,41
0:37,2079,Drew Bethoney Turnover.,21,41
0:35,2026,Isaac Johnson Steal.,21,41
0:31,2026,Isaac Johnson Turnover.,21,41
0:31,2026,Foul on Isaac Johnson.,21,41
0:06,2079,Tj Turner Turnover.,21,41
0:04,2026,Craig Hinton Steal.,21,41
0:02,2026,Craig Hinton Turnover.,21,41
0:00,2026,End of 1st half,21,41
19:44,2079,Davrion Grier missed Layup.,21,41
19:44,2026,Isaac Johnson Defensive Rebound.,21,41
19:37,2079,Foul on Davrion Grier.,21,41
19:37,2026,Ronshad Shabazz made Free Throw.,21,42
19:37,2026,Ronshad Shabazz made Free Throw.,21,43
19:23,2079,Dimetri Chambers missed Three Point Jumper.,21,43
19:23,2026,Isaac Johnson Defensive Rebound.,21,43
19:10,2079,Foul on Aj Horde.,21,43
19:10,2026,Griffin Kinney made Free Throw.,21,44
19:10,2026,Griffin Kinney made Free Throw.,21,45
18:55,2079,Monte Simpkins Turnover.,21,45
18:46,2026,Tyrell Johnson made Three Point Jumper. Assisted by Ronshad Shabazz.,21,48
18:30,2079,Dimetri Chambers made Three Point Jumper.,24,48
18:17,2026,Isaac Johnson missed Three Point Jumper.,24,48
18:17,2026,Griffin Kinney Offensive Rebound.,24,48
18:11,2026,Griffin Kinney missed Layup.,24,48
18:11,2079,Dimetri Chambers Defensive Rebound.,24,48
18:05,2079,Aj Horde missed Three Point Jumper.,24,48
18:05,2079,Davrion Grier Offensive Rebound.,24,48
17:59,2079,Davrion Grier made Layup.,26,48
17:54,2026,Isaac Johnson made Layup. Assisted by Ronshad Shabazz.,26,50
17:28,2026,Foul on Zach Cottrell.,26,50
17:26,2079,Dimetri Chambers missed Three Point Jumper.,26,50
17:26,2026,Griffin Kinney Defensive Rebound.,26,50
17:19,2026,Zach Cottrell missed Three Point Jumper.,26,50
17:19,2079,Dimetri Chambers Defensive Rebound.,26,50
17:10,2079,Davrion Grier missed Three Point Jumper.,26,50
17:10,2079,Zach Breathwaite Offensive Rebound.,26,50
17:03,2079,Zach Breathwaite Turnover.,26,50
17:02,2026,Zach Cottrell Steal.,26,50
17:00,2026,Ronshad Shabazz made Layup.,26,52
16:59,2026,Appalachian State  Timeout,26,52
16:47,2079,Davrion Grier missed Layup.,26,52
16:47,2026,Griffin Kinney Defensive Rebound.,26,52
16:32,2026,Zach Cottrell missed Three Point Jumper.,26,52
16:32,2026,Appalachian State Offensive Rebound.,26,52
16:28,2026,Tyrell Johnson missed Three Point Jumper.,26,52
16:28,2026,Griffin Kinney Offensive Rebound.,26,52
16:23,2026,Griffin Kinney missed Layup.,26,52
16:23,2079,Dimetri Chambers Defensive Rebound.,26,52
16:18,2079,Zach Breathwaite made Layup.,28,52
16:08,2026,Griffin Kinney Turnover.,28,52
16:08,2026,Foul on Griffin Kinney.,28,52
15:59,2079,Aj Horde missed Layup.,28,52
15:59,2026,Zach Cottrell Defensive Rebound.,28,52
15:47,2026,Zach Cottrell Turnover.,28,52
15:44,2079,Sami El-Rafey Steal.,28,52
15:37,2079,Aj Horde made Layup.,30,52
15:03,2079,Foul on Miles Barrett.,30,52
15:03,2026,Official TV Timeout,30,52
15:01,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Justin Forrest.,30,55
14:40,2079,Aj Horde missed Jumper.,30,55
14:40,2026,Isaac Johnson Defensive Rebound.,30,55
14:38,2079,Foul on Sami El-Rafey.,30,55
14:22,2079,Foul on Sami El-Rafey.,30,55
14:22,2026,Tyrell Johnson made Free Throw.,30,56
14:22,2026,Tyrell Johnson made Free Throw.,30,57
14:16,2026,Foul on O'Showen Williams.,30,57
14:11,2079,Drew Bethoney missed Jumper.,30,57
14:11,2026,Ronshad Shabazz Defensive Rebound.,30,57
14:04,2026,Justin Forrest missed Three Point Jumper.,30,57
14:04,2079,Sami El-Rafey Defensive Rebound.,30,57
13:49,2026,Foul on Tyrell Johnson.,30,57
13:49,2079,Miles Barrett made Free Throw.,31,57
13:49,2079,Miles Barrett made Free Throw.,32,57
13:41,2079,Foul on Dimetri Chambers.,32,57
13:35,2026,Ronshad Shabazz made Layup.,32,59
13:07,2079,Dimetri Chambers made Layup.,34,59
12:56,2026,Craig Hinton missed Three Point Jumper.,34,59
12:56,2079,Drew Bethoney Defensive Rebound.,34,59
12:33,2026,Foul on Tyrell Johnson.,34,59
12:33,2079,Sami El-Rafey made Free Throw.,35,59
12:33,2079,Sami El-Rafey missed Free Throw.,35,59
12:33,2026,Justin Forrest Defensive Rebound.,35,59
12:28,2026,Ronshad Shabazz made Layup. Assisted by Justin Forrest.,35,61
12:28,2079,Foul on Drew Bethoney.,35,61
12:28,2026,Ronshad Shabazz missed Free Throw.,35,61
12:28,2079,Monte Simpkins Defensive Rebound.,35,61
12:16,2079,Aj Horde Turnover.,35,61
12:14,2026,Justin Forrest Steal.,35,61
12:11,2026,O'Showen Williams missed Layup.,35,61
12:11,2026,Appalachian State Offensive Rebound.,35,61
12:07,2079,Foul on Sami El-Rafey.,35,61
12:04,2026,Justin Forrest made Free Throw.,35,62
12:04,2026,Justin Forrest made Free Throw.,35,63
11:49,2079,Tj Turner Turnover.,35,63
11:48,2026,O'Showen Williams Steal.,35,63
11:45,2026,O'Showen Williams made Layup.,35,65
11:27,2079,Aj Horde made Layup.,37,65
11:19,2026,O'Showen Williams missed Three Point Jumper.,37,65
11:19,2079,Mark James Defensive Rebound.,37,65
11:11,2079,Mark James missed Layup.,37,65
11:11,2079,Mark James Offensive Rebound.,37,65
10:59,2079,Aj Horde missed Three Point Jumper.,37,65
10:59,2026,Justin Forrest Defensive Rebound.,37,65
10:52,2026,Craig Hinton made Three Point Jumper. Assisted by Justin Forrest.,37,68
10:29,2079,Aj Horde Turnover.,37,68
10:27,2026,O'Showen Williams Steal.,37,68
10:25,2026,O'Showen Williams made Layup.,37,70
10:25,2079,Foul on Tj Turner.,37,70
10:25,2026,Official TV Timeout,37,70
10:25,2026,O'Showen Williams missed Free Throw.,37,70
10:25,2079,Davrion Grier Defensive Rebound.,37,70
10:13,2079,Drew Bethoney missed Three Point Jumper.,37,70
10:13,2026,Craig Hinton Defensive Rebound.,37,70
9:56,2026,Justin Forrest missed Three Point Jumper.,37,70
9:56,2026,Craig Hinton Offensive Rebound.,37,70
9:51,2026,Craig Hinton Turnover.,37,70
9:40,2079,Miles Barrett Turnover.,37,70
9:40,2026,Craig Hinton Steal.,37,70
9:40,2026,Appalachian State  Timeout,37,70
9:30,2026,Isaac Johnson Turnover.,37,70
9:19,2079,Dimetri Chambers made Layup.,39,70
9:13,2026,Craig Hinton missed Three Point Jumper.,39,70
9:13,2079,Dimetri Chambers Defensive Rebound.,39,70
9:04,2079,Foul on Davrion Grier.,39,70
9:04,2079,Davrion Grier Turnover.,39,70
8:50,2079,Foul on Davrion Grier.,39,70
8:50,2026,Ronshad Shabazz made Free Throw.,39,71
8:50,2026,Ronshad Shabazz made Free Throw.,39,72
8:48,2079,Drew Bethoney missed Three Point Jumper.,39,72
8:48,2026,O'Showen Williams Defensive Rebound.,39,72
8:44,2026,Justin Forrest missed Three Point Jumper.,39,72
8:44,2079,Ken Stanciel Defensive Rebound.,39,72
8:35,2079,Dimetri Chambers made Three Point Jumper.,42,72
8:33,2026,Foul on Tyrell Johnson.,42,72
8:15,2079,Tj Turner missed Three Point Jumper.,42,72
8:15,2026,Justin Forrest Defensive Rebound.,42,72
8:06,2079,Foul on Tj Turner.,42,72
8:06,2026,Griffin Kinney missed Free Throw.,42,72
8:06,2026,Appalachian State Deadball Team Rebound.,42,72
8:06,2026,Griffin Kinney made Free Throw.,42,73
7:56,2079,Dimetri Chambers missed Jumper.,42,73
7:56,2079,Bridgewater (VA) Offensive Rebound.,42,73
7:54,2026,Foul on Zach Cottrell.,42,73
7:54,2026,Official TV Timeout,42,73
7:54,2079,Ken Stanciel missed Free Throw.,42,73
7:54,2026,Justin Forrest Defensive Rebound.,42,73
7:38,2026,O'Showen Williams made Layup.,42,75
7:14,2079,Dimetri Chambers Turnover.,42,75
7:11,2026,O'Showen Williams Steal.,42,75
7:07,2079,Foul on Ken Stanciel.,42,75
7:07,2026,O'Showen Williams made Free Throw.,42,76
7:07,2026,O'Showen Williams made Free Throw.,42,77
6:51,2079,Dimetri Chambers missed Jumper.,42,77
6:51,2026,Zach Cottrell Defensive Rebound.,42,77
6:43,2026,Zach Cottrell missed Three Point Jumper.,42,77
6:43,2079,Tj Turner Defensive Rebound.,42,77
6:26,2079,Aj Horde missed Three Point Jumper.,42,77
6:26,2026,Griffin Kinney Defensive Rebound.,42,77
6:17,2079,Foul on Tj Turner.,42,77
6:17,2026,Ronshad Shabazz made Free Throw.,42,78
6:17,2026,Ronshad Shabazz made Free Throw.,42,79
5:49,2079,Aj Horde missed Jumper.,42,79
5:49,2026,Appalachian State Defensive Rebound.,42,79
5:41,2026,Tyrell Johnson missed Layup.,42,79
5:41,2026,Justin Forrest Offensive Rebound.,42,79
5:36,2026,Justin Forrest made Layup.,42,81
5:29,2079,Aj Horde Turnover.,42,81
5:17,2026,Isaac Johnson missed Layup.,42,81
5:17,2079,Sami El-Rafey Defensive Rebound.,42,81
5:02,2079,Drew Bethoney made Three Point Jumper.,45,81
4:45,2026,Griffin Kinney missed Three Point Jumper.,45,81
4:45,2026,Justin Forrest Offensive Rebound.,45,81
4:37,2079,Foul on Ken Stanciel.,45,81
4:37,2026,Isaac Johnson made Free Throw.,45,82
4:37,2026,Isaac Johnson missed Free Throw.,45,82
4:37,2079,Zach Breathwaite Defensive Rebound.,45,82
4:27,2079,Zach Breathwaite Turnover.,45,82
4:27,2079,Foul on Zach Breathwaite.,45,82
4:08,2079,Foul on Zach Breathwaite.,45,82
4:08,2026,Tyrell Johnson made Free Throw.,45,83
4:08,2026,Tyrell Johnson missed Free Throw.,45,83
4:08,2026,Jake Wilson Offensive Rebound.,45,83
4:05,2026,Jake Wilson made Layup.,45,85
3:44,2079,Sami El-Rafey missed Layup.,45,85
3:44,2026,Jake Wilson Block.,45,85
3:42,2079,Sami El-Rafey Offensive Rebound.,45,85
3:38,2079,Sami El-Rafey missed Layup.,45,85
3:38,2026,Jake Wilson Block.,45,85
3:37,2026,Tyrell Johnson Defensive Rebound.,45,85
3:37,2079,Foul on Zach Breathwaite.,45,85
3:37,2026,Official TV Timeout,45,85
3:37,2026,Tyrell Johnson made Free Throw.,45,86
3:37,2026,Tyrell Johnson made Free Throw.,45,87
3:28,2079,Dimetri Chambers made Three Point Jumper.,48,87
3:07,2026,Craig Hinton made Dunk. Assisted by Isaac Johnson.,48,89
2:58,2026,Foul on Craig Hinton.,48,89
2:58,2079,Dimetri Chambers made Free Throw.,49,89
2:58,2079,Dimetri Chambers missed Free Throw.,49,89
2:58,2026,Jake Wilson Defensive Rebound.,49,89
2:37,2026,Justin Forrest missed Layup.,49,89
2:37,2026,Jake Wilson Offensive Rebound.,49,89
2:36,2079,Foul on Monte Simpkins.,49,89
2:36,2026,Jake Wilson made Free Throw.,49,90
2:36,2026,Jake Wilson missed Free Throw.,49,90
2:36,2079,Bridgewater (VA) Defensive Rebound.,49,90
2:26,2079,Dimetri Chambers made Three Point Jumper.,52,90
2:14,2026,Kevin Kerley Turnover.,52,90
2:13,2079,Dimetri Chambers Steal.,52,90
2:08,2079,Tj Turner made Layup.,54,90
2:00,2079,Foul on Drew Bethoney.,54,90
1:59,2026,Kevin Kerley made Free Throw.,54,91
1:59,2026,Kevin Kerley missed Free Throw.,54,91
1:59,2079,Drew Bethoney Defensive Rebound.,54,91
1:45,2026,Foul on Nick Hough.,54,91
1:45,2079,Ken Stanciel made Free Throw.,55,91
1:45,2079,Ken Stanciel made Free Throw.,56,91
1:39,2026,Nick Hough Turnover.,56,91
1:37,2079,Ken Stanciel Steal.,56,91
1:35,2026,Foul on Nick Hough.,56,91
1:35,2079,Ken Stanciel missed Free Throw.,56,91
1:35,2079,Bridgewater (VA) Deadball Team Rebound.,56,91
1:35,2079,Ken Stanciel made Free Throw.,57,91
1:12,2079,Foul on Ken Stanciel.,57,91
1:12,2026,Kevin Kerley made Free Throw.,57,92
1:12,2026,Kevin Kerley missed Free Throw.,57,92
1:12,2026,Appalachian State Offensive Rebound.,57,92
1:03,2026,Bennett Holley made Layup.,57,94
0:51,2079,Chandler Murray missed Three Point Jumper.,57,94
0:51,2026,Jake Wilson Defensive Rebound.,57,94
0:28,2026,Kevin Kerley missed Layup.,57,94
0:28,2026,Jake Wilson Offensive Rebound.,57,94
0:24,2079,Foul on Ken Stanciel.,57,94
0:24,2026,Jake Wilson missed Free Throw.,57,94
0:24,2026,Appalachian State Deadball Team Rebound.,57,94
0:24,2026,Jake Wilson made Free Throw.,57,95
0:14,2079,Tj Turner missed Three Point Jumper.,57,95
0:14,2026,Jake Wilson Defensive Rebound.,57,95
0:00,2026,End of Game,57,95
