Chicago State,2509,Purdue,2130
0:31,2130,Chicago State Deadball Team Rebound.,27,57
0:31,2130,Rob Shaw made Free Throw.,28,57
0:23,2509,Matt Haarms Turnover.,28,57
0:22,2130,John Joyce Steal.,28,57
0:17,2130,John Joyce missed Three Point Jumper.,28,57
0:17,2509,Ryan Cline Defensive Rebound.,28,57
0:02,2509,Matt Haarms missed Three Point Jumper.,28,57
0:02,2509,Nojel Eastern Offensive Rebound.,28,57
0:00,2509,Nojel Eastern made Jumper.,28,59
0:00,2509,End of 1st half,28,59
19:47,2509,Carsen Edwards made Jumper.,28,61
19:18,2130,Glen Burns Turnover.,28,61
19:17,2509,Vince Edwards Steal.,28,61
19:12,2509,Vince Edwards missed Three Point Jumper.,28,61
19:12,2130,Glen Burns Defensive Rebound.,28,61
18:59,2130,Anthony Harris Turnover.,28,61
18:58,2509,P.J. Thompson Steal.,28,61
18:52,2509,Dakota Mathias made Three Point Jumper.,28,64
18:35,2130,Fred Sims Jr. missed Three Point Jumper.,28,64
18:35,2509,Dakota Mathias Defensive Rebound.,28,64
18:21,2509,Dakota Mathias made Jumper.,28,66
18:12,2130,Chicago State  Timeout,28,66
18:12,2509,Official TV Timeout,28,66
17:50,2130,Jelani Pruitt missed Jumper.,28,66
17:49,2509,Carsen Edwards Defensive Rebound.,28,66
17:48,2509,Vince Edwards missed Jumper.,28,66
17:47,2130,Patrick Szpir Block.,28,66
17:46,2509,Vince Edwards Offensive Rebound.,28,66
17:44,2509,Vince Edwards Turnover.,28,66
17:44,2130,Patrick Szpir Steal.,28,66
17:34,2130,Rob Shaw missed Jumper.,28,66
17:34,2509,Carsen Edwards Defensive Rebound.,28,66
17:24,2509,Vince Edwards missed Jumper.,28,66
17:24,2509,P.J. Thompson Offensive Rebound.,28,66
17:17,2509,Carsen Edwards made Jumper. Assisted by Dakota Mathias.,28,68
17:11,2130,Patrick Szpir Turnover.,28,68
17:10,2509,Dakota Mathias Steal.,28,68
17:07,2509,Carsen Edwards made Three Point Jumper. Assisted by Dakota Mathias.,28,71
16:50,2130,Glen Burns missed Jumper.,28,71
16:50,2509,Isaac Haas Block.,28,71
16:48,2509,P.J. Thompson Defensive Rebound.,28,71
16:46,2509,Vince Edwards made Dunk. Assisted by Dakota Mathias.,28,73
16:41,2130,Chicago State  Timeout,28,73
16:27,2130,John Joyce missed Jumper.,28,73
16:27,2509,Vince Edwards Block.,28,73
16:26,2509,Isaac Haas Defensive Rebound.,28,73
16:20,2509,P.J. Thompson missed Three Point Jumper.,28,73
16:20,2509,Isaac Haas Offensive Rebound.,28,73
16:08,2509,Dakota Mathias made Jumper. Assisted by P.J. Thompson.,28,75
15:57,2130,Travon Bell made Three Point Jumper. Assisted by Cameron Bowles.,31,75
15:48,2130,Foul on Deionte Simmons.,31,75
15:48,2509,Official TV Timeout,31,75
15:42,2509,Vince Edwards Turnover.,31,75
15:42,2130,Simeon Henton Steal.,31,75
15:35,2130,Foul on Simeon Henton.,31,75
15:35,2130,Simeon Henton Turnover.,31,75
15:20,2509,Isaac Haas made Jumper. Assisted by Carsen Edwards.,31,77
15:09,2130,John Joyce missed Three Point Jumper.,31,77
15:09,2509,Dakota Mathias Defensive Rebound.,31,77
14:59,2509,Carsen Edwards made Three Point Jumper. Assisted by Dakota Mathias.,31,80
14:41,2130,Travon Bell missed Three Point Jumper.,31,80
14:41,2509,Vince Edwards Defensive Rebound.,31,80
14:28,2509,Vince Edwards missed Three Point Jumper.,31,80
14:28,2509,Nojel Eastern Offensive Rebound.,31,80
14:20,2509,P.J. Thompson made Three Point Jumper. Assisted by Vince Edwards.,31,83
13:57,2130,Deionte Simmons Turnover.,31,83
13:44,2509,Isaac Haas missed Jumper.,31,83
13:44,2509,Vince Edwards Offensive Rebound.,31,83
13:42,2509,Vince Edwards made Layup.,31,85
13:31,2130,Travon Bell missed Three Point Jumper.,31,85
13:31,2130,Chicago State Offensive Rebound.,31,85
13:11,2130,Fred Sims Jr. missed Three Point Jumper.,31,85
13:11,2509,Ryan Cline Defensive Rebound.,31,85
12:57,2130,Foul on Simeon Henton.,31,85
12:57,2509,Isaac Haas made Free Throw.,31,86
12:57,2509,Isaac Haas made Free Throw.,31,87
12:38,2130,Cameron Bowles missed Jumper.,31,87
12:38,2509,Nojel Eastern Defensive Rebound.,31,87
12:27,2509,Grady Eifert made Layup. Assisted by Nojel Eastern.,31,89
12:16,2130,Jalen Stephens-Holmes missed Jumper.,31,89
12:16,2509,Grady Eifert Defensive Rebound.,31,89
12:08,2509,Nojel Eastern missed Three Point Jumper.,31,89
12:08,2130,John Joyce Defensive Rebound.,31,89
11:50,2130,Fred Sims Jr. missed Jumper.,31,89
11:50,2509,Grady Eifert Defensive Rebound.,31,89
11:40,2509,P.J. Thompson made Three Point Jumper. Assisted by Ryan Cline.,31,92
11:02,2509,Official TV Timeout,31,92
11:02,2130,Foul on Cameron Bowles.,31,92
11:02,2130,Cameron Bowles Turnover.,31,92
10:59,2509,Jacquil Taylor missed Jumper.,31,92
10:59,2130,Fred Sims Jr. Defensive Rebound.,31,92
