North Dakota,62,Hawai'i,155
4:04,155,Foul on Dale Jones.,17,34
4:04,62,Jack Purchase missed Free Throw.,17,34
4:04,155,Conner Avants Defensive Rebound.,17,34
3:45,62,Foul on Brocke Stepteau.,17,34
3:45,155,Marlon Stewart missed Free Throw.,17,34
3:45,155,North Dakota Deadball Team Rebound.,17,34
3:45,155,Marlon Stewart made Free Throw.,18,34
3:24,155,Foul on Jafar Kinsey.,18,34
3:24,62,Michael Thomas made Free Throw.,18,35
3:24,62,Michael Thomas made Free Throw.,18,36
3:09,155,Conner Avants made Jumper.,20,36
2:52,62,Leland Green made Three Point Jumper. Assisted by Brocke Stepteau.,20,39
2:38,155,Jafar Kinsey made Jumper.,22,39
2:19,62,Michael Thomas made Layup.,22,41
2:03,155,Cortez Seales made Jumper.,24,41
1:37,62,Brocke Stepteau made Jumper.,24,43
1:24,62,Foul on Brocke Stepteau.,24,43
1:24,155,Marlon Stewart missed Free Throw.,24,43
1:24,155,North Dakota Deadball Team Rebound.,24,43
1:24,155,Marlon Stewart made Free Throw.,25,43
1:04,62,Michael Thomas made Layup.,25,45
0:45,155,Geno Crandall made Three Point Jumper. Assisted by Jafar Kinsey.,28,45
0:37,62,Drew Buggs missed Layup.,28,45
0:37,62,Hawai'i Deadball Team Rebound.,28,45
0:36,155,Foul on Jafar Kinsey.,28,45
0:36,62,Michael Thomas made Free Throw.,28,46
0:36,62,Michael Thomas missed Free Throw.,28,46
0:36,155,Kienan Walter Defensive Rebound.,28,46
0:23,155,Conner Avants missed Jumper.,28,46
0:23,62,Jack Purchase Defensive Rebound.,28,46
0:04,62,Leland Green Turnover.,28,46
0:04,62,Foul on Leland Green.,28,46
0:00,155,Geno Crandall made Three Point Jumper.,31,46
0:00,62,End of 1st half,31,46
19:48,62,Drew Buggs Turnover.,31,46
19:46,155,Marlon Stewart Steal.,31,46
19:45,155,Cortez Seales made Layup.,33,46
19:44,62,Foul on Jack Purchase.,33,46
19:44,155,Cortez Seales missed Free Throw.,33,46
19:44,62,Michael Thomas Defensive Rebound.,33,46
19:26,62,Leland Green Turnover.,33,46
19:25,155,Marlon Stewart Steal.,33,46
19:22,155,Cortez Seales missed Layup.,33,46
19:22,62,Hawai'i Defensive Rebound.,33,46
19:18,62,Drew Buggs missed Jumper.,33,46
19:18,155,Conner Avants Defensive Rebound.,33,46
19:04,155,Geno Crandall missed Three Point Jumper.,33,46
19:04,62,Michael Thomas Defensive Rebound.,33,46
18:51,62,Michael Thomas Turnover.,33,46
18:51,62,Foul on Michael Thomas.,33,46
18:39,62,Foul on Gibson Johnson.,33,46
18:39,155,Conner Avants made Free Throw.,34,46
18:39,155,Conner Avants made Free Throw.,35,46
18:24,62,Drew Buggs missed Jumper.,35,46
18:24,155,Conner Avants Block.,35,46
18:22,155,Marlon Stewart Defensive Rebound.,35,46
18:18,155,Marlon Stewart missed Layup.,35,46
18:18,155,Dale Jones Offensive Rebound.,35,46
18:16,155,Dale Jones made Jumper.,37,46
18:10,62,Michael Thomas made Layup.,37,48
17:51,155,Conner Avants made Layup.,39,48
17:25,62,Ido Flaisher made Layup. Assisted by Michael Thomas.,39,50
17:02,155,Conner Avants made Jumper. Assisted by Marlon Stewart.,41,50
16:43,155,Foul on Dale Jones.,41,50
16:32,62,Michael Thomas missed Three Point Jumper.,41,50
16:32,155,North Dakota Deadball Team Rebound.,41,50
16:29,62,Foul on Zigmars Raimo.,41,50
16:14,155,Conner Avants missed Jumper.,41,50
16:14,62,Jack Purchase Defensive Rebound.,41,50
16:03,62,Jack Purchase missed Layup.,41,50
16:03,155,Cortez Seales Block.,41,50
16:02,155,Geno Crandall Defensive Rebound.,41,50
15:57,62,Foul on Leland Green.,41,50
15:57,62,Official TV Timeout,41,50
15:57,155,Jafar Kinsey made Free Throw.,42,50
15:57,155,Jafar Kinsey missed Free Throw.,42,50
15:57,62,Jack Purchase Defensive Rebound.,42,50
15:45,62,Brocke Stepteau Turnover.,42,50
15:18,155,Tray Buchanan made Layup.,44,50
15:18,62,Foul on Brocke Stepteau.,44,50
15:18,155,Tray Buchanan made Free Throw.,45,50
15:05,155,Foul on Jafar Kinsey.,45,50
14:53,155,Foul on Jaqwan McCauley.,45,50
14:52,62,Jack Purchase missed Jumper.,45,50
14:52,155,North Dakota Defensive Rebound.,45,50
14:41,62,Foul on Michael Thomas.,45,50
14:41,155,Jaqwan McCauley made Free Throw.,46,50
14:41,155,Jaqwan McCauley missed Free Throw.,46,50
14:41,62,Hawai'i Deadball Team Rebound.,46,50
14:40,155,Foul on Tray Buchanan.,46,50
14:20,62,Brandon Thomas missed Three Point Jumper.,46,50
14:20,62,Sheriff Drammeh Offensive Rebound.,46,50
14:15,62,Sheriff Drammeh made Layup.,46,52
14:04,155,Tray Buchanan missed Three Point Jumper.,46,52
14:04,62,Jack Purchase Defensive Rebound.,46,52
13:54,155,Foul on Jaqwan McCauley.,46,52
13:54,62,Brocke Stepteau made Free Throw.,46,53
13:54,62,Brocke Stepteau made Free Throw.,46,54
13:37,155,Cortez Seales missed Layup.,46,54
13:37,62,Jack Purchase Defensive Rebound.,46,54
13:13,62,Michael Thomas made Jumper. Assisted by Sheriff Drammeh.,46,56
13:04,155,North Dakota  Timeout,46,56
12:50,62,Foul on Sheriff Drammeh.,46,56
12:50,155,Geno Crandall made Free Throw.,47,56
12:50,155,Geno Crandall made Free Throw.,48,56
12:23,62,Michael Thomas made Layup. Assisted by Brocke Stepteau.,48,58
12:05,155,Jafar Kinsey missed Three Point Jumper.,48,58
12:05,155,North Dakota Offensive Rebound.,48,58
11:53,155,Geno Crandall Turnover.,48,58
11:53,62,Official TV Timeout,48,58
11:28,62,Leland Green missed Jumper.,48,58
11:28,155,North Dakota Defensive Rebound.,48,58
11:12,62,Foul on Sheriff Drammeh.,48,58
11:12,155,Geno Crandall made Free Throw.,49,58
11:12,155,Geno Crandall made Free Throw.,50,58
10:58,155,Foul on Marlon Stewart.,50,58
10:58,62,Brocke Stepteau missed Free Throw.,50,58
10:58,62,Hawai'i Deadball Team Rebound.,50,58
10:58,62,Brocke Stepteau made Free Throw.,50,59
10:40,155,Geno Crandall made Three Point Jumper.,53,59
10:23,62,Michael Thomas missed Jumper.,53,59
10:23,62,Gibson Johnson Offensive Rebound.,53,59
10:17,62,Leland Green missed Jumper.,53,59
10:17,155,Conner Avants Defensive Rebound.,53,59
10:08,155,Geno Crandall Turnover.,53,59
10:08,155,Foul on Geno Crandall.,53,59
9:49,62,Gibson Johnson missed Jumper.,53,59
9:49,155,Dale Jones Defensive Rebound.,53,59
9:37,155,Marlon Stewart Turnover.,53,59
9:36,62,Brocke Stepteau Steal.,53,59
9:32,62,Leland Green made Layup. Assisted by Brocke Stepteau.,53,61
9:27,155,Marlon Stewart Turnover.,53,61
9:26,62,Sheriff Drammeh Steal.,53,61
9:06,62,Jack Purchase Turnover.,53,61
9:05,155,Cortez Seales Steal.,53,61
9:04,62,Foul on Jack Purchase.,53,61
9:04,155,Marlon Stewart made Free Throw.,54,61
9:04,155,Marlon Stewart made Free Throw.,55,61
8:47,62,Sheriff Drammeh Turnover.,55,61
8:46,155,Marlon Stewart Steal.,55,61
8:44,155,Tray Buchanan missed Layup.,55,61
8:42,62,Jack Purchase Defensive Rebound.,55,61
8:25,62,Leland Green missed Three Point Jumper.,55,61
8:25,155,Dale Jones Defensive Rebound.,55,61
8:12,155,Marlon Stewart missed Layup.,55,61
8:12,155,North Dakota Deadball Team Rebound.,55,61
8:11,62,Foul on Jack Purchase.,55,61
8:11,155,Marlon Stewart made Free Throw.,56,61
8:11,155,Marlon Stewart made Free Throw.,57,61
7:57,155,Foul on Conner Avants.,57,61
7:57,62,Official TV Timeout,57,61
7:57,62,Michael Thomas missed Free Throw.,57,61
7:57,62,Hawai'i Deadball Team Rebound.,57,61
7:57,62,Michael Thomas missed Free Throw.,57,61
7:57,155,Dale Jones Defensive Rebound.,57,61
7:47,155,Dale Jones Turnover.,57,61
7:47,155,Foul on Dale Jones.,57,61
7:29,62,Michael Thomas made Layup. Assisted by Sheriff Drammeh.,57,63
7:18,155,Dale Jones missed Three Point Jumper.,57,63
7:18,62,Sheriff Drammeh Defensive Rebound.,57,63
7:00,62,Drew Buggs made Layup.,57,65
6:41,155,Marlon Stewart Turnover.,57,65
6:41,62,Drew Buggs Steal.,57,65
6:41,155,Foul on Conner Avants.,57,65
6:41,62,Hawai'i  Timeout,57,65
6:41,62,Drew Buggs made Free Throw.,57,66
6:41,62,Drew Buggs made Free Throw.,57,67
6:18,155,Marlon Stewart missed Three Point Jumper.,57,67
6:18,155,Conner Avants Offensive Rebound.,57,67
6:14,155,Conner Avants made Jumper.,59,67
6:00,62,Leland Green made Jumper.,59,69
5:49,155,Conner Avants made Layup. Assisted by Geno Crandall.,61,69
5:49,62,Foul on Sheriff Drammeh.,61,69
5:49,155,Conner Avants missed Free Throw.,61,69
5:49,62,Gibson Johnson Defensive Rebound.,61,69
5:29,62,Drew Buggs missed Jumper.,61,69
5:29,155,Conner Avants Defensive Rebound.,61,69
5:19,155,Cortez Seales made Jumper.,63,69
5:13,62,Drew Buggs Turnover.,63,69
5:12,155,Geno Crandall Steal.,63,69
5:09,155,Geno Crandall Turnover.,63,69
5:09,155,Foul on Geno Crandall.,63,69
4:58,62,Michael Thomas made Jumper. Assisted by Brocke Stepteau.,63,71
4:40,62,Foul on Michael Thomas.,63,71
4:40,155,Geno Crandall made Free Throw.,64,71
4:40,155,Geno Crandall made Free Throw.,65,71
4:28,62,Leland Green made Jumper.,65,73
4:10,155,Marlon Stewart made Layup.,67,73
3:55,62,Sheriff Drammeh missed Three Point Jumper.,67,73
3:55,155,Marlon Stewart Defensive Rebound.,67,73
3:45,155,Cortez Seales made Jumper.,69,73
3:36,62,Hawai'i  Timeout,69,73
3:23,62,Leland Green missed Three Point Jumper.,69,73
3:23,62,Michael Thomas Offensive Rebound.,69,73
3:17,155,Foul on Dale Jones.,69,73
3:17,62,Gibson Johnson made Free Throw.,69,74
3:17,62,Gibson Johnson made Free Throw.,69,75
2:49,155,Marlon Stewart made Layup.,71,75
2:32,62,Michael Thomas missed Three Point Jumper.,71,75
2:32,155,Geno Crandall Defensive Rebound.,71,75
2:21,155,Geno Crandall missed Layup.,71,75
2:19,62,Hawai'i Deadball Team Rebound.,71,75
2:18,155,Foul on Conner Avants.,71,75
2:18,62,Gibson Johnson made Free Throw.,71,76
2:18,62,Gibson Johnson missed Free Throw.,71,76
2:18,155,Conner Avants Defensive Rebound.,71,76
2:05,155,Conner Avants missed Jumper.,71,76
2:05,155,Geno Crandall Offensive Rebound.,71,76
2:02,155,Geno Crandall made Layup.,73,76
1:43,155,Foul on Marlon Stewart.,73,76
1:43,62,Leland Green made Free Throw.,73,77
1:43,62,Leland Green made Free Throw.,73,78
1:36,62,Foul on Sheriff Drammeh.,73,78
1:36,155,Geno Crandall missed Free Throw.,73,78
1:36,155,North Dakota Deadball Team Rebound.,73,78
1:36,155,Geno Crandall made Free Throw.,74,78
1:23,155,Foul on Geno Crandall.,74,78
1:23,62,Jack Purchase made Free Throw.,74,79
1:23,62,Jack Purchase missed Free Throw.,74,79
1:23,155,Conner Avants Defensive Rebound.,74,79
1:16,155,Cortez Seales made Layup.,76,79
0:59,62,Gibson Johnson missed Layup.,76,79
0:59,62,Michael Thomas Offensive Rebound.,76,79
0:46,62,Michael Thomas Turnover.,76,79
0:45,155,North Dakota  Timeout,76,79
0:32,155,Marlon Stewart made Layup.,78,79
0:28,62,Hawai'i  Timeout,78,79
0:20,155,Foul on Marlon Stewart.,78,79
0:20,62,Brocke Stepteau missed Free Throw.,78,79
0:20,62,Hawai'i Deadball Team Rebound.,78,79
0:20,155,North Dakota  Timeout,78,79
0:20,62,Brocke Stepteau made Free Throw.,78,80
0:05,155,Jafar Kinsey missed Three Point Jumper.,78,80
0:05,62,Gibson Johnson Defensive Rebound.,78,80
0:01,155,Foul on Marlon Stewart.,78,80
0:01,62,Gibson Johnson made Free Throw.,78,81
0:01,62,Gibson Johnson missed Free Throw.,78,81
0:01,155,Cortez Seales Defensive Rebound.,78,81
0:00,62,End of Game,78,81
