Murray State,79,Southern Illinois,93
10:36,79,Sean O'Brien Defensive Rebound.,19,16
9:51,79,Thik Bol made Dunk. Assisted by Mike Rodriguez.,19,18
9:41,93,Jachai Taylor made Three Point Jumper. Assisted by Jonathan Stark.,22,18
9:32,79,Leo Vincent made Jumper.,22,20
9:28,93,Gee McGhee made Three Point Jumper. Assisted by Jonathan Stark.,25,20
9:24,79,Mike Rodriguez missed Free Throw.,25,20
9:24,79,Southern Illinois Deadball Team Rebound.,25,20
9:24,79,Mike Rodriguez made Free Throw.,25,21
9:22,93,Foul on Brion Sanchious.,25,21
9:12,93,Jonathan Stark missed Jumper.,25,21
9:12,79,Armon Fletcher Defensive Rebound.,25,21
9:02,79,Armon Fletcher made Three Point Jumper. Assisted by Leo Vincent.,25,24
8:44,93,Gee McGhee missed Jumper.,25,24
8:44,79,Southern Illinois Defensive Rebound.,25,24
8:31,79,Sean O'Brien missed Three Point Jumper.,25,24
8:31,93,Terrell Miller Jr. Defensive Rebound.,25,24
8:02,93,Terrell Miller Jr. Turnover.,25,24
8:01,79,Sean O'Brien Steal.,25,24
7:57,93,Foul on Terrell Miller Jr..,25,24
7:57,79,Official TV Timeout,25,24
7:57,79,Sean O'Brien missed Free Throw.,25,24
7:57,79,Southern Illinois Deadball Team Rebound.,25,24
7:57,79,Sean O'Brien made Free Throw.,25,25
7:32,93,Brion Sanchious missed Layup.,25,25
7:32,79,Sean O'Brien Defensive Rebound.,25,25
7:02,79,Leo Vincent made Layup.,25,27
6:45,93,Damarcus Croaker missed Jumper.,25,27
6:45,79,Armon Fletcher Defensive Rebound.,25,27
6:44,93,Foul on Brion Sanchious.,25,27
6:42,79,Armon Fletcher missed Free Throw.,25,27
6:42,93,Jalen Dupree Defensive Rebound.,25,27
6:27,93,Gee McGhee missed Three Point Jumper.,25,27
6:27,79,Mike Rodriguez Defensive Rebound.,25,27
6:17,79,Leo Vincent missed Three Point Jumper.,25,27
6:17,93,Jonathan Stark Defensive Rebound.,25,27
6:09,93,Bryce Jones made Three Point Jumper.,28,27
5:45,79,Mike Rodriguez missed Layup.,28,27
5:45,93,Bryce Jones Defensive Rebound.,28,27
5:29,93,Jalen Dupree missed Layup.,28,27
5:29,79,Thik Bol Block.,28,27
5:29,93,Jalen Dupree Offensive Rebound.,28,27
5:27,79,Foul on Thik Bol.,28,27
5:27,93,Jalen Dupree missed Free Throw.,28,27
5:27,93,Murray St Deadball Team Rebound.,28,27
5:27,93,Jalen Dupree missed Free Throw.,28,27
5:27,79,Rudy Stradnieks Defensive Rebound.,28,27
5:11,93,Foul on Damarcus Croaker.,28,27
5:11,79,Mike Rodriguez missed Free Throw.,28,27
5:11,79,Southern Illinois Deadball Team Rebound.,28,27
5:11,79,Mike Rodriguez made Free Throw.,28,28
5:08,93,Jonathan Stark made Jumper.,30,28
4:48,79,Sean O'Brien made Layup.,30,30
4:26,93,Jonathan Stark made Jumper. Assisted by Bryce Jones.,32,30
4:05,79,Aaron Cook made Jumper.,32,32
3:53,93,Bryce Jones missed Jumper.,32,32
3:53,93,Gilbert Thomas Jr. Offensive Rebound.,32,32
3:49,93,Jachai Taylor missed Three Point Jumper.,32,32
3:49,79,Rudy Stradnieks Defensive Rebound.,32,32
3:35,79,Sean O'Brien made Layup.,32,34
3:20,93,Bryce Jones missed Three Point Jumper.,32,34
3:20,79,Leo Vincent Block.,32,34
3:20,79,Sean Lloyd Defensive Rebound.,32,34
3:12,79,Leo Vincent missed Three Point Jumper.,32,34
3:12,93,Gilbert Thomas Jr. Defensive Rebound.,32,34
3:00,79,Official TV Timeout,32,34
2:59,93,Jonathan Stark missed Jumper.,32,34
2:59,79,Leo Vincent Defensive Rebound.,32,34
2:55,79,Mike Rodriguez made Layup.,32,36
2:52,93,Bryce Jones missed Jumper.,32,36
2:52,93,Jalen Dupree Offensive Rebound.,32,36
2:26,93,Bryce Jones Turnover.,32,36
2:26,93,Foul on Bryce Jones.,32,36
2:12,93,Foul on Dondre Griffin.,32,36
2:12,79,Mike Rodriguez made Free Throw.,32,37
2:12,79,Mike Rodriguez missed Free Throw.,32,37
2:12,79,Mike Rodriguez Offensive Rebound.,32,37
1:52,79,Sean O'Brien missed Jumper.,32,37
1:52,93,Murray St Defensive Rebound.,32,37
1:51,79,Foul on Austin Weiher.,32,37
1:34,93,Dondre Griffin missed Jumper.,32,37
1:34,93,Jachai Taylor Offensive Rebound.,32,37
1:31,79,Foul on Armon Fletcher.,32,37
1:13,79,Foul on Armon Fletcher.,32,37
0:58,93,Jachai Taylor made Three Point Jumper. Assisted by Jonathan Stark.,35,37
0:49,79,Southern Illinois  Timeout,35,37
0:41,79,Austin Weiher missed Three Point Jumper.,35,37
0:41,93,Gee McGhee Defensive Rebound.,35,37
0:16,79,Foul on Austin Weiher.,35,37
0:16,93,Jonathan Stark made Free Throw.,36,37
0:16,93,Jonathan Stark made Free Throw.,37,37
0:02,93,Foul on Dondre Griffin.,37,37
0:02,79,Mike Rodriguez made Free Throw.,37,38
0:02,79,Mike Rodriguez made Free Throw.,37,39
0:00,79,End of 1st half,37,39
19:42,79,Foul on Mike Rodriguez.,37,39
19:28,93,Brion Sanchious missed Layup.,37,39
19:28,79,Thik Bol Defensive Rebound.,37,39
19:09,79,Sean O'Brien missed Layup.,37,39
19:09,93,Terrell Miller Jr. Defensive Rebound.,37,39
19:02,93,Damarcus Croaker missed Three Point Jumper.,37,39
19:02,93,Terrell Miller Jr. Offensive Rebound.,37,39
18:59,93,Terrell Miller Jr. made Free Throw.,38,39
18:59,79,Foul on Thik Bol.,38,39
18:59,93,Terrell Miller Jr. made Free Throw.,39,39
18:31,79,Mike Rodriguez missed Three Point Jumper.,39,39
18:31,79,- Null Defensive Rebound.,39,39
18:31,93,Bryce Jones Defensive Rebound.,39,39
18:31,79,Mike Rodriguez missed Three Point Jumper.,39,39
18:06,93,Bryce Jones made Layup.,41,39
17:56,79,Sean O'Brien Turnover.,41,39
17:30,93,Bryce Jones made Jumper.,43,39
17:16,79,Leo Vincent made Jumper.,43,41
17:07,93,Brion Sanchious made Dunk. Assisted by Jonathan Stark.,45,41
16:40,79,Sean O'Brien made Layup.,45,43
16:28,93,Jonathan Stark made Jumper.,47,43
16:14,79,Armon Fletcher made Layup.,47,45
16:07,93,Jonathan Stark Turnover.,47,45
16:05,79,Leo Vincent Steal.,47,45
16:02,79,Leo Vincent made Layup. Assisted by Sean O'Brien.,47,47
15:58,79,Official TV Timeout,47,47
15:49,79,Foul on Sean O'Brien.,47,47
15:49,93,Jonathan Stark made Free Throw.,48,47
15:49,93,Jonathan Stark missed Free Throw.,48,47
15:49,79,Rudy Stradnieks Defensive Rebound.,48,47
15:36,79,Rudy Stradnieks Turnover.,48,47
15:19,93,Terrell Miller Jr. missed Layup.,48,47
15:19,79,Armon Fletcher Block.,48,47
15:19,79,Sean O'Brien Defensive Rebound.,48,47
15:06,79,Sean O'Brien made Layup. Assisted by Mike Rodriguez.,48,49
14:39,93,Bryce Jones missed Three Point Jumper.,48,49
14:39,79,Mike Rodriguez Defensive Rebound.,48,49
14:22,79,Armon Fletcher missed Three Point Jumper.,48,49
14:22,79,Rudy Stradnieks Offensive Rebound.,48,49
14:18,93,Foul on Jonathan Stark.,48,49
14:14,79,Armon Fletcher missed Layup.,48,49
14:14,93,Brion Sanchious Defensive Rebound.,48,49
14:06,93,Bryce Jones missed Three Point Jumper.,48,49
14:06,93,Brion Sanchious Offensive Rebound.,48,49
13:42,79,Foul on Sean O'Brien.,48,49
13:41,93,Jachai Taylor missed Three Point Jumper.,48,49
13:41,79,Mike Rodriguez Defensive Rebound.,48,49
13:29,79,Rudy Stradnieks made Three Point Jumper. Assisted by Mike Rodriguez.,48,52
12:58,93,Gee McGhee missed Layup.,48,52
12:58,93,Gee McGhee Offensive Rebound.,48,52
12:54,93,Gee McGhee made Layup.,50,52
12:42,79,Mike Rodriguez Turnover.,50,52
12:40,79,Foul on Mike Rodriguez.,50,52
12:14,93,Jonathan Stark made Three Point Jumper.,53,52
11:54,93,Foul on Jalen Dupree.,53,52
11:54,79,Official TV Timeout,53,52
11:54,79,Austin Weiher missed Free Throw.,53,52
11:54,79,Southern Illinois Deadball Team Rebound.,53,52
11:54,79,Austin Weiher made Free Throw.,53,53
11:40,93,Gee McGhee missed Three Point Jumper.,53,53
11:40,79,Leo Vincent Defensive Rebound.,53,53
11:18,93,Foul on Jalen Dupree.,53,53
11:18,79,Leo Vincent missed Free Throw.,53,53
11:18,79,Southern Illinois Deadball Team Rebound.,53,53
11:18,79,Leo Vincent made Free Throw.,53,54
11:05,93,Bryce Jones missed Three Point Jumper.,53,54
11:05,93,Jalen Dupree Offensive Rebound.,53,54
11:00,79,Foul on Sean Lloyd.,53,54
10:59,93,Jalen Dupree missed Free Throw.,53,54
10:59,93,Murray St Deadball Team Rebound.,53,54
10:59,93,Jalen Dupree made Free Throw.,54,54
10:49,93,Foul on Gee McGhee.,54,54
10:35,79,Sean O'Brien missed Layup.,54,54
10:35,93,Jalen Dupree Block.,54,54
10:35,93,Jachai Taylor Defensive Rebound.,54,54
10:21,93,Jalen Dupree missed Layup.,54,54
10:21,93,Gee McGhee Offensive Rebound.,54,54
10:21,93,Murray St  Timeout,54,54
10:21,79,Official TV Timeout,54,54
10:18,93,Jalen Dupree Turnover.,54,54
9:57,79,Armon Fletcher missed Three Point Jumper.,54,54
9:57,93,Jalen Dupree Defensive Rebound.,54,54
9:48,93,Jonathan Stark missed Three Point Jumper.,54,54
9:48,79,Southern Illinois Defensive Rebound.,54,54
9:16,79,Armon Fletcher missed Layup.,54,54
9:16,79,Armon Fletcher Offensive Rebound.,54,54
9:14,79,Armon Fletcher made Layup.,54,56
8:51,93,Jonathan Stark missed Jumper.,54,56
8:51,79,Sean O'Brien Defensive Rebound.,54,56
8:30,79,Armon Fletcher missed Three Point Jumper.,54,56
8:30,93,Gee McGhee Defensive Rebound.,54,56
8:13,93,Damarcus Croaker Turnover.,54,56
7:50,79,Leo Vincent made Three Point Jumper.,54,59
7:26,93,Jonathan Stark made Jumper.,56,59
6:53,79,Mike Rodriguez made Layup.,56,61
6:41,79,Foul on Leo Vincent.,56,61
6:41,79,Leo Vincent Turnover.,56,61
6:41,93,Jonathan Stark made Free Throw.,57,61
6:41,93,Jonathan Stark made Free Throw.,58,61
6:16,79,Sean O'Brien Turnover.,58,61
6:15,93,Jonathan Stark Steal.,58,61
6:12,93,Jonathan Stark made Layup.,60,61
5:56,93,Foul on Bryce Jones.,60,61
5:37,79,Mike Rodriguez made Three Point Jumper.,60,64
5:18,93,Terrell Miller Jr. Turnover.,60,64
5:16,79,Leo Vincent Steal.,60,64
5:03,79,Thik Bol made Dunk. Assisted by Mike Rodriguez.,60,66
4:54,93,Terrell Miller Jr. Turnover.,60,66
4:54,93,Foul on Terrell Miller Jr..,60,66
4:39,79,Thik Bol Turnover.,60,66
4:38,93,Brion Sanchious Steal.,60,66
4:26,93,Jonathan Stark missed Three Point Jumper.,60,66
4:26,93,Terrell Miller Jr. Offensive Rebound.,60,66
4:22,93,Terrell Miller Jr. missed Layup.,60,66
4:22,93,Terrell Miller Jr. Offensive Rebound.,60,66
4:20,79,Foul on Thik Bol.,60,66
4:20,93,Terrell Miller Jr. made Free Throw.,61,66
4:20,93,Terrell Miller Jr. made Free Throw.,62,66
3:57,79,Leo Vincent missed Three Point Jumper.,62,66
3:57,93,Terrell Miller Jr. Defensive Rebound.,62,66
3:46,93,Brion Sanchious made Layup. Assisted by Terrell Miller Jr..,64,66
3:30,79,Official TV Timeout,64,66
3:30,79,Leo Vincent missed Free Throw.,64,66
3:30,93,Gee McGhee Defensive Rebound.,64,66
3:26,93,Foul on Damarcus Croaker.,64,66
3:11,93,Jonathan Stark made Jumper.,66,66
2:40,79,Mike Rodriguez made Three Point Jumper.,66,69
2:27,93,Damarcus Croaker made Three Point Jumper. Assisted by Jonathan Stark.,69,69
2:22,93,Murray St  Timeout,69,69
2:09,93,Foul on Damarcus Croaker.,69,69
1:56,93,Foul on Terrell Miller Jr..,69,69
1:56,79,Sean O'Brien missed Free Throw.,69,69
1:56,93,Gee McGhee Defensive Rebound.,69,69
1:35,93,Jonathan Stark missed Three Point Jumper.,69,69
1:35,79,Mike Rodriguez Defensive Rebound.,69,69
1:30,79,Mike Rodriguez missed Three Point Jumper.,69,69
1:30,79,Armon Fletcher Offensive Rebound.,69,69
1:30,79,Armon Fletcher made Layup.,69,71
1:28,93,Foul on Brion Sanchious.,69,71
1:28,79,Armon Fletcher made Free Throw.,69,72
1:28,79,Southern Illinois  Timeout,69,72
1:10,93,Terrell Miller Jr. missed Layup.,69,72
1:10,93,Brion Sanchious Offensive Rebound.,69,72
1:07,93,Brion Sanchious missed Layup.,69,72
1:07,93,Damarcus Croaker Offensive Rebound.,69,72
1:07,79,Foul on Thik Bol.,69,72
1:07,93,Damarcus Croaker made Free Throw.,70,72
1:07,93,Damarcus Croaker made Free Throw.,71,72
0:37,79,Mike Rodriguez missed Three Point Jumper.,71,72
0:37,93,Brion Sanchious Defensive Rebound.,71,72
0:31,93,Terrell Miller Jr. Turnover.,71,72
0:31,79,Sean O'Brien Steal.,71,72
0:29,93,Foul on Terrell Miller Jr..,71,72
0:29,79,Leo Vincent missed Free Throw.,71,72
0:29,79,Southern Illinois Deadball Team Rebound.,71,72
0:29,79,Leo Vincent made Free Throw.,71,73
0:29,79,Southern Illinois  Timeout,71,73
0:15,93,Jonathan Stark missed Jumper.,71,73
0:15,79,Mike Rodriguez Defensive Rebound.,71,73
0:13,79,Mike Rodriguez made Free Throw.,71,74
0:13,79,Mike Rodriguez made Free Throw.,71,75
0:12,93,Foul on Jonathan Stark.,71,75
0:07,79,Leo Vincent missed Free Throw.,71,75
0:07,79,Southern Illinois Deadball Team Rebound.,71,75
0:07,79,Leo Vincent missed Free Throw.,71,75
0:07,79,Southern Illinois Deadball Team Rebound.,71,75
0:07,93,Bryce Jones made Three Point Jumper. Assisted by Jonathan Stark.,74,75
0:06,93,Murray St  Timeout,74,75
0:05,79,Armon Fletcher made Free Throw.,74,76
0:05,79,Armon Fletcher made Free Throw.,74,77
0:05,79,Southern Illinois  Timeout,74,77
0:01,93,Bryce Jones made Three Point Jumper.,77,77
0:00,79,End of 2nd half,74,77
4:37,79,Leo Vincent made Three Point Jumper.,77,80
4:12,93,Damarcus Croaker Turnover.,77,80
4:11,79,Mike Rodriguez Steal.,77,80
3:59,79,Sean O'Brien made Layup. Assisted by Mike Rodriguez.,77,82
3:41,93,Damarcus Croaker missed Three Point Jumper.,77,82
3:41,79,Rudy Stradnieks Defensive Rebound.,77,82
3:11,79,Mike Rodriguez Turnover.,77,82
2:51,93,Jonathan Stark made Jumper.,79,82
2:51,79,Foul on Mike Rodriguez.,79,82
2:51,93,Jonathan Stark made Free Throw.,80,82
2:30,79,Mike Rodriguez missed Three Point Jumper.,80,82
2:30,93,Brion Sanchious Defensive Rebound.,80,82
2:26,79,Foul on Rudy Stradnieks.,80,82
2:26,93,Brion Sanchious made Free Throw.,81,82
2:26,93,Brion Sanchious missed Free Throw.,81,82
2:26,79,Armon Fletcher Defensive Rebound.,81,82
2:25,93,Foul on Damarcus Croaker.,81,82
2:24,79,Armon Fletcher made Free Throw.,81,83
2:24,79,Armon Fletcher made Free Throw.,81,84
2:03,79,Foul on Leo Vincent.,81,84
2:03,93,Jonathan Stark made Free Throw.,82,84
1:39,93,Jonathan Stark made Free Throw.,83,84
1:39,79,Sean Lloyd missed Three Point Jumper.,83,84
1:34,93,Jachai Taylor Defensive Rebound.,83,84
1:34,93,Jachai Taylor Turnover.,83,84
1:20,93,Foul on Bryce Jones.,83,84
1:20,79,Leo Vincent missed Free Throw.,83,84
1:20,79,Southern Illinois Deadball Team Rebound.,83,84
1:20,79,Leo Vincent made Free Throw.,83,85
1:06,79,Foul on Armon Fletcher.,83,85
1:06,93,Jonathan Stark made Free Throw.,84,85
1:06,93,Jonathan Stark made Free Throw.,85,85
0:45,79,Armon Fletcher missed Layup.,85,85
0:45,93,Gee McGhee Block.,85,85
0:45,93,Gee McGhee Defensive Rebound.,85,85
0:17,93,Jonathan Stark missed Layup.,85,85
0:17,79,Armon Fletcher Defensive Rebound.,85,85
0:03,79,Mike Rodriguez missed Layup.,85,85
0:03,79,Sean O'Brien Offensive Rebound.,85,85
0:01,79,Sean O'Brien made Two Point Tip Shot.,85,87
0:01,93,Murray St  Timeout,85,87
0:01,93,Brion Sanchious Turnover.,85,87
0:01,93,Foul on Jonathan Stark.,85,89
0:01,79,Mike Rodriguez made Free Throw.,85,88
0:01,79,Mike Rodriguez made Free Throw.,85,89
0:00,79,End of 1st overtime,85,85
0:00,79,End of Game,85,89
