Tulane,2443,New Orleans,2655
11:12,2443,A.J. Cheeseman Defensive Rebound.,5,14
10:52,2443,Travin Thibodeaux Turnover.,5,14
10:51,2655,Blake Paul Steal.,5,14
10:45,2443,Foul on Travin Thibodeaux.,5,14
10:45,2443,Official TV Timeout,5,14
10:32,2655,Kain Harris made Three Point Jumper. Assisted by Malik Morgan.,8,14
10:06,2443,Christavious Gill missed Jumper.,8,14
10:06,2655,Sammis Reyes Block.,8,14
10:06,2443,Christavious Gill Offensive Rebound.,8,14
9:53,2443,New Orleans  Turnover.,8,14
9:29,2655,Sammis Reyes missed Jumper.,8,14
9:29,2443,Travin Thibodeaux Defensive Rebound.,8,14
9:00,2443,Makur Puou missed Jumper.,8,14
9:00,2443,Erik Thomas Offensive Rebound.,8,14
8:56,2443,Erik Thomas missed Jumper.,8,14
8:56,2655,Kain Harris Block.,8,14
8:54,2443,Erik Thomas Offensive Rebound.,8,14
8:53,2655,Foul on Kain Harris.,8,14
8:53,2443,Erik Thomas made Free Throw.,8,15
8:53,2443,Erik Thomas made Free Throw.,8,16
8:31,2443,Foul on Michael Zeno.,8,16
8:31,2655,Sammis Reyes missed Free Throw.,8,16
8:31,2655,Tulane Deadball Team Rebound.,8,16
8:31,2655,Sammis Reyes made Free Throw.,9,16
8:16,2443,Tevin Broyles Turnover.,9,16
8:15,2655,Sammis Reyes Steal.,9,16
8:11,2655,Cameron Reynolds made Layup. Assisted by Sammis Reyes.,11,16
8:07,2655,Technical Foul on Tulane.,11,16
8:07,2443,Christavious Gill made Free Throw.,11,17
7:51,2443,Makur Puou made Jumper. Assisted by Travin Thibodeaux.,11,19
7:34,2655,Sammis Reyes Turnover.,11,19
7:32,2443,Christavious Gill Steal.,11,19
7:28,2655,Foul on Von Julien.,11,19
7:28,2443,Official TV Timeout,11,19
7:28,2443,Michael Zeno made Free Throw.,11,20
7:28,2443,Michael Zeno made Free Throw.,11,21
7:09,2655,Kain Harris missed Jumper.,11,21
7:09,2443,Tevin Broyles Defensive Rebound.,11,21
7:02,2443,Christavious Gill missed Three Point Jumper.,11,21
7:02,2443,Michael Zeno Offensive Rebound.,11,21
6:33,2443,Makur Puou made Jumper.,11,23
6:17,2655,Von Julien missed Three Point Jumper.,11,23
6:17,2443,Travin Thibodeaux Defensive Rebound.,11,23
5:43,2443,Christavious Gill missed Jumper.,11,23
5:43,2655,Cameron Reynolds Defensive Rebound.,11,23
5:35,2655,Cameron Reynolds missed Jumper.,11,23
5:35,2655,Sammis Reyes Offensive Rebound.,11,23
5:29,2655,Sammis Reyes missed Jumper.,11,23
5:29,2655,Cameron Reynolds Offensive Rebound.,11,23
5:19,2655,Von Julien missed Jumper.,11,23
5:19,2655,Von Julien Offensive Rebound.,11,23
5:14,2655,Cameron Reynolds missed Three Point Jumper.,11,23
5:14,2443,Michael Zeno Defensive Rebound.,11,23
4:53,2443,Travin Thibodeaux made Jumper. Assisted by Christavious Gill.,11,25
4:30,2655,Cameron Reynolds Turnover.,11,25
4:28,2443,Christavious Gill Steal.,11,25
4:26,2443,Christavious Gill Steal.,11,25
4:25,2655,Foul on Von Julien.,11,25
4:25,2443,Technical Foul on Christavious Gill.,11,25
4:25,2443,Foul on Christavious Gill.,11,25
4:25,2655,Kain Harris made Free Throw.,12,25
4:25,2655,Kain Harris missed Free Throw.,12,25
4:25,2655,Tulane Deadball Team Rebound.,12,25
4:25,2443,Christavious Gill made Free Throw.,12,26
4:25,2655,Tulane  Timeout,12,26
4:25,2443,Official TV Timeout,12,26
4:25,2443,Christavious Gill made Free Throw.,12,27
4:07,2655,Blake Paul made Jumper. Assisted by Ray Ona Embo.,14,27
3:55,2443,A.J. Cheeseman missed Layup.,14,27
3:55,2655,Malik Morgan Block.,14,27
3:53,2655,Blake Paul Defensive Rebound.,14,27
3:38,2443,Foul on A.J. Cheeseman.,14,27
3:38,2655,Blake Paul missed Free Throw.,14,27
3:38,2655,Tulane Deadball Team Rebound.,14,27
3:38,2655,Blake Paul made Free Throw.,15,27
3:08,2443,Tevin Broyles missed Jumper.,15,27
3:08,2655,Malik Morgan Defensive Rebound.,15,27
3:03,2655,Kain Harris missed Three Point Jumper.,15,27
3:03,2443,Tevin Broyles Defensive Rebound.,15,27
2:49,2443,Travin Thibodeaux made Dunk. Assisted by Christavious Gill.,15,29
2:23,2655,Cameron Reynolds Turnover.,15,29
2:22,2443,Christavious Gill Steal.,15,29
2:15,2443,Makur Puou made Layup. Assisted by Travin Thibodeaux.,15,31
1:47,2655,Cameron Reynolds missed Jumper.,15,31
1:47,2443,Makur Puou Defensive Rebound.,15,31
1:31,2655,Foul on Ray Ona Embo.,15,31
1:31,2443,Tevin Broyles made Free Throw.,15,32
1:31,2443,Tevin Broyles made Free Throw.,15,33
1:08,2655,Malik Morgan missed Three Point Jumper.,15,33
1:08,2443,New Orleans Defensive Rebound.,15,33
0:42,2443,New Orleans  Timeout,15,33
0:38,2443,Tevin Broyles Turnover.,15,33
0:28,2655,Kain Harris missed Jumper.,15,33
0:28,2443,Travin Thibodeaux Defensive Rebound.,15,33
0:23,2655,Foul on Malik Morgan.,15,33
0:23,2443,Travin Thibodeaux missed Free Throw.,15,33
0:23,2655,Cameron Reynolds Defensive Rebound.,15,33
0:09,2655,Malik Morgan made Layup.,17,33
0:02,2655,Foul on Kain Harris.,17,33
0:02,2443,Christavious Gill missed Free Throw.,17,33
0:02,2443,New Orleans Deadball Team Rebound.,17,33
0:02,2443,Christavious Gill made Free Throw.,17,34
0:00,2443,End of 1st half,17,34
19:34,2655,Ray Ona Embo missed Three Point Jumper.,17,34
19:34,2443,Makur Puou Defensive Rebound.,17,34
19:15,2443,Makur Puou Turnover.,17,34
19:14,2655,Ray Ona Embo Steal.,17,34
19:13,2443,Foul on Tevin Broyles.,17,34
19:01,2655,Ryan Smith Turnover.,17,34
19:01,2443,Travin Thibodeaux Steal.,17,34
18:47,2443,New Orleans  Turnover.,17,34
18:34,2655,Ryan Smith missed Layup.,17,34
18:34,2443,Makur Puou Block.,17,34
18:32,2655,Cameron Reynolds Offensive Rebound.,17,34
18:30,2655,Cameron Reynolds made Layup.,19,34
18:18,2443,Christavious Gill made Three Point Jumper. Assisted by Travin Thibodeaux.,19,37
17:58,2655,Cameron Reynolds missed Jumper.,19,37
17:58,2443,Erik Thomas Defensive Rebound.,19,37
17:45,2443,Travin Thibodeaux missed Jumper.,19,37
17:45,2655,Ray Ona Embo Defensive Rebound.,19,37
17:37,2655,Ray Ona Embo missed Layup.,19,37
17:37,2655,Ray Ona Embo Offensive Rebound.,19,37
17:34,2655,Ray Ona Embo made Jumper.,21,37
17:09,2443,Christavious Gill missed Three Point Jumper.,21,37
17:09,2655,Ray Ona Embo Defensive Rebound.,21,37
16:58,2655,Ryan Smith missed Layup.,21,37
16:58,2443,Makur Puou Defensive Rebound.,21,37
16:53,2443,Tevin Broyles Turnover.,21,37
16:53,2443,Foul on Tevin Broyles.,21,37
16:41,2655,Colin Slater missed Three Point Jumper.,21,37
16:41,2443,Travin Thibodeaux Defensive Rebound.,21,37
16:33,2655,Foul on Colin Slater.,21,37
16:15,2443,Erik Thomas missed Jumper.,21,37
16:15,2655,Cameron Reynolds Defensive Rebound.,21,37
16:05,2655,Malik Morgan made Jumper. Assisted by Von Julien.,23,37
15:38,2443,Erik Thomas made Layup. Assisted by Travin Thibodeaux.,23,39
15:21,2443,Foul on Travin Thibodeaux.,23,39
15:21,2443,Official TV Timeout,23,39
15:08,2655,Sammis Reyes missed Layup.,23,39
15:08,2443,Tevin Broyles Defensive Rebound.,23,39
14:39,2443,Christavious Gill Turnover.,23,39
14:18,2655,Kain Harris made Three Point Jumper. Assisted by Von Julien.,26,39
14:10,2655,Foul on Ray Ona Embo.,26,39
14:10,2655,Technical Foul on Ray Ona Embo.,26,39
14:10,2655,Foul on Ray Ona Embo.,26,39
14:10,2443,Christavious Gill made Free Throw.,26,40
14:10,2443,Christavious Gill missed Free Throw.,26,40
14:10,2443,New Orleans Deadball Team Rebound.,26,40
13:55,2443,Travin Thibodeaux made Layup. Assisted by Tevin Broyles.,26,42
13:45,2655,Cameron Reynolds missed Three Point Jumper.,26,42
13:45,2443,Erik Thomas Defensive Rebound.,26,42
13:17,2443,Christavious Gill missed Three Point Jumper.,26,42
13:17,2443,Travin Thibodeaux Offensive Rebound.,26,42
12:58,2443,Makur Puou missed Jumper.,26,42
12:58,2655,Von Julien Defensive Rebound.,26,42
12:54,2655,Von Julien Turnover.,26,42
12:54,2443,Christavious Gill Steal.,26,42
12:51,2443,Erik Thomas made Dunk. Assisted by Christavious Gill.,26,44
12:32,2655,Malik Morgan Turnover.,26,44
12:31,2443,Erik Thomas Steal.,26,44
12:03,2443,Christavious Gill Turnover.,26,44
12:02,2655,Malik Morgan Steal.,26,44
12:01,2655,Kain Harris made Dunk. Assisted by Malik Morgan.,28,44
11:43,2655,Foul on Sammis Reyes.,28,44
11:43,2443,Official TV Timeout,28,44
11:43,2443,Erik Thomas made Free Throw.,28,45
11:43,2443,Erik Thomas made Free Throw.,28,46
11:24,2655,Von Julien Turnover.,28,46
11:21,2443,Christavious Gill made Layup. Assisted by Tevin Broyles.,28,48
11:05,2655,Ryan Smith missed Layup.,28,48
11:05,2655,Malik Morgan Offensive Rebound.,28,48
11:03,2655,Malik Morgan made Dunk.,30,48
10:51,2443,Makur Puou Turnover.,30,48
10:50,2655,Malik Morgan Steal.,30,48
10:46,2655,Malik Morgan made Layup.,32,48
10:41,2443,Travin Thibodeaux made Dunk. Assisted by Erik Thomas.,32,50
10:26,2655,Von Julien Turnover.,32,50
10:15,2443,Tevin Broyles missed Layup.,32,50
10:15,2443,Tevin Broyles Offensive Rebound.,32,50
10:15,2443,Tevin Broyles made Jumper.,32,52
9:59,2443,Foul on Travin Thibodeaux.,32,52
9:57,2443,Foul on A.J. Cheeseman.,32,52
9:57,2655,Malik Morgan missed Free Throw.,32,52
9:57,2655,Tulane Deadball Team Rebound.,32,52
9:57,2655,Malik Morgan made Free Throw.,33,52
9:30,2443,Christavious Gill missed Three Point Jumper.,33,52
9:30,2443,Erik Thomas Offensive Rebound.,33,52
9:26,2443,New Orleans  Turnover.,33,52
9:17,2443,Michael Zeno Turnover.,33,52
9:17,2655,Blake Paul missed Jumper.,33,52
9:17,2443,Michael Zeno Offensive Rebound.,33,52
9:09,2655,Malik Morgan Steal.,33,52
9:08,2655,Cameron Reynolds made Layup.,35,52
8:48,2443,Travin Thibodeaux made Layup.,35,54
8:34,2655,Cameron Reynolds missed Jumper.,35,54
8:34,2443,A.J. Cheeseman Defensive Rebound.,35,54
8:17,2655,Foul on Kain Harris.,35,54
8:17,2443,Christavious Gill missed Free Throw.,35,54
8:16,2443,New Orleans Deadball Team Rebound.,35,54
8:15,2443,Christavious Gill missed Free Throw.,35,54
8:15,2655,Ray Ona Embo Defensive Rebound.,35,54
8:06,2655,Ray Ona Embo made Layup.,37,54
7:56,2443,Travin Thibodeaux Turnover.,37,54
7:55,2655,Ray Ona Embo Steal.,37,54
7:54,2655,Sammis Reyes missed Layup.,37,54
7:54,2443,Michael Zeno Defensive Rebound.,37,54
7:48,2443,Cameron Reed made Three Point Jumper. Assisted by Erik Thomas.,37,57
7:31,2655,Malik Morgan missed Jumper.,37,57
7:31,2443,Erik Thomas Defensive Rebound.,37,57
7:27,2443,Michael Zeno made Layup.,37,59
7:27,2655,Foul on Ray Ona Embo.,37,59
7:27,2443,Michael Zeno made Free Throw.,37,60
7:26,2655,Colin Slater Turnover.,37,60
7:25,2443,Michael Zeno Steal.,37,60
7:22,2443,Michael Zeno made Layup.,37,62
7:00,2655,Colin Slater missed Jumper.,37,62
7:00,2655,Darian Jones Offensive Rebound.,37,62
7:00,2655,Darian Jones made Layup.,39,62
6:33,2443,Travin Thibodeaux made Jumper. Assisted by Tevin Broyles.,39,64
6:20,2655,Cameron Reynolds missed Jumper.,39,64
6:20,2443,Erik Thomas Defensive Rebound.,39,64
5:59,2655,Foul on Cameron Reynolds.,39,64
5:59,2443,Erik Thomas made Free Throw.,39,65
5:59,2443,Erik Thomas made Free Throw.,39,66
5:41,2655,Colin Slater made Layup.,41,66
5:41,2443,Foul on Travin Thibodeaux.,41,66
5:41,2655,Colin Slater made Free Throw.,42,66
5:37,2443,Erik Thomas Turnover.,42,66
5:35,2655,Ryan Smith Steal.,42,66
5:32,2655,Kain Harris made Layup.,44,66
4:58,2443,Makur Puou missed Jumper.,44,66
4:58,2443,Makur Puou Offensive Rebound.,44,66
4:58,2655,Ryan Smith Block.,44,66
4:56,2443,Michael Zeno Turnover.,44,66
4:55,2655,Ryan Smith Steal.,44,66
4:51,2655,Malik Morgan made Three Point Jumper. Assisted by Colin Slater.,47,66
4:24,2655,Foul on Ryan Smith.,47,66
4:24,2443,Erik Thomas made Free Throw.,47,67
4:24,2443,Erik Thomas made Free Throw.,47,68
4:17,2655,Malik Morgan made Three Point Jumper. Assisted by Darian Jones.,50,68
4:01,2655,Foul on Darian Jones.,50,68
4:01,2443,Michael Zeno made Free Throw.,50,69
4:01,2655,Foul on Darian Jones.,50,68
4:01,2443,Michael Zeno made Free Throw.,50,70
3:56,2655,Colin Slater missed Layup.,50,70
3:56,2443,Michael Zeno Defensive Rebound.,50,70
3:33,2655,Foul on Cameron Reynolds.,50,70
3:33,2443,Official TV Timeout,50,70
3:33,2443,Erik Thomas made Free Throw.,50,71
3:33,2443,Erik Thomas missed Free Throw.,50,71
3:33,2655,Cameron Reynolds Defensive Rebound.,50,71
3:26,2655,Ryan Smith made Dunk. Assisted by Malik Morgan.,52,71
2:55,2443,Erik Thomas missed Three Point Jumper.,52,71
2:55,2655,Cameron Reynolds Defensive Rebound.,52,71
2:45,2655,Kain Harris Turnover.,52,71
2:45,2655,Foul on Kain Harris.,52,71
2:29,2655,Foul on Darian Jones.,52,71
2:29,2443,Tevin Broyles made Free Throw.,52,72
2:29,2443,Tevin Broyles made Free Throw.,52,73
2:18,2655,Colin Slater Turnover.,52,73
2:18,2443,Michael Zeno Steal.,52,73
1:51,2443,Travin Thibodeaux missed Jumper.,52,73
1:51,2443,New Orleans Deadball Team Rebound.,52,73
1:47,2443,New Orleans  Turnover.,52,73
1:38,2655,Cameron Reynolds missed Jumper.,52,73
1:38,2655,Malik Morgan Offensive Rebound.,52,73
1:30,2655,Kain Harris made Layup. Assisted by Ryan Smith.,54,73
0:59,2443,Travin Thibodeaux Turnover.,54,73
0:55,2655,Colin Slater missed Jumper.,54,73
0:55,2655,Cameron Reynolds Offensive Rebound.,54,73
0:49,2443,Foul on Travin Thibodeaux.,54,73
0:49,2655,Cameron Reynolds missed Free Throw.,54,73
0:49,2655,Tulane Deadball Team Rebound.,54,73
0:49,2655,Cameron Reynolds made Free Throw.,55,73
0:46,2655,Foul on Cameron Reynolds.,55,73
0:46,2443,Christavious Gill missed Free Throw.,55,73
0:46,2443,New Orleans Deadball Team Rebound.,55,73
0:46,2443,Christavious Gill made Free Throw.,55,74
0:40,2655,Kain Harris Turnover.,55,74
0:36,2443,Venjie Wallis Steal.,55,74
0:36,2443,Venjie Wallis Turnover.,55,74
0:25,2655,Ryan Smith made Layup.,57,74
0:21,2443,Coleman Edwards Turnover.,57,74
0:13,2655,Malik Morgan made Layup.,59,74
0:00,2443,End of Game,59,74
