Alabama A&amp;M,5,UAB,2010
17:45,2010,Rakiya Battle missed Three Point Jumper.,23,37
17:45,5,William Lee Defensive Rebound.,23,37
17:37,5,Hakeem Baxter missed Layup.,23,37
17:37,2010,Rakiya Battle Defensive Rebound.,23,37
17:27,2010,Evan Wiley missed Three Point Jumper.,23,37
17:27,2010,Quinterian McConico Offensive Rebound.,23,37
17:04,2010,Quinterian McConico made Jumper. Assisted by Rakiya Battle.,25,37
16:45,5,Chris Cokley missed Layup.,25,37
16:45,2010,Quinterian McConico Defensive Rebound.,25,37
16:27,5,Foul on Chris Cokley.,25,37
16:26,2010,Quinterian McConico made Layup.,27,37
16:10,5,Tosin Mehinti made Jumper.,27,39
15:57,2010,Foul on Christopher Thomas.,27,39
15:57,2010,Christopher Thomas Turnover.,27,39
15:57,5,Official TV Timeout,27,39
15:39,5,Tosin Mehinti made Jumper. Assisted by Javien Williams.,27,41
15:18,2010,Quinterian McConico missed Jumper.,27,41
15:18,2010,Christopher Thomas Offensive Rebound.,27,41
15:18,5,Foul on Nate Darling.,27,41
15:16,2010,Quinterian McConico made Layup. Assisted by Rakiya Battle.,29,41
14:58,5,Denzell Watts made Jumper.,29,43
14:35,5,Foul on Tyler Madison.,29,43
14:35,2010,Quinterian McConico made Free Throw.,30,43
14:35,2010,Quinterian McConico missed Free Throw.,30,43
14:35,5,Tyler Madison Defensive Rebound.,30,43
14:15,5,Tosin Mehinti made Jumper.,30,45
13:56,2010,Rakiya Battle made Layup.,32,45
13:34,2010,Foul on Tracy Burnett.,32,45
13:34,5,Tosin Mehinti made Free Throw.,32,46
13:34,5,Tosin Mehinti made Free Throw.,32,47
13:10,2010,Christopher Thomas missed Three Point Jumper.,32,47
13:10,5,Tyler Madison Defensive Rebound.,32,47
13:02,5,Nate Darling made Three Point Jumper. Assisted by Tyler Madison.,32,50
12:58,2010,Alabama A&M  Timeout,32,50
12:37,2010,Quinterian McConico Turnover.,32,50
12:35,5,Tosin Mehinti Steal.,32,50
12:33,5,Javien Williams made Dunk. Assisted by Tyler Madison.,32,52
12:15,5,Foul on Tosin Mehinti.,32,52
12:15,2010,De'Edrick Petty made Free Throw.,33,52
12:15,2010,De'Edrick Petty missed Free Throw.,33,52
12:15,5,UAB Defensive Rebound.,33,52
12:01,5,Tyler Madison made Layup. Assisted by Denzell Watts.,33,54
12:01,2010,Foul on Tracy Burnett.,33,54
12:01,5,Technical Foul on Tyler Madison.,33,54
12:01,5,Foul on Tyler Madison.,33,54
12:01,2010,Rakiya Battle made Free Throw.,34,54
12:01,2010,Rakiya Battle missed Free Throw.,34,54
12:01,2010,Alabama A&M Deadball Team Rebound.,34,54
12:01,5,Tyler Madison missed Free Throw.,34,54
12:01,2010,Tracy Burnett Defensive Rebound.,34,54
11:44,5,Foul on Denzell Watts.,34,54
11:44,5,Official TV Timeout,34,54
11:36,2010,De'Edrick Petty missed Layup.,34,54
11:36,5,Tosin Mehinti Block.,34,54
11:35,5,Tosin Mehinti Defensive Rebound.,34,54
11:24,5,Tyler Madison Turnover.,34,54
11:24,2010,Rakiya Battle Steal.,34,54
10:57,2010,Eugene Jones Jr. missed Three Point Jumper.,34,54
10:57,5,Denzell Watts Defensive Rebound.,34,54
10:48,5,Javien Williams Turnover.,34,54
10:47,2010,Rakiya Battle Steal.,34,54
10:44,2010,Rakiya Battle made Layup.,36,54
10:25,5,Tosin Mehinti made Layup. Assisted by Tyler Madison.,36,56
10:25,2010,Foul on De'Edrick Petty.,36,56
10:25,5,Tosin Mehinti made Free Throw.,36,57
10:01,5,Foul on Tyler Madison.,36,57
10:01,2010,Tracy Burnett missed Free Throw.,36,57
10:01,2010,Alabama A&M Deadball Team Rebound.,36,57
10:01,2010,Tracy Burnett made Free Throw.,37,57
9:37,5,Denzell Watts made Layup. Assisted by Nate Darling.,37,59
9:15,2010,De'Edrick Petty missed Three Point Jumper.,37,59
9:15,5,Denzell Watts Defensive Rebound.,37,59
9:09,5,Nate Darling missed Three Point Jumper.,37,59
9:09,2010,Christopher Thomas Block.,37,59
9:08,5,UAB Offensive Rebound.,37,59
8:56,2010,Foul on Quinterian McConico.,37,59
8:53,5,Tosin Mehinti Turnover.,37,59
8:53,2010,Christopher Thomas Turnover.,37,59
8:41,5,Hakeem Baxter missed Jumper.,37,59
8:41,5,William Lee Offensive Rebound.,37,59
8:35,5,William Lee made Jumper. Assisted by Deion Lavender.,37,61
8:30,5,Foul on Deion Lavender.,37,61
8:30,2010,Rakiya Battle made Free Throw.,38,61
8:30,2010,Rakiya Battle made Free Throw.,39,61
8:08,5,William Lee Turnover.,39,61
8:07,2010,Tracy Burnett Steal.,39,61
7:46,2010,Rakiya Battle missed Jumper.,39,61
7:46,5,Chris Cokley Defensive Rebound.,39,61
7:37,5,William Lee made Layup. Assisted by Chris Cokley.,39,63
7:16,2010,Quinterian McConico Turnover.,39,63
7:15,5,Chris Cokley Steal.,39,63
7:09,5,William Lee missed Three Point Jumper.,39,63
7:09,2010,Christopher Thomas Defensive Rebound.,39,63
7:01,5,Foul on Dirk Williams.,39,63
7:01,5,Official TV Timeout,39,63
7:01,2010,De'Edrick Petty missed Free Throw.,39,63
7:01,2010,Alabama A&M Deadball Team Rebound.,39,63
7:01,2010,De'Edrick Petty missed Free Throw.,39,63
7:01,5,Tyler Madison Defensive Rebound.,39,63
6:52,5,Foul on Tosin Mehinti.,39,63
6:52,5,Tosin Mehinti Turnover.,39,63
6:52,5,Foul on Javien Williams.,39,63
6:52,2010,De'Edrick Petty missed Free Throw.,39,63
6:52,2010,Alabama A&M Deadball Team Rebound.,39,63
6:52,2010,De'Edrick Petty missed Free Throw.,39,63
6:52,5,Tyler Madison Defensive Rebound.,39,63
6:40,5,Javien Williams Turnover.,39,63
6:25,2010,Tracy Burnett missed Jumper.,39,63
6:25,5,Tosin Mehinti Block.,39,63
6:25,5,Denzell Watts Defensive Rebound.,39,63
6:13,2010,Foul on Quinterian McConico.,39,63
6:13,5,Tyler Madison missed Free Throw.,39,63
6:13,5,UAB Deadball Team Rebound.,39,63
6:13,5,Tyler Madison missed Free Throw.,39,63
6:13,5,Tosin Mehinti Offensive Rebound.,39,63
6:05,2010,Foul on Tracy Burnett.,39,63
6:05,5,Javien Williams missed Free Throw.,39,63
6:05,2010,Alabama A&M Defensive Rebound.,39,63
5:44,2010,Christopher Thomas Turnover.,39,63
5:43,5,Tosin Mehinti Steal.,39,63
5:41,2010,Foul on Christopher Thomas.,39,63
5:41,5,Tyler Madison made Free Throw.,39,64
5:41,5,Tyler Madison made Free Throw.,39,65
5:11,2010,Marcus Merriweather made Three Point Jumper.,42,65
4:52,5,Denzell Watts made Three Point Jumper. Assisted by Tyler Madison.,42,68
4:19,2010,Marcus Merriweather missed Layup.,42,68
4:19,5,Tosin Mehinti Defensive Rebound.,42,68
4:15,5,Nate Darling made Three Point Jumper. Assisted by Denzell Watts.,42,71
3:55,5,Official TV Timeout,42,71
3:40,2010,Ariston Johnson missed Jumper.,42,71
3:40,5,Hakeem Baxter Defensive Rebound.,42,71
3:23,5,Hakeem Baxter made Layup.,42,73
3:16,2010,Marcus Merriweather missed Layup.,42,73
3:16,5,William Lee Block.,42,73
3:14,5,Dirk Williams Defensive Rebound.,42,73
3:08,5,Dirk Williams missed Layup.,42,73
3:08,2010,Quinterian McConico Defensive Rebound.,42,73
2:46,2010,Tracy Burnett Turnover.,42,73
2:27,5,Dirk Williams missed Three Point Jumper.,42,73
2:27,2010,Ariston Johnson Defensive Rebound.,42,73
2:19,2010,Ariston Johnson missed Layup.,42,73
2:19,5,Dirk Williams Block.,42,73
2:19,2010,Alabama A&M Offensive Rebound.,42,73
2:00,2010,Marcus Merriweather missed Jumper.,42,73
2:00,2010,Tracy Burnett Offensive Rebound.,42,73
2:00,5,Foul on Thomas Smallwood.,42,73
2:00,2010,Tracy Burnett missed Free Throw.,42,73
2:00,2010,Alabama A&M Deadball Team Rebound.,42,73
2:00,2010,Tracy Burnett made Free Throw.,43,73
1:43,5,Hakeem Baxter missed Three Point Jumper.,43,73
1:43,2010,Ariston Johnson Defensive Rebound.,43,73
1:24,2010,Matthew Cotton made Layup. Assisted by Ariston Johnson.,45,73
1:10,5,Dirk Williams missed Layup.,45,73
1:10,5,Chris Cokley Offensive Rebound.,45,73
1:08,5,Chris Cokley missed Layup.,45,73
1:08,5,Hakeem Baxter Offensive Rebound.,45,73
0:49,5,Deion Lavender made Layup. Assisted by Chris Cokley.,45,75
0:20,2010,Ariston Johnson missed Layup.,45,75
0:20,5,Chris Cokley Defensive Rebound.,45,75
0:00,5,End of Game,45,75
