Western Illinois,44,American,2710
11:21,44,Sa'eed Nelson made Layup.,7,10
11:03,44,Foul on Leon Tolksdorf.,7,10
10:54,2710,Garret Covington missed Three Point Jumper.,7,10
10:54,44,Charlie Jones Defensive Rebound.,7,10
10:35,2710,Foul on Delo Bruster.,7,10
10:35,44,Charlie Jones missed Free Throw.,7,10
10:35,44,American Deadball Team Rebound.,7,10
10:35,44,Charlie Jones missed Free Throw.,7,10
10:35,2710,Jordan Hughes Defensive Rebound.,7,10
10:21,2710,Mike Miklusak made Jumper.,9,10
10:09,44,Delante Jones missed Jumper.,9,10
10:09,2710,Jordan Hughes Defensive Rebound.,9,10
9:54,44,Foul on Charlie Jones.,9,10
9:54,2710,Garret Covington made Free Throw.,10,10
9:54,2710,Garret Covington made Free Throw.,11,10
9:35,44,Sa'eed Nelson made Layup.,11,12
9:17,2710,Mike Miklusak missed Three Point Jumper.,11,12
9:17,44,Charlie Jones Defensive Rebound.,11,12
9:00,44,Delante Jones missed Layup.,11,12
9:00,2710,Mike Miklusak Defensive Rebound.,11,12
8:49,2710,Jabari Sandifer Turnover.,11,12
8:48,44,Charlie Jones Steal.,11,12
8:44,44,Sa'eed Nelson missed Layup.,11,12
8:44,2710,Mike Miklusak Block.,11,12
8:43,44,American Offensive Rebound.,11,12
8:21,44,Mark Gasperini missed Jumper.,11,12
8:21,2710,Dalan Ancrum Defensive Rebound.,11,12
8:07,2710,Jordan Hughes made Layup. Assisted by Garret Covington.,13,12
7:34,2710,Western Illinois  Timeout,13,12
7:34,44,Sa'eed Nelson Turnover.,13,12
7:34,2710,Jabari Sandifer Steal.,13,12
7:34,44,Official TV Timeout,13,12
7:12,44,Foul on Jalen Rhea.,13,12
7:12,2710,Jabari Sandifer missed Free Throw.,13,12
7:12,2710,Western Illinois Deadball Team Rebound.,13,12
7:12,2710,Jabari Sandifer made Free Throw.,14,12
6:42,44,Jalen Rhea missed Three Point Jumper.,14,12
6:42,44,Mark Gasperini Offensive Rebound.,14,12
6:37,44,Mark Gasperini Turnover.,14,12
6:36,2710,Jabari Sandifer Steal.,14,12
6:34,2710,Jabari Sandifer Turnover.,14,12
6:33,44,Sa'eed Nelson Steal.,14,12
6:30,44,Sa'eed Nelson Turnover.,14,12
6:28,2710,Chris Snyder Steal.,14,12
6:04,2710,Garret Covington made Layup.,16,12
5:46,44,Mark Gasperini made Jumper.,16,14
5:23,44,Foul on Jalen Rhea.,16,14
5:23,2710,Dalan Ancrum made Free Throw.,17,14
5:20,2710,Dalan Ancrum made Free Throw.,18,14
4:49,44,Mark Gasperini missed Three Point Jumper.,18,14
4:48,44,Delante Jones Offensive Rebound.,18,14
4:36,44,Delante Jones missed Layup.,18,14
4:35,2710,Jordan Hughes Defensive Rebound.,18,14
4:24,44,Foul on Delante Jones.,18,14
4:24,2710,Garret Covington made Free Throw.,19,14
4:24,2710,Garret Covington made Free Throw.,20,14
4:07,2710,Foul on Delo Bruster.,20,14
3:58,44,Leon Tolksdorf missed Three Point Jumper.,20,14
3:58,2710,Jordan Hughes Defensive Rebound.,20,14
3:39,2710,Mike Miklusak made Jumper.,22,14
3:17,44,Leon Tolksdorf missed Three Point Jumper.,22,14
3:17,2710,Jordan Hughes Defensive Rebound.,22,14
3:14,44,Foul on Mark Gasperini.,22,14
3:14,44,Official TV Timeout,22,14
3:14,2710,Jordan Hughes missed Free Throw.,22,14
3:14,44,Charlie Jones Defensive Rebound.,22,14
2:57,44,James Washington missed Jumper.,22,14
2:57,44,Mark Gasperini Offensive Rebound.,22,14
2:57,2710,Foul on Mike Miklusak.,22,14
2:48,44,James Washington Turnover.,22,14
2:39,2710,Jabari Sandifer missed Jumper.,22,14
2:39,44,Mark Gasperini Defensive Rebound.,22,14
2:16,44,Mark Gasperini missed Jumper.,22,14
2:16,2710,Dalan Ancrum Defensive Rebound.,22,14
1:54,2710,Jordan Hughes made Layup. Assisted by Dalan Ancrum.,24,14
1:43,44,American  Timeout,24,14
1:20,44,Sa'eed Nelson made Three Point Jumper. Assisted by Delante Jones.,24,17
1:01,2710,Dalan Ancrum missed Layup.,24,17
1:01,2710,Dalan Ancrum Offensive Rebound.,24,17
0:59,2710,Dalan Ancrum missed Jumper.,24,17
0:59,2710,Jordan Hughes Offensive Rebound.,24,17
0:57,2710,Jordan Hughes missed Two Point Tip Shot.,24,17
0:57,44,Leon Tolksdorf Defensive Rebound.,24,17
0:45,44,Sa'eed Nelson Turnover.,24,17
0:28,2710,Garret Covington made Jumper.,26,17
0:05,44,Delante Jones missed Jumper.,26,17
0:05,2710,Jordan Hughes Defensive Rebound.,26,17
0:00,44,End of 1st half,26,17
19:52,2710,Foul on Jordan Hughes.,26,17
19:52,44,Mark Gasperini missed Free Throw.,26,17
19:52,44,American Deadball Team Rebound.,26,17
19:52,44,Mark Gasperini made Free Throw.,26,18
19:35,2710,C.J. Duff missed Three Point Jumper.,26,18
19:35,44,Sa'eed Nelson Defensive Rebound.,26,18
19:25,44,Sa'eed Nelson missed Layup.,26,18
19:25,2710,Jordan Hughes Defensive Rebound.,26,18
19:14,2710,Mike Miklusak missed Three Point Jumper.,26,18
19:14,44,Delante Jones Defensive Rebound.,26,18
19:10,44,James Washington made Free Throw.,26,19
19:10,44,James Washington made Free Throw.,26,20
19:10,2710,Technical Foul on Western Illinois.,26,18
18:58,44,Delante Jones made Three Point Jumper. Assisted by Mark Gasperini.,26,23
18:36,44,Foul on Mark Gasperini.,26,23
18:24,2710,Garret Covington Turnover.,26,23
18:23,44,Sa'eed Nelson Steal.,26,23
18:20,44,Sa'eed Nelson made Layup.,26,25
17:54,2710,C.J. Duff Turnover.,26,25
17:53,44,Sa'eed Nelson Steal.,26,25
17:38,44,Mark Gasperini made Jumper.,26,27
17:21,2710,Garret Covington made Three Point Jumper. Assisted by Jabari Sandifer.,29,27
16:52,44,Delante Jones missed Jumper.,29,27
16:52,2710,Mike Miklusak Defensive Rebound.,29,27
16:42,2710,Jabari Sandifer missed Jumper.,29,27
16:42,44,Leon Tolksdorf Defensive Rebound.,29,27
16:21,44,Delante Jones made Layup. Assisted by Sa'eed Nelson.,29,29
16:03,44,Foul on Mark Gasperini.,29,29
16:03,2710,Jabari Sandifer missed Free Throw.,29,29
16:03,2710,Western Illinois Deadball Team Rebound.,29,29
16:03,2710,Jabari Sandifer made Free Throw.,30,29
15:49,44,James Washington made Three Point Jumper. Assisted by Leon Tolksdorf.,30,32
15:20,44,Official TV Timeout,30,32
15:17,2710,Brandon Gilbeck missed Layup.,30,32
15:17,44,James Washington Defensive Rebound.,30,32
15:01,44,Delante Jones made Jumper. Assisted by Sa'eed Nelson.,30,34
14:40,2710,Garret Covington made Jumper. Assisted by Jabari Sandifer.,32,34
14:16,44,Sa'eed Nelson missed Jumper.,32,34
14:16,44,American Offensive Rebound.,32,34
14:10,2710,Foul on Brandon Gilbeck.,32,34
13:54,44,James Washington missed Jumper.,32,34
13:54,2710,Brandon Gilbeck Block.,32,34
13:52,2710,Dalan Ancrum Defensive Rebound.,32,34
13:36,44,Foul on Matt Cimino.,32,34
13:36,2710,Mike Miklusak made Free Throw.,33,34
13:36,2710,Mike Miklusak missed Free Throw.,33,34
13:36,44,Matt Cimino Defensive Rebound.,33,34
13:21,44,Delante Jones Turnover.,33,34
13:19,2710,Brandon Gilbeck Steal.,33,34
13:02,2710,Brandon Gilbeck made Dunk. Assisted by Jabari Sandifer.,35,34
12:33,44,Sa'eed Nelson missed Jumper.,35,34
12:33,2710,Mike Miklusak Defensive Rebound.,35,34
12:17,2710,Garret Covington made Jumper.,37,34
11:57,2710,Foul on Dalan Ancrum.,37,34
11:57,44,Official TV Timeout,37,34
11:57,44,Delante Jones made Free Throw.,37,35
11:57,44,Delante Jones made Free Throw.,37,36
11:39,2710,Dalan Ancrum made Layup.,39,36
11:08,44,Mark Gasperini missed Jumper.,39,36
11:08,44,Charlie Jones Offensive Rebound.,39,36
10:56,2710,Foul on Brandon Gilbeck.,39,36
10:56,44,Mark Gasperini made Free Throw.,39,37
10:56,44,Mark Gasperini missed Free Throw.,39,37
10:56,2710,Jordan Hughes Defensive Rebound.,39,37
10:31,2710,Mike Miklusak missed Three Point Jumper.,39,37
10:28,44,Mark Gasperini Defensive Rebound.,39,37
10:16,44,Delante Jones made Jumper.,39,39
9:59,2710,Mike Miklusak missed Layup.,39,39
9:59,44,Charlie Jones Block.,39,39
9:58,44,Delante Jones Defensive Rebound.,39,39
9:54,44,Delante Jones made Layup.,39,41
9:36,2710,Garret Covington missed Jumper.,39,41
9:36,44,Sa'eed Nelson Defensive Rebound.,39,41
9:29,44,Sa'eed Nelson missed Layup.,39,41
9:29,2710,Western Illinois Defensive Rebound.,39,41
9:06,2710,James Claar Turnover.,39,41
8:41,44,Charlie Jones missed Three Point Jumper.,39,41
8:41,44,Mark Gasperini Offensive Rebound.,39,41
8:38,44,Mark Gasperini made Jumper.,39,43
8:14,2710,Jabari Sandifer made Jumper.,41,43
8:14,44,Foul on Charlie Jones.,41,43
8:14,2710,Jabari Sandifer made Free Throw.,42,43
7:51,44,Matt Cimino made Jumper.,42,45
7:33,2710,Delo Bruster missed Three Point Jumper.,42,45
7:33,44,Leon Tolksdorf Defensive Rebound.,42,45
7:04,44,Matt Cimino missed Three Point Jumper.,42,45
7:04,2710,Garret Covington Defensive Rebound.,42,45
6:42,2710,Garret Covington Turnover.,42,45
6:42,44,Official TV Timeout,42,45
6:29,44,Charlie Jones made Jumper. Assisted by Delante Jones.,42,47
6:04,2710,Garret Covington missed Jumper.,42,47
6:04,44,Leon Tolksdorf Defensive Rebound.,42,47
5:58,44,Sa'eed Nelson missed Layup.,42,47
5:58,2710,Garret Covington Defensive Rebound.,42,47
5:52,2710,Garret Covington missed Layup.,42,47
5:52,44,Mark Gasperini Block.,42,47
5:51,44,Mark Gasperini Defensive Rebound.,42,47
5:42,44,Mark Gasperini made Layup. Assisted by Delante Jones.,42,49
5:35,2710,Western Illinois  Timeout,42,49
5:35,44,Official TV Timeout,42,49
5:27,2710,Mike Miklusak made Jumper.,44,49
5:27,44,Foul on Mark Gasperini.,44,49
5:27,2710,Mike Miklusak made Free Throw.,45,49
5:11,2710,Foul on Mike Miklusak.,45,49
5:11,44,Delante Jones missed Free Throw.,45,49
5:11,44,American Deadball Team Rebound.,45,49
5:11,44,Delante Jones missed Free Throw.,45,49
5:11,2710,Brandon Gilbeck Defensive Rebound.,45,49
4:58,44,Foul on Leon Tolksdorf.,45,49
4:58,2710,Dalan Ancrum missed Free Throw.,45,49
4:58,2710,Western Illinois Deadball Team Rebound.,45,49
4:58,2710,Dalan Ancrum made Free Throw.,46,49
4:36,44,Delante Jones Turnover.,46,49
4:35,2710,Jabari Sandifer Steal.,46,49
4:13,44,Foul on Matt Cimino.,46,49
4:13,2710,Brandon Gilbeck missed Free Throw.,46,49
4:13,2710,Western Illinois Deadball Team Rebound.,46,49
4:13,2710,Brandon Gilbeck made Free Throw.,47,49
3:50,44,Sa'eed Nelson missed Three Point Jumper.,47,49
3:50,2710,Mike Miklusak Defensive Rebound.,47,49
3:20,44,Foul on Matt Cimino.,47,49
3:20,44,Official TV Timeout,47,49
3:20,2710,Jabari Sandifer made Free Throw.,48,49
3:20,2710,Jabari Sandifer missed Free Throw.,48,49
3:20,44,Mark Gasperini Defensive Rebound.,48,49
2:50,44,Delante Jones missed Layup.,48,49
2:50,2710,Brandon Gilbeck Block.,48,49
2:49,2710,Western Illinois Deadball Team Rebound.,48,49
2:41,44,Foul on Mark Gasperini.,48,49
2:41,2710,Brandon Gilbeck missed Free Throw.,48,49
2:41,44,Charlie Jones Defensive Rebound.,48,49
2:13,44,Sa'eed Nelson missed Layup.,48,49
2:13,44,Matt Cimino Offensive Rebound.,48,49
2:10,44,Matt Cimino made Two Point Tip Shot.,48,51
1:52,2710,Dalan Ancrum Turnover.,48,51
1:27,2710,Foul on Jabari Sandifer.,48,51
1:27,44,Sa'eed Nelson missed Free Throw.,48,51
1:27,2710,Garret Covington Defensive Rebound.,48,51
0:58,2710,Brandon Gilbeck missed Layup.,48,51
0:58,44,Leon Tolksdorf Defensive Rebound.,48,51
0:49,44,American  Timeout,48,51
0:42,44,Delante Jones Turnover.,48,51
0:26,2710,Garret Covington made Layup.,50,51
0:25,2710,Foul on Mike Miklusak.,50,51
0:25,44,Leon Tolksdorf made Free Throw.,50,52
0:25,44,Leon Tolksdorf made Free Throw.,50,53
0:24,2710,Western Illinois  Timeout,50,53
0:19,2710,Mike Miklusak missed Layup.,50,53
0:19,44,Delante Jones Defensive Rebound.,50,53
0:17,2710,Foul on Jabari Sandifer.,50,53
0:17,44,Delante Jones made Free Throw.,50,54
0:17,44,Delante Jones made Free Throw.,50,55
0:11,2710,Jabari Sandifer Turnover.,50,55
0:10,44,Sa'eed Nelson Steal.,50,55
0:09,2710,Foul on Jabari Sandifer.,50,55
0:09,44,Sa'eed Nelson made Free Throw.,50,56
0:09,44,Sa'eed Nelson missed Free Throw.,50,56
0:09,2710,Brandon Gilbeck Defensive Rebound.,50,56
0:05,2710,Dalan Ancrum missed Three Point Jumper.,50,56
0:05,44,Charlie Jones Defensive Rebound.,50,56
0:02,2710,Foul on Brandon Gilbeck.,50,56
0:02,44,Charlie Jones missed Free Throw.,50,56
0:02,44,American Deadball Team Rebound.,50,56
0:02,44,Charlie Jones made Free Throw.,50,57
