Delaware State,2599,St. John's,2169
9:06,2599,Kassoum Yakwe Steal.,63,51
8:58,2599,Marcus LoVett made Three Point Jumper. Assisted by Federico Mussini.,63,54
8:47,2169,Delaware St  Timeout,63,54
8:25,2599,Foul on Federico Mussini.,63,54
8:25,2169,Devin Morgan made Free Throw.,64,54
8:25,2169,Devin Morgan made Free Throw.,65,54
8:10,2599,Malik Ellison Turnover.,65,54
8:08,2169,Kobe Gantz Steal.,65,54
7:43,2169,Devin Morgan missed Three Point Jumper.,65,54
7:43,2599,Kassoum Yakwe Defensive Rebound.,65,54
7:35,2599,Shamorie Ponds missed Three Point Jumper.,65,54
7:35,2169,Devin Morgan Defensive Rebound.,65,54
7:27,2169,Devin Morgan made Layup.,67,54
7:17,2169,Foul on Kobe Gantz.,67,54
7:17,2599,Official TV Timeout,67,54
7:09,2599,Bashir Ahmed made Layup.,67,56
6:37,2169,Devin Morgan missed Three Point Jumper.,67,56
6:37,2599,Kassoum Yakwe Defensive Rebound.,67,56
6:33,2169,Foul on Joseph Lewis.,67,56
6:19,2599,Bashir Ahmed made Three Point Jumper. Assisted by Kassoum Yakwe.,67,59
5:44,2169,Joseph Lewis missed Jumper.,67,59
5:44,2599,Bashir Ahmed Defensive Rebound.,67,59
5:28,2599,Marcus LoVett missed Three Point Jumper.,67,59
5:28,2169,Kobe Gantz Defensive Rebound.,67,59
5:00,2169,Joseph Lewis made Layup. Assisted by DeAndre Haywood.,69,59
4:46,2599,Shamorie Ponds missed Layup.,69,59
4:46,2169,Kavon Waller Defensive Rebound.,69,59
4:38,2169,Delaware St  Timeout,69,59
4:20,2169,Kobe Gantz missed Jumper.,69,59
4:20,2599,Kassoum Yakwe Block.,69,59
4:19,2169,Kobe Gantz Offensive Rebound.,69,59
4:18,2169,Kobe Gantz missed Jumper.,69,59
4:18,2599,Kassoum Yakwe Block.,69,59
4:17,2599,Bashir Ahmed Defensive Rebound.,69,59
4:00,2599,Federico Mussini missed Three Point Jumper.,69,59
4:00,2169,Joseph Lewis Defensive Rebound.,69,59
3:33,2169,Devin Morgan missed Jumper.,69,59
3:33,2599,Kassoum Yakwe Block.,69,59
3:31,2599,Shamorie Ponds Defensive Rebound.,69,59
3:27,2599,Shamorie Ponds made Layup.,69,61
3:17,2169,Devin Morgan Turnover.,69,61
3:17,2599,Shamorie Ponds Steal.,69,61
3:16,2599,Shamorie Ponds made Layup.,69,63
3:08,2599,Foul on Shamorie Ponds.,69,63
3:08,2599,Official TV Timeout,69,63
3:08,2169,DeAndre Haywood Turnover.,69,63
3:01,2599,Shamorie Ponds Turnover.,69,63
3:01,2169,Devin Morgan Steal.,69,63
2:56,2169,Joseph Lewis Turnover.,69,63
2:56,2599,Shamorie Ponds Steal.,69,63
2:42,2599,Marcus LoVett missed Jumper.,69,63
2:42,2169,Delaware St Defensive Rebound.,69,63
2:41,2599,Foul on Kassoum Yakwe.,69,63
2:41,2169,Joseph Lewis Turnover.,69,63
2:26,2599,Shamorie Ponds missed Three Point Jumper.,69,63
2:26,2169,Delaware St Defensive Rebound.,69,63
1:54,2169,Devin Morgan made Jumper. Assisted by Kavon Waller.,71,63
1:31,2599,Bashir Ahmed Turnover.,71,63
1:30,2169,DeAndre Haywood Steal.,71,63
1:28,2169,DeAndre Haywood made Layup.,73,63
1:28,2599,St. John's  Timeout,73,63
1:19,2599,Kassoum Yakwe missed Jumper.,73,63
1:19,2169,Joseph Lewis Defensive Rebound.,73,63
0:49,2169,Kavon Waller made Three Point Jumper. Assisted by DeAndre Haywood.,76,63
0:39,2599,Shamorie Ponds missed Three Point Jumper.,76,63
0:39,2599,Bashir Ahmed Offensive Rebound.,76,63
0:35,2599,Bashir Ahmed missed Jumper.,76,63
0:35,2599,Bashir Ahmed Offensive Rebound.,76,63
0:33,2599,Bashir Ahmed made Jumper.,76,65
0:32,2169,Delaware St  Timeout,76,65
0:28,2599,Foul on Bashir Ahmed.,76,65
0:28,2169,Devin Morgan missed Free Throw.,76,65
0:28,2599,Richard Freudenberg Defensive Rebound.,76,65
0:21,2599,Shamorie Ponds made Layup.,76,67
0:19,2599,Foul on Federico Mussini.,76,67
0:19,2169,Devin Morgan made Free Throw.,77,67
0:19,2169,Devin Morgan missed Free Throw.,77,67
0:19,2599,Marcus LoVett Defensive Rebound.,77,67
0:14,2599,Shamorie Ponds made Three Point Jumper. Assisted by Marcus LoVett.,77,70
0:11,2599,Foul on Richard Freudenberg.,77,70
0:11,2169,Devin Morgan made Free Throw.,78,70
0:11,2169,Devin Morgan made Free Throw.,79,70
0:06,2599,Shamorie Ponds missed Three Point Jumper.,79,70
0:06,2599,Richard Freudenberg Offensive Rebound.,79,70
0:00,2599,Richard Freudenberg missed Jumper.,79,70
0:00,2599,Kassoum Yakwe Offensive Rebound.,79,70
0:00,2599,Kassoum Yakwe made Two Point Tip Shot.,79,72
0:00,2599,End of Game,79,70
