Central Pennsylvania College,Error,Liberty,2335
12:04,2335,Foul on A.C. Reid.,2,10
11:51,-1,Stephan Brown missed Three Point Jumper.,2,10
11:51,2335,Myo Baxter-Bell Defensive Rebound.,2,10
11:17,2335,Ray Chen missed Layup.,2,10
11:17,-1,Daylin Davis Defensive Rebound.,2,10
11:07,2335,Official TV Timeout,2,10
11:05,-1,Mike Warren made Layup.,4,10
10:48,-1,Foul on Mike Warren.,4,10
10:36,2335,Myo Baxter-Bell missed Jumper.,4,10
10:36,-1,Tyrie Orosco Defensive Rebound.,4,10
10:28,-1,Mike Warren missed Layup.,4,10
10:28,2335,Lovell Cabbil Defensive Rebound.,4,10
10:09,-1,Foul on Mike Warren.,4,10
9:55,2335,Foul on John Dawson.,4,10
9:55,2335,John Dawson Turnover.,4,10
9:39,-1,Daylin Davis made Jumper.,6,10
9:17,2335,John Dawson missed Three Point Jumper.,6,10
9:17,-1,Central Pennsylvania Defensive Rebound.,6,10
8:53,-1,Tyrie Orosco made Three Point Jumper.,9,10
8:24,2335,Georgie Pacheco-Ortiz missed Layup.,9,10
8:24,-1,Joel Zola Block.,9,10
8:22,-1,Central Pennsylvania Defensive Rebound.,9,10
8:05,-1,Rafeeq Bush missed Layup.,9,10
8:05,2335,Georgie Pacheco-Ortiz Defensive Rebound.,9,10
8:00,-1,Foul on Rafeeq Bush.,9,10
7:52,2335,Georgie Pacheco-Ortiz Turnover.,9,10
7:50,-1,Tyrie Orosco Steal.,9,10
7:45,-1,Tyrie Orosco Turnover.,9,10
7:43,2335,Georgie Pacheco-Ortiz Steal.,9,10
7:36,2335,Brock Gardner missed Free Throw.,9,10
7:36,-1,Central Pennsylvania Defensive Rebound.,9,10
7:35,2335,Brock Gardner made Layup. Assisted by Ryan Kemrite.,9,12
7:35,-1,Foul on Joel Zola.,9,12
7:35,2335,Official TV Timeout,9,12
7:33,2335,Foul on Josiah Talbert.,9,12
7:30,-1,Tyree Tucker missed Jumper.,9,12
7:30,2335,Brock Gardner Defensive Rebound.,9,12
7:06,2335,Caleb Homesley made Three Point Jumper. Assisted by Georgie Pacheco-Ortiz.,9,15
6:46,-1,Foul on Joel Zola.,9,15
6:46,-1,Joel Zola Turnover.,9,15
6:32,2335,Josiah Talbert missed Three Point Jumper.,9,15
6:32,-1,Central Pennsylvania Defensive Rebound.,9,15
6:05,-1,Tyree Tucker made Three Point Jumper. Assisted by Daylin Davis.,12,15
5:46,2335,Ryan Kemrite made Three Point Jumper. Assisted by Caleb Homesley.,12,18
5:23,-1,Najah Fink made Layup. Assisted by Noah Baylor.,14,18
5:03,2335,Brock Gardner Turnover.,14,18
5:02,-1,Najah Fink Steal.,14,18
4:58,-1,Tyree Tucker missed Three Point Jumper.,14,18
4:58,2335,Brock Gardner Defensive Rebound.,14,18
4:36,2335,Josiah Talbert Turnover.,14,18
4:35,-1,Tyree Tucker Steal.,14,18
4:27,-1,Tyree Tucker made Layup.,16,18
4:25,2335,Liberty  Timeout,16,18
4:08,2335,Ezra Talbert Turnover.,16,18
3:46,-1,Daylin Davis made Layup.,18,18
3:23,2335,A.C. Reid missed Three Point Jumper.,18,18
3:23,-1,Tyree Tucker Defensive Rebound.,18,18
2:59,-1,Tyree Tucker missed Three Point Jumper.,18,18
2:59,2335,A.C. Reid Defensive Rebound.,18,18
2:31,2335,A.C. Reid missed Jumper.,18,18
2:31,-1,Rodney Ross Defensive Rebound.,18,18
2:14,-1,Randy Dupont made Three Point Jumper. Assisted by Najah Fink.,21,18
1:58,2335,Ryan Kemrite Turnover.,21,18
1:58,-1,Central Pennsylvania  Timeout,21,18
1:37,2335,Foul on Ryan Kemrite.,21,18
1:37,-1,Tyree Tucker made Free Throw.,22,18
1:37,-1,Tyree Tucker missed Free Throw.,22,18
1:37,2335,Lovell Cabbil Defensive Rebound.,22,18
1:23,2335,Lovell Cabbil missed Three Point Jumper.,22,18
1:23,-1,Najah Fink Defensive Rebound.,22,18
1:08,-1,Tyree Tucker missed Three Point Jumper.,22,18
1:08,2335,Brock Gardner Defensive Rebound.,22,18
0:56,-1,Foul on Najah Fink.,22,18
0:56,2335,Ryan Kemrite made Free Throw.,22,19
0:56,2335,Ryan Kemrite made Free Throw.,22,20
0:37,-1,Noah Baylor Turnover.,22,20
0:36,2335,Ryan Kemrite Steal.,22,20
0:19,-1,Foul on Mike Warren.,22,20
0:19,2335,Caleb Homesley missed Free Throw.,22,20
0:19,2335,Liberty Deadball Team Rebound.,22,20
0:19,2335,Caleb Homesley made Free Throw.,22,21
0:19,2335,Caleb Homesley made Free Throw.,22,22
0:00,-1,Tyree Tucker missed Three Point Jumper.,22,22
0:00,2335,Brock Gardner Defensive Rebound.,22,22
0:00,2335,End of 1st half,22,22
19:51,-1,Rafeeq Bush Turnover.,22,22
19:50,2335,Myo Baxter-Bell Steal.,22,22
19:48,2335,Georgie Pacheco-Ortiz missed Layup.,22,22
19:48,-1,Daylin Davis Block.,22,22
19:48,2335,Liberty Offensive Rebound.,22,22
19:40,2335,Myo Baxter-Bell made Layup. Assisted by John Dawson.,22,24
19:24,-1,Tyree Tucker missed Three Point Jumper.,22,24
19:24,2335,Myo Baxter-Bell Defensive Rebound.,22,24
19:21,-1,Foul on Najah Fink.,22,24
19:06,2335,Caleb Homesley Turnover.,22,24
18:44,-1,Tyrie Orosco missed Three Point Jumper.,22,24
18:44,2335,Caleb Homesley Defensive Rebound.,22,24
18:36,2335,John Dawson missed Three Point Jumper.,22,24
18:36,-1,Tyree Tucker Defensive Rebound.,22,24
18:21,2335,Foul on Caleb Homesley.,22,24
18:21,-1,Joel Zola missed Free Throw.,22,24
18:21,-1,Central Pennsylvania Deadball Team Rebound.,22,24
18:21,-1,Joel Zola made Free Throw.,23,24
18:07,-1,Foul on Tyree Tucker.,23,24
17:58,2335,John Dawson missed Layup.,23,24
17:58,-1,Central Pennsylvania Defensive Rebound.,23,24
17:44,-1,Daylin Davis Turnover.,23,24
17:43,2335,John Dawson Steal.,23,24
17:38,2335,Brock Gardner made Layup. Assisted by John Dawson.,23,26
17:21,-1,Tyree Tucker missed Jumper.,23,26
17:21,2335,Myo Baxter-Bell Defensive Rebound.,23,26
17:09,2335,Brock Gardner missed Three Point Jumper.,23,26
17:09,-1,Rafeeq Bush Defensive Rebound.,23,26
17:03,-1,Rafeeq Bush missed Layup.,23,26
17:03,2335,Brock Gardner Block.,23,26
17:03,-1,Central Pennsylvania Offensive Rebound.,23,26
16:51,2335,Foul on John Dawson.,23,26
16:33,-1,Rafeeq Bush missed Three Point Jumper.,23,26
16:33,-1,Tyree Tucker Offensive Rebound.,23,26
16:25,-1,Tyree Tucker missed Layup.,23,26
16:25,2335,Caleb Homesley Defensive Rebound.,23,26
16:16,-1,Foul on Tyree Tucker.,23,26
16:00,-1,Foul on Tyrie Orosco.,23,28
16:00,-1,Foul on Joel Zola.,23,26
16:00,2335,Foul on John Dawson.,23,26
16:00,2335,Myo Baxter-Bell made Layup.,23,28
16:00,-1,Technical Foul on Joel Zola.,23,28
16:00,2335,Technical Foul on John Dawson.,23,28
16:00,2335,Myo Baxter-Bell made Free Throw.,23,29
15:48,-1,Joel Zola made Layup.,25,29
15:48,2335,Foul on Ryan Kemrite.,25,29
15:48,2335,Official TV Timeout,25,29
15:48,-1,Joel Zola made Free Throw.,26,29
15:48,-1,Foul on Tyrie Orosco.,26,29
15:30,-1,Foul on Rafeeq Bush.,26,29
15:30,2335,Myo Baxter-Bell missed Free Throw.,26,29
15:30,2335,Liberty Deadball Team Rebound.,26,29
15:30,2335,Myo Baxter-Bell made Free Throw.,26,30
15:17,-1,Randy Dupont missed Three Point Jumper.,26,30
15:17,-1,Daylin Davis Offensive Rebound.,26,30
15:10,-1,Daylin Davis made Two Point Tip Shot.,28,30
14:48,2335,Myo Baxter-Bell missed Jumper.,28,30
14:48,2335,Ryan Kemrite Offensive Rebound.,28,30
14:44,2335,Ryan Kemrite missed Layup.,28,30
14:44,2335,Liberty Offensive Rebound.,28,30
14:23,2335,A.C. Reid missed Three Point Jumper.,28,30
14:23,-1,Joel Zola Defensive Rebound.,28,30
14:18,-1,Stephan Brown missed Three Point Jumper.,28,30
14:18,2335,Georgie Pacheco-Ortiz Defensive Rebound.,28,30
13:50,2335,Georgie Pacheco-Ortiz missed Three Point Jumper.,28,30
13:50,-1,Daylin Davis Defensive Rebound.,28,30
13:41,-1,Tyree Tucker missed Layup.,28,30
13:41,2335,Brock Gardner Defensive Rebound.,28,30
13:26,-1,Foul on Tyree Tucker.,28,30
13:26,2335,Ryan Kemrite made Free Throw.,28,31
13:26,2335,Ryan Kemrite made Free Throw.,28,32
13:08,-1,Tyree Tucker missed Layup.,28,32
13:08,2335,Brock Gardner Block.,28,32
13:07,2335,Georgie Pacheco-Ortiz Defensive Rebound.,28,32
12:56,-1,Foul on Daylin Davis.,28,32
12:56,-1,Central Pennsylvania  Timeout,28,32
12:56,2335,Josiah Talbert missed Free Throw.,28,32
12:56,-1,Stephan Brown Defensive Rebound.,28,32
12:42,-1,Tyree Tucker missed Three Point Jumper.,28,32
12:42,2335,Josiah Talbert Defensive Rebound.,28,32
12:15,2335,A.C. Reid Turnover.,28,32
12:14,-1,Stephan Brown Steal.,28,32
12:10,-1,Stephan Brown made Layup.,30,32
12:07,2335,Liberty  Timeout,30,32
11:46,2335,John Dawson missed Layup.,30,32
11:46,-1,Tyree Tucker Defensive Rebound.,30,32
11:40,-1,Joel Zola missed Three Point Jumper.,30,32
11:40,2335,Ryan Kemrite Defensive Rebound.,30,32
11:26,-1,Foul on Joel Zola.,30,32
11:26,2335,John Dawson made Free Throw.,30,33
11:26,2335,John Dawson made Free Throw.,30,34
11:15,-1,Rafeeq Bush Turnover.,30,34
11:15,2335,Lovell Cabbil Steal.,30,34
11:01,2335,John Dawson missed Layup.,30,34
11:01,-1,Tyrie Orosco Defensive Rebound.,30,34
11:01,2335,Foul on John Dawson.,30,34
10:45,-1,Mike Warren missed Layup.,30,34
10:45,2335,Caleb Homesley Defensive Rebound.,30,34
10:27,2335,Myo Baxter-Bell made Layup.,30,36
10:12,2335,Foul on Lovell Cabbil.,30,36
10:12,-1,Stephan Brown missed Free Throw.,30,36
10:12,-1,Central Pennsylvania Deadball Team Rebound.,30,36
10:12,-1,Stephan Brown made Free Throw.,31,36
9:59,2335,Ryan Kemrite made Layup. Assisted by Lovell Cabbil.,31,38
9:40,2335,Foul on Ryan Kemrite.,31,38
9:40,-1,Daylin Davis missed Free Throw.,31,38
9:40,-1,Central Pennsylvania Deadball Team Rebound.,31,38
9:40,-1,Daylin Davis made Free Throw.,32,38
9:31,-1,Foul on Mike Warren.,32,38
9:31,2335,Caleb Homesley missed Free Throw.,32,38
9:31,2335,Liberty Deadball Team Rebound.,32,38
9:31,2335,Caleb Homesley made Free Throw.,32,39
9:12,2335,Foul on Myo Baxter-Bell.,32,39
9:12,-1,Tyrie Orosco made Free Throw.,33,39
9:12,-1,Tyrie Orosco made Free Throw.,34,39
8:56,2335,Georgie Pacheco-Ortiz missed Three Point Jumper.,34,39
8:56,-1,Daylin Davis Defensive Rebound.,34,39
8:46,-1,Tyrie Orosco missed Layup.,34,39
8:46,2335,Georgie Pacheco-Ortiz Defensive Rebound.,34,39
8:37,2335,Ryan Kemrite missed Three Point Jumper.,34,39
8:37,-1,Tyree Tucker Defensive Rebound.,34,39
8:24,2335,Foul on Ryan Kemrite.,34,39
8:24,-1,Tyrie Orosco made Free Throw.,35,39
8:24,-1,Tyrie Orosco made Free Throw.,36,39
8:08,-1,Foul on Stephan Brown.,36,39
8:08,2335,Caleb Homesley missed Free Throw.,36,39
8:08,2335,Liberty Deadball Team Rebound.,36,39
8:08,2335,Caleb Homesley made Free Throw.,36,40
7:38,-1,Tyrie Orosco missed Three Point Jumper.,36,40
7:38,2335,Brock Gardner Defensive Rebound.,36,40
7:10,2335,Lovell Cabbil made Layup.,36,42
6:53,-1,Tyree Tucker missed Three Point Jumper.,36,42
6:53,-1,Central Pennsylvania Offensive Rebound.,36,42
6:53,2335,Official TV Timeout,36,42
6:34,-1,Joel Zola Turnover.,36,42
6:32,2335,Caleb Homesley Steal.,36,42
6:28,2335,A.C. Reid missed Three Point Jumper.,36,42
6:28,-1,Tyrie Orosco Defensive Rebound.,36,42
6:14,2335,Foul on Myo Baxter-Bell.,36,42
6:14,-1,Tyrie Orosco made Free Throw.,37,42
6:14,-1,Tyrie Orosco made Free Throw.,38,42
5:59,2335,John Dawson Turnover.,38,42
5:43,-1,Foul on Tyree Tucker.,38,42
5:43,-1,Tyree Tucker Turnover.,38,42
5:27,2335,Caleb Homesley missed Jumper.,38,42
5:27,2335,John Dawson Offensive Rebound.,38,42
5:17,-1,Foul on Daylin Davis.,38,42
5:17,2335,Caleb Homesley made Free Throw.,38,43
5:17,2335,Caleb Homesley made Free Throw.,38,44
5:00,-1,Daylin Davis missed Jumper.,38,44
5:00,-1,Central Pennsylvania Offensive Rebound.,38,44
4:58,2335,Foul on Brock Gardner.,38,44
4:58,-1,Tyrie Orosco made Free Throw.,39,44
4:58,-1,Tyrie Orosco made Free Throw.,40,44
4:45,2335,Caleb Homesley made Dunk. Assisted by John Dawson.,40,46
4:27,-1,Tyrie Orosco missed Layup.,40,46
4:27,2335,Caleb Homesley Defensive Rebound.,40,46
4:17,2335,Foul on Ryan Kemrite.,40,46
4:17,2335,Ryan Kemrite Turnover.,40,46
4:05,2335,Foul on Lovell Cabbil.,40,46
4:05,-1,Rafeeq Bush missed Free Throw.,40,46
4:05,-1,Central Pennsylvania Deadball Team Rebound.,40,46
4:05,-1,Rafeeq Bush made Free Throw.,41,46
3:58,-1,Foul on Mike Warren.,41,46
3:58,2335,Official TV Timeout,41,46
3:57,2335,Lovell Cabbil made Free Throw.,41,47
3:57,2335,Lovell Cabbil made Free Throw.,41,48
3:37,-1,Tyree Tucker missed Three Point Jumper.,41,48
3:37,2335,Caleb Homesley Defensive Rebound.,41,48
3:12,2335,Myo Baxter-Bell made Dunk. Assisted by Georgie Pacheco-Ortiz.,41,50
3:02,-1,Tyree Tucker made Layup. Assisted by Daylin Davis.,43,50
3:00,-1,Central Pennsylvania  Timeout,43,50
2:38,2335,Georgie Pacheco-Ortiz made Three Point Jumper. Assisted by Caleb Homesley.,43,53
2:27,-1,Joel Zola missed Layup.,43,53
2:27,2335,Caleb Homesley Block.,43,53
2:27,-1,Central Pennsylvania Offensive Rebound.,43,53
2:22,-1,Tyrie Orosco missed Three Point Jumper.,43,53
2:22,2335,Caleb Homesley Defensive Rebound.,43,53
1:53,2335,Caleb Homesley missed Three Point Jumper.,43,53
1:53,-1,Central Pennsylvania Defensive Rebound.,43,53
1:37,-1,Joel Zola missed Layup.,43,53
1:37,2335,Caleb Homesley Block.,43,53
1:36,2335,John Dawson Defensive Rebound.,43,53
1:31,2335,John Dawson made Layup.,43,55
1:27,2335,Foul on John Dawson.,43,55
1:27,-1,Daylin Davis made Free Throw.,44,55
1:27,-1,Daylin Davis made Free Throw.,45,55
1:15,-1,Foul on Rodney Ross.,45,55
1:15,-1,Central Pennsylvania  Timeout,45,55
1:15,2335,Brock Gardner made Free Throw.,45,56
1:15,2335,Brock Gardner made Free Throw.,45,57
1:03,-1,Tyree Tucker missed Three Point Jumper.,45,57
1:03,2335,Lovell Cabbil Defensive Rebound.,45,57
1:00,-1,Foul on Rafeeq Bush.,45,57
1:00,2335,Lovell Cabbil made Free Throw.,45,58
1:00,2335,Lovell Cabbil made Free Throw.,45,59
0:53,-1,Rafeeq Bush Turnover.,45,59
0:33,2335,Georgie Pacheco-Ortiz made Three Point Jumper. Assisted by A.C. Reid.,45,62
0:28,-1,Rafeeq Bush made Layup.,47,62
0:28,2335,Foul on Lovell Cabbil.,47,62
0:28,-1,Rafeeq Bush made Free Throw.,48,62
0:00,2335,End of Game,48,62
