Lamar,304,Idaho State,2320
19:39,2320,Colton Weisbrod made Free Throw.,31,39
19:28,304,Geno Luzcando Turnover.,31,39
19:21,2320,Joey Frenchwood missed Three Point Jumper.,31,39
19:21,2320,Marcus Owens Offensive Rebound.,31,39
19:15,2320,Joey Frenchwood missed Three Point Jumper.,31,39
19:15,304,Geno Luzcando Defensive Rebound.,31,39
18:57,304,Gary Chivichyan made Layup.,31,41
18:40,2320,Marcus Owens missed Three Point Jumper.,31,41
18:40,304,Robert Jones III Defensive Rebound.,31,41
18:29,304,Geno Luzcando missed Three Point Jumper.,31,41
18:29,2320,Josh Nzeakor Defensive Rebound.,31,41
18:13,304,Foul on Geno Luzcando.,31,41
17:50,2320,Colton Weisbrod missed Jumper.,31,41
17:50,304,Robert Jones III Defensive Rebound.,31,41
17:39,304,Robert Jones III missed Jumper.,31,41
17:39,2320,Marcus Owens Defensive Rebound.,31,41
17:31,2320,Torey Noel made Layup.,33,41
17:11,2320,Foul on Torey Noel.,33,41
17:10,2320,Foul on Josh Nzeakor.,33,41
17:05,304,Novak Topalovic made Dunk. Assisted by Ethan Telfair.,33,43
16:42,2320,Colton Weisbrod missed Jumper.,33,43
16:42,2320,Josh Nzeakor Offensive Rebound.,33,43
16:38,2320,Josh Nzeakor made Two Point Tip Shot.,35,43
16:29,304,Ethan Telfair missed Jumper.,35,43
16:29,2320,Joey Frenchwood Defensive Rebound.,35,43
16:21,2320,Colton Weisbrod missed Jumper.,35,43
16:21,2320,Josh Nzeakor Offensive Rebound.,35,43
16:18,2320,Josh Nzeakor made Layup.,37,43
16:02,304,Robert Jones III made Three Point Jumper. Assisted by Ethan Telfair.,37,46
15:40,2320,Josh Nzeakor missed Layup.,37,46
15:40,304,Novak Topalovic Defensive Rebound.,37,46
15:32,2320,Foul on Torey Noel.,37,46
15:32,304,Official TV Timeout,37,46
15:29,2320,Foul on Lincoln Davis.,37,46
15:29,304,Brandon Boyd missed Three Point Jumper.,37,46
15:29,2320,Josh Nzeakor Defensive Rebound.,37,46
15:09,304,Foul on Robert Jones III.,37,46
15:09,2320,Colton Weisbrod made Free Throw.,38,46
15:09,2320,Colton Weisbrod made Free Throw.,39,46
