Princeton,2670,VCU,163
13:19,2670,De'Riante Jenkins made Three Point Jumper. Assisted by JeQuan Lewis.,16,5
12:54,163,Henry Caruso missed Jumper.,16,5
12:54,2670,De'Riante Jenkins Defensive Rebound.,16,5
12:45,2670,Doug Brooks missed Three Point Jumper.,16,5
12:45,163,Amir Bell Defensive Rebound.,16,5
12:31,163,Devin Cannady made Layup.,18,5
12:12,2670,JeQuan Lewis made Three Point Jumper. Assisted by Doug Brooks.,18,8
11:51,163,Devin Cannady Turnover.,18,8
11:50,2670,Mo Alie-Cox Steal.,18,8
11:49,2670,Mo Alie-Cox made Layup.,18,10
11:33,163,Foul on Amir Bell.,18,10
11:33,163,Amir Bell Turnover.,18,10
11:33,2670,VCU  Timeout,18,10
11:19,2670,Samir Doughty made Layup.,18,12
11:07,163,Devin Cannady made Layup. Assisted by Pete Miller.,20,12
10:53,2670,De'Riante Jenkins missed Jumper.,20,12
10:53,163,Pete Miller Defensive Rebound.,20,12
10:27,163,Devin Cannady made Three Point Jumper. Assisted by Spencer Weisz.,23,12
10:12,2670,Jordan Burgess made Jumper.,23,14
9:56,163,Foul on Pete Miller.,23,14
9:56,163,Pete Miller Turnover.,23,14
9:33,2670,Malik Crowfield missed Three Point Jumper.,23,14
9:33,2670,Samir Doughty Offensive Rebound.,23,14
9:11,2670,JeQuan Lewis made Layup.,23,16
8:45,163,Spencer Weisz made Three Point Jumper. Assisted by Steven Cook.,26,16
8:19,2670,De'Riante Jenkins missed Three Point Jumper.,26,16
8:19,163,Hans Brase Defensive Rebound.,26,16
8:02,163,Myles Stephens made Jumper.,28,16
7:45,2670,JeQuan Lewis Turnover.,28,16
7:33,163,Myles Stephens Turnover.,28,16
7:21,2670,Samir Doughty made Layup. Assisted by Doug Brooks.,28,18
6:52,163,Spencer Weisz missed Jumper.,28,18
6:52,2670,Doug Brooks Defensive Rebound.,28,18
6:39,2670,Samir Doughty missed Jumper.,28,18
6:39,163,Hans Brase Defensive Rebound.,28,18
6:27,163,Devin Cannady Turnover.,28,18
6:15,2670,Doug Brooks missed Three Point Jumper.,28,18
6:15,2670,Samir Doughty Offensive Rebound.,28,18
6:10,2670,Justin Tillman made Layup. Assisted by Samir Doughty.,28,20
5:57,2670,Foul on Doug Brooks.,28,20
5:57,163,Devin Cannady made Free Throw.,29,20
5:57,163,Devin Cannady made Free Throw.,30,20
5:43,2670,JeQuan Lewis made Jumper.,30,22
5:27,163,Spencer Weisz missed Three Point Jumper.,30,22
5:27,2670,JeQuan Lewis Defensive Rebound.,30,22
5:18,2670,JeQuan Lewis made Layup.,30,24
5:16,163,Princeton  Timeout,30,24
5:05,163,Henry Caruso missed Dunk.,30,24
5:05,2670,Doug Brooks Block.,30,24
5:03,2670,Samir Doughty Defensive Rebound.,30,24
4:54,2670,Foul on Justin Tillman.,30,24
4:54,2670,Justin Tillman Turnover.,30,24
4:41,2670,Foul on Ahmed Hamdy-Mohamed.,30,24
4:27,163,Spencer Weisz made Layup. Assisted by Henry Caruso.,32,24
4:16,2670,JeQuan Lewis made Three Point Jumper.,32,27
4:04,2670,Foul on Ahmed Hamdy-Mohamed.,32,27
4:01,163,Devin Cannady made Three Point Jumper. Assisted by Hans Brase.,35,27
3:50,2670,JeQuan Lewis missed Layup.,35,27
3:50,163,Henry Caruso Defensive Rebound.,35,27
3:41,163,Princeton  Timeout,35,27
3:36,163,Devin Cannady Turnover.,35,27
3:23,2670,Samir Doughty Turnover.,35,27
3:11,2670,Foul on Samir Doughty.,35,27
3:11,163,Myles Stephens made Free Throw.,36,27
3:11,163,Myles Stephens made Free Throw.,37,27
3:05,2670,Doug Brooks missed Three Point Jumper.,37,27
3:05,163,Steven Cook Defensive Rebound.,37,27
2:54,163,Henry Caruso Turnover.,37,27
2:40,163,Foul on Spencer Weisz.,37,27
2:40,2670,Jordan Burgess missed Free Throw.,37,27
2:40,2670,VCU Deadball Team Rebound.,37,27
2:40,2670,Jordan Burgess made Free Throw.,37,28
2:28,163,Steven Cook Turnover.,37,28
2:23,2670,De'Riante Jenkins made Dunk.,37,30
2:09,163,Henry Caruso Turnover.,37,30
2:07,2670,Mo Alie-Cox made Dunk.,37,32
1:41,163,Jose Morales Turnover.,37,32
1:34,2670,JeQuan Lewis made Three Point Jumper. Assisted by Jordan Burgess.,37,35
1:12,163,Devin Cannady Turnover.,37,35
1:11,2670,JeQuan Lewis Steal.,37,35
1:02,163,Foul on Devin Cannady.,37,35
1:02,2670,JeQuan Lewis made Free Throw.,37,36
1:02,2670,JeQuan Lewis made Free Throw.,37,37
0:48,163,Henry Caruso made Layup. Assisted by Pete Miller.,39,37
0:34,2670,Mo Alie-Cox made Dunk. Assisted by JeQuan Lewis.,39,39
0:01,163,Will Gladson missed Three Point Jumper.,39,39
0:01,163,Princeton Deadball Team Rebound.,39,39
0:00,2670,End of 1st half,39,39
19:41,2670,Samir Doughty missed Layup.,39,39
19:41,2670,Samir Doughty Offensive Rebound.,39,39
19:37,2670,Samir Doughty missed Layup.,39,39
19:37,163,Will Gladson Defensive Rebound.,39,39
19:36,2670,Foul on Doug Brooks.,39,39
19:24,163,Steven Cook made Layup.,41,39
19:12,2670,Mo Alie-Cox missed Dunk.,41,39
19:12,163,Henry Caruso Defensive Rebound.,41,39
18:53,2670,Foul on Samir Doughty.,41,39
18:41,163,Will Gladson Turnover.,41,39
18:39,2670,Samir Doughty Steal.,41,39
18:37,2670,Samir Doughty made Dunk.,41,41
18:20,163,Spencer Weisz missed Layup.,41,41
18:20,2670,Mo Alie-Cox Block.,41,41
18:19,2670,Doug Brooks Defensive Rebound.,41,41
18:10,2670,Doug Brooks made Three Point Jumper. Assisted by JeQuan Lewis.,41,44
17:53,163,Amir Bell missed Layup.,41,44
17:53,2670,Mo Alie-Cox Block.,41,44
17:51,2670,Mo Alie-Cox Defensive Rebound.,41,44
17:44,2670,Foul on Samir Doughty.,41,44
17:44,2670,Samir Doughty Turnover.,41,44
17:26,163,Pete Miller made Jumper.,43,44
17:05,2670,De'Riante Jenkins missed Three Point Jumper.,43,44
17:05,2670,Mo Alie-Cox Offensive Rebound.,43,44
17:00,2670,Mo Alie-Cox made Dunk.,43,46
16:42,163,Henry Caruso made Jumper.,45,46
16:28,2670,Mo Alie-Cox made Layup. Assisted by JeQuan Lewis.,45,48
15:55,163,Devin Cannady missed Three Point Jumper.,45,48
15:55,2670,Jordan Burgess Defensive Rebound.,45,48
15:27,2670,Justin Tillman missed Jumper.,45,48
15:27,163,Spencer Weisz Defensive Rebound.,45,48
15:10,2670,Foul on De'Riante Jenkins.,45,48
15:10,163,Steven Cook missed Free Throw.,45,48
15:10,163,Princeton Deadball Team Rebound.,45,48
15:10,163,Steven Cook missed Free Throw.,45,48
15:10,163,Steven Cook Offensive Rebound.,45,48
14:55,163,Spencer Weisz made Three Point Jumper. Assisted by Steven Cook.,48,48
14:20,2670,Justin Tillman made Dunk. Assisted by JeQuan Lewis.,48,50
14:07,163,Devin Cannady made Three Point Jumper.,51,50
13:52,2670,Ahmed Hamdy-Mohamed made Layup. Assisted by JeQuan Lewis.,51,52
13:34,163,Steven Cook missed Layup.,51,52
13:34,163,Myles Stephens Offensive Rebound.,51,52
13:31,2670,Foul on Ahmed Hamdy-Mohamed.,51,52
13:31,163,Myles Stephens missed Free Throw.,51,52
13:31,163,Princeton Deadball Team Rebound.,51,52
13:31,163,Myles Stephens made Free Throw.,52,52
13:18,2670,Justin Tillman made Dunk. Assisted by De'Riante Jenkins.,52,54
13:04,2670,Foul on JeQuan Lewis.,52,54
13:00,163,Spencer Weisz made Three Point Jumper. Assisted by Devin Cannady.,55,54
12:38,2670,Mo Alie-Cox Turnover.,55,54
12:18,163,Pete Miller missed Layup.,55,54
12:18,2670,De'Riante Jenkins Block.,55,54
12:17,2670,Justin Tillman Defensive Rebound.,55,54
12:09,163,Foul on Steven Cook.,55,54
12:06,2670,Justin Tillman missed Jumper.,55,54
12:06,2670,Mo Alie-Cox Offensive Rebound.,55,54
12:05,163,Foul on Will Gladson.,55,54
12:04,163,Foul on Will Gladson.,55,54
11:49,2670,Mo Alie-Cox made Dunk. Assisted by De'Riante Jenkins.,55,56
11:31,2670,Foul on JeQuan Lewis.,55,56
11:31,163,Princeton  Timeout,55,56
11:31,163,Devin Cannady made Free Throw.,56,56
11:31,163,Devin Cannady missed Free Throw.,56,56
11:31,2670,Jordan Burgess Defensive Rebound.,56,56
11:08,2670,JeQuan Lewis missed Three Point Jumper.,56,56
11:08,163,Steven Cook Defensive Rebound.,56,56
10:52,163,Steven Cook missed Three Point Jumper.,56,56
10:52,2670,De'Riante Jenkins Defensive Rebound.,56,56
10:39,2670,De'Riante Jenkins missed Three Point Jumper.,56,56
10:39,163,Pete Miller Defensive Rebound.,56,56
10:27,163,Devin Cannady Turnover.,56,56
10:25,2670,Doug Brooks Steal.,56,56
10:21,2670,De'Riante Jenkins made Layup. Assisted by JeQuan Lewis.,56,58
10:00,163,Steven Cook missed Layup.,56,58
10:00,163,Steven Cook Offensive Rebound.,56,58
9:57,163,Spencer Weisz missed Three Point Jumper.,56,58
9:57,163,Myles Stephens Offensive Rebound.,56,58
9:54,163,Myles Stephens missed Jumper.,56,58
9:54,2670,Jordan Burgess Defensive Rebound.,56,58
9:43,2670,JeQuan Lewis Turnover.,56,58
9:29,163,Myles Stephens Turnover.,56,58
9:16,2670,Samir Doughty Turnover.,56,58
9:02,163,Henry Caruso missed Layup.,56,58
9:02,2670,Doug Brooks Defensive Rebound.,56,58
8:54,2670,Doug Brooks Turnover.,56,58
8:52,163,Amir Bell Steal.,56,58
8:31,163,Myles Stephens missed Layup.,56,58
8:31,2670,Mo Alie-Cox Block.,56,58
8:30,163,Henry Caruso Offensive Rebound.,56,58
8:26,163,Henry Caruso made Jumper.,58,58
8:05,2670,Mo Alie-Cox missed Layup.,58,58
8:05,163,Will Gladson Block.,58,58
8:03,163,Henry Caruso Defensive Rebound.,58,58
7:59,163,Princeton  Timeout,58,58
7:42,163,Steven Cook made Layup.,60,58
7:28,2670,Mo Alie-Cox made Dunk. Assisted by JeQuan Lewis.,60,60
7:00,163,Henry Caruso made Jumper.,62,60
6:42,2670,Jordan Burgess made Layup.,62,62
6:39,2670,VCU  Timeout,62,62
6:09,163,Spencer Weisz missed Three Point Jumper.,62,62
6:09,163,Myles Stephens Offensive Rebound.,62,62
6:02,163,Myles Stephens made Layup.,64,62
5:59,163,Foul on Pete Miller.,64,62
5:52,2670,Jordan Burgess made Layup. Assisted by JeQuan Lewis.,64,64
5:36,2670,Foul on Jordan Burgess.,64,64
5:36,163,Pete Miller missed Free Throw.,64,64
5:36,2670,Jordan Burgess Defensive Rebound.,64,64
5:23,2670,Doug Brooks missed Three Point Jumper.,64,64
5:23,2670,Doug Brooks Offensive Rebound.,64,64
5:02,2670,JeQuan Lewis Turnover.,64,64
5:01,163,Steven Cook Steal.,64,64
4:45,163,Steven Cook missed Three Point Jumper.,64,64
4:45,2670,JeQuan Lewis Defensive Rebound.,64,64
4:36,2670,Jordan Burgess made Three Point Jumper. Assisted by JeQuan Lewis.,64,67
4:24,163,Princeton  Timeout,64,67
4:13,2670,Foul on Doug Brooks.,64,67
4:13,163,Myles Stephens missed Free Throw.,64,67
4:13,2670,Jordan Burgess Defensive Rebound.,64,67
3:50,2670,Samir Doughty made Three Point Jumper. Assisted by JeQuan Lewis.,64,70
3:32,163,Myles Stephens Turnover.,64,70
3:32,163,Foul on Myles Stephens.,64,70
3:19,2670,Jordan Burgess Turnover.,64,70
3:18,163,Steven Cook Steal.,64,70
2:53,163,Spencer Weisz missed Three Point Jumper.,64,70
2:53,2670,Mo Alie-Cox Defensive Rebound.,64,70
2:30,163,Foul on Pete Miller.,64,70
2:30,2670,Mo Alie-Cox missed Free Throw.,64,70
2:30,2670,VCU Deadball Team Rebound.,64,70
2:30,2670,Mo Alie-Cox made Free Throw.,64,71
2:13,163,Amir Bell made Jumper.,66,71
2:10,163,Princeton  Timeout,66,71
1:50,2670,Doug Brooks missed Three Point Jumper.,66,71
1:50,2670,Samir Doughty Offensive Rebound.,66,71
1:46,163,Foul on Amir Bell.,66,71
1:46,2670,Samir Doughty made Free Throw.,66,72
1:46,2670,Samir Doughty made Free Throw.,66,73
1:40,2670,Foul on Jordan Burgess.,66,73
1:40,163,Steven Cook missed Free Throw.,66,73
1:40,163,Princeton Deadball Team Rebound.,66,73
1:40,163,Steven Cook made Free Throw.,67,73
1:18,163,Foul on Myles Stephens.,67,73
1:18,2670,JeQuan Lewis made Free Throw.,67,74
1:18,2670,JeQuan Lewis made Free Throw.,67,75
1:05,163,Steven Cook missed Layup.,67,75
1:05,2670,Jordan Burgess Defensive Rebound.,67,75
0:59,163,Foul on Spencer Weisz.,67,75
0:59,2670,JeQuan Lewis made Free Throw.,67,76
0:59,2670,JeQuan Lewis made Free Throw.,67,77
0:52,163,Devin Cannady missed Layup.,67,77
0:52,2670,Mo Alie-Cox Block.,67,77
0:50,2670,JeQuan Lewis Defensive Rebound.,67,77
0:44,2670,Jordan Burgess made Dunk. Assisted by JeQuan Lewis.,67,79
0:38,163,Spencer Weisz made Three Point Jumper.,70,79
0:35,163,Princeton  Timeout,70,79
0:29,163,Foul on Steven Cook.,70,79
0:29,2670,Doug Brooks made Free Throw.,70,80
0:29,2670,Doug Brooks made Free Throw.,70,81
0:19,163,Aaron Young missed Jumper.,70,81
0:19,2670,Samir Doughty Defensive Rebound.,70,81
0:00,2670,End of Game,70,81
