Auburn,103,Boston College,2
13:53,103,Foul on A.J. Turner.,9,15
13:44,2,TJ Lang made Three Point Jumper. Assisted by Danjel Purifoy.,12,15
13:21,103,Ty Graves missed Three Point Jumper.,12,15
13:21,2,Horace Spencer Defensive Rebound.,12,15
13:11,2,TJ Lang missed Three Point Jumper.,12,15
13:11,103,Nik Popovic Defensive Rebound.,12,15
12:56,2,Foul on Mustapha Heron.,12,15
12:56,103,Jerome Robinson missed Free Throw.,12,15
12:56,103,Boston College Deadball Team Rebound.,12,15
12:56,103,Jerome Robinson made Free Throw.,12,16
12:47,2,TJ Lang Turnover.,12,16
12:38,103,Nik Popovic Turnover.,12,16
12:15,2,Ronnie Johnson missed Layup.,12,16
12:15,103,Nik Popovic Defensive Rebound.,12,16
12:06,103,Jordan Chatman Turnover.,12,16
11:58,2,TJ Lang Turnover.,12,16
11:58,103,Ky Bowman Steal.,12,16
11:54,103,Ky Bowman made Dunk.,12,18
11:32,2,Danjel Purifoy made Jumper.,14,18
11:14,103,Ky Bowman made Three Point Jumper. Assisted by Jerome Robinson.,14,21
11:05,2,Mustapha Heron missed Jumper.,14,21
11:05,103,Jerome Robinson Defensive Rebound.,14,21
10:54,103,Ky Bowman made Three Point Jumper. Assisted by Mo Jeffers.,14,24
10:49,2,Auburn  Timeout,14,24
10:38,2,Bryce Brown Turnover.,14,24
10:38,103,Jordan Chatman Steal.,14,24
10:34,103,Jordan Chatman Turnover.,14,24
10:34,2,LaRon Smith Steal.,14,24
10:28,2,Danjel Purifoy made Three Point Jumper. Assisted by Jared Harper.,17,24
10:27,103,Foul on Connar Tava.,17,24
10:27,2,Danjel Purifoy made Free Throw.,18,24
10:27,103,Foul on Garland Owens.,18,24
10:11,2,Mustapha Heron Turnover.,18,24
10:08,103,Jordan Chatman Turnover.,18,24
10:00,103,A.J. Turner missed Layup.,18,24
10:00,2,LaRon Smith Block.,18,24
10:00,103,Boston College Offensive Rebound.,18,24
9:59,103,Ky Bowman Turnover.,18,24
9:59,2,TJ Lang Steal.,18,24
9:49,2,LaRon Smith Turnover.,18,24
9:49,103,Jerome Robinson Turnover.,18,24
9:32,2,Bryce Brown missed Three Point Jumper.,18,24
9:32,103,Mo Jeffers Defensive Rebound.,18,24
9:17,103,A.J. Turner missed Three Point Jumper.,18,24
9:17,2,Bryce Brown Defensive Rebound.,18,24
9:09,2,Jared Harper made Jumper.,20,24
8:50,103,Mo Jeffers made Jumper.,20,26
8:34,2,Bryce Brown missed Jumper.,20,26
8:34,2,Bryce Brown Offensive Rebound.,20,26
8:34,103,Foul on Garland Owens.,20,26
8:29,2,LaRon Smith missed Jumper.,20,26
8:29,103,Jerome Robinson Defensive Rebound.,20,26
8:21,103,Jordan Chatman missed Three Point Jumper.,20,26
8:21,2,LaRon Smith Defensive Rebound.,20,26
8:13,2,Danjel Purifoy made Three Point Jumper. Assisted by TJ Lang.,23,26
7:53,2,Foul on Jared Harper.,23,26
7:53,103,Official TV Timeout,23,26
7:53,103,Jerome Robinson made Free Throw.,23,27
7:53,103,Jerome Robinson missed Free Throw.,23,27
7:53,103,Mo Jeffers Offensive Rebound.,23,27
7:45,103,Jerome Robinson missed Jumper.,23,27
7:45,2,Bryce Brown Block.,23,27
7:45,2,Horace Spencer Defensive Rebound.,23,27
7:39,2,Jared Harper missed Three Point Jumper.,23,27
7:39,103,Jordan Chatman Defensive Rebound.,23,27
7:15,103,Ky Bowman missed Jumper.,23,27
7:15,2,Horace Spencer Defensive Rebound.,23,27
7:08,2,Danjel Purifoy missed Three Point Jumper.,23,27
7:08,103,Jordan Chatman Defensive Rebound.,23,27
6:58,103,Jordan Chatman missed Layup.,23,27
6:58,2,Mustapha Heron Block.,23,27
6:58,103,Jerome Robinson Offensive Rebound.,23,27
6:52,103,Jerome Robinson made Layup.,23,29
6:32,103,Foul on Jerome Robinson.,23,29
6:32,2,Horace Spencer made Free Throw.,24,29
6:32,2,Horace Spencer missed Free Throw.,24,29
6:32,2,Auburn Offensive Rebound.,24,29
6:29,103,Foul on Ky Bowman.,24,29
6:29,2,Horace Spencer missed Free Throw.,24,29
6:29,103,Jerome Robinson Defensive Rebound.,24,29
6:14,103,Mo Jeffers missed Jumper.,24,29
6:14,2,Horace Spencer Block.,24,29
6:14,103,Boston College Offensive Rebound.,24,29
6:09,103,Jerome Robinson Turnover.,24,29
6:01,2,Ronnie Johnson made Jumper.,26,29
5:46,2,Foul on Ronnie Johnson.,26,29
5:46,103,Jerome Robinson made Free Throw.,26,30
5:46,103,Jerome Robinson made Free Throw.,26,31
5:33,2,Horace Spencer made Layup. Assisted by Ronnie Johnson.,28,31
4:56,103,Jordan Chatman missed Three Point Jumper.,28,31
4:56,2,Ronnie Johnson Defensive Rebound.,28,31
4:50,2,Ronnie Johnson made Layup.,30,31
4:33,103,Ky Bowman missed Layup.,30,31
4:33,2,Horace Spencer Block.,30,31
4:33,2,Horace Spencer Defensive Rebound.,30,31
4:21,2,Ronnie Johnson missed Layup.,30,31
4:21,103,Jordan Chatman Block.,30,31
4:21,103,Jerome Robinson Defensive Rebound.,30,31
4:16,2,Foul on Horace Spencer.,30,31
4:16,103,Jerome Robinson made Free Throw.,30,32
4:16,103,Jerome Robinson made Free Throw.,30,33
4:01,103,Foul on Connar Tava.,30,33
4:01,2,Mustapha Heron made Free Throw.,31,33
4:01,2,Mustapha Heron made Free Throw.,32,33
4:01,103,Jerome Robinson Turnover.,32,33
4:01,2,Ronnie Johnson Steal.,32,33
3:57,2,Ronnie Johnson Turnover.,32,33
3:57,103,Official TV Timeout,32,33
3:30,103,Jerome Robinson made Jumper.,32,35
3:16,2,Mustapha Heron made Jumper.,34,35
3:06,103,A.J. Turner Turnover.,34,35
3:06,2,Ronnie Johnson Steal.,34,35
3:00,2,Ronnie Johnson missed Layup.,34,35
3:00,103,Boston College Defensive Rebound.,34,35
2:55,103,A.J. Turner Turnover.,34,35
2:55,2,LaRon Smith Steal.,34,35
2:48,2,Mustapha Heron Turnover.,34,35
2:48,103,Ky Bowman Steal.,34,35
2:26,103,Jerome Robinson missed Jumper.,34,35
2:26,2,Auburn Defensive Rebound.,34,35
2:14,2,Mustapha Heron Turnover.,34,35
1:51,103,A.J. Turner made Three Point Jumper. Assisted by Jordan Chatman.,34,38
1:34,2,Danjel Purifoy made Three Point Jumper. Assisted by Bryce Brown.,37,38
1:11,103,Jordan Chatman made Three Point Jumper. Assisted by A.J. Turner.,37,41
0:51,2,Horace Spencer missed Jumper.,37,41
0:51,103,Jerome Robinson Defensive Rebound.,37,41
0:42,103,Jerome Robinson made Layup.,37,43
0:31,103,Foul on Jordan Chatman.,37,43
0:31,2,Danjel Purifoy made Free Throw.,38,43
0:31,2,Danjel Purifoy made Free Throw.,39,43
0:07,103,A.J. Turner Turnover.,39,43
0:03,2,Ronnie Johnson Turnover.,39,43
0:00,103,Ky Bowman missed Three Point Jumper.,39,43
0:00,103,Boston College Offensive Rebound.,39,43
0:00,103,End of 1st half,40,43
20:00,103,Jump Ball won by Boston College,39,43
19:45,103,Jerome Robinson made Jumper.,39,45
19:26,2,Mustapha Heron missed Layup.,39,45
19:26,103,Mo Jeffers Block.,39,45
19:26,103,A.J. Turner Defensive Rebound.,39,45
19:10,103,Jerome Robinson Turnover.,39,45
19:10,2,Horace Spencer Steal.,39,45
19:00,2,Mustapha Heron missed Three Point Jumper.,39,45
19:00,103,Mo Jeffers Defensive Rebound.,39,45
18:34,103,Mo Jeffers Turnover.,39,45
18:24,103,Foul on Mo Jeffers.,39,45
18:11,2,Bryce Brown missed Three Point Jumper.,39,45
18:11,103,Jerome Robinson Defensive Rebound.,39,45
17:55,103,Connar Tava Turnover.,39,45
17:55,2,Jared Harper Steal.,39,45
17:32,2,Bryce Brown made Three Point Jumper. Assisted by Jared Harper.,42,45
17:07,2,Foul on Horace Spencer.,42,45
17:07,103,Mo Jeffers made Free Throw.,42,46
17:07,103,Mo Jeffers made Free Throw.,42,47
16:37,2,Mustapha Heron missed Three Point Jumper.,42,47
16:37,103,Mo Jeffers Defensive Rebound.,42,47
16:19,103,Jerome Robinson made Three Point Jumper. Assisted by A.J. Turner.,42,50
16:00,2,Mustapha Heron missed Jumper.,42,50
16:00,103,Connar Tava Defensive Rebound.,42,50
15:52,103,Jerome Robinson missed Three Point Jumper.,42,50
15:52,2,Mustapha Heron Defensive Rebound.,42,50
15:42,2,Jared Harper missed Jumper.,42,50
15:42,103,Boston College Defensive Rebound.,42,50
15:42,103,Foul on Jerome Robinson.,42,50
15:42,103,Official TV Timeout,42,50
15:33,103,Foul on Jerome Robinson.,42,50
15:09,2,Bryce Brown missed Three Point Jumper.,42,50
15:09,2,Mustapha Heron Offensive Rebound.,42,50
15:09,103,Foul on Garland Owens.,42,50
15:09,2,Mustapha Heron made Free Throw.,43,50
15:09,2,Mustapha Heron made Free Throw.,44,50
14:52,103,Jordan Chatman missed Jumper.,44,50
14:52,2,Mustapha Heron Defensive Rebound.,44,50
14:45,103,Foul on Nik Popovic.,44,50
14:45,2,Mustapha Heron missed Free Throw.,44,50
14:45,2,Auburn Deadball Team Rebound.,44,50
14:45,2,Mustapha Heron made Free Throw.,45,50
14:40,103,A.J. Turner made Jumper.,45,52
14:28,103,Foul on Jordan Chatman.,45,52
14:28,2,Mustapha Heron made Free Throw.,46,52
14:28,2,Mustapha Heron made Free Throw.,47,52
14:12,103,Nik Popovic made Jumper.,47,54
13:47,2,Ronnie Johnson missed Three Point Jumper.,47,54
13:47,103,Jordan Chatman Defensive Rebound.,47,54
13:21,103,Jordan Chatman missed Three Point Jumper.,47,54
13:21,2,TJ Lang Defensive Rebound.,47,54
13:04,2,Bryce Brown missed Layup.,47,54
13:04,2,Danjel Purifoy Offensive Rebound.,47,54
13:04,2,Danjel Purifoy made Dunk.,49,54
12:55,2,Foul on Bryce Brown.,49,54
12:45,103,Ky Bowman Turnover.,49,54
12:45,2,Horace Spencer Steal.,49,54
12:40,2,Mustapha Heron made Layup.,51,54
12:15,103,Jordan Chatman missed Jumper.,51,54
12:15,2,Horace Spencer Block.,51,54
12:15,103,Boston College Offensive Rebound.,51,54
12:12,103,Connar Tava made Jumper. Assisted by Jordan Chatman.,51,56
11:58,103,Foul on Jordan Chatman.,51,56
11:58,103,Official TV Timeout,51,56
11:58,2,Bryce Brown made Free Throw.,52,56
11:58,2,Bryce Brown made Free Throw.,53,56
11:53,103,Jerome Robinson Turnover.,53,56
11:53,2,Danjel Purifoy Steal.,53,56
11:49,2,Danjel Purifoy Turnover.,53,56
11:49,103,Jerome Robinson Steal.,53,56
11:31,103,Connar Tava missed Layup.,53,56
11:31,2,Horace Spencer Block.,53,56
11:31,2,Mustapha Heron Defensive Rebound.,53,56
11:22,2,Mustapha Heron Turnover.,53,56
11:02,103,Mo Jeffers missed Jumper.,53,56
11:02,2,Horace Spencer Block.,53,56
11:02,103,Boston College Offensive Rebound.,53,56
10:51,103,Connar Tava missed Three Point Jumper.,53,56
10:51,2,Ronnie Johnson Defensive Rebound.,53,56
10:43,2,Bryce Brown missed Three Point Jumper.,53,56
10:43,103,Mo Jeffers Defensive Rebound.,53,56
10:35,103,Ty Graves made Jumper.,53,58
10:15,2,Horace Spencer made Jumper.,55,58
9:54,2,Foul on Mustapha Heron.,55,58
9:36,103,A.J. Turner made Layup. Assisted by Connar Tava.,55,60
9:19,2,Danjel Purifoy made Jumper.,57,60
9:04,103,Jerome Robinson missed Jumper.,57,60
9:04,103,A.J. Turner Offensive Rebound.,57,60
8:57,103,Jerome Robinson missed Three Point Jumper.,57,60
8:57,2,LaRon Smith Defensive Rebound.,57,60
8:26,2,Ronnie Johnson missed Three Point Jumper.,57,60
8:26,103,Boston College Defensive Rebound.,57,60
8:11,2,Foul on Ronnie Johnson.,57,60
8:07,103,Jerome Robinson missed Jumper.,57,60
8:07,2,Bryce Brown Block.,57,60
8:06,103,Mo Jeffers Offensive Rebound.,57,60
8:05,103,A.J. Turner missed Three Point Jumper.,57,60
8:04,2,Auburn Defensive Rebound.,57,60
8:04,103,Foul on Connar Tava.,57,60
8:03,2,Jared Harper missed Free Throw.,57,60
8:03,2,Anfernee McLemore Offensive Rebound.,57,60
7:57,2,Auburn  Timeout,57,60
7:44,103,Foul on Mo Jeffers.,57,60
7:44,103,Official TV Timeout,57,60
7:44,2,Mustapha Heron made Free Throw.,58,60
7:44,2,Mustapha Heron made Free Throw.,59,60
7:24,103,Jerome Robinson missed Three Point Jumper.,59,60
7:24,2,LaRon Smith Defensive Rebound.,59,60
7:13,2,Jared Harper missed Three Point Jumper.,59,60
7:13,103,Garland Owens Defensive Rebound.,59,60
6:54,103,Jerome Robinson missed Layup.,59,60
6:54,2,Jared Harper Defensive Rebound.,59,60
6:48,2,Bryce Brown missed Layup.,59,60
6:48,2,Anfernee McLemore Offensive Rebound.,59,60
6:48,2,Anfernee McLemore made Two Point Tip Shot.,61,60
6:38,2,Foul on LaRon Smith.,61,60
6:30,103,A.J. Turner missed Three Point Jumper.,61,60
6:30,103,Garland Owens Defensive Rebound.,61,60
6:21,103,Ky Bowman missed Three Point Jumper.,61,60
6:21,103,Boston College Offensive Rebound.,61,60
6:18,2,Foul on Horace Spencer.,61,60
6:18,103,A.J. Turner Turnover.,61,60
6:06,2,Jared Harper missed Three Point Jumper.,61,60
6:06,103,Nik Popovic Defensive Rebound.,61,60
5:45,103,Nik Popovic made Layup.,61,62
5:28,2,Jared Harper missed Jumper.,61,62
5:28,103,Ky Bowman Defensive Rebound.,61,62
5:28,2,Foul on Mustapha Heron.,61,62
5:28,103,Ky Bowman missed Free Throw.,61,62
5:28,2,Danjel Purifoy Defensive Rebound.,61,62
5:06,2,Danjel Purifoy missed Jumper.,61,62
5:06,103,A.J. Turner Defensive Rebound.,61,62
4:45,103,Jordan Chatman missed Three Point Jumper.,61,62
4:45,2,Ronnie Johnson Defensive Rebound.,61,62
4:31,2,Ronnie Johnson missed Layup.,61,62
4:31,103,Nik Popovic Block.,61,62
4:31,103,Nik Popovic Defensive Rebound.,61,62
4:17,103,Jerome Robinson made Jumper. Assisted by Ky Bowman.,61,64
3:56,2,Jared Harper made Three Point Jumper.,64,64
3:35,2,Foul on Bryce Brown.,64,64
3:35,103,Official TV Timeout,64,64
3:35,103,Jerome Robinson missed Free Throw.,64,64
3:35,2,Mustapha Heron Defensive Rebound.,64,64
3:13,2,Jared Harper missed Three Point Jumper.,64,64
3:13,103,Connar Tava Defensive Rebound.,64,64
3:01,2,Foul on Jared Harper.,64,64
3:01,103,Ky Bowman missed Free Throw.,64,64
3:01,103,Boston College Deadball Team Rebound.,64,64
3:01,103,Ky Bowman made Free Throw.,64,65
2:52,2,Danjel Purifoy made Three Point Jumper. Assisted by Jared Harper.,67,65
2:39,103,Boston College  Timeout,67,65
2:16,103,Foul on Jerome Robinson.,67,65
2:07,2,Mustapha Heron made Layup.,69,65
1:36,103,Ky Bowman made Jumper.,69,67
1:15,2,Danjel Purifoy missed Three Point Jumper.,69,67
1:15,103,Connar Tava Defensive Rebound.,69,67
1:04,103,Nik Popovic made Jumper. Assisted by Ky Bowman.,69,69
0:42,2,Mustapha Heron missed Layup.,69,69
0:42,103,Jerome Robinson Defensive Rebound.,69,69
0:32,103,Boston College  Timeout,69,69
0:20,2,Foul on Horace Spencer.,69,69
0:20,103,A.J. Turner made Free Throw.,69,70
0:20,103,A.J. Turner missed Free Throw.,69,70
0:20,2,Mustapha Heron Defensive Rebound.,69,70
0:15,2,Auburn  Timeout,69,70
0:15,2,Auburn  Timeout,69,70
0:10,103,Foul on Connar Tava.,69,70
0:10,2,Danjel Purifoy made Free Throw.,70,70
0:10,2,Danjel Purifoy made Free Throw.,71,70
0:03,103,Ky Bowman missed Layup.,71,70
0:03,103,Nik Popovic Offensive Rebound.,71,70
0:03,103,Nik Popovic made Two Point Tip Shot.,71,72
0:00,103,End of Game,71,72
