North Florida,292,UT Rio Grande Valley,2454
1:42,2454,Karlos Odum Turnover.,29,48
1:41,292,Nick Dixon Steal.,29,48
1:29,292,Lesley Varner Jr. made Jumper. Assisted by Moe McDonald.,29,50
1:16,2454,Nick Malonga missed Three Point Jumper.,29,50
1:16,292,Xavier McDaniel Jr. Defensive Rebound.,29,50
1:04,292,Xavier McDaniel Jr. Turnover.,29,50
0:50,2454,Osborn Blount missed Jumper.,29,50
0:50,292,Dan Kimasa Block.,29,50
0:49,2454,Karlos Odum Offensive Rebound.,29,50
0:45,2454,Osborn Blount missed Layup.,29,50
0:45,292,Xavier McDaniel Jr. Block.,29,50
0:44,2454,North Florida Offensive Rebound.,29,50
0:38,2454,Osborn Blount Turnover.,29,50
0:08,292,UT Rio Grande Valley  Turnover.,29,50
0:00,2454,Aaron Bodager missed Three Point Jumper.,29,50
0:00,2454,Nick Malonga Offensive Rebound.,29,50
0:00,292,End of 1st half,29,50
19:53,292,Dan Kimasa missed Jumper.,29,50
19:53,2454,Wajid Aminu Defensive Rebound.,29,50
19:36,2454,Wajid Aminu Turnover.,29,50
19:11,292,Lew Stallworth missed Three Point Jumper.,29,50
19:11,2454,North Florida Defensive Rebound.,29,50
19:10,292,Foul on Nick Dixon.,29,50
19:04,2454,Garrett Sams missed Layup.,29,50
19:04,2454,Garrett Sams Offensive Rebound.,29,50
19:01,292,Foul on Dan Kimasa.,29,50
19:01,2454,Garrett Sams made Free Throw.,30,50
19:01,2454,Garrett Sams made Free Throw.,31,50
18:52,292,Lew Stallworth made Three Point Jumper. Assisted by Gage Loy.,31,53
18:27,2454,Wajid Aminu made Layup.,33,53
18:27,292,Foul on Dan Kimasa.,33,53
18:27,2454,Wajid Aminu made Free Throw.,34,53
18:20,292,Lew Stallworth Turnover.,34,53
18:15,2454,Garrett Sams missed Three Point Jumper.,34,53
18:15,2454,Dallas Moore Offensive Rebound.,34,53
17:57,2454,Dallas Moore Turnover.,34,53
17:56,292,Lew Stallworth Steal.,34,53
17:54,292,Antonio Green made Three Point Jumper. Assisted by Gage Loy.,34,56
17:40,2454,Garrett Sams made Layup.,36,56
17:23,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,36,59
17:11,2454,Romelo Banks made Dunk. Assisted by Dallas Moore.,38,59
16:48,2454,Foul on Romelo Banks.,38,59
16:48,292,Adonis Rwabigwi missed Free Throw.,38,59
16:48,292,UT Rio Grande Valley Deadball Team Rebound.,38,59
16:48,292,Adonis Rwabigwi made Free Throw.,38,60
16:18,292,Foul on Adonis Rwabigwi.,38,60
16:18,2454,Dallas Moore made Free Throw.,39,60
16:18,2454,Dallas Moore made Free Throw.,40,60
16:01,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,40,63
15:53,2454,Dallas Moore missed Layup.,40,63
15:53,2454,Romelo Banks Offensive Rebound.,40,63
15:50,2454,Romelo Banks made Layup.,42,63
15:49,292,Official TV Timeout,42,63
15:29,292,Nick Dixon made Three Point Jumper. Assisted by Antonio Green.,42,66
15:09,2454,Aaron Bodager Turnover.,42,66
15:04,292,Xavier McDaniel Jr. Steal.,42,66
15:00,292,Xavier McDaniel Jr. made Dunk.,42,68
15:00,292,Foul on Lesley Varner Jr..,42,68
14:50,2454,Romelo Banks missed Layup.,42,68
14:50,292,Xavier McDaniel Jr. Block.,42,68
14:48,292,UT Rio Grande Valley Defensive Rebound.,42,68
14:48,2454,Foul on Wajid Aminu.,42,68
14:38,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,42,71
14:27,2454,Garrett Sams made Layup.,44,71
14:12,292,Lesley Varner Jr. Turnover.,44,71
14:10,2454,Wajid Aminu Steal.,44,71
14:08,2454,Dallas Moore made Layup. Assisted by Garrett Sams.,46,71
13:48,292,Lesley Varner Jr. missed Three Point Jumper.,46,71
13:48,2454,North Florida Defensive Rebound.,46,71
13:47,292,Foul on Adonis Rwabigwi.,46,71
13:32,2454,Dallas Moore made Three Point Jumper. Assisted by Karlos Odum.,49,71
13:25,292,Moe McDonald missed Three Point Jumper.,49,71
13:25,2454,North Florida Defensive Rebound.,49,71
13:06,292,Foul on Mike Hoffman.,49,71
13:06,2454,Wajid Aminu made Free Throw.,50,71
13:06,2454,Wajid Aminu made Free Throw.,51,71
12:53,292,Moe McDonald missed Three Point Jumper.,51,71
12:53,2454,North Florida Defensive Rebound.,51,71
12:49,292,Foul on Mike Hoffman.,51,71
12:49,2454,Karlos Odum made Free Throw.,52,71
12:49,2454,Karlos Odum made Free Throw.,53,71
12:34,2454,Foul on Karlos Odum.,53,71
12:32,292,Lesley Varner Jr. missed Three Point Jumper.,53,71
12:32,2454,Dallas Moore Defensive Rebound.,53,71
12:20,2454,Dallas Moore made Layup.,55,71
12:05,292,Lesley Varner Jr. made Jumper. Assisted by Xavier McDaniel Jr..,55,73
11:53,2454,Dallas Moore missed Three Point Jumper.,55,73
11:53,292,Lew Stallworth Defensive Rebound.,55,73
11:47,292,Moe McDonald made Layup. Assisted by Lew Stallworth.,55,75
11:29,2454,Aaron Bodager missed Three Point Jumper.,55,75
11:29,292,Gage Loy Defensive Rebound.,55,75
11:23,2454,Foul on Wajid Aminu.,55,75
11:23,292,Official TV Timeout,55,75
11:13,292,Nick Dixon Turnover.,55,75
11:08,292,Foul on Nick Dixon.,55,75
11:08,2454,Karlos Odum made Free Throw.,56,75
11:08,2454,Karlos Odum missed Free Throw.,56,75
11:08,292,Xavier McDaniel Jr. Defensive Rebound.,56,75
10:55,2454,Foul on Nick Malonga.,56,75
10:44,2454,Foul on Romelo Banks.,56,75
10:44,292,Lesley Varner Jr. made Free Throw.,56,76
10:44,292,Lesley Varner Jr. made Free Throw.,56,77
10:44,292,Lesley Varner Jr. made Free Throw.,56,78
10:33,292,Foul on Xavier McDaniel Jr..,56,78
10:33,2454,Romelo Banks made Free Throw.,57,78
10:33,2454,Romelo Banks made Free Throw.,58,78
10:24,292,Antonio Green Turnover.,58,78
10:23,2454,Karlos Odum Steal.,58,78
10:19,2454,Dallas Moore missed Layup.,58,78
10:19,292,Xavier McDaniel Jr. Defensive Rebound.,58,78
10:19,2454,Foul on Romelo Banks.,58,78
10:19,292,Gage Loy missed Free Throw.,58,78
10:19,2454,Wajid Aminu Defensive Rebound.,58,78
10:02,2454,Dallas Moore missed Layup.,58,78
10:02,292,Gage Loy Block.,58,78
10:02,2454,North Florida Offensive Rebound.,58,78
9:59,2454,Dallas Moore missed Three Point Jumper.,58,78
9:59,292,Lew Stallworth Defensive Rebound.,58,78
9:53,2454,Foul on Nick Malonga.,58,78
9:53,292,Lew Stallworth made Free Throw.,58,79
9:53,292,Lew Stallworth made Free Throw.,58,80
9:39,2454,Aaron Bodager made Layup.,60,80
9:39,292,Official TV Timeout,60,80
9:29,292,Mike Hoffman made Jumper. Assisted by Antonio Green.,60,82
9:15,2454,Nick Malonga missed Three Point Jumper.,60,82
9:15,2454,Karlos Odum Offensive Rebound.,60,82
9:11,2454,Karlos Odum Turnover.,60,82
9:10,292,Lew Stallworth Steal.,60,82
9:08,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,60,85
9:02,2454,Dallas Moore made Layup. Assisted by Aaron Bodager.,62,85
8:33,292,Antonio Green missed Layup.,62,85
8:33,292,Dan Kimasa Offensive Rebound.,62,85
8:25,292,Antonio Green missed Three Point Jumper.,62,85
8:25,2454,North Florida Defensive Rebound.,62,85
8:07,2454,Wajid Aminu missed Layup.,62,85
8:07,2454,Karlos Odum Offensive Rebound.,62,85
8:03,2454,Karlos Odum made Layup.,64,85
7:48,292,Foul on Dan Kimasa.,64,85
7:48,292,Dan Kimasa Turnover.,64,85
7:48,292,Official TV Timeout,64,85
7:28,2454,Aaron Bodager made Three Point Jumper. Assisted by Wajid Aminu.,67,85
7:06,292,Antonio Green Turnover.,67,85
6:49,2454,Dallas Moore missed Layup.,67,85
6:49,292,Nick Dixon Defensive Rebound.,67,85
6:41,292,Nick Dixon made Layup.,67,87
6:35,2454,Dallas Moore missed Layup.,67,87
6:35,292,Lew Stallworth Defensive Rebound.,67,87
6:12,292,Nick Dixon made Jumper.,67,89
5:58,2454,Karlos Odum missed Layup.,67,89
5:58,292,UT Rio Grande Valley Defensive Rebound.,67,89
5:33,292,Mike Hoffman missed Three Point Jumper.,67,89
5:33,2454,North Florida Defensive Rebound.,67,89
5:31,292,Foul on Lesley Varner Jr..,67,89
5:31,2454,Garrett Sams made Free Throw.,68,89
5:31,2454,Garrett Sams made Free Throw.,69,89
5:16,292,Lew Stallworth missed Layup.,69,89
5:16,2454,Karlos Odum Defensive Rebound.,69,89
5:08,292,Foul on Lesley Varner Jr..,69,89
5:08,2454,Garrett Sams missed Free Throw.,69,89
5:08,2454,North Florida Deadball Team Rebound.,69,89
5:08,2454,Garrett Sams made Free Throw.,70,89
4:44,292,Lesley Varner Jr. missed Three Point Jumper.,70,89
4:44,2454,Garrett Sams Defensive Rebound.,70,89
4:25,292,Foul on Adonis Rwabigwi.,70,89
4:25,2454,CJ Fisher missed Free Throw.,70,89
4:25,2454,North Florida Deadball Team Rebound.,70,89
4:25,2454,CJ Fisher made Free Throw.,71,89
4:12,2454,Foul on Wajid Aminu.,71,89
4:12,292,Adonis Rwabigwi made Free Throw.,71,90
4:12,292,Adonis Rwabigwi missed Free Throw.,71,90
4:12,2454,Benedikt Haid Defensive Rebound.,71,90
4:03,292,Foul on Adonis Rwabigwi.,71,90
4:03,2454,CJ Fisher made Free Throw.,72,90
4:03,2454,CJ Fisher missed Free Throw.,72,90
4:03,292,Walter Jones Defensive Rebound.,72,90
3:44,292,Moe McDonald made Layup.,72,92
3:26,2454,Karlos Odum Turnover.,72,92
3:25,292,Walter Jones Steal.,72,92
3:03,292,Lew Stallworth missed Three Point Jumper.,72,92
3:03,2454,Wajid Aminu Defensive Rebound.,72,92
2:55,2454,Karlos Odum missed Layup.,72,92
2:55,292,Lesley Varner Jr. Block.,72,92
2:52,2454,CJ Fisher Offensive Rebound.,72,92
2:50,2454,CJ Fisher missed Layup.,72,92
2:50,292,Mike Hoffman Block.,72,92
2:48,292,Mike Hoffman Defensive Rebound.,72,92
2:46,292,Lew Stallworth Turnover.,72,92
2:46,292,Official TV Timeout,72,92
2:30,292,Foul on Clarke Cooper.,72,92
2:30,2454,Karlos Odum made Free Throw.,73,92
2:30,2454,Karlos Odum made Free Throw.,74,92
2:17,292,Onuralp Demirer missed Layup.,74,92
2:17,2454,CJ Fisher Defensive Rebound.,74,92
2:11,2454,Garrett Sams made Three Point Jumper. Assisted by Benedikt Haid.,77,92
2:01,292,Nick Mora missed Layup.,77,92
2:01,2454,Wajid Aminu Defensive Rebound.,77,92
1:53,2454,Foul on Wajid Aminu.,77,92
1:53,2454,Wajid Aminu Turnover.,77,92
1:43,292,Clarke Cooper missed Jumper.,77,92
1:43,2454,CJ Fisher Defensive Rebound.,77,92
1:41,292,Foul on Nick Mora.,77,92
1:41,2454,CJ Fisher made Free Throw.,78,92
1:41,2454,CJ Fisher made Free Throw.,79,92
1:28,292,Onuralp Demirer Turnover.,79,92
1:08,2454,Garrett Sams made Three Point Jumper. Assisted by Karlos Odum.,82,92
0:57,292,Onuralp Demirer made Layup. Assisted by Walter Jones.,82,94
0:51,292,Foul on Walter Jones.,82,94
0:51,2454,Garrett Sams made Free Throw.,83,94
0:51,2454,Garrett Sams made Free Throw.,84,94
0:39,2454,Foul on Karlos Odum.,84,94
0:39,292,Mike Nwabuzor made Free Throw.,84,95
0:39,292,Mike Nwabuzor made Free Throw.,84,96
0:32,2454,Garrett Sams Turnover.,84,96
0:31,292,Onuralp Demirer Steal.,84,96
0:29,292,Onuralp Demirer made Layup.,84,98
0:00,292,End of Game,84,98
