Pennsylvania,2116,UCF,219
12:53,2116,Matt Williams Defensive Rebound.,15,12
12:31,2116,Nick Banyard missed Three Point Jumper.,15,12
12:31,219,Max Rothschild Defensive Rebound.,15,12
12:06,219,Matt Howard missed Layup.,15,12
12:05,219,Matt Howard Offensive Rebound.,15,12
12:04,219,Matt Howard missed Layup.,15,12
12:03,219,Matt Howard Offensive Rebound.,15,12
12:02,219,Matt Howard missed Layup.,15,12
12:01,2116,Tacko Fall Defensive Rebound.,15,12
11:59,219,Foul on Max Rothschild.,15,12
11:59,2116,Official TV Timeout,15,12
11:51,2116,Nick Banyard Turnover.,15,12
11:36,219,Devon Goodman Turnover.,15,12
11:09,2116,Nathan Laing missed Layup.,15,12
11:09,219,AJ Brodeur Block.,15,12
11:06,219,AJ Brodeur Defensive Rebound.,15,12
10:43,219,Jackson Donahue missed Three Point Jumper.,15,12
10:43,2116,Nathan Laing Defensive Rebound.,15,12
10:21,2116,Chad Brown missed Layup.,15,12
10:21,219,Matt Howard Defensive Rebound.,15,12
10:13,219,Matt Howard missed Three Point Jumper.,15,12
10:13,2116,Nick Banyard Defensive Rebound.,15,12
10:01,2116,Matt Williams missed Layup.,15,12
10:01,219,Tyler Hamilton Defensive Rebound.,15,12
9:50,219,Jackson Donahue missed Three Point Jumper.,15,12
9:50,219,Devon Goodman Offensive Rebound.,15,12
9:43,219,Tyler Hamilton missed Layup.,15,12
9:43,2116,Chad Brown Defensive Rebound.,15,12
9:31,2116,Matt Williams Turnover.,15,12
9:31,2116,Foul on Matt Williams.,15,12
9:15,219,Devon Goodman Turnover.,15,12
9:15,2116,Nathan Laing Steal.,15,12
9:14,2116,Nathan Laing Turnover.,15,12
9:14,2116,Foul on Nathan Laing.,15,12
9:02,219,Caleb Wood missed Three Point Jumper.,15,12
9:02,2116,Djordjije Mumin Defensive Rebound.,15,12
8:51,2116,Nick Banyard missed Jumper.,15,12
8:51,219,Caleb Wood Defensive Rebound.,15,12
8:47,2116,Foul on Chad Brown.,15,12
8:47,2116,Technical Foul on Chad Brown.,15,12
8:47,2116,Foul on Chad Brown.,15,12
8:47,219,Caleb Wood made Free Throw.,16,12
8:47,219,Caleb Wood made Free Throw.,17,12
8:34,219,Caleb Wood Turnover.,17,12
8:31,2116,A.J. Davis Steal.,17,12
8:27,2116,Tanksley Efianayi missed Layup.,17,12
8:27,2116,Tacko Fall Offensive Rebound.,17,12
8:24,2116,Tacko Fall made Layup.,17,14
7:52,219,Pennsylvania  Turnover.,17,14
7:52,2116,Official TV Timeout,17,14
7:48,2116,Nathan Laing Turnover.,17,14
7:31,219,Sam Jones missed Three Point Jumper.,17,14
7:31,2116,Tacko Fall Defensive Rebound.,17,14
7:16,2116,Djordjije Mumin Turnover.,17,14
7:16,2116,Foul on Djordjije Mumin.,17,14
6:59,219,Sam Jones missed Three Point Jumper.,17,14
6:59,219,Pennsylvania Offensive Rebound.,17,14
6:38,219,Darnell Foreman Turnover.,17,14
6:38,2116,Tacko Fall Steal.,17,14
6:38,219,Foul on Sam Jones.,17,14
6:28,2116,Nathan Laing missed Layup.,17,14
6:28,219,AJ Brodeur Block.,17,14
6:26,219,AJ Brodeur Defensive Rebound.,17,14
6:16,219,AJ Brodeur missed Jumper.,17,14
6:16,2116,Tacko Fall Defensive Rebound.,17,14
5:59,2116,Tacko Fall made Layup. Assisted by Matt Williams.,17,16
5:36,219,Matt Howard missed Three Point Jumper.,17,16
5:36,219,AJ Brodeur Offensive Rebound.,17,16
5:30,219,AJ Brodeur Turnover.,17,16
5:30,2116,Tacko Fall Steal.,17,16
5:20,219,Foul on Jackson Donahue.,17,16
4:58,2116,Tacko Fall made Dunk. Assisted by A.J. Davis.,17,18
4:29,219,Darnell Foreman made Three Point Jumper. Assisted by Matt Howard.,20,18
4:11,2116,Djordjije Mumin missed Three Point Jumper.,20,18
4:11,219,Tyler Hamilton Defensive Rebound.,20,18
3:45,219,Matt Howard made Dunk. Assisted by AJ Brodeur.,22,18
3:26,2116,Nick Banyard missed Layup.,22,18
3:26,2116,Tacko Fall Offensive Rebound.,22,18
3:24,2116,Tacko Fall made Layup.,22,20
3:01,219,Tyler Hamilton missed Three Point Jumper.,22,20
3:01,2116,A.J. Davis Defensive Rebound.,22,20
2:55,2116,A.J. Davis Turnover.,22,20
2:55,2116,Official TV Timeout,22,20
2:44,219,Caleb Wood Turnover.,22,20
2:14,2116,UCF  Turnover.,22,20
1:58,219,AJ Brodeur missed Layup.,22,20
1:58,2116,Tanksley Efianayi Defensive Rebound.,22,20
1:49,2116,Matt Williams made Jumper.,22,22
1:49,219,Foul on Darnell Foreman.,22,22
1:49,2116,Matt Williams missed Free Throw.,22,22
1:49,219,Matt Howard Defensive Rebound.,22,22
1:26,219,AJ Brodeur missed Jumper.,22,22
1:26,2116,Matt Williams Defensive Rebound.,22,22
1:08,219,Foul on Caleb Wood.,22,22
1:07,2116,A.J. Davis made Free Throw.,22,23
1:07,2116,A.J. Davis made Free Throw.,22,24
1:01,219,Pennsylvania  Timeout,22,24
0:50,219,Sam Jones made Three Point Jumper. Assisted by Darnell Foreman.,25,24
0:32,2116,Tanksley Efianayi missed Jumper.,25,24
0:32,2116,Tanksley Efianayi Offensive Rebound.,25,24
0:26,2116,Tanksley Efianayi Turnover.,25,24
0:03,219,Sam Jones missed Three Point Jumper.,25,24
0:03,219,Matt Howard Offensive Rebound.,25,24
0:00,219,Matt Howard made Three Point Jumper.,28,24
0:00,2116,End of 1st half,27,24
19:49,219,Darnell Foreman missed Three Point Jumper.,28,24
19:49,2116,Tacko Fall Defensive Rebound.,28,24
19:36,2116,Tanksley Efianayi Turnover.,28,24
19:32,219,Sam Jones missed Three Point Jumper.,28,24
19:32,219,Pennsylvania Deadball Team Rebound.,28,24
19:30,2116,Foul on Nick Banyard.,28,24
19:22,219,Matt Howard made Three Point Jumper. Assisted by Matt MacDonald.,31,24
18:59,2116,A.J. Davis missed Three Point Jumper.,31,24
18:59,219,Pennsylvania Defensive Rebound.,31,24
18:43,219,Matt Howard made Layup. Assisted by AJ Brodeur.,33,24
18:31,2116,UCF  Timeout,33,24
18:17,2116,Nick Banyard Turnover.,33,24
18:15,219,Darnell Foreman Steal.,33,24
17:58,219,Sam Jones Turnover.,33,24
17:56,2116,A.J. Davis Steal.,33,24
17:53,2116,A.J. Davis missed Layup.,33,24
17:53,2116,Djordjije Mumin Offensive Rebound.,33,24
17:48,219,Foul on Darnell Foreman.,33,24
17:38,2116,Djordjije Mumin Turnover.,33,24
17:36,219,AJ Brodeur Steal.,33,24
17:17,219,AJ Brodeur missed Layup.,33,24
17:17,2116,Tacko Fall Block.,33,24
17:15,2116,Tacko Fall Defensive Rebound.,33,24
16:59,2116,Matt Williams Turnover.,33,24
16:43,219,Sam Jones made Three Point Jumper. Assisted by AJ Brodeur.,36,24
16:26,2116,Matt Williams made Three Point Jumper.,36,27
16:06,219,Darnell Foreman Turnover.,36,27
15:53,2116,Tanksley Efianayi missed Layup.,36,27
15:53,219,AJ Brodeur Block.,36,27
15:52,2116,Nick Banyard Offensive Rebound.,36,27
15:50,2116,Nick Banyard missed Layup.,36,27
15:50,219,Matt MacDonald Defensive Rebound.,36,27
15:32,219,Sam Jones made Three Point Jumper. Assisted by Darnell Foreman.,39,27
15:16,2116,Matt Williams missed Jumper.,39,27
15:16,2116,UCF Deadball Team Rebound.,39,27
15:12,219,Foul on Matt Howard.,39,27
15:12,2116,Official TV Timeout,39,27
15:12,2116,Tanksley Efianayi made Free Throw.,39,28
15:12,2116,Tanksley Efianayi made Free Throw.,39,29
14:50,219,Darnell Foreman missed Jumper.,39,29
14:50,2116,Tanksley Efianayi Defensive Rebound.,39,29
14:22,219,Foul on Darnell Foreman.,39,29
14:16,219,Foul on Matt Howard.,39,29
13:58,219,Foul on Tyler Hamilton.,39,29
13:58,2116,Tanksley Efianayi missed Free Throw.,39,29
13:58,2116,UCF Deadball Team Rebound.,39,29
13:58,2116,Tanksley Efianayi made Free Throw.,39,30
13:36,2116,Foul on Tanksley Efianayi.,39,30
13:11,219,AJ Brodeur missed Layup.,39,30
13:11,2116,Tacko Fall Defensive Rebound.,39,30
12:59,2116,Matt Williams missed Jumper.,39,30
12:59,2116,Tacko Fall Offensive Rebound.,39,30
12:56,219,Foul on Matt Howard.,39,30
12:41,2116,Matt Williams missed Three Point Jumper.,39,30
12:41,2116,Tanksley Efianayi Offensive Rebound.,39,30
12:37,2116,Tanksley Efianayi made Layup.,39,32
12:21,219,Sam Jones made Three Point Jumper. Assisted by Matt MacDonald.,42,32
12:00,219,Foul on Sam Jones.,42,32
12:00,2116,Tanksley Efianayi made Free Throw.,42,33
12:00,2116,Tanksley Efianayi made Free Throw.,42,34
12:00,2116,Tanksley Efianayi made Free Throw.,42,35
11:47,2116,Foul on Tanksley Efianayi.,42,35
11:47,2116,Official TV Timeout,42,35
11:31,219,Matt Howard missed Jumper.,42,35
11:31,2116,Tacko Fall Defensive Rebound.,42,35
11:09,2116,Matt Williams made Layup.,42,37
10:43,219,Darnell Foreman missed Three Point Jumper.,42,37
10:43,2116,Tacko Fall Defensive Rebound.,42,37
10:33,2116,Matt Williams missed Jumper.,42,37
10:33,2116,Tanksley Efianayi Offensive Rebound.,42,37
10:30,2116,Tanksley Efianayi missed Layup.,42,37
10:30,2116,Tacko Fall Offensive Rebound.,42,37
10:28,2116,Tacko Fall made Layup.,42,39
10:18,219,Pennsylvania  Timeout,42,39
10:07,219,Caleb Wood missed Three Point Jumper.,42,39
10:07,219,AJ Brodeur Offensive Rebound.,42,39
9:42,219,Matt MacDonald made Three Point Jumper. Assisted by Matt Howard.,45,39
9:12,2116,Matt Williams missed Three Point Jumper.,45,39
9:12,219,AJ Brodeur Defensive Rebound.,45,39
8:43,219,AJ Brodeur made Layup.,47,39
8:24,2116,A.J. Davis made Three Point Jumper. Assisted by Nathan Laing.,47,42
7:55,219,Darnell Foreman missed Layup.,47,42
7:55,2116,Matt Williams Defensive Rebound.,47,42
7:41,2116,A.J. Davis missed Layup.,47,42
7:41,219,Darnell Foreman Defensive Rebound.,47,42
7:25,219,AJ Brodeur missed Jumper.,47,42
7:25,2116,Matt Williams Defensive Rebound.,47,42
7:14,2116,Nathan Laing made Layup.,47,44
6:58,2116,Foul on Nathan Laing.,47,44
6:58,2116,Official TV Timeout,47,44
6:54,219,Sam Jones missed Three Point Jumper.,47,44
6:54,2116,UCF Defensive Rebound.,47,44
6:39,2116,Nick Banyard Turnover.,47,44
6:33,219,Tyler Hamilton made Layup.,49,44
6:08,2116,Tanksley Efianayi missed Jumper.,49,44
6:08,219,Matt MacDonald Defensive Rebound.,49,44
5:44,219,Matt Howard missed Three Point Jumper.,49,44
5:44,219,Tyler Hamilton Offensive Rebound.,49,44
5:12,219,Darnell Foreman missed Jumper.,49,44
5:12,2116,Matt Williams Defensive Rebound.,49,44
4:52,2116,A.J. Davis missed Three Point Jumper.,49,44
4:52,219,Matt Howard Defensive Rebound.,49,44
4:31,219,AJ Brodeur missed Jumper.,49,44
4:31,2116,Nick Banyard Defensive Rebound.,49,44
4:16,2116,Tanksley Efianayi Turnover.,49,44
4:15,219,AJ Brodeur Steal.,49,44
4:14,2116,Foul on Matt Williams.,49,44
3:50,219,Matt MacDonald made Layup.,51,44
3:31,2116,Tanksley Efianayi missed Three Point Jumper.,51,44
3:31,219,Darnell Foreman Defensive Rebound.,51,44
2:59,219,Darnell Foreman missed Layup.,51,44
2:59,219,Pennsylvania Offensive Rebound.,51,44
2:58,2116,Official TV Timeout,51,44
2:28,219,Darnell Foreman missed Jumper.,51,44
2:28,2116,Tacko Fall Defensive Rebound.,51,44
2:15,2116,Matt Williams made Three Point Jumper. Assisted by Nathan Laing.,51,47
1:53,219,AJ Brodeur made Layup.,53,47
1:35,219,Foul on Matt MacDonald.,53,47
1:35,2116,Tacko Fall missed Free Throw.,53,47
1:35,219,AJ Brodeur Defensive Rebound.,53,47
1:28,2116,Foul on Nathan Laing.,53,47
1:11,219,AJ Brodeur made Layup.,55,47
0:55,219,Foul on Matt MacDonald.,55,47
0:55,2116,Tacko Fall made Free Throw.,55,48
0:55,2116,Tacko Fall missed Free Throw.,55,48
0:55,219,Matt Howard Defensive Rebound.,55,48
0:49,2116,Foul on Matt Williams.,55,48
0:49,219,Darnell Foreman missed Free Throw.,55,48
0:49,2116,Matt Williams Defensive Rebound.,55,48
0:41,2116,Matt Williams missed Three Point Jumper.,55,48
0:41,219,Matt MacDonald Defensive Rebound.,55,48
0:38,2116,Foul on Matt Williams.,55,48
0:38,219,Matt MacDonald missed Free Throw.,55,48
0:38,2116,A.J. Davis Defensive Rebound.,55,48
0:29,2116,Matt Williams missed Three Point Jumper.,55,48
0:29,219,Matt Howard Defensive Rebound.,55,48
0:28,2116,Foul on A.J. Davis.,55,48
0:28,219,Darnell Foreman made Free Throw.,56,48
0:28,219,Darnell Foreman made Free Throw.,57,48
0:28,219,Pennsylvania  Timeout,57,48
0:20,219,Foul on Tyler Hamilton.,57,48
0:20,2116,A.J. Davis missed Free Throw.,57,48
0:20,2116,UCF Deadball Team Rebound.,57,48
0:20,2116,A.J. Davis missed Free Throw.,57,48
0:20,2116,Nick Banyard Offensive Rebound.,57,48
0:18,2116,Nick Banyard missed Layup.,57,48
0:18,2116,Tanksley Efianayi Offensive Rebound.,57,48
0:15,2116,UCF  Timeout,57,48
0:13,2116,A.J. Davis missed Three Point Jumper.,57,48
0:13,2116,Nathan Laing Offensive Rebound.,57,48
0:08,2116,A.J. Davis missed Jumper.,57,48
0:08,219,Darnell Foreman Defensive Rebound.,57,48
0:06,2116,Foul on Nick Banyard.,57,48
0:06,219,Darnell Foreman made Free Throw.,58,48
0:06,219,Darnell Foreman missed Free Throw.,58,48
0:06,2116,Matt Williams Defensive Rebound.,58,48
0:01,219,Foul on Collin McManus.,58,48
0:01,2116,Matt Williams missed Free Throw.,58,48
0:01,2116,UCF Deadball Team Rebound.,58,48
0:01,2116,Matt Williams made Free Throw.,58,49
0:00,2116,End of Game,58,49
