Wagner,44,American,2681
11:03,2681,JoJo Cooper Turnover.,13,14
10:44,44,Mark Gasperini made Three Point Jumper. Assisted by Charlie Jones.,13,17
10:24,2681,Corey Henson made Layup.,15,17
10:07,44,Mark Gasperini made Three Point Jumper. Assisted by Delante Jones.,15,20
9:49,2681,AJ Sumbry missed Jumper.,15,20
9:49,44,Charlie Jones Defensive Rebound.,15,20
9:33,44,Mark Gasperini missed Three Point Jumper.,15,20
9:33,2681,Corey Henson Defensive Rebound.,15,20
9:11,2681,AJ Sumbry missed Jumper.,15,20
9:11,44,Mark Gasperini Defensive Rebound.,15,20
8:58,44,James Washington missed Layup.,15,20
8:58,2681,AJ Sumbry Block.,15,20
8:57,44,American Offensive Rebound.,15,20
8:40,2681,Foul on Blake Francis.,15,20
8:38,44,Sa'eed Nelson made Layup. Assisted by Delante Jones.,15,22
8:20,2681,Foul on Michael Carey.,15,22
8:20,2681,Michael Carey Turnover.,15,22
8:07,44,Delante Jones made Layup. Assisted by James Washington.,15,24
8:04,2681,Wagner  Timeout,15,24
8:04,44,Official TV Timeout,15,24
7:56,44,Foul on Sa'eed Nelson.,15,24
7:46,2681,Jamar Brown made Jumper. Assisted by Corey Henson.,17,24
7:22,44,Delante Jones Turnover.,17,24
7:21,2681,Michael Carey Steal.,17,24
7:18,44,Foul on Delante Jones.,17,24
7:18,2681,Michael Carey made Free Throw.,18,24
7:18,2681,Michael Carey made Free Throw.,19,24
7:08,44,James Washington missed Three Point Jumper.,19,24
7:08,44,Charlie Jones Offensive Rebound.,19,24
7:00,44,Sa'eed Nelson missed Three Point Jumper.,19,24
7:00,2681,JoJo Cooper Defensive Rebound.,19,24
6:58,44,Foul on Leon Tolksdorf.,19,24
6:58,2681,JoJo Cooper missed Free Throw.,19,24
6:58,44,James Washington Defensive Rebound.,19,24
6:38,44,Leon Tolksdorf missed Three Point Jumper.,19,24
6:38,2681,JoJo Cooper Defensive Rebound.,19,24
6:31,2681,Michael Carey missed Layup.,19,24
6:31,2681,Jamar Brown Offensive Rebound.,19,24
6:27,2681,Jamar Brown Turnover.,19,24
6:05,44,Leon Tolksdorf Turnover.,19,24
6:04,2681,Jamar Brown Steal.,19,24
5:59,2681,Connor Ferrell missed Layup.,19,24
5:59,44,Leon Tolksdorf Defensive Rebound.,19,24
5:58,44,Leon Tolksdorf Turnover.,19,24
5:40,2681,Jamar Brown missed Layup.,19,24
5:40,44,James Washington Defensive Rebound.,19,24
5:26,44,Sa'eed Nelson made Jumper.,19,26
5:02,2681,Michael Carey made Jumper.,21,26
4:45,44,James Washington made Three Point Jumper. Assisted by Lonnie Rivera.,21,29
4:21,2681,Corey Henson missed Three Point Jumper.,21,29
4:21,2681,Jamar Brown Offensive Rebound.,21,29
4:01,2681,Michael Carey made Jumper.,23,29
3:43,44,James Washington missed Three Point Jumper.,23,29
3:43,2681,Michael Carey Defensive Rebound.,23,29
3:35,44,Foul on James Washington.,23,29
3:35,44,Official TV Timeout,23,29
3:35,2681,JoJo Cooper made Free Throw.,24,29
3:35,2681,JoJo Cooper made Free Throw.,25,29
3:16,44,Jalen Rhea missed Three Point Jumper.,25,29
3:16,2681,Devin Liggeons Defensive Rebound.,25,29
3:07,2681,JoJo Cooper Turnover.,25,29
2:47,44,James Washington missed Three Point Jumper.,25,29
2:45,2681,Wagner Defensive Rebound.,25,29
2:29,2681,Devin Liggeons missed Layup.,25,29
2:29,44,Sa'eed Nelson Defensive Rebound.,25,29
2:21,44,Sa'eed Nelson Turnover.,25,29
2:04,2681,Connor Ferrell made Three Point Jumper. Assisted by JoJo Cooper.,28,29
1:47,44,Mark Gasperini made Layup. Assisted by Sa'eed Nelson.,28,31
1:47,2681,Foul on JoJo Cooper.,28,31
1:47,44,Mark Gasperini missed Free Throw.,28,31
1:47,2681,AJ Sumbry Defensive Rebound.,28,31
1:21,2681,JoJo Cooper made Jumper.,30,31
1:00,44,Sa'eed Nelson Turnover.,30,31
0:59,2681,JoJo Cooper Steal.,30,31
0:56,2681,JoJo Cooper missed Layup.,30,31
0:56,44,Jalen Rhea Block.,30,31
0:53,2681,AJ Sumbry Offensive Rebound.,30,31
0:49,2681,AJ Sumbry made Two Point Tip Shot.,32,31
0:35,44,Lonnie Rivera missed Jumper.,32,31
0:35,2681,JoJo Cooper Defensive Rebound.,32,31
0:04,2681,Corey Henson made Jumper. Assisted by JoJo Cooper.,34,31
0:00,44,End of 1st half,35,31
19:40,44,James Washington made Layup. Assisted by Leon Tolksdorf.,34,33
19:26,44,Foul on Delante Jones.,34,33
19:26,2681,Michael Carey made Free Throw.,35,33
19:26,2681,Michael Carey missed Free Throw.,35,33
19:26,44,James Washington Defensive Rebound.,35,33
19:02,44,Leon Tolksdorf Offensive Rebound.,35,33
19:02,44,Delante Jones missed Layup.,35,33
18:59,2681,Foul on Blake Francis.,35,33
18:54,44,Sa'eed Nelson made Layup.,35,35
18:54,2681,Foul on JoJo Cooper.,35,35
18:54,44,Sa'eed Nelson made Free Throw.,35,36
18:26,2681,AJ Sumbry made Layup. Assisted by Corey Henson.,37,36
18:11,44,Delante Jones made Three Point Jumper. Assisted by Sa'eed Nelson.,37,39
17:40,2681,Corey Henson made Three Point Jumper. Assisted by Devin Liggeons.,40,39
17:23,44,Sa'eed Nelson missed Three Point Jumper.,40,39
17:23,2681,JoJo Cooper Defensive Rebound.,40,39
17:14,44,Foul on James Washington.,40,39
17:14,2681,Michael Carey made Free Throw.,41,39
17:14,2681,Michael Carey made Free Throw.,42,39
17:00,44,Delante Jones missed Three Point Jumper.,42,39
17:00,2681,AJ Sumbry Defensive Rebound.,42,39
16:54,2681,Corey Henson missed Three Point Jumper.,42,39
16:54,44,Mark Gasperini Defensive Rebound.,42,39
16:44,44,James Washington Turnover.,42,39
16:43,2681,Corey Henson Steal.,42,39
16:28,2681,Michael Carey made Layup. Assisted by AJ Sumbry.,44,39
16:08,44,James Washington missed Three Point Jumper.,44,39
16:08,44,Delante Jones Offensive Rebound.,44,39
16:02,44,Delante Jones missed Jumper.,44,39
16:02,2681,AJ Sumbry Block.,44,39
16:01,2681,JoJo Cooper Defensive Rebound.,44,39
15:57,2681,JoJo Cooper missed Layup.,44,39
15:57,2681,AJ Sumbry Offensive Rebound.,44,39
15:55,2681,AJ Sumbry missed Two Point Tip Shot.,44,39
15:54,2681,Wagner Offensive Rebound.,44,39
15:54,44,Official TV Timeout,44,39
15:50,2681,Michael Carey made Dunk.,46,39
15:20,44,Sa'eed Nelson missed Jumper.,46,39
15:20,2681,Mike Aaman Block.,46,39
15:18,44,Sa'eed Nelson Offensive Rebound.,46,39
15:16,44,Sa'eed Nelson missed Jumper.,46,39
15:16,44,Mark Gasperini Offensive Rebound.,46,39
15:12,44,Mark Gasperini missed Jumper.,46,39
15:12,2681,Michael Carey Defensive Rebound.,46,39
14:53,2681,Devin Liggeons missed Three Point Jumper.,46,39
14:53,44,Sa'eed Nelson Defensive Rebound.,46,39
14:46,44,Delante Jones missed Layup.,46,39
14:46,44,Mark Gasperini Offensive Rebound.,46,39
14:39,44,Mark Gasperini missed Two Point Tip Shot.,46,39
14:39,2681,Mike Aaman Defensive Rebound.,46,39
14:14,2681,Corey Henson made Jumper.,48,39
13:47,44,Sa'eed Nelson missed Three Point Jumper.,48,39
13:47,2681,JoJo Cooper Defensive Rebound.,48,39
13:26,2681,Mike Aaman missed Layup.,48,39
13:26,44,Mark Gasperini Defensive Rebound.,48,39
13:10,44,Delante Jones Turnover.,48,39
12:51,2681,Foul on AJ Sumbry.,48,39
12:51,2681,AJ Sumbry Turnover.,48,39
12:40,2681,Foul on JoJo Cooper.,48,39
12:40,44,Sa'eed Nelson made Free Throw.,48,40
12:40,44,Sa'eed Nelson made Free Throw.,48,41
12:24,2681,AJ Sumbry Turnover.,48,41
12:23,44,Sa'eed Nelson Steal.,48,41
12:20,44,Sa'eed Nelson made Layup.,48,43
12:20,2681,Foul on Corey Henson.,48,43
12:20,44,Sa'eed Nelson made Free Throw.,48,44
12:08,2681,Blake Francis missed Layup.,48,44
12:08,44,Leon Tolksdorf Defensive Rebound.,48,44
11:49,44,Sa'eed Nelson Turnover.,48,44
11:48,2681,Corey Henson Steal.,48,44
11:25,2681,Michael Carey made Jumper. Assisted by Mike Aaman.,50,44
11:07,44,Sa'eed Nelson made Three Point Jumper. Assisted by Mark Gasperini.,50,47
10:35,2681,Mike Aaman made Layup. Assisted by Corey Henson.,52,47
10:35,44,Foul on Mark Gasperini.,52,47
10:35,44,Official TV Timeout,52,47
10:35,2681,Mike Aaman made Free Throw.,53,47
10:19,44,Delante Jones missed Jumper.,53,47
10:16,44,American Offensive Rebound.,53,47
9:57,44,Leon Tolksdorf made Three Point Jumper. Assisted by Matt Cimino.,53,50
9:28,2681,Michael Carey missed Jumper.,53,50
9:28,44,Charlie Jones Defensive Rebound.,53,50
9:18,44,Delante Jones missed Three Point Jumper.,53,50
9:17,2681,Connor Ferrell Defensive Rebound.,53,50
9:16,44,Foul on Leon Tolksdorf.,53,50
8:50,2681,Mike Aaman made Layup. Assisted by JoJo Cooper.,55,50
8:30,44,Delante Jones missed Three Point Jumper.,55,50
8:28,2681,Mike Aaman Defensive Rebound.,55,50
8:27,44,Foul on Matt Cimino.,55,50
8:05,2681,Mike Aaman missed Jumper.,55,50
8:03,44,American Defensive Rebound.,55,50
7:46,44,Leon Tolksdorf made Three Point Jumper. Assisted by Mark Gasperini.,55,53
7:20,44,Foul on Mark Gasperini.,55,53
7:20,44,Official TV Timeout,55,53
7:20,2681,Corey Henson made Free Throw.,56,53
7:20,2681,Corey Henson missed Free Throw.,56,53
7:18,44,American Defensive Rebound.,56,53
6:58,44,Delante Jones Turnover.,56,53
6:56,2681,Mike Aaman Steal.,56,53
6:53,2681,Michael Carey made Jumper.,58,53
6:36,2681,Foul on Michael Carey.,58,53
6:36,44,Delante Jones missed Free Throw.,58,53
6:36,44,American Deadball Team Rebound.,58,53
6:36,44,Delante Jones missed Free Throw.,58,53
6:36,2681,JoJo Cooper Defensive Rebound.,58,53
6:21,2681,Foul on Corey Henson.,58,53
6:21,2681,Corey Henson Turnover.,58,53
6:03,44,Sa'eed Nelson missed Three Point Jumper.,58,53
6:01,2681,Mike Aaman Defensive Rebound.,58,53
5:43,2681,Mike Aaman made Layup. Assisted by Michael Carey.,60,53
5:13,44,Delante Jones missed Layup.,60,53
5:13,44,Delante Jones Offensive Rebound.,60,53
5:11,44,Delante Jones missed Jumper.,60,53
5:11,2681,Mike Aaman Block.,60,53
5:10,2681,JoJo Cooper Defensive Rebound.,60,53
5:06,2681,Michael Carey made Dunk.,62,53
4:54,44,American  Timeout,62,53
4:54,44,Official TV Timeout,62,53
4:35,44,Mark Gasperini made Jumper. Assisted by Charlie Jones.,62,55
4:06,2681,Corey Henson made Layup.,64,55
3:47,44,Foul on Charlie Jones.,64,55
3:47,44,Charlie Jones Turnover.,64,55
3:47,44,Official TV Timeout,64,55
3:26,2681,Michael Carey missed Jumper.,64,55
3:26,2681,Mike Aaman Offensive Rebound.,64,55
3:19,2681,JoJo Cooper Turnover.,64,55
3:17,44,Charlie Jones Steal.,64,55
3:13,44,James Washington missed Three Point Jumper.,64,55
3:13,2681,JoJo Cooper Defensive Rebound.,64,55
2:42,2681,JoJo Cooper made Jumper.,66,55
2:30,2681,Foul on Michael Carey.,66,55
2:30,44,Sa'eed Nelson made Free Throw.,66,56
2:30,44,American  Timeout,66,56
2:30,44,Sa'eed Nelson made Free Throw.,66,57
2:12,44,Foul on Delante Jones.,66,57
2:12,2681,JoJo Cooper made Free Throw.,67,57
2:12,2681,JoJo Cooper made Free Throw.,68,57
2:01,44,Delante Jones missed Jumper.,68,57
2:01,2681,Michael Carey Defensive Rebound.,68,57
1:31,2681,JoJo Cooper missed Jumper.,68,57
1:31,2681,Mike Aaman Offensive Rebound.,68,57
1:30,2681,Mike Aaman Offensive Rebound.,68,57
1:29,2681,Wagner  Turnover.,68,57
1:17,2681,Foul on Mike Aaman.,68,57
1:17,44,Sa'eed Nelson made Free Throw.,68,58
1:17,44,Sa'eed Nelson made Free Throw.,68,59
1:05,44,Foul on Alex Paquin.,68,59
1:02,44,James Washington missed Jumper.,68,59
1:01,2681,Michael Carey Defensive Rebound.,68,59
0:59,44,Foul on James Washington.,68,59
0:58,44,Foul on James Washington.,68,59
0:58,2681,Michael Carey made Free Throw.,69,59
0:58,2681,Michael Carey missed Free Throw.,69,59
0:57,44,Delante Jones Defensive Rebound.,69,59
0:56,2681,Devin Liggeons missed Free Throw.,69,59
0:56,44,Sa'eed Nelson Defensive Rebound.,69,59
0:50,44,Charlie Jones missed Three Point Jumper.,69,59
0:50,2681,Mike Aaman Defensive Rebound.,69,59
0:40,44,Foul on Charlie Jones.,69,59
0:40,2681,Corey Henson missed Free Throw.,69,59
0:40,2681,Wagner Deadball Team Rebound.,69,59
0:40,2681,Corey Henson made Free Throw.,70,59
0:32,44,Delante Jones missed Three Point Jumper.,70,59
0:28,44,American Offensive Rebound.,70,59
0:26,44,Mark Gasperini made Layup.,70,61
0:26,2681,Foul on Mike Aaman.,70,61
0:26,44,Mark Gasperini made Free Throw.,70,62
0:19,44,Foul on Charlie Jones.,70,62
0:19,2681,Corey Henson made Free Throw.,71,62
0:19,2681,Corey Henson made Free Throw.,72,62
0:10,44,Mark Gasperini made Layup.,72,64
0:10,2681,Foul on AJ Sumbry.,72,64
0:10,44,Mark Gasperini missed Free Throw.,72,64
0:10,2681,JoJo Cooper Defensive Rebound.,72,64
0:08,44,Foul on Sa'eed Nelson.,72,64
0:08,2681,JoJo Cooper missed Free Throw.,72,64
0:08,2681,Wagner Deadball Team Rebound.,72,64
0:08,2681,JoJo Cooper made Free Throw.,73,64
0:05,2681,Foul on JoJo Cooper.,73,64
0:05,44,Delante Jones missed Free Throw.,73,64
0:05,44,American Deadball Team Rebound.,73,64
0:05,44,Delante Jones made Free Throw.,73,65
0:00,44,End of Game,73,65
