Yale,221,Pittsburgh,43
18:33,43,Miye Oni missed Three Point Jumper.,34,36
18:33,221,Jamel Artis Defensive Rebound.,34,36
18:30,43,Foul on Anthony Dallier.,34,36
18:15,221,Jamel Artis missed Three Point Jumper.,34,36
18:15,43,Miye Oni Defensive Rebound.,34,36
17:57,43,Sam Downey missed Jumper.,34,36
17:57,221,Sheldon Jeter Defensive Rebound.,34,36
17:50,221,Jamel Artis made Layup. Assisted by Michael Young.,34,38
17:48,43,Foul on Trey Phills.,34,38
17:48,221,Jamel Artis made Free Throw.,34,39
17:29,43,Blake Reynolds made Three Point Jumper. Assisted by Alex Copeland.,37,39
17:10,221,Michael Young made Jumper.,37,41
17:10,43,Foul on Sam Downey.,37,41
17:10,221,Michael Young made Free Throw.,37,42
17:00,43,Miye Oni missed Three Point Jumper.,37,42
17:00,221,Jamel Artis Defensive Rebound.,37,42
16:49,221,Sheldon Jeter missed Jumper.,37,42
16:49,43,Miye Oni Defensive Rebound.,37,42
16:17,43,Alex Copeland missed Three Point Jumper.,37,42
16:17,221,Chris Jones Defensive Rebound.,37,42
15:55,221,Chris Jones made Layup.,37,44
15:38,43,Trey Phills missed Jumper.,37,44
15:38,43,Yale Offensive Rebound.,37,44
15:34,221,Official TV Timeout,37,44
15:31,221,Foul on Michael Young.,37,44
15:31,43,Sam Downey made Free Throw.,38,44
15:31,43,Sam Downey missed Free Throw.,38,44
15:31,43,Blake Reynolds Offensive Rebound.,38,44
15:18,221,Foul on Cameron Johnson.,38,44
15:00,43,Sam Downey Turnover.,38,44
14:50,221,Michael Young missed Jumper.,38,44
14:50,43,Miye Oni Defensive Rebound.,38,44
14:43,43,Alex Copeland missed Layup.,38,44
14:43,221,Michael Young Block.,38,44
14:41,221,Jonathan Milligan Defensive Rebound.,38,44
14:28,221,Jamel Artis missed Jumper.,38,44
14:28,221,Jamel Artis Offensive Rebound.,38,44
14:24,221,Jamel Artis made Two Point Tip Shot.,38,46
14:10,43,Blake Reynolds missed Jumper.,38,46
14:10,221,Michael Young Defensive Rebound.,38,46
13:58,221,Chris Jones missed Layup.,38,46
13:58,43,Blake Reynolds Defensive Rebound.,38,46
13:35,43,Alex Copeland missed Three Point Jumper.,38,46
13:35,221,Jamel Artis Defensive Rebound.,38,46
13:33,43,Foul on Trey Phills.,38,46
13:21,221,Jonathan Milligan made Three Point Jumper. Assisted by Ryan Luther.,38,49
13:02,221,Foul on Chris Jones.,38,49
13:02,43,Miye Oni made Free Throw.,39,49
13:02,43,Miye Oni made Free Throw.,40,49
12:39,221,Jonathan Milligan missed Jumper.,40,49
12:39,221,Sheldon Jeter Offensive Rebound.,40,49
12:37,43,Foul on Austin Williams.,40,49
12:37,221,Sheldon Jeter missed Free Throw.,40,49
12:37,221,Pittsburgh Deadball Team Rebound.,40,49
12:37,221,Sheldon Jeter missed Free Throw.,40,49
12:37,43,Miye Oni Defensive Rebound.,40,49
12:20,43,Miye Oni missed Jumper.,40,49
12:20,221,Chris Jones Defensive Rebound.,40,49
12:10,221,Sheldon Jeter Turnover.,40,49
11:39,43,Yale  Turnover.,40,49
11:39,221,Official TV Timeout,40,49
11:20,43,Foul on Alex Copeland.,40,49
11:20,221,Michael Young made Free Throw.,40,50
11:20,221,Michael Young made Free Throw.,40,51
10:54,43,Sam Downey missed Jumper.,40,51
10:54,43,Anthony Dallier Offensive Rebound.,40,51
10:41,43,Miye Oni missed Jumper.,40,51
10:41,221,Ryan Luther Defensive Rebound.,40,51
10:14,221,Justice Kithcart missed Three Point Jumper.,40,51
10:14,43,Eric Anderson Defensive Rebound.,40,51
9:50,43,Alex Copeland missed Layup.,40,51
9:50,221,Michael Young Block.,40,51
9:48,43,Blake Reynolds Offensive Rebound.,40,51
9:44,43,Anthony Dallier missed Three Point Jumper.,40,51
9:44,43,Sam Downey Offensive Rebound.,40,51
9:41,43,Sam Downey made Layup.,42,51
9:28,221,Chris Jones missed Three Point Jumper.,42,51
9:28,43,Anthony Dallier Defensive Rebound.,42,51
9:16,43,Blake Reynolds missed Layup.,42,51
9:16,221,Chris Jones Defensive Rebound.,42,51
9:07,221,Ryan Luther made Layup. Assisted by Justice Kithcart.,42,53
8:39,43,Sam Downey made Layup. Assisted by Anthony Dallier.,44,53
8:18,221,Michael Young made Layup. Assisted by Justice Kithcart.,44,55
7:52,43,Eric Anderson missed Layup.,44,55
7:52,221,Ryan Luther Block.,44,55
7:50,221,Chris Jones Defensive Rebound.,44,55
7:43,221,Ryan Luther missed Three Point Jumper.,44,55
7:43,43,Alex Copeland Defensive Rebound.,44,55
7:20,43,Anthony Dallier made Three Point Jumper. Assisted by Blake Reynolds.,47,55
6:55,221,Ryan Luther missed Layup.,47,55
6:55,43,Anthony Dallier Block.,47,55
6:55,221,Pittsburgh Offensive Rebound.,47,55
6:55,221,Official TV Timeout,47,55
6:46,221,Jamel Artis made Jumper.,47,57
6:29,43,Blake Reynolds made Three Point Jumper. Assisted by Anthony Dallier.,50,57
6:00,221,Jamel Artis missed Three Point Jumper.,50,57
6:00,43,Eric Anderson Defensive Rebound.,50,57
5:48,43,Blake Reynolds made Three Point Jumper. Assisted by Alex Copeland.,53,57
5:23,221,Cameron Johnson made Three Point Jumper. Assisted by Jamel Artis.,53,60
5:08,43,Sam Downey made Layup.,55,60
4:48,221,Cameron Johnson made Three Point Jumper. Assisted by Chris Jones.,55,63
4:33,43,Eric Anderson missed Jumper.,55,63
4:33,43,Blake Reynolds Offensive Rebound.,55,63
4:29,43,Blake Reynolds made Two Point Tip Shot.,57,63
4:16,221,Cameron Johnson made Three Point Jumper. Assisted by Jamel Artis.,57,66
3:51,221,Foul on Jamel Artis.,57,66
3:51,221,Official TV Timeout,57,66
3:50,43,Trey Phills made Layup.,59,66
3:14,43,Foul on Blake Reynolds.,59,66
3:14,221,Michael Young made Free Throw.,59,67
3:14,221,Michael Young made Free Throw.,59,68
3:02,43,Anthony Dallier missed Layup.,59,68
3:02,221,Michael Young Block.,59,68
3:02,43,Yale Offensive Rebound.,59,68
2:51,43,Trey Phills Turnover.,59,68
2:50,221,Jamel Artis Steal.,59,68
2:29,221,Jamel Artis missed Jumper.,59,68
2:29,43,Sam Downey Defensive Rebound.,59,68
2:02,43,Miye Oni missed Three Point Jumper.,59,68
2:02,221,Ryan Luther Defensive Rebound.,59,68
1:50,221,Jamel Artis missed Layup.,59,68
1:50,43,Miye Oni Defensive Rebound.,59,68
1:43,43,Alex Copeland made Three Point Jumper. Assisted by Miye Oni.,62,68
1:41,43,Yale  Timeout,62,68
1:38,43,Foul on Sam Downey.,62,68
1:38,221,Ryan Luther made Free Throw.,62,69
1:38,221,Ryan Luther made Free Throw.,62,70
1:30,43,Alex Copeland made Layup.,64,70
1:30,221,Foul on Jamel Artis.,64,70
1:30,43,Alex Copeland made Free Throw.,65,70
1:27,43,Foul on Anthony Dallier.,65,70
1:27,221,Chris Jones missed Free Throw.,65,70
1:27,221,Pittsburgh Deadball Team Rebound.,65,70
1:27,221,Chris Jones made Free Throw.,65,71
1:11,43,Miye Oni missed Three Point Jumper.,65,71
1:11,221,Jamel Artis Defensive Rebound.,65,71
1:03,221,Cameron Johnson Turnover.,65,71
0:54,43,Sam Downey missed Layup.,65,71
0:54,221,Michael Young Block.,65,71
0:52,43,Blake Reynolds Offensive Rebound.,65,71
0:51,43,Yale  Timeout,65,71
0:49,43,Blake Reynolds made Three Point Jumper. Assisted by Anthony Dallier.,68,71
0:48,43,Foul on Anthony Dallier.,68,71
0:48,221,Jamel Artis made Free Throw.,68,72
0:48,221,Jamel Artis made Free Throw.,68,73
0:48,221,Pittsburgh  Timeout,68,73
0:34,221,Foul on Jamel Artis.,68,73
0:23,43,Sam Downey made Layup. Assisted by Trey Phills.,70,73
0:13,43,Foul on Miye Oni.,70,73
0:13,221,Jamel Artis missed Free Throw.,70,73
0:13,221,Pittsburgh Deadball Team Rebound.,70,73
0:13,221,Jamel Artis made Free Throw.,70,74
0:04,43,Trey Phills missed Three Point Jumper.,70,74
0:04,221,Cameron Johnson Defensive Rebound.,70,74
0:02,43,Foul on Miye Oni.,70,74
0:02,221,Cameron Johnson missed Free Throw.,70,74
0:02,221,Pittsburgh Deadball Team Rebound.,70,74
0:02,221,Cameron Johnson made Free Throw.,70,75
0:01,43,Alex Copeland missed Three Point Jumper.,70,75
0:01,43,Yale Deadball Team Rebound.,70,75
0:00,221,End of Game,70,75
