Little Rock,2492,Pepperdine,2031
17:08,2031,Maurius Hill made Free Throw.,39,34
17:08,2031,Maurius Hill missed Free Throw.,39,34
17:08,2492,Nate Gehring Defensive Rebound.,39,34
16:52,2492,Jeremy Major missed Jumper.,39,34
16:52,2031,Marcus Johnson Jr. Defensive Rebound.,39,34
16:37,2031,Lis Shoshi made Layup.,41,34
16:23,2492,Jeremy Major made Layup. Assisted by Chris Reyes.,41,36
16:00,2031,Jalen Jackson made Layup.,43,36
15:40,2492,Chris Reyes made Jumper.,43,38
15:23,2492,Foul on Lamond Murray Jr..,43,38
15:23,2492,Official TV Timeout,43,38
15:17,2031,Jalen Jackson Turnover.,43,38
15:08,2492,Chris Reyes made Jumper.,43,40
14:35,2031,Jalen Jackson missed Jumper.,43,40
14:35,2492,Chris Reyes Defensive Rebound.,43,40
14:29,2031,Foul on Oliver Black.,43,40
14:29,2492,Pepperdine  Timeout,43,40
14:19,2492,Amadi Udenyi made Three Point Jumper. Assisted by Lamond Murray Jr..,43,43
13:47,2031,Marcus Johnson Jr. missed Three Point Jumper.,43,43
13:47,2492,Jeremy Major Defensive Rebound.,43,43
13:42,2031,Foul on Oliver Black.,43,43
13:29,2492,Chris Reyes made Jumper.,43,45
13:16,2031,Lis Shoshi made Layup. Assisted by Maurius Hill.,45,45
12:53,2492,Craig LeCesne made Layup. Assisted by Lamond Murray Jr..,45,47
12:40,2031,Lis Shoshi made Jumper.,47,47
12:16,2492,Craig LeCesne missed Layup.,47,47
12:16,2031,Marcus Johnson Jr. Defensive Rebound.,47,47
11:55,2031,Maurius Hill Turnover.,47,47
11:54,2492,Amadi Udenyi Steal.,47,47
11:50,2492,Jeremy Major missed Layup.,47,47
11:50,2031,Maurius Hill Block.,47,47
11:49,2492,Pepperdine Offensive Rebound.,47,47
11:49,2492,Official TV Timeout,47,47
11:28,2492,Lamond Murray Jr. made Layup.,47,49
11:14,2031,Deondre Burns Turnover.,47,49
11:14,2492,Jeremy Major Steal.,47,49
11:10,2492,Jeremy Major made Layup.,47,51
11:10,2031,Foul on Deondre Burns.,47,51
11:10,2492,Pepperdine  Timeout,47,51
11:10,2492,Jeremy Major missed Free Throw.,47,51
11:10,2031,Ben Marcus Defensive Rebound.,47,51
10:49,2031,Jalen Jackson missed Jumper.,47,51
10:49,2031,Ben Marcus Offensive Rebound.,47,51
10:46,2031,Ben Marcus missed Two Point Tip Shot.,47,51
10:46,2492,Chris Reyes Defensive Rebound.,47,51
10:35,2031,Foul on Andre Jones.,47,51
10:21,2492,Chris Reyes Turnover.,47,51
10:21,2031,Ben Marcus Steal.,47,51
10:11,2031,Andre Jones missed Three Point Jumper.,47,51
10:11,2492,Lamond Murray Jr. Defensive Rebound.,47,51
9:58,2492,Craig LeCesne missed Jumper.,47,51
9:58,2492,Craig LeCesne Offensive Rebound.,47,51
9:55,2492,Craig LeCesne made Layup.,47,53
9:35,2031,Kemy Osse missed Three Point Jumper.,47,53
9:35,2031,Andre Jones Offensive Rebound.,47,53
9:24,2031,Jalen Jackson Turnover.,47,53
8:56,2492,Lamond Murray Jr. missed Jumper.,47,53
8:56,2031,Ben Marcus Defensive Rebound.,47,53
8:46,2492,Foul on Nate Gehring.,47,53
8:46,2031,Marcus Johnson Jr. made Free Throw.,48,53
8:46,2031,Marcus Johnson Jr. missed Free Throw.,48,53
8:46,2492,Nate Gehring Defensive Rebound.,48,53
8:26,2492,Nate Gehring made Dunk. Assisted by Craig LeCesne.,48,55
8:05,2031,Lis Shoshi made Jumper.,50,55
7:42,2492,Craig LeCesne Turnover.,50,55
7:41,2031,Marcus Johnson Jr. Steal.,50,55
7:39,2492,Foul on Elijah Lee.,50,55
7:39,2492,Official TV Timeout,50,55
7:32,2031,Jalen Jackson missed Jumper.,50,55
7:32,2031,Ben Marcus Offensive Rebound.,50,55
7:27,2031,Ben Marcus made Layup.,52,55
7:14,2492,Chris Reyes made Layup.,52,57
7:14,2031,Foul on Jalen Jackson.,52,57
7:14,2492,Chris Reyes missed Free Throw.,52,57
7:14,2031,Lis Shoshi Defensive Rebound.,52,57
7:01,2031,Jalen Jackson missed Layup.,52,57
7:01,2031,Lis Shoshi Offensive Rebound.,52,57
6:57,2031,Lis Shoshi made Dunk.,54,57
6:32,2492,Amadi Udenyi missed Jumper.,54,57
6:32,2031,Jalen Jackson Defensive Rebound.,54,57
6:20,2031,Marcus Johnson Jr. missed Jumper.,54,57
6:20,2492,Pepperdine Defensive Rebound.,54,57
6:02,2492,Chris Reyes Turnover.,54,57
5:37,2031,Jalen Jackson missed Layup.,54,57
5:37,2492,Chris Reyes Block.,54,57
5:36,2031,Jalen Jackson Offensive Rebound.,54,57
5:34,2031,Jalen Jackson made Layup.,56,57
5:11,2492,Lamond Murray Jr. missed Jumper.,56,57
5:11,2031,Maurius Hill Defensive Rebound.,56,57
5:01,2031,Maurius Hill missed Layup.,56,57
5:01,2492,Chris Reyes Defensive Rebound.,56,57
4:46,2492,Lamond Murray Jr. made Layup.,56,59
4:30,2031,Marcus Johnson Jr. missed Three Point Jumper.,56,59
4:30,2492,Pepperdine Deadball Team Rebound.,56,59
4:14,2492,Jeremy Major made Layup.,56,61
3:45,2031,Maurius Hill missed Jumper.,56,61
3:45,2031,Kemy Osse Offensive Rebound.,56,61
3:36,2031,Kemy Osse made Jumper.,58,61
3:28,2492,Jeremy Major Turnover.,58,61
3:28,2492,Official TV Timeout,58,61
3:19,2031,Jalen Jackson missed Jumper.,58,61
3:19,2492,Nate Gehring Defensive Rebound.,58,61
3:17,2031,Foul on Lis Shoshi.,58,61
2:53,2492,Lamond Murray Jr. missed Layup.,58,61
2:53,2492,Nate Gehring Offensive Rebound.,58,61
2:48,2492,Nate Gehring made Two Point Tip Shot.,58,63
2:34,2031,Lis Shoshi missed Layup.,58,63
2:34,2031,Maurius Hill Offensive Rebound.,58,63
2:30,2031,Jalen Jackson made Three Point Jumper. Assisted by Maurius Hill.,61,63
2:12,2492,Knox Hellums Turnover.,61,63
2:11,2031,Jalen Jackson Steal.,61,63
1:49,2031,Kemy Osse missed Layup.,61,63
1:49,2031,Lis Shoshi Offensive Rebound.,61,63
1:46,2031,Lis Shoshi made Two Point Tip Shot.,63,63
1:26,2492,Jeremy Major missed Three Point Jumper.,63,63
1:26,2492,Chris Reyes Offensive Rebound.,63,63
1:21,2492,Amadi Udenyi made Three Point Jumper. Assisted by Chris Reyes.,63,66
1:18,2492,Pepperdine  Timeout,63,66
0:58,2031,Marcus Johnson Jr. missed Layup.,63,66
0:58,2031,Kemy Osse Offensive Rebound.,63,66
0:51,2492,Foul on Lamond Murray Jr..,63,66
0:46,2031,Lis Shoshi made Layup. Assisted by Maurius Hill.,65,66
0:21,2031,Foul on Kemy Osse.,65,66
0:21,2031,Little Rock  Timeout,65,66
0:21,2492,Jeremy Major missed Free Throw.,65,66
0:21,2031,Kemy Osse Defensive Rebound.,65,66
0:16,2031,Little Rock  Timeout,65,66
0:08,2031,Jalen Jackson missed Jumper.,65,66
0:08,2031,Maurius Hill Offensive Rebound.,65,66
0:04,2031,Maurius Hill missed Two Point Tip Shot.,65,66
0:04,2031,Little Rock Offensive Rebound.,65,66
0:02,2031,Kemy Osse missed Three Point Jumper.,65,66
0:02,2031,Little Rock Deadball Team Rebound.,65,66
0:00,2492,End of Game,65,66
