Wyoming,279,Pacific,2751
11:24,279,D.J. Ursery made Three Point Jumper. Assisted by Jack Williams.,15,11
11:04,2751,Hayden Dalton missed Three Point Jumper.,15,11
11:04,279,Keshon Montague Defensive Rebound.,15,11
10:57,2751,Foul on Andrew Moemeka.,15,11
10:57,279,Official TV Timeout,15,11
10:57,279,D.J. Ursery missed Free Throw.,15,11
10:57,279,Pacific Deadball Team Rebound.,15,11
10:57,279,D.J. Ursery missed Free Throw.,15,11
10:57,2751,Hayden Dalton Defensive Rebound.,15,11
10:57,279,Foul on Anthony Townes.,15,11
10:57,2751,Hayden Dalton missed Free Throw.,15,11
10:57,279,Anthony Townes Defensive Rebound.,15,11
10:49,279,Keshon Montague Turnover.,15,11
10:48,2751,Andrew Moemeka Steal.,15,11
10:43,2751,Cody Kelley missed Three Point Jumper.,15,11
10:43,279,Anthony Townes Defensive Rebound.,15,11
10:27,279,Keshon Montague missed Three Point Jumper.,15,11
10:27,2751,Andrew Moemeka Defensive Rebound.,15,11
10:17,2751,Justin James made Layup. Assisted by Alexander Aka Gorski.,17,11
9:50,279,D.J. Ursery missed Jumper.,17,11
9:50,2751,Andrew Moemeka Defensive Rebound.,17,11
9:44,2751,Justin James missed Three Point Jumper.,17,11
9:44,2751,Hayden Dalton Offensive Rebound.,17,11
9:40,2751,Hayden Dalton made Two Point Tip Shot.,19,11
9:30,2751,Foul on Justin James.,19,11
9:26,2751,Foul on Hayden Dalton.,19,11
9:26,279,Jack Williams missed Free Throw.,19,11
9:26,279,Pacific Deadball Team Rebound.,19,11
9:26,279,Jack Williams made Free Throw.,19,12
9:21,2751,Foul on Hayden Dalton.,19,12
9:21,2751,Hayden Dalton Turnover.,19,12
9:12,2751,Foul on Jordan Naughton.,19,12
9:12,279,Anthony Townes missed Free Throw.,19,12
9:12,279,Pacific Deadball Team Rebound.,19,12
9:12,279,Anthony Townes missed Free Throw.,19,12
9:12,2751,Wyoming Deadball Team Rebound.,19,12
8:50,2751,Cody Kelley Turnover.,19,12
8:49,279,T.J. Wallace Steal.,19,12
8:47,279,Ray Bowles made Layup. Assisted by T.J. Wallace.,19,14
8:47,2751,Foul on Cody Kelley.,19,14
8:47,279,Ray Bowles made Free Throw.,19,15
8:35,2751,Alan Herndon made Three Point Jumper. Assisted by Jordan Naughton.,22,15
8:17,2751,Foul on Alan Herndon.,22,15
8:17,279,Jack Williams made Free Throw.,22,16
8:17,279,Jack Williams missed Free Throw.,22,16
8:17,2751,Jordan Naughton Defensive Rebound.,22,16
7:59,2751,Jason McManamen missed Three Point Jumper.,22,16
7:59,279,Ray Bowles Defensive Rebound.,22,16
7:53,279,Jack Williams missed Three Point Jumper.,22,16
7:53,2751,Cody Kelley Defensive Rebound.,22,16
7:43,2751,Justin James missed Three Point Jumper.,22,16
7:43,279,Ray Bowles Defensive Rebound.,22,16
7:36,2751,Foul on Cody Kelley.,22,16
7:36,279,Official TV Timeout,22,16
7:34,279,Ray Bowles made Free Throw.,22,17
7:34,279,Ray Bowles made Free Throw.,22,18
7:26,2751,Foul on Alexander Aka Gorski.,22,18
7:26,2751,Alexander Aka Gorski Turnover.,22,18
7:09,279,David Taylor missed Three Point Jumper.,22,18
7:09,2751,Justin James Defensive Rebound.,22,18
7:01,2751,Jason McManamen Turnover.,22,18
7:00,279,David Taylor Steal.,22,18
6:53,279,Jacob Lampkin Turnover.,22,18
6:39,279,Foul on Jacob Lampkin.,22,18
6:39,2751,Jordan Naughton missed Free Throw.,22,18
6:39,2751,Wyoming Deadball Team Rebound.,22,18
6:39,2751,Jordan Naughton made Free Throw.,23,18
6:33,279,D.J. Ursery Turnover.,23,18
6:23,2751,Justin James missed Jumper.,23,18
6:23,2751,Justin James Offensive Rebound.,23,18
6:22,279,Foul on Jacob Lampkin.,23,18
6:22,2751,Justin James made Free Throw.,24,18
6:22,2751,Justin James missed Free Throw.,24,18
6:22,279,Jack Williams Defensive Rebound.,24,18
6:11,279,D.J. Ursery missed Layup.,24,18
6:11,2751,Jordan Naughton Defensive Rebound.,24,18
5:57,2751,Alexander Aka Gorski made Layup. Assisted by Jeremy Lieberman.,26,18
5:40,2751,Foul on Jeremy Lieberman.,26,18
5:40,279,Jack Williams made Free Throw.,26,19
5:40,279,Jack Williams made Free Throw.,26,20
5:26,2751,Jeremy Lieberman missed Three Point Jumper.,26,20
5:26,279,David Taylor Defensive Rebound.,26,20
4:59,279,Foul on Ray Bowles.,26,20
4:59,279,Ray Bowles Turnover.,26,20
4:40,2751,Justin James missed Layup.,26,20
4:40,279,David Taylor Defensive Rebound.,26,20
4:23,279,D.J. Ursery missed Jumper.,26,20
4:23,279,Ray Bowles Offensive Rebound.,26,20
4:22,279,Ray Bowles made Layup.,26,22
4:21,2751,Foul on Justin James.,26,22
4:20,279,Ray Bowles made Free Throw.,26,23
3:58,2751,Foul on Jeremy Lieberman.,26,23
3:58,2751,Jeremy Lieberman Turnover.,26,23
3:48,279,Ray Bowles missed Three Point Jumper.,26,23
3:48,2751,Jason McManamen Defensive Rebound.,26,23
3:29,2751,Jordan Naughton missed Layup.,26,23
3:29,279,Jack Williams Defensive Rebound.,26,23
3:09,279,T.J. Wallace made Three Point Jumper.,26,26
2:50,279,Foul on T.J. Wallace.,26,26
2:50,2751,Jason McManamen made Free Throw.,27,26
2:50,2751,Jason McManamen made Free Throw.,28,26
2:39,279,Keshon Montague missed Three Point Jumper.,28,26
2:39,2751,Alan Herndon Defensive Rebound.,28,26
2:32,2751,Alexander Aka Gorski missed Three Point Jumper.,28,26
2:32,279,David Taylor Defensive Rebound.,28,26
2:25,279,Jack Williams Turnover.,28,26
2:03,2751,Jason McManamen made Jumper. Assisted by Alexander Aka Gorski.,30,26
1:54,279,Jack Williams made Three Point Jumper. Assisted by Keshon Montague.,30,29
1:39,279,Foul on Tonko Vuko.,30,29
1:39,2751,Jordan Naughton missed Free Throw.,30,29
1:39,2751,Wyoming Deadball Team Rebound.,30,29
1:39,2751,Jordan Naughton made Free Throw.,31,29
1:17,279,T.J. Wallace made Jumper.,31,31
1:01,2751,Cody Kelley missed Three Point Jumper.,31,31
1:01,279,David Taylor Defensive Rebound.,31,31
0:56,2751,Foul on Alexander Aka Gorski.,31,31
0:56,279,David Taylor made Free Throw.,31,32
0:56,279,David Taylor made Free Throw.,31,33
0:44,2751,Foul on Jordan Naughton.,31,33
0:44,2751,Jordan Naughton Turnover.,31,33
0:44,279,Pacific  Timeout,31,33
0:27,279,Foul on Jack Williams.,31,33
0:27,279,Jack Williams Turnover.,31,33
0:10,279,Foul on Tonko Vuko.,31,33
0:10,2751,Justin James made Free Throw.,32,33
0:10,2751,Justin James made Free Throw.,33,33
0:03,279,T.J. Wallace missed Jumper.,33,33
0:03,2751,Andrew Moemeka Defensive Rebound.,33,33
0:00,279,End of 1st half,33,33
19:53,2751,Foul on Jordan Naughton.,33,33
19:46,279,T.J. Wallace made Jumper.,33,35
19:46,2751,Foul on Cody Kelley.,33,35
19:46,279,T.J. Wallace made Free Throw.,33,36
19:32,2751,Jordan Naughton missed Layup.,33,36
19:32,279,David Taylor Defensive Rebound.,33,36
19:21,279,Ray Bowles missed Jumper.,33,36
19:21,2751,Alan Herndon Defensive Rebound.,33,36
19:20,279,Foul on Sami Eleraky.,33,36
19:02,2751,Alan Herndon Turnover.,33,36
19:01,279,Sami Eleraky Steal.,33,36
18:54,279,Sami Eleraky Turnover.,33,36
18:38,2751,Alan Herndon made Three Point Jumper. Assisted by Justin James.,36,36
18:18,279,Tonko Vuko missed Three Point Jumper.,36,36
18:18,2751,Jason McManamen Defensive Rebound.,36,36
18:09,2751,Justin James missed Jumper.,36,36
18:09,279,David Taylor Defensive Rebound.,36,36
18:01,279,David Taylor missed Layup.,36,36
18:01,2751,Alan Herndon Block.,36,36
17:59,2751,Jason McManamen Defensive Rebound.,36,36
17:47,2751,Jason McManamen missed Three Point Jumper.,36,36
17:47,2751,Alan Herndon Offensive Rebound.,36,36
17:36,2751,Jason McManamen Turnover.,36,36
17:35,279,T.J. Wallace Steal.,36,36
17:32,279,T.J. Wallace missed Layup.,36,36
17:32,279,Ray Bowles Offensive Rebound.,36,36
17:29,279,Ray Bowles missed Jumper.,36,36
17:29,279,T.J. Wallace Offensive Rebound.,36,36
17:15,2751,Foul on Jordan Naughton.,36,36
17:15,279,Ray Bowles made Free Throw.,36,37
17:15,279,Ray Bowles missed Free Throw.,36,37
17:15,2751,Alan Herndon Defensive Rebound.,36,37
17:14,279,Foul on Jack Williams.,36,37
17:05,2751,Justin James made Three Point Jumper.,39,37
16:50,279,Ray Bowles missed Three Point Jumper.,39,37
16:50,2751,Cody Kelley Defensive Rebound.,39,37
16:39,2751,Cody Kelley missed Three Point Jumper.,39,37
16:39,279,Anthony Townes Defensive Rebound.,39,37
16:31,279,T.J. Wallace missed Jumper.,39,37
16:31,2751,Alan Herndon Defensive Rebound.,39,37
16:18,279,Foul on Ray Bowles.,39,37
16:16,2751,Alan Herndon Turnover.,39,37
16:02,279,Jack Williams missed Jumper.,39,37
16:02,279,Anthony Townes Offensive Rebound.,39,37
16:00,2751,Foul on Alan Herndon.,39,37
16:00,279,Official TV Timeout,39,37
16:00,279,Anthony Townes made Free Throw.,39,38
16:00,279,Anthony Townes made Free Throw.,39,39
15:48,2751,Justin James made Dunk. Assisted by Cody Kelley.,41,39
15:34,279,David Taylor missed Three Point Jumper.,41,39
15:34,2751,Justin James Defensive Rebound.,41,39
15:20,2751,Justin James Turnover.,41,39
15:19,279,David Taylor Steal.,41,39
15:17,279,David Taylor made Layup.,41,41
14:51,2751,Jason McManamen missed Jumper.,41,41
14:51,279,Anthony Townes Block.,41,41
14:49,279,David Taylor Defensive Rebound.,41,41
14:47,279,D.J. Ursery made Layup. Assisted by David Taylor.,41,43
14:34,279,Foul on D.J. Ursery.,41,43
14:18,2751,Alan Herndon missed Jumper.,41,43
14:18,279,Anthony Townes Defensive Rebound.,41,43
14:09,279,T.J. Wallace missed Jumper.,41,43
14:09,2751,Jason McManamen Defensive Rebound.,41,43
14:00,2751,Foul on Justin James.,41,43
14:00,2751,Justin James Turnover.,41,43
13:55,279,Foul on T.J. Wallace.,41,43
13:55,279,T.J. Wallace Turnover.,41,43
13:32,279,Foul on D.J. Ursery.,41,43
13:31,2751,Jason McManamen Turnover.,41,43
13:30,279,T.J. Wallace Steal.,41,43
13:28,279,Jack Williams made Dunk. Assisted by T.J. Wallace.,41,45
13:01,2751,Jason McManamen missed Three Point Jumper.,41,45
13:01,279,T.J. Wallace Defensive Rebound.,41,45
12:51,279,Anthony Townes made Jumper. Assisted by Ray Bowles.,41,47
12:29,2751,Cody Kelley Turnover.,41,47
12:17,2751,Foul on Cody Kelley.,41,47
12:09,279,Anthony Townes Turnover.,41,47
12:00,2751,Jeremy Lieberman Turnover.,41,47
11:59,279,Ray Bowles Steal.,41,47
11:53,2751,Foul on Andrew Moemeka.,41,47
11:53,279,Official TV Timeout,41,47
11:53,279,Jack Williams made Free Throw.,41,48
11:53,279,Jack Williams made Free Throw.,41,49
11:39,279,Foul on Anthony Townes.,41,49
11:39,2751,Jason McManamen made Free Throw.,42,49
11:39,2751,Jason McManamen made Free Throw.,43,49
11:15,2751,Foul on Alexander Aka Gorski.,43,49
11:15,279,Ray Bowles missed Free Throw.,43,49
11:15,279,Pacific Deadball Team Rebound.,43,49
11:15,279,Ray Bowles made Free Throw.,43,50
10:55,2751,Justin James made Dunk.,45,50
10:32,279,Anthony Townes missed Jumper.,45,50
10:32,2751,Alan Herndon Defensive Rebound.,45,50
10:04,2751,Alan Herndon missed Layup.,45,50
10:04,279,Jack Williams Defensive Rebound.,45,50
9:46,279,Ray Bowles missed Jumper.,45,50
9:46,2751,Justin James Block.,45,50
9:46,279,Pacific Offensive Rebound.,45,50
9:42,279,Jack Williams made Jumper.,45,52
9:31,2751,Jeremy Lieberman missed Layup.,45,52
9:31,279,Jack Williams Defensive Rebound.,45,52
9:08,279,Keshon Montague missed Three Point Jumper.,45,52
9:08,2751,Justin James Defensive Rebound.,45,52
9:00,2751,Jason McManamen missed Three Point Jumper.,45,52
9:00,2751,Hayden Dalton Offensive Rebound.,45,52
8:47,279,Foul on Anthony Townes.,45,52
8:47,2751,Hayden Dalton made Free Throw.,46,52
8:47,2751,Hayden Dalton made Free Throw.,47,52
8:19,279,Ray Bowles missed Three Point Jumper.,47,52
8:19,279,Jack Williams Offensive Rebound.,47,52
8:18,2751,Foul on Alan Herndon.,47,52
8:18,279,Tonko Vuko made Free Throw.,47,53
8:18,279,Tonko Vuko missed Free Throw.,47,53
8:18,2751,Justin James Defensive Rebound.,47,53
8:06,2751,Alan Herndon made Three Point Jumper. Assisted by Justin James.,50,53
7:46,279,Jack Williams missed Three Point Jumper.,50,53
7:46,2751,Alan Herndon Defensive Rebound.,50,53
7:36,2751,Jason McManamen missed Jumper.,50,53
7:36,279,Ray Bowles Defensive Rebound.,50,53
7:21,279,T.J. Wallace missed Jumper.,50,53
7:21,279,Tonko Vuko Offensive Rebound.,50,53
7:16,279,Jack Williams made Jumper. Assisted by Tonko Vuko.,50,55
6:55,2751,Alan Herndon made Layup. Assisted by Hayden Dalton.,52,55
6:33,279,Ray Bowles missed Jumper.,52,55
6:33,2751,Hayden Dalton Defensive Rebound.,52,55
6:22,2751,Justin James Turnover.,52,55
6:22,279,Official TV Timeout,52,55
6:08,279,Ray Bowles missed Jumper.,52,55
6:08,279,Tonko Vuko Offensive Rebound.,52,55
6:05,2751,Foul on Hayden Dalton.,52,55
6:05,279,Tonko Vuko made Free Throw.,52,56
6:05,279,Tonko Vuko made Free Throw.,52,57
5:45,2751,Alan Herndon missed Three Point Jumper.,52,57
5:45,279,Jack Williams Defensive Rebound.,52,57
5:27,279,David Taylor missed Layup.,52,57
5:27,2751,Jeremy Lieberman Defensive Rebound.,52,57
5:21,2751,Jason McManamen missed Three Point Jumper.,52,57
5:21,2751,Alan Herndon Offensive Rebound.,52,57
5:16,2751,Alan Herndon made Two Point Tip Shot.,54,57
5:01,279,David Taylor made Layup.,54,59
4:36,2751,Jeremy Lieberman missed Three Point Jumper.,54,59
4:36,279,Ray Bowles Defensive Rebound.,54,59
4:09,279,Foul on David Taylor.,54,59
4:09,279,David Taylor Turnover.,54,59
3:57,279,Official TV Timeout,54,59
3:52,279,Foul on David Taylor.,54,59
3:52,2751,Jason McManamen made Free Throw.,55,59
3:52,2751,Jason McManamen made Free Throw.,56,59
3:41,279,Foul on Anthony Townes.,56,59
3:41,279,Anthony Townes Turnover.,56,59
3:33,2751,Foul on Justin James.,56,59
3:33,2751,Justin James Turnover.,56,59
3:26,279,David Taylor Turnover.,56,59
3:23,2751,Jason McManamen Steal.,56,59
3:23,279,Foul on David Taylor.,56,59
3:23,2751,Jason McManamen made Free Throw.,57,59
3:23,2751,Jason McManamen made Free Throw.,58,59
3:10,2751,Foul on Jason McManamen.,58,59
3:10,279,Tonko Vuko made Free Throw.,58,60
3:10,279,Tonko Vuko made Free Throw.,58,61
2:50,2751,Alan Herndon made Jumper. Assisted by Hayden Dalton.,60,61
2:35,279,Ray Bowles made Layup.,60,63
2:35,2751,Foul on Justin James.,60,63
2:35,279,Ray Bowles made Free Throw.,60,64
2:23,2751,Jason McManamen Turnover.,60,64
2:22,279,David Taylor Steal.,60,64
2:19,2751,Foul on Alexander Aka Gorski.,60,64
2:19,279,David Taylor missed Free Throw.,60,64
2:19,279,Pacific Deadball Team Rebound.,60,64
2:19,279,David Taylor made Free Throw.,60,65
1:52,2751,Andrew Moemeka Turnover.,60,65
1:52,279,T.J. Wallace Steal.,60,65
1:23,279,T.J. Wallace made Three Point Jumper.,60,68
1:08,279,Foul on T.J. Wallace.,60,68
1:08,2751,Jason McManamen made Free Throw.,61,68
1:08,2751,Jason McManamen made Free Throw.,62,68
1:05,2751,Foul on Jason McManamen.,62,68
0:45,279,David Taylor missed Jumper.,62,68
0:45,2751,Hayden Dalton Defensive Rebound.,62,68
0:45,279,David Taylor made Free Throw.,62,69
0:45,279,David Taylor made Free Throw.,62,70
0:45,279,Foul on David Taylor.,62,70
0:45,2751,Hayden Dalton missed Free Throw.,62,70
0:45,2751,Wyoming Deadball Team Rebound.,62,70
0:45,2751,Hayden Dalton made Free Throw.,63,70
0:44,2751,Foul on Jason McManamen.,63,70
0:44,279,T.J. Wallace made Free Throw.,63,71
0:44,279,T.J. Wallace missed Free Throw.,63,71
0:44,2751,Andrew Moemeka Defensive Rebound.,63,71
0:39,2751,Cody Kelley missed Three Point Jumper.,63,71
0:39,279,Jack Williams Defensive Rebound.,63,71
0:36,2751,Foul on Hayden Dalton.,63,71
0:36,279,Jack Williams made Free Throw.,63,72
0:36,279,Jack Williams made Free Throw.,63,73
0:28,2751,Jason McManamen missed Three Point Jumper.,63,73
0:28,279,D.J. Ursery Defensive Rebound.,63,73
0:25,2751,Foul on Alan Herndon.,63,73
0:25,279,D.J. Ursery missed Free Throw.,63,73
0:25,279,Pacific Deadball Team Rebound.,63,73
0:25,279,D.J. Ursery missed Free Throw.,63,73
0:25,2751,Andrew Moemeka Defensive Rebound.,63,73
0:18,279,Foul on T.J. Wallace.,63,73
0:18,2751,Jason McManamen made Free Throw.,64,73
0:18,2751,Jason McManamen made Free Throw.,65,73
0:00,279,End of Game,65,73
