George Mason,2309,Kent State,2244
15:18,2244,Jaire Grayer made Jumper.,50,50
15:05,2309,Jimmy Hall missed Jumper.,50,50
15:05,2244,Otis Livingston II Defensive Rebound.,50,50
14:57,2244,Otis Livingston II missed Layup.,50,50
14:57,2309,Jaylin Walker Defensive Rebound.,50,50
14:57,2244,Foul on Troy Temara.,50,50
14:57,2309,Official TV Timeout,50,50
14:45,2309,Alonzo Walker made Layup.,50,52
14:24,2244,Jalen Jenkins made Jumper.,52,52
14:04,2309,Desmond Ridenour missed Layup.,52,52
14:04,2244,Marquise Moore Defensive Rebound.,52,52
14:01,2309,Foul on Alonzo Walker.,52,52
13:49,2244,Jalen Jenkins made Jumper.,54,52
13:36,2309,Jimmy Hall made Jumper.,54,54
13:15,2244,Jalen Jenkins Turnover.,54,54
13:14,2309,Alonzo Walker Steal.,54,54
13:01,2309,Deon Edwin made Jumper.,54,56
13:01,2244,Foul on Marquise Moore.,54,56
13:01,2309,Deon Edwin made Free Throw.,54,57
12:45,2244,Jaire Grayer made Jumper. Assisted by Otis Livingston II.,56,57
12:32,2309,Deon Edwin made Layup.,56,59
12:13,2244,Marquise Moore made Layup.,58,59
11:58,2309,Jimmy Hall missed Three Point Jumper.,58,59
11:58,2309,Jimmy Hall Offensive Rebound.,58,59
11:41,2309,Jalen Avery made Three Point Jumper. Assisted by Jimmy Hall.,58,62
11:20,2244,Otis Livingston II missed Jumper.,58,62
11:20,2244,Ian Boyd Offensive Rebound.,58,62
11:17,2309,Foul on Alonzo Walker.,58,62
11:17,2309,Official TV Timeout,58,62
11:08,2244,Karmari Newman missed Three Point Jumper.,58,62
11:08,2309,Alonzo Walker Defensive Rebound.,58,62
10:42,2309,Deon Edwin made Jumper.,58,64
10:23,2244,Karmari Newman missed Layup.,58,64
10:23,2309,Jaylin Walker Defensive Rebound.,58,64
10:11,2309,Deon Edwin missed Three Point Jumper.,58,64
10:11,2244,Marquise Moore Defensive Rebound.,58,64
10:06,2309,Foul on Alonzo Walker.,58,64
10:05,2244,Otis Livingston II made Jumper.,60,64
9:50,2309,Deon Edwin missed Three Point Jumper.,60,64
9:50,2244,Justin Kier Defensive Rebound.,60,64
9:39,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,63,64
9:28,2309,Desmond Ridenour missed Three Point Jumper.,63,64
9:28,2309,Alonzo Walker Offensive Rebound.,63,64
9:17,2309,Deon Edwin missed Layup.,63,64
9:17,2309,Alonzo Walker Offensive Rebound.,63,64
9:12,2309,Alonzo Walker missed Layup.,63,64
9:12,2309,Deon Edwin Offensive Rebound.,63,64
9:12,2244,Foul on Jalen Jenkins.,63,64
9:12,2309,Deon Edwin made Free Throw.,63,65
9:12,2309,Deon Edwin made Free Throw.,63,66
8:58,2244,Jaire Grayer missed Layup.,63,66
8:58,2244,Jaire Grayer Offensive Rebound.,63,66
8:47,2309,Foul on Jimmy Hall.,63,66
8:42,2244,Jaire Grayer made Free Throw.,64,66
8:42,2244,Jaire Grayer made Free Throw.,65,66
8:42,2309,Jalen Avery missed Three Point Jumper.,65,66
8:42,2244,Marquise Moore Defensive Rebound.,65,66
8:34,2244,Karmari Newman missed Jumper.,65,66
8:34,2244,Justin Kier Offensive Rebound.,65,66
8:27,2244,Jaire Grayer missed Jumper.,65,66
8:27,2309,Jaylin Walker Defensive Rebound.,65,66
8:23,2244,Foul on Jaire Grayer.,65,66
8:06,2309,Jimmy Hall Turnover.,65,66
8:03,2244,Justin Kier Steal.,65,66
8:01,2244,Karmari Newman missed Three Point Jumper.,65,66
8:01,2244,Justin Kier Offensive Rebound.,65,66
7:55,2244,Justin Kier missed Jumper.,65,66
7:55,2244,George Mason Offensive Rebound.,65,66
7:40,2244,Marquise Moore made Layup.,67,66
7:16,2309,Jaylin Walker missed Jumper.,67,66
7:16,2244,Marquise Moore Defensive Rebound.,67,66
6:50,2244,Karmari Newman missed Jumper.,67,66
6:50,2309,Alonzo Walker Defensive Rebound.,67,66
6:39,2309,Jimmy Hall made Jumper. Assisted by Jaylin Walker.,67,68
6:17,2244,Marquise Moore missed Jumper.,67,68
6:17,2244,Jalen Jenkins Offensive Rebound.,67,68
6:10,2244,Jalen Jenkins missed Layup.,67,68
6:10,2309,Jimmy Hall Block.,67,68
6:10,2309,Jimmy Hall Defensive Rebound.,67,68
6:01,2309,Deon Edwin Turnover.,67,68
5:57,2244,Otis Livingston II made Three Point Jumper. Assisted by Marquise Moore.,70,68
5:41,2309,Jimmy Hall Turnover.,70,68
5:39,2244,Marquise Moore Steal.,70,68
5:33,2244,Foul on Marquise Moore.,70,68
5:33,2244,Marquise Moore Turnover.,70,68
5:15,2309,Jimmy Hall missed Jumper.,70,68
5:15,2244,Otis Livingston II Defensive Rebound.,70,68
4:58,2244,Jaire Grayer made Jumper.,72,68
4:52,2309,Kent State  Timeout,72,68
4:45,2244,Foul on Jaire Grayer.,72,68
4:42,2309,Deon Edwin made Free Throw.,72,69
4:42,2309,Deon Edwin made Free Throw.,72,70
4:28,2244,Justin Kier Turnover.,72,70
4:13,2309,Alonzo Walker Turnover.,72,70
4:10,2244,Jalen Jenkins Steal.,72,70
3:51,2244,Jaire Grayer missed Three Point Jumper.,72,70
3:51,2309,Alonzo Walker Defensive Rebound.,72,70
3:39,2309,Desmond Ridenour made Jumper. Assisted by Jimmy Hall.,72,72
3:09,2244,Jalen Jenkins Turnover.,72,72
3:09,2309,Official TV Timeout,72,72
2:46,2244,Foul on Otis Livingston II.,72,72
2:46,2309,Jalen Avery made Free Throw.,72,73
2:46,2309,Jalen Avery missed Free Throw.,72,73
2:46,2244,Jalen Jenkins Defensive Rebound.,72,73
2:26,2244,Otis Livingston II missed Three Point Jumper.,72,73
2:26,2244,Marquise Moore Offensive Rebound.,72,73
2:18,2244,Marquise Moore missed Jumper.,72,73
2:18,2309,Alonzo Walker Block.,72,73
2:16,2309,Jimmy Hall Defensive Rebound.,72,73
1:48,2309,Desmond Ridenour made Jumper.,72,75
1:39,2244,George Mason  Timeout,72,75
1:13,2244,Marquise Moore made Layup.,74,75
1:13,2309,Foul on Deon Edwin.,74,75
1:13,2244,Marquise Moore missed Free Throw.,74,75
1:13,2309,Jimmy Hall Defensive Rebound.,74,75
0:54,2309,Desmond Ridenour Turnover.,74,75
0:52,2244,Jalen Jenkins Steal.,74,75
0:37,2244,Justin Kier missed Layup.,74,75
0:37,2309,Alonzo Walker Block.,74,75
0:36,2309,Desmond Ridenour Defensive Rebound.,74,75
0:30,2244,Foul on Otis Livingston II.,74,75
0:30,2309,Jalen Avery missed Free Throw.,74,75
0:30,2244,Marquise Moore Defensive Rebound.,74,75
0:28,2244,George Mason  Timeout,74,75
0:21,2244,Otis Livingston II made Three Point Jumper. Assisted by Marquise Moore.,77,75
0:15,2309,Kent State  Timeout,77,75
0:03,2309,Jalen Avery missed Layup.,77,75
0:03,2244,George Mason Defensive Rebound.,77,75
0:02,2244,George Mason  Timeout,77,75
0:01,2309,Foul on Desmond Ridenour.,77,75
0:01,2309,Kent State  Timeout,77,75
0:01,2244,Marquise Moore made Free Throw.,78,75
0:01,2244,Marquise Moore made Free Throw.,79,75
0:00,2309,End of Game,79,75
