Northern Arizona,2439,UNLV,2464
12:06,2439,Tyrell Green Defensive Rebound.,8,23
11:55,2439,Jalen Poyser missed Three Point Jumper.,8,23
11:55,2464,Jaleni Neely Defensive Rebound.,8,23
11:49,2464,Mike Green missed Jumper.,8,23
11:49,2464,Northern Arizona Offensive Rebound.,8,23
11:46,2439,Official TV Timeout,8,23
11:41,2464,Ako Kaluna Turnover.,8,23
11:40,2439,Kris Clyburn Steal.,8,23
11:39,2439,Kris Clyburn made Layup.,8,25
11:23,2464,Mike Green Turnover.,8,25
11:22,2439,Tyrell Green Steal.,8,25
11:18,2439,Tyrell Green made Dunk. Assisted by Kris Clyburn.,8,27
11:16,2464,Northern Arizona  Timeout,8,27
11:05,2464,Marcus DeBerry Turnover.,8,27
11:04,2439,Uche Ofoegbu Steal.,8,27
10:47,2464,Foul on Jaleni Neely.,8,27
10:40,2464,Foul on Corey Brown.,8,27
10:40,2439,Uche Ofoegbu made Free Throw.,8,28
10:40,2439,Uche Ofoegbu made Free Throw.,8,29
10:25,2464,Jaleni Neely made Layup.,10,29
10:09,2439,Jalen Poyser Turnover.,10,29
10:08,2464,Jaleni Neely Steal.,10,29
10:04,2464,Jaleni Neely missed Layup.,10,29
10:04,2439,Tyrell Green Defensive Rebound.,10,29
10:01,2439,Tyrell Green Turnover.,10,29
10:01,2464,JoJo Anderson Steal.,10,29
9:59,2464,Jaleni Neely made Layup. Assisted by JoJo Anderson.,12,29
9:40,2439,Djordjije Sljivancanin made Three Point Jumper. Assisted by Uche Ofoegbu.,12,32
9:33,2439,Foul on Jalen Poyser.,12,32
9:24,2439,Foul on Troy Baxter Jr..,12,32
9:15,2439,Foul on Cheickna Dembele.,12,32
9:15,2464,Ako Kaluna missed Free Throw.,12,32
9:15,2464,Northern Arizona Deadball Team Rebound.,12,32
9:15,2464,Ako Kaluna made Free Throw.,13,32
8:59,2439,Cheickna Dembele missed Layup.,13,32
8:59,2439,Cheickna Dembele Offensive Rebound.,13,32
8:54,2439,Kris Clyburn made Layup. Assisted by Cheickna Dembele.,13,34
8:30,2464,Jaleni Neely missed Three Point Jumper.,13,34
8:30,2439,Ben Coupet Jr. Defensive Rebound.,13,34
8:23,2439,Jovan Mooring Turnover.,13,34
8:13,2464,Jaleni Neely Turnover.,13,34
7:53,2439,Ben Coupet Jr. missed Three Point Jumper.,13,34
7:53,2464,Corey Brown Defensive Rebound.,13,34
7:44,2464,Mike Green missed Three Point Jumper.,13,34
7:44,2439,Jovan Mooring Defensive Rebound.,13,34
7:34,2439,Jovan Mooring missed Three Point Jumper.,13,34
7:34,2464,Marcus DeBerry Defensive Rebound.,13,34
7:27,2464,Mike Green missed Jumper.,13,34
7:27,2439,Troy Baxter Jr. Defensive Rebound.,13,34
7:17,2439,UNLV  Timeout,13,34
7:05,2464,Foul on Ako Kaluna.,13,34
7:05,2439,Dwayne Morgan missed Free Throw.,13,34
7:05,2439,UNLV Deadball Team Rebound.,13,34
7:05,2439,Dwayne Morgan missed Free Throw.,13,34
7:05,2464,JoJo Anderson Defensive Rebound.,13,34
6:55,2464,JoJo Anderson missed Jumper.,13,34
6:55,2439,Troy Baxter Jr. Defensive Rebound.,13,34
6:48,2439,Jovan Mooring made Layup.,13,36
6:27,2464,Marcus DeBerry missed Three Point Jumper.,13,36
6:27,2464,Jordyn Martin Offensive Rebound.,13,36
6:24,2439,Foul on Troy Baxter Jr..,13,36
6:24,2464,Jordyn Martin made Free Throw.,14,36
6:24,2464,Jordyn Martin missed Free Throw.,14,36
6:24,2439,Dwayne Morgan Defensive Rebound.,14,36
6:20,2439,Dwayne Morgan Turnover.,14,36
6:19,2464,Mike Green Steal.,14,36
6:18,2464,Mike Green made Layup.,16,36
6:01,2439,Dwayne Morgan Turnover.,16,36
6:00,2464,Jordyn Martin Steal.,16,36
5:41,2464,Jordyn Martin missed Jumper.,16,36
5:41,2439,Ben Coupet Jr. Defensive Rebound.,16,36
5:32,2464,Foul on Jordyn Martin.,16,36
5:32,2439,Jovan Mooring made Free Throw.,16,37
5:32,2439,Jovan Mooring made Free Throw.,16,38
5:19,2464,Jordyn Martin made Layup. Assisted by Corey Brown.,18,38
4:55,2439,Dwayne Morgan made Layup. Assisted by Jalen Poyser.,18,40
4:55,2464,Foul on Jordyn Martin.,18,40
4:55,2439,Dwayne Morgan missed Free Throw.,18,40
4:55,2464,Corey Brown Defensive Rebound.,18,40
4:47,2464,Jaleni Neely missed Layup.,18,40
4:47,2439,Dwayne Morgan Block.,18,40
4:46,2439,Uche Ofoegbu Defensive Rebound.,18,40
4:43,2439,Jalen Poyser made Dunk. Assisted by Uche Ofoegbu.,18,42
4:32,2464,Marcus DeBerry missed Three Point Jumper.,18,42
4:32,2439,Dwayne Morgan Defensive Rebound.,18,42
4:11,2439,Jovan Mooring made Jumper. Assisted by Jalen Poyser.,18,44
3:48,2464,Mike Green missed Three Point Jumper.,18,44
3:48,2439,Uche Ofoegbu Defensive Rebound.,18,44
3:37,2439,Tyrell Green made Jumper. Assisted by Uche Ofoegbu.,18,46
3:29,2464,Marcus DeBerry missed Layup.,18,46
3:29,2439,Tyrell Green Defensive Rebound.,18,46
3:23,2439,Jalen Poyser missed Layup.,18,46
3:23,2439,Uche Ofoegbu Offensive Rebound.,18,46
3:21,2439,Uche Ofoegbu missed Two Point Tip Shot.,18,46
3:21,2464,Marcus DeBerry Defensive Rebound.,18,46
3:13,2464,Marcus DeBerry missed Three Point Jumper.,18,46
3:13,2439,Dwayne Morgan Defensive Rebound.,18,46
2:42,2439,Jalen Poyser made Jumper.,18,48
2:25,2464,Mike Green made Three Point Jumper. Assisted by Marcus DeBerry.,21,48
2:09,2439,Tyrell Green made Three Point Jumper. Assisted by Uche Ofoegbu.,21,51
1:47,2464,Jaleni Neely missed Three Point Jumper.,21,51
1:47,2439,Uche Ofoegbu Defensive Rebound.,21,51
1:35,2439,Jalen Poyser missed Three Point Jumper.,21,51
1:35,2464,Corey Brown Defensive Rebound.,21,51
1:30,2464,Mike Green made Layup. Assisted by Jaleni Neely.,23,51
1:13,2439,Uche Ofoegbu made Jumper.,23,53
1:10,2439,Official TV Timeout,23,53
1:01,2464,Brooks DeBisschop made Layup. Assisted by Felix Rivera-Vega.,25,53
0:32,2439,Kris Clyburn missed Three Point Jumper.,25,53
0:32,2464,Felix Rivera-Vega Defensive Rebound.,25,53
0:04,2464,Jaleni Neely missed Jumper.,25,53
0:04,2464,Jaleni Neely Offensive Rebound.,25,53
0:00,2439,End of 1st half,25,53
19:44,2464,Jordyn Martin missed Jumper.,25,53
19:44,2439,Kris Clyburn Defensive Rebound.,25,53
19:16,2439,Uche Ofoegbu missed Three Point Jumper.,25,53
19:16,2439,Kris Clyburn Offensive Rebound.,25,53
19:15,2464,Foul on Ako Kaluna.,25,53
19:01,2439,Tyrell Green missed Three Point Jumper.,25,53
19:01,2439,Kris Clyburn Offensive Rebound.,25,53
18:50,2439,Kris Clyburn made Dunk.,25,55
18:33,2464,Ako Kaluna made Jumper.,27,55
18:13,2439,Jalen Poyser missed Three Point Jumper.,27,55
18:13,2464,Marcus DeBerry Defensive Rebound.,27,55
18:05,2464,Felix Rivera-Vega missed Three Point Jumper.,27,55
18:05,2439,Tyrell Green Defensive Rebound.,27,55
17:51,2439,Dwayne Morgan missed Jumper.,27,55
17:51,2439,Kris Clyburn Offensive Rebound.,27,55
17:38,2439,Uche Ofoegbu missed Layup.,27,55
17:38,2464,Ako Kaluna Defensive Rebound.,27,55
17:28,2464,Ako Kaluna missed Three Point Jumper.,27,55
17:28,2439,Jalen Poyser Defensive Rebound.,27,55
17:07,2439,Tyrell Green missed Jumper.,27,55
17:07,2464,Felix Rivera-Vega Defensive Rebound.,27,55
16:51,2464,Jaleni Neely missed Jumper.,27,55
16:51,2439,UNLV Defensive Rebound.,27,55
16:31,2464,Foul on Ako Kaluna.,27,55
16:29,2439,Jalen Poyser made Three Point Jumper. Assisted by Dwayne Morgan.,27,58
16:19,2464,Jaleni Neely Turnover.,27,58
16:18,2439,Tyrell Green Steal.,27,58
16:14,2439,Uche Ofoegbu made Layup. Assisted by Jalen Poyser.,27,60
16:05,2464,Marcus DeBerry missed Jumper.,27,60
16:05,2439,Tyrell Green Defensive Rebound.,27,60
15:58,2439,Jalen Poyser Turnover.,27,60
15:57,2464,Mike Green Steal.,27,60
15:46,2464,Corey Brown missed Jumper.,27,60
15:46,2439,Tyrell Green Defensive Rebound.,27,60
15:24,2439,Dwayne Morgan made Jumper. Assisted by Uche Ofoegbu.,27,62
15:09,2464,Corey Brown Turnover.,27,62
15:09,2439,Dwayne Morgan Steal.,27,62
15:05,2439,Jalen Poyser Turnover.,27,62
15:05,2439,Official TV Timeout,27,62
14:42,2464,Jordyn Martin made Layup. Assisted by JoJo Anderson.,29,62
14:25,2439,Jovan Mooring made Layup.,29,64
14:24,2464,Foul on Corey Brown.,29,64
14:24,2439,Jovan Mooring made Free Throw.,29,65
14:14,2464,Mike Green made Three Point Jumper. Assisted by JoJo Anderson.,32,65
14:03,2439,Troy Baxter Jr. made Three Point Jumper. Assisted by Uche Ofoegbu.,32,68
13:49,2464,Mike Green made Three Point Jumper. Assisted by JoJo Anderson.,35,68
13:30,2439,Kris Clyburn missed Jumper.,35,68
13:30,2439,Djordjije Sljivancanin Offensive Rebound.,35,68
13:28,2439,Djordjije Sljivancanin made Layup.,35,70
13:04,2464,Jordyn Martin made Layup.,37,70
13:04,2439,Foul on Troy Baxter Jr..,37,70
13:04,2464,Jordyn Martin made Free Throw.,38,70
12:54,2439,Troy Baxter Jr. made Jumper. Assisted by Ben Coupet Jr..,38,72
12:43,2464,Jordyn Martin made Three Point Jumper. Assisted by Mike Green.,41,72
12:29,2439,Troy Baxter Jr. Turnover.,41,72
12:29,2439,Foul on Troy Baxter Jr..,41,72
12:16,2464,Isaiah Thomas missed Jumper.,41,72
12:16,2464,Chris Bowling Offensive Rebound.,41,72
12:14,2464,Chris Bowling missed Two Point Tip Shot.,41,72
12:14,2439,UNLV Defensive Rebound.,41,72
11:52,2439,Djordjije Sljivancanin made Layup. Assisted by Jovan Mooring.,41,74
11:35,2464,Chris Bowling made Three Point Jumper. Assisted by Mike Green.,44,74
11:25,2439,Jovan Mooring made Three Point Jumper.,44,77
11:08,2464,Mike Green missed Three Point Jumper.,44,77
11:08,2439,Djordjije Sljivancanin Defensive Rebound.,44,77
10:53,2439,Jovan Mooring missed Three Point Jumper.,44,77
10:53,2464,JoJo Anderson Defensive Rebound.,44,77
10:48,2439,Foul on Djordjije Sljivancanin.,44,77
10:48,2439,Official TV Timeout,44,77
10:42,2464,Isaiah Thomas made Layup.,46,77
10:26,2439,Tyrell Green made Layup.,46,79
10:16,2464,Brooks DeBisschop missed Three Point Jumper.,46,79
10:16,2439,UNLV Defensive Rebound.,46,79
9:59,2439,Dwayne Morgan missed Jumper.,46,79
9:59,2464,Brooks DeBisschop Defensive Rebound.,46,79
9:39,2464,JoJo Anderson made Three Point Jumper. Assisted by Mike Green.,49,79
9:14,2439,Dwayne Morgan Turnover.,49,79
9:14,2439,Foul on Dwayne Morgan.,49,79
9:13,2464,Chris Bowling missed Three Point Jumper.,49,79
9:13,2439,Tyrell Green Defensive Rebound.,49,79
8:52,2439,Tyrell Green made Three Point Jumper. Assisted by Jalen Poyser.,49,82
8:37,2464,JoJo Anderson Turnover.,49,82
8:36,2439,Zion Morgan Steal.,49,82
8:34,2439,Zion Morgan made Layup.,49,84
8:25,2439,Foul on Dwayne Morgan.,49,84
8:25,2464,Chris Bowling missed Free Throw.,49,84
8:25,2464,Northern Arizona Deadball Team Rebound.,49,84
8:25,2464,Chris Bowling made Free Throw.,50,84
8:13,2439,Jalen Poyser missed Three Point Jumper.,50,84
8:13,2439,Zion Morgan Offensive Rebound.,50,84
8:07,2439,Tyrell Green missed Three Point Jumper.,50,84
8:07,2439,Ben Coupet Jr. Offensive Rebound.,50,84
8:03,2439,Ben Coupet Jr. missed Layup.,50,84
8:03,2464,Chris Bowling Block.,50,84
8:02,2464,Brooks DeBisschop Defensive Rebound.,50,84
7:45,2464,Mike Green missed Three Point Jumper.,50,84
7:45,2439,Tyrell Green Defensive Rebound.,50,84
7:25,2439,Djordjije Sljivancanin made Three Point Jumper. Assisted by Zion Morgan.,50,87
7:11,2439,Official TV Timeout,50,87
7:05,2464,Mike Green missed Three Point Jumper.,50,87
7:05,2464,Mike Green Offensive Rebound.,50,87
7:00,2464,Mike Green Turnover.,50,87
6:59,2439,Jalen Poyser Steal.,50,87
6:55,2439,Jalen Poyser made Layup.,50,89
6:35,2464,Jordyn Martin made Layup. Assisted by Mike Green.,52,89
6:17,2439,Djordjije Sljivancanin missed Jumper.,52,89
6:17,2439,Ben Coupet Jr. Offensive Rebound.,52,89
5:59,2439,Djordjije Sljivancanin missed Jumper.,52,89
5:59,2439,Ben Coupet Jr. Offensive Rebound.,52,89
5:55,2439,Ben Coupet Jr. made Two Point Tip Shot.,52,91
5:41,2464,Jordyn Martin made Three Point Jumper.,55,91
5:12,2439,Jalen Poyser missed Three Point Jumper.,55,91
5:12,2464,Jordyn Martin Defensive Rebound.,55,91
5:04,2464,Felix Rivera-Vega made Dunk. Assisted by JoJo Anderson.,57,91
4:46,2439,Troy Baxter Jr. missed Three Point Jumper.,57,91
4:46,2439,Jalen Poyser Offensive Rebound.,57,91
4:43,2439,Jalen Poyser made Layup.,57,93
4:29,2464,Ako Kaluna made Three Point Jumper. Assisted by JoJo Anderson.,60,93
4:28,2464,Northern Arizona  Timeout,60,93
4:28,2464,Foul on JoJo Anderson.,60,93
4:28,2439,Zion Morgan missed Free Throw.,60,93
4:28,2439,UNLV Deadball Team Rebound.,60,93
4:28,2439,Zion Morgan made Free Throw.,60,94
4:13,2439,Tyrell Green missed Jumper.,60,94
4:13,2464,JoJo Anderson Defensive Rebound.,60,94
3:57,2464,Jordyn Martin made Layup. Assisted by Ako Kaluna.,62,94
3:41,2439,Uche Ofoegbu missed Three Point Jumper.,62,94
3:41,2464,JoJo Anderson Defensive Rebound.,62,94
3:32,2464,Mike Green Turnover.,62,94
3:32,2439,Official TV Timeout,62,94
3:19,2439,Troy Baxter Jr. missed Jumper.,62,94
3:19,2464,Ako Kaluna Defensive Rebound.,62,94
3:08,2464,Mike Green missed Three Point Jumper.,62,94
3:08,2439,Zion Morgan Defensive Rebound.,62,94
3:04,2439,Troy Baxter Jr. made Dunk. Assisted by Zion Morgan.,62,96
2:52,2439,Foul on Zion Morgan.,62,96
2:42,2464,Ako Kaluna missed Three Point Jumper.,62,96
2:42,2464,Jordyn Martin Offensive Rebound.,62,96
2:36,2464,Jordyn Martin made Layup.,64,96
2:24,2439,Troy Baxter Jr. made Three Point Jumper. Assisted by Larry Bush.,64,99
1:59,2464,Mike Green Turnover.,64,99
1:58,2439,Zion Morgan Steal.,64,99
1:55,2439,Zion Morgan made Layup.,64,101
1:42,2464,Ako Kaluna missed Layup.,64,101
1:42,2464,Ako Kaluna Offensive Rebound.,64,101
1:40,2464,Ako Kaluna made Two Point Tip Shot.,66,101
1:28,2439,Zion Morgan made Layup.,66,103
1:28,2464,Foul on Isaiah Thomas.,66,103
1:28,2439,Zion Morgan missed Free Throw.,66,103
1:28,2464,Ako Kaluna Defensive Rebound.,66,103
1:18,2464,Chris Bowling Turnover.,66,103
1:17,2439,Jaylan Ballou Steal.,66,103
1:15,2439,Jaylan Ballou made Layup.,66,105
1:15,2464,Foul on Chris Bowling.,66,105
1:15,2439,Jaylan Ballou missed Free Throw.,66,105
1:15,2464,JoJo Anderson Defensive Rebound.,66,105
1:09,2464,JoJo Anderson made Layup.,68,105
0:56,2439,Larry Bush missed Layup.,68,105
0:56,2439,Jaylan Ballou Offensive Rebound.,68,105
0:54,2439,Jaylan Ballou missed Layup.,68,105
0:54,2464,Ako Kaluna Block.,68,105
0:52,2439,Jaylan Ballou Offensive Rebound.,68,105
0:50,2439,Djordjije Sljivancanin made Three Point Jumper. Assisted by Jaylan Ballou.,68,108
0:37,2464,Ako Kaluna missed Layup.,68,108
0:37,2439,Ben Coupet Jr. Defensive Rebound.,68,108
0:31,2439,Djordjije Sljivancanin made Layup. Assisted by Zion Morgan.,68,110
0:22,2439,Foul on Ben Coupet Jr..,68,110
0:22,2464,JoJo Anderson missed Free Throw.,68,110
0:22,2464,JoJo Anderson Offensive Rebound.,68,110
0:21,2464,JoJo Anderson made Three Point Jumper.,71,110
0:00,2439,End of Game,71,110
