Arkansas,135,Minnesota,8
13:13,135,Jordan Murphy made Jumper. Assisted by Akeem Springs.,8,7
13:01,8,Arlando Cook made Layup. Assisted by Manuale Watkins.,10,7
12:54,135,Nate Mason missed Jumper.,10,7
12:54,8,Arlando Cook Block.,10,7
12:51,8,Jaylen Barford Defensive Rebound.,10,7
12:50,8,Jaylen Barford made Layup.,12,7
12:50,135,Foul on Amir Coffey.,12,7
12:50,8,Jaylen Barford made Free Throw.,13,7
12:31,135,Eric Curry made Dunk. Assisted by Dupree McBrayer.,13,9
12:25,8,Foul on C.J. Jones.,13,9
12:25,8,C.J. Jones Turnover.,13,9
12:11,135,Amir Coffey Turnover.,13,9
12:11,8,Manuale Watkins Steal.,13,9
12:05,8,Foul on Arlando Cook.,13,9
12:05,8,Arlando Cook Turnover.,13,9
11:42,135,Ahmad Gilbert Turnover.,13,9
11:42,8,Manuale Watkins Steal.,13,9
11:42,135,Official TV Timeout,13,9
11:14,8,Anton Beard missed Three Point Jumper.,13,9
11:11,135,Eric Curry Defensive Rebound.,13,9
10:58,135,Dupree McBrayer made Three Point Jumper. Assisted by Ahmad Gilbert.,13,12
10:47,8,Manuale Watkins missed Jumper.,13,12
10:44,135,Reggie Lynch Defensive Rebound.,13,12
10:36,135,Dupree McBrayer missed Jumper.,13,12
10:35,8,Adrio Bailey Defensive Rebound.,13,12
10:26,8,Anton Beard Turnover.,13,12
10:26,135,Eric Curry Steal.,13,12
10:26,8,Foul on Trey Thompson.,13,12
10:26,135,Eric Curry made Free Throw.,13,13
10:26,135,Eric Curry made Free Throw.,13,14
10:09,8,Manuale Watkins missed Jumper.,13,14
10:07,135,Reggie Lynch Defensive Rebound.,13,14
9:55,8,Foul on Manuale Watkins.,13,14
9:55,135,Reggie Lynch missed Free Throw.,13,14
9:55,8,Trey Thompson Defensive Rebound.,13,14
9:49,8,Jaylen Barford missed Three Point Jumper.,13,14
9:46,135,Akeem Springs Defensive Rebound.,13,14
9:42,135,Dupree McBrayer Turnover.,13,14
9:15,8,Trey Thompson Turnover.,13,14
9:00,135,Akeem Springs missed Three Point Jumper.,13,14
8:58,8,Moses Kingsley Defensive Rebound.,13,14
8:50,8,Adrio Bailey missed Layup.,13,14
8:46,8,Dusty Hannahs Offensive Rebound.,13,14
8:45,8,Dusty Hannahs Turnover.,13,14
8:26,135,Dupree McBrayer missed Jumper.,13,14
8:24,135,Reggie Lynch Offensive Rebound.,13,14
8:23,135,Reggie Lynch made Dunk.,13,16
8:02,8,Moses Kingsley made Layup. Assisted by Jaylen Barford.,15,16
7:54,135,Foul on Dupree McBrayer.,15,16
7:54,135,Dupree McBrayer Turnover.,15,16
7:54,135,Official TV Timeout,15,16
7:40,8,Moses Kingsley made Jumper. Assisted by Daryl Macon.,17,16
7:13,135,Reggie Lynch made Jumper. Assisted by Amir Coffey.,17,18
7:02,8,Moses Kingsley missed Jumper.,17,18
7:00,8,Moses Kingsley Offensive Rebound.,17,18
6:59,8,Moses Kingsley missed Jumper.,17,18
6:57,135,Reggie Lynch Defensive Rebound.,17,18
6:56,135,Reggie Lynch Turnover.,17,18
6:56,8,Daryl Macon Steal.,17,18
6:53,8,Daryl Macon Turnover.,17,18
6:53,135,Akeem Springs Steal.,17,18
6:50,135,Eric Curry made Dunk. Assisted by Nate Mason.,17,20
6:41,8,Jaylen Barford Turnover.,17,20
6:20,8,Foul on Dustin Thomas.,17,20
6:20,135,Nate Mason made Free Throw.,17,21
6:20,135,Nate Mason made Free Throw.,17,22
6:00,8,Moses Kingsley missed Jumper.,17,22
5:58,135,Jordan Murphy Defensive Rebound.,17,22
5:41,135,Nate Mason made Three Point Jumper.,17,25
5:17,135,Foul on Amir Coffey.,17,25
5:13,8,Dusty Hannahs missed Jumper.,17,25
5:10,8,Manuale Watkins Offensive Rebound.,17,25
5:10,8,Manuale Watkins missed Jumper.,17,25
5:08,135,Nate Mason Defensive Rebound.,17,25
5:00,135,Reggie Lynch made Jumper.,17,27
4:31,8,Daryl Macon made Layup.,19,27
4:11,135,Akeem Springs made Three Point Jumper. Assisted by Nate Mason.,19,30
3:59,8,Manuale Watkins Turnover.,19,30
3:59,135,Official TV Timeout,19,30
3:41,135,Nate Mason Turnover.,19,30
3:41,8,Jaylen Barford Steal.,19,30
3:30,8,Moses Kingsley Turnover.,19,30
3:30,135,Reggie Lynch Steal.,19,30
3:26,135,Michael Hurt missed Three Point Jumper.,19,30
3:24,135,Akeem Springs Offensive Rebound.,19,30
3:23,135,Akeem Springs made Layup.,19,32
3:10,8,Manuale Watkins missed Jumper.,19,32
3:08,135,Jordan Murphy Defensive Rebound.,19,32
3:00,135,Jordan Murphy Turnover.,19,32
3:00,8,Manuale Watkins Steal.,19,32
2:55,8,Daryl Macon missed Layup.,19,32
2:53,135,Jordan Murphy Defensive Rebound.,19,32
2:49,135,Michael Hurt missed Three Point Jumper.,19,32
2:46,8,Moses Kingsley Defensive Rebound.,19,32
2:41,8,Jaylen Barford made Layup.,21,32
2:21,135,Nate Mason made Three Point Jumper.,21,35
2:11,8,Jaylen Barford Turnover.,21,35
2:11,135,Michael Hurt Steal.,21,35
2:10,8,Foul on Jaylen Barford.,21,35
1:47,135,Akeem Springs made Three Point Jumper. Assisted by Michael Hurt.,21,38
1:37,8,Anton Beard missed Layup.,21,38
1:34,8,Moses Kingsley Offensive Rebound.,21,38
1:32,8,Daryl Macon missed Three Point Jumper.,21,38
1:28,135,Reggie Lynch Defensive Rebound.,21,38
1:11,135,Akeem Springs made Three Point Jumper. Assisted by Nate Mason.,21,41
1:06,8,Arkansas  Timeout,21,41
0:47,135,Minnesota  Timeout,21,41
0:47,135,Foul on Ahmad Gilbert.,21,41
0:47,8,Daryl Macon made Free Throw.,22,41
0:47,8,Daryl Macon made Free Throw.,23,41
0:25,135,Nate Mason missed Jumper.,23,41
0:22,135,Reggie Lynch Offensive Rebound.,23,41
0:22,8,Foul on Moses Kingsley.,23,41
0:22,135,Reggie Lynch made Free Throw.,23,42
0:22,135,Reggie Lynch missed Free Throw.,23,42
0:22,135,Ahmad Gilbert Offensive Rebound.,23,42
0:21,135,Ahmad Gilbert missed Jumper.,23,42
0:19,8,Manuale Watkins Defensive Rebound.,23,42
0:01,8,Dusty Hannahs made Layup.,25,42
0:00,135,End of 1st half,25,42
19:43,135,Nate Mason made Jumper.,25,44
19:43,8,Foul on Jaylen Barford.,25,44
19:43,135,Nate Mason made Free Throw.,25,45
19:29,8,Dusty Hannahs made Jumper. Assisted by Jaylen Barford.,27,45
19:29,135,Foul on Dupree McBrayer.,27,45
19:29,8,Dusty Hannahs made Free Throw.,28,45
19:17,135,Foul on Dupree McBrayer.,28,45
19:17,8,Foul on Jaylen Barford.,28,45
19:09,135,Amir Coffey made Jumper. Assisted by Nate Mason.,28,47
18:54,135,Foul on Reggie Lynch.,28,47
18:54,8,Dustin Thomas made Free Throw.,29,47
18:54,8,Dustin Thomas made Free Throw.,30,47
18:30,135,Jordan Murphy made Layup.,30,49
18:18,8,Dusty Hannahs missed Jumper.,30,49
18:18,135,Reggie Lynch Block.,30,49
18:15,8,Anton Beard Offensive Rebound.,30,49
18:12,8,Dustin Thomas made Layup. Assisted by Anton Beard.,32,49
17:54,135,Amir Coffey missed Jumper.,32,49
17:49,135,Jordan Murphy Offensive Rebound.,32,49
17:29,135,Nate Mason missed Jumper.,32,49
17:27,8,Moses Kingsley Defensive Rebound.,32,49
17:08,8,Dusty Hannahs Turnover.,32,49
17:08,135,Amir Coffey Steal.,32,49
17:05,135,Amir Coffey made Dunk. Assisted by Akeem Springs.,32,51
16:56,8,Daryl Macon missed Jumper.,32,51
16:53,8,Anton Beard Offensive Rebound.,32,51
16:50,8,Daryl Macon made Layup. Assisted by Anton Beard.,34,51
16:36,135,Reggie Lynch Turnover.,34,51
16:24,8,Dustin Thomas Turnover.,34,51
16:13,135,Nate Mason Turnover.,34,51
15:57,8,Daryl Macon missed Layup.,34,51
15:57,135,Amir Coffey Block.,34,51
15:55,135,Jordan Murphy Defensive Rebound.,34,51
15:49,8,Foul on Moses Kingsley.,34,51
15:49,135,Official TV Timeout,34,51
15:49,8,Foul on Moses Kingsley.,34,51
15:49,135,Eric Curry made Free Throw.,34,52
15:49,135,Eric Curry made Free Throw.,34,53
15:40,8,Dustin Thomas missed Jumper.,34,53
15:40,135,Jordan Murphy Block.,34,53
15:39,135,Minnesota Defensive Rebound.,34,53
15:21,135,Jordan Murphy made Dunk. Assisted by Eric Curry.,34,55
15:07,8,Anton Beard made Jumper.,36,55
14:52,8,Foul on Anton Beard.,36,55
14:33,135,Foul on Jordan Murphy.,36,55
14:33,135,Jordan Murphy Turnover.,36,55
14:17,8,Daryl Macon missed Three Point Jumper.,36,55
14:13,135,Eric Curry Defensive Rebound.,36,55
13:57,135,Amir Coffey Turnover.,36,55
13:57,8,Daryl Macon Steal.,36,55
13:54,8,Daryl Macon made Layup.,38,55
13:35,8,Foul on Dustin Thomas.,38,55
13:13,135,Jordan Murphy missed Jumper.,38,55
13:11,135,Eric Curry Offensive Rebound.,38,55
13:10,135,Eric Curry missed Jumper.,38,55
13:09,8,Trey Thompson Defensive Rebound.,38,55
13:07,8,Daryl Macon missed Three Point Jumper.,38,55
13:05,8,Anton Beard Offensive Rebound.,38,55
13:04,135,Foul on Jordan Murphy.,38,55
12:45,8,Arlando Cook missed Jumper.,38,55
12:39,8,Daryl Macon Offensive Rebound.,38,55
12:27,8,Arlando Cook made Jumper. Assisted by Trey Thompson.,40,55
12:01,135,Nate Mason missed Jumper.,40,55
12:00,135,Nate Mason Offensive Rebound.,40,55
11:59,135,Ahmad Gilbert made Three Point Jumper. Assisted by Nate Mason.,40,58
11:55,135,Minnesota  Timeout,40,58
11:55,135,Official TV Timeout,40,58
11:33,8,Anton Beard made Jumper.,42,58
11:08,135,Eric Curry missed Jumper.,42,58
11:05,8,Daryl Macon Defensive Rebound.,42,58
11:00,8,Daryl Macon Turnover.,42,58
11:00,135,Official TV Timeout,42,58
10:50,8,Foul on Arlando Cook.,42,58
10:50,135,Eric Curry made Free Throw.,42,59
10:50,135,Eric Curry made Free Throw.,42,60
10:22,8,Anton Beard missed Jumper.,42,60
10:22,135,Jordan Murphy Block.,42,60
10:21,8,Anton Beard Offensive Rebound.,42,60
10:19,8,Anton Beard missed Jumper.,42,60
10:19,135,Ahmad Gilbert Block.,42,60
10:18,8,Anton Beard Offensive Rebound.,42,60
10:18,8,Arkansas  Turnover.,42,60
10:08,135,Akeem Springs missed Three Point Jumper.,42,60
10:06,8,Daryl Macon Defensive Rebound.,42,60
9:49,8,Daryl Macon made Layup. Assisted by Trey Thompson.,44,60
9:31,135,Nate Mason missed Three Point Jumper.,44,60
9:28,8,Daryl Macon Defensive Rebound.,44,60
9:20,8,Arlando Cook Turnover.,44,60
9:00,8,Foul on Manuale Watkins.,44,60
9:00,135,Eric Curry made Free Throw.,44,61
9:00,135,Eric Curry made Free Throw.,44,62
8:31,8,Daryl Macon Turnover.,44,62
8:02,135,Jordan Murphy made Jumper.,44,64
7:53,8,Dusty Hannahs made Jumper.,46,64
7:51,8,Arkansas  Timeout,46,64
7:51,135,Official TV Timeout,46,64
7:19,135,Jordan Murphy missed Jumper.,46,64
7:16,135,Akeem Springs Offensive Rebound.,46,64
7:10,135,Akeem Springs missed Three Point Jumper.,46,64
7:02,8,Manuale Watkins Defensive Rebound.,46,64
6:51,8,Dusty Hannahs Turnover.,46,64
6:51,135,Eric Curry Steal.,46,64
6:38,135,Amir Coffey made Three Point Jumper. Assisted by Akeem Springs.,46,67
6:09,8,Dusty Hannahs made Jumper.,48,67
5:57,8,Foul on Manuale Watkins.,48,67
5:57,135,Nate Mason made Free Throw.,48,68
5:57,135,Nate Mason made Free Throw.,48,69
5:45,8,Manuale Watkins made Layup.,50,69
5:32,135,Amir Coffey made Three Point Jumper. Assisted by Nate Mason.,50,72
5:23,8,Jaylen Barford made Layup.,52,72
5:09,135,Nate Mason Turnover.,52,72
5:09,8,Arlando Cook Steal.,52,72
5:09,135,Foul on Nate Mason.,52,72
4:52,8,Jaylen Barford missed Jumper.,52,72
4:51,8,Arkansas Offensive Rebound.,52,72
4:48,135,Foul on Eric Curry.,52,72
4:48,8,Moses Kingsley made Free Throw.,53,72
4:48,8,Moses Kingsley missed Free Throw.,53,72
4:48,8,Manuale Watkins Offensive Rebound.,53,72
4:48,8,Manuale Watkins made Jumper.,55,72
4:37,135,Amir Coffey made Layup.,55,74
4:21,8,Moses Kingsley missed Jumper.,55,74
4:18,135,Jordan Murphy Defensive Rebound.,55,74
4:11,8,Foul on Dusty Hannahs.,55,74
4:11,135,Akeem Springs missed Free Throw.,55,74
4:11,8,Moses Kingsley Defensive Rebound.,55,74
4:00,8,Dusty Hannahs made Three Point Jumper.,58,74
3:45,135,Amir Coffey made Jumper.,58,76
3:31,135,Official TV Timeout,58,76
3:31,135,Foul on Akeem Springs.,58,76
3:31,8,Dusty Hannahs made Free Throw.,59,76
3:31,8,Dusty Hannahs made Free Throw.,60,76
3:16,135,Amir Coffey missed Jumper.,60,76
3:16,8,Moses Kingsley Block.,60,76
3:15,135,Minnesota Offensive Rebound.,60,76
3:14,8,Moses Kingsley Block.,60,76
3:02,8,Foul on Moses Kingsley.,60,76
3:02,135,Amir Coffey made Free Throw.,60,77
3:02,135,Amir Coffey made Free Throw.,60,78
3:02,135,Amir Coffey made Free Throw.,60,79
2:55,8,Foul on Arlando Cook.,60,79
2:55,8,Arlando Cook Turnover.,60,79
2:33,135,Nate Mason Turnover.,60,79
2:33,8,Moses Kingsley Steal.,60,79
2:32,135,Foul on Nate Mason.,60,79
2:32,8,Moses Kingsley made Free Throw.,61,79
2:32,8,Moses Kingsley made Free Throw.,62,79
2:17,135,Nate Mason missed Jumper.,62,79
2:14,8,Moses Kingsley Defensive Rebound.,62,79
2:09,8,Dusty Hannahs missed Three Point Jumper.,62,79
2:06,135,Bakary Konate Defensive Rebound.,62,79
1:57,135,Bakary Konate made Layup. Assisted by Nate Mason.,62,81
1:34,8,Moses Kingsley made Jumper.,64,81
1:34,135,Foul on Bakary Konate.,64,81
1:34,8,Moses Kingsley made Free Throw.,65,81
1:21,135,Amir Coffey made Layup.,65,83
1:21,8,Foul on Moses Kingsley.,65,83
1:21,135,Amir Coffey missed Free Throw.,65,83
1:21,8,Trey Thompson Defensive Rebound.,65,83
1:15,8,Jaylen Barford made Jumper.,67,83
0:58,135,Bakary Konate made Dunk. Assisted by Amir Coffey.,67,85
0:58,135,Minnesota  Timeout,67,85
0:50,8,Dusty Hannahs made Layup.,69,85
0:50,8,Arkansas  Timeout,69,85
0:34,135,Foul on Bakary Konate.,69,85
0:34,135,Bakary Konate Turnover.,69,85
0:27,135,Foul on Michael Hurt.,69,85
0:27,8,Dusty Hannahs made Free Throw.,70,85
0:27,8,Dusty Hannahs made Free Throw.,71,85
0:00,135,End of Game,71,85
