Connecticut,Error,Chaminade,41
13:24,-1,Kuany Kuany Turnover.,16,18
13:11,41,Jalen Adams made Jumper.,18,18
12:39,-1,Rohndell Goodwin missed Three Point Jumper.,18,18
12:39,-1,Austin Pope Offensive Rebound.,18,18
12:29,-1,Dantley Walker missed Three Point Jumper.,18,18
12:29,41,Rodney Purvis Defensive Rebound.,18,18
11:57,41,Rodney Purvis missed Three Point Jumper.,18,18
11:57,41,Steven Enoch Offensive Rebound.,18,18
11:54,41,Steven Enoch Turnover.,18,18
11:54,-1,Official TV Timeout,18,18
11:45,-1,Kiran Shastri made Three Point Jumper. Assisted by Sam Daly.,18,21
11:27,41,Christian Vital made Three Point Jumper. Assisted by Rodney Purvis.,21,21
11:07,-1,Kiran Shastri made Three Point Jumper. Assisted by Kuany Kuany.,21,24
10:43,41,Jalen Adams made Jumper.,23,24
10:25,-1,Dantley Walker made Three Point Jumper. Assisted by Sam Daly.,23,27
10:11,-1,Foul on Nate Pollard.,23,27
10:11,41,Rodney Purvis missed Free Throw.,23,27
10:11,41,Connecticut Deadball Team Rebound.,23,27
10:11,41,Rodney Purvis made Free Throw.,24,27
9:59,-1,Kiran Shastri missed Three Point Jumper.,24,27
9:59,41,Amida Brimah Defensive Rebound.,24,27
9:52,41,Jalen Adams made Layup.,26,27
9:31,-1,Rohndell Goodwin missed Three Point Jumper.,26,27
9:31,41,Amida Brimah Defensive Rebound.,26,27
9:25,41,Jalen Adams made Layup.,28,27
9:25,-1,Foul on Kiran Shastri.,28,27
9:25,41,Jalen Adams made Free Throw.,29,27
9:17,-1,Kuany Kuany Turnover.,29,27
9:17,-1,Foul on Kuany Kuany.,29,27
9:05,41,Rodney Purvis Turnover.,29,27
8:52,-1,Rohndell Goodwin made Jumper.,29,29
8:39,41,Amida Brimah Turnover.,29,29
8:39,41,Foul on Amida Brimah.,29,29
8:12,-1,Sam Daly missed Layup.,29,29
8:12,41,Jalen Adams Defensive Rebound.,29,29
8:10,-1,Foul on Kuany Kuany.,29,29
8:01,41,Steven Enoch Turnover.,29,29
7:47,-1,Rohndell Goodwin missed Layup.,29,29
7:47,41,Steven Enoch Defensive Rebound.,29,29
7:39,41,Steven Enoch made Layup. Assisted by Jalen Adams.,31,29
7:21,-1,Rohndell Goodwin missed Layup.,31,29
7:21,41,Christian Vital Block.,31,29
7:19,41,Jalen Adams Defensive Rebound.,31,29
7:13,41,Rodney Purvis made Jumper. Assisted by Christian Vital.,33,29
7:13,-1,Chaminade  Timeout,33,29
7:13,-1,Official TV Timeout,33,29
6:59,-1,Austin Pope missed Layup.,33,29
6:59,41,Juwan Durham Block.,33,29
6:59,-1,Chaminade Offensive Rebound.,33,29
6:55,-1,Austin Pope missed Layup.,33,29
6:55,41,Christian Vital Defensive Rebound.,33,29
6:36,41,Steven Enoch made Layup. Assisted by Jalen Adams.,35,29
6:23,-1,Kuany Kuany made Three Point Jumper. Assisted by Austin Pope.,35,32
6:03,41,Juwan Durham missed Jumper.,35,32
6:03,-1,Kuany Kuany Defensive Rebound.,35,32
5:56,-1,Dantley Walker missed Three Point Jumper.,35,32
5:56,41,Steven Enoch Defensive Rebound.,35,32
5:36,41,Christian Vital missed Three Point Jumper.,35,32
5:36,-1,Austin Pope Defensive Rebound.,35,32
5:29,-1,Austin Pope Turnover.,35,32
5:27,41,Christian Vital Steal.,35,32
5:24,41,Steven Enoch made Dunk. Assisted by Jalen Adams.,37,32
4:51,-1,Sam Daly missed Jumper.,37,32
4:51,41,Steven Enoch Defensive Rebound.,37,32
4:34,41,Steven Enoch made Jumper. Assisted by Jalen Adams.,39,32
4:28,-1,Chaminade  Timeout,39,32
4:28,-1,Official TV Timeout,39,32
4:08,-1,Sam Daly made Three Point Jumper.,39,35
3:49,41,Steven Enoch missed Jumper.,39,35
3:49,-1,Rohndell Goodwin Defensive Rebound.,39,35
3:41,-1,Sam Daly Turnover.,39,35
3:23,41,Christian Vital Turnover.,39,35
3:23,41,Foul on Christian Vital.,39,35
3:09,-1,Austin Pope made Layup.,39,37
3:04,41,Juwan Durham Turnover.,39,37
3:02,-1,Austin Pope Steal.,39,37
3:00,-1,Rohndell Goodwin made Jumper. Assisted by Austin Pope.,39,39
2:54,41,Connecticut  Timeout,39,39
2:31,41,Jalen Adams missed Three Point Jumper.,39,39
2:31,-1,Nate Pollard Defensive Rebound.,39,39
2:14,-1,Austin Pope Turnover.,39,39
2:13,41,Jalen Adams Steal.,39,39
2:11,41,Christian Vital made Layup. Assisted by Jalen Adams.,41,39
1:51,-1,Sam Daly missed Layup.,41,39
1:51,41,Jalen Adams Defensive Rebound.,41,39
1:44,41,Jalen Adams made Layup.,43,39
1:20,-1,Rohndell Goodwin made Three Point Jumper. Assisted by Sam Daly.,43,42
0:58,41,Jalen Adams made Jumper.,45,42
0:38,-1,Austin Pope made Three Point Jumper.,45,45
0:04,41,Rodney Purvis missed Three Point Jumper.,45,45
0:04,41,Jalen Adams Offensive Rebound.,45,45
0:01,41,Connecticut  Timeout,45,45
0:00,-1,End of 1st half,45,45
19:45,-1,Rohndell Goodwin missed Layup.,45,45
19:45,-1,Sam Daly Offensive Rebound.,45,45
19:45,-1,Sam Daly made Layup.,45,47
19:45,-1,Sam Daly made Free Throw.,45,48
19:34,-1,Foul on Sam Daly.,45,48
19:16,41,Jalen Adams made Jumper.,47,48
18:52,-1,Sam Daly Turnover.,47,48
18:51,41,Rodney Purvis Steal.,47,48
18:47,-1,Foul on Kuany Kuany.,47,48
18:47,41,Rodney Purvis made Free Throw.,48,48
18:47,41,Rodney Purvis made Free Throw.,49,48
18:32,-1,Kuany Kuany made Three Point Jumper. Assisted by Sam Daly.,49,51
18:17,41,Rodney Purvis missed Three Point Jumper.,49,51
18:17,-1,Kuany Kuany Defensive Rebound.,49,51
18:08,-1,Kuany Kuany missed Three Point Jumper.,49,51
18:08,41,Jalen Adams Defensive Rebound.,49,51
17:59,41,Jalen Adams made Layup.,51,51
17:42,-1,Kiran Shastri made Three Point Jumper. Assisted by Kuany Kuany.,51,54
17:24,41,Vance Jackson missed Three Point Jumper.,51,54
17:24,-1,Austin Pope Defensive Rebound.,51,54
17:15,-1,Kiran Shastri missed Three Point Jumper.,51,54
17:15,41,Rodney Purvis Defensive Rebound.,51,54
17:06,41,Vance Jackson made Layup. Assisted by Rodney Purvis.,53,54
16:49,-1,Rohndell Goodwin missed Layup.,53,54
16:49,41,Amida Brimah Block.,53,54
16:49,-1,Chaminade Offensive Rebound.,53,54
16:46,-1,Kiran Shastri missed Three Point Jumper.,53,54
16:46,41,Kentan Facey Defensive Rebound.,53,54
16:38,41,Rodney Purvis made Layup.,55,54
16:30,41,Foul on Christian Vital.,55,54
16:26,-1,Sam Daly made Layup.,55,56
16:18,41,Jalen Adams missed Layup.,55,56
16:18,41,Vance Jackson Offensive Rebound.,55,56
16:15,-1,Foul on Austin Pope.,55,56
16:15,41,Vance Jackson missed Free Throw.,55,56
16:15,41,Connecticut Deadball Team Rebound.,55,56
16:15,41,Vance Jackson missed Free Throw.,55,56
16:15,41,Kentan Facey Offensive Rebound.,55,56
15:51,41,Rodney Purvis made Jumper.,57,56
15:31,-1,Rohndell Goodwin missed Three Point Jumper.,57,56
15:31,41,Kentan Facey Defensive Rebound.,57,56
15:23,41,Rodney Purvis missed Jumper.,57,56
15:23,-1,Austin Pope Block.,57,56
15:19,-1,Rohndell Goodwin Defensive Rebound.,57,56
15:03,-1,Kuany Kuany missed Layup.,57,56
15:03,41,Rodney Purvis Block.,57,56
14:58,41,Rodney Purvis Defensive Rebound.,57,56
14:44,-1,Official TV Timeout,57,56
14:35,41,Jalen Adams made Layup.,59,56
14:16,-1,Sam Daly made Jumper.,59,58
13:56,41,Jalen Adams made Jumper.,61,58
13:42,41,Foul on Jalen Adams.,61,58
13:39,-1,Rohndell Goodwin missed Three Point Jumper.,61,58
13:39,41,Kentan Facey Defensive Rebound.,61,58
13:25,41,Rodney Purvis missed Three Point Jumper.,61,58
13:25,-1,Rohndell Goodwin Defensive Rebound.,61,58
13:14,-1,Sam Daly made Jumper.,61,60
12:41,41,Vance Jackson missed Three Point Jumper.,61,60
12:41,-1,Rohndell Goodwin Block.,61,60
12:40,41,Connecticut Offensive Rebound.,61,60
12:39,41,Amida Brimah made Jumper. Assisted by Rodney Purvis.,63,60
12:19,41,Foul on Juwan Durham.,63,60
12:12,41,Foul on Rodney Purvis.,63,60
11:57,-1,Rohndell Goodwin missed Layup.,63,60
11:57,41,Juwan Durham Block.,63,60
11:55,41,Amida Brimah Defensive Rebound.,63,60
11:48,41,Amida Brimah missed Layup.,63,60
11:48,-1,Nate Pollard Block.,63,60
11:46,-1,Rohndell Goodwin Defensive Rebound.,63,60
11:43,-1,Rohndell Goodwin made Layup.,63,62
11:29,-1,Foul on Nate Pollard.,63,62
11:29,-1,Official TV Timeout,63,62
11:21,41,Rodney Purvis missed Jumper.,63,62
11:21,-1,Nate Pollard Defensive Rebound.,63,62
11:03,-1,Kiran Shastri Turnover.,63,62
11:02,41,Amida Brimah Steal.,63,62
10:57,41,Rodney Purvis missed Layup.,63,62
10:57,41,Vance Jackson Offensive Rebound.,63,62
10:53,41,Vance Jackson missed Layup.,63,62
10:53,41,Rodney Purvis Offensive Rebound.,63,62
10:43,41,Amida Brimah made Dunk. Assisted by Jalen Adams.,65,62
10:27,-1,Rohndell Goodwin missed Three Point Jumper.,65,62
10:27,41,Vance Jackson Defensive Rebound.,65,62
10:13,41,Amida Brimah made Dunk. Assisted by Vance Jackson.,67,62
10:13,-1,Foul on Nate Pollard.,67,62
10:13,41,Amida Brimah made Free Throw.,68,62
9:55,-1,Austin Pope missed Jumper.,68,62
9:55,41,Rodney Purvis Defensive Rebound.,68,62
9:49,41,Rodney Purvis Turnover.,68,62
9:30,-1,Kuany Kuany missed Three Point Jumper.,68,62
9:30,-1,Austin Pope Offensive Rebound.,68,62
9:26,-1,Austin Pope made Layup.,68,64
9:26,41,Foul on Vance Jackson.,68,64
9:26,-1,Austin Pope missed Free Throw.,68,64
9:26,41,Vance Jackson Defensive Rebound.,68,64
9:03,41,Kentan Facey made Layup. Assisted by Jalen Adams.,70,64
8:44,-1,Kuany Kuany made Three Point Jumper.,70,67
8:21,-1,Foul on Kiran Shastri.,70,67
8:12,41,Kentan Facey made Layup. Assisted by Rodney Purvis.,72,67
7:55,-1,Rohndell Goodwin missed Layup.,72,67
7:55,41,Kentan Facey Block.,72,67
7:53,41,Vance Jackson Defensive Rebound.,72,67
7:51,-1,Foul on Austin Pope.,72,67
7:51,-1,Official TV Timeout,72,67
7:51,41,Vance Jackson made Free Throw.,73,67
7:51,41,Vance Jackson missed Free Throw.,73,67
7:51,-1,Austin Pope Defensive Rebound.,73,67
7:38,-1,Austin Pope Turnover.,73,67
7:36,41,Christian Vital Steal.,73,67
7:36,-1,Foul on Dantley Walker.,73,67
7:36,41,Christian Vital missed Free Throw.,73,67
7:36,-1,Kuany Kuany Defensive Rebound.,73,67
7:09,-1,Rohndell Goodwin made Jumper.,73,69
6:53,41,Rodney Purvis made Jumper. Assisted by Christian Vital.,75,69
6:26,-1,Austin Pope missed Three Point Jumper.,75,69
6:26,41,Jalen Adams Defensive Rebound.,75,69
6:05,41,Vance Jackson made Layup.,77,69
6:05,-1,Foul on Kuany Kuany.,77,69
6:05,41,Vance Jackson missed Free Throw.,77,69
6:05,-1,Kuany Kuany Defensive Rebound.,77,69
5:54,41,Foul on Vance Jackson.,77,69
5:54,-1,Kiran Shastri made Free Throw.,77,70
5:54,-1,Kiran Shastri made Free Throw.,77,71
5:29,41,Rodney Purvis made Three Point Jumper.,80,71
5:09,-1,Kiran Shastri made Three Point Jumper. Assisted by Sam Daly.,80,74
4:49,41,Christian Vital missed Three Point Jumper.,80,74
4:49,-1,Chaminade Defensive Rebound.,80,74
4:26,41,Foul on Juwan Durham.,80,74
4:26,-1,Kiran Shastri made Free Throw.,80,75
4:26,-1,Kiran Shastri made Free Throw.,80,76
4:04,-1,Foul on Kiran Shastri.,80,76
4:04,41,Vance Jackson made Free Throw.,81,76
4:04,41,Vance Jackson made Free Throw.,82,76
3:56,41,Foul on Vance Jackson.,82,76
3:56,-1,Official TV Timeout,82,76
3:56,-1,Sam Daly missed Free Throw.,82,76
3:56,-1,Chaminade Deadball Team Rebound.,82,76
3:56,-1,Sam Daly made Free Throw.,82,77
3:41,41,Rodney Purvis made Three Point Jumper. Assisted by Jalen Adams.,85,77
3:20,-1,Kiran Shastri missed Jumper.,85,77
3:20,41,Rodney Purvis Defensive Rebound.,85,77
3:03,41,Rodney Purvis made Three Point Jumper. Assisted by Christian Vital.,88,77
2:37,-1,Rohndell Goodwin missed Three Point Jumper.,88,77
2:37,41,Jalen Adams Defensive Rebound.,88,77
2:19,41,Rodney Purvis missed Layup.,88,77
2:19,-1,Rohndell Goodwin Defensive Rebound.,88,77
2:15,-1,Foul on Austin Pope.,88,77
2:00,-1,Rohndell Goodwin made Layup.,88,79
1:44,41,Jalen Adams made Layup.,90,79
1:27,-1,Sam Daly missed Jumper.,90,79
1:27,41,Juwan Durham Block.,90,79
1:24,41,Christian Vital Defensive Rebound.,90,79
0:56,41,Jalen Adams missed Three Point Jumper.,90,79
0:56,-1,Kuany Kuany Defensive Rebound.,90,79
0:46,-1,Kiran Shastri missed Three Point Jumper.,90,79
0:46,41,Kentan Facey Defensive Rebound.,90,79
0:21,41,Rodney Purvis made Three Point Jumper.,93,79
0:12,-1,Sam Daly made Three Point Jumper.,93,82
0:00,-1,End of Game,93,82
