Bethune-Cookman,301,San Diego,2065
12:31,2065,Reggie Baker Defensive Rebound.,6,7
12:11,2065,Ulmer Manzie missed Jumper.,6,7
12:11,301,Frank Ryder Defensive Rebound.,6,7
11:48,301,Official TV Timeout,6,7
11:43,301,Cameron Neubauer made Three Point Jumper.,6,10
11:21,2065,Reggie Baker made Three Point Jumper. Assisted by Diamante Lewis.,9,10
10:58,301,Olin Carter III made Three Point Jumper. Assisted by Mark Carbone.,9,13
10:28,2065,Brandon Tabb missed Three Point Jumper.,9,13
10:28,2065,Ulmer Manzie Offensive Rebound.,9,13
10:11,2065,Diamante Lewis missed Three Point Jumper.,9,13
10:11,301,Cameron Neubauer Defensive Rebound.,9,13
9:49,301,Olin Carter III made Three Point Jumper.,9,16
9:30,2065,Jeffrey Altidort missed Jumper.,9,16
9:30,2065,Ulmer Manzie Offensive Rebound.,9,16
9:30,301,Foul on Cameron Neubauer.,9,16
9:15,2065,Ulmer Manzie made Jumper.,11,16
8:54,301,Frank Ryder missed Jumper.,11,16
8:54,2065,Brandon Tabb Block.,11,16
8:51,2065,Brandon Tabb Defensive Rebound.,11,16
8:47,301,Foul on Frank Ryder.,11,16
8:47,2065,Ulmer Manzie missed Free Throw.,11,16
8:47,2065,Bethune-Cookman Deadball Team Rebound.,11,16
8:47,2065,Ulmer Manzie missed Free Throw.,11,16
8:47,301,Cameron Neubauer Defensive Rebound.,11,16
8:30,301,Olin Carter III made Three Point Jumper. Assisted by Cameron Neubauer.,11,19
7:59,2065,Reggie Baker missed Three Point Jumper.,11,19
7:59,2065,Bethune-Cookman Offensive Rebound.,11,19
7:58,301,Foul on Cameron Neubauer.,11,19
7:55,2065,Foul on Brandon Tabb.,11,19
7:55,2065,Brandon Tabb Turnover.,11,19
7:55,301,Olin Carter III made Free Throw.,11,20
7:55,301,Olin Carter III made Free Throw.,11,21
7:40,301,Brett Bailey Turnover.,11,21
7:13,2065,Reggie Baker missed Jumper.,11,21
7:13,2065,Houston Smith Offensive Rebound.,11,21
7:13,301,Foul on Mark Carbone.,11,21
6:53,2065,Ulmer Manzie missed Jumper.,11,21
6:53,2065,Diamante Lewis Offensive Rebound.,11,21
6:49,2065,Diamante Lewis missed Jumper.,11,21
6:48,2065,Ulmer Manzie Offensive Rebound.,11,21
6:43,2065,Brandon Tabb missed Three Point Jumper.,11,21
6:43,301,Brett Bailey Defensive Rebound.,11,21
6:37,2065,Foul on Reggie Baker.,11,21
6:37,2065,Reggie Baker Turnover.,11,21
6:37,301,Frank Ryder made Jumper. Assisted by Mark Carbone.,11,23
6:37,301,Foul on Mark Carbone.,11,23
6:37,2065,Diamante Lewis made Free Throw.,12,23
6:37,2065,Diamante Lewis missed Free Throw.,12,23
6:37,301,San Diego Defensive Rebound.,12,23
6:30,301,Brett Bailey Turnover.,12,23
6:29,2065,Brandon Suggs Steal.,12,23
6:23,2065,Reggie Baker made Layup.,14,23
5:57,301,Brett Bailey made Jumper.,14,25
5:41,301,Foul on Tyler Williams.,14,25
5:13,2065,Jeffrey Altidort missed Free Throw.,14,25
5:13,301,Brett Bailey Defensive Rebound.,14,25
4:58,301,Tyler Williams made Three Point Jumper. Assisted by Olin Carter III.,14,28
4:39,2065,Reggie Baker made Layup.,16,28
4:39,301,Foul on Brett Bailey.,16,28
4:39,2065,Reggie Baker made Free Throw.,17,28
4:17,301,Tyler Williams missed Jumper.,17,28
4:17,2065,Bethune-Cookman Defensive Rebound.,17,28
3:53,2065,Josue Salaam missed Three Point Jumper.,17,28
3:53,301,Brett Bailey Defensive Rebound.,17,28
3:37,301,Brett Bailey made Dunk.,17,30
3:17,2065,Jeffrey Altidort Turnover.,17,30
3:03,301,Olin Carter III made Three Point Jumper. Assisted by Cameron Neubauer.,17,33
2:42,2065,Brandon Suggs missed Jumper.,17,33
2:42,301,Olin Carter III Defensive Rebound.,17,33
2:33,301,Cameron Neubauer missed Jumper.,17,33
2:33,301,Juwan Gray Offensive Rebound.,17,33
2:24,301,Juwan Gray made Three Point Jumper.,17,36
1:59,2065,Jeffrey Altidort missed Three Point Jumper.,17,36
1:59,301,Tyler Williams Defensive Rebound.,17,36
1:53,301,Olin Carter III missed Three Point Jumper.,17,36
1:53,301,Juwan Gray Offensive Rebound.,17,36
1:50,2065,Foul on Houston Smith.,17,36
1:41,301,Foul on Brett Bailey.,17,36
1:41,301,Brett Bailey Turnover.,17,36
1:30,2065,Diamante Lewis missed Jumper.,17,36
1:30,2065,Diamante Lewis Offensive Rebound.,17,36
1:28,2065,Diamante Lewis missed Jumper.,17,36
1:28,2065,Brandon Suggs Offensive Rebound.,17,36
1:16,301,Foul on Frank Ryder.,17,36
1:16,2065,Brandon Suggs made Free Throw.,18,36
1:16,2065,Brandon Suggs made Free Throw.,19,36
0:59,301,Brett Bailey made Layup. Assisted by Cameron Neubauer.,19,38
0:33,2065,Reggie Baker made Jumper.,21,38
0:08,301,Cameron Neubauer made Layup.,21,40
0:08,2065,Foul on Diamante Lewis.,21,40
0:08,301,Cameron Neubauer made Free Throw.,21,41
0:00,2065,Reggie Baker made Layup.,23,41
0:00,301,End of 1st half,23,41
19:50,301,Foul on Cameron Neubauer.,23,41
19:34,2065,Foul on Brandon Suggs.,23,41
19:34,2065,Brandon Suggs Turnover.,23,41
19:11,301,Olin Carter III missed Jumper.,23,41
19:11,2065,Brandon Tabb Defensive Rebound.,23,41
19:03,2065,Brandon Tabb made Jumper.,25,41
18:48,301,Cameron Neubauer missed Three Point Jumper.,25,41
18:48,2065,Jeffrey Altidort Defensive Rebound.,25,41
18:40,301,Foul on Olin Carter III.,25,41
18:37,2065,Quinton Forrest made Layup. Assisted by Jeffrey Altidort.,27,41
18:29,2065,Foul on Josue Salaam.,27,41
18:13,301,Olin Carter III missed Three Point Jumper.,27,41
18:13,301,Juwan Gray Offensive Rebound.,27,41
18:09,2065,Foul on Jeffrey Altidort.,27,41
18:09,301,Juwan Gray missed Free Throw.,27,41
18:09,301,San Diego Deadball Team Rebound.,27,41
18:09,301,Juwan Gray made Free Throw.,27,42
17:58,2065,Brandon Suggs made Dunk. Assisted by Jeffrey Altidort.,29,42
17:44,301,Juwan Gray made Three Point Jumper. Assisted by Brett Bailey.,29,45
17:27,2065,Foul on Josue Salaam.,29,45
17:27,2065,Josue Salaam Turnover.,29,45
17:08,301,Brett Bailey Turnover.,29,45
17:08,301,Foul on Brett Bailey.,29,45
17:00,2065,Quinton Forrest made Layup.,31,45
16:40,301,Tyler Williams missed Three Point Jumper.,31,45
16:40,2065,Jeffrey Altidort Defensive Rebound.,31,45
16:31,2065,Brandon Tabb made Three Point Jumper. Assisted by Josue Salaam.,34,45
16:31,2065,Bethune-Cookman  Timeout,34,45
16:08,2065,Foul on Jeffrey Altidort.,34,45
15:52,301,Cameron Neubauer Turnover.,34,45
15:52,301,Official TV Timeout,34,45
15:27,2065,Jeffrey Altidort missed Jumper.,34,45
15:27,301,Nassir Barrino Defensive Rebound.,34,45
15:02,301,Brett Bailey missed Jumper.,34,45
15:02,301,Cameron Neubauer Offensive Rebound.,34,45
14:42,301,Nassir Barrino missed Jumper.,34,45
14:42,2065,Brandon Suggs Defensive Rebound.,34,45
14:33,2065,Brandon Tabb made Three Point Jumper. Assisted by Josue Salaam.,37,45
14:12,2065,Foul on Brandon Tabb.,37,45
14:09,301,Brett Bailey made Dunk.,37,47
13:41,2065,Reggie Baker Turnover.,37,47
13:38,301,Nassir Barrino Steal.,37,47
13:28,301,Brett Bailey Turnover.,37,47
13:28,2065,Quinton Forrest Steal.,37,47
13:28,301,Foul on Brett Bailey.,37,47
13:10,2065,Reggie Baker missed Jumper.,37,47
13:10,2065,Reggie Baker Offensive Rebound.,37,47
13:02,2065,Jeffrey Altidort Turnover.,37,47
13:01,301,Nassir Barrino Steal.,37,47
13:00,2065,Foul on Reggie Baker.,37,47
13:00,301,Nassir Barrino missed Free Throw.,37,47
13:00,301,San Diego Deadball Team Rebound.,37,47
13:00,301,Nassir Barrino made Free Throw.,37,48
12:49,2065,Foul on Diamante Lewis.,37,48
12:49,2065,Diamante Lewis Turnover.,37,48
12:23,301,Frank Ryder missed Jumper.,37,48
12:23,2065,Quinton Forrest Defensive Rebound.,37,48
12:15,2065,Brandon Tabb missed Jumper.,37,48
12:15,301,Tyler Williams Defensive Rebound.,37,48
12:06,301,Frank Ryder made Jumper. Assisted by Olin Carter III.,37,50
11:58,301,Official TV Timeout,37,50
11:44,2065,Jeffrey Altidort made Jumper.,39,50
11:32,301,Mark Carbone missed Three Point Jumper.,39,50
11:32,2065,Brandon Tabb Defensive Rebound.,39,50
11:18,2065,Brandon Suggs made Jumper. Assisted by Jeffrey Altidort.,41,50
11:18,301,Foul on Frank Ryder.,41,50
11:18,2065,Brandon Suggs made Free Throw.,42,50
11:09,2065,Foul on Brandon Tabb.,42,50
11:09,301,Mark Carbone made Free Throw.,42,51
11:09,301,Mark Carbone made Free Throw.,42,52
10:49,2065,Quinton Forrest made Layup. Assisted by Brandon Tabb.,44,52
10:33,301,Olin Carter III made Jumper.,44,54
10:16,301,Foul on Olin Carter III.,44,54
10:16,2065,Jeffrey Altidort missed Free Throw.,44,54
10:16,2065,Bethune-Cookman Deadball Team Rebound.,44,54
10:16,2065,Jeffrey Altidort missed Free Throw.,44,54
10:16,301,Juwan Gray Defensive Rebound.,44,54
10:08,301,Olin Carter III Turnover.,44,54
10:06,2065,Jeffrey Altidort Steal.,44,54
10:04,2065,Quinton Forrest made Dunk. Assisted by Jeffrey Altidort.,46,54
9:51,301,Tyler Williams Turnover.,46,54
9:50,2065,Jeffrey Altidort Steal.,46,54
9:45,2065,Quinton Forrest made Layup. Assisted by Jeffrey Altidort.,48,54
9:45,301,San Diego  Timeout,48,54
9:39,2065,Foul on Josue Salaam.,48,54
9:39,301,Nassir Barrino missed Free Throw.,48,54
9:39,301,San Diego Deadball Team Rebound.,48,54
9:39,301,Nassir Barrino missed Free Throw.,48,54
9:39,2065,Brandon Suggs Defensive Rebound.,48,54
9:29,301,Foul on Nassir Barrino.,48,54
9:29,2065,Jeffrey Altidort made Free Throw.,49,54
9:29,2065,Jeffrey Altidort missed Free Throw.,49,54
9:29,301,Juwan Gray Defensive Rebound.,49,54
9:02,301,Cameron Neubauer missed Three Point Jumper.,49,54
9:02,301,San Diego Offensive Rebound.,49,54
9:01,301,San Diego  Turnover.,49,54
8:47,2065,Brandon Suggs made Jumper. Assisted by Jeffrey Altidort.,51,54
8:13,301,Frank Ryder Turnover.,51,54
8:00,2065,Brandon Suggs missed Jumper.,51,54
8:00,301,Juwan Gray Defensive Rebound.,51,54
7:35,301,Nassir Barrino missed Jumper.,51,54
7:35,2065,Quinton Forrest Block.,51,54
7:33,2065,Jeffrey Altidort Defensive Rebound.,51,54
7:29,2065,Brandon Tabb Turnover.,51,54
7:20,301,Official TV Timeout,51,54
7:09,301,Olin Carter III Turnover.,51,54
7:08,2065,Ulmer Manzie Steal.,51,54
7:04,301,Foul on Olin Carter III.,51,54
7:04,2065,Jeffrey Altidort missed Free Throw.,51,54
7:04,2065,Bethune-Cookman Deadball Team Rebound.,51,54
7:04,2065,Jeffrey Altidort missed Free Throw.,51,54
7:04,301,Juwan Gray Defensive Rebound.,51,54
6:39,301,Olin Carter III made Three Point Jumper. Assisted by Juwan Gray.,51,57
6:25,2065,Jeffrey Altidort made Layup.,53,57
6:06,301,Cameron Neubauer Turnover.,53,57
6:05,2065,Jeffrey Altidort Steal.,53,57
6:03,2065,Jeffrey Altidort made Layup.,55,57
5:35,2065,Foul on Quinton Forrest.,55,57
5:35,301,Brett Bailey made Free Throw.,55,58
5:35,301,Brett Bailey missed Free Throw.,55,58
5:35,2065,Ulmer Manzie Defensive Rebound.,55,58
5:31,2065,Ulmer Manzie Turnover.,55,58
5:23,301,Olin Carter III missed Three Point Jumper.,55,58
5:23,2065,Josue Salaam Defensive Rebound.,55,58
5:10,301,Foul on Juwan Gray.,55,58
5:10,2065,Jeffrey Altidort missed Free Throw.,55,58
5:10,2065,Bethune-Cookman Deadball Team Rebound.,55,58
5:10,2065,Jeffrey Altidort missed Free Throw.,55,58
5:10,301,Juwan Gray Defensive Rebound.,55,58
4:41,301,Brett Bailey missed Jumper.,55,58
4:41,301,Juwan Gray Offensive Rebound.,55,58
4:36,301,Juwan Gray made Dunk.,55,60
4:18,2065,Brandon Tabb made Three Point Jumper.,58,60
4:17,2065,Bethune-Cookman  Timeout,58,60
3:45,301,Tyler Williams missed Jumper.,58,60
3:45,2065,Brandon Suggs Defensive Rebound.,58,60
3:23,301,Foul on Cameron Neubauer.,58,60
3:23,2065,Brandon Tabb made Free Throw.,59,60
3:23,2065,Brandon Tabb made Free Throw.,60,60
3:10,301,Brett Bailey made Layup. Assisted by Olin Carter III.,60,62
2:45,2065,Jeffrey Altidort missed Layup.,60,62
2:45,301,Brett Bailey Defensive Rebound.,60,62
2:24,301,Olin Carter III missed Three Point Jumper.,60,62
2:24,301,Cameron Neubauer Offensive Rebound.,60,62
2:09,301,Brett Bailey missed Three Point Jumper.,60,62
2:09,301,Cameron Neubauer Offensive Rebound.,60,62
2:02,2065,Foul on Brandon Suggs.,60,62
1:57,301,Cameron Neubauer missed Free Throw.,60,62
1:57,301,San Diego Deadball Team Rebound.,60,62
1:40,301,Foul on Nassir Barrino.,60,62
1:40,2065,Jeffrey Altidort made Free Throw.,61,62
1:40,2065,Jeffrey Altidort made Free Throw.,62,62
1:39,301,Cameron Neubauer missed Free Throw.,62,62
1:39,2065,Quinton Forrest Defensive Rebound.,62,62
1:19,301,Olin Carter III missed Three Point Jumper.,62,62
1:19,2065,Quinton Forrest Defensive Rebound.,62,62
0:51,2065,Brandon Tabb missed Three Point Jumper.,62,62
0:51,2065,Quinton Forrest Offensive Rebound.,62,62
0:51,301,Foul on Olin Carter III.,62,62
0:51,301,San Diego  Timeout,62,62
0:51,2065,Quinton Forrest missed Free Throw.,62,62
0:51,2065,Bethune-Cookman Deadball Team Rebound.,62,62
0:51,2065,Quinton Forrest missed Free Throw.,62,62
0:51,301,Brett Bailey Defensive Rebound.,62,62
0:36,301,Brett Bailey made Layup.,62,64
0:15,2065,Reggie Baker missed Jumper.,62,64
0:15,2065,Quinton Forrest Offensive Rebound.,62,64
0:14,2065,Quinton Forrest made Jumper.,64,64
0:14,301,Foul on Cameron Neubauer.,64,64
0:14,2065,Quinton Forrest missed Free Throw.,64,64
0:14,301,Brett Bailey Defensive Rebound.,64,64
0:10,301,San Diego  Timeout,64,64
0:02,301,Brett Bailey missed Jumper.,64,64
0:02,2065,Quinton Forrest Block.,64,64
0:02,2065,Bethune-Cookman Defensive Rebound.,64,64
0:02,2065,Bethune-Cookman  Timeout,64,64
0:01,2065,Jeffrey Altidort Turnover.,64,64
0:00,301,End of 2nd half,64,64
4:52,301,Foul on Nassir Barrino.,64,64
4:52,2065,Jeffrey Altidort made Free Throw.,65,64
4:52,2065,Jeffrey Altidort missed Free Throw.,65,64
4:52,301,Brett Bailey Defensive Rebound.,65,64
4:21,301,Tyler Williams made Jumper.,65,66
4:08,2065,Quinton Forrest made Layup. Assisted by Jeffrey Altidort.,67,66
3:48,2065,Foul on Quinton Forrest.,67,66
3:48,301,Nassir Barrino missed Free Throw.,67,66
3:48,301,San Diego Deadball Team Rebound.,67,66
3:48,301,Nassir Barrino missed Free Throw.,67,66
3:48,2065,Brandon Tabb Defensive Rebound.,67,66
3:29,2065,Reggie Baker missed Jumper.,67,66
3:29,2065,Houston Smith Offensive Rebound.,67,66
3:22,2065,Reggie Baker Turnover.,67,66
3:20,301,Nassir Barrino Steal.,67,66
2:56,301,Tyler Williams made Three Point Jumper. Assisted by Brett Bailey.,67,69
2:38,2065,Brandon Tabb missed Three Point Jumper.,67,69
2:38,301,Brett Bailey Defensive Rebound.,67,69
2:19,301,Juwan Gray missed Jumper.,67,69
2:19,2065,Jeffrey Altidort Defensive Rebound.,67,69
1:59,2065,Jeffrey Altidort made Layup.,69,69
1:41,2065,Foul on Quinton Forrest.,69,69
1:41,301,Juwan Gray missed Free Throw.,69,69
1:41,301,San Diego Deadball Team Rebound.,69,69
1:41,301,Juwan Gray made Free Throw.,69,70
1:30,2065,Reggie Baker Turnover.,69,70
1:27,301,Nassir Barrino Steal.,69,70
1:04,301,Brett Bailey missed Jumper.,69,70
1:04,301,Nassir Barrino Offensive Rebound.,69,70
0:59,301,San Diego  Turnover.,69,70
0:34,2065,Jeffrey Altidort missed Jumper.,69,70
0:34,301,Brett Bailey Block.,69,70
0:32,301,Juwan Gray Defensive Rebound.,69,70
0:25,301,San Diego  Timeout,69,70
0:11,301,Brett Bailey made Jumper.,69,72
0:09,2065,Bethune-Cookman  Timeout,69,72
0:03,2065,Brandon Tabb made Three Point Jumper.,72,72
0:00,301,End of 1st overtime,72,72
4:32,301,Brett Bailey missed Three Point Jumper.,72,72
4:32,2065,Brandon Tabb Defensive Rebound.,72,72
4:25,2065,Foul on Quinton Forrest.,72,72
4:25,2065,Quinton Forrest Turnover.,72,72
4:10,301,Tyler Williams Turnover.,72,72
4:10,2065,Jeffrey Altidort made Layup.,74,72
4:04,301,Brett Bailey Turnover.,74,72
4:03,2065,Houston Smith Steal.,74,72
2:58,2065,Josue Salaam missed Three Point Jumper.,74,72
2:58,301,Juwan Gray Defensive Rebound.,74,72
2:54,2065,Foul on Brandon Tabb.,74,72
2:54,301,Nassir Barrino made Free Throw.,74,73
2:54,301,Nassir Barrino missed Free Throw.,74,73
2:54,2065,Brandon Suggs Defensive Rebound.,74,73
2:27,2065,Jeffrey Altidort missed Jumper.,74,73
2:27,301,Juwan Gray Defensive Rebound.,74,73
2:00,301,Brett Bailey missed Three Point Jumper.,74,73
2:00,2065,Jeffrey Altidort Defensive Rebound.,74,73
1:53,2065,Brandon Tabb missed Three Point Jumper.,74,73
1:53,301,Nassir Barrino Defensive Rebound.,74,73
1:43,301,Nassir Barrino missed Jumper.,74,73
1:43,2065,Brandon Tabb Defensive Rebound.,74,73
1:42,301,Foul on Tyler Williams.,74,73
1:42,2065,Brandon Tabb missed Free Throw.,74,73
1:42,2065,Bethune-Cookman Deadball Team Rebound.,74,73
1:42,2065,Brandon Tabb made Free Throw.,75,73
1:29,301,Mark Carbone missed Three Point Jumper.,75,73
1:29,2065,Brandon Tabb Defensive Rebound.,75,73
1:02,2065,Jeffrey Altidort missed Jumper.,75,73
1:02,301,Tyler Williams Defensive Rebound.,75,73
1:01,2065,Foul on Brandon Suggs.,75,73
1:01,301,Tyler Williams made Free Throw.,75,74
1:01,301,Tyler Williams made Free Throw.,75,75
0:43,2065,Jeffrey Altidort made Jumper.,77,75
0:40,301,San Diego  Timeout,77,75
0:26,301,Brett Bailey made Layup.,77,77
0:02,2065,Jeffrey Altidort missed Jumper.,77,77
0:02,301,Juwan Gray Defensive Rebound.,77,77
0:00,301,End of 2nd overtime,77,77
4:48,2065,Foul on Houston Smith.,77,77
4:48,301,Brett Bailey made Free Throw.,77,78
4:48,301,Brett Bailey made Free Throw.,77,79
4:23,2065,Josue Salaam Turnover.,77,79
4:21,301,Mark Carbone Steal.,77,79
4:18,301,Nassir Barrino missed Layup.,77,79
4:18,2065,Jeffrey Altidort Defensive Rebound.,77,79
3:59,2065,Brandon Tabb made Jumper.,79,79
3:37,301,Brett Bailey made Three Point Jumper.,79,82
3:19,2065,Brandon Tabb missed Three Point Jumper.,79,82
3:19,301,Brett Bailey Defensive Rebound.,79,82
2:52,301,Tyler Williams made Three Point Jumper. Assisted by Nassir Barrino.,79,85
2:36,2065,Josue Salaam missed Three Point Jumper.,79,85
2:36,2065,Ulmer Manzie Offensive Rebound.,79,85
2:29,2065,Brandon Tabb made Three Point Jumper. Assisted by Brandon Suggs.,82,85
2:26,2065,Bethune-Cookman  Timeout,82,85
2:13,301,Juwan Gray made Three Point Jumper. Assisted by Mark Carbone.,82,88
1:55,2065,Reggie Baker Turnover.,82,88
1:43,301,Brett Bailey made Layup. Assisted by Nassir Barrino.,82,90
1:35,2065,Jeffrey Altidort missed Jumper.,82,90
1:35,301,Tyler Williams Block.,82,90
1:35,2065,Bethune-Cookman Offensive Rebound.,82,90
1:30,2065,Brandon Tabb made Jumper.,84,90
0:59,301,Nassir Barrino missed Jumper.,84,90
0:59,2065,Brandon Tabb Defensive Rebound.,84,90
0:53,2065,Reggie Baker made Layup. Assisted by Brandon Tabb.,86,90
0:32,301,Mark Carbone made Three Point Jumper. Assisted by Juwan Gray.,86,93
0:21,2065,Reggie Baker missed Layup.,86,93
0:21,301,Juwan Gray Defensive Rebound.,86,93
0:21,301,Tyler Williams Turnover.,86,93
0:21,2065,Jeffrey Altidort Steal.,86,93
0:21,2065,Brandon Tabb made Three Point Jumper.,89,93
0:13,301,Juwan Gray made Layup. Assisted by Brett Bailey.,89,95
0:13,2065,Foul on Jeffrey Altidort.,89,95
0:13,301,Technical Foul on Juwan Gray.,89,95
0:13,301,Foul on Juwan Gray.,89,95
0:13,2065,Brandon Tabb made Free Throw.,90,95
0:13,2065,Brandon Tabb made Free Throw.,91,95
0:13,301,Juwan Gray made Free Throw.,91,96
0:08,2065,Reggie Baker missed Layup.,91,96
0:08,301,Juwan Gray Defensive Rebound.,91,96
0:00,301,End of Game,91,96
