UC Santa Barbara,147,Montana State,2540
12:33,147,Isaac Bonton made Free Throw.,59,45
12:33,147,Isaac Bonton made Free Throw.,59,46
12:11,2540,Max Heidegger missed Layup.,59,46
12:11,147,Zach Green Defensive Rebound.,59,46
12:04,147,Isaac Bonton missed Three Point Jumper.,59,46
12:04,2540,Gabe Vincent Defensive Rebound.,59,46
11:50,2540,Jalen Canty made Layup. Assisted by Marcus Jackson.,61,46
11:50,147,Foul on Keljin Blevins.,61,46
11:50,147,Official TV Timeout,61,46
11:50,2540,Jalen Canty missed Free Throw.,61,46
11:50,147,Joe Mvuezolo Jr. Defensive Rebound.,61,46
11:32,147,Isaac Bonton missed Jumper.,61,46
11:32,2540,Leland King II Defensive Rebound.,61,46
11:26,147,Foul on Keljin Blevins.,61,46
11:23,2540,Leland King II made Three Point Jumper.,64,46
10:57,147,Keljin Blevins missed Layup.,64,46
10:57,2540,Gabe Vincent Defensive Rebound.,64,46
10:48,2540,Max Heidegger made Layup.,66,46
10:32,147,Isaac Bonton missed Jumper.,66,46
10:32,2540,Ami Lakoju Defensive Rebound.,66,46
10:23,2540,Max Heidegger missed Layup.,66,46
10:23,147,Joe Mvuezolo Jr. Defensive Rebound.,66,46
9:59,147,Keljin Blevins made Layup. Assisted by Harald Frey.,66,48
9:34,2540,Leland King II made Jumper.,68,48
9:32,2540,UC Santa Barbara  Timeout,68,48
9:16,147,Tyler Hall missed Three Point Jumper.,68,48
9:16,2540,Leland King II Defensive Rebound.,68,48
9:08,2540,Leland King II made Layup. Assisted by Max Heidegger.,70,48
8:50,147,Joe Mvuezolo Jr. made Three Point Jumper.,70,51
8:23,147,Foul on Devonte Klines.,70,51
8:23,2540,Max Heidegger missed Free Throw.,70,51
8:23,2540,Jalen Canty Offensive Rebound.,70,51
8:18,2540,Jalen Canty made Dunk.,72,51
8:16,147,Montana State  Timeout,72,51
7:58,147,Keljin Blevins missed Jumper.,72,51
7:58,147,Keljin Blevins Offensive Rebound.,72,51
7:58,2540,Foul on Brandon Davis.,72,51
7:58,147,Keljin Blevins made Free Throw.,72,52
7:58,147,Keljin Blevins missed Free Throw.,72,52
7:58,147,Tyler Hall Offensive Rebound.,72,52
7:49,147,Tyler Hall made Three Point Jumper.,72,55
7:49,147,Tyler Hall made Free Throw.,72,56
7:31,2540,Leland King II made Three Point Jumper. Assisted by Gabe Vincent.,75,56
7:29,2540,UC Santa Barbara  Timeout,75,56
7:15,147,Harald Frey missed Three Point Jumper.,75,56
7:15,2540,Max Heidegger Defensive Rebound.,75,56
6:57,2540,Marcus Jackson missed Three Point Jumper.,75,56
6:57,2540,Leland King II Offensive Rebound.,75,56
6:50,2540,Leland King II missed Layup.,75,56
6:50,147,Joe Mvuezolo Jr. Defensive Rebound.,75,56
6:39,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,75,59
6:12,2540,Gabe Vincent made Three Point Jumper.,78,59
5:54,147,Sam Neumann missed Layup.,78,59
5:54,2540,Jalen Canty Defensive Rebound.,78,59
5:32,147,Foul on Keljin Blevins.,78,59
5:32,2540,Jalen Canty missed Free Throw.,78,59
5:32,2540,UC Santa Barbara Deadball Team Rebound.,78,59
5:32,2540,Jalen Canty made Free Throw.,79,59
5:32,147,Joe Mvuezolo Jr. missed Three Point Jumper.,79,59
5:32,147,Tyler Hall Offensive Rebound.,79,59
5:32,147,Tyler Hall made Layup.,79,61
4:54,2540,Gabe Vincent Turnover.,79,61
4:43,147,Harald Frey missed Jumper.,79,61
4:43,147,Luke Schultz Offensive Rebound.,79,61
4:34,147,Tyler Hall missed Three Point Jumper.,79,61
4:34,2540,Leland King II Defensive Rebound.,79,61
4:15,2540,Gabe Vincent made Layup.,81,61
4:04,2540,Foul on Christian Terrell.,81,61
4:04,147,Joe Mvuezolo Jr. made Free Throw.,81,62
4:04,147,Joe Mvuezolo Jr. made Free Throw.,81,63
3:44,2540,Gabe Vincent made Jumper.,83,63
3:32,2540,Foul on Christian Terrell.,83,63
3:32,147,Official TV Timeout,83,63
3:32,147,Joe Mvuezolo Jr. made Free Throw.,83,64
3:32,147,Joe Mvuezolo Jr. missed Free Throw.,83,64
3:32,147,Montana State Offensive Rebound.,83,64
3:26,147,Joe Mvuezolo Jr. Turnover.,83,64
3:24,2540,Christian Terrell Steal.,83,64
3:24,147,Foul on Tyler Hall.,83,64
3:21,2540,Jalen Canty missed Jumper.,83,64
3:21,2540,Jalen Canty Offensive Rebound.,83,64
3:21,147,Foul on Luke Schultz.,83,64
3:21,2540,Jalen Canty made Free Throw.,84,64
3:21,2540,Jalen Canty made Free Throw.,85,64
3:05,147,Joe Mvuezolo Jr. Turnover.,85,64
3:03,2540,Brandon Davis Steal.,85,64
3:00,147,Foul on Joe Mvuezolo Jr..,85,64
3:00,2540,Jalen Canty made Free Throw.,86,64
3:00,2540,Jalen Canty made Free Throw.,87,64
2:48,2540,Foul on Alex Hart.,87,64
2:48,147,Zach Green made Free Throw.,87,65
2:48,147,Zach Green made Free Throw.,87,66
2:16,2540,Brandon Davis Turnover.,87,66
2:05,147,Foul on Luke Schultz.,87,66
2:05,147,Luke Schultz Turnover.,87,66
1:47,2540,Alex Hart made Jumper.,89,66
1:34,2540,Foul on Clifton Powell Jr..,89,66
1:34,147,Lassi Nikkarinen made Free Throw.,89,67
1:34,147,Lassi Nikkarinen made Free Throw.,89,68
1:22,2540,Alex Hart missed Jumper.,89,68
1:22,2540,J.D. Slajchert Offensive Rebound.,89,68
1:14,2540,UC Santa Barbara  Timeout,89,68
1:01,147,Luke Schultz Steal.,89,68
1:00,2540,Sam Walters Turnover.,89,68
0:52,147,Isaac Bonton missed Jumper.,89,68
0:52,2540,Alex Hart Block.,89,68
0:49,2540,J.D. Slajchert Defensive Rebound.,89,68
0:42,2540,Alex Hart missed Jumper.,89,68
0:42,147,Zach Green Defensive Rebound.,89,68
0:35,2540,Foul on Sam Walters.,89,68
0:35,147,Zach Green missed Free Throw.,89,68
0:35,147,Montana State Deadball Team Rebound.,89,68
0:35,147,Zach Green made Free Throw.,89,69
0:24,2540,Clifton Powell Jr. missed Jumper.,89,69
0:24,2540,Alex Hart Offensive Rebound.,89,69
0:16,2540,Alex Hart made Jumper.,91,69
0:00,147,End of Game,91,69
