Utah Valley,2239,CS Fullerton,3084
12:46,2239,Dominik Heinzl made Layup. Assisted by Davon Clare.,17,18
12:46,3084,Foul on Isaac Neilson.,17,18
12:46,2239,Dominik Heinzl missed Free Throw.,17,18
12:45,3084,Conner Toolson Defensive Rebound.,17,18
12:34,3084,Foul on Isaac Neilson.,17,18
12:34,3084,Isaac Neilson Turnover.,17,18
12:16,2239,Davon Clare missed Three Point Jumper.,17,18
12:16,3084,Conner Toolson Defensive Rebound.,17,18
12:07,3084,Jake Toolson made Three Point Jumper. Assisted by Brandon Randolph.,20,18
12:03,2239,CSU Fullerton  Timeout,20,18
11:49,2239,Austen Awosika made Jumper.,20,20
11:32,3084,Akolda Manyang Turnover.,20,20
11:31,2239,Kyle Allman Steal.,20,20
11:24,2239,Kyle Allman made Layup.,20,22
10:53,3084,Brandon Randolph missed Three Point Jumper.,20,22
10:53,2239,Davon Clare Defensive Rebound.,20,22
10:44,2239,Kyle Allman made Three Point Jumper. Assisted by Daniel Venzant.,20,25
10:30,3084,Ben Nakwaasah made Three Point Jumper. Assisted by Brandon Randolph.,23,25
10:17,2239,Kyle Allman made Three Point Jumper.,23,28
9:55,3084,Conner Toolson missed Three Point Jumper.,23,28
9:55,3084,Akolda Manyang Offensive Rebound.,23,28
9:49,2239,Foul on Jackson Rowe.,23,28
9:49,3084,Jake Toolson made Free Throw.,24,28
9:49,3084,Jake Toolson made Free Throw.,25,28
9:39,2239,Daniel Venzant made Layup.,25,30
9:17,3084,Conner Toolson Turnover.,25,30
9:16,2239,Austen Awosika Steal.,25,30
9:13,2239,Davon Clare Turnover.,25,30
9:12,3084,Conner Toolson Steal.,25,30
9:04,3084,Conner Toolson missed Layup.,25,30
9:04,3084,Brandon Randolph Offensive Rebound.,25,30
8:54,3084,Zach Nelson made Jumper. Assisted by Brandon Randolph.,27,30
8:34,2239,Austen Awosika missed Jumper.,27,30
8:34,3084,Zach Nelson Defensive Rebound.,27,30
8:21,2239,Foul on Kyle Allman.,27,30
8:21,3084,Brandon Randolph made Free Throw.,28,30
8:21,3084,Brandon Randolph made Free Throw.,29,30
8:13,2239,Jackson Rowe made Three Point Jumper. Assisted by Khalil Ahmad.,29,33
7:58,3084,Conner Toolson missed Jumper.,29,33
7:58,2239,Austen Awosika Defensive Rebound.,29,33
7:50,2239,Jackson Rowe missed Three Point Jumper.,29,33
7:50,2239,Arkim Robertson Offensive Rebound.,29,33
7:36,2239,Foul on Austen Awosika.,29,33
7:36,2239,Austen Awosika Turnover.,29,33
7:36,2239,Official TV Timeout,29,33
7:22,2239,Foul on Jackson Rowe.,29,33
7:09,3084,Foul on Kenneth Ogbe.,29,33
7:09,3084,Kenneth Ogbe Turnover.,29,33
6:56,2239,Khalil Ahmad made Jumper. Assisted by Davon Clare.,29,35
6:38,3084,Conner Toolson Turnover.,29,35
6:24,2239,Khalil Ahmad missed Jumper.,29,35
6:24,3084,Brandon Randolph Defensive Rebound.,29,35
6:14,3084,Brandon Randolph made Jumper.,31,35
6:01,2239,Davon Clare Turnover.,31,35
6:00,3084,Ben Nakwaasah Steal.,31,35
5:58,3084,Ben Nakwaasah made Layup.,33,35
5:38,2239,Jamal Smith Turnover.,33,35
5:23,3084,Brandon Randolph missed Jumper.,33,35
5:23,2239,Arkim Robertson Defensive Rebound.,33,35
5:14,2239,Khalil Ahmad missed Jumper.,33,35
5:14,3084,Conner Toolson Defensive Rebound.,33,35
5:01,3084,Ben Nakwaasah missed Three Point Jumper.,33,35
5:01,2239,Arkim Robertson Defensive Rebound.,33,35
4:45,2239,Khalil Ahmad missed Jumper.,33,35
4:45,3084,Conner Toolson Defensive Rebound.,33,35
4:39,3084,Brandon Randolph Turnover.,33,35
4:27,2239,Jamal Smith Turnover.,33,35
4:26,3084,Conner Toolson Steal.,33,35
4:15,2239,Foul on Kyle Allman.,33,35
3:49,3084,Akolda Manyang made Layup. Assisted by Jake Toolson.,35,35
3:49,2239,Foul on Arkim Robertson.,35,35
3:49,2239,Official TV Timeout,35,35
3:49,3084,Akolda Manyang missed Free Throw.,35,35
3:49,2239,Arkim Robertson Defensive Rebound.,35,35
3:26,2239,Foul on Arkim Robertson.,35,35
3:26,2239,Arkim Robertson Turnover.,35,35
3:08,3084,Jake Toolson Turnover.,35,35
2:45,2239,Daniel Venzant Turnover.,35,35
2:45,3084,Jake Toolson Steal.,35,35
2:32,2239,Foul on Jamal Smith.,35,35
2:32,3084,Jake Toolson made Free Throw.,36,35
2:32,3084,Jake Toolson missed Free Throw.,36,35
2:32,2239,Arkim Robertson Defensive Rebound.,36,35
2:21,2239,Khalil Ahmad missed Three Point Jumper.,36,35
2:21,2239,CSU Fullerton Offensive Rebound.,36,35
2:13,2239,Khalil Ahmad made Layup. Assisted by Jamal Smith.,36,37
1:55,3084,Akolda Manyang made Jumper. Assisted by Ben Nakwaasah.,38,37
1:36,2239,Khalil Ahmad missed Three Point Jumper.,38,37
1:35,3084,Utah Valley Defensive Rebound.,38,37
1:35,2239,Foul on Arkim Robertson.,38,37
1:35,3084,Akolda Manyang made Free Throw.,39,37
1:35,3084,Akolda Manyang made Free Throw.,40,37
1:20,2239,Khalil Ahmad missed Jumper.,40,37
1:20,3084,Brandon Randolph Defensive Rebound.,40,37
1:04,3084,Akolda Manyang Turnover.,40,37
1:03,2239,Josh Pitts Steal.,40,37
0:51,2239,Khalil Ahmad made Layup.,40,39
0:51,3084,Foul on Akolda Manyang.,40,39
0:51,2239,Khalil Ahmad missed Free Throw.,40,39
0:51,3084,Jake Toolson Defensive Rebound.,40,39
0:39,3084,Brandon Randolph missed Three Point Jumper.,40,39
0:39,2239,Jamal Smith Defensive Rebound.,40,39
0:30,2239,Austen Awosika missed Jumper.,40,39
0:30,3084,Akolda Manyang Block.,40,39
0:29,2239,Davon Clare Offensive Rebound.,40,39
0:07,2239,Austen Awosika made Jumper.,40,41
0:00,2239,End of 1st half,40,41
19:46,2239,Foul on Kyle Allman.,40,41
19:46,3084,Akolda Manyang missed Free Throw.,40,41
19:46,3084,Utah Valley Deadball Team Rebound.,40,41
19:46,3084,Akolda Manyang made Free Throw.,41,41
19:26,2239,Dominik Heinzl made Layup. Assisted by Austen Awosika.,41,43
19:06,3084,Kenneth Ogbe made Three Point Jumper. Assisted by Conner Toolson.,44,43
18:48,2239,Khalil Ahmad missed Layup.,44,43
18:48,2239,CSU Fullerton Offensive Rebound.,44,43
18:41,3084,Foul on Kenneth Ogbe.,44,43
18:35,2239,Jackson Rowe missed Layup.,44,43
18:35,2239,Jackson Rowe Offensive Rebound.,44,43
18:33,3084,Foul on Akolda Manyang.,44,43
18:33,2239,Jackson Rowe made Free Throw.,44,44
18:33,2239,Jackson Rowe made Free Throw.,44,45
18:21,3084,Jake Toolson made Layup. Assisted by Akolda Manyang.,46,45
18:04,2239,Khalil Ahmad made Jumper. Assisted by Austen Awosika.,46,47
17:32,3084,Brandon Randolph missed Three Point Jumper.,46,47
17:32,2239,Austen Awosika Defensive Rebound.,46,47
17:23,2239,Jackson Rowe made Layup. Assisted by Austen Awosika.,46,49
17:03,2239,Foul on Jackson Rowe.,46,49
17:00,3084,Akolda Manyang made Jumper. Assisted by Jake Toolson.,48,49
16:30,2239,Austen Awosika made Jumper.,48,51
16:11,3084,Jake Toolson made Layup.,50,51
16:01,2239,Khalil Ahmad made Three Point Jumper. Assisted by Jamal Smith.,50,54
15:41,3084,Akolda Manyang made Layup. Assisted by Jake Toolson.,52,54
15:10,2239,Official TV Timeout,52,54
15:10,2239,Dominik Heinzl Turnover.,52,54
15:10,2239,Official TV Timeout,52,54
14:45,3084,Kenneth Ogbe made Jumper.,54,54
14:24,3084,Foul on Kenneth Ogbe.,54,54
14:24,2239,Jamal Smith Turnover.,54,54
14:07,3084,Jake Toolson Turnover.,54,54
14:06,2239,Davon Clare Steal.,54,54
14:03,3084,Foul on Brandon Randolph.,54,54
14:03,2239,Jamal Smith made Free Throw.,54,55
14:03,2239,Jamal Smith made Free Throw.,54,56
13:49,2239,Foul on Jamal Smith.,54,56
13:36,3084,Brandon Randolph made Jumper.,56,56
13:14,2239,Jamal Smith missed Three Point Jumper.,56,56
13:14,2239,Arkim Robertson Offensive Rebound.,56,56
13:05,2239,Jamal Smith missed Jumper.,56,56
13:05,2239,Arkim Robertson Offensive Rebound.,56,56
12:50,2239,Austen Awosika made Layup.,56,58
12:50,3084,Foul on Akolda Manyang.,56,58
12:50,2239,Austen Awosika missed Free Throw.,56,58
12:50,3084,Jake Toolson Defensive Rebound.,56,58
12:29,3084,Jake Toolson missed Layup.,56,58
12:29,3084,Isaac Neilson Offensive Rebound.,56,58
12:26,3084,Isaac Neilson Turnover.,56,58
12:26,2239,Khalil Ahmad Steal.,56,58
12:16,2239,Foul on Arkim Robertson.,56,58
12:16,2239,Arkim Robertson Turnover.,56,58
12:09,3084,Conner Toolson Turnover.,56,58
12:08,2239,Austen Awosika Steal.,56,58
12:07,3084,Foul on Conner Toolson.,56,58
12:00,2239,Jackson Rowe made Dunk. Assisted by Daniel Venzant.,56,60
11:38,3084,Conner Toolson missed Three Point Jumper.,56,60
11:38,2239,Khalil Ahmad Defensive Rebound.,56,60
11:28,2239,Austen Awosika made Layup.,56,62
11:08,3084,Brandon Randolph missed Jumper.,56,62
11:08,2239,Jackson Rowe Defensive Rebound.,56,62
11:01,2239,Daniel Venzant missed Jumper.,56,62
11:01,3084,Ben Nakwaasah Defensive Rebound.,56,62
10:56,2239,Foul on Khalil Ahmad.,56,62
10:56,2239,Official TV Timeout,56,62
10:39,3084,Zach Nelson made Layup.,58,62
10:39,2239,Foul on Khalil Ahmad.,58,62
10:39,3084,Zach Nelson made Free Throw.,59,62
10:24,2239,Jackson Rowe missed Layup.,59,62
10:24,3084,Zach Nelson Defensive Rebound.,59,62
10:11,3084,Ben Nakwaasah made Three Point Jumper.,62,62
9:59,2239,CSU Fullerton  Timeout,62,62
9:47,2239,Austen Awosika missed Jumper.,62,62
9:47,3084,Zach Nelson Defensive Rebound.,62,62
9:30,2239,Foul on Jackson Rowe.,62,62
9:30,3084,Kenneth Ogbe made Free Throw.,63,62
9:30,3084,Kenneth Ogbe missed Free Throw.,63,62
9:30,3084,Akolda Manyang Offensive Rebound.,63,62
9:27,3084,Kenneth Ogbe missed Three Point Jumper.,63,62
9:27,2239,Arkim Robertson Defensive Rebound.,63,62
9:18,2239,Khalil Ahmad missed Three Point Jumper.,63,62
9:18,2239,Kyle Allman Offensive Rebound.,63,62
9:09,3084,Foul on Akolda Manyang.,63,62
9:09,2239,Khalil Ahmad missed Free Throw.,63,62
9:09,3084,Akolda Manyang Defensive Rebound.,63,62
8:58,3084,Foul on Zach Nelson.,63,62
8:58,3084,Zach Nelson Turnover.,63,62
8:36,2239,Khalil Ahmad made Three Point Jumper. Assisted by Austen Awosika.,63,65
8:13,3084,Akolda Manyang missed Jumper.,63,65
8:13,2239,Khalil Ahmad Defensive Rebound.,63,65
8:04,3084,Foul on Ben Nakwaasah.,63,65
8:04,2239,Kyle Allman made Free Throw.,63,66
8:04,2239,Kyle Allman made Free Throw.,63,67
7:37,2239,Foul on Jamal Smith.,63,67
7:37,2239,Official TV Timeout,63,67
7:37,3084,Brandon Randolph missed Free Throw.,63,67
7:37,3084,Utah Valley Deadball Team Rebound.,63,67
7:37,3084,Brandon Randolph made Free Throw.,64,67
7:21,2239,Arkim Robertson made Layup. Assisted by Austen Awosika.,64,69
7:05,3084,Jake Toolson made Layup.,66,69
6:50,3084,Foul on Brandon Randolph.,66,69
6:50,2239,Kyle Allman missed Free Throw.,66,69
6:50,2239,CSU Fullerton Deadball Team Rebound.,66,69
6:50,2239,Kyle Allman made Free Throw.,66,70
6:36,3084,Kenneth Ogbe made Jumper.,68,70
6:24,2239,Kyle Allman missed Three Point Jumper.,68,70
6:24,2239,Arkim Robertson Offensive Rebound.,68,70
6:20,2239,Arkim Robertson made Jumper.,68,72
6:20,3084,Foul on Isaac Neilson.,68,72
6:20,2239,Arkim Robertson missed Free Throw.,68,72
6:20,3084,Zach Nelson Defensive Rebound.,68,72
5:54,3084,Conner Toolson Turnover.,68,72
5:36,3084,Foul on Zach Nelson.,68,72
5:36,2239,Arkim Robertson missed Free Throw.,68,72
5:36,2239,CSU Fullerton Deadball Team Rebound.,68,72
5:36,2239,Arkim Robertson made Free Throw.,68,73
5:22,3084,Kenneth Ogbe missed Layup.,68,73
5:22,3084,Zach Nelson Offensive Rebound.,68,73
5:18,3084,Zach Nelson missed Two Point Tip Shot.,68,73
5:18,2239,Austen Awosika Defensive Rebound.,68,73
5:04,2239,Jackson Rowe made Layup.,68,75
4:55,3084,Conner Toolson missed Three Point Jumper.,68,75
4:55,3084,Utah Valley Offensive Rebound.,68,75
4:49,3084,Jake Toolson Turnover.,68,75
4:49,2239,Khalil Ahmad Steal.,68,75
4:42,2239,Khalil Ahmad made Jumper.,68,77
4:26,3084,Kenneth Ogbe made Three Point Jumper. Assisted by Akolda Manyang.,71,77
4:03,2239,Khalil Ahmad made Three Point Jumper.,71,80
3:47,3084,Akolda Manyang made Jumper.,73,80
3:23,2239,Khalil Ahmad made Three Point Jumper.,73,83
3:07,2239,Foul on Arkim Robertson.,73,83
3:07,2239,Official TV Timeout,73,83
3:07,3084,Kenneth Ogbe made Free Throw.,74,83
3:07,3084,Kenneth Ogbe missed Free Throw.,74,83
3:07,2239,Jackson Rowe Defensive Rebound.,74,83
2:52,3084,Foul on Kenneth Ogbe.,74,83
2:52,2239,Khalil Ahmad made Free Throw.,74,84
2:52,2239,Khalil Ahmad made Free Throw.,74,85
2:41,2239,Foul on Dominik Heinzl.,74,85
2:41,3084,Akolda Manyang missed Free Throw.,74,85
2:41,2239,Jackson Rowe Defensive Rebound.,74,85
2:41,3084,Akolda Manyang missed Free Throw.,74,85
2:41,3084,Utah Valley Deadball Team Rebound.,74,85
2:16,2239,Daniel Venzant missed Three Point Jumper.,74,85
2:16,3084,Akolda Manyang Defensive Rebound.,74,85
2:09,3084,Brandon Randolph made Layup.,76,85
1:57,2239,Daniel Venzant Turnover.,76,85
1:56,3084,Ben Nakwaasah Steal.,76,85
1:52,3084,Conner Toolson missed Three Point Jumper.,76,85
1:52,3084,Brandon Randolph Offensive Rebound.,76,85
1:48,3084,Brandon Randolph made Jumper.,78,85
1:37,2239,CSU Fullerton  Timeout,78,85
1:37,2239,Khalil Ahmad Turnover.,78,85
1:36,3084,Akolda Manyang Steal.,78,85
1:34,3084,Akolda Manyang Turnover.,78,85
1:33,2239,Kyle Allman Steal.,78,85
1:32,3084,Foul on Ben Nakwaasah.,78,85
1:32,2239,Kyle Allman made Free Throw.,78,86
1:32,2239,Kyle Allman missed Free Throw.,78,86
1:32,3084,Akolda Manyang Defensive Rebound.,78,86
1:20,3084,Ben Nakwaasah missed Three Point Jumper.,78,86
1:20,3084,Utah Valley Offensive Rebound.,78,86
1:18,2239,Foul on Jamal Smith.,78,86
1:18,3084,Jake Toolson made Free Throw.,79,86
1:18,3084,Jake Toolson missed Free Throw.,79,86
1:18,2239,Austen Awosika Defensive Rebound.,79,86
1:03,3084,Foul on Brandon Randolph.,79,86
1:03,2239,Jamal Smith made Free Throw.,79,87
1:03,2239,Jamal Smith missed Free Throw.,79,87
1:03,3084,Akolda Manyang Defensive Rebound.,79,87
0:48,3084,Brandon Randolph missed Three Point Jumper.,79,87
0:48,2239,Austen Awosika Defensive Rebound.,79,87
0:39,3084,Foul on Ben Nakwaasah.,79,87
0:39,2239,Jackson Rowe made Free Throw.,79,88
0:39,2239,Jackson Rowe missed Free Throw.,79,88
0:39,3084,Jake Toolson Defensive Rebound.,79,88
0:31,3084,Conner Toolson missed Three Point Jumper.,79,88
0:31,2239,CSU Fullerton Defensive Rebound.,79,88
0:26,3084,Foul on Conner Toolson.,79,88
0:26,2239,Austen Awosika made Free Throw.,79,89
0:26,2239,Austen Awosika made Free Throw.,79,90
0:19,3084,Conner Toolson made Three Point Jumper.,82,90
0:17,3084,Foul on Ben Nakwaasah.,82,90
0:17,2239,Khalil Ahmad made Free Throw.,82,91
0:17,2239,Khalil Ahmad missed Free Throw.,82,91
0:17,3084,Akolda Manyang Defensive Rebound.,82,91
0:09,2239,Foul on Jamal Smith.,82,91
0:09,3084,Brandon Randolph made Free Throw.,83,91
0:09,3084,Brandon Randolph missed Free Throw.,83,91
0:09,2239,Austen Awosika Defensive Rebound.,83,91
0:00,2239,End of Game,83,91
