South Carolina Upstate,2172,Denver,2908
6:49,2908,Jure Span Steal.,22,29
6:44,2908,Deion Holmes missed Three Point Jumper.,22,29
6:44,2172,Joe Rosga Defensive Rebound.,22,29
6:28,2172,Jake Krafka made Jumper. Assisted by Ade Murkey.,22,31
6:00,2908,Jure Span missed Three Point Jumper.,22,31
6:00,2172,Jake Krafka Defensive Rebound.,22,31
5:51,2172,Christian Mackey made Layup. Assisted by Jake Krafka.,22,33
5:25,2908,Jure Span missed Layup.,22,33
5:25,2908,Malik Moore Offensive Rebound.,22,33
5:17,2908,Jure Span missed Three Point Jumper.,22,33
5:17,2172,Elvin Rodriguez Defensive Rebound.,22,33
5:10,2172,Elvin Rodriguez made Layup.,22,35
5:09,2908,South Carolina Upstate  Timeout,22,35
4:40,2908,Deion Holmes missed Jumper.,22,35
4:40,2172,Ade Murkey Defensive Rebound.,22,35
4:17,2908,Foul on Malik Moore.,22,35
4:07,2172,Daniel Amigo Turnover.,22,35
4:07,2172,Foul on Daniel Amigo.,22,35
4:00,2908,Deion Holmes made Layup.,24,35
4:00,2172,Foul on Jake Krafka.,24,35
4:00,2172,Official TV Timeout,24,35
4:00,2908,Deion Holmes missed Free Throw.,24,35
4:00,2172,Jake Krafka Defensive Rebound.,24,35
3:45,2908,Foul on Carson Smith.,24,35
3:37,2908,Foul on Carson Smith.,24,35
3:37,2172,Daniel Amigo missed Free Throw.,24,35
3:37,2908,Avery Diggs Defensive Rebound.,24,35
3:11,2908,Malik Moore Turnover.,24,35
3:11,2908,Foul on Malik Moore.,24,35
2:47,2172,Joe Rosga missed Three Point Jumper.,24,35
2:47,2908,Isaiah Anderson Defensive Rebound.,24,35
2:18,2172,Foul on Luke Neff.,24,35
2:12,2908,Jure Span made Layup.,26,35
1:57,2908,Foul on Isaiah Anderson.,26,35
1:57,2172,Daniel Amigo made Free Throw.,26,36
1:57,2172,Daniel Amigo missed Free Throw.,26,36
1:57,2908,Isaiah Anderson Defensive Rebound.,26,36
1:27,2172,Foul on Daniel Amigo.,26,36
1:27,2908,Deion Holmes missed Free Throw.,26,36
1:27,2172,Jake Pemberton Defensive Rebound.,26,36
1:14,2172,Daniel Amigo Turnover.,26,36
1:12,2908,Isaiah Anderson Steal.,26,36
1:06,2172,Foul on Joe Rosga.,26,36
1:06,2908,Deion Holmes missed Free Throw.,26,36
1:06,2908,South Carolina Upstate Deadball Team Rebound.,26,36
1:06,2908,Deion Holmes made Free Throw.,27,36
0:47,2172,Luke Neff made Three Point Jumper. Assisted by Jake Krafka.,27,39
0:22,2908,Ramel Thompkins missed Three Point Jumper.,27,39
0:22,2908,Isaiah Anderson Offensive Rebound.,27,39
0:20,2172,Foul on Donoven Carlisle.,27,39
0:20,2908,Isaiah Anderson missed Free Throw.,27,39
0:20,2908,South Carolina Upstate Deadball Team Rebound.,27,39
0:20,2908,Isaiah Anderson made Free Throw.,28,39
0:05,2172,Joe Rosga missed Layup.,28,39
0:05,2908,Pat Welch Block.,28,39
0:05,2172,Denver Offensive Rebound.,28,39
0:02,2172,Luke Neff made Layup. Assisted by Jake Pemberton.,28,41
0:00,2172,End of 1st half,28,41
19:35,2908,Malik Moore made Layup.,30,41
19:12,2172,Ade Murkey made Jumper.,30,43
18:51,2908,Deion Holmes made Three Point Jumper. Assisted by Jure Span.,33,43
18:40,2172,Joe Rosga made Three Point Jumper. Assisted by Jake Pemberton.,33,46
18:18,2908,Isaiah Anderson missed Jumper.,33,46
18:18,2172,Daniel Amigo Defensive Rebound.,33,46
18:13,2172,Daniel Amigo Turnover.,33,46
18:12,2908,Deion Holmes Steal.,33,46
18:12,2908,Deion Holmes Turnover.,33,46
18:02,2172,Daniel Amigo made Dunk. Assisted by Jake Krafka.,33,48
17:48,2908,Malik Moore made Jumper.,35,48
17:25,2172,Jake Krafka missed Jumper.,35,48
17:25,2908,Malik Moore Defensive Rebound.,35,48
17:16,2908,Malik Moore missed Layup.,35,48
17:16,2908,Carson Smith Offensive Rebound.,35,48
17:14,2172,Foul on Daniel Amigo.,35,48
16:57,2908,Malik Moore missed Three Point Jumper.,35,48
16:57,2172,Elvin Rodriguez Defensive Rebound.,35,48
16:50,2172,Daniel Amigo made Layup. Assisted by Ade Murkey.,35,50
16:24,2908,Jure Span missed Layup.,35,50
16:24,2172,Daniel Amigo Defensive Rebound.,35,50
16:18,2172,Jake Krafka made Layup. Assisted by Jake Pemberton.,35,52
15:57,2908,Deion Holmes made Three Point Jumper. Assisted by Jure Span.,38,52
15:54,2908,South Carolina Upstate  Timeout,38,52
15:30,2172,Jake Krafka missed Jumper.,38,52
15:30,2172,Daniel Amigo Offensive Rebound.,38,52
15:27,2172,Daniel Amigo made Two Point Tip Shot.,38,54
15:06,2172,Foul on Jake Pemberton.,38,54
15:06,2172,Official TV Timeout,38,54
15:06,2908,Malik Moore made Free Throw.,39,54
15:06,2908,Malik Moore made Free Throw.,40,54
14:54,2172,Elvin Rodriguez Turnover.,40,54
14:53,2908,Pat Welch Steal.,40,54
14:41,2908,Malik Moore missed Three Point Jumper.,40,54
14:41,2172,Daniel Amigo Defensive Rebound.,40,54
14:36,2172,Joe Rosga Turnover.,40,54
14:34,2908,Malik Moore Steal.,40,54
14:28,2908,Malik Moore made Layup.,42,54
14:18,2172,Joe Rosga made Three Point Jumper. Assisted by Daniel Amigo.,42,57
13:57,2908,Deion Holmes missed Three Point Jumper.,42,57
13:57,2172,Elvin Rodriguez Defensive Rebound.,42,57
13:34,2908,Foul on Carson Smith.,42,57
13:34,2172,Jake Krafka missed Free Throw.,42,57
13:34,2172,Denver Deadball Team Rebound.,42,57
13:34,2172,Jake Krafka made Free Throw.,42,58
13:16,2908,Malik Moore missed Three Point Jumper.,42,58
13:16,2172,Jake Krafka Defensive Rebound.,42,58
12:59,2908,Foul on Deion Holmes.,42,58
12:59,2172,Christian Mackey made Free Throw.,42,59
12:59,2172,Christian Mackey made Free Throw.,42,60
12:34,2908,Ramel Thompkins missed Three Point Jumper.,42,60
12:34,2908,Avery Diggs Offensive Rebound.,42,60
12:30,2908,Avery Diggs made Layup.,44,60
12:19,2172,Christian Mackey made Layup. Assisted by Jake Krafka.,44,62
12:19,2908,Foul on Deion Holmes.,44,62
12:19,2172,Christian Mackey missed Free Throw.,44,62
12:19,2908,Carson Smith Defensive Rebound.,44,62
12:08,2908,Deion Holmes missed Three Point Jumper.,44,62
12:08,2172,Jake Krafka Defensive Rebound.,44,62
12:03,2908,Foul on Malik Moore.,44,62
12:03,2172,Christian Mackey made Free Throw.,44,63
12:03,2172,Christian Mackey made Free Throw.,44,64
11:50,2908,Thomas Booker made Three Point Jumper. Assisted by Carson Smith.,47,64
11:30,2908,Foul on Thomas Booker.,47,64
11:30,2172,Official TV Timeout,47,64
11:15,2172,Luke Neff missed Three Point Jumper.,47,64
11:15,2172,Joe Rosga Offensive Rebound.,47,64
11:09,2172,Christian Mackey missed Layup.,47,64
11:09,2908,Carson Smith Defensive Rebound.,47,64
11:01,2908,Deion Holmes missed Three Point Jumper.,47,64
11:01,2172,Joe Rosga Defensive Rebound.,47,64
10:42,2172,Jake Holtzmann missed Jumper.,47,64
10:42,2908,South Carolina Upstate Defensive Rebound.,47,64
10:39,2172,Foul on Christian Mackey.,47,64
10:16,2908,Jure Span Turnover.,47,64
10:15,2172,Donoven Carlisle Steal.,47,64
10:11,2172,Joe Rosga missed Jumper.,47,64
10:11,2908,Deion Holmes Defensive Rebound.,47,64
10:04,2908,Deion Holmes missed Layup.,47,64
10:04,2172,Daniel Amigo Defensive Rebound.,47,64
9:57,2172,Donoven Carlisle made Layup. Assisted by Ade Murkey.,47,66
9:42,2908,Deion Holmes Turnover.,47,66
9:42,2908,Foul on Deion Holmes.,47,66
9:23,2172,Donoven Carlisle Turnover.,47,66
9:23,2172,Foul on Donoven Carlisle.,47,66
8:57,2908,Thomas Booker missed Three Point Jumper.,47,66
8:57,2172,Donoven Carlisle Defensive Rebound.,47,66
8:32,2172,Daniel Amigo made Jumper. Assisted by Jake Pemberton.,47,68
8:00,2908,Jure Span made Three Point Jumper. Assisted by Isaiah Anderson.,50,68
7:48,2172,Joe Rosga made Three Point Jumper. Assisted by Ade Murkey.,50,71
7:17,2908,Malik Moore missed Three Point Jumper.,50,71
7:17,2172,Joe Rosga Defensive Rebound.,50,71
6:55,2172,Jake Pemberton made Three Point Jumper. Assisted by Donoven Carlisle.,50,74
6:43,2908,Isaiah Anderson missed Three Point Jumper.,50,74
6:43,2172,Ade Murkey Defensive Rebound.,50,74
6:36,2172,Joe Rosga Turnover.,50,74
6:35,2908,Isaiah Anderson Steal.,50,74
6:35,2908,South Carolina Upstate  Timeout,50,74
6:09,2908,Pat Welch missed Three Point Jumper.,50,74
6:09,2172,Denver Defensive Rebound.,50,74
5:53,2172,Elvin Rodriguez made Layup.,50,76
5:27,2908,Deion Holmes missed Three Point Jumper.,50,76
5:27,2908,Avery Diggs Offensive Rebound.,50,76
5:06,2172,Foul on Jake Pemberton.,50,76
5:06,2908,Malik Moore made Free Throw.,51,76
5:06,2908,Malik Moore made Free Throw.,52,76
4:52,2172,Luke Neff missed Three Point Jumper.,52,76
4:52,2908,Malik Moore Defensive Rebound.,52,76
4:42,2908,Malik Moore Turnover.,52,76
4:41,2172,Elvin Rodriguez Steal.,52,76
4:40,2172,Donoven Carlisle made Layup. Assisted by Daniel Amigo.,52,78
4:22,2908,Deion Holmes made Three Point Jumper. Assisted by Jure Span.,55,78
3:58,2172,Daniel Amigo missed Jumper.,55,78
3:58,2908,Carson Smith Defensive Rebound.,55,78
3:49,2908,Malik Moore missed Jumper.,55,78
3:49,2908,Malik Moore Offensive Rebound.,55,78
3:46,2908,Malik Moore missed Jumper.,55,78
3:46,2172,Daniel Amigo Block.,55,78
3:44,2908,Carson Smith Offensive Rebound.,55,78
3:40,2908,Jure Span missed Three Point Jumper.,55,78
3:40,2172,Jake Pemberton Defensive Rebound.,55,78
3:31,2172,Daniel Amigo made Jumper. Assisted by Elvin Rodriguez.,55,80
3:28,2172,Denver  Timeout,55,80
3:04,2908,Carson Smith made Three Point Jumper. Assisted by Deion Holmes.,58,80
2:32,2172,Abiola Akintola made Layup.,58,82
2:06,2908,Deion Holmes missed Three Point Jumper.,58,82
2:06,2172,Luke Neff Defensive Rebound.,58,82
1:46,2172,Abiola Akintola missed Jumper.,58,82
1:46,2908,Malik Moore Defensive Rebound.,58,82
1:18,2908,Jure Span made Three Point Jumper. Assisted by Deion Holmes.,61,82
1:04,2172,Ade Murkey made Jumper.,61,84
0:50,2908,Malik Moore made Layup.,63,84
0:50,2172,Foul on Ade Murkey.,63,84
0:50,2908,Malik Moore missed Free Throw.,63,84
0:49,2908,Carson Smith Offensive Rebound.,63,84
0:48,2908,Deion Holmes made Three Point Jumper. Assisted by Carson Smith.,66,84
0:34,2172,Emil Knighton missed Layup.,66,84
0:34,2908,Isaiah Anderson Defensive Rebound.,66,84
0:25,2172,Foul on Elvin Rodriguez.,66,84
0:25,2908,Malik Moore made Free Throw.,67,84
0:25,2908,Malik Moore missed Free Throw.,67,84
0:25,2908,Isaiah Anderson Offensive Rebound.,67,84
0:19,2908,Malik Moore made Layup.,69,84
0:00,2172,End of Game,69,84
